Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA
SP1,23/08/13,Ath Bilbao,Osasuna,2,0,H,1,0,H,8,18,2,5,15,20,5,10,2,2,0,0,1.62,3.75,5.5,1.62,3.7,5.75,1.7,3.6,4.7,1.66,3.6,5.5,1.65,4.14,5.82,1.67,3.6,5.5,1.62,4,5.5,1.67,3.9,5.75,34,1.8,1.7,4,3.65,5.55,5.09,31,1.96,1.9,2,1.9,21,-1,2.47,2.38,1.69,1.61
SP1,23/08/13,Getafe,Almeria,2,2,D,1,2,A,14,16,5,7,15,17,2,7,2,1,0,0,1.85,3.5,4.2,1.8,3.4,4.6,1.85,3.45,4,1.85,3.5,4.2,1.91,3.63,4.54,1.83,3.5,4.4,1.83,3.6,4.33,1.91,3.6,4.4,34,1.92,1.86,3.61,3.49,4.7,4.29,31,2.19,2.08,1.84,1.74,18,-0.75,2.19,2.15,1.79,1.75
SP1,24/08/13,Elche,Sociedad,1,1,D,1,0,H,12,11,2,4,9,12,4,2,4,3,0,0,3.2,3.4,2.2,3.4,3.3,2.15,3,3.3,2.25,3.2,3.3,2.25,3.32,3.47,2.27,3.2,3.3,2.25,3.13,3.5,2.25,3.4,3.4,2.25,34,3.5,3.21,3.5,3.35,2.25,2.21,31,2.05,1.96,1.96,1.84,18,0.25,2.03,1.97,1.95,1.9
SP1,24/08/13,Espanol,Valencia,3,1,H,1,1,D,13,8,3,2,17,12,6,3,3,3,0,0,3,3.25,2.38,3.1,3.3,2.25,2.9,3.3,2.3,3.1,3.3,2.3,3.18,3.43,2.41,3.2,3.3,2.25,3,3.4,2.38,3.1,3.4,2.4,33,3.22,3.06,3.43,3.27,2.45,2.33,30,2.08,1.98,1.94,1.83,18,0,2.27,2.19,1.74,1.69
SP1,24/08/13,Villarreal,Valladolid,2,1,H,1,1,D,17,6,6,2,11,25,8,3,4,2,0,0,1.85,3.6,4,1.85,3.4,4.33,1.85,3.45,4,1.9,3.4,4,1.88,3.7,4.6,1.85,3.5,4.33,1.83,3.5,4.5,1.87,3.6,4.5,34,1.91,1.86,3.7,3.47,4.6,4.23,31,2.12,2.05,1.88,1.76,18,-0.5,1.91,1.86,2.07,2.01
SP1,25/08/13,Ath Madrid,Vallecano,5,0,H,3,0,H,14,7,5,1,11,9,8,3,0,1,0,0,1.29,5.25,10,1.34,4.75,9.25,1.35,4.8,7.6,1.33,5,9,1.32,5.6,11.58,1.33,5,9,1.3,5.25,11,1.33,5.5,10,33,1.35,1.31,5.75,5.17,11.96,9.84,22,1.68,1.6,2.4,2.28,22,-1.5,1.97,1.89,2.02,1.96
SP1,25/08/13,Betis,Celta,1,2,A,0,0,D,20,13,6,4,9,18,12,8,1,3,0,1,1.8,3.5,4.5,1.72,3.7,4.75,1.7,3.7,4.5,1.7,3.6,5,1.86,3.64,4.78,1.75,3.6,4.75,1.73,3.6,5,1.87,3.7,4.5,34,1.87,1.79,3.75,3.57,5,4.51,31,2.03,1.94,1.94,1.87,18,-0.5,1.86,1.82,2.09,2.05
SP1,25/08/13,Levante,Sevilla,0,0,D,0,0,D,8,18,3,3,17,18,5,7,3,5,0,0,3.5,3.3,2.1,3.5,3.25,2.1,2.85,3.3,2.35,3.2,3.25,2.25,3.54,3.45,2.21,3.4,3.3,2.15,3.4,3.3,2.2,3.5,3.4,2.2,34,3.54,3.32,3.5,3.32,2.35,2.17,31,2.13,2.05,1.85,1.76,18,0.25,2.04,1.99,1.92,1.88
SP1,25/08/13,Malaga,Barcelona,0,1,A,0,1,A,9,15,3,11,14,12,2,11,3,2,0,0,13,6,1.22,14,6.25,1.2,10.3,5.5,1.25,12,6,1.22,13.7,6.78,1.25,12,7,1.2,15,6.5,1.2,12,7,1.25,34,15,12.51,7.1,6.25,1.26,1.22,21,1.45,1.37,3.25,2.93,21,2,1.88,1.79,2.15,2.07
SP1,26/08/13,Granada,Real Madrid,0,1,A,0,1,A,8,21,3,8,14,10,5,8,4,2,0,0,7.5,5.5,1.33,9.25,5.25,1.3,10,5.2,1.27,9,5.5,1.3,9.11,5.52,1.37,8,5.5,1.33,10,5.5,1.3,8,5.5,1.36,34,10.5,8.4,5.75,5.28,1.37,1.33,21,1.49,1.41,3,2.75,22,1.5,1.94,1.85,2.09,2
SP1,30/08/13,Almeria,Elche,2,2,D,2,1,H,9,15,5,9,18,18,4,5,3,5,1,0,2,3.3,3.8,2,3.3,3.8,2.1,3.3,3.3,2.05,3.4,3.5,2.07,3.68,3.79,2.05,3.4,3.6,2.05,3.4,3.8,2.1,3.5,3.75,34,2.1,2.04,3.6,3.4,3.95,3.65,30,2.1,2.02,1.88,1.78,18,-0.5,2.08,2.04,1.88,1.84
SP1,30/08/13,Vallecano,Levante,1,2,A,0,1,A,23,6,8,2,14,17,8,1,4,3,1,0,1.73,3.6,4.75,1.8,3.7,4.2,2,3.3,3.6,1.8,3.5,4.5,1.83,3.74,4.8,1.83,3.75,4,1.83,3.6,4.5,1.83,3.7,4.6,34,2,1.8,3.79,3.56,4.93,4.48,32,2.08,1.97,1.92,1.83,18,-0.75,2.1,2.05,1.88,1.83
SP1,31/08/13,Celta,Granada,1,1,D,1,0,H,17,3,4,1,9,6,6,5,1,2,0,0,2.2,3.3,3.3,2.2,3.2,3.4,2.1,3.3,3.3,2.2,3.3,3.3,2.23,3.47,3.53,2.25,3.2,3.3,2.15,3.3,3.6,2.2,3.4,3.5,34,2.3,2.19,3.4,3.29,3.6,3.32,32,2.19,2.12,1.8,1.71,18,-0.5,2.27,2.21,1.75,1.7
SP1,31/08/13,Osasuna,Villarreal,0,3,A,0,2,A,9,9,3,4,15,14,7,8,3,2,0,0,2.5,3.2,2.88,2.5,3.25,2.8,2.5,3.3,2.65,2.45,3.2,2.87,2.65,3.31,2.93,2.62,3.1,2.8,2.6,3.2,2.88,2.62,3.3,2.9,35,2.7,2.56,3.3,3.21,2.95,2.77,32,2.36,2.22,1.71,1.65,18,0,1.9,1.83,2.07,2.01
SP1,31/08/13,Valladolid,Getafe,1,0,H,0,0,D,21,16,6,0,19,8,10,5,2,2,0,0,2.1,3.3,3.5,2.1,3.3,3.5,2,3.3,3.6,2.15,3.3,3.4,2.27,3.37,3.53,2.25,3.2,3.3,2.1,3.4,3.6,2.25,3.3,3.5,35,2.28,2.16,3.4,3.28,3.62,3.38,32,2.3,2.18,1.74,1.67,18,-0.5,2.27,2.18,1.77,1.72
SP1,01/09/13,Espanol,Betis,0,0,D,0,0,D,10,8,3,3,19,14,7,7,2,4,0,0,2.05,3.4,3.6,2,3.5,3.6,1.9,3.45,3.8,2.05,3.4,3.5,2.11,3.58,3.76,2.05,3.4,3.6,2,3.5,3.8,2.05,3.6,3.75,35,2.1,2.03,3.6,3.43,3.95,3.6,32,2.1,1.99,1.9,1.81,18,-0.5,2.1,2.04,1.87,1.83
SP1,01/09/13,Real Madrid,Ath Bilbao,3,1,H,2,0,H,20,12,7,2,15,13,9,6,1,2,0,0,1.17,7,16,1.16,7.75,13.5,1.2,6.5,10.3,1.18,7.5,12,1.18,8.4,17.8,1.17,7.5,15,1.2,7,15,1.15,8,20,35,1.2,1.17,8.4,7.32,20,14.73,20,1.36,1.29,3.7,3.37,19,-2,1.92,1.87,2.08,1.99
SP1,01/09/13,Sevilla,Malaga,2,2,D,1,1,D,15,15,7,6,17,13,10,1,3,3,0,1,1.62,3.8,5.5,1.57,3.9,5.75,1.65,3.8,4.7,1.66,3.75,5,1.62,4.14,6.27,1.6,4,5.5,1.67,3.75,5.5,1.62,4.1,6,35,1.67,1.61,4.12,3.76,6.4,5.72,32,1.99,1.93,1.95,1.87,21,-1,2.14,2.09,1.85,1.78
SP1,01/09/13,Sociedad,Ath Madrid,1,2,A,0,1,A,10,16,4,9,19,21,5,5,2,4,0,0,2.9,3.3,2.38,2.8,3.25,2.5,2.75,3.3,2.4,2.87,3.4,2.37,2.88,3.51,2.58,2.8,3.3,2.5,2.75,3.4,2.6,2.88,3.5,2.55,35,3,2.81,3.5,3.27,2.65,2.49,32,2.07,1.97,1.95,1.83,18,0,2.12,2.03,1.87,1.81
SP1,01/09/13,Valencia,Barcelona,2,3,A,2,3,A,16,20,10,9,20,11,5,7,2,3,0,0,5.5,4.33,1.53,6.25,4.4,1.48,5,3.9,1.6,6,4.33,1.5,6.13,4.54,1.57,5.5,4.33,1.55,5.75,4.33,1.57,5.75,4.5,1.57,34,6.9,5.9,4.5,4.15,1.6,1.53,21,1.57,1.51,2.65,2.48,20,1,2.04,1.95,1.97,1.91
SP1,14/09/13,Ath Madrid,Almeria,4,2,H,2,1,H,20,7,8,2,15,17,8,1,2,4,0,0,1.25,6,11,1.26,5.5,11,1.27,5.2,10,1.28,5.5,9.5,1.27,6.32,13.73,1.25,5.5,12,1.25,6.25,12,1.25,6.25,13,36,1.3,1.26,6.32,5.61,13.95,11.5,23,1.65,1.51,2.62,2.43,21,-1.5,1.81,1.78,2.24,2.1
SP1,14/09/13,Barcelona,Sevilla,3,2,H,1,0,H,19,7,10,2,12,17,6,9,2,5,0,0,1.18,7,15,1.18,7,13.5,1.15,7,15,1.16,7.5,13,1.19,8.48,15.71,1.17,7.5,13,1.17,7.5,17,1.18,8,15,36,1.2,1.17,8.52,7.4,20,14.19,22,1.32,1.27,4,3.56,20,-2,1.86,1.77,2.17,2.1
SP1,14/09/13,Levante,Sociedad,0,0,D,0,0,D,13,13,5,3,16,12,5,1,3,1,0,0,3.1,3.25,2.3,3.25,3.2,2.25,2.9,3.3,2.3,2.87,3.2,2.37,3.23,3.38,2.42,3.1,3.3,2.3,3.25,3.3,2.3,3.25,3.3,2.38,36,3.3,3.08,3.4,3.27,2.42,2.32,33,2.18,2.08,1.83,1.74,18,0.25,1.9,1.85,2.07,2.01
SP1,14/09/13,Villarreal,Real Madrid,2,2,D,1,1,D,19,20,9,6,14,13,10,3,2,3,0,0,5.5,4.2,1.57,5.25,4.33,1.55,6.1,4,1.5,5.5,4.33,1.53,5.81,4.36,1.61,5.5,4,1.57,6,4.33,1.53,5.25,4.33,1.62,36,6.5,5.54,4.45,4.06,1.63,1.58,26,1.57,1.49,2.75,2.55,21,1,1.92,1.84,2.09,2.01
SP1,15/09/13,Betis,Valencia,3,1,H,3,0,H,21,5,9,2,15,3,7,13,0,1,0,0,2.63,3.3,2.63,2.85,3.4,2.55,2.75,3.3,2.4,2.75,3.3,2.5,2.77,3.41,2.74,2.7,3.3,2.6,2.63,3.3,2.75,2.7,3.4,2.75,35,2.78,2.67,3.43,3.26,2.75,2.62,32,1.98,1.9,2,1.9,18,0,1.97,1.92,1.98,1.91
SP1,15/09/13,Getafe,Osasuna,2,1,H,1,1,D,14,11,5,6,15,17,7,4,2,4,0,0,1.95,3.3,4,1.91,3.5,3.9,1.9,3.45,3.8,1.9,3.4,4,2.1,3.45,3.95,1.95,3.4,4,2,3.3,4.1,2.05,3.4,4.1,36,2.1,2,3.45,3.34,4.1,3.81,33,2.32,2.21,1.72,1.65,18,-0.5,2.1,2.03,1.88,1.84
SP1,15/09/13,Granada,Espanol,0,1,A,0,0,D,9,7,1,3,17,16,4,4,3,3,1,0,2.4,3.2,3,2.4,3.2,3.2,2.3,3.3,2.9,2.25,3.2,3.2,2.42,3.46,3.14,2.4,3.1,3.1,2.4,3.2,3.13,2.45,3.3,3.12,35,2.5,2.37,3.46,3.23,3.2,3.03,32,2.3,2.2,1.73,1.66,18,-0.25,2.1,2.03,1.87,1.83
SP1,15/09/13,Malaga,Vallecano,5,0,H,2,0,H,17,12,9,2,13,16,6,5,1,2,0,0,1.91,3.5,4,1.91,3.6,3.8,2,3.3,3.6,1.95,3.5,3.75,1.97,3.55,4.34,1.95,3.6,3.75,2,3.5,3.8,2,3.6,3.9,36,2,1.95,3.7,3.45,4.34,3.85,33,1.91,1.8,2.11,2,18,-0.5,2,1.96,1.97,1.9
SP1,16/09/13,Ath Bilbao,Celta,3,2,H,1,1,D,16,8,6,3,7,18,4,2,2,3,0,0,1.67,3.75,5,1.72,3.75,5.25,1.65,3.6,5.1,1.72,3.75,4.6,1.76,3.92,5.06,1.73,3.8,4.6,1.73,3.75,5,1.73,3.9,5.2,33,1.76,1.69,3.92,3.68,5.5,4.94,30,1.9,1.81,2.1,1.99,18,-1,2.33,2.23,1.79,1.68
SP1,16/09/13,Elche,Valladolid,0,0,D,0,0,D,10,8,5,4,18,9,10,4,4,1,0,0,2.25,3.25,3.25,2.3,3.3,3.1,2.3,3.3,2.9,2.25,3.25,3.2,2.25,3.32,3.64,2.3,3.2,3.2,2.3,3.3,3.25,2.3,3.3,3.5,33,2.3,2.25,3.4,3.24,3.64,3.23,30,2.26,2.13,1.77,1.7,16,-0.5,2.3,2.24,1.74,1.68
SP1,20/09/13,Osasuna,Elche,2,1,H,1,0,H,8,13,3,4,17,7,5,8,2,1,0,0,2,3.4,3.75,1.91,3.3,4.2,2,3.3,3.6,2,3.3,3.8,2.1,3.47,3.9,2.05,3.25,3.8,2.05,3.4,3.8,2.1,3.3,4,36,2.07,2,3.5,3.34,4.25,3.88,33,2.38,2.27,1.7,1.63,19,-0.5,2.08,2.01,1.89,1.85
SP1,21/09/13,Almeria,Levante,2,2,D,1,0,H,13,16,8,7,16,18,1,7,4,7,1,0,1.8,3.5,4.5,1.85,3.4,4.33,2.1,3.3,3.3,1.9,3.4,4,1.89,3.65,4.59,1.95,3.5,3.8,1.95,3.5,4,1.9,3.6,4.5,36,2.1,1.9,3.67,3.42,4.51,4.06,33,2.1,2.01,1.88,1.8,18,-0.5,1.96,1.88,2.04,1.98
SP1,21/09/13,Sociedad,Malaga,0,0,D,0,0,D,10,11,2,4,10,14,5,4,3,3,0,0,1.91,3.5,4,1.95,3.5,3.75,1.85,3.6,3.8,1.9,3.5,4,1.94,3.7,4.26,1.91,3.5,4,1.91,3.5,4.2,1.91,3.7,4.2,36,2,1.93,3.7,3.47,4.26,3.9,33,1.95,1.85,2.05,1.95,18,-0.75,2.27,2.2,1.75,1.7
SP1,21/09/13,Valladolid,Ath Madrid,0,2,A,0,0,D,12,15,2,6,15,13,2,6,2,2,0,0,5,3.6,1.7,5.5,3.7,1.62,5.1,3.6,1.65,5,3.6,1.7,5.75,3.88,1.7,5.5,3.6,1.67,5.5,3.75,1.67,5.5,3.8,1.7,36,6.3,5.32,3.95,3.65,1.73,1.66,33,2.04,1.95,1.95,1.84,18,0.75,2.03,1.98,1.91,1.88
SP1,21/09/13,Vallecano,Barcelona,0,4,A,0,1,A,14,14,9,8,21,16,6,14,2,1,0,0,13,6.5,1.2,13,6.5,1.2,9,6,1.25,13,7,1.18,16.85,7.75,1.2,12,7,1.2,15,7,1.2,15,7.5,1.2,36,18,13.79,7.9,6.77,1.25,1.19,22,1.38,1.3,3.75,3.27,21,2,2.1,2,1.9,1.85
SP1,22/09/13,Betis,Granada,0,0,D,0,0,D,19,4,6,1,13,11,5,3,4,1,0,0,1.67,3.6,5.5,1.75,3.6,4.6,1.75,3.5,4.5,1.72,3.6,4.8,1.75,3.86,5.31,1.75,3.75,4.5,1.73,3.6,5.25,1.75,3.8,5.2,36,1.77,1.72,3.9,3.61,5.5,4.8,31,1.98,1.89,2,1.9,18,-1,2.43,2.32,1.69,1.63
SP1,22/09/13,Celta,Villarreal,0,0,D,0,0,D,5,12,1,4,14,13,2,6,5,1,0,0,2.75,3.3,2.5,2.7,3.4,2.5,2.75,3.3,2.4,2.75,3.3,2.5,2.79,3.47,2.68,2.7,3.3,2.6,2.7,3.4,2.63,2.8,3.4,2.62,36,2.88,2.72,3.5,3.32,2.7,2.52,33,1.95,1.89,2,1.91,18,0,2.02,1.97,1.92,1.87
SP1,22/09/13,Real Madrid,Getafe,4,1,H,2,1,H,29,7,11,4,13,15,9,5,1,3,0,1,1.13,8.5,19,1.11,9.25,18,1.15,7,15,1.12,8,19,1.12,11.39,23.81,1.11,9,17,1.13,9,21,1.12,11,23,36,1.15,1.12,12,8.94,31,19.3,22,1.3,1.23,4.33,3.89,21,-2.5,2.01,1.94,1.96,1.91
SP1,22/09/13,Valencia,Sevilla,3,1,H,1,0,H,26,9,6,3,15,12,8,8,2,1,0,0,1.91,3.4,4,1.91,3.5,3.9,1.9,3.45,3.8,1.85,3.5,4.2,1.92,3.85,4.18,1.8,3.6,4.4,1.85,3.6,4.33,1.87,3.8,4.3,35,1.95,1.86,3.85,3.55,4.5,3.97,30,1.85,1.77,2.14,2.03,15,-0.5,1.92,1.88,2.04,1.98
SP1,23/09/13,Espanol,Ath Bilbao,3,2,H,1,1,D,11,9,6,3,17,11,3,6,2,2,0,0,2.3,3.4,3,2.25,3.3,3.1,2.25,3.3,3,2.3,3.4,3,2.4,3.4,3.23,2.38,3.4,2.9,2.3,3.4,3.13,2.45,3.4,3.1,32,2.45,2.34,3.5,3.29,3.25,2.97,29,1.99,1.9,2,1.89,16,-0.25,2.1,2.04,1.88,1.82
SP1,24/09/13,Ath Madrid,Osasuna,2,1,H,2,1,H,13,7,4,1,11,14,11,2,3,1,0,0,1.2,6,15,1.2,6.25,13.5,1.22,5.5,12,1.22,6,13,1.23,6.83,16.69,1.2,6.5,15,1.2,6.5,17,1.2,6.5,19,34,1.24,1.21,7.1,6.39,19,14.5,25,1.65,1.57,2.45,2.33,20,-2,2.18,2.09,1.87,1.78
SP1,24/09/13,Barcelona,Sociedad,4,1,H,3,0,H,23,9,9,5,6,12,6,1,0,1,0,0,1.13,8,19,1.12,9,15.5,1.13,8,16,1.14,8,15,1.13,10.85,22.3,1.14,7,21,1.14,8.5,19,1.14,10,20,34,1.14,1.13,10.85,8.8,26,18.44,23,1.252,1.22,4.95,3.97,20,-2.5,2.1,2.01,1.91,1.85
SP1,24/09/13,Levante,Valladolid,1,1,D,1,1,D,24,4,4,2,13,13,7,0,2,4,0,1,2.1,3.3,3.5,2.05,3.2,3.7,2,3.4,3.5,2.15,3.25,3.4,2.21,3.35,3.71,2.15,3.2,3.5,2.2,3.25,3.5,2.25,3.3,3.6,34,2.25,2.16,3.4,3.26,3.7,3.48,25,2.51,2.35,1.67,1.56,18,-0.5,2.25,2.18,1.75,1.71
SP1,24/09/13,Malaga,Almeria,2,0,H,0,0,D,16,7,7,2,12,13,9,5,2,1,0,0,1.67,3.75,5,1.67,3.8,4.75,1.7,3.7,4.5,1.7,3.75,5,1.68,4.05,5.61,1.7,3.8,4.8,1.67,3.8,5.5,1.7,4,5.25,34,1.73,1.67,4.25,3.79,6.2,5.2,31,1.75,1.67,2.48,2.19,19,-1,2.23,2.17,1.81,1.73
SP1,25/09/13,Elche,Real Madrid,1,2,A,0,0,D,11,12,3,5,23,9,4,5,8,2,1,0,10,5.5,1.29,9.25,5.5,1.28,10.5,6,1.22,10,5.5,1.29,11.8,6.15,1.29,11,5,1.3,11,6,1.27,10.5,6,1.3,34,13,9.96,6.5,5.65,1.3,1.28,21,1.42,1.38,3.2,2.88,19,1.5,2.2,2.06,1.86,1.8
SP1,25/09/13,Granada,Valencia,0,1,A,0,0,D,13,14,4,3,19,15,5,5,4,2,0,0,3.1,3.25,2.3,3.1,3.2,2.3,2.75,3.3,2.4,3,3.25,2.38,3.26,3.41,2.37,3.2,3.2,2.3,3.25,3.3,2.3,3.25,3.4,2.38,33,3.31,3.13,3.42,3.26,2.4,2.3,30,2.19,2.09,1.83,1.73,18,0,2.39,2.28,1.7,1.65
SP1,25/09/13,Sevilla,Vallecano,4,1,H,1,0,H,16,10,7,4,14,18,4,2,3,4,0,2,1.44,4.2,7.5,1.48,4.25,6.25,1.6,3.9,5,1.53,4,6,1.48,4.92,7.08,1.5,4.4,6,1.44,4.5,7.5,1.45,4.8,7,34,1.6,1.47,4.95,4.32,7.6,6.65,26,1.62,1.55,2.59,2.4,20,-1,1.84,1.73,2.25,2.15
SP1,26/09/13,Ath Bilbao,Betis,2,1,H,0,0,D,20,10,8,5,8,13,8,4,1,5,0,0,1.95,3.5,3.75,1.9,3.5,3.9,1.8,3.5,4.2,2.05,3.4,3.5,1.97,3.69,4.14,2,3.3,3.8,2,3.5,3.8,1.95,3.6,4,31,2.05,1.96,3.69,3.46,4.4,3.79,28,1.9,1.78,2.1,2.02,15,-0.5,2.04,1.96,1.97,1.9
SP1,26/09/13,Getafe,Celta,2,0,H,1,0,H,14,9,3,2,14,8,11,5,2,1,0,0,2.1,3.3,3.5,2.1,3.2,3.6,2,3.3,3.6,2.2,3.25,3.4,2.17,3.47,3.71,2.25,3.2,3.3,2.2,3.4,3.4,2.2,3.4,3.6,30,2.25,2.14,3.47,3.3,3.7,3.41,28,2.22,2.12,1.81,1.7,15,-0.5,2.23,2.14,1.78,1.73
SP1,26/09/13,Villarreal,Espanol,2,1,H,1,0,H,8,12,5,3,15,22,3,5,1,3,0,0,1.73,3.5,5,1.72,3.5,5,1.8,3.5,4.2,1.75,3.5,4.8,1.72,3.83,5.64,1.75,3.4,5,1.73,3.6,5.25,1.7,3.8,5.5,30,1.8,1.72,3.83,3.61,5.64,4.94,27,2.08,1.97,1.89,1.81,16,-1,2.33,2.28,1.71,1.66
SP1,27/09/13,Valladolid,Malaga,2,2,D,0,1,A,13,11,3,4,6,7,11,4,3,0,0,0,2.9,3.2,2.45,2.75,3.4,2.45,2.6,3.2,2.6,2.8,3.25,2.5,3.05,3.36,2.54,2.8,3.2,2.5,3.2,3.2,2.38,3.1,3.3,2.55,34,3.2,2.87,3.36,3.25,2.65,2.49,30,2.3,2.2,1.72,1.67,19,0,2.19,2.09,1.8,1.77
SP1,28/09/13,Almeria,Barcelona,0,2,A,0,1,A,5,15,1,4,20,15,2,3,1,2,0,0,13,7,1.18,13.5,7,1.18,13,7,1.17,13,7.5,1.16,18.09,8.3,1.18,15,7,1.17,17,8,1.15,15,8,1.18,35,19,14.69,9.4,7.31,1.19,1.17,21,1.31,1.24,4.35,3.75,19,2,2.25,2.11,1.85,1.76
SP1,28/09/13,Real Madrid,Ath Madrid,0,1,A,0,1,A,20,13,5,4,21,18,2,7,4,4,0,0,1.62,3.75,5.5,1.62,4.2,4.75,1.6,3.8,5.2,1.61,4,5.2,1.68,4.2,5.35,1.75,3.4,5,1.67,3.75,5.5,1.73,4.1,4.8,34,1.75,1.65,4.22,3.84,5.5,5.03,22,1.57,1.47,2.88,2.55,20,-1,2.27,2.17,1.8,1.72
SP1,28/09/13,Sociedad,Sevilla,1,1,D,0,1,A,17,10,5,3,11,10,8,5,0,4,0,1,2.2,3.4,3.2,2.15,3.4,3.3,2,3.45,3.45,2.2,3.4,3.2,2.25,3.5,3.45,2.25,3.2,3.2,2.2,3.4,3.3,2.25,3.5,3.3,35,2.25,2.17,3.5,3.36,3.55,3.26,30,1.95,1.86,2.02,1.94,17,-0.25,1.95,1.91,2,1.95
