Player,Club,POS,GP,GS,MINS,SHTS,SV,GA,GAA,PKG/A,W,L,T,ShO,W%,Sv%
Matt Reis,LA,GK,1.0,0.0,10.0,1.0,1.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0,0.0,100.0
Russell Payne,COL,GK,1.0,0.0,14.0,2.0,0.0,2.0,2.0,1/1,0.0,0.0,0.0,0.0,0.0,0.0
Cesar Delgado,KC,GK,1.0,1.0,90.0,8.0,4.0,4.0,4.0,0/0,0.0,1.0,0.0,0.0,0.0,50.0
Kevin East,MET,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0,0.0,0.0
Randy Dedini,COL,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0,0.0,0.0
Kori Hunter,MET,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0,0.0,0.0
Kurt Kelley,MET,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0,0.0,0.0
Anthony Latronica,NE,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0,0.0,0.0
Mike Littman,LA,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0,0.0,0.0
Bill May,LA,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0,0.0,0.0
Steve McAnulty,MET,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0,0.0,0.0
Mike McGinty,CHI,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0,0.0,0.0
Johnny Morton,COL,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0,0.0,0.0
David Allred,TB,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0,0.0,0.0
Bill Andracki,MET,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0,0.0,0.0
Juergen Sommer,CLB,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0,0.0,0.0
Jon Busch,CHI,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0,0.0,0.0
Miguel Pineda,DAL,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0,0.0,0.0
Matt Nyman,TB,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0,0.0,0.0
Scott Vallow,DAL,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0,0.0,0.0
Jim Welch,LA,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0,0.0,0.0
J.J. Wozniak,SJ,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0,0.0,0.0
David Winner,nan,GK,nan,nan,nan,nan,nan,nan,nan,/,nan,nan,nan,nan,0.0,0.0
Stats Unavailable,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
