Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5
SC0,31/08/02,Hearts,Kilmarnock,1,1,D,1,1,D,D Somers,18,5,9,2,17,22,14,4,0,5,0,1,1.833,3.25,3.75,1.84,3.3,4.05,2,3.1,3.2,1.8,3.25,3.75,1.91,3.25,3.5,1.909,3.3,3.6,1.8,3.3,3.75,1.75,1.85
SC0,31/08/02,Motherwell,Hibernian,0,2,A,0,1,A,K Clarke,2,8,1,4,21,16,5,4,3,4,0,0,2,3.25,3.25,2.05,3.25,3.35,2,3.1,3.2,1.909,3.25,3.4,2,3.25,3.25,2,3.3,3.3,2.2,3.25,2.75,1.65,1.95
SC0,01/09/02,Aberdeen,Partick,0,1,A,0,1,A,J Rowbotham,5,6,2,5,14,19,3,7,2,4,1,0,1.667,3.4,4.5,1.7,3.4,4.5,1.8,3.1,3.8,1.615,3.5,4.5,1.67,3.4,4.5,1.7,3.4,4.5,1.61,3.3,5,1.75,1.85
SC0,01/09/02,Celtic,Livingston,2,0,H,2,0,H,A Freeland,18,6,8,0,16,15,14,1,0,1,0,0,1.143,6.5,12,1.17,5.9,15,1.15,6,12,1.167,5.5,12,1.17,5.5,12,1.143,6,13,1.14,6,12,2,1.6
SC0,01/09/02,Dunfermline,Rangers,0,6,A,0,3,A,D McDonald,6,12,3,11,16,15,5,11,2,1,0,0,7.5,4.333,1.333,7.75,4.2,1.41,6,3.9,1.4,7,3.75,1.4,7.5,4,1.36,8,4,1.364,8,3.75,1.36,1.55,2.1
SC0,10/09/02,Motherwell,Celtic,2,1,H,0,0,D,W Young,6,12,3,6,21,14,2,15,5,1,0,0,10,5.5,1.2,9.5,5.25,1.24,9,4.5,1.25,11,5,1.2,10,5.5,1.2,10,5.5,1.222,9.5,5,1.22,1.55,2.2
SC0,11/09/02,Aberdeen,Dundee United,1,2,A,1,2,A,H Dallas,12,12,4,7,12,19,4,2,1,3,0,0,1.909,3.25,3.5,1.95,3.3,3.5,1.9,3.1,3.5,2,3.2,3.2,1.83,3.25,3.75,2,3.25,3.25,1.8,3.4,3.6,1.7,1.9
SC0,11/09/02,Dundee,Livingston,2,1,H,0,1,A,C Richmond,16,6,10,1,8,24,6,6,1,3,0,0,2.2,3.25,2.8,2.15,3.25,2.95,2.2,3,2.9,2.25,3.2,2.75,2.2,3.25,2.8,2.3,3.2,2.8,2.2,3.2,2.8,1.75,1.85
SC0,11/09/02,Hibernian,Dunfermline,1,4,A,1,3,A,S Dougal,4,11,4,10,11,10,4,4,0,1,0,0,2,3.25,3.25,2,3.3,3.2,2,3.1,3.2,2.1,3.4,2.875,2.1,3.25,3,2.1,3.2,3.2,2,3.2,3.2,1.7,1.9
SC0,11/09/02,Kilmarnock,Partick,1,0,H,1,0,H,T Brown,14,7,5,3,10,14,4,2,2,0,0,0,1.727,3.25,4.333,1.76,3.3,4,1.9,3.1,3.5,1.667,3.4,4.333,1.73,3.25,4.33,1.727,3.4,4.333,1.72,3.4,4,1.65,1.95
SC0,11/09/02,Rangers,Hearts,2,0,H,1,0,H,M McCurry,12,19,5,5,16,15,11,7,2,1,0,0,1.2,5.5,10,1.23,5.25,9.5,1.2,5,10,1.25,4.5,10,1.2,5.5,10,1.222,5.5,10,1.22,5,9.5,1.5,2.2
SC0,14/09/02,Celtic,Hibernian,1,0,H,1,0,H,D McDonald,12,9,7,1,16,15,5,5,0,1,0,0,1.167,5.5,13,1.17,6.33,13,1.15,6,12,1.143,5.5,15,1.14,5.5,15,1.143,6,15,1.12,6.5,12,1.6,2.25
SC0,14/09/02,Dundee United,Dunfermline,1,2,A,0,2,A,C Thomson,19,6,9,4,15,18,1,5,0,2,0,0,2.2,3.25,2.8,2.22,3.2,2.95,2.1,3,3.1,2.1,3.2,3,2.2,3.2,2.88,2.25,3.2,2.875,2.2,3.2,2.8,1.7,1.9
SC0,14/09/02,Kilmarnock,Aberdeen,2,2,D,0,0,D,I Brines,14,10,5,6,23,13,9,4,2,2,0,0,1.8,3.25,4,1.9,3.3,3.65,1.85,3.1,3.6,2,3.4,3,1.8,3.2,4,1.8,3.3,4,1.9,3.3,3.3,1.75,1.85
SC0,14/09/02,Livingston,Rangers,0,2,A,0,0,D,K Clark,5,10,4,5,23,10,3,7,3,2,1,0,7.5,4.333,1.333,8.5,4.25,1.33,6,3.9,1.4,8,3.75,1.364,8.5,4.5,1.29,8,4.333,1.333,8,3.75,1.36,1.65,1.95
SC0,14/09/02,Partick,Dundee,1,1,D,1,0,H,A Freeland,14,9,9,5,10,13,7,2,0,2,0,0,2.2,3.25,2.8,2.25,3.2,2.88,2.2,3,2.9,2.2,3.25,2.75,2.2,3.25,2.8,2.25,3.25,2.8,2.2,3.2,2.8,1.8,1.8
SC0,15/09/02,Hearts,Motherwell,4,2,H,1,2,A,H Dallas,18,9,12,4,14,17,5,6,2,4,0,0,1.667,3.4,4.5,1.9,3.4,4.5,1.8,3.1,3.8,1.727,3.5,3.75,1.67,3.4,4.5,1.7,3.4,4.5,1.66,3.4,4.33,1.7,1.9
SC0,21/09/02,Dunfermline,Motherwell,1,0,H,0,0,D,C Richmond,11,9,6,6,13,19,5,1,1,2,0,0,1.8,3.4,3.75,1.85,3.3,3.75,1.9,3.1,3.5,1.8,3.5,3.5,1.91,3.25,3.5,1.909,3.25,3.6,1.83,3.3,3.6,1.65,1.95
SC0,21/09/02,Hearts,Dundee United,2,0,H,1,0,H,S Dougal,10,12,9,4,17,10,4,6,1,3,0,0,1.615,3.4,5,1.6,3.4,5.2,1.75,3.2,4,1.667,3.4,4.333,1.62,3.4,5,1.615,3.5,5,1.57,3.5,5,1.65,1.95
SC0,21/09/02,Hibernian,Kilmarnock,2,0,H,2,0,H,J Rowbotham,8,5,5,1,12,14,3,7,2,0,0,0,2.5,3.2,2.5,2.55,3.2,2.45,2.5,3,2.5,2.625,3.4,2.25,2.63,3.2,2.38,2.625,3.2,2.4,2.62,3.1,2.37,1.7,1.9
SC0,21/09/02,Rangers,Partick,3,0,H,2,0,H,K Toner,23,9,12,2,8,12,7,6,0,2,0,0,1.167,6,11,1.15,6.2,12.5,1.15,6,12,1.167,5.5,12,1.14,6,13,1.154,6,13,1.14,6,12,1.5,2.2
SC0,22/09/02,Dundee,Celtic,0,1,A,0,1,A,J Underhill,12,14,5,5,6,18,5,6,1,1,0,0,9,4.5,1.286,12,4.85,1.27,8,4.2,1.3,8,4.5,1.286,10,4.5,1.25,10,4.5,1.286,8,3.75,1.36,1.5,2.2
SC0,22/09/02,Livingston,Aberdeen,1,2,A,0,1,A,M McCurry,10,7,3,3,16,13,9,2,3,1,0,0,2.1,3.25,3,2.1,3.2,3.1,2.3,3,2.7,2.1,3.4,2.875,2.1,3.25,3,2.2,3.2,3,2.2,3.2,2.8,1.8,1.8
SC0,28/09/02,Aberdeen,Dunfermline,3,1,H,1,1,D,D Somers,14,10,7,7,16,13,5,8,3,3,0,1,2.25,3.25,2.75,2.28,3.3,2.75,2.2,3,2.9,2.2,3.25,2.75,2.2,3.25,2.8,2.2,3.25,2.9,2.25,3.2,2.75,1.7,1.9
SC0,28/09/02,Celtic,Kilmarnock,5,0,H,3,0,H,K Clark,10,2,7,1,7,14,6,4,0,0,0,0,1.167,5.5,13,1.2,5.55,13,1.15,6,12,1.17,5.5,12,1.17,6,11,1.17,5.5,15,1.16,5.5,12,1.5,2.5
SC0,28/09/02,Dundee United,Rangers,0,3,A,0,2,A,J Rowbotham,10,18,2,7,15,10,6,7,2,0,0,0,9,5,1.25,8.5,4.6,1.34,8,4.2,1.3,8,4,1.33,8.5,4.5,1.29,9,4.5,1.29,8,4.5,1.28,1.62,2.05
SC0,28/09/02,Hibernian,Livingston,1,0,H,1,0,H,A Freeland,4,9,2,6,22,17,4,2,3,4,0,0,1.833,3.25,3.75,1.9,3.3,3.7,2.1,3,3.1,2.1,3.4,2.88,1.91,3.25,3.6,1.909,3.25,3.6,1.9,3.25,3.4,1.7,1.9
SC0,28/09/02,Motherwell,Dundee,1,1,D,0,1,A,D McDonald,16,7,7,5,24,15,8,2,2,2,0,0,2.2,3.25,2.8,2.18,3.2,3.05,2.2,3,2.9,2,3.4,3,2.2,3.2,3,2.25,3.2,2.8,2.2,3.2,2.8,1.7,1.9
SC0,28/09/02,Partick,Hearts,2,2,D,1,1,D,I Brines,11,12,9,8,21,24,3,4,1,3,0,0,2.7,3.2,2.3,2.7,3.3,2.33,2.5,3,2.5,2.75,3.25,2.2,2.75,3.25,2.25,2.75,3.25,2.3,2.75,3.2,2.25,1.85,1.75
SC0,05/10/02,Dundee,Kilmarnock,2,1,H,0,0,D,C Thomson,18,6,12,2,14,11,12,4,2,0,0,0,2.25,3.25,2.75,2.25,3.2,2.9,2.2,3,2.9,2.1,3.2,3,2.25,3.25,2.75,2.2,3.25,2.9,2.2,3.25,2.75,1.75,1.85
SC0,05/10/02,Dunfermline,Partick,4,1,H,1,0,H,H Dallas,15,11,8,3,11,12,6,3,0,1,0,1,1.667,3.4,4.5,1.75,3.4,4.25,1.8,3.1,3.8,1.73,3.4,4,1.73,3.25,4.33,1.727,3.4,4.333,1.72,3.4,4,1.7,1.9
SC0,05/10/02,Hibernian,Dundee United,2,1,H,1,0,H,J Underhill,8,6,6,5,19,18,6,11,0,1,0,0,1.8,3.25,4,1.9,3.3,3.65,1.9,3.1,3.5,2,3.4,3,1.91,3.25,3.5,1.909,3.25,3.6,1.8,3.3,3.75,1.7,1.9
SC0,05/10/02,Motherwell,Aberdeen,1,2,A,1,0,H,K Toner,8,9,4,5,23,12,5,2,3,5,0,0,2.3,3.2,2.7,2.3,3.15,2.85,2.3,3,2.7,2.25,3.4,2.62,2.25,3.25,2.75,2.25,3.25,2.8,2.37,3.1,2.62,1.7,1.9
SC0,06/10/02,Celtic,Rangers,3,3,D,1,1,D,S Dougal,15,7,10,4,9,15,7,3,3,4,0,0,2.25,3,3,2.28,3.15,2.88,2.2,3,2.9,2.2,3.2,2.8,2.2,3.25,2.88,2.25,3.25,2.875,2.2,3.2,2.8,1.7,1.9
SC0,06/10/02,Livingston,Hearts,1,1,D,1,0,H,W Young,8,7,4,3,11,18,6,5,2,3,0,0,2.8,3.25,2.2,2.85,3.15,2.3,2.8,3.1,2.2,2.8,3.2,2.2,2.88,3.25,2.2,2.8,3.25,2.25,2.75,3.2,2.25,1.7,1.9
SC0,19/10/02,Aberdeen,Dundee,0,0,D,0,0,D,M McCurry,8,5,5,3,16,18,5,2,1,2,0,0,1.909,3.25,3.5,2.05,3.25,3.55,1.9,3.1,3.5,1.91,3.25,3.4,1.83,3.4,3.75,1.909,3.3,3.6,1.83,3.3,3.6,1.8,1.83
SC0,19/10/02,Dundee United,Livingston,2,3,A,1,0,H,H Dallas,16,13,2,3,14,12,6,5,1,1,0,0,2,3.25,3.25,2.1,3.25,3.4,2,3.1,3.2,2.2,3.25,2.75,2.2,3.25,2.88,2.1,3.2,3.2,2.1,3.2,3,1.95,1.7
SC0,19/10/02,Kilmarnock,Dunfermline,2,2,D,0,1,A,I Fyfe,11,9,9,6,15,13,7,3,1,2,0,0,2.375,3.2,2.625,2.33,3.2,2.8,2.1,3.1,3,2.2,3.25,2.75,2.2,3.25,2.88,2.3,3.2,2.8,2.1,3.2,3,1.8,1.83
SC0,19/10/02,Partick,Hibernian,0,3,A,0,1,A,J Rowbotham,6,11,3,8,5,18,4,4,1,4,0,0,2.625,3.2,2.375,2.55,3.2,2.6,2.4,2.9,2.7,2.5,3.2,2.5,2.38,3.2,2.62,2.5,3.1,2.6,2.5,3.1,2.5,1.8,1.83
SC0,19/10/02,Rangers,Motherwell,3,0,H,1,0,H,A Freeland,15,2,11,1,8,13,14,1,0,1,0,1,1.125,7,12,1.15,6.25,15,1.15,6,12,1.14,6,12,1.14,6,13,1.143,6,15,1.12,6,15,2.05,1.6
SC0,20/10/02,Hearts,Celtic,1,4,A,0,4,A,K Clark,3,8,1,2,11,12,7,3,1,1,0,0,6.5,3.75,1.444,6.5,4,1.45,5.4,3.8,1.45,7,3.75,1.4,6.5,3.75,1.44,7.5,4.2,1.364,8,3.75,1.36,2.15,1.6
SC0,26/10/02,Dundee United,Partick,1,1,D,1,0,H,S Dougal,10,6,2,4,16,6,6,2,1,0,0,0,2,3.25,3.25,2.05,3.25,3.25,2,3.1,3.2,2,3.4,3,2,3.25,3.25,2.1,3.25,3,2.25,3.2,2.75,1.75,1.85
SC0,26/10/02,Hearts,Dundee,1,2,A,0,1,A,J Underhill,16,12,9,9,14,12,8,7,1,1,0,0,1.8,3.4,3.75,1.83,3.4,4,1.8,3.1,3.8,1.8,3.25,3.75,1.73,3.25,4.33,1.727,3.25,4.333,1.8,3.3,3.75,1.7,1.9
SC0,26/10/02,Motherwell,Livingston,1,5,A,0,1,A,M McCurry,15,11,7,8,11,16,13,1,1,2,0,0,2.2,3.25,2.8,2.22,3.3,2.8,2.2,3,2.9,2.1,3.2,3,2.25,3.25,2.75,2.2,3.25,2.8,2.2,3.2,2.8,1.7,1.9
SC0,27/10/02,Aberdeen,Hibernian,0,1,A,0,0,D,C Richmond,11,10,9,7,14,12,2,7,3,2,0,0,2.2,3.25,2.8,2.2,3.3,2.9,2.1,3,3.1,2,3.2,3.2,2,3.25,3.25,2,3.25,3.25,2.2,3.2,2.8,1.7,1.9
SC0,27/10/02,Dunfermline,Celtic,1,4,A,0,2,A,D McDonald,9,17,4,14,11,7,5,3,0,1,0,0,9,4.5,1.286,8,4.5,1.31,8,4.2,1.3,8,4.5,1.29,8.5,4.5,1.29,8.5,4.5,1.286,8,4.5,1.28,1.42,2.5
SC0,27/10/02,Rangers,Kilmarnock,6,1,H,4,1,H,W Young,23,5,16,4,4,14,12,1,0,2,0,0,1.143,6.5,12,1.15,6,13,1.15,6,12,1.14,6,12,1.14,6,13,1.143,6,13,1.14,6,12,1.41,2.7
SC0,02/11/02,Dundee,Rangers,0,3,A,0,1,A,I Fyfe,8,12,4,8,8,15,1,13,0,1,1,0,8,4.5,1.3,7.5,4.35,1.35,7,4,1.35,8,4.5,1.29,8.5,4.5,1.29,8,4.5,1.3,8,4.5,1.28,,
SC0,02/11/02,Kilmarnock,Dundee United,1,2,A,1,1,D,D Somers,11,6,5,5,13,25,5,4,0,5,0,0,1.8,3.4,3.75,1.76,3.4,4.2,1.8,3.1,3.8,1.83,3.5,3.4,1.73,3.25,4.33,1.75,3.4,4,2,3.2,3.2,,
SC0,02/11/02,Livingston,Dunfermline,1,1,D,0,0,D,J Rowbotham,13,9,6,2,9,11,4,3,1,2,0,0,2.1,3.25,3,2.35,3.15,2.8,2,3.1,3.2,2.1,3.5,2.75,2.2,3.25,2.8,2.25,3.2,2.8,2.2,3.2,2.8,,
SC0,02/11/02,Partick,Motherwell,2,0,H,1,0,H,T Brown,20,18,9,13,16,15,5,9,1,4,0,1,2.2,3.25,2.8,2.25,3.2,2.9,2.2,3,2.9,2.2,3.25,2.75,2.2,3.25,2.8,2.25,3.2,2.8,2.2,3.2,2.8,,
SC0,03/11/02,Celtic,Aberdeen,7,0,H,3,0,H,H Dallas,25,3,16,2,9,12,9,3,0,3,0,0,1.125,6,15,1.15,6,15,1.15,6,12,1.14,6,12,1.14,6,13,1.143,6,13,1.12,6,15,,
SC0,03/11/02,Hibernian,Hearts,1,2,A,1,0,H,W Young,9,10,6,5,13,13,4,5,0,4,0,1,2.25,3.25,2.75,2.3,3.2,2.8,2.2,3,2.9,2.2,3.25,2.75,2.2,3.25,2.8,2.3,3.2,2.7,2.2,3.2,2.8,,
SC0,09/11/02,Hearts,Aberdeen,0,0,D,0,0,D,D McDonald,11,6,6,4,18,15,2,4,0,4,0,0,1.833,3.25,3.75,1.85,3.25,3.75,1.9,3.1,3.5,1.8,3.5,3.5,1.83,3.25,3.75,1.833,3.4,3.75,1.9,3.25,3.4,1.55,2.1
SC0,09/11/02,Livingston,Partick,3,0,H,0,0,D,C Richmond,15,7,9,3,19,6,5,5,1,1,0,0,1.833,3.25,3.75,1.85,3.3,3.7,1.85,3.1,3.6,1.8,3.4,3.6,1.83,3.25,3.75,1.85,3.4,3.75,1.8,3.3,3.75,1.7,1.9
SC0,09/11/02,Motherwell,Kilmarnock,0,1,A,0,0,D,K Clark,11,13,7,7,17,15,4,3,1,2,0,0,2.3,3.2,2.7,2.35,3.25,2.65,2.4,3,2.6,2.25,3.5,2.5,2.38,3.2,2.62,2.375,3.2,2.7,2.37,3.1,2.62,1.7,1.9
SC0,10/11/02,Dundee United,Celtic,0,2,A,0,1,A,J Underhill,8,12,4,6,19,14,4,9,2,3,0,0,10,5,1.222,10,5.1,1.24,9,4.5,1.25,11,5,1.2,10,5.5,1.2,11,5.5,1.2,11,5,1.2,1.44,2.55
SC0,10/11/02,Rangers,Hibernian,2,1,H,2,1,H,M McCurry,13,8,5,3,7,34,9,3,0,5,0,0,1.143,6.5,12,1.18,6,12.5,1.15,6,12,1.14,6,12,1.12,6.5,13,1.143,6.5,13,1.12,6,15,1.44,2.52
SC0,12/11/02,Dundee,Dunfermline,2,3,A,2,1,H,A Freeland,14,12,9,9,16,12,11,5,3,1,1,0,2.375,3.2,2.625,2.4,3.25,2.6,2.3,3,2.7,2.1,3.2,3,2.2,3.25,2.8,2.25,3.25,2.75,2.25,3.2,2.75,1.7,1.9
SC0,16/11/02,Aberdeen,Rangers,2,2,D,0,1,A,S Dougal,7,11,5,7,18,9,6,3,3,2,0,0,8,4.5,1.3,9,5,1.26,9,4.5,1.25,8,4.33,1.3,8.5,4.5,1.29,9,4.5,1.286,8,4.33,1.3,1.45,2.35
SC0,16/11/02,Hibernian,Dundee,2,1,H,1,0,H,H Dallas,14,13,7,6,22,14,7,5,1,1,0,0,1.8,3.4,3.75,1.92,3.4,3.45,2,3.1,3.2,1.91,3.5,3.2,2,3.25,3.25,1.909,3.4,3.5,2,3.2,3.2,1.7,1.9
SC0,16/11/02,Kilmarnock,Livingston,2,0,H,0,0,D,C Thomson,7,10,7,6,11,15,6,5,0,3,0,0,2.25,3.25,2.75,2.25,3.25,2.82,2.3,3,2.7,2.4,3.25,2.5,2.25,3.25,2.75,2.25,3.25,2.8,2.37,3.3,2.5,1.75,1.85
SC0,16/11/02,Motherwell,Dundee United,1,2,A,0,2,A,I Brines,13,10,10,6,18,19,5,1,0,0,0,0,2.3,3.2,2.7,2.28,3.3,2.75,2.4,3,2.6,2.4,3.25,2.5,2.38,3.2,2.63,2.375,3.2,2.7,2.37,3.3,2.5,1.75,1.85
SC0,17/11/02,Celtic,Partick,4,0,H,2,0,H,K Toner,15,1,5,0,12,12,5,4,0,0,0,0,1.1,7,15,1.11,7.5,16,1.1,7,15,1.12,6,15,1.1,7,15,1.125,6.5,15,1.12,6.5,12,1.4,2.5
SC0,17/11/02,Dunfermline,Hearts,3,1,H,0,0,D,M McCurry,15,13,8,4,15,13,7,6,1,1,0,0,2.25,3.25,2.75,2.25,3.25,2.85,2.1,3,3.1,2.2,3.25,2.75,2.2,3.25,2.8,2.2,3.25,2.9,2.1,3.3,2.87,1.65,1.95
SC0,23/11/02,Dundee,Dundee United,3,2,H,2,0,H,K Clark,9,10,7,4,9,16,6,4,2,3,0,0,2.3,3,2.875,2.25,3.2,2.8,2.3,3,2.7,2.38,3.2,2.6,2.25,3.25,2.75,2.25,3.25,2.75,2.3,3.1,2.75,1.9,1.7
SC0,23/11/02,Hibernian,Motherwell,3,1,H,0,0,D,D McDonald,10,6,4,6,16,23,6,5,0,3,1,3,1.533,3.75,5,1.6,3.4,5.2,1.65,3.3,4.4,1.5,3.6,5.5,1.57,3.4,5.5,1.571,3.4,5.5,1.53,3.4,5.5,1.7,1.9
