Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,BSH,BSD,BSA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA
SC0,25/08/12,Hibernian,St Johnstone,2,0,H,1,0,H,12,10,7,4,14,14,6,8,1,2,0,0,2.38,3.25,3,2.45,3.1,2.7,2.45,3.1,2.7,2.4,3.1,2.7,2.38,3.25,3,2.55,3.34,3,2.4,3.1,2.6,2.6,3.25,2.63,2.5,3.3,3,2.2,3.3,3,34,2.6,2.42,3.4,3.2,3.12,2.88,24,2.28,2.15,1.74,1.65,17,0,1.79,1.75,2.16,2.11
SC0,25/08/12,Inverness C,Celtic,2,4,A,0,2,A,11,15,9,6,12,6,3,9,3,0,0,0,7,4,1.5,6,3.75,1.5,6,3.75,1.5,4.5,3.5,1.65,7,4,1.5,6.8,4.25,1.54,5.5,3.6,1.5,6.5,3.8,1.5,7,4.2,1.53,7,4,1.44,34,7.2,6.36,4.28,3.94,1.65,1.51,29,1.94,1.85,2,1.94,16,1,2.03,1.98,1.93,1.89
SC0,25/08/12,Kilmarnock,Dundee United,3,1,H,0,0,D,8,7,6,2,14,12,10,2,2,1,0,0,3.8,3.5,1.95,3.5,3.2,2,3.5,3.2,2,3.3,3.2,2,3.75,3.3,2,3.93,3.51,2.04,3.3,3.1,2,3.6,3.3,2.05,3.9,3.5,2,3.75,3.3,2,34,4,3.69,3.5,3.29,2.1,2,29,2.21,2.11,1.81,1.7,16,0.25,2.23,2.17,1.82,1.71
SC0,26/08/12,Aberdeen,Hearts,0,0,D,0,0,D,7,3,2,1,14,19,9,1,1,4,0,0,2.5,3.25,2.8,2.45,3.1,2.7,2.45,3.1,2.7,2.55,3.1,2.55,2.4,3.25,2.88,2.61,3.23,2.97,2.4,2.9,2.8,2.6,3.13,2.8,2.6,3.2,2.9,2.4,3.2,2.8,34,2.55,2.46,3.3,3.16,3.12,2.86,24,2.37,2.23,1.72,1.6,17,0,1.8,1.72,2.23,2.13
SC0,26/08/12,Motherwell,St Mirren,1,1,D,1,0,H,5,17,2,8,19,10,2,11,2,3,1,0,1.83,3.5,4.2,1.85,3.25,4,1.85,3.25,4,1.85,3.2,3.8,1.83,3.5,4.33,2.02,3.43,4.12,1.83,3.2,3.75,1.91,3.3,4,1.98,3.4,4.2,1.91,3.3,3.75,34,2.02,1.92,3.5,3.31,4.4,4.01,29,2.2,2.11,1.78,1.7,14,-0.5,2.04,1.98,1.93,1.89
SC0,01/09/12,Aberdeen,St Mirren,0,0,D,0,0,D,12,3,3,1,11,12,9,3,0,3,0,0,2.05,3.4,3.5,1.91,3.1,3.9,1.91,3.1,3.9,2.1,3.1,3.2,2.05,3.3,3.6,2.16,3.27,3.81,2.15,3.2,3.6,2.1,3.25,3.5,2.1,3.3,3.75,2.1,3.3,3.5,35,2.17,2.09,3.4,3.23,3.81,3.49,25,2.52,2.3,1.62,1.57,17,-0.25,1.88,1.84,2.08,2.03
SC0,01/09/12,Celtic,Hibernian,2,2,D,1,0,H,14,4,6,2,7,13,11,1,0,0,0,0,1.2,6,15,1.2,5.5,12,1.2,5.5,12,1.2,5.2,11,1.22,6,13,,,,1.22,6,13,1.2,5.8,15,1.22,6,17,1.2,6.5,13,35,1.22,1.2,6.5,5.79,19,13.68,25,1.62,1.55,2.52,2.35,17,-1.75,1.87,1.83,2.1,2.04
SC0,01/09/12,Ross County,Kilmarnock,0,0,D,0,0,D,10,10,5,5,13,13,8,5,5,2,0,0,2,3.3,3.8,2.1,3.1,3.3,2.1,3.1,3.3,2.1,3.1,3.2,2.1,3.3,3.5,2.1,3.35,3.91,2.1,3.25,3.6,2.1,3.25,3.5,2.1,3.3,3.9,2.05,3.3,3.75,35,2.15,2.08,3.5,3.25,3.91,3.48,24,2.24,2.14,1.77,1.65,17,-0.25,1.83,1.77,2.16,2.12
SC0,01/09/12,St Johnstone,Dundee United,0,0,D,0,0,D,7,6,2,2,9,10,6,6,0,2,0,0,3.6,3.2,2.1,3.3,3.2,2.05,3.3,3.2,2.05,3.3,3.2,2,3.5,3.3,2.1,3.85,3.55,2.05,3.6,3.4,2.05,3.4,3.3,2.1,3.75,3.5,2.05,3.6,3.4,2.05,35,3.85,3.47,3.55,3.3,2.2,2.06,30,2.1,1.98,1.87,1.81,17,0.25,2.18,2.11,1.86,1.76
SC0,02/09/12,Hearts,Dundee,0,1,A,0,1,A,8,3,3,2,14,15,9,1,2,3,0,0,1.4,4.33,8.5,1.5,3.75,6,1.5,3.75,6,1.4,4,6.5,1.5,4,7,1.51,4.35,7.4,1.5,4,7,1.44,4,7.5,1.45,4.2,8.5,1.5,4,7,35,1.51,1.45,4.35,4.03,8.5,7.1,30,1.98,1.9,1.98,1.89,18,-1,1.83,1.79,2.14,2.07
SC0,02/09/12,Motherwell,Inverness C,4,1,H,2,1,H,11,14,6,9,16,11,10,10,1,1,0,0,2.1,3.25,3.6,1.95,3.2,3.6,1.95,3.2,3.6,2,3.2,3.3,2,3.3,3.75,2.23,3.41,3.47,2.25,3.3,3.2,2.2,3.25,3.4,2.2,3.3,3.5,2.1,3.3,3.5,35,2.25,2.11,3.41,3.27,3.8,3.42,30,2.1,2,1.85,1.79,17,-0.25,1.93,1.88,2.02,1.98
SC0,14/09/12,Dundee United,Ross County,0,0,D,0,0,D,14,4,7,0,4,12,4,4,0,2,0,0,1.62,3.75,5.5,1.65,3.5,4.75,1.65,3.5,4.75,1.65,3.5,4.5,1.67,3.75,5,1.65,3.85,6.22,1.6,3.75,6,1.62,3.6,5.5,1.65,3.75,6,1.67,3.75,5.25,38,1.79,1.7,3.75,3.52,6,5.05,34,2.22,2.11,1.78,1.71,19,-0.75,2.03,1.99,1.91,1.88
SC0,15/09/12,Dundee,Motherwell,1,2,A,1,0,H,8,10,4,7,8,7,4,10,0,2,0,0,3.5,3.3,2.1,3.5,3.1,2.05,3.5,3.1,2.05,3.1,3.1,2.15,3.5,3.25,2.1,3.93,3.48,2.04,3.4,3.25,2.1,3.5,3.25,2.1,3.8,3.4,2.1,3.6,3.3,2.1,37,4,3.61,3.48,3.29,2.15,2.03,33,2.19,2.1,1.8,1.71,17,0.25,2.26,2.18,1.84,1.71
SC0,15/09/12,Hibernian,Kilmarnock,2,1,H,2,1,H,11,11,6,3,19,12,3,10,1,2,0,0,2.25,3.25,3.2,2.1,3.1,3.3,2.1,3.1,3.3,2.1,3.1,3.2,2.2,3.3,3.3,2.3,3.33,3.39,2.2,3.1,3.3,2.2,3.25,3.25,2.3,3.3,3.4,2.2,3.3,3.3,37,2.34,2.23,3.33,3.22,3.4,3.18,33,2.18,2.06,1.8,1.73,18,-0.25,2.01,1.96,1.95,1.89
SC0,15/09/12,Inverness C,Aberdeen,1,1,D,0,0,D,4,2,2,1,12,14,4,13,3,0,1,1,2.8,3.25,2.5,2.55,3.2,2.55,2.55,3.2,2.55,2.4,3.1,2.7,2.6,3.3,2.62,2.93,3.33,2.58,2.5,3.25,2.62,2.75,3.13,2.6,2.9,3.3,2.6,2.8,3.3,2.5,37,3.16,2.87,3.3,3.17,2.7,2.46,33,2.25,2.13,1.79,1.69,20,0,2.25,2.11,1.85,1.72
SC0,15/09/12,St Johnstone,Celtic,2,1,H,1,1,D,13,12,9,5,22,18,5,2,4,4,0,0,9,4.5,1.36,7.25,4,1.4,7.25,4,1.4,5.5,3.8,1.5,8,4.33,1.4,8.32,4.68,1.44,7.5,4,1.44,7.5,4,1.44,8,4.6,1.4,8.5,4.33,1.4,37,9.5,8.09,4.85,4.29,1.5,1.4,33,1.94,1.85,2.02,1.92,18,1.25,1.95,1.91,2,1.95
SC0,15/09/12,St Mirren,Hearts,2,0,H,1,0,H,4,5,4,0,6,8,2,15,1,0,0,0,2.7,3.2,2.63,2.8,3,2.45,2.8,3,2.45,2.7,3.1,2.4,2.8,3.25,2.5,2.79,3.27,2.74,2.75,3.1,2.5,2.75,3.2,2.6,2.75,3.25,2.75,2.88,3.2,2.5,37,2.9,2.74,3.3,3.17,2.7,2.57,26,2.5,2.3,1.67,1.57,20,0,2.08,2,1.88,1.83
SC0,22/09/12,Celtic,Dundee,2,0,H,1,0,H,23,6,11,2,6,9,8,0,0,2,0,0,1.2,6.5,13,1.16,6.25,13,1.16,6.25,13,1.18,5.7,12,1.17,6,11,,,,1.2,5.5,19,1.14,7,19,1.2,7,15,1.17,7,17,36,1.2,1.17,7,6.62,20,14.86,25,1.59,1.49,2.6,2.43,17,-2,1.89,1.79,2.12,2.06
SC0,22/09/12,Dundee United,Hearts,0,3,A,0,2,A,9,8,3,5,7,19,6,5,0,2,0,0,2,3.3,3.75,2,3.25,3.4,2,3.25,3.4,1.9,3.2,3.6,2,3.2,3.2,2.01,3.44,4.24,2.1,3.1,3.75,2,3.25,3.75,2,3.4,4.2,1.95,3.4,4,36,2.1,1.99,3.45,3.27,4.15,3.76,26,2.3,2.14,1.72,1.65,12,-0.25,1.74,1.71,2.26,2.19
SC0,22/09/12,Hibernian,Inverness C,2,2,D,2,1,H,14,8,8,6,11,10,8,9,3,1,0,0,2.1,3.4,3.4,2.1,3.1,3.3,2.1,3.1,3.3,2,3.2,3.3,1.8,3.3,3.75,2.25,3.56,3.3,2.3,3.1,3.3,2.1,3.3,3.4,2.2,3.5,3.3,2,3.4,3.6,36,2.3,2.13,3.5,3.27,3.6,3.34,28,2.1,1.97,1.85,1.78,15,-0.25,2.16,2.05,1.99,1.82
SC0,22/09/12,Kilmarnock,St Mirren,3,1,H,1,0,H,11,20,7,11,6,11,2,4,1,4,0,0,2.5,3.25,2.8,2.3,3.25,2.8,2.3,3.25,2.8,2.2,3.1,3,2.2,3.2,2.8,2.5,3.31,3.06,2.5,3,3,2.5,3.2,2.88,2.45,3.25,3,2.5,3.2,2.88,36,2.5,2.43,3.4,3.17,3.2,2.9,26,2.22,2.12,1.77,1.66,18,0,1.81,1.76,2.14,2.08
SC0,22/09/12,Ross County,St Johnstone,1,2,A,0,1,A,20,6,8,3,9,10,4,2,1,1,0,1,2.38,3.25,3,2.2,3.2,3,2.2,3.2,3,2.2,3.1,3,2.2,3.2,2.8,2.54,3.23,3.05,2.5,3,3,2.3,3.25,3,2.5,3.2,3,2.25,3.25,3.2,36,2.55,2.37,3.3,3.17,3.25,2.98,26,2.5,2.32,1.64,1.56,18,0,1.8,1.72,2.2,2.11
SC0,23/09/12,Aberdeen,Motherwell,3,3,D,1,1,D,12,19,8,11,14,11,5,5,0,3,0,0,2.3,3.25,3.1,2.25,3.2,2.9,2.25,3.2,2.9,2.2,3.1,3,2.38,3.1,2.62,2.44,3.22,3.22,2.5,3,3,2.4,3.13,3,2.4,3.2,3.2,2.4,3.3,2.9,36,2.5,2.34,3.3,3.16,3.25,3.02,25,2.4,2.2,1.67,1.61,18,0,1.78,1.7,2.21,2.13
SC0,29/09/12,Aberdeen,Hibernian,2,1,H,1,1,D,7,4,4,3,8,10,9,5,0,3,0,0,2,3.3,3.8,2.1,3.2,3.2,2.1,3.2,3.2,2.1,3.1,3.2,2.2,3.3,3.3,2.06,3.57,3.79,2.15,3.2,3.5,2.2,3.25,3.2,2.1,3.5,3.7,2.1,3.3,3.5,33,2.2,2.08,3.54,3.29,3.8,3.48,33,2.15,2.07,1.82,1.73,16,-0.25,1.84,1.74,2.19,2.13
SC0,29/09/12,Dundee,St Johnstone,1,3,A,1,2,A,3,5,3,3,8,9,3,8,3,1,0,0,3.3,3.3,2.2,3.2,3.2,2.1,3.2,3.2,2.1,3.2,3.1,2.1,3.3,3.3,2.2,3.55,3.32,2.24,3.2,3.2,2.3,3.25,3.25,2.2,3.5,3.25,2.25,3.3,3.3,2.2,36,3.55,3.33,3.4,3.24,2.24,2.16,27,2.36,2.19,1.72,1.62,16,0.25,2.03,1.98,1.92,1.88
SC0,29/09/12,Hearts,Kilmarnock,1,3,A,0,1,A,12,6,2,3,9,9,10,1,0,2,0,0,1.91,3.4,4,1.85,3.4,3.75,1.85,3.4,3.75,1.9,3.2,3.6,1.91,3.4,4,1.96,3.49,4.35,2.05,3.2,3.75,1.9,3.4,4,2,3.4,4.2,1.91,3.4,4.2,33,1.95,1.88,3.58,3.37,4.72,4.13,27,2.26,2.16,1.75,1.64,15,-0.5,1.89,1.84,2.06,2.02
SC0,29/09/12,Inverness C,Dundee United,4,0,H,2,0,H,7,10,6,2,12,11,5,4,2,2,0,0,3,3.25,2.38,2.9,3.2,2.25,2.9,3.2,2.25,2.8,3.1,2.3,3,3.25,2.3,3.25,3.48,2.32,3.1,3.1,2.4,3,3.25,2.3,3.12,3.4,2.3,3.2,3.3,2.25,36,3.2,2.99,3.45,3.25,2.4,2.32,33,2.02,1.88,2.01,1.9,20,0,2.29,2.2,1.72,1.66
SC0,29/09/12,Motherwell,Celtic,0,2,A,0,2,A,3,18,0,12,10,6,2,7,2,2,1,0,5.5,4,1.57,5,3.6,1.6,5,3.6,1.6,4.3,3.4,1.7,4.5,3.5,1.62,5.65,3.98,1.66,5.5,3.5,1.67,5.25,3.6,1.67,5.5,3.9,1.65,5.5,3.8,1.62,36,6,5.33,4,3.7,1.7,1.63,33,1.92,1.83,2.04,1.95,19,1,1.83,1.78,2.14,2.07
SC0,29/09/12,St Mirren,Ross County,5,4,H,1,2,A,9,4,7,4,6,13,4,1,2,2,0,0,2.38,3.25,3,2.1,3.2,3.2,2.1,3.2,3.2,2.2,3.1,3,2,3.2,3.2,2.31,3.32,3.38,2.38,3.1,3.2,2.3,3.2,3.13,2.3,3.25,3.3,2.3,3.2,3.2,36,2.38,2.27,3.35,3.19,3.35,3.11,27,2.38,2.23,1.72,1.6,20,0,1.68,1.64,2.33,2.25
SC0,05/10/12,Inverness C,Ross County,3,1,H,2,0,H,9,11,6,6,16,18,3,5,4,3,0,0,2.3,3.25,3.1,2.15,3.2,3.1,2.15,3.2,3.1,2.2,3.1,3,2.25,3.2,3.2,2.47,3.33,3.08,2.3,3.3,3.1,2.3,3.3,3,2.45,3.3,3.1,2.38,3.25,3,36,2.44,2.34,3.47,3.25,3.2,2.96,32,2.1,1.95,1.97,1.85,21,0,1.76,1.7,2.25,2.16
SC0,06/10/12,Hibernian,Dundee,3,0,H,1,0,H,14,5,7,2,15,11,5,2,1,0,0,0,1.73,3.6,4.75,1.7,3.4,4.6,1.7,3.4,4.6,1.65,3.5,4.5,1.67,3.75,5,1.79,3.79,4.84,1.8,3.2,5,1.73,3.5,5,1.75,3.7,5,1.67,3.75,5.25,35,1.8,1.71,3.86,3.53,5.25,4.81,31,1.97,1.9,1.97,1.89,16,-0.75,2.04,2,1.91,1.87
SC0,06/10/12,Kilmarnock,Aberdeen,1,3,A,1,0,H,8,13,6,6,12,18,3,4,3,3,0,0,2.63,3.3,2.6,2.4,3.25,2.65,2.4,3.25,2.65,2.4,3.1,2.7,2.5,3.25,2.8,2.78,3.26,2.75,2.7,3.1,2.7,2.6,3.2,2.75,2.75,3.25,2.7,2.6,3.25,2.75,35,2.79,2.58,3.3,3.17,2.85,2.69,31,2.2,2.09,1.78,1.71,20,0,1.97,1.91,1.96,1.92
SC0,06/10/12,St Johnstone,St Mirren,2,1,H,2,0,H,9,12,7,6,12,11,2,6,1,3,0,0,2.5,3.25,2.8,2.15,3.2,3.1,2.15,3.2,3.1,2.2,3.1,3,2.3,3.2,3.1,2.5,3.3,3.05,2.6,3.1,3,2.38,3.2,3,2.45,3.25,3,2.38,3.3,3,35,2.6,2.39,3.4,3.19,3.1,2.94,31,2.3,2.18,1.72,1.66,20,0,1.78,1.72,2.2,2.12
SC0,07/10/12,Celtic,Hearts,1,0,H,1,0,H,14,7,5,4,10,12,6,5,1,2,0,0,1.3,5.25,9.5,1.38,5,8.75,1.38,5,8.75,1.27,4.8,9.5,1.3,5.5,9,1.32,5.51,11.25,1.33,4.5,11,1.3,4.8,9.5,1.3,5.5,11,1.29,5.5,11,35,1.33,1.29,5.51,5.08,11.25,9.8,24,1.77,1.66,2.3,2.15,19,-1.5,1.94,1.89,2,1.96
SC0,19/10/12,Dundee,Inverness C,1,4,A,1,2,A,8,3,6,2,5,9,5,9,2,0,0,0,3.4,3.4,2.1,3,3.3,2.15,3,3.3,2.15,3.2,3.1,2.1,3.25,3.25,2.2,3.45,3.52,2.19,3.3,3.3,2.2,3.3,3.3,2.1,3.4,3.5,2.2,3.2,3.4,2.2,34,3.76,3.31,3.63,3.32,2.2,2.12,30,1.91,1.84,2.07,1.95,18,0,2.67,2.49,1.6,1.53
SC0,20/10/12,Dundee United,Aberdeen,1,1,D,1,0,H,12,11,4,5,11,8,2,3,1,4,0,0,2.2,3.4,3.2,2,3.25,3.4,2,3.25,3.4,2.1,3.1,3.2,2.1,3.4,3.4,2.36,3.22,3.4,2.25,3.2,3.3,2.3,3.2,3.12,2.3,3.3,3.3,2.25,3.3,3.2,33,2.38,2.24,3.4,3.2,3.44,3.17,22,2.28,2.16,1.75,1.65,15,-0.25,2.01,1.97,1.93,1.9
SC0,20/10/12,Ross County,Hibernian,3,2,H,2,2,D,11,10,6,4,9,17,7,9,1,2,0,0,2.5,3.4,2.7,2.35,3.3,2.7,2.35,3.3,2.7,2.5,3.1,2.6,2.62,3.3,2.62,2.48,3.46,2.95,2.6,3.2,2.75,2.5,3.25,2.75,2.55,3.4,2.88,2.6,3.3,2.7,33,2.62,2.52,3.51,3.23,2.95,2.72,29,2.12,2,1.9,1.79,18,0,1.88,1.81,2.11,2.01
SC0,20/10/12,St Johnstone,Kilmarnock,2,1,H,1,0,H,15,12,8,5,9,14,5,9,1,2,0,0,2.1,3.3,3.5,2.05,3.25,3.3,2.05,3.25,3.3,2,3.2,3.3,2.1,3.3,3.5,2.14,3.52,3.57,2.1,3.3,3.6,2.1,3.3,3.5,2.1,3.5,3.5,2.1,3.4,3.4,33,2.15,2.06,3.59,3.3,3.7,3.5,29,2.14,2.05,1.84,1.75,15,-0.25,1.85,1.79,2.14,2.09
