Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,PKG/A,SC%,SOG%
Eddie Lewis,SJ,M,29,26,2233,2,14,35,21,0/0,5.7,60.0
John Maessner,DC,M-D,32,20,2008,2,9,32,18,0/0,6.3,56.3
Paul Wright,KC,F,30,18,1646,5,3,31,22,0/0,16.1,71.0
Danny Pena,LA,D,27,26,2230,2,2,31,12,0/0,6.5,38.7
Shawn Medved,SJ,M,31,15,1591,4,4,30,15,0/0,13.3,50.0
Ted Chronopoulos,NE,D,30,30,2624,2,1,30,13,0/0,6.7,43.3
Miles Joseph,MET,M,29,15,1745,2,10,29,15,0/0,6.9,51.7
Peter Vermes,COL,D,26,25,2206,6,4,29,12,0/0,20.7,41.4
Eric Wynalda,SJ,F,14,9,923,5,11,28,14,2/2,17.9,50.0
Joe-Max Moore,NE,F,13,12,987,4,2,28,15,2/3,14.3,53.6
Greg Vanney,LA,D,28,27,2318,1,3,28,8,0/0,3.6,28.6
Ted Eck,DAL,M-F,30,22,1839,1,4,27,11,0/0,3.7,40.7
Alan Prampin,TB,F,24,12,1212,7,3,26,17,0/0,26.9,65.4
Marcelo Carrera,CLB,F,20,14,1224,3,2,26,11,0/0,11.5,42.3
Thomas Dooley,CLB,D,15,15,1310,4,1,26,15,0/0,15.4,57.7
Jason Farrell,CLB,F,18,10,1027,2,2,25,8,0/0,8.0,32.0
Steve Trittschuh,COL,D,29,29,2566,5,1,25,12,0/0,20.0,48.0
Alexi Lalas,NE,D,30,29,2607,2,3,24,10,0/0,8.3,41.7
Doctor Khumalo,CLB,M,18,18,1323,2,4,23,13,0/0,8.7,56.5
Brian Kelly,MET,M,21,14,1354,1,4,23,9,0/0,4.3,39.1
Istvan Urbanyi,SJ,M,23,19,1555,1,3,22,9,0/0,4.5,40.9
Carlos Valderrama,TB,M,20,20,1740,3,19,22,9,1/1,13.6,40.9
Richie Williams,DC,M,30,29,2606,2,9,22,8,0/0,9.1,36.4
Nelson Vargas,TB,M,21,9,967,3,2,21,6,0/1,14.3,28.6
Mike Sorber,MET,M,22,22,1889,4,0,21,7,0/0,19.0,33.3
Jorge Salcedo,CLB,M,28,26,2240,1,5,21,4,0/0,4.8,19.0
Chris Armas,LA,M,28,28,2307,3,5,21,9,0/0,14.3,42.9
John Doyle,SJ,D,27,27,2376,2,1,21,12,0/0,9.5,57.1
Evans Wise,NE,M,22,8,979,3,0,20,9,0/0,15.0,45.0
Steve Rammel,COL,F,21,11,1132,1,1,20,13,0/0,5.0,65.0
Sean Henderson,COL,M,25,19,1650,3,0,20,12,0/0,15.0,60.0
Frankie Hejduk,TB,D,23,22,1942,1,6,20,10,0/0,5.0,50.0
John Kerr,NE,F,19,14,1136,2,4,19,15,0/0,10.5,78.9
Sam George,NE,M,23,14,1327,4,0,18,10,0/0,22.2,55.6
Troy Dayak,SJ,D,21,21,1817,3,2,18,9,0/0,16.7,50.0
Christopher Sullivan,SJ,M,24,8,1017,2,6,17,8,0/0,11.8,47.1
Ben Iroha,DC,M,21,18,1391,4,5,17,6,0/0,23.5,35.3
Dominic Kinnear,SJ,M,28,24,1939,2,4,17,6,0/0,11.8,35.3
Arnold Cruz,DC,D,25,23,2058,0,3,17,6,0/0,0.0,35.3
Darren Sawatzky,NE,F,26,5,895,1,0,16,7,0/0,6.3,43.8
Marco Ferruzzi,TB,M,19,5,578,0,2,15,5,0/0,0.0,33.3
Sean Bowers,KC,D,26,24,2017,3,0,15,8,0/0,20.0,53.3
Matt McKeon,KC,D,31,30,2737,4,1,15,7,0/0,26.7,46.7
Jeff Agoos,DC,D,29,27,2412,1,3,14,9,0/0,7.1,64.3
Daniel Peinado,DAL,M,25,22,1870,2,4,13,9,0/0,15.4,69.2
Brian Bliss,CLB,D,28,24,2047,1,2,13,1,0/0,7.7,7.7
Steve Pittman,KC,D,26,23,2068,0,0,13,3,0/0,0.0,23.1
Paul Keegan,NE,F,16,5,652,1,1,12,5,0/0,8.3,41.7
Tab Ramos,MET,M,13,13,1006,2,4,12,4,0/0,16.7,33.3
Mike Lapper,CLB,D,20,20,1785,1,2,12,4,0/0,8.3,33.3
Mark Semioli,LA,D,29,28,2381,2,1,12,4,0/0,16.7,33.3
Mark Santel,DAL,M,31,26,2470,2,6,12,5,0/0,16.7,41.7
Eddie Pope,DC,D,29,29,2513,3,2,12,4,0/0,25.0,33.3
Kris Kelderman,DC,M,24,9,910,2,4,11,6,0/0,18.2,54.5
Braeden Cloutier,MET,M,17,10,922,0,1,11,5,0/0,0.0,45.5
Brian Johnson,KC,M,14,10,951,1,1,11,6,0/0,9.1,54.5
Rob Smith,CLB,M,25,8,1106,0,0,11,2,0/0,0.0,18.2
Manny Lagos,MET,M,15,15,1216,0,2,11,6,0/0,0.0,54.5
Alejandro Farias,NE,M,25,24,2070,1,3,11,5,0/0,9.1,45.5
Rob Jachym,CLB,F,9,1,247,0,0,10,5,0/0,0.0,50.0
Temoc Suarez,DAL,M,19,6,721,1,3,10,3,0/0,10.0,30.0
Ramiro Corrales,SJ,M,14,11,1033,0,0,10,4,0/0,0.0,40.0
Tote Castaneda,COL,M,24,18,1642,0,2,10,3,0/0,0.0,30.0
Ansil Elcock,CLB,D,26,21,1858,1,0,10,2,0/0,10.0,20.0
Todd Yeagley,CLB,M,27,22,1997,2,1,10,5,0/0,20.0,50.0
Rhett Harty,MET,D,26,26,2279,0,1,10,6,0/0,0.0,60.0
Michael Emenalo,SJ,D,27,26,2283,1,2,10,4,0/0,10.0,40.0
Cle Kooiman,TB,D,27,27,2296,1,2,10,5,0/0,10.0,50.0
Guillermo Jara,LA,M,15,2,353,0,2,9,6,0/0,0.0,66.7
Brian Taylor,LA,M,11,5,413,1,0,9,4,0/0,11.1,44.4
Edmundo Rodriguez,KC,M,16,4,543,1,2,9,3,0/0,11.1,33.3
Paul Caligiuri,LA,D,16,16,1406,1,2,9,7,0/0,11.1,77.8
Diego Sonora,DAL,M-D,16,16,1421,1,2,9,4,0/0,11.1,44.4
Branco,MET,D,11,11,922,1,2,8,6,0/1,12.5,75.0
Kerry Zavagnin,MET,M,21,12,1089,0,0,8,3,0/0,0.0,37.5
Mike Duhaney,TB,D,27,25,2205,0,0,8,3,0/0,0.0,37.5
Dan Calichman,LA,D,32,32,2848,0,0,8,2,0/0,0.0,25.0
Cristian da Silva,MET,D,14,6,592,0,1,7,1,0/0,0.0,14.3
Guido,MET,M,9,9,792,0,1,7,1,0/0,0.0,14.3
Ezra Hendrickson,LA,D,14,6,797,0,1,7,2,0/0,0.0,28.6
Ross Paule,COL,M,19,7,858,2,3,7,4,0/0,28.6,57.1
Steve Jolley,LA,D,12,10,882,0,1,7,4,0/0,0.0,57.1
Richard Gough,KC,D,17,17,1457,0,1,7,5,0/0,0.0,71.4
Wade Webber,DAL,D,18,18,1588,2,1,7,3,0/0,28.6,42.9
Tom Soehn,DAL,D,25,21,1948,0,2,7,4,0/0,0.0,57.1
Tim Martin,SJ,D,28,28,2422,0,3,7,2,0/0,0.0,28.6
Mike Clark,CLB,D,31,28,2484,1,2,7,4,0/0,14.3,57.1
Billy Thompson,CLB,M,6,4,298,1,1,6,3,0/0,16.7,50.0
Jorge Flores,DAL,M,12,8,667,1,1,6,3,0/0,16.7,50.0
Clint Peay,DC,D,13,8,814,1,0,6,3,0/0,16.7,50.0
Oscar Draguicevich,SJ,D,13,10,890,0,1,6,0,0/0,0.0,0.0
Joao Batista,TB,M,17,12,1051,1,1,6,3,0/0,16.7,50.0
Adam Frye,TB,D,18,17,1437,0,2,6,1,0/0,0.0,16.7
Uche Okafor,KC,D,27,27,2386,0,3,6,2,0/0,0.0,33.3
Frank Yallop,TB,D,27,27,2430,0,0,6,1,0/0,0.0,16.7
John Jones,LA,M,5,0,91,0,0,5,3,0/0,0.0,60.0
Brian Kamler,DC,M,5,1,161,1,0,5,3,0/0,20.0,60.0
Silvio Rudman,CLB,M,6,2,191,0,0,5,2,0/0,0.0,40.0
Jesse Marsch,DC,M,11,1,233,3,3,5,3,0/0,60.0,60.0
Mario Gori,DC,D,8,8,609,1,0,5,4,0/0,20.0,80.0
John DeBrito,KC,D,10,8,621,0,0,5,3,0/0,0.0,60.0
Tahj Jakins,COL,D,19,12,1132,0,1,5,2,0/0,0.0,40.0
Leonardo Squadrone,NE,D,23,23,1881,0,0,5,1,0/0,0.0,20.0
Ryan Tinsley,KC,D,31,29,2588,1,4,5,3,0/0,20.0,60.0
Matt Kmosko,COL,D,31,31,2760,0,3,5,3,0/0,0.0,60.0
Jose Botello,LA,F,7,0,151,0,1,4,1,0/0,0.0,25.0
Peter Hattrup,DAL,M,7,2,225,0,1,4,2,0/1,0.0,50.0
Zico,SJ,F,7,3,257,1,1,4,3,0/0,25.0,75.0
Eric Dade,DAL,D,15,14,1306,0,0,4,2,0/0,0.0,50.0
David Vaudreuil,DC,D,25,19,1790,0,2,4,2,0/0,0.0,50.0
Ante Razov,LA,F,3,0,79,0,0,3,3,0/0,0.0,100.0
Jose Vasquez,LA,D,5,2,248,3,0,3,3,0/0,100.0,100.0
Carlos Parra,MET,M,4,3,273,0,0,3,2,0/0,0.0,66.7
Chris Martinez,COL,D,8,3,330,0,0,3,1,0/0,0.0,33.3
Janusz Michallik,CLB,M,10,6,447,0,0,3,0,0/0,0.0,0.0
Bill Harte,NE,M,9,5,459,0,1,3,1,0/0,0.0,33.3
Brian Bates,COL,M,11,7,540,0,0,3,1,0/0,0.0,33.3
Jeff Zaun,MET,D,10,6,623,0,0,3,1,0/0,0.0,33.3
Erik Imler,DC,M,15,9,855,0,0,3,1,0/0,0.0,33.3
Robin Fraser,LA,D,24,24,2021,0,0,3,0,0/0,0.0,0.0
Scott Benedetti,COL,F,3,1,133,0,0,2,0,0/0,0.0,0.0
Musa Shannon,TB,M-F,5,1,148,1,0,2,1,0/0,50.0,50.0
Brad Wilson,LA,D,3,3,222,0,0,2,1,0/0,0.0,50.0
Rafael Amaya,COL,D,7,3,236,0,1,2,1,0/0,0.0,50.0
Joey Martinez,DAL,D,19,19,1503,0,0,2,2,0/0,0.0,100.0
Marco Rizi,MET,D,1,0,33,0,0,1,0,0/0,0.0,0.0
Dan Stebbins,DAL,F,1,1,38,0,0,1,1,0/0,0.0,100.0
Gerson Echeverry,MET,F,1,1,74,0,1,1,0,0/0,0.0,0.0
Todd Miller,CLB,M,3,1,81,0,0,1,0,0/0,0.0,0.0
Eric Quill,TB,F,2,1,108,0,0,1,1,0/0,0.0,100.0
Damian Silvera,KC,M,3,1,166,0,0,1,0,0/0,0.0,0.0
Matt Knowles,MET,D,4,2,173,0,0,1,1,0/0,0.0,100.0
Richard Farrer,DAL,D,8,6,503,0,0,1,1,0/0,0.0,100.0
Joao Luiz,MET,D,7,7,585,0,0,1,1,0/0,0.0,100.0
Sergio Miguez,CLB,D,17,16,1361,0,2,1,0,0/0,0.0,0.0
Carlos Llamosa,DC,D,25,20,1817,0,0,1,0,0/0,0.0,0.0
Francis Okaroh,NE,D,29,29,2528,0,0,1,1,0/0,0.0,100.0
David Moxom,TB,D,0,0,0,0,0,0,0,0/0,0.0,0.0
Dionysus Sebwe,KC,D,0,0,0,0,0,0,0,0/0,0.0,0.0
Ike Udeh,KC,F,0,0,0,0,0,0,0,0/0,0.0,0.0
Diego Gutierrez,KC,D,0,0,0,0,0,0,0,0/0,0.0,0.0
Esmundo Rodriguez,SJ,M,1,0,5,0,0,0,0,0/0,0.0,0.0
Greg Lalas,NE,D,2,0,6,0,0,0,0,0/0,0.0,0.0
Gabe Jones,DAL,F,1,0,7,0,0,0,0,0/0,0.0,0.0
Nino Da Silva,KC,F,1,0,12,0,0,0,0,0/0,0.0,0.0
Jamel Mitchell,KC,M,1,0,16,0,0,0,0,0/0,0.0,0.0
Ubusuku Abukusumo,CLB,D,1,0,19,0,0,0,0,0/0,0.0,0.0
Patrick Olalere,NE,F,1,0,21,0,0,0,0,0/0,0.0,0.0
Juan Sastoque,DAL,F,2,0,23,0,0,0,0,0/0,0.0,0.0
Rob Johnson,MET,F,2,0,29,0,0,0,0,0/0,0.0,0.0
Kevin Wylie,NE,F,3,0,31,0,0,0,0,0/0,0.0,0.0
Peter Lak,LA,D,2,1,33,0,0,0,0,0/0,0.0,0.0
Altimont Butler,CLB,M,1,1,45,0,0,0,0,0/0,0.0,0.0
Tayt Ianni,SJ,D,1,1,45,0,0,0,0,0/0,0.0,0.0
Joey Thieman,DC,M,3,0,58,0,0,0,0,0/0,0.0,0.0
Brian Haynes,DAL,M,1,1,70,0,0,0,0,0/0,0.0,0.0
Steve Klein,NE,M,4,0,73,0,0,0,0,0/0,0.0,0.0
Jake Dancy,KC,M,3,0,116,0,0,0,0,0/0,0.0,0.0
Gerardo Laterza,LA,M,4,1,128,0,0,0,0,0/0,0.0,0.0
John Diffley,KC,D,6,2,148,0,0,0,0,0/0,0.0,0.0
Curt Onalfo,SJ,D,6,3,179,0,0,0,0,0/0,0.0,0.0
Brian Dunseth,NE,D,5,1,185,0,0,0,0,0/0,0.0,0.0
Derek Backman,TB,M,3,2,188,0,0,0,0,0/0,0.0,0.0
Daniel Guzman,SJ,F,3,3,219,0,1,0,0,0/0,0.0,0.0
Andrew Lewis,MET,M,19,15,1421,0,1,0,0,0/0,0.0,0.0
Brandon Pollard,DAL,D,21,16,1526,0,1,0,0,0/0,0.0,0.0
Stats Unavailable,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
