Div,Date,HT,AT,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,GBAHH,GBAHA,GBAH,,,,,,,,,,,
G1,25/09/04,Panathinaikos,Xanthi,3,1,H,2,1,H,,,,1.14,6,17,1.15,6,12,1.1,7,15,1.12,6,13,1.17,6,11,,,,,,,,,,,,,,,,,,,
G1,26/09/04,AEK,Kerkyra,2,0,H,1,0,H,,,,1.3,4.5,9,1.31,4.25,8,1.35,3.8,7.5,1.25,4.5,9,1.33,4.2,8,,,,1.55,2.2,1.73,2,-1.25,,,,,,,,,,,
G1,26/09/04,Ionikos,Kalamaria,2,0,H,1,0,H,,,,1.75,3.25,4.5,1.83,3,4,1.85,3,3.8,1.73,3.25,4,1.8,3.25,4,,,,1.83,1.83,1.75,1.8,-0.5,,,,,,,,,,,
G1,26/09/04,Kalithea,Ergotelis,3,0,H,2,0,H,,,,1.75,3.3,4.4,1.73,3.2,4.25,1.7,3.1,4.4,1.7,3.25,4.2,1.83,3.3,3.75,,,,1.79,1.9,1.73,1.83,-0.5,,,,,,,,,,,
G1,26/09/04,OFI,Egaleo,0,1,A,0,0,D,,,,2.5,3,2.7,2.37,2.95,2.72,2.5,2.7,2.8,2.38,2.9,2.75,2.5,3.2,2.5,2.5,2.9,2.6,1.95,1.71,1.95,1.77,-0.25,,,,,,,,,,,
G1,26/09/04,Panionios,PAOK,2,0,H,0,0,D,,,,2.2,2.9,3.3,2.2,3,3,2.3,3,2.7,2.2,2.9,3,2.25,3.1,2.88,,,,1.95,1.71,1.92,1.79,-0.25,,,,,,,,,,,
G1,02/10/04,Chalkidona,Kalithea,4,2,H,2,1,H,,,,1.6,3.55,5.1,1.52,3.5,5.5,1.5,3.4,5.6,1.62,3.4,4.5,1.57,3.5,5.25,,,,2.1,1.6,1.9,1.81,-1,,,,,,,,,,,
G1,02/10/04,Kerkyra,OFI,1,1,D,0,0,D,,,,1.85,3.15,4.1,1.75,3.1,4.25,1.8,3.1,4,1.9,2.9,3.75,2.05,3,3.4,,,,1.95,1.71,1.75,1.79,-0.5,,,,,,,,,,,
G1,03/10/04,AEK,Panionios,2,0,H,0,0,D,,,,1.7,3.4,4.5,1.65,3.35,4.5,1.65,3.3,4.4,1.67,3.25,4.33,1.83,3.25,3.75,1.7,3.2,4.5,1.95,1.71,1.65,1.92,-0.5,,,,,,,,,,,
G1,03/10/04,Egaleo,Ionikos,1,0,H,0,0,D,,,,1.5,3.5,6.65,1.47,3.55,6,1.45,3.6,5.8,1.53,3.4,5.5,1.53,3.6,5.5,,,,2.1,1.6,1.83,1.88,-1,,,,,,,,,,,
G1,03/10/04,Ergotelis,Aris,1,1,D,1,1,D,,,,1.9,3.15,3.9,1.9,3.15,3.5,2,2.9,3.4,2.2,2.9,3,2.2,3.1,3,,,,2.2,1.55,1.9,1.66,-0.5,,,,,,,,,,,
G1,03/10/04,Kalamaria,Panathinaikos,0,1,A,0,1,A,,,,11,5.25,1.22,9.5,4.25,1.27,8.5,4,1.3,10,4.33,1.25,9,5,1.25,,,,2.1,1.6,2,1.73,-0.75,,,,,,,,,,,
G1,03/10/04,PAOK,Iraklis,1,0,H,1,0,H,,,,2.1,3,3.4,2.05,3,3.25,2,3,3.3,2,2.9,3.5,2,3.1,3.4,2,3,3.4,1.95,1.71,2.05,1.56,-0.5,,,,,,,,,,,
G1,03/10/04,Xanthi,Olympiakos,2,1,H,0,1,A,,,,10,5.5,1.22,8,4.25,1.3,8.5,4,1.3,8,4,1.33,8,4.2,1.33,,,,,,,,,,,,,,,,,,,
G1,16/10/04,OFI,Panionios,2,0,H,1,0,H,,,,2.7,2.85,2.65,2.58,2.9,2.55,2.7,2.8,2.5,2.4,2.9,2.7,2.6,3,2.5,,,,2.2,1.55,1.37,2.55,0.5,,,,,,,,,,,
G1,16/10/04,Olympiakos,Ergotelis,2,0,H,1,0,H,,,,1.08,8,21,1.08,7,19,1.05,9,18,1.05,8,19,1.08,7.5,17,,,,1.45,2.45,,,,,,,,,,,,,,
G1,16/10/04,Panathinaikos,Egaleo,0,0,D,0,0,D,,,,1.32,4.5,8,1.28,4.25,9,1.3,4,8.5,1.3,4,9,1.29,4.5,8.5,,,,1.9,1.75,1.28,2.89,-0.5,,,,,,,,,,,
G1,17/10/04,Aris,Chalkidona,1,2,A,1,1,D,,,,2.7,2.85,2.65,2.58,2.9,2.55,2.55,2.9,2.55,2.4,2.9,2.7,2.5,3,2.6,,,,1.79,1.85,1.37,2.55,0.5,,,,,,,,,,,
G1,17/10/04,Ionikos,Kerkyra,0,0,D,0,0,D,,,,1.65,3.15,5.6,1.65,3.25,4.75,1.7,3.1,4.4,1.67,3.25,4.33,1.62,3.4,5,,,,2.1,1.6,1.65,1.93,-0.5,,,,,,,,,,,
G1,17/10/04,Iraklis,AEK,1,2,A,1,0,H,,,,2.5,2.95,2.75,2.6,2.95,2.5,2.6,2.9,2.5,2.4,2.9,2.7,2.62,3.1,2.5,,,,1.9,1.7,1.38,2.5,0.5,,,,,,,,,,,
G1,17/10/04,Kalamaria,Xanthi,1,1,D,1,0,H,,,,2.8,2.95,2.45,2.6,2.95,2.5,2.7,3,2.3,2.5,2.8,2.7,2.5,3,2.6,,,,2.1,1.6,1.38,2.5,0.5,,,,,,,,,,,
G1,17/10/04,Kalithea,PAOK,1,1,D,0,0,D,,,,3.3,3.1,2.1,2.85,3.1,2.2,3.1,3,2.1,3.1,3,2.1,3.2,3.1,2.1,,,,1.65,2,1.48,2.2,0.5,,,,,,,,,,,
G1,23/10/04,OFI,Iraklis,2,1,H,1,1,D,,,,2.3,2.95,3.05,2.35,3,2.75,2.3,3,2.7,2.25,3,2.8,2.38,3.1,2.7,2.35,3.1,2.65,2.1,1.6,2.35,1.43,-0.5,,,,,,,,,,,
G1,24/10/04,AEK,Kalithea,4,1,H,1,0,H,,,,1.25,5,10,1.23,4.65,10,1.25,4.3,9.5,1.2,5,10,1.25,5,8.5,,,,1.65,2,,,,,,,,,,,,,,
G1,24/10/04,Chalkidona,Olympiakos,1,1,D,0,0,D,,,,6.8,3.75,1.45,5.75,4,1.4,6.5,3.7,1.4,6.5,3.5,1.444,5.5,3.6,1.53,,,,1.95,1.71,2.18,1.5,0.5,,,,,,,,,,,
G1,24/10/04,Egaleo,Kalamaria,0,0,D,0,0,D,,,,1.33,4.25,8.5,1.35,4,7.5,1.3,4.2,8,1.4,3.6,7,1.4,4,6.5,,,,1.9,1.75,,,,,,,,,,,,,,
G1,24/10/04,Kerkyra,Panathinaikos,2,0,H,2,0,H,,,,8.5,4.7,1.3,8.5,4.2,1.3,7.5,3.8,1.35,9,4,1.3,7.5,4.33,1.33,,,,1.85,1.79,,,,,,,,,,,,,,
G1,24/10/04,Panionios,Ionikos,1,0,H,1,0,H,,,,1.4,3.9,7.5,1.5,3.6,5.5,1.4,3.7,6.5,1.5,3.5,5.5,1.53,3.6,5.5,,,,1.95,1.71,1.5,2.18,-0.5,,,,,,,,,,,
G1,24/10/04,PAOK,Aris,2,2,D,1,0,H,,,,1.44,3.75,7,1.45,3.6,6.25,1.55,3.3,5.2,1.5,3.5,5.5,1.44,3.75,6.5,1.5,3.4,6,1.95,1.71,2.11,1.44,-1.5,,,,,,,,,,,
G1,24/10/04,Xanthi,Ergotelis,3,0,H,2,0,H,,,,1.44,3.75,7,1.42,3.75,6.5,1.35,3.8,7.5,1.4,3.6,7,1.44,3.75,6.5,,,,1.83,1.83,2.03,1.48,-1.5,,,,,,,,,,,
G1,30/10/04,Olympiakos,PAOK,5,1,H,4,0,H,,,,1.3,4.5,9.1,1.3,4.25,9,1.3,4.2,8,1.28,4.5,8,1.3,4.33,8.5,1.35,4.1,7,1.65,2,,,,,,,,,,,,,,
G1,30/10/04,Panathinaikos,Panionios,4,0,H,1,0,H,,,,1.25,5,10,1.3,4.25,9,1.25,4.3,9.5,1.28,4.5,8,1.29,4.5,8.5,1.25,5,8,1.83,1.83,1.3,2.89,-0.5,,,,,,,,,,,
G1,31/10/04,Aris,AEK,1,1,D,1,0,H,,,,5,3.4,1.65,4.25,3.3,1.7,4.8,2.9,1.7,4,3.4,1.72,4.5,3.4,1.67,4.4,3.25,1.7,1.83,1.83,1.86,1.7,0.5,,,,,,,,,,,
G1,31/10/04,Egaleo,Xanthi,1,1,D,1,1,D,,,,1.75,3.25,4.5,1.75,3.2,4.1,1.7,3,4.6,1.72,3.25,4.33,1.75,3.25,4.2,,,,2.1,1.6,1.75,1.8,-0.5,,,,,,,,,,,
G1,31/10/04,Ergotelis,Chalkidona,1,1,D,0,0,D,,,,3.35,2.95,2.15,3.15,3,2.1,3.1,3,2.1,3.2,3,2.1,3.2,3.1,2.1,,,,2,1.65,1.54,2.1,0.5,,,,,,,,,,,
G1,31/10/04,Ionikos,Iraklis,1,0,H,0,0,D,,,,2.35,3,2.9,2.4,3,2.65,2.4,3,2.6,2.37,3,2.75,2.38,3.1,2.7,,,,2,1.65,2.4,1.41,-0.5,,,,,,,,,,,
G1,31/10/04,Kalamaria,Kerkyra,3,0,H,1,0,H,,,,2.25,2.85,3.25,2.1,2.9,3.25,2.1,3,3.1,2.1,3,3.2,2.1,3,3.25,,,,2.2,1.55,2.1,1.53,-0.5,,,,,,,,,,,
G1,31/10/04,Kalithea,OFI,3,1,H,2,0,H,,,,2.25,3,3.1,2.1,3,3.15,2.1,3,3.1,2.1,3,3.2,2.2,3.1,3,,,,1.95,1.71,2.1,1.54,-0.5,,,,,,,,,,,,
G1,06/11/04,OFI,Aris,1,1,D,0,1,A,,,,1.65,3.4,5,1.65,3.35,4.5,1.75,3.2,4,1.8,3,4,1.7,3.4,4.33,1.7,3.25,4.4,1.95,1.71,1.65,1.92,-0.5,,,,,,,,,,,,
G1,06/11/04,Xanthi,Chalkidona,2,0,H,2,0,H,,,,1.95,3,3.9,1.95,3.1,3.45,2,3.1,3.2,2,2.9,3.5,2,3.1,3.4,,,,1.95,1.71,1.95,1.63,-0.5,,,,,,,,,,,,
G1,07/11/04,AEK,Olympiakos,0,0,D,0,0,D,,,,3.5,3,2.05,3.05,3,2.15,3.3,2.8,2.1,3,2.8,2.25,2.8,3.1,2.3,3,2.9,2.25,1.95,1.71,1.51,2.15,0.5,,,,,,,,,,,,
G1,07/11/04,Ionikos,Kalithea,0,0,D,0,0,D,,,,2.2,2.9,3.3,1.95,3.15,3.4,1.9,3,3.6,2.1,2.9,3.2,1.91,3.2,3.6,,,,2,1.65,1.95,1.64,-0.5,,,,,,,,,,,,
G1,07/11/04,Iraklis,Panathinaikos,0,4,A,0,2,A,,,,5.2,3.3,1.65,4.5,3.25,1.67,4.4,3.1,1.7,4.5,3.1,1.7,4.5,3.4,1.67,4.3,3.3,1.7,2,1.65,1.89,1.67,0.5,,,,,,,,,,,,
G1,07/11/04,Kerkyra,Egaleo,0,1,A,0,1,A,,,,2.65,3,2.55,2.7,3,2.35,3.1,3,2.1,2.5,2.9,2.6,2.7,3.1,2.38,,,,2.2,1.55,1.42,2.35,0.5,,,,,,,,,,,,
G1,07/11/04,Panionios,Kalamaria,0,0,D,0,0,D,,,,1.5,3.5,6.7,1.45,3.55,6.5,1.45,3.6,5.8,1.44,3.4,7,1.53,3.4,6,,,,1.9,1.75,2.11,1.44,-1.5,,,,,,,,,,,,
G1,07/11/04,PAOK,Ergotelis,0,2,A,0,0,D,,,,1.3,4.25,10,1.3,4.25,8.5,1.25,4.5,9,1.25,4.33,10,1.29,4.5,8.5,,,,1.55,2.2,1.78,1.65,-1.5,,,,,,,,,,,,
G1,20/11/04,Olympiakos,OFI,3,0,H,1,0,H,,,,1.15,6,15,1.16,5,16,1.1,7,15,1.14,5.5,15,1.14,6,13,1.15,6,11,1.45,2.45,1.16,3.81,-0.5,,,,,,,,,,,,
G1,20/11/04,Panathinaikos,Kalithea,1,0,H,1,0,H,,,,1.17,5.5,15,1.16,5,16,1.1,7,15,1.12,6,15,1.14,6,13,,,,1.45,2.45,1.16,3.81,-0.5,,,,,,,,,,,,
G1,21/11/04,Aris,Ionikos,0,2,A,0,1,A,,,,1.6,3.25,6.1,1.6,3.1,5.75,1.6,3.1,5.2,1.8,2.9,4.33,1.7,3.25,4.5,,,,2,1.65,1.6,2.01,-0.5,,,,,,,,,,,,
G1,21/11/04,Chalkidona,PAOK,2,0,H,0,0,D,,,,2.1,3.05,3.35,2.1,2.9,3.25,2,3,3.3,2,3.1,3.2,2.1,3.1,3.2,,,,1.9,1.75,2.1,1.53,-0.5,,,,,,,,,,,,
G1,21/11/04,Egaleo,Panionios,0,0,D,0,0,D,,,,2.15,2.8,3.6,2.1,2.8,3.5,2,2.9,3.4,1.83,3.2,3.6,1.91,3.2,3.6,2,3,3.4,2.1,1.6,2.1,1.56,-0.5,,,,,,,,,,,,
G1,21/11/04,Ergotelis,AEK,0,1,A,0,0,D,,,,5,3.35,1.65,5,3.1,1.67,4.4,3.3,1.65,5.5,3.4,1.53,5,3.4,1.62,,,,1.9,1.75,1.91,1.67,0.5,,,,,,,,,,,,
G1,21/11/04,Kalamaria,Iraklis,1,3,A,1,1,D,,,,2.35,3,2.9,2.45,3,2.65,2.3,3,2.7,2.1,3.1,3,2.25,3.1,2.88,,,,1.95,1.71,2.45,1.41,-0.5,,,,,,,,,,,,
G1,21/11/04,Kerkyra,Xanthi,3,0,H,2,0,H,,,,2.85,2.8,2.55,2.65,2.75,2.65,2.5,3,2.5,2.6,2.9,2.5,2.6,3,2.5,,,,2,1.65,,,,,,,,,,,,,,
G1,27/11/04,OFI,Ergotelis,5,0,H,3,0,H,,,,1.65,3.2,5.5,1.7,3.2,4.5,1.7,3,4.6,1.67,3.25,5,1.7,3.25,4.5,,,,1.95,1.66,1.7,1.87,-0.5,,,,,,,,,,,
G1,27/11/04,Panionios,Kerkyra,3,1,H,1,0,H,,,,1.45,3.7,7,1.4,4,6.25,1.4,3.7,6.5,1.5,3.5,6.5,1.53,3.5,5.5,,,,1.9,1.7,2,1.5,-1.5,,,,,,,,,,,
G1,28/11/04,AEK,Chalkidona,1,0,H,1,0,H,,,,1.5,3.75,6,1.45,3.75,6,1.45,3.6,5.8,1.5,3.75,6,1.5,3.75,5.5,,,,1.74,1.85,2.11,1.44,-1.5,,,,,,,,,,,
G1,28/11/04,Aris,Panathinaikos,1,1,D,0,0,D,,,,9,4,1.35,8,5,1.25,9,4.2,1.27,10,4.5,1.29,9,4.33,1.29,7.5,4.5,1.3,1.74,1.85,1.74,1.69,1.5,,,,,,,,,,,
G1,28/11/04,Ionikos,Olympiakos,0,4,A,0,3,A,,,,9.5,4.35,1.3,8,5,1.25,8.5,4,1.3,10,4.5,1.29,8.5,4,1.33,,,,1.66,1.95,1.74,1.69,1.5,,,,,,,,,,,
G1,28/11/04,Iraklis,Egaleo,2,2,D,1,2,A,,,,2.4,3.1,2.75,2.4,2.85,2.8,2.4,2.9,2.7,2.38,3,2.88,2.38,3,2.75,2.35,3.1,2.65,2.1,1.56,2.4,1.41,-0.5,,,,,,,,,,,
G1,28/11/04,Kalithea,Kalamaria,1,1,D,0,0,D,,,,1.75,3.15,4.7,1.75,3.15,4.25,1.75,3.1,4.2,1.73,3.25,4.5,1.8,3.2,4,,,,1.9,1.7,1.75,1.81,-0.5,,,,,,,,,,,
G1,28/11/04,Xanthi,PAOK,0,2,A,0,0,D,,,,2.2,3.2,3,2.15,3.1,2.95,2.1,3,3.1,2.1,3.2,3.2,2.1,3.2,3.1,,,,1.9,1.7,2.15,1.51,-0.5,,,,,,,,,,,
G1,04/12/04,Kerkyra,Iraklis,1,2,A,0,1,A,,,,2.55,2.9,2.75,2.35,3,2.75,2.4,3,2.6,2.3,2.8,2.9,2.38,3.1,2.7,,,,1.95,1.71,2.35,1.43,-0.5,,,,,,,,,,,
G1,04/12/04,Olympiakos,Panathinaikos,1,0,H,1,0,H,,,,2,3,3.75,1.9,3.15,3.65,2,2.9,3.4,2,2.8,3.6,2,3,3.5,1.8,3,4.2,1.95,1.71,1.9,1.69,-0.5,,,,,,,,,,,
G1,05/12/04,Chalkidona,OFI,2,3,A,2,1,H,,,,1.7,3.2,5,1.65,3.4,4.5,1.55,3.5,4.8,1.7,3.1,4.5,1.62,3.4,5,,,,1.83,1.83,1.65,1.94,-0.5,,,,,,,,,,,
G1,05/12/04,Egaleo,Kalithea,1,2,A,1,1,D,,,,1.5,3.6,6.5,1.55,3.5,5.25,1.4,3.7,6.5,1.57,3.4,5,1.5,3.5,6,,,,1.83,1.83,1.55,2.1,-0.5,,,,,,,,,,,
G1,05/12/04,Ergotelis,Ionikos,2,3,A,1,2,A,,,,2.35,2.8,3.15,2.3,3.05,2.8,2.2,2.9,3,2.3,2.8,2.9,2.4,2.88,2.88,,,,1.95,1.71,2.3,1.46,-0.5,,,,,,,,,,,
G1,05/12/04,Kalamaria,Aris,0,1,A,0,1,A,,,,2.35,3.15,2.8,2.15,3.1,3,2.2,3,2.9,2,3,3.3,2.1,3,3.25,,,,2,1.65,2.15,1.52,-0.5,,,,,,,,,,,
G1,05/12/04,Panionios,Xanthi,0,0,D,0,0,D,,,,1.65,3.25,5.35,1.75,3.25,4.1,1.7,3.2,4.2,1.7,3.1,4.5,1.7,3.25,4.5,,,,1.9,1.75,1.75,1.81,-0.5,,,,,,,,,,,
G1,05/12/04,PAOK,AEK,1,1,D,0,0,D,,,,2.6,2.9,2.7,2.5,2.95,2.6,2.4,3,2.6,2.5,2.9,2.6,2.5,3,2.6,2.5,2.95,2.6,1.95,1.71,2.5,1.38,-0.5,,,,,,,,,,,
G1,11/12/04,Aris,Egaleo,0,0,D,0,0,D,2.5,3.1,2.5,2.65,2.7,2.85,2.8,2.85,2.4,2.8,2.9,2.3,2.5,2.9,2.6,2.75,3,2.4,,,,2.3,1.5,,,,,,,,,,,,,,
G1,11/12/04,Iraklis,Panionios,0,1,A,0,1,A,1.9,3.2,3.5,2.1,3,3.45,2,3,3.45,2.1,2.9,3.2,1.91,3.2,3.4,2,3.2,3.3,,,,2,1.65,2,1.6,-0.5,,,,,,,,,,,
G1,11/12/04,Xanthi,AEK,1,1,D,0,0,D,3.2,3,2.1,3.35,2.85,2.2,3.15,2.85,2.2,3.2,2.9,2.1,3.4,3,2,3,2.88,2.3,,,,1.95,1.71,,,,,,,,,,,,,,
G1,12/12/04,Ionikos,Chalkidona,0,0,D,0,0,D,2.3,2.87,2.9,2.6,2.75,2.85,2.55,2.85,2.6,2.4,2.9,2.7,2.3,2.9,2.9,2.4,2.88,2.88,,,,2,1.65,,,,,,,,,,,,,,
G1,12/12/04,Kalithea,Kerkyra,1,2,A,0,1,A,1.57,3.5,5,1.65,3.4,5,1.6,3.35,5,1.6,3.2,5,1.62,3.4,4.5,1.67,3.4,4.5,,,,1.79,1.85,1.6,2.01,-0.5,,,,,,,,,,,
G1,12/12/04,OFI,PAOK,2,2,D,1,1,D,2.3,2.87,2.9,2.4,3,2.85,2.35,2.85,2.85,2.4,3,2.6,2.2,2.9,3,2.4,3,2.75,,,,1.75,1.9,2.35,1.43,-0.5,,,,,,,,,,,
G1,12/12/04,Olympiakos,Kalamaria,2,0,H,1,0,H,1.08,7,17,1.07,8,25,1.11,7,15,1.1,7,15,1.08,7,17,1.1,7,17,,,,1.45,2.45,,,,,,,,,,,,,,
G1,12/12/04,Panathinaikos,Ergotelis,1,0,H,0,0,D,1.08,7,17,1.07,8,25,1.11,7,15,1.1,7,15,1.08,7,17,1.1,7,17,,,,1.4,2.6,,,,,,,,,,,,,,
G1,18/12/04,Kerkyra,Aris,0,0,D,0,0,D,2.2,3,3,2.4,2.85,3,2.3,2.9,2.9,2.2,2.9,3,2.2,2.8,3.1,2.25,3,3,,,,2.1,1.6,2.3,1.45,-0.5,,,,,,,,,,,
G1,19/12/04,AEK,OFI,1,1,D,0,1,A,1.28,4.5,8,1.3,4.55,9,1.3,4.5,8,1.3,4,8.5,1.3,4.5,7,1.33,4.33,7.5,1.35,4,7.5,1.83,1.83,1.3,2.88,-0.5,,,,,,,,,,,
G1,19/12/04,Chalkidona,Panathinaikos,0,2,A,0,1,A,5.5,3.6,1.5,7,3.8,1.44,6,3.65,1.47,5.8,3.6,1.45,6,3.3,1.5,5,3.6,1.57,,,,1.9,1.75,1.42,2.15,1.5,,,,,,,,,,,
G1,19/12/04,Egaleo,Olympiakos,2,2,D,0,1,A,5.5,3.6,1.5,7,3.8,1.44,6,3.65,1.47,5.8,3.6,1.45,6,3.3,1.5,5.5,3.5,1.53,5.5,3.6,1.5,1.75,1.9,1.42,2.15,1.5,,,,,,,,,,,
G1,19/12/04,Ergotelis,Kalamaria,4,1,H,0,0,D,2.3,3,2.8,2.1,3,3.45,2.2,3,3,2.3,2.9,2.8,2.2,2.8,3.1,2.3,3,2.88,,,,1.9,1.75,2.2,1.5,-0.5,,,,,,,,,,,
G1,19/12/04,Iraklis,Xanthi,1,1,D,1,1,D,2,3.1,3.3,1.85,3.2,4.1,2,3.1,3.4,2,3.1,3.2,2,3,3.3,2,3.1,3.4,,,,1.9,1.75,2,1.62,-0.5,,,,,,,,,,,
G1,19/12/04,Panionios,Kalithea,1,1,D,1,0,H,1.61,3.5,4.5,1.45,3.75,7,1.5,3.6,5.75,1.5,3.5,5.4,1.57,3.4,5,1.62,3.4,5,,,,1.79,1.85,1.5,2.21,-0.5,,,,,,,,,,,
G1,19/12/04,PAOK,Ionikos,3,0,H,1,0,H,1.57,3.5,5,1.55,3.55,5.75,1.55,3.5,5.25,1.55,3.5,4.8,1.62,3.4,4.5,1.57,3.6,5,,,,1.79,1.85,,,,,,,,,,,,,,
G1,29/12/04,Aris,Panionios,1,0,H,0,0,D,2.4,2.9,2.75,2.7,2.75,2.75,2.65,2.75,2.65,2.6,2.8,2.6,2.5,2.8,2.7,2.6,2.88,2.6,,,,2.2,1.55,2.65,1.35,-0.5,,,,,,,,,,,
G1,29/12/04,Ergotelis,Egaleo,2,1,H,1,0,H,3.2,3,2.1,3.25,2.85,2.25,3.05,3,2.2,3,2.9,2.2,2.9,2.8,2.3,3.25,3,2.1,,,,2,1.65,1.51,2.2,0.5,,,,,,,,,,,
G1,29/12/04,Ionikos,AEK,2,3,A,1,2,A,3.8,3.2,1.8,4.15,3.15,1.85,3.95,3.1,1.85,3.8,3.1,1.8,4,3.1,1.8,4,3.1,1.83,,,,1.95,1.71,1.74,1.85,0.5,,,,,,,,,,,
G1,29/12/04,Kalamaria,Chalkidona,0,2,A,0,1,A,2.5,3.1,2.5,2.6,2.95,2.65,2.55,3,2.55,2.6,3,2.4,2.5,3,2.5,2.6,3,2.5,,,,2,1.65,2.55,1.38,-0.5,,,,,,,,,,,
G1,29/12/04,Kalithea,Iraklis,2,1,H,1,1,D,2.1,3.2,3,2.35,3.15,2.8,2.1,3.1,3.15,2,3.1,3.2,2.1,2.9,3.2,2.2,3.1,3,,,,1.83,1.83,2.1,1.56,-0.5,,,,,,,,,,,
G1,29/12/04,Olympiakos,Kerkyra,3,0,H,2,0,H,1.1,7,13,1.08,7.5,23,1.1,7,17,1.1,7,15,1.1,6,17,1.1,7,15,,,,1.5,2.3,,,,,,,,,,,,,,
G1,29/12/04,Panathinaikos,PAOK,2,1,H,1,1,D,1.3,4,9.5,1.3,4.3,10,1.3,4.25,9,1.3,4.2,8,1.28,4.2,9,1.3,4.33,8.5,,,,1.71,1.95,1.3,2.89,-0.5,,,,,,,,,,,
G1,29/12/04,Xanthi,OFI,2,1,H,0,0,D,1.8,3.2,3.8,1.85,3.05,4.3,1.8,3.1,4.2,1.85,3.1,3.6,1.83,3,4,1.8,3.2,4,,,,1.79,1.85,1.8,1.78,-0.5,,,,,,,,,,,
G1,08/01/05,Chalkidona,Egaleo,1,1,D,0,1,A,2.1,3.1,3.1,2.3,2.8,3.25,2.15,2.9,3.25,2.1,3,3.1,2.2,3,3,2.1,3,3.2,,,,2.1,1.6,2.15,1.53,-0.5,,,,,,,,,,,
G1,08/01/05,Kalithea,Xanthi,2,3,A,0,0,D,2.2,3.2,2.8,2.25,3,3.1,2.25,3,2.95,2.2,3,2.9,2.2,3,3,2.2,3,3,,,,1.85,1.79,2.25,1.49,-0.5,,,,,,,,,,,
G1,09/01/05,AEK,Panathinaikos,1,0,H,0,0,D,2.6,3,2.5,2.95,2.9,2.4,2.55,3,2.55,2.55,3,2.45,2.62,3,2.5,2.6,3,2.5,,,,1.95,1.71,2.55,1.38,-0.5,,,,,,,,,,,
G1,09/01/05,Iraklis,Aris,0,0,D,0,0,D,2.1,3,3.2,2.1,2.85,3.65,2.1,3,3.25,2.3,2.9,2.8,2.1,3,3.2,2.1,2.88,3.4,,,,2.1,1.6,2.1,1.56,-0.5,,,,,,,,,,,
