Id,name,key,place_id,code,alt_names,country_id,region_id,city_id,pop,popm,area,m,c,d,created_at,updated_at
19,Brazzaville,brazzaville,51,,,22,,,,1,,False,False,False,2014-10-17T00:53:50.3604450-04:00,2014-10-17T00:53:54.4901850-04:00
20,Kinshasa,kinshasa,53,,,23,,,,10,,False,False,False,2014-10-17T00:53:50.3791820-04:00,2014-10-17T00:53:54.4734350-04:00
21,Malabo,malabo,55,,,24,,,,,,False,False,False,2014-10-17T00:53:50.3942960-04:00,2014-10-17T00:53:50.3942960-04:00
22,SÃ£o TomÃ©,saotome,58,,,26,,,,,,False,False,False,2014-10-17T00:53:50.4224290-04:00,2014-10-17T00:53:50.4224290-04:00
23,Juba,juba,65,,,32,,,,,,False,False,False,2014-10-17T00:53:50.5127790-04:00,2014-10-17T00:53:50.5127790-04:00
24,Khartoum,khartoum,67,,,33,,,,,,False,False,False,2014-10-17T00:53:50.5288240-04:00,2014-10-17T00:53:50.5288240-04:00
25,Gaborone,gaborone,70,,,35,,,,,,False,False,False,2014-10-17T00:53:50.5630700-04:00,2014-10-17T00:53:50.5630700-04:00
26,Maseru,maseru,72,,,36,,,,,,False,False,False,2014-10-17T00:53:50.5805210-04:00,2014-10-17T00:53:50.5805210-04:00
27,Windhoek,windhoek,74,,,37,,,,,,False,False,False,2014-10-17T00:53:50.5981360-04:00,2014-10-17T00:53:50.5981360-04:00
28,Lobamba,lobamba,76,,,38,,,,,,False,False,False,2014-10-17T00:53:50.6157550-04:00,2014-10-17T00:53:50.6157550-04:00
29,Porto-Novo,portonovo,78,,,39,,,,,,False,False,False,2014-10-17T00:53:50.6496290-04:00,2014-10-17T00:53:50.6496290-04:00
30,Ouagadougou,ouagadougou,80,,,40,,,,2,,False,False,False,2014-10-17T00:53:50.6653290-04:00,2014-10-17T00:53:54.4640790-04:00
31,Praia,praia,82,,,41,,,,,,False,False,False,2014-10-17T00:53:50.6812300-04:00,2014-10-17T00:53:50.6812300-04:00
32,Conakry,conakry,87,,,45,,,,1,,False,False,False,2014-10-17T00:53:50.7396790-04:00,2014-10-17T00:53:54.5363930-04:00
33,Bissau,bissau,89,,,46,,,,,,False,False,False,2014-10-17T00:53:50.7586480-04:00,2014-10-17T00:53:50.7586480-04:00
34,Monrovia,monrovia,91,,,47,,,,1,,False,False,False,2014-10-17T00:53:50.7751620-04:00,2014-10-17T00:53:54.5473540-04:00
35,Bamako,bamako,93,,,48,,,,2,,False,False,False,2014-10-17T00:53:50.7902090-04:00,2014-10-17T00:53:54.5842940-04:00
36,Niamey,niamey,96,,,50,,,,1,,False,False,False,2014-10-17T00:53:50.8188770-04:00,2014-10-17T00:53:54.5926460-04:00
37,Dakar,dakar,99,,,52,,,,2,,False,False,False,2014-10-17T00:53:50.8504280-04:00,2014-10-17T00:53:54.6455190-04:00
38,Freetown,freetown,101,,,53,,,,1,,False,False,False,2014-10-17T00:53:50.8661630-04:00,2014-10-17T00:53:54.6414010-04:00
39,LomÃ©,lome,103,,,54,,,,1,,False,False,False,2014-10-17T00:53:50.8870670-04:00,2014-10-17T00:53:54.6582290-04:00
40,Bishkek,bishkek,106,,,56,,,,,,False,False,False,2014-10-17T00:53:50.9221550-04:00,2014-10-17T00:53:50.9221550-04:00
41,Dushanbe,dushanbe,108,,,57,,,,,,False,False,False,2014-10-17T00:53:50.9391130-04:00,2014-10-17T00:53:50.9391130-04:00
42,Ashgabat,ashgabat,110,,,58,,,,,,False,False,False,2014-10-17T00:53:50.9568180-04:00,2014-10-17T00:53:50.9568180-04:00
43,Tashkent,tashkent,112,,,59,,,,,,False,False,False,2014-10-17T00:53:50.9716940-04:00,2014-10-17T00:53:50.9716940-04:00
44,Ulan Bator,ulanbator,119,,,65,,,,,,False,False,False,2014-10-17T00:53:51.0326300-04:00,2014-10-17T00:53:51.0326300-04:00
45,Thimphu,thimphu,126,,,71,,,,,,False,False,False,2014-10-17T00:53:51.1285520-04:00,2014-10-17T00:53:51.1285520-04:00
46,MalÃ©,male,128,,,72,,,,,,False,False,False,2014-10-17T00:53:51.1483910-04:00,2014-10-17T00:53:51.1483910-04:00
47,Kabul,kabul,130,,,73,,,,,,False,False,False,2014-10-17T00:53:51.1683140-04:00,2014-10-17T00:53:51.1683140-04:00
48,Bandar Seri Begawan,bandarseribegawan,138,,,80,,,,,,False,False,False,2014-10-17T00:53:51.2792900-04:00,2014-10-17T00:53:51.2792900-04:00
49,Naypyidaw,naypyidaw,140,,,81,,,,,,False,False,False,2014-10-17T00:53:51.2967650-04:00,2014-10-17T00:53:51.2967650-04:00
50,Phnom Penh,phnompenh,142,,,82,,,,,,False,False,False,2014-10-17T00:53:51.3124870-04:00,2014-10-17T00:53:51.3124870-04:00
51,Dili,dili,144,,,83,,,,,,False,False,False,2014-10-17T00:53:51.3273930-04:00,2014-10-17T00:53:51.3273930-04:00
52,Vientiane,vientiane,146,,,84,,,,,,False,False,False,2014-10-17T00:53:51.3424630-04:00,2014-10-17T00:53:51.3424630-04:00
53,Port-au-Prince,portauprince,151,,,88,,,1234742,2,,False,False,False,2014-10-17T00:53:51.4053320-04:00,2014-10-17T00:53:55.5213880-04:00
54,Saint John's,saintjohns,153,,,89,,,,,,False,False,False,2014-10-17T00:53:51.4203070-04:00,2014-10-17T00:53:51.4203070-04:00
55,Nassau,nassau,155,,,90,,,,,,False,False,False,2014-10-17T00:53:51.4397200-04:00,2014-10-17T00:53:51.4397200-04:00
56,Bridgetown,bridgetown,157,,,91,,,,,,False,False,False,2014-10-17T00:53:51.4570550-04:00,2014-10-17T00:53:51.4570550-04:00
57,Roseau,roseau,159,,,92,,,,,,False,False,False,2014-10-17T00:53:51.4767250-04:00,2014-10-17T00:53:51.4767250-04:00
58,St. George's,stgeorges,161,,,93,,,,,,False,False,False,2014-10-17T00:53:51.4979470-04:00,2014-10-17T00:53:51.4979470-04:00
59,Basseterre,basseterre,163,,,94,,,,,,False,False,False,2014-10-17T00:53:51.5208990-04:00,2014-10-17T00:53:51.5208990-04:00
60,Castries,castries,165,,,95,,,,,,False,False,False,2014-10-17T00:53:51.5401610-04:00,2014-10-17T00:53:51.5401610-04:00
61,Kingstown,kingstown,167,,,96,,,,,,False,False,False,2014-10-17T00:53:51.5605980-04:00,2014-10-17T00:53:51.5605980-04:00
62,Port of Spain,portofspain,169,,,97,,,,,,False,False,False,2014-10-17T00:53:51.5795080-04:00,2014-10-17T00:53:51.5795080-04:00
63,Vatican City,vaticancity,218,,,145,,,,,,False,False,False,2014-10-17T00:53:52.1006490-04:00,2014-10-17T00:53:52.1006490-04:00
64,Sarajevo,sarajevo,220,,,146,,,,,,False,False,False,2014-10-17T00:53:52.1098750-04:00,2014-10-17T00:53:52.1098750-04:00
65,Vaduz,vaduz,222,,,147,,,,,,False,False,False,2014-10-17T00:53:52.1234980-04:00,2014-10-17T00:53:52.1234980-04:00
66,Monaco,monaco,224,,,148,,,,,,False,False,False,2014-10-17T00:53:52.1333250-04:00,2014-10-17T00:53:52.1333250-04:00
67,Podgorica,podgorica,226,,,149,,,,,,False,False,False,2014-10-17T00:53:52.1428650-04:00,2014-10-17T00:53:52.1428650-04:00
68,ChiÈ™inÄƒu,chisinau,228,,,150,,,,,,False,False,False,2014-10-17T00:53:52.1581830-04:00,2014-10-17T00:53:52.1581830-04:00
69,(City of) San Marino,sanmarino,230,,,151,,,,,,False,False,False,2014-10-17T00:53:52.1679850-04:00,2014-10-17T00:53:52.1679850-04:00
70,BakÄ± [Baku],baku,234,,,154,,,,2,,False,False,False,2014-10-17T00:53:52.1975410-04:00,2014-10-17T00:53:54.9425240-04:00
71,Manama,manama,236,,,155,,,,,,False,False,False,2014-10-17T00:53:52.2138310-04:00,2014-10-17T00:53:52.2138310-04:00
72,Kuwait City,kuwaitcity,238,,,156,,,,,,False,False,False,2014-10-17T00:53:52.2373910-04:00,2014-10-17T00:53:52.2373910-04:00
73,Muscat,muscat,240,,,157,,,,,,False,False,False,2014-10-17T00:53:52.2570100-04:00,2014-10-17T00:53:52.2570100-04:00
74,Doha,doha,242,,,158,,,,,,False,False,False,2014-10-17T00:53:52.2810940-04:00,2014-10-17T00:53:52.2810940-04:00
75,Abu Dhabi,abudhabi,245,,,160,,,,,,False,False,False,2014-10-17T00:53:52.3054700-04:00,2014-10-17T00:53:52.3054700-04:00
76,Sana'a,sanaa,247,,,161,,,,,,False,False,False,2014-10-17T00:53:52.3277970-04:00,2014-10-17T00:53:52.3277970-04:00
77,BaghdÄd [Baghdad],baghdad,249,,,162,,,,6,,False,False,False,2014-10-17T00:53:52.3565320-04:00,2014-10-17T00:53:59.5180610-04:00
78,'AmmÄn [Amman],amman,252,,,164,,,,3,,False,False,False,2014-10-17T00:53:52.3924920-04:00,2014-10-17T00:53:59.5555350-04:00
79,Beirut,beirut,254,,,165,,,,,,False,False,False,2014-10-17T00:53:52.4122330-04:00,2014-10-17T00:53:52.4122330-04:00
80,Damascus,damascus,257,,,167,,,,,,False,False,False,2014-10-17T00:53:52.4502210-04:00,2014-10-17T00:53:52.4502210-04:00
81,TehrÄn [Tehran],tehran,259,,,168,,,,13,,False,False,False,2014-10-17T00:53:52.4705420-04:00,2014-10-17T00:53:59.5334970-04:00
82,Suva,suva,266,,,174,,,,,,False,False,False,2014-10-17T00:53:52.5547390-04:00,2014-10-17T00:53:52.5547390-04:00
83,Honiara,honiara,268,,,175,,,,,,False,False,False,2014-10-17T00:53:52.5715800-04:00,2014-10-17T00:53:52.5715800-04:00
84,Port Vila,portvila,270,,,176,,,,,,False,False,False,2014-10-17T00:53:52.5885390-04:00,2014-10-17T00:53:52.5885390-04:00
85,Ngerulmud,ngerulmud,272,,,177,,,,,,False,False,False,2014-10-17T00:53:52.6060970-04:00,2014-10-17T00:53:52.6060970-04:00
86,Palikir,palikir,274,,,178,,,,,,False,False,False,2014-10-17T00:53:52.6222830-04:00,2014-10-17T00:53:52.6222830-04:00
87,Majuro,majuro,276,,,179,,,,,,False,False,False,2014-10-17T00:53:52.6354090-04:00,2014-10-17T00:53:52.6354090-04:00
88,Yaren,yaren,278,,,180,,,,,,False,False,False,2014-10-17T00:53:52.6492800-04:00,2014-10-17T00:53:52.6492800-04:00
89,Tarawa,tarawa,280,,,181,,,,,,False,False,False,2014-10-17T00:53:52.6647750-04:00,2014-10-17T00:53:52.6647750-04:00
90,Apia,apia,283,,,183,,,,,,False,False,False,2014-10-17T00:53:52.6982480-04:00,2014-10-17T00:53:52.6982480-04:00
91,Nuku'alofa,nukualofa,285,,,184,,,,,,False,False,False,2014-10-17T00:53:52.7169270-04:00,2014-10-17T00:53:52.7169270-04:00
92,Funafuti,funafuti,287,,,185,,,,,,False,False,False,2014-10-17T00:53:52.7355990-04:00,2014-10-17T00:53:52.7355990-04:00
93,Mamoudzou,mamoudzou,301,,,198,,,,,,False,False,False,2014-10-17T00:53:52.9445230-04:00,2014-10-17T00:53:52.9445230-04:00
94,West Island,westisland,306,,,202,,,,,,False,False,False,2014-10-17T00:53:52.9931500-04:00,2014-10-17T00:53:52.9931500-04:00
95,Flying Fish Cove,flyingfishcove,308,,,203,,,,,,False,False,False,2014-10-17T00:53:53.0043510-04:00,2014-10-17T00:53:53.0043510-04:00
96,Diego Garcia,diegogarcia,310,,,204,,,,,,False,False,False,2014-10-17T00:53:53.0138580-04:00,2014-10-17T00:53:53.0138580-04:00
97,Charlotte Amalie,charlotteamalie,313,,,206,,,,,,False,False,False,2014-10-17T00:53:53.0376800-04:00,2014-10-17T00:53:53.0376800-04:00
98,Marigot,marigot,318,,,210,,,,,,False,False,False,2014-10-17T00:53:53.0796660-04:00,2014-10-17T00:53:53.0796660-04:00
99,Oranjestad,oranjestad,320,,,211,,,,,,False,False,False,2014-10-17T00:53:53.0891550-04:00,2014-10-17T00:53:53.0891550-04:00
100,Willemstad,willemstad,322,,,212,,,,,,False,False,False,2014-10-17T00:53:53.0987160-04:00,2014-10-17T00:53:53.0987160-04:00
101,The Valley,thevalley,324,,,213,,,,,,False,False,False,2014-10-17T00:53:53.1089160-04:00,2014-10-17T00:53:53.1089160-04:00
102,Hamilton,hamilton,326,,,169,267,,721053,,,False,False,False,2014-10-17T00:53:53.1190720-04:00,2014-10-17T00:53:59.9081710-04:00
103,George Town,georgetown,328,,,75,,,,1,,False,False,False,2014-10-17T00:53:53.1287310-04:00,2014-10-17T00:53:55.2330340-04:00
104,Plymouth,plymouth,330,,,216,,,,,,False,False,False,2014-10-17T00:53:53.1379890-04:00,2014-10-17T00:53:53.1379890-04:00
105,Cockburn Town,cockburntown,332,,,217,,,,,,False,False,False,2014-10-17T00:53:53.1472450-04:00,2014-10-17T00:53:53.1472450-04:00
106,Road Town,roadtown,334,,,218,,,,,,False,False,False,2014-10-17T00:53:53.1569320-04:00,2014-10-17T00:53:53.1569320-04:00
107,Belfast,belfast,339,,,222,,,,,,False,False,False,2014-10-17T00:53:53.2000480-04:00,2014-10-17T00:53:53.2000480-04:00
108,NoumÃ©a,noumea,350,,,232,,,,,,False,False,False,2014-10-17T00:53:53.3199880-04:00,2014-10-17T00:53:53.3199880-04:00
109,Saipan,saipan,355,,,236,,,,,,False,False,False,2014-10-17T00:53:53.3588610-04:00,2014-10-17T00:53:53.3588610-04:00
110,Alofi,alofi,358,,,238,,,,,,False,False,False,2014-10-17T00:53:53.3793490-04:00,2014-10-17T00:53:53.3793490-04:00
111,Fakaofo,fakaofo,360,,,239,,,,,,False,False,False,2014-10-17T00:53:53.3896610-04:00,2014-10-17T00:53:53.3896610-04:00
112,Kingston,kingston,362,,Kingston upon Hull,169,267,,143000,,,False,False,False,2014-10-17T00:53:53.4016630-04:00,2014-10-17T00:53:59.9489390-04:00
113,Adamstown,adamstown,364,,,241,,,,,,False,False,False,2014-10-17T00:53:53.4114400-04:00,2014-10-17T00:53:53.4114400-04:00
114,Cayenne,cayenne,366,,,242,,,,,,False,False,False,2014-10-17T00:53:53.4220930-04:00,2014-10-17T00:53:53.4220930-04:00
115,Stanley,stanley,368,,,243,,,,,,False,False,False,2014-10-17T00:53:53.4319450-04:00,2014-10-17T00:53:53.4319450-04:00
116,King Edward Point,kingedwardpoint,370,,,244,,,,,,False,False,False,2014-10-17T00:53:53.4415330-04:00,2014-10-17T00:53:53.4415330-04:00
117,Ascension and Tristan da Cunha,ascensionandtristandacunha,372,,,245,,,,,,False,False,False,2014-10-17T00:53:53.4506430-04:00,2014-10-17T00:53:53.4506430-04:00
118,Jamestown,jamestown,373,,,245,,,,,,False,False,False,2014-10-17T00:53:53.4533230-04:00,2014-10-17T00:53:53.4533230-04:00
119,Cotonou,cotonou,374,,,39,,,,1,,False,False,False,2014-10-17T00:53:54.4688370-04:00,2014-10-17T00:53:54.4688370-04:00
120,Lubumbashi,lubumbashi,375,,,23,,,,1,,False,False,False,2014-10-17T00:53:54.4764530-04:00,2014-10-17T00:53:54.4764530-04:00
121,Mbuji-Mayi,mbujimayi,376,,,23,,,,1,,False,False,False,2014-10-17T00:53:54.4791770-04:00,2014-10-17T00:53:54.4791770-04:00
122,Abidjan,abidjan,377,,,42,,,,4,,False,False,False,2014-10-17T00:53:54.4954090-04:00,2014-10-17T00:53:54.4954090-04:00
123,Douala,douala,378,,,19,,,,2,,False,False,False,2014-10-17T00:53:54.5000280-04:00,2014-10-17T00:53:54.5000280-04:00
124,YaoundÃ©,yaounde,379,,,19,,,,2,,False,False,False,2014-10-17T00:53:54.5023790-04:00,2014-10-17T00:53:54.5023790-04:00
125,El DjazaÃ¯r [Algiers],eldjazair,380,,,27,,,,3,,False,False,False,2014-10-17T00:53:54.5064070-04:00,2014-10-17T00:53:54.5064070-04:00
126,Oran,oran,381,,,27,,,,1,,False,False,False,2014-10-17T00:53:54.5086750-04:00,2014-10-17T00:53:54.5086750-04:00
127,Al-QÄhirah [Cairo],alqahirah,382,,,28,,,,16,,False,False,False,2014-10-17T00:53:54.5127260-04:00,2014-10-17T00:53:54.5127260-04:00
128,Al-IskandarÄ«yah [Alexandria],aliskandariyah,383,,,28,,,,4,,False,False,False,2014-10-17T00:53:54.5152500-04:00,2014-10-17T00:53:54.5152500-04:00
129,Adis Abeba [Addis Ababa],adisabeba,384,,,5,,,,3,,False,False,False,2014-10-17T00:53:54.5255200-04:00,2014-10-17T00:53:54.5255200-04:00
130,Accra,accra,385,,,44,,,,4,,False,False,False,2014-10-17T00:53:54.5297730-04:00,2014-10-17T00:53:54.5297730-04:00
131,Kumasi,kumasi,386,,,44,,,,2,,False,False,False,2014-10-17T00:53:54.5321510-04:00,2014-10-17T00:53:54.5321510-04:00
132,Mombasa,mombasa,387,,,6,,,,1,,False,False,False,2014-10-17T00:53:54.5433270-04:00,2014-10-17T00:53:54.5433270-04:00
133,á¹¬arÄbulus [Tripoli],tarabulus,388,,,30,,,,1,,False,False,False,2014-10-17T00:53:54.5560650-04:00,2014-10-17T00:53:54.5560650-04:00
134,Casablanca,casablanca,389,,,29,,,,4,,False,False,False,2014-10-17T00:53:54.5608950-04:00,2014-10-17T00:53:54.5608950-04:00
135,Rabat,rabat,390,,,29,,,,2,,False,False,False,2014-10-17T00:53:54.5634220-04:00,2014-10-17T00:53:54.5634220-04:00
136,FÃ¨s [Fes],fes,391,,,29,,,,1,,False,False,False,2014-10-17T00:53:54.5657390-04:00,2014-10-17T00:53:54.5657390-04:00
137,Marrakech [Marrakesh],marrakech,392,,,29,,,909000,1,,False,False,False,2014-10-17T00:53:54.5681560-04:00,2014-10-17T00:53:54.5681560-04:00
138,Agadir,agadir,393,,,29,,,615229,,,False,False,False,2014-10-17T00:53:54.5705440-04:00,2014-10-17T00:53:54.5705440-04:00
139,Meknes,meknes,394,,,29,,,,,,False,False,False,2014-10-17T00:53:54.5728010-04:00,2014-10-17T00:53:54.5728010-04:00
140,Tangier,tangier,395,,,29,,,,,,False,False,False,2014-10-17T00:53:54.5752290-04:00,2014-10-17T00:53:54.5752290-04:00
141,Lagos,lagos,396,,,51,,,,13,,False,False,False,2014-10-17T00:53:54.5968490-04:00,2014-10-17T00:53:54.5968490-04:00
142,Kano,kano,397,,,51,,,,3,,False,False,False,2014-10-17T00:53:54.5992030-04:00,2014-10-17T00:53:54.5992030-04:00
143,Ibadan,ibadan,398,,,51,,,,2,,False,False,False,2014-10-17T00:53:54.6064320-04:00,2014-10-17T00:53:54.6064320-04:00
144,Port Harcourt,portharcourt,399,,,51,,,,1,,False,False,False,2014-10-17T00:53:54.6093460-04:00,2014-10-17T00:53:54.6093460-04:00
145,Kaduna,kaduna,400,,,51,,,,1,,False,False,False,2014-10-17T00:53:54.6117620-04:00,2014-10-17T00:53:54.6117620-04:00
146,Abuja,abuja,401,,,51,,,,1,,False,False,False,2014-10-17T00:53:54.6180920-04:00,2014-10-17T00:53:54.6180920-04:00
147,Benin City,benincity,402,,,51,,,,1,,False,False,False,2014-10-17T00:53:54.6235570-04:00,2014-10-17T00:53:54.6235570-04:00
148,Maiduguri,maiduguri,403,,,51,,,,1,,False,False,False,2014-10-17T00:53:54.6263700-04:00,2014-10-17T00:53:54.6263700-04:00
149,Al-Khará¹­Å«m [Khartoum],alkhartum,404,,,33,,,,5,,False,False,False,2014-10-17T00:53:54.6366250-04:00,2014-10-17T00:53:54.6366250-04:00
150,Muqdisho [Mogadishu],muqdisho,405,,,13,,,,1,,False,False,False,2014-10-17T00:53:54.6496240-04:00,2014-10-17T00:53:54.6496240-04:00
151,TÅ«nis [Tunis],tunis,406,,,31,,,,2,,False,False,False,2014-10-17T00:53:54.6632580-04:00,2014-10-17T00:53:54.6632580-04:00
152,Dar es Salaam,daressalaam,407,,,14,,,,4,,False,False,False,2014-10-17T00:53:54.6677640-04:00,2014-10-17T00:53:54.6677640-04:00
153,Johannesburg,johannesburg,408,,,34,,,957441,4434827,,False,False,False,2014-10-17T00:53:54.6767900-04:00,2014-10-17T00:53:54.6767900-04:00
154,Pretoria,pretoria,409,,,34,,,741651,,,False,False,False,2014-10-17T00:53:54.6792030-04:00,2014-10-17T00:53:54.6792030-04:00
155,Kaapstad [Cape Town],kaapstad,410,,,34,,,,3740026,,False,False,False,2014-10-17T00:53:54.6815560-04:00,2014-10-17T00:53:54.6815560-04:00
156,Durban,durban,411,,,34,,,595061,,,False,False,False,2014-10-17T00:53:54.6841760-04:00,2014-10-17T00:53:54.6841760-04:00
157,Port Elizabeth,portelizabeth,412,,,34,,,312392,1,,False,False,False,2014-10-17T00:53:54.6871130-04:00,2014-10-17T00:53:54.6871130-04:00
158,Polokwane,polokwane,413,,Pietersburg,34,,,130028,,,False,False,False,2014-10-17T00:53:54.6897910-04:00,2014-10-17T00:53:54.6897910-04:00
159,Nelspruit,nelspruit,414,,Mbombela,34,,,58672,,,False,False,False,2014-10-17T00:53:54.6923830-04:00,2014-10-17T00:53:54.6923830-04:00
160,Bloemfontein,bloemfontein,415,,,34,,,256185,,,False,False,False,2014-10-17T00:53:54.6949550-04:00,2014-10-17T00:53:54.6949550-04:00
161,Rustenburg,rustenburg,416,,,34,,,104612,,,False,False,False,2014-10-17T00:53:54.6974190-04:00,2014-10-17T00:53:54.6974190-04:00
162,Vereeniging,vereeniging,417,,,34,,,,1,,False,False,False,2014-10-17T00:53:54.6999380-04:00,2014-10-17T00:53:54.6999380-04:00
163,KÄbol [Kabul],kabol,418,,,73,,,,3,,False,False,False,2014-10-17T00:53:54.9381870-04:00,2014-10-17T00:53:54.9381870-04:00
164,Dhaka [Dacca],dhaka,419,,,68,,,,16,,False,False,False,2014-10-17T00:53:54.9469580-04:00,2014-10-17T00:53:54.9469580-04:00
165,Chittagong,chittagong,420,,,68,,,,4,,False,False,False,2014-10-17T00:53:54.9493660-04:00,2014-10-17T00:53:54.9493660-04:00
166,Khulna,khulna,421,,,68,,,,1,,False,False,False,2014-10-17T00:53:54.9516580-04:00,2014-10-17T00:53:54.9516580-04:00
167,Guangzhou,guangzhou,422,,Canton,63,,,,31,,False,False,False,2014-10-17T00:53:54.9559560-04:00,2014-10-17T00:53:54.9559560-04:00
168,Shanghai,shanghai,423,,,63,,,,28,,False,False,False,2014-10-17T00:53:54.9584630-04:00,2014-10-17T00:53:54.9584630-04:00
169,Beijing,beijing,424,,Peking,63,,,,19,,False,False,False,2014-10-17T00:53:54.9606790-04:00,2014-10-17T00:53:54.9606790-04:00
170,Shenzhen,shenzhen,425,,,63,,,,11,,False,False,False,2014-10-17T00:53:54.9631680-04:00,2014-10-17T00:53:54.9631680-04:00
171,Tianjin,tianjin,426,,Tientsin,63,,,,10,,False,False,False,2014-10-17T00:53:54.9656770-04:00,2014-10-17T00:53:54.9656770-04:00
172,Chengdu,chengdu,427,,Chengtu,63,,,,8,,False,False,False,2014-10-17T00:53:54.9681650-04:00,2014-10-17T00:53:54.9681650-04:00
173,Shenyang,shenyang,428,,,63,,,,7,,False,False,False,2014-10-17T00:53:54.9707080-04:00,2014-10-17T00:53:54.9707080-04:00
174,Hangzhou,hangzhou,429,,Hangchou,63,,,,7,,False,False,False,2014-10-17T00:53:54.9733180-04:00,2014-10-17T00:53:54.9733180-04:00
175,Hong Kong,hongkong,430,,,63,,,,7,,False,False,False,2014-10-17T00:53:54.9758150-04:00,2014-10-17T00:53:54.9758150-04:00
176,Wuhan,wuhan,431,,,63,,,,7,,False,False,False,2014-10-17T00:53:54.9782730-04:00,2014-10-17T00:53:54.9782730-04:00
177,Chongqing,chongqing,432,,Chungking,63,,,,6,,False,False,False,2014-10-17T00:53:54.9806690-04:00,2014-10-17T00:53:54.9806690-04:00
178,Xi'an,xian,433,,Sian,63,,,,6,,False,False,False,2014-10-17T00:53:54.9831700-04:00,2014-10-17T00:53:54.9831700-04:00
179,Nanjing,nanjing,434,,Nanking,63,,,,6,,False,False,False,2014-10-17T00:53:54.9863750-04:00,2014-10-17T00:53:54.9863750-04:00
180,Shantou,shantou,435,,Swatow|SuÃ¡tao,63,,,,5,,False,False,False,2014-10-17T00:53:54.9891600-04:00,2014-10-17T00:53:54.9891600-04:00
181,Harbin,harbin,436,,,63,,,,4,,False,False,False,2014-10-17T00:53:54.9914360-04:00,2014-10-17T00:53:54.9914360-04:00
182,Xiamen,xiamen,437,,,63,,,,4,,False,False,False,2014-10-17T00:53:54.9937460-04:00,2014-10-17T00:53:54.9937460-04:00
183,Wenzhou,wenzhou,438,,,63,,,,4,,False,False,False,2014-10-17T00:53:54.9962320-04:00,2014-10-17T00:53:54.9962320-04:00
184,Zhengzhou,zhengzhou,439,,,63,,,,4,,False,False,False,2014-10-17T00:53:54.9985530-04:00,2014-10-17T00:53:54.9985530-04:00
185,Qingdao,qingdao,440,,Tsingtao,63,,,,4,,False,False,False,2014-10-17T00:53:55.0009540-04:00,2014-10-17T00:53:55.0009540-04:00
186,Dalian,dalian,441,,Dairen,63,,,,4,,False,False,False,2014-10-17T00:53:55.0035960-04:00,2014-10-17T00:53:55.0035960-04:00
187,Hefei,hefei,442,,Hofei,63,,,,4,,False,False,False,2014-10-17T00:53:55.0067560-04:00,2014-10-17T00:53:55.0067560-04:00
