Id,key,title,country_id,club,created_at,updated_at
31,at.7.n.ost.sso.o,1. Klasse Ost (NÃ–),106,False,2014-10-17T00:54:28.1476610-04:00,2014-10-17T00:54:28.1476610-04:00
32,at.7.n.ost.nnw.n,1. Klasse Nord (NÃ–),106,False,2014-10-17T00:54:28.1492200-04:00,2014-10-17T00:54:28.1492200-04:00
33,at.7.n.ost.nnw.nw,1. Klasse Nordwest (NÃ–),106,False,2014-10-17T00:54:28.1508750-04:00,2014-10-17T00:54:28.1508750-04:00
34,at.7.n.west.w.w,1. Klasse West (NÃ–),106,False,2014-10-17T00:54:28.1525810-04:00,2014-10-17T00:54:28.1525810-04:00
35,at.7.n.west.w.wm,1. Klasse West-Mitte (NÃ–),106,False,2014-10-17T00:54:28.1627380-04:00,2014-10-17T00:54:28.1627380-04:00
36,at.7.n.west.nww.nwm,1. Klasse Nordwest-Mitte (NÃ–),106,False,2014-10-17T00:54:28.1648230-04:00,2014-10-17T00:54:28.1648230-04:00
37,at.7.n.west.nww.w,1. Klasse Waldviertel (NÃ–),106,False,2014-10-17T00:54:28.1666570-04:00,2014-10-17T00:54:28.1666570-04:00
38,at.8.n.steinfeld,2. Klasse Steinfeld (NÃ–),106,False,2014-10-17T00:54:28.1685210-04:00,2014-10-17T00:54:28.1685210-04:00
39,at.8.n.wechsel,2. Klasse Wechsel (NÃ–),106,False,2014-10-17T00:54:28.1703700-04:00,2014-10-17T00:54:28.1703700-04:00
40,at.8.n.triestingtal,2. Klasse Triestingtal (NÃ–),106,False,2014-10-17T00:54:28.1721220-04:00,2014-10-17T00:54:28.1721220-04:00
41,at.8.n.ostmitte,2. Klasse Ost/Mitte (NÃ–),106,False,2014-10-17T00:54:28.1738970-04:00,2014-10-17T00:54:28.1738970-04:00
42,at.8.n.ost,2. Klasse Ost (NÃ–),106,False,2014-10-17T00:54:28.1757210-04:00,2014-10-17T00:54:28.1757210-04:00
43,at.8.n.weinviertel.n,2. Klasse Weinviertel Nord (NÃ–),106,False,2014-10-17T00:54:28.1774330-04:00,2014-10-17T00:54:28.1774330-04:00
44,at.8.n.weinviertel.s,2. Klasse Weinviertel SÃ¼d (NÃ–),106,False,2014-10-17T00:54:28.1790050-04:00,2014-10-17T00:54:28.1790050-04:00
45,at.8.n.marchfeld,2. Klasse Marchfeld (NÃ–),106,False,2014-10-17T00:54:28.1806050-04:00,2014-10-17T00:54:28.1806050-04:00
46,at.8.n.donau,2. Klasse Donau (NÃ–),106,False,2014-10-17T00:54:28.1822260-04:00,2014-10-17T00:54:28.1822260-04:00
47,at.8.n.pulkautal,2. Klasse Pulkautal (NÃ–),106,False,2014-10-17T00:54:28.1838830-04:00,2014-10-17T00:54:28.1838830-04:00
48,at.8.n.ybbstal,2. Klasse Ybbstal (NÃ–),106,False,2014-10-17T00:54:28.1856060-04:00,2014-10-17T00:54:28.1856060-04:00
49,at.8.n.yspertal,2. Klasse Yspertal (NÃ–),106,False,2014-10-17T00:54:28.1871710-04:00,2014-10-17T00:54:28.1871710-04:00
50,at.8.n.alpenvorland,2. Klasse Alpenvorland (NÃ–),106,False,2014-10-17T00:54:28.1908970-04:00,2014-10-17T00:54:28.1908970-04:00
51,at.8.n.traisental,2. Klasse Traisental (NÃ–),106,False,2014-10-17T00:54:28.1934880-04:00,2014-10-17T00:54:28.1934880-04:00
52,at.8.n.wachau,2. Klasse Wachau (NÃ–),106,False,2014-10-17T00:54:28.1954740-04:00,2014-10-17T00:54:28.1954740-04:00
53,at.8.n.schmidatal,2. Klasse Schmidatal (NÃ–),106,False,2014-10-17T00:54:28.1973400-04:00,2014-10-17T00:54:28.1973400-04:00
54,at.8.n.waldviertelthayatal,2. Klasse Waldviertel Thayatal (NÃ–),106,False,2014-10-17T00:54:28.1990150-04:00,2014-10-17T00:54:28.1990150-04:00
55,at.8.n.waldviertel.s,2. Klasse Waldviertel/SÃ¼d (NÃ–),106,False,2014-10-17T00:54:28.2006800-04:00,2014-10-17T00:54:28.2006800-04:00
56,at.9.n.hornerwald,3. Klasse Hornerwald (NÃ–),106,False,2014-10-17T00:54:28.2024770-04:00,2014-10-17T00:54:28.2024770-04:00
57,at.9.n.mistelbach,3. Klasse Mistelbach (NÃ–),106,False,2014-10-17T00:54:28.2041180-04:00,2014-10-17T00:54:28.2041180-04:00
58,de,Deutsche Bundesliga,109,False,2014-10-17T00:54:35.5680570-04:00,2014-10-17T00:54:35.5680570-04:00
59,de.2,Deutsche 2. Bundesliga,109,False,2014-10-17T00:54:35.5728420-04:00,2014-10-17T00:54:35.5728420-04:00
60,de.3,Deutsche 3. Liga,109,False,2014-10-17T00:54:35.5751620-04:00,2014-10-17T00:54:35.5751620-04:00
61,de.cup,DFB Pokal,109,False,2014-10-17T00:54:35.5768750-04:00,2014-10-17T00:54:35.5768750-04:00
62,de.4.nord,Regionalliga Nord,109,False,2014-10-17T00:54:35.5785050-04:00,2014-10-17T00:54:35.5785050-04:00
63,de.4.nordost,Regionalliga Nordost,109,False,2014-10-17T00:54:35.5801120-04:00,2014-10-17T00:54:35.5801120-04:00
64,de.4.west,Regionalliga West,109,False,2014-10-17T00:54:35.5821200-04:00,2014-10-17T00:54:35.5821200-04:00
65,de.4.suedwest,Regionalliga SÃ¼dwest,109,False,2014-10-17T00:54:35.5839710-04:00,2014-10-17T00:54:35.5839710-04:00
66,de4byregionalligabayern,de.4.by        Regionalliga Bayern,109,False,2014-10-17T00:54:35.5856340-04:00,2014-10-17T00:54:35.5856340-04:00
67,de.5.nord.sh,Schleswig-Holstein-Liga,109,False,2014-10-17T00:54:35.5872460-04:00,2014-10-17T00:54:35.5872460-04:00
68,de.5.nord.hh,Oberliga Hamburg,109,False,2014-10-17T00:54:35.5888990-04:00,2014-10-17T00:54:35.5888990-04:00
69,de.5.nord.hb,Bremen-Liga,109,False,2014-10-17T00:54:35.5908220-04:00,2014-10-17T00:54:35.5908220-04:00
70,de.5.nord.ni,Oberliga Niedersachsen,109,False,2014-10-17T00:54:35.5932010-04:00,2014-10-17T00:54:35.5932010-04:00
71,de.5.nordost.n,Oberliga Nordost (Nord),109,False,2014-10-17T00:54:35.5953770-04:00,2014-10-17T00:54:35.5953770-04:00
72,de.5.nordost.s,Oberliga Nordost (SÃ¼d),109,False,2014-10-17T00:54:35.5969640-04:00,2014-10-17T00:54:35.5969640-04:00
73,de.5.west.niederrhein,Oberliga Niederrhein,109,False,2014-10-17T00:54:35.5985910-04:00,2014-10-17T00:54:35.5985910-04:00
74,de.5.west.mittelrhein,Mittelrheinliga,109,False,2014-10-17T00:54:35.6001850-04:00,2014-10-17T00:54:35.6001850-04:00
75,de.5.west.westfalen,Oberliga Westfalen,109,False,2014-10-17T00:54:35.6018680-04:00,2014-10-17T00:54:35.6018680-04:00
76,de.5.suedwest.rp.sl,Oberliga Rheinland-Pfalz/Saar,109,False,2014-10-17T00:54:35.6036520-04:00,2014-10-17T00:54:35.6036520-04:00
77,de.5.suedwest.he,Hessenliga,109,False,2014-10-17T00:54:35.6053440-04:00,2014-10-17T00:54:35.6053440-04:00
78,de.5.suedwest.bw,Oberliga Baden-WÃ¼rttemberg,109,False,2014-10-17T00:54:35.6069660-04:00,2014-10-17T00:54:35.6069660-04:00
79,de.5.by.n,Bayernliga (Nord),109,False,2014-10-17T00:54:35.6084840-04:00,2014-10-17T00:54:35.6084840-04:00
80,de.5.by.s,Bayernliga (SÃ¼d),109,False,2014-10-17T00:54:35.6102410-04:00,2014-10-17T00:54:35.6102410-04:00
81,en,English Premier League,219,False,2014-10-17T00:54:45.9087910-04:00,2014-10-17T00:54:45.9087910-04:00
82,es,Primera DivisiÃ³n,111,False,2014-10-17T00:54:52.7588120-04:00,2014-10-17T00:54:52.7588120-04:00
83,es.2,Segunda DivisiÃ³n,111,False,2014-10-17T00:54:52.7640290-04:00,2014-10-17T00:54:52.7640290-04:00
84,es.cup,Copa del Rey,111,False,2014-10-17T00:54:52.7660890-04:00,2014-10-17T00:54:52.7660890-04:00
85,it,Serie A,116,False,2014-10-17T00:55:00.9312450-04:00,2014-10-17T00:55:00.9312450-04:00
86,cl,Champions League (Europe),,False,2014-10-17T00:55:06.6902520-04:00,2014-10-17T00:55:06.6902520-04:00
87,cl.quali,Champions League Qualifying (Europe),,False,2014-10-17T00:55:06.6957870-04:00,2014-10-17T00:55:06.6957870-04:00
88,el,Europa League,,False,2014-10-17T00:55:06.6986220-04:00,2014-10-17T00:55:06.6986220-04:00
89,mx.apertura,MÃ©xico Primera DivisiÃ³n Apertura,171,False,2014-10-17T00:55:07.9446810-04:00,2014-10-17T00:55:07.9446810-04:00
90,mx.clausura,MÃ©xico Primera DivisiÃ³n Clausura,171,False,2014-10-17T00:55:07.9510520-04:00,2014-10-17T00:55:07.9510520-04:00
91,mx.2.apertura,MÃ©xico Segunda DivisiÃ³n Apertura,171,False,2014-10-17T00:55:07.9538700-04:00,2014-10-17T00:55:07.9538700-04:00
92,mx.2.clausura,MÃ©xico Segunda DivisiÃ³n Clausura,171,False,2014-10-17T00:55:07.9562130-04:00,2014-10-17T00:55:07.9562130-04:00
93,br,Campeonato Brasileiro SÃ©rie A,188,False,2014-10-17T00:55:11.3116260-04:00,2014-10-17T00:55:11.3116260-04:00
94,america.cl,Champions League (North/Central America & Caribbean),,False,2014-10-17T00:55:12.7274070-04:00,2014-10-17T00:55:12.7274070-04:00
95,america.l,Copa Libertadores,,False,2014-10-17T00:55:13.9843660-04:00,2014-10-17T00:55:13.9843660-04:00
96,america.s,Copa Sudamericana,,False,2014-10-17T00:55:15.2159840-04:00,2014-10-17T00:55:15.2159840-04:00
