Id,key,league_id,season_id,start_at,end_at,team3,sources,config,created_at,updated_at
26,de.2.2012/13,59,9,2012-07-21,,False,2-bundesliga2,2-bundesliga2,2014-10-17T00:54:37.6416740-04:00,2014-10-17T00:54:37.6416740-04:00
27,de.3.2012/13,60,9,2012-07-21,,False,3-liga3,3-liga3,2014-10-17T00:54:37.7023340-04:00,2014-10-17T00:54:37.7023340-04:00
28,de.cup.2012/13,61,9,2012-08-17,,False,cup,cup,2014-10-17T00:54:37.7557840-04:00,2014-10-17T00:54:37.7557840-04:00
29,de.2013/14,58,8,2013-08-09,,False,"1-bundesliga-i,1-bundesliga-ii",1-bundesliga,2014-10-17T00:54:37.8969770-04:00,2014-10-17T00:54:37.8969770-04:00
30,de.2.2013/14,59,8,2013-07-19,,False,"2-bundesliga2-i,2-bundesliga2-ii",2-bundesliga2,2014-10-17T00:54:39.6451810-04:00,2014-10-17T00:54:39.6451810-04:00
31,de.3.2013/14,60,8,2013-07-19,,False,"3-liga3-i,3-liga3-ii",3-liga3,2014-10-17T00:54:41.2832690-04:00,2014-10-17T00:54:41.2832690-04:00
32,de.cup.2013/14,61,8,2013-08-02,,False,cup,cup,2014-10-17T00:54:41.3325510-04:00,2014-10-17T00:54:41.3325510-04:00
33,de.2014/15,58,7,2014-08-22,,False,"1-bundesliga-i,1-bundesliga-ii",1-bundesliga,2014-10-17T00:54:41.3704140-04:00,2014-10-17T00:54:41.3704140-04:00
34,de.2.2014/15,59,7,2014-08-01,,False,"2-bundesliga2-i,2-bundesliga2-ii",2-bundesliga2,2014-10-17T00:54:43.0173930-04:00,2014-10-17T00:54:43.0173930-04:00
35,en.2012/13,81,9,2012-08-18,,False,"1-premierleague-i,1-premierleague-ii",1-premierleague,2014-10-17T00:54:46.0574060-04:00,2014-10-17T00:54:46.0574060-04:00
36,en.2013/14,81,8,2013-08-17,,False,"1-premierleague-i,1-premierleague-ii",1-premierleague,2014-10-17T00:54:47.2740310-04:00,2014-10-17T00:54:47.2740310-04:00
37,en.2014/15,81,7,2014-08-16,,False,"1-premierleague-i,1-premierleague-ii",1-premierleague,2014-10-17T00:54:49.4642450-04:00,2014-10-17T00:54:49.4642450-04:00
38,es.2012/13,82,9,2012-08-18,,False,"liga-i,liga-ii",liga,2014-10-17T00:54:52.9407120-04:00,2014-10-17T00:54:52.9407120-04:00
39,es.2013/14,82,8,2013-08-17,,False,"liga-i,liga-ii",liga,2014-10-17T00:54:55.2496730-04:00,2014-10-17T00:54:55.2496730-04:00
40,es.2014/15,82,7,2014-08-23,,False,"liga-i,liga-ii",liga,2014-10-17T00:54:57.4610800-04:00,2014-10-17T00:54:57.4610800-04:00
41,it.2013/14,85,8,2013-08-24,,False,"seriea-i,seriea-ii",seriea,2014-10-17T00:55:01.0822630-04:00,2014-10-17T00:55:01.0822630-04:00
42,it.2014/15,85,7,2014-08-30,,False,"seriea-i,seriea-ii",seriea,2014-10-17T00:55:03.3015690-04:00,2014-10-17T00:55:03.3015690-04:00
43,mx.apertura.2012.2,89,52,2012-07-20,,False,"apertura,apertura_liguilla",apertura,2014-10-17T00:55:08.1479120-04:00,2014-10-17T00:55:08.1479120-04:00
44,mx.clausura.2013.1,90,49,2013-01-04,,False,"clausura,clausura_liguilla",clausura,2014-10-17T00:55:09.2025990-04:00,2014-10-17T00:55:09.2025990-04:00
45,br.2013,93,31,2013-05-25,,False,cb,cb,2014-10-17T00:55:11.4501040-04:00,2014-10-17T00:55:11.4501040-04:00
