Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Attendance,Referee,HS,AS,HST,AST,HHW,AHW,HC,AC,HF,AF,HO,AO,HY,AY,HR,AR,HBP,ABP,GBH,GBD,GBA,IWH,IWD,IWA,WHH,WHD,WHA
D2,19/08/00,Aachen,Reutlingen,4,1,H,1,0,H,15000,Herrmann Albrecht ,,,,,,,,,,,,,1,1,0,1,10,35,1.7,3.2,4.1,1.9,2.9,3.2,1.75,3.15,4
D2,19/08/00,Osnabruck,M'gladbach,1,3,A,1,0,H,19711,Helmut Krug ,,,,,,,,,,,,,1,3,0,0,10,30,2.7,3.1,2.25,2.9,2.9,2.1,3.15,3.1,2
D2,20/08/00,Mainz,Stuttgarter K,2,2,D,1,2,A,5668,Wolfgang Stark ,,,,,,,,,,,,,4,3,0,0,40,30,1.6,3.4,4.5,1.65,3.1,4,1.65,3.2,4.6
D2,20/08/00,Nurnberg,Ahlen,2,0,H,2,0,H,21700,Hartmut Strampe ,,,,,,,,,,,,,0,1,0,0,0,10,1.4,3.7,6.15,1.35,3.8,6.2,1.3,4.1,8
D2,20/08/00,Oberhausen,Duisburg,1,0,H,1,0,H,10000,Edgar Steinborn ,,,,,,,,,,,,,0,4,0,0,0,40,2.3,3,2.6,2.2,2.9,2.7,2.55,2.8,2.55
D2,20/08/00,Saarbrucken,Greuther Furth,2,1,H,1,1,D,18000,Florian Mayer ,,,,,,,,,,,,,1,1,0,0,10,10,2.25,3.1,2.5,2.1,2.9,2.9,1.95,3,3.4
D2,21/08/00,Ulm,Bielefeld,0,1,A,0,1,A,11000,Markus Merk ,16,11,5,9,1,0,6,4,21,18,2,2,0,4,0,0,0,40,1.9,3.1,3.5,1.9,2.9,3.2,1.9,3,3.6
D2,04/09/00,M'gladbach,Ulm,5,0,H,2,0,H,18800,Christian Schüssling ,,,,,,,,,,,,,4,5,0,1,40,75,1.8,3.1,3.8,1.75,3.1,3.6,1.7,3.1,4.4
D2,05/09/00,Bielefeld,Oberhausen,2,0,H,2,0,H,12030,Peter Lange ,,,,,,,,,,,,,1,1,0,1,10,35,1.5,3.5,5.7,1.5,3.4,4.7,1.45,3.55,6
D2,05/09/00,Chemnitz,Saarbrucken,1,3,A,0,2,A,5325,Wolfgang Stark ,,,,,,,,,,,,,1,2,0,0,10,20,2.1,3.1,3,2.2,2.9,2.7,2.25,2.9,2.85
D2,05/09/00,Duisburg,Mainz,0,0,D,0,0,D,6000,Peter Gagelmann ,,,,,,,,,,,,,1,2,0,0,10,20,1.8,3.2,3.9,1.8,3,3.5,1.7,3.1,4.4
D2,05/09/00,Hannover,Ahlen,1,1,D,0,1,A,11587,Dirk Margenberg ,,,,,,,,,,,,,2,3,0,0,20,30,1.5,3.6,5.4,1.45,3.5,5,1.45,3.4,6.5
D2,05/09/00,Reutlingen,St Pauli,2,0,H,0,0,D,8500,Manfred Haupt ,,,,,,,,,,,,,2,1,0,0,20,10,2.4,3.1,2.55,2,2.9,3,2.3,2.85,2.85
D2,06/09/00,Greuther Furth,Osnabruck,2,0,H,1,0,H,5806,Thorsten Kinhöfer ,,,,,,,,,,,,,0,3,0,0,0,30,1.66,3.3,4.5,1.5,3.2,5,1.55,3.4,5
D2,06/09/00,Mannheim,Nurnberg,1,4,A,0,2,A,8100,Thorsten Koop ,,,,,,,,,,,,,2,4,0,0,20,40,2.55,3.1,2.35,,,,2.55,2.85,2.5
D2,06/09/00,Stuttgarter K,Aachen,0,3,A,0,0,D,4115,Ralf Späker ,,,,,,,,,,,,,0,0,0,0,0,0,2,3.1,3.3,1.9,2.9,3.2,2.15,2.95,3
D2,08/09/00,Mainz,Bielefeld,2,4,A,2,4,A,5300,Jürgen Kreyer ,,,,,,,,,,,,,0,0,0,0,0,0,2.5,3.1,2.3,2.4,2.9,2.4,2.55,2.9,2.5
D2,08/09/00,Saarbrucken,Hannover,2,1,H,1,0,H,13000,Volker Wezel ,,,,,,,,,,,,,1,2,0,0,10,20,2.2,3,2.75,2.1,2.9,2.9,1.85,3.15,3.6
D2,09/09/00,Ahlen,Mannheim,1,2,A,1,0,H,,Michael Pickel ,,,,,,,,,,,,,3,3,0,0,30,30,2.25,3.15,2.6,,,,2.3,2.9,2.8
D2,09/09/00,Nurnberg,Reutlingen,2,0,H,2,0,H,,Lutz Wagner ,,,,,,,,,,,,,1,2,0,0,10,20,1.5,3.4,5.4,1.4,3.6,5.5,1.4,3.6,7
D2,10/09/00,Oberhausen,M'gladbach,1,1,D,0,1,A,12437,Uwe Kemmling ,,,,,,,,,,,,,3,4,0,0,30,40,2.5,3.2,2.3,2.4,2.9,2.4,3.15,2.9,2.1
D2,10/09/00,Osnabruck,Chemnitz,1,1,D,1,0,H,8362,Kai Voss ,,,,,,,,,,,,,1,3,0,0,10,30,2,3.05,3.2,1.8,3,3.5,1.85,3,3.75
D2,10/09/00,St Pauli,Stuttgarter K,4,0,H,2,0,H,16255,Thomas Frank ,,,,,,,,,,,,,0,0,0,0,0,0,1.66,3.2,4.4,1.7,3.1,3.8,1.6,3.3,4.7
D2,10/09/00,Ulm,Greuther Furth,2,2,D,0,0,D,7500,Hartmut Strampe ,,,,,,,,,,,,,1,2,1,0,35,20,1.85,3.05,3.65,1.75,3.1,3.6,1.9,2.9,3.75
D2,11/09/00,Aachen,Duisburg,1,0,H,0,0,D,15200,Peter Sippel ,,,,,,,,,,,,,0,1,0,0,0,10,2,3.15,3.3,2.1,2.9,2.9,1.95,3,3.4
D2,15/09/00,Duisburg,St Pauli,4,1,H,3,1,H,7709,Peter Lange ,,,,,,,,,,,,,1,2,0,1,10,45,2,3,3.5,1.9,2.9,3.2,1.85,3.2,3.5
D2,15/09/00,Hannover,Mannheim,3,0,H,0,0,D,8567,Detlef Scheppe ,,,,,,,,,,,,,2,4,0,1,20,65,1.85,3.2,3.45,,,,1.95,3,3.4
D2,16/09/00,M'gladbach,Mainz,1,1,D,1,1,D,19800,Stefan Weber ,,,,,,,,,,,,,1,4,0,0,10,40,1.4,3.5,6.6,1.35,3.8,6.2,1.45,3.4,6.5
D2,16/09/00,Reutlingen,Ahlen,5,1,H,1,1,D,5850,Babak Rafati ,,,,,,,,,,,,,1,4,0,0,10,40,1.66,3.15,4.4,1.55,3.3,4.5,1.6,3.3,4.8
D2,17/09/00,Chemnitz,Ulm,1,0,H,1,0,H,5600,Thomas Frank ,,,,,,,,,,,,,2,2,0,0,20,20,2.4,2.9,2.5,2.4,2.9,2.4,2.7,2.85,2.4
D2,17/09/00,Greuther Furth,Oberhausen,1,2,A,1,0,H,4863,Matthias Anklam ,,,,,,,,,,,,,1,4,0,0,10,40,1.75,3.15,3.85,1.7,3.1,3.8,1.7,3.15,4.3
D2,17/09/00,Saarbrucken,Osnabruck,2,1,H,1,1,D,14000,Jürgen Kreyer ,,,,,,,,,,,,,2,2,0,0,20,20,1.6,3.3,5,1.55,3.3,4.5,1.55,3.45,5
D2,17/09/00,Stuttgarter K,Nurnberg,0,2,A,0,0,D,7635,Jörg Kessler ,,,,,,,,,,,,,2,1,0,0,20,10,2.85,3.1,2.1,3,2.9,2,2.95,3.1,2.1
D2,18/09/00,Bielefeld,Aachen,1,1,D,1,1,D,,Michael Weiner ,,,,,,,,,,,,,4,3,1,0,65,30,1.5,3.35,5.2,1.55,3.3,4.5,1.45,3.6,5.8
D2,22/09/00,Nurnberg,Duisburg,3,1,H,1,1,D,21300,Christian Schüssling ,,,,,,,,,,,,,2,3,0,0,20,30,1.55,3.35,4.9,1.55,3.3,4.5,1.55,3.4,5
D2,22/09/00,Ulm,Saarbrucken,3,1,H,1,0,H,6200,Mike Pickel ,,,,,,,,,,,,,3,2,0,0,30,20,2.05,3,3.2,2,2.9,3,2,3,3.3
D2,23/09/00,Mannheim,Reutlingen,1,1,D,0,1,A,7000,Dirk Margenberg ,,,,,,,,,,,,,5,2,0,0,50,20,1.85,3.2,3.4,,,,1.8,3.15,3.75
D2,23/09/00,St Pauli,Bielefeld,2,0,H,0,0,D,17562,Jürgen Jansen ,,,,,,,,,,,,,1,2,0,0,10,20,2.4,3.3,2.4,2.4,2.9,2.4,2.7,3,2.3
D2,24/09/00,Ahlen,Stuttgarter K,1,1,D,0,0,D,4212,Frank Minskowski ,,,,,,,,,,,,,2,0,0,0,20,0,2.25,3.3,2.55,2.1,2.9,2.9,2.2,3.15,2.75
D2,24/09/00,Mainz,Greuther Furth,1,0,H,1,0,H,4400,Ralf Späker ,,,,,,,,,,,,,1,3,0,0,10,30,2,3.1,3.2,2,2.9,3,1.95,3.1,3.3
D2,24/09/00,Oberhausen,Chemnitz,4,1,H,2,0,H,2701,Markus Schmidt ,,,,,,,,,,,,,1,1,0,1,10,35,1.7,3.45,3.9,1.65,3.1,4,1.7,3.2,4.2
D2,24/09/00,Osnabruck,Hannover,0,1,A,0,0,D,10573,Helmut Fleischer ,,,,,,,,,,,,,0,1,0,0,0,10,2.45,2.9,2.45,2.4,2.9,2.4,2.5,2.9,2.55
D2,25/09/00,Aachen,M'gladbach,1,1,D,1,1,D,22500,Edgar Steinborn ,,,,,,,,,,,,,4,3,0,0,40,30,2.35,3.1,2.55,2.4,2.9,2.4,2.55,2.8,2.55
D2,29/09/00,Duisburg,Ahlen,3,3,D,1,2,A,6712,Jürgen Aust ,,,,,,,,,,,,,0,1,0,0,0,10,1.47,3.8,5,1.45,3.5,5,1.4,3.6,7
D2,29/09/00,Saarbrucken,Oberhausen,3,2,H,2,0,H,11300,Torsten Koop ,,,,,,,,,,,,,1,3,0,0,10,30,1.8,3.15,3.8,1.8,3,3.5,1.8,3.2,3.7
D2,30/09/00,M'gladbach,St Pauli,4,2,H,1,1,D,25451,Knut Kircher ,,,,,,,,,,,,,2,2,0,0,20,20,1.6,3.3,4.85,1.5,3.4,4.7,1.6,3.25,4.8
D2,30/09/00,Stuttgarter K,Mannheim,2,2,D,1,1,D,4532,Günter Perl ,,,,,,,,,,,,,2,3,0,1,20,55,,,,,,,2.3,3,2.7
D2,01/10/00,Chemnitz,Mainz,0,2,A,0,0,D,5680,Franz-Xaver Wack ,,,,,,,,,,,,,0,2,1,0,25,20,2.15,3.15,2.8,2.1,2.9,2.9,2.35,2.9,2.7
D2,01/10/00,Greuther Furth,Aachen,3,0,H,1,0,H,5417,Peter Gagelmann ,,,,,,,,,,,,,1,2,0,0,10,20,2.1,3.1,3,1.9,2.9,3.2,2.1,3,3
D2,01/10/00,Hannover,Reutlingen,5,1,H,2,1,H,11352,Thorsten Kinhöfer ,,,,,,,,,,,,,4,2,0,0,40,20,1.71,3.4,3.85,1.7,3.1,3.8,1.75,3.2,3.9
D2,01/10/00,Osnabruck,Ulm,2,1,H,2,0,H,9996,Detlef Scheppe ,,,,,,,,,,,,,4,2,0,0,40,20,2.4,3.2,2.4,2.4,2.9,2.4,2.6,3,2.4
D2,02/10/00,Bielefeld,Nurnberg,1,2,A,1,0,H,13000,Florian Meyer ,,,,,,,,,,,,,2,2,0,0,20,20,2.2,3,2.9,2,2.9,3,2.25,2.85,2.9
D2,13/10/00,Aachen,Chemnitz,1,2,A,0,1,A,15200,Matthias Anklam ,,,,,,,,,,,,,0,1,0,1,0,35,1.5,3.4,5.7,1.45,3.5,5,1.5,3.5,5.4
D2,13/10/00,Mannheim,Duisburg,1,0,H,1,0,H,5000,Manfred Haupt ,,,,,,,,,,,,,2,3,0,0,20,30,,,,,,,2,3.1,3.2
D2,14/10/00,Ahlen,Bielefeld,1,1,D,1,0,H,9050,Volker Wezel ,,,,,,,,,,,,,2,2,0,0,20,20,3.5,3.3,1.8,3,2.9,2,3.4,3,1.95
D2,14/10/00,Mainz,Saarbrucken,1,0,H,1,0,H,8961,Günter Perl ,,,,,,,,,,,,,2,1,0,1,20,35,2.15,3.2,2.8,2.1,2.9,2.9,2.25,3,2.8
D2,15/10/00,Oberhausen,Osnabruck,5,2,H,1,0,H,5351,Stefan Kammerer ,,,,,,,,,,,,,0,0,0,0,0,0,1.61,3.45,4.75,1.6,3.2,4.2,1.6,3.3,4.8
D2,15/10/00,Reutlingen,Stuttgarter K,1,0,H,0,0,D,11000,Lutz Michael Fröhlich ,,,,,,,,,,,,,0,2,0,0,0,20,1.75,3.3,3.9,1.75,3.1,3.6,1.95,2.8,3.75
D2,15/10/00,St Pauli,Greuther Furth,3,3,D,3,0,H,16377,Markus Schmidt ,,,,,,,,,,,,,1,2,0,0,10,20,1.66,3.3,4.2,1.9,2.9,3.2,1.75,3.15,4
D2,15/10/00,Ulm,Hannover,3,3,D,1,0,H,7000,Lutz Wagner ,,,,,,,,,,,,,2,3,0,2,20,80,2.05,3,3.2,2.1,2.9,2.9,2.05,3.15,3
D2,16/10/00,Nurnberg,M'gladbach,2,1,H,1,0,H,30000,Alfons Berg ,,,,,,,,,,,,,0,0,0,0,0,0,1.85,3.1,3.7,1.8,2.9,3.6,1.85,3,3.8
D2,20/10/00,Bielefeld,Mannheim,0,0,D,0,0,D,9681,Kai Voss ,,,,,,,,,,,,,4,4,0,0,40,40,1.5,3.3,5.7,,,,,,
D2,20/10/00,Chemnitz,St Pauli,1,3,A,1,0,H,5800,Ralf Späker ,,,,,,,,,,,,,1,2,0,0,10,20,2.4,3.15,2.45,2.2,2.9,2.7,2.3,2.95,2.75
D2,21/10/00,Greuther Furth,Nurnberg,0,0,D,0,0,D,35100,Michael Weiner ,,,,,,,,,,,,,3,2,0,0,30,20,3.4,3.15,1.9,3.5,3,1.8,4.1,3.1,1.75
D2,21/10/00,Hannover,Stuttgarter K,1,0,H,0,0,D,12331,Jürgen Kreyer ,,,,,,,,,,,,,2,2,1,0,45,20,1.5,3.55,5.2,1.45,3.5,5,1.5,3.45,5.5
D2,22/10/00,Duisburg,Reutlingen,4,3,H,2,1,H,7365,Babak Rafati ,,,,,,,,,,,,,5,1,0,0,50,10,1.8,3.15,3.65,1.8,3,3.5,1.8,3.15,3.75
D2,22/10/00,Osnabruck,Mainz,2,1,H,1,0,H,10000,Peter Lange ,,,,,,,,,,,,,1,0,1,0,35,0,2.3,3.2,2.65,2.3,2.8,2.6,2.3,3,2.7
D2,22/10/00,Saarbrucken,Aachen,1,3,A,1,0,H,18000,Thomas Frank ,,,,,,,,,,,,,0,2,0,0,0,20,1.75,3.15,3.9,1.7,3.1,3.8,1.65,3.2,4.6
D2,22/10/00,Ulm,Oberhausen,0,1,A,0,0,D,6000,Frank Minskowski ,,,,,,,,,,,,,0,2,0,0,0,20,1.9,3.2,3.3,1.8,3,3.5,1.85,3.1,3.65
D2,23/10/00,M'gladbach,Ahlen,1,2,A,0,0,D,15500,Stefan Kammerer ,,,,,,,,,,,,,0,4,0,0,0,40,1.35,3.55,5.1,1.35,3.8,6.2,1.3,4,8.5
D2,27/10/00,Nurnberg,Chemnitz,3,1,H,2,0,H,15500,Knut Kircher ,,,,,,,,,,,,,1,1,0,0,10,10,1.3,4.5,7.1,1.3,4,7,1.25,4.5,8.5
D2,27/10/00,Reutlingen,Bielefeld,3,2,H,2,1,H,8000,Stefan Weber ,,,,,,,,,,,,,1,2,0,0,10,20,2.4,3.1,2.65,2.3,2.9,2.5,2.35,2.9,2.7
D2,28/10/00,Aachen,Osnabruck,0,0,D,0,0,D,12800,Manfred Haupt ,,,,,,,,,,,,,4,2,0,0,40,20,1.6,3.3,4.9,1.55,3.3,4.5,1.55,3.5,4.8
D2,28/10/00,Mainz,Ulm,0,3,A,0,0,D,4620,Babak Rafati ,,,,,,,,,,,,,0,3,1,0,25,30,1.9,3.2,3.6,1.9,2.9,3.2,1.95,3.1,3.35
D2,29/10/00,Ahlen,Greuther Furth,2,0,H,1,0,H,5830,Bernd Heynemann ,,,,,,,,,,,,,4,0,0,0,40,0,2.6,2.95,2.45,2.4,2.9,2.4,2.4,2.9,2.65
D2,29/10/00,Mannheim,M'gladbach,4,0,H,1,0,H,12000,Jörg Kessler ,,,,,,,,,,,,,2,2,0,0,20,20,2.45,3,2.55,,,,2.4,2.9,2.65
D2,29/10/00,Oberhausen,Hannover,0,0,D,0,0,D,7154,Volker Wezel ,,,,,,,,,,,,,2,1,0,0,20,10,2.2,2.95,3.05,2,2.9,3,2.15,2.9,3
D2,29/10/00,St Pauli,Saarbrucken,2,2,D,2,0,H,17146,Detlef Scheppe ,,,,,,,,,,,,,2,2,0,0,20,20,1.95,3,3.6,1.9,2.9,3.2,1.85,3.15,3.5
D2,29/10/00,Stuttgarter K,Duisburg,0,0,D,0,0,D,4412,Uwe Kemmling ,,,,,,,,,,,,,1,2,0,0,10,20,2.3,3.2,2.6,2.3,2.9,2.5,2.3,2.9,2.75
D2,03/11/00,Bielefeld,Stuttgarter K,0,0,D,0,0,D,7680,Torsten Koop ,,,,,,,,,,,,,2,1,0,0,20,10,1.5,3.4,6,1.5,3.4,4.7,1.5,3.45,5.5
D2,03/11/00,Chemnitz,Ahlen,2,2,D,2,1,H,4200,Florian Meyer ,,,,,,,,,,,,,4,3,1,0,65,30,2.2,2.7,3.3,2,2.9,3,2.35,2.95,2.7
D2,04/11/00,Hannover,Duisburg,0,2,A,0,0,D,13737,Stefan Kammerer ,,,,,,,,,,,,,2,3,0,0,20,30,1.65,3.2,4.8,1.8,3,3.5,1.7,3.25,4.1
D2,04/11/00,Oberhausen,Mainz,1,0,H,0,0,D,4723,Peter Sippel ,,,,,,,,,,,,,2,2,0,0,20,20,1.7,3.5,3.85,1.65,3.1,4,1.65,3.25,4.5
D2,05/11/00,Greuther Furth,Mannheim,2,1,H,1,1,D,4500,Lutz Wagner ,,,,,,,,,,,,,1,5,0,2,10,100,2,2.9,3.5,,,,2.1,2.95,3.1
D2,05/11/00,M'gladbach,Reutlingen,1,1,D,1,1,D,20900,Matthias Anklam ,,,,,,,,,,,,,3,2,0,1,30,45,1.65,3.2,4.6,1.6,3.2,4.2,1.6,3.35,4.6
D2,05/11/00,Osnabruck,St Pauli,0,0,D,0,0,D,16500,Lutz Michael Fröhlich ,,,,,,,,,,,,,4,3,0,0,40,30,2.6,3,2.45,2.3,2.9,2.5,2.55,2.9,2.5
D2,05/11/00,Ulm,Aachen,3,1,H,0,0,D,8000,Stefan Weber ,,,,,,,,,,,,,3,3,0,1,30,55,1.95,3.4,3,1.85,3,3.3,1.85,3.1,3.65
D2,06/11/00,Saarbrucken,Nurnberg,2,2,D,1,0,H,17000,Markus Schmidt ,,,,,,,,,,,,,2,2,0,0,20,20,,,,2.3,2.9,2.5,2.75,3,2.25
D2,10/11/00,Duisburg,Bielefeld,2,1,H,1,0,H,8507,Mike Pickel ,,,,,,,,,,,,,2,3,0,0,20,30,1.95,3,3.6,2.1,2.9,2.9,2.05,2.9,3.25
D2,10/11/00,Mannheim,Chemnitz,0,0,D,0,0,D,5000,Alfons Berg ,,,,,,,,,,,,,1,1,0,0,10,10,1.57,3.4,5,,,,1.45,3.55,6
D2,11/11/00,Mainz,Hannover,0,2,A,0,0,D,4513,Matthias Anklam ,,,,,,,,,,,,,3,0,1,1,55,25,2.4,3,2.7,2.3,2.9,2.5,2.3,2.9,2.8
D2,11/11/00,St Pauli,Ulm,1,0,H,1,0,H,14607,Peter Sippel ,,,,,,,,,,,,,3,1,0,0,30,10,1.85,3.2,3.8,2,2.9,3,1.9,3.1,3.75
D2,12/11/00,Aachen,Oberhausen,3,1,H,3,0,H,11800,Ralf Späker ,,,,,,,,,,,,,2,2,0,0,20,20,2.2,3.1,2.8,2,2.9,3,2,3,3.3
D2,12/11/00,Ahlen,Saarbrucken,2,0,H,1,0,H,7120,Peter Lange ,,,,,,,,,,,,,0,3,0,0,0,30,2.3,3,2.8,2.3,2.8,2.6,2.3,2.9,2.8
D2,12/11/00,Reutlingen,Greuther Furth,2,2,D,1,1,D,7490,Stefan Kammerer ,,,,,,,,,,,,,2,1,0,0,20,10,1.8,3.2,3.9,1.75,3.1,3.6,1.7,3.1,4.4
D2,12/11/00,Stuttgarter K,M'gladbach,1,1,D,0,0,D,7000,Jürgen Aust ,,,,,,,,,,,,,0,2,0,0,0,20,2.6,3,2.4,2.4,2.9,2.4,2.85,2.85,2.3
D2,13/11/00,Nurnberg,Osnabruck,3,1,H,2,0,H,10100,Peter Gagelmann ,,,,,,,,,,,,,3,1,0,0,30,10,1.25,4.6,8,1.3,4,7,1.25,4.5,8.5
D2,17/11/00,Mainz,Aachen,1,1,D,0,0,D,5500,Florian Meyer ,,,,,,,,,,,,,1,1,0,0,10,10,2.2,3.1,2.85,2.2,2.9,2.7,2.3,2.85,2.85
D2,17/11/00,Ulm,Nurnberg,0,1,A,0,1,A,18000,Dirk Margenberg ,,,,,,,,,,,,,1,3,0,0,10,30,2.75,3.1,2.25,2.3,2.9,2.5,2.75,3.1,2.2
D2,18/11/00,Osnabruck,Ahlen,1,1,D,0,1,A,8000,Knut Kircher ,,,,,,,,,,,,,2,1,0,0,20,10,2.15,2.9,3.15,2.2,2.9,2.7,2.25,2.9,2.85
D2,19/11/00,Chemnitz,Reutlingen,1,3,A,1,2,A,6224,Jürgen Jansen ,,,,,,,,,,,,,0,2,0,0,0,20,2.2,3,2.95,2.2,2.9,2.7,2.35,2.85,2.8
D2,19/11/00,Greuther Furth,Stuttgarter K,2,0,H,0,0,D,5517,Kai Voss ,,,,,,,,,,,,,1,4,0,0,10,40,1.66,3.2,4.55,1.6,3.2,4.2,1.55,3.2,5.5
D2,19/11/00,M'gladbach,Duisburg,1,1,D,0,1,A,20000,Hartmut Strampe ,,,,,,,,,,,,,2,3,0,1,20,55,1.85,3.2,3.6,1.85,2.9,3.4,1.8,3.2,3.7
D2,19/11/00,Oberhausen,St Pauli,2,3,A,2,1,H,6650,Christian Schüssling ,,,,,,,,,,,,,3,7,0,1,30,95,2.1,2.9,3.3,1.85,2.9,3.4,2,3,3.3
D2,20/11/00,Hannover,Bielefeld,4,2,H,3,1,H,15000,Günter Perl ,,,,,,,,,,,,,1,1,0,0,10,10,1.85,3.15,3.7,2,2.9,3,1.75,3.15,4
D2,20/11/00,Saarbrucken,Mannheim,3,3,D,2,2,D,10000,Volker Wezel ,,,,,,,,,,,,,2,3,0,0,20,30,1.75,3.3,4,,,,1.9,2.9,3.8
D2,24/11/00,Aachen,Hannover,0,4,A,0,3,A,14200,Markus Schmidt ,,,,,,,,,,,,,2,4,1,1,45,65,2.25,3.1,2.85,2,2.9,3,2.2,2.9,2.95
D2,24/11/00,Duisburg,Greuther Furth,0,0,D,0,0,D,6783,Knut Kircher ,,,,,,,,,,,,,1,0,1,0,35,0,1.8,3.2,4,1.75,3.1,3.6,1.7,3.2,4.2
D2,25/11/00,Ahlen,Ulm,1,0,H,1,0,H,5562,Matthias Anklam ,,,,,,,,,,,,,4,3,0,0,40,30,2.1,3,3.2,2.1,2.9,2.9,2.05,3,3.15
D2,25/11/00,Bielefeld,M'gladbach,1,2,A,1,0,H,15588,Helmut Fleischer ,,,,,,,,,,,,,1,3,0,0,10,30,2.15,2.9,3.2,2.2,2.8,2.8,2.1,2.9,3.15
D2,26/11/00,Mannheim,Osnabruck,2,0,H,0,0,D,5000,Edgar Steinborn ,,,,,,,,,,,,,1,2,0,0,10,20,1.65,3.2,5,,,,1.55,3.4,5
D2,26/11/00,Nurnberg,Oberhausen,2,1,H,1,0,H,26000,Jörg Kessler ,,,,,,,,,,,,,1,2,0,0,10,20,1.4,3.5,6,1.5,3.4,4.7,1.35,3.75,7.5
D2,26/11/00,Reutlingen,Saarbrucken,8,2,H,3,0,H,8020,Michael Weiner ,,,,,,,,,,,,,2,4,0,0,20,40,1.85,3.2,3.8,1.8,2.9,3.6,1.85,3.15,3.6
D2,26/11/00,Stuttgarter K,Chemnitz,4,0,H,1,0,H,4246,Babak Rafati ,,,,,,,,,,,,,2,1,0,0,20,10,1.95,3,3.6,1.75,3.1,3.6,1.8,3.1,3.85
D2,27/11/00,St Pauli,Mainz,2,2,D,0,0,D,14694,Bernd Heynemann ,,,,,,,,,,,,,1,2,0,0,10,20,1.5,3.5,6,1.6,3.2,4.2,1.5,3.4,5.6
D2,01/12/00,Chemnitz,Duisburg,1,3,A,1,1,D,4365,Volker Wezel ,,,,,,,,,,,,,2,4,0,0,20,40,2.55,3,2.45,2.5,2.9,2.3,2.6,2.9,2.45
D2,01/12/00,Greuther Furth,Bielefeld,1,0,H,0,0,D,6135,Dirk Margenberg ,,,,,,,,,,,,,1,2,0,1,10,45,1.8,3.2,4,1.9,2.9,3.2,1.9,3.15,3.4
D2,02/12/00,Osnabruck,Reutlingen,0,2,A,0,1,A,7600,Günter Perl ,,,,,,,,,,,,,5,3,1,0,75,30,2.4,3,2.7,2.3,2.9,2.5,2.45,2.8,2.65
D2,02/12/00,Saarbrucken,Stuttgarter K,1,0,H,0,0,D,6000,Stefan Weber ,,,,,,,,,,,,,0,3,0,0,0,30,1.7,3.2,4.5,1.75,3.1,3.6,1.75,3.2,3.9
D2,03/12/00,Mainz,Nurnberg,2,0,H,1,0,H,7000,Frank Minskowski ,,,,,,,,,,,,,1,0,0,0,10,0,3.3,3.1,1.95,2.7,2.9,2.2,2.95,3,2.15
D2,03/12/00,Oberhausen,Ahlen,1,0,H,0,0,D,4294,Thomas Frank ,,,,,,,,,,,,,3,4,0,0,30,40,1.85,3.15,3.8,1.8,2.9,3.6,1.85,3.1,3.65
