Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,WHH,WHD,WHA
P1,02/09/00,Maritimo,Gil Vicente,1,0,H,0,0,D,1.9,3.1,3.5,1.85,2.9,3.4,1.9,3.1,3.6,1.75,3.1,4.1
P1,08/09/00,Sp Braga,Sp Lisbon,3,2,H,0,1,A,3.25,3.3,1.9,3.5,3,1.8,3.6,3.25,1.83,4,3.3,1.7
P1,09/09/00,Porto,Pacos Ferreira,2,1,H,2,0,H,1.16,5.15,12,1.15,5.5,11,1.17,5.5,11,1.15,5.5,11
P1,09/09/00,Leiria,Benfica,1,1,D,0,0,D,3.4,3.1,1.95,3.5,3,1.8,3.5,3.1,1.9,3.5,3.1,1.9
P1,10/09/00,Aves,Campomaiorense,2,2,D,0,1,A,2.1,3.2,2.9,1.9,2.9,3.2,2.1,3.1,3,2.05,3,3.15
P1,10/09/00,Beira Mar,Belenenses,2,2,D,0,1,A,2.7,3,2.3,2.35,3,2.35,2.6,3,2.4,2.6,2.95,2.4
P1,10/09/00,Est Amadora,Boavista,0,0,D,0,0,D,2.6,3.15,2.3,2.9,2.9,2.1,2.9,3,2.2,3.05,3,2.1
P1,10/09/00,Gil Vicente,Farense,0,0,D,0,0,D,1.8,3.2,3.8,1.6,3.2,4.2,1.67,3.3,4.33,1.65,3.25,4.5
P1,10/09/00,Salgueiros,Maritimo,1,0,H,1,0,H,2,3.15,3.15,2.1,2.9,2.9,2.05,3,3.2,2,3,3.3
P1,11/09/00,Alverca,Guimaraes,1,3,A,0,1,A,2.15,3.1,2.85,1.9,2.9,3.2,2.15,3.2,2.8,2.15,3.1,2.85
P1,15/09/00,Guimaraes,Gil Vicente,3,1,H,0,1,A,1.75,3.25,4,1.65,3.1,4,1.75,3.25,4,1.65,3.25,4.4
P1,16/09/00,Sp Lisbon,Alverca,1,1,D,1,0,H,1.2,4.8,9,1.2,4.7,9,1.22,5,9,1.2,5,9.5
P1,17/09/00,Belenenses,Leiria,1,1,D,1,1,D,1.7,3.25,4.25,1.7,3.1,3.8,1.7,3.3,4.2,1.7,3.2,4.2
P1,17/09/00,Maritimo,Aves,2,1,H,2,1,H,1.43,3.55,6,1.45,3.5,5,1.44,3.6,6.5,1.45,3.5,6
P1,17/09/00,Pacos Ferreira,Beira Mar,3,2,H,1,1,D,1.9,3.15,3.35,1.7,3.1,3.8,1.8,3.25,3.75,1.8,3.2,3.7
P1,17/09/00,Farense,Salgueiros,2,1,H,1,0,H,2.05,3.3,3,2.1,2.9,2.9,2.1,3.1,3.1,2,3,3.3
P1,18/09/00,Boavista,Sp Braga,1,2,A,1,1,D,1.66,3.35,4.5,1.45,3.5,5,1.62,3.3,5,1.6,3.3,4.8
P1,18/09/00,Campomaiorense,Porto,0,5,A,0,2,A,4.1,3.3,1.75,4.2,3.2,1.6,4,3.25,1.75,3.8,3.15,1.8
P1,18/09/00,Benfica,Est Amadora,2,1,H,0,0,D,1.25,4.05,9,1.2,4.7,9,1.25,4.6,9,1.2,5,9.5
P1,22/09/00,Salgueiros,Guimaraes,2,1,H,1,0,H,1.9,3.3,3.4,1.9,2.9,3.2,,,,2.1,2.95,3.1
P1,23/09/00,Boavista,Benfica,1,0,H,1,0,H,2.3,3.2,2.65,2.2,2.9,2.7,2.5,3,2.6,2.5,2.9,2.55
P1,23/09/00,Gil Vicente,Sp Lisbon,0,2,A,0,0,D,3.35,3.3,1.9,3.2,2.9,1.9,3.4,3.2,1.91,3.1,3.2,2
P1,24/09/00,Aves,Farense,3,1,H,2,0,H,2.25,2.9,3,2,2.9,3,2.25,3.1,2.75,2.1,3.1,3
P1,24/09/00,Beira Mar,Campomaiorense,0,0,D,0,0,D,2.05,3.1,3.3,2.1,2.9,2.9,2,3.1,3.2,1.9,3.1,3.5
P1,24/09/00,Est Amadora,Belenenses,0,2,A,0,1,A,2.2,3.05,2.9,2.1,2.9,2.9,2.25,3,2.8,2.2,3,2.85
P1,24/09/00,Porto,Maritimo,1,0,H,1,0,H,1.2,4.5,10,1.2,4.7,9,1.25,4.5,9,1.2,5,9.5
P1,24/09/00,Sp Braga,Alverca,1,1,D,1,0,H,,,,1.55,3.3,4.5,1.5,3.4,5.75,1.45,3.5,6
P1,24/09/00,Leiria,Pacos Ferreira,1,4,A,0,2,A,1.7,3.3,4.2,1.7,3.1,3.8,1.67,3.4,4.2,1.7,3.25,4.1
P1,30/09/00,Guimaraes,Aves,2,2,D,2,0,H,1.41,3.65,6.7,1.4,3.6,5.5,1.44,3.6,6.5,1.4,3.6,7
P1,01/10/00,Alverca,Gil Vicente,2,0,H,1,0,H,1.85,3.25,3.5,1.9,2.9,3.2,1.9,3.2,3.4,1.8,3.2,3.7
P1,01/10/00,Campomaiorense,Leiria,1,1,D,1,1,D,2,3,3.35,1.9,2.9,3.2,2.1,3.1,3.1,2,3,3.3
P1,01/10/00,Maritimo,Beira Mar,2,1,H,1,0,H,1.4,3.5,6.5,1.4,3.6,5.5,1.44,3.6,6.5,1.4,3.6,6.7
P1,01/10/00,Pacos Ferreira,Est Amadora,4,1,H,2,0,H,1.66,3.3,4.4,1.5,3.4,4.7,1.67,3.3,4.33,1.75,3.25,3.85
P1,01/10/00,Sp Lisbon,Salgueiros,2,0,H,0,0,D,1.33,3.8,8,1.25,4.3,8,1.33,4,7.5,1.3,4,8.5
P1,02/10/00,Belenenses,Boavista,2,2,D,1,2,A,2.3,3.1,2.65,2.4,2.9,2.4,2.4,3,2.63,2.4,2.9,2.65
P1,02/10/00,Benfica,Sp Braga,2,2,D,0,1,A,1.5,3.45,5.6,1.5,3.4,4.7,1.5,3.6,5,1.5,3.6,5.5
P1,02/10/00,Farense,Porto,1,3,A,0,1,A,4.1,3.3,1.75,4.5,3.3,1.55,4.5,3.2,1.7,4.1,3.25,1.7
P1,13/10/00,Boavista,Pacos Ferreira,1,0,H,0,0,D,1.55,3.2,5.8,1.45,3.5,5,1.5,3.5,5.5,1.6,3.4,4.5
P1,14/10/00,Aves,Sp Lisbon,3,4,A,1,1,D,4.2,3.3,1.7,4.5,3.3,1.55,4.5,3.25,1.67,4.5,3.25,1.65
P1,14/10/00,Sp Braga,Gil Vicente,3,1,H,1,1,D,1.4,3.75,6.5,1.45,3.5,5,1.36,3.75,7.5,1.4,3.6,6.7
P1,14/10/00,Leiria,Maritimo,1,0,H,0,0,D,2.05,3.1,3,2.1,2.9,2.9,2,3,3.3,1.9,2.95,3.6
P1,15/10/00,Beira Mar,Farense,0,2,A,0,1,A,2.25,3.1,2.75,2.2,2.9,2.7,2.2,3,2.9,2.15,3,2.95
P1,15/10/00,Est Amadora,Campomaiorense,4,0,H,2,0,H,2.1,3.3,2.9,2,2.9,3,2.05,3,3.2,1.85,2.9,3.9
P1,15/10/00,Porto,Guimaraes,2,0,H,1,0,H,1.3,4.6,6.8,1.15,5.5,11,1.25,4.5,9,1.3,4,8.5
P1,15/10/00,Benfica,Belenenses,1,0,H,1,0,H,1.5,3.6,5,1.5,3.4,4.7,1.5,3.5,5.5,1.45,3.6,5.5
P1,15/10/00,Salgueiros,Alverca,3,1,H,1,0,H,1.75,3,4.5,1.55,3.3,4.5,1.67,3.3,4.33,1.75,3.25,3.9
P1,20/10/00,Campomaiorense,Boavista,0,0,D,0,0,D,,,,3.3,3,1.85,3.4,3,2,3.45,3.1,1.9
P1,21/10/00,Pacos Ferreira,Benfica,0,0,D,0,0,D,,,,2.9,2.9,2.1,2.7,3.1,2.3,,,
P1,21/10/00,Sp Lisbon,Porto,0,1,A,0,0,D,2.1,3,2.9,2,2.9,3,2.2,3,3,2.25,2.87,3
P1,22/10/00,Alverca,Aves,5,1,H,4,0,H,1.8,3.2,4,1.65,3.2,3.8,1.7,3.25,4.33,1.65,3.25,4.5
P1,22/10/00,Belenenses,Sp Braga,2,1,H,1,0,H,2.3,3,2.8,2.1,2.9,2.9,2.25,3.1,2.8,2.25,3,2.75
P1,22/10/00,Gil Vicente,Salgueiros,0,2,A,0,1,A,2.5,2.95,2.65,2.3,2.9,2.5,2.6,3.1,2.4,2.45,2.9,2.6
P1,22/10/00,Maritimo,Est Amadora,2,0,H,0,0,D,1.6,3.25,5.1,1.5,3.4,4.7,1.5,3.4,6,1.5,3.4,5.6
P1,22/10/00,Farense,Leiria,1,1,D,0,0,D,1.9,3.1,3.8,1.7,3.1,3.8,1.83,3.2,3.75,1.8,3.1,3.85
P1,22/10/00,Guimaraes,Beira Mar,1,1,D,1,1,D,1.5,3.55,5.3,1.4,3.6,5.5,1.44,3.6,6.5,1.35,3.8,7.5
P1,27/10/00,Sp Braga,Salgueiros,2,0,H,2,0,H,1.85,3.2,3.8,1.8,3,3.5,1.8,3.2,3.75,1.7,3.15,4.3
P1,29/10/00,Aves,Gil Vicente,1,0,H,1,0,H,1.9,2.8,4,1.9,2.9,3.2,1.83,3.2,3.6,1.8,3.2,3.7
P1,29/10/00,Beira Mar,Sp Lisbon,0,1,A,0,0,D,3.9,3.25,1.8,4.7,3.4,1.5,5,3.6,1.53,4.8,3.5,1.55
P1,29/10/00,Belenenses,Pacos Ferreira,0,0,D,0,0,D,2,2.9,3.5,1.65,3.1,4,1.67,3.25,4.5,1.7,3.2,4.2
P1,29/10/00,Est Amadora,Farense,1,2,A,1,1,D,2.35,2.9,2.8,2,2.9,3,2.25,3,2.88,2,3.1,3.2
P1,29/10/00,Benfica,Campomaiorense,2,0,H,0,0,D,1.25,4.5,9,1.25,4.3,8,1.2,5,10,1.2,5,9.5
P1,29/10/00,Leiria,Guimaraes,1,1,D,0,1,A,2.15,3.2,2.8,2.1,2.9,2.9,2,3.1,3.25,1.95,3,3.45
P1,30/10/00,Boavista,Maritimo,3,1,H,1,1,D,1.65,3.2,4.8,1.45,3.5,5,1.44,3.6,6,1.45,3.5,6
P1,30/10/00,Porto,Alverca,6,0,H,3,0,H,1.2,4.5,9.8,1.15,5.5,11,1.17,5.5,11,1.15,6,10
P1,03/11/00,Sp Lisbon,Leiria,4,0,H,3,0,H,1.3,4.3,8,1.2,4.7,9,1.29,4.33,8,1.2,5,9.5
P1,04/11/00,Gil Vicente,Porto,2,2,D,1,1,D,7.1,3.6,1.43,5,3.5,1.45,6.25,3.6,1.44,5.8,3.6,1.45
P1,04/11/00,Farense,Boavista,2,2,D,2,1,H,2.4,2.9,2.8,2.4,2.9,2.4,2.5,3,2.5,2.7,2.85,2.4
P1,05/11/00,Alverca,Beira Mar,0,1,A,0,0,D,1.66,3.3,4.8,1.55,3.3,4.5,1.62,3.4,4.5,1.55,3.4,5
P1,05/11/00,Campomaiorense,Belenenses,0,1,A,0,1,A,2.8,2.95,2.4,2.7,2.9,2.2,2.7,2.9,2.4,2.7,2.85,2.4
P1,05/11/00,Maritimo,Benfica,3,0,H,1,0,H,2.85,3,2.3,2.4,2.9,2.4,2.75,3,2.3,2.65,2.85,2.45
P1,05/11/00,Pacos Ferreira,Sp Braga,4,2,H,3,0,H,2.45,2.9,2.75,2.1,2.9,2.9,2.38,2.9,2.75,2.2,3,2.85
P1,05/11/00,Salgueiros,Aves,2,1,H,1,1,D,1.45,3.6,6.8,1.4,3.6,5.5,1.44,3.5,6.5,1.45,3.6,5.8
P1,06/11/00,Guimaraes,Est Amadora,4,0,H,1,0,H,1.6,3.25,5.1,1.6,3.2,4.2,1.6,3.4,4.6,1.5,3.35,5.8
P1,11/11/00,Belenenses,Maritimo,1,0,H,0,0,D,1.8,3.2,3.9,1.75,3.1,3.6,1.67,3.25,4.5,1.65,3.3,4.4
P1,11/11/00,Est Amadora,Sp Lisbon,1,2,A,0,1,A,5.6,3.5,1.5,5,3.5,1.45,6,3.5,1.48,4.8,3.5,1.55
P1,12/11/00,Beira Mar,Gil Vicente,1,0,H,0,0,D,1.85,3.1,3.8,1.8,3,3.5,1.73,3.25,4.2,1.75,3.2,3.9
P1,12/11/00,Pacos Ferreira,Campomaiorense,0,1,A,0,1,A,1.5,3.5,5.6,1.45,3.5,5,1.44,3.6,6.25,1.45,3.5,6.2
P1,12/11/00,Benfica,Farense,2,1,H,0,0,D,1.35,4,7.6,1.45,3.5,5,1.33,3.75,8,1.25,4.5,8.5
P1,12/11/00,Sp Braga,Aves,2,0,H,1,0,H,1.4,3.8,7.1,1.4,3.6,5.5,1.4,3.6,7,1.35,3.9,7
P1,12/11/00,Leiria,Alverca,2,0,H,1,0,H,1.8,3.15,3.9,1.75,3.1,3.6,1.8,3.2,3.75,1.75,3.15,4
P1,13/11/00,Porto,Salgueiros,5,1,H,2,0,H,1.3,4.4,8,1.2,4.7,9,1.25,4.75,8.5,1.25,4.5,8.5
P1,14/11/00,Boavista,Guimaraes,4,1,H,3,0,H,1.45,3.55,6.3,1.4,3.6,5.5,1.48,3.5,6,1.45,3.5,6.2
P1,17/11/00,Farense,Belenenses,3,1,H,2,0,H,2.35,3.2,2.55,2.2,2.9,2.7,2.3,3,2.7,2.35,3,2.65
P1,18/11/00,Guimaraes,Benfica,0,4,A,0,1,A,2.6,3.4,2.2,2.4,2.9,2.4,2.63,3,2.4,2.7,2.85,2.4
P1,19/11/00,Alverca,Est Amadora,3,1,H,2,1,H,1.75,3.25,4.1,1.6,3.2,4.2,1.65,3.4,4.33,1.6,3.5,4.4
P1,19/11/00,Aves,Porto,0,1,A,0,0,D,5.8,3.4,1.5,5,3.5,1.45,5,3.5,1.53,4.5,3.65,1.55
P1,19/11/00,Campomaiorense,Sp Braga,1,1,D,1,0,H,2.7,3.4,2.2,2.7,2.9,2.2,2.9,3,2.2,3,3,2.1
P1,19/11/00,Gil Vicente,Leiria,2,0,H,0,0,D,2.4,3.2,2.5,2.2,2.9,2.7,2.4,3,2.6,2.45,2.85,2.65
P1,19/11/00,Maritimo,Pacos Ferreira,1,1,D,1,0,H,1.7,3.4,4.1,1.65,3.1,4,1.67,3.2,4.5,1.65,3.2,4.5
P1,19/11/00,Salgueiros,Beira Mar,0,1,A,0,0,D,1.45,3.6,6,1.45,3.5,5,1.44,3.5,6.25,1.45,3.5,6
P1,19/11/00,Sp Lisbon,Boavista,0,0,D,0,0,D,1.55,3.4,5.2,1.45,3.5,5,1.57,3.3,5,1.61,3.25,5
P1,01/12/00,Belenenses,Guimaraes,1,0,H,1,0,H,1.65,3.4,4.5,1.6,3.2,4.2,1.62,3.25,4.75,1.65,3.1,4.8
P1,02/12/00,Beira Mar,Aves,1,0,H,1,0,H,1.8,3.2,4,1.7,3.1,3.8,1.62,3.4,4.5,1.6,3.4,4.6
P1,02/12/00,Sp Braga,Porto,2,1,H,2,0,H,3.2,3,2.1,2.9,2.9,2.1,2.9,3,2.2,3.25,2.9,2.1
P1,03/12/00,Boavista,Alverca,5,1,H,4,0,H,1.3,4.4,8,1.3,4,7,1.3,4.33,7.5,1.3,4.1,8
P1,03/12/00,Campomaiorense,Maritimo,2,2,D,1,0,H,2.35,3,2.75,2.3,2.9,2.5,2.2,3,2.9,2.15,2.9,3.05
P1,03/12/00,Est Amadora,Gil Vicente,2,1,H,1,0,H,2.05,2.8,3.6,1.9,2.9,3.2,2,3.1,3.2,1.9,3.15,3.4
P1,03/12/00,Pacos Ferreira,Farense,1,1,D,0,0,D,1.95,3,3.65,1.8,3,3.5,1.83,3.1,3.75,1.8,3.2,3.7
P1,03/12/00,Benfica,Sp Lisbon,3,0,H,1,0,H,2.35,3,2.8,2.4,2.9,2.4,2.25,3,2.88,2.25,2.87,3
P1,03/12/00,Leiria,Salgueiros,2,1,H,1,1,D,2.1,2.75,3.6,2.2,2.9,2.7,1.95,3.1,3.3,1.95,3.1,3.3
P1,08/12/00,Gil Vicente,Boavista,0,2,A,0,1,A,3.8,3.15,1.85,3.2,2.9,1.9,4,3.1,1.8,4.2,2.9,1.8
P1,09/12/00,Sp Lisbon,Belenenses,2,1,H,0,0,D,1.47,3.55,6.3,1.5,3.4,4.7,1.44,3.6,6,1.45,3.55,6
P1,09/12/00,Guimaraes,Pacos Ferreira,0,1,A,0,0,D,2,3.1,3.45,1.65,3.2,3.8,2,3.2,3.1,2.05,3,3.15
P1,10/12/00,Alverca,Benfica,2,1,H,1,1,D,3.8,3.2,1.85,3.6,3.2,1.7,3.75,3.2,1.8,3.6,3,1.9
P1,10/12/00,Aves,Leiria,1,1,D,0,0,D,2.1,2.95,3.25,2,2.9,3,2.1,3,3.1,2.15,3,2.95
P1,10/12/00,Maritimo,Sp Braga,2,0,H,2,0,H,2.2,3.1,2.9,2.2,2.9,2.7,2.2,3.1,2.8,2.1,3,3.05
P1,10/12/00,Salgueiros,Est Amadora,1,0,H,0,0,D,1.4,4,6.7,1.4,3.6,5.5,1.36,3.8,7,1.45,3.7,5.5
P1,10/12/00,Farense,Campomaiorense,1,3,A,1,2,A,1.65,3.35,4.4,1.65,3.1,4,1.67,3.25,4.5,1.65,3.25,4.5
P1,11/12/00,Porto,Beira Mar,2,0,H,2,0,H,1.2,5,10,1.15,5.5,11,1.17,5,11,1.2,5,9.5
P1,15/12/00,Campomaiorense,Guimaraes,0,1,A,0,1,A,2.1,2.8,3.4,2.1,2.8,3,2.1,3,3.2,2.1,3.15,2.9
P1,16/12/00,Belenenses,Alverca,1,0,H,0,0,D,1.5,3.4,6,1.4,3.6,5.5,1.53,3.4,5.5,1.55,3.3,5.2
P1,16/12/00,Leiria,Porto,3,1,H,2,0,H,4.2,3.3,1.7,4.5,3.3,1.55,4.33,3.2,1.73,3.9,3.2,1.75
P1,17/12/00,Boavista,Salgueiros,5,0,H,2,0,H,1.5,3.2,6,1.4,3.6,5.5,1.44,3.75,6,1.45,3.5,6
P1,17/12/00,Est Amadora,Aves,0,0,D,0,0,D,1.9,3.1,3.6,1.85,2.9,3.4,1.8,3.1,4,1.75,3.15,4
P1,17/12/00,Maritimo,Farense,1,1,D,1,0,H,1.75,3.2,4,1.6,3.2,4.2,1.67,3.25,4.5,1.6,3.3,4.5
P1,17/12/00,Pacos Ferreira,Sp Lisbon,0,0,D,0,0,D,3.4,2.8,2.1,3.6,3.1,1.75,3.2,3.2,2,3.5,3.2,1.9
P1,17/12/00,Benfica,Gil Vicente,0,0,D,0,0,D,1.15,5.8,12,1.15,5.5,11,1.17,5.75,10,1.15,6,10
P1,17/12/00,Sp Braga,Beira Mar,3,3,D,2,0,H,1.5,3.4,6,1.45,3.5,5,1.5,3.4,6,1.4,3.75,6.3
P1,06/01/01,Alverca,Pacos Ferreira,2,0,H,0,0,D,2.25,3,2.85,2.2,2.9,2.7,2.2,3,2.9,2.15,3,2.95
P1,06/01/01,Porto,Est Amadora,2,1,H,0,1,A,1.1,5.5,15,1.1,7,14,1.13,5.5,15,1.12,6,13
P1,06/01/01,Sp Lisbon,Campomaiorense,2,1,H,2,0,H,1.2,4.8,11,1.2,4.7,9,1.2,5,10,1.15,6,10
P1,07/01/01,Aves,Boavista,1,2,A,1,1,D,4,3,1.85,3.5,3,1.8,4,3.2,1.75,4,3,1.8
P1,07/01/01,Beira Mar,Leiria,3,1,H,2,0,H,2.15,2.9,3,2,2.9,3,2.1,3,3.1,1.95,3.1,3.3
P1,07/01/01,Gil Vicente,Belenenses,2,1,H,1,1,D,2.85,3,2.25,2.9,2.9,2.1,3.3,3,2,2.9,3,2.2
P1,07/01/01,Salgueiros,Benfica,1,2,A,0,0,D,2.3,3.1,2.6,2.35,3,2.35,2.5,3,2.5,2.6,2.9,2.45
P1,07/01/01,Sp Braga,Farense,3,0,H,1,0,H,1.6,3.3,4.7,1.6,3.2,4.2,1.53,3.4,5.25,1.55,3.4,5
P1,08/01/01,Guimaraes,Maritimo,1,1,D,1,1,D,1.95,2.9,3.5,1.9,2.9,3.2,2,3,3.3,2,2.9,3.4
P1,11/01/01,Belenenses,Salgueiros,2,0,H,0,0,D,1.6,3.3,4.5,1.6,3.2,4.2,1.62,3.3,4.75,1.7,3.3,4
P1,12/01/01,Maritimo,Sp Lisbon,0,2,A,0,0,D,2.8,3,2.2,3.6,3.1,1.75,2.88,3.1,2.15,2.75,3.2,2.25
P1,13/01/01,Boavista,Porto,1,0,H,1,0,H,2.45,2.9,2.55,2.4,2.9,2.4,2.4,2.88,2.7,2.5,2.9,2.62
P1,13/01/01,Campomaiorense,Alverca,0,4,A,0,2,A,2.1,2.8,3.25,2,2.9,3,2.1,3.1,3,2.1,3.1,2.95
P1,13/01/01,Est Amadora,Beira Mar,1,1,D,1,1,D,2.3,2.9,2.7,2.3,2.9,2.5,2.4,3,2.6,2.35,3,2.65
P1,13/01/01,Pacos Ferreira,Gil Vicente,2,0,H,1,0,H,1.45,3.5,5.9,1.5,3.4,4.7,1.44,3.5,6.5,1.6,3.4,4.5
P1,13/01/01,Benfica,Aves,5,1,H,3,0,H,1.17,5.3,11,1.25,4.3,8,1.2,5,9.5,1.15,6,10
P1,13/01/01,Farense,Guimaraes,1,1,D,0,0,D,1.9,3,3.5,1.9,2.9,3.2,1.85,3.2,3.5,1.95,3.15,3.25
P1,13/01/01,Leiria,Sp Braga,0,0,D,0,0,D,2.25,2.9,2.8,2,2.9,3,2.3,3,2.7,2.15,3.1,2.85
P1,19/01/01,Est Amadora,Leiria,1,2,A,0,1,A,2.35,2.85,2.8,2.3,2.8,2.6,2.3,3,2.75,2.25,3,2.75
P1,20/01/01,Boavista,Beira Mar,1,0,H,0,0,D,1.28,4.4,8.2,1.2,4.7,9,1.22,5,8.5,1.25,4.5,8
P1,20/01/01,Guimaraes,Sp Braga,0,0,D,0,0,D,2.3,3,2.7,2.2,2.8,2.8,2.4,3,2.63,2.3,3,2.65
P1,21/01/01,Belenenses,Aves,5,0,H,4,0,H,1.37,3.9,6.8,1.35,3.8,6.2,1.33,4,7.5,1.35,3.75,7.5
P1,21/01/01,Campomaiorense,Gil Vicente,1,0,H,1,0,H,1.82,2.9,4.25,2.1,2.9,2.9,1.91,3,3.6,1.85,3.1,3.6
P1,21/01/01,Pacos Ferreira,Salgueiros,1,1,D,1,1,D,1.9,3.15,3.45,1.65,3.1,4,1.75,3.2,4,1.75,3.25,3.8
P1,21/01/01,Benfica,Porto,2,1,H,1,1,D,2.36,3.05,2.65,2.1,2.9,2.9,2.3,3.1,2.7,2.3,3.2,2.65
P1,21/01/01,Farense,Sp Lisbon,2,1,H,1,0,H,4.4,3.4,1.6,3.9,3.2,1.65,4,3.1,1.8,4.33,3.2,1.72
P1,22/01/01,Maritimo,Alverca,2,1,H,1,0,H,1.7,3.1,4.5,1.55,3.3,4.5,1.62,3.3,4.6,1.6,3.3,4.6
P1,26/01/01,Sp Braga,Est Amadora,1,1,D,1,1,D,1.27,4.1,8.5,1.25,4.3,8,1.29,4.33,8,1.25,4.5,8.5
P1,27/01/01,Porto,Belenenses,0,0,D,0,0,D,1.3,4.2,7.75,1.3,4,7,1.36,4,7,,,
P1,27/01/01,Sp Lisbon,Guimaraes,3,1,H,1,0,H,1.3,4.2,8,1.25,4.3,8,1.3,4.33,7.5,1.3,4.35,7
P1,28/01/01,Alverca,Farense,0,1,A,0,1,A,1.85,3.1,3.8,1.8,2.9,3.6,1.91,3.1,3.5,1.9,3.1,3.4
P1,28/01/01,Aves,Pacos Ferreira,1,1,D,0,0,D,2.7,3,2.4,2.7,2.9,2.2,2.75,3,2.3,2.6,3,2.35
P1,28/01/01,Beira Mar,Benfica,1,3,A,0,1,A,3.3,2.9,2.1,3.2,2.9,1.9,3.5,3.1,1.91,3.25,3,2
P1,28/01/01,Gil Vicente,Maritimo,2,0,H,1,0,H,2.6,3,2.4,2.3,2.9,2.5,2.38,3,2.63,2.3,3,2.65
P1,28/01/01,Salgueiros,Campomaiorense,0,0,D,0,0,D,1.6,3.4,4.8,1.55,3.3,4.5,1.6,3.25,5,1.55,3.4,5
P1,28/01/01,Leiria,Boavista,0,0,D,0,0,D,3.2,2.8,2.15,2.9,2.9,2.1,3.25,3.1,2,3.4,2.9,2
P1,02/02/01,Boavista,Est Amadora,1,0,H,1,0,H,1.15,5.7,11.3,1.15,5.5,11,1.17,5,13,1.15,5.5,11
P1,03/02/01,Guimaraes,Alverca,2,2,D,0,0,D,1.87,3,3.7,1.75,3.1,3.6,1.83,3.1,3.75,1.8,3.1,3.75
P1,04/02/01,Belenenses,Beira Mar,0,1,A,0,0,D,1.45,3.6,6,1.4,3.6,5.5,1.4,3.6,7,1.5,3.5,5.25
P1,04/02/01,Campomaiorense,Aves,0,0,D,0,0,D,1.7,3.1,4.4,1.7,3.1,3.8,1.7,3.25,4.2,1.7,3.25,4
P1,04/02/01,Maritimo,Salgueiros,0,1,A,0,0,D,1.7,3.2,4.3,1.7,3.1,3.8,1.67,3.25,4.33,1.7,3.25,4
P1,04/02/01,Benfica,Leiria,3,2,H,2,1,H,1.25,4.5,8.5,1.25,4.3,8,1.25,4.5,9,1.25,4.5,8
P1,04/02/01,Farense,Gil Vicente,1,1,D,1,0,H,1.5,3.4,5.9,1.55,3.3,4.5,1.5,3.5,5.5,1.5,3.6,5
