Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,BSH,BSD,BSA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA
E2,08/08/09,Southend,Huddersfield,2,2,D,1,0,H,S Cook,8,11,4,5,14,23,3,3,1,2,0,1,2.4,3.3,2.9,2.25,3.2,2.85,2.3,3.25,2.75,2.3,3.1,2.6,2.5,3.4,2.7,2.3,3.25,2.75,2.38,3.1,2.62,2.25,3.25,2.88,2.38,3.25,2.7,2.4,3.25,2.75,30,2.65,2.4,3.4,3.24,2.9,2.72,24,2.12,1.99,1.81,1.76,17,0,1.92,1.79,2.05,1.99
E2,08/08/09,Yeovil,Tranmere,2,0,H,1,0,H,A Hall,9,5,6,0,8,9,5,7,0,2,0,0,2.5,3.25,2.8,2.5,3.2,2.5,2.5,3.2,2.6,2.45,3.1,2.45,2.5,3.4,2.7,2.38,3.2,2.7,2.4,3.1,2.6,2.5,3.2,2.6,2.4,3.25,2.62,2.5,3.2,2.62,30,2.7,2.49,3.4,3.21,2.86,2.63,24,2.2,2.06,1.75,1.68,16,0,1.91,1.83,2.02,1.94
E2,15/08/09,Brentford,Brighton,0,0,D,0,0,D,T Kettle,9,8,5,3,7,15,5,5,0,1,0,0,2.25,3.25,3.25,2.1,3.2,3.1,2.2,3.2,3,2,3.2,3.1,2.2,3.2,2.8,2.1,3.3,3.1,2.1,3.2,3,2.2,3.2,3,2.1,3.25,3.1,2.2,3.3,3,28,2.25,2.15,3.41,3.26,3.72,3.15,24,2.11,1.98,1.85,1.77,16,0,1.6,1.55,2.45,2.29
E2,15/08/09,Colchester,Yeovil,2,1,H,2,0,H,R Booth,9,5,6,3,10,8,2,0,2,1,0,0,1.73,3.5,5,1.75,3.35,4.15,1.73,3.4,4.33,1.75,3.2,4,1.67,3.4,4.33,1.7,3.5,4.33,1.62,3.4,4.8,1.73,3.4,4.33,1.7,3.4,4.33,1.7,3.5,4.75,30,1.8,1.73,3.75,3.43,5.19,4.47,26,1.98,1.9,1.94,1.83,16,0,1.3,1.27,3.5,3.39
E2,15/08/09,Exeter,Norwich,1,1,D,0,0,D,T Bates,6,5,3,3,8,13,1,10,1,1,0,0,2.7,3.25,2.6,2.5,3.2,2.5,2.55,3.25,2.5,2.45,3.1,2.45,2.6,3.2,2.38,2.6,3.3,2.4,2.4,3.1,2.6,2.6,3.2,2.5,2.5,3.25,2.5,2.62,3.25,2.5,29,2.86,2.61,3.41,3.24,2.6,2.5,25,2.02,1.93,1.93,1.81,16,0,2.06,1.93,1.93,1.84
E2,15/08/09,Hartlepool,Charlton,0,2,A,0,2,A,C Boyeson,12,11,7,7,11,12,4,4,2,2,0,0,2.9,3.3,2.4,2.9,3.2,2.2,2.75,3.2,2.35,2.5,3.1,2.4,2.6,3.2,2.38,2.65,3.25,2.38,2.75,3.2,2.25,2.75,3.2,2.38,2.8,3.25,2.25,2.8,3.25,2.38,28,3.14,2.82,3.4,3.25,2.5,2.34,24,2.12,1.97,1.85,1.77,15,0,2.12,2.01,1.78,1.71
E2,15/08/09,Huddersfield,Southampton,3,1,H,0,0,D,A Haines,10,4,6,2,10,11,11,4,0,3,0,0,2.2,3.3,3.25,2.05,3.25,3.15,2.1,3.25,3.2,2.1,3.1,3,2,3.2,3.2,2,3.4,3.25,1.95,3.2,3.4,2,3.25,3.4,2.1,3.25,3,2,3.3,3.5,29,2.25,2.09,3.41,3.27,3.63,3.27,25,2,1.92,1.94,1.82,16,0,1.62,1.52,2.5,2.36
E2,15/08/09,Leyton Orient,Oldham,1,2,A,1,1,D,G Scott,7,5,5,3,15,16,4,6,3,5,0,0,2.38,3.25,3,2.15,3.25,2.95,2.25,3.2,2.9,2.2,3.1,2.8,2.2,3.2,2.8,2.25,3.3,2.8,2.1,3.2,3,2.2,3.2,3,2.3,3.25,2.7,2.1,3.25,3.3,30,2.25,2.2,3.56,3.26,3.31,3.02,26,2.09,1.96,1.85,1.78,16,0,1.67,1.61,2.28,2.16
E2,15/08/09,Millwall,Carlisle,0,0,D,0,0,D,D Deadman,13,5,4,2,11,14,4,4,1,2,0,0,1.67,3.6,5.5,1.6,3.5,5,1.65,3.5,4.75,1.65,3.3,4.4,1.62,3.3,5,1.67,3.5,4.6,1.67,3.4,4.33,1.67,3.25,5,1.6,3.4,5,1.73,3.5,4.5,30,1.73,1.66,3.85,3.5,6,4.95,26,1.99,1.87,1.97,1.85,16,0,1.29,1.24,4,3.64
E2,15/08/09,Stockport,Bristol Rvs,0,2,A,0,2,A,D Webb,9,12,2,6,6,6,3,11,1,1,0,0,2.6,3.2,2.75,2.5,3.2,2.5,2.4,3.2,2.7,2.4,3.1,2.5,2.38,3.3,2.5,2.38,3.3,2.62,2.5,3.1,2.5,2.5,3.2,2.6,2.4,3.25,2.6,2.4,3.25,2.75,30,2.71,2.48,3.3,3.22,2.81,2.64,26,2.12,1.97,1.82,1.76,16,0,1.93,1.85,2,1.92
E2,15/08/09,Swindon,Milton Keynes Dons,0,0,D,0,0,D,G Ward,5,7,3,3,10,12,5,9,1,3,0,0,2.8,3.25,2.5,2.85,3.3,2.2,2.7,3.2,2.4,,,,2.5,3.3,2.38,2.6,3.3,2.4,2.62,3.2,2.3,2.6,3.2,2.5,2.62,3.25,2.38,2.75,3.25,2.4,30,2.9,2.7,3.48,3.25,2.62,2.41,26,1.94,1.84,1.98,1.88,16,0,2.08,1.96,1.91,1.77
E2,15/08/09,Tranmere,Gillingham,4,2,H,1,1,D,C Pawson,9,8,6,4,9,7,1,5,0,1,0,0,2.3,3.25,3.1,2.25,3.2,2.8,2.25,3.25,2.85,2.3,3.1,2.6,2.1,3.3,2.88,2.3,3.3,2.75,2.05,3.2,3.1,2.2,3.2,3,2.3,3.25,2.7,2.2,3.3,3,29,2.46,2.28,3.4,3.26,3.1,2.9,25,2.14,1.99,1.83,1.76,16,0,1.7,1.66,2.3,2.1
E2,15/08/09,Walsall,Southend,2,2,D,1,0,H,J Moss,4,9,3,5,10,7,2,2,1,0,1,0,2.38,3.25,3,2.2,3.2,2.9,2.3,3.25,2.8,2.3,3.1,2.6,2.2,3.25,2.75,2.3,3.4,2.7,2.25,3.2,2.75,2.38,3.2,2.75,2.3,3.25,2.7,2.25,3.25,3,30,2.45,2.3,3.4,3.25,3.12,2.87,26,2.05,1.93,1.87,1.79,16,0,1.73,1.67,2.12,2.07
E2,15/08/09,Wycombe,Leeds,0,1,A,0,0,D,S Attwell,6,16,2,5,12,9,2,7,0,2,0,0,3.8,3.5,1.91,3.4,3.3,1.95,3.4,3.3,2,3.1,3.2,2,3.4,3.25,1.91,3.25,3.4,2,3.2,3.2,2,3.4,3.25,2,3.5,3.25,1.9,3.5,3.3,2,29,3.84,3.51,3.6,3.32,2.05,1.98,25,2.06,1.93,1.86,1.81,16,0,2.63,2.55,1.5,1.45
E2,18/08/09,Brentford,Norwich,2,1,H,0,0,D,G Scott,16,12,6,7,11,12,4,7,0,2,0,0,2.38,3.4,2.88,2.4,3.2,2.6,2.4,3.2,2.7,2.4,3.1,2.5,2.4,3.3,2.88,2.3,3.3,2.75,2.5,3.3,2.75,2.38,3.2,2.75,2.3,3.25,2.75,2.25,3.4,3,29,2.5,2.38,3.46,3.28,3.12,2.79,25,2.1,2,1.85,1.76,19,0,1.75,1.71,2.19,2.02
E2,18/08/09,Colchester,Gillingham,2,1,H,1,1,D,G Hegley,14,6,8,2,11,8,6,4,0,0,0,0,1.83,3.6,4.33,1.8,3.35,3.9,1.8,3.4,4,1.8,3.2,3.7,1.8,3.5,4.5,1.83,3.4,3.8,1.83,3.6,4.2,1.83,3.25,4,1.75,3.3,4.33,1.91,3.4,4,29,1.96,1.85,3.67,3.39,4.33,4,25,1.9,1.84,2.04,1.91,19,0,1.41,1.36,3,2.87
E2,18/08/09,Exeter,Yeovil,1,1,D,1,0,H,C Sarginson,6,3,3,2,7,7,4,6,0,1,0,0,2.1,3.4,3.5,2.1,3.2,3.1,2.05,3.3,3.2,2.1,3.1,3,2.1,3.4,3.4,2.1,3.3,3.1,2.15,3.3,3.4,2.2,3.2,3,2,3.3,3.25,2.1,3.3,3.4,29,2.2,2.1,3.56,3.29,3.7,3.27,25,2.15,2.01,1.83,1.75,19,0,1.57,1.53,2.5,2.3
E2,18/08/09,Hartlepool,Bristol Rvs,1,2,A,1,2,A,K Evans,12,11,6,7,9,10,8,6,3,1,0,0,2.3,3.4,3,2.25,3.2,2.85,2.3,3.25,2.75,2.3,3.1,2.6,2.38,3.4,2.88,2.38,3.3,2.65,2.5,3.3,2.8,2.25,3.25,2.88,2.3,3.25,2.62,2.3,3.3,3,30,2.5,2.36,3.42,3.27,3.08,2.83,26,2.06,1.95,1.89,1.81,19,0,1.75,1.69,2.14,2.04
E2,18/08/09,Huddersfield,Brighton,7,1,H,3,1,H,N Swarbrick,15,8,8,4,8,16,8,5,1,2,0,1,1.73,3.6,5,1.75,3.4,4.1,1.75,3.4,4.25,1.8,3.2,3.7,1.8,3.5,4.5,1.67,3.5,4.6,1.83,3.4,4.5,1.73,3.4,4.33,1.7,3.3,4.5,1.67,3.5,5.5,30,1.85,1.77,3.64,3.41,5.5,4.48,26,2.04,1.94,1.92,1.82,19,0,1.36,1.3,3.5,3.17
E2,18/08/09,Leyton Orient,Charlton,1,2,A,1,0,H,P Crossley,9,15,6,9,10,20,3,3,2,3,0,0,2.9,3.3,2.4,2.75,3.2,2.3,2.75,3.25,2.3,2.6,3.1,2.3,2.88,3.4,2.38,2.75,3.4,2.25,2.9,3.3,2.4,2.75,3.2,2.38,2.75,3.25,2.3,2.88,3.3,2.38,29,3.19,2.86,3.48,3.28,2.42,2.33,25,2.04,1.94,1.88,1.81,19,0,2.26,2.04,1.73,1.69
E2,18/08/09,Millwall,Oldham,2,0,H,1,0,H,A D'Urso,8,9,4,3,20,15,2,8,4,3,0,0,1.91,3.5,4,1.8,3.35,3.9,1.8,3.4,4,1.85,3.2,3.5,1.83,3.5,4.33,1.83,3.4,3.8,1.83,3.4,4.33,1.73,3.4,4.33,1.8,3.3,4,1.91,3.4,4,30,1.96,1.86,3.66,3.38,4.42,4,26,2.11,1.98,1.85,1.78,19,0,1.38,1.35,3,2.9
E2,18/08/09,Stockport,Carlisle,1,2,A,1,1,D,A Hall,11,19,6,6,8,14,12,2,2,2,0,0,2.4,3.3,2.88,2.3,3.2,2.75,2.4,3.2,2.7,2.3,3.1,2.6,2.38,3.4,2.88,2.4,3.3,2.65,2.4,3.3,2.9,2.38,3.2,2.75,2.38,3.25,2.62,2.5,3.25,2.75,30,2.56,2.4,3.4,3.26,3.06,2.79,26,2.15,2.04,1.8,1.74,19,0,1.78,1.72,2.1,2
E2,18/08/09,Swindon,Southampton,1,0,H,1,0,H,S Cook,13,8,9,5,11,8,11,6,1,3,0,0,2.88,3.2,2.5,2.6,3.2,2.4,2.55,3.2,2.5,2.45,3.1,2.45,2.75,3.3,2.5,2.5,3.3,2.5,2.62,3.3,2.62,2.6,3.2,2.5,2.6,3.25,2.4,2.62,3.25,2.62,29,2.93,2.65,3.42,3.24,2.63,2.51,25,2.09,1.97,1.85,1.78,19,0,2.08,1.95,1.87,1.82
E2,18/08/09,Tranmere,Milton Keynes Dons,0,1,A,0,0,D,J Moss,15,17,7,7,9,15,7,3,1,4,0,0,2.6,3.3,2.7,2.4,3.2,2.6,2.4,3.2,2.7,2.4,3.1,2.5,2.5,3.4,2.7,2.38,3.3,2.65,2.62,3.3,2.62,2.38,3.2,2.75,2.4,3.25,2.6,2.38,3.3,2.88,29,2.67,2.47,3.4,3.25,2.88,2.7,25,2.1,1.97,1.85,1.78,18,0,1.88,1.8,2.08,1.96
E2,18/08/09,Walsall,Leeds,1,2,A,0,0,D,A Taylor,1,19,0,9,10,5,5,5,0,1,0,0,4,3.5,1.91,3.6,3.3,1.9,3.5,3.4,1.9,3.4,3.2,1.9,4,3.4,1.91,3.4,3.4,1.95,4,3.4,1.91,3.75,3.25,1.91,3.6,3.25,1.9,3.75,3.4,1.95,30,4.17,3.74,3.65,3.35,2.01,1.94,26,2.07,1.94,1.89,1.81,19,0,3,2.68,1.46,1.4
E2,18/08/09,Wycombe,Southend,1,1,D,1,1,D,J Linington,7,12,5,4,14,7,5,8,0,1,0,0,2.5,3.3,2.75,2.4,3.2,2.6,2.4,3.2,2.7,2.4,3.1,2.5,2.5,3.3,2.75,2.5,3.3,2.5,2.62,3.2,2.7,2.5,3.2,2.6,2.5,3.25,2.5,2.5,3.25,2.75,29,2.62,2.45,3.42,3.24,3.02,2.72,25,2.14,2.03,1.82,1.74,19,0,1.85,1.77,2.17,2.01
E2,21/08/09,Southend,Millwall,0,0,D,0,0,D,D Whitestone,10,8,4,3,12,19,8,5,3,5,0,0,2.5,3.3,2.8,2.4,3.2,2.6,2.4,3.2,2.7,2.3,3.1,2.6,2.4,3.3,2.88,2.38,3.3,2.65,2.5,3.3,2.75,2.25,3.25,2.88,2.4,3.25,2.6,2.38,3.25,2.8,33,2.59,2.42,3.46,3.25,2.93,2.75,25,2.25,2.1,1.76,1.67,17,0,1.84,1.76,2.1,2.01
E2,22/08/09,Brighton,Stockport,2,4,A,1,1,D,S Cook,13,5,6,4,12,15,7,5,2,2,2,1,1.8,3.5,4.5,1.6,3.6,4.75,1.7,3.4,4.5,1.75,3.2,4,1.73,3.5,5,1.67,3.5,4.6,1.67,3.4,4.33,1.67,3.25,5,1.7,3.4,4.5,1.73,3.5,4.5,31,1.84,1.71,3.65,3.46,5,4.66,23,2.05,1.94,1.87,1.8,16,0,1.32,1.27,3.75,3.4
E2,22/08/09,Bristol Rvs,Huddersfield,1,0,H,0,0,D,K Hill,7,5,5,2,9,14,6,4,2,1,0,0,2.8,3.25,2.5,2.5,3.2,2.5,2.6,3.25,2.45,2.5,3.1,2.4,2.75,3.3,2.5,2.55,3.3,2.45,2.62,3.1,2.38,2.6,3.2,2.5,2.5,3.25,2.5,2.75,3.3,2.38,32,3.05,2.67,3.44,3.25,2.62,2.46,24,1.96,1.87,2.02,1.88,16,0,2.2,1.97,1.82,1.78
E2,22/08/09,Carlisle,Exeter,0,1,A,0,0,D,M Oliver,15,3,6,1,9,8,15,3,2,1,0,0,2.1,3.4,3.5,2,3.2,3.35,2,3.25,3.4,1.9,3.2,3.4,2,3.4,3.75,2,3.25,3.4,2.1,3.2,3,2.1,3.2,3.2,2,3.25,3.4,2,3.25,3.6,31,2.15,2.03,3.44,3.28,3.75,3.41,23,2.11,1.98,1.85,1.76,15,0,1.57,1.47,2.75,2.47
E2,22/08/09,Charlton,Walsall,2,0,H,1,0,H,S Hooper,17,9,11,4,4,17,8,5,1,0,0,0,1.62,3.75,5.5,1.55,3.65,5.15,1.57,3.5,5.5,1.6,3.4,4.6,1.53,3.75,7,1.55,3.6,5.5,1.57,3.5,5,1.62,3.4,5.5,1.57,3.5,5.5,1.62,3.5,5.5,31,1.66,1.59,4.05,3.58,6,5.56,23,1.92,1.84,2.01,1.9,16,0,1.22,1.18,4.5,4.19
E2,22/08/09,Gillingham,Hartlepool,0,1,A,0,0,D,D McDermid,8,8,3,5,10,12,6,7,2,2,0,0,1.91,3.4,4,1.9,3.3,3.55,1.91,3.3,3.6,1.9,3.2,3.4,1.83,3.5,4.33,1.83,3.3,3.9,1.83,3.3,3.6,1.91,3.25,3.75,1.85,3.25,4,2,3.4,3.4,31,2.05,1.92,3.51,3.32,4,3.72,23,2.07,1.96,1.86,1.78,16,0,1.46,1.38,3,2.76
E2,22/08/09,Leeds,Tranmere,3,0,H,2,0,H,E Ilderton,26,8,15,5,6,10,7,4,1,2,0,0,1.5,3.8,7.5,1.55,3.65,5.25,1.5,3.75,6,1.5,3.7,5,1.44,4,8,1.45,3.75,7,1.44,3.6,6.5,1.5,3.6,6.5,1.44,3.75,7,1.5,3.75,6.5,32,1.53,1.48,4.22,3.75,7.78,6.85,24,2.05,1.95,1.92,1.8,16,0,1.17,1.13,6,5.19
E2,22/08/09,Milton Keynes Dons,Colchester,2,1,H,1,0,H,K Stroud,9,10,4,5,14,13,5,8,5,0,0,0,2.1,3.4,3.4,2.1,3.2,3.1,2.05,3.2,3.3,1.9,3.2,3.4,2,3.5,3.6,2,3.25,3.4,1.95,3.25,3.3,2.1,3.2,3.2,2,3.25,3.4,2,3.3,3.5,32,2.14,2.07,3.58,3.29,3.75,3.34,24,2.06,1.95,1.87,1.79,16,0,1.57,1.49,2.59,2.4
E2,22/08/09,Norwich,Wycombe,5,2,H,3,1,H,J Moss,15,9,11,7,5,9,5,8,0,1,0,0,1.73,3.5,5,1.65,3.5,4.5,1.65,3.6,4.5,1.65,3.3,4.4,1.7,3.6,5,1.62,3.5,5,1.62,3.5,4.5,1.67,3.25,5,1.7,3.5,4.33,1.67,3.5,5,31,1.76,1.68,3.8,3.49,5.07,4.79,23,2.08,1.96,1.86,1.78,16,0,1.28,1.25,3.8,3.53
E2,22/08/09,Oldham,Swindon,2,2,D,1,0,H,M Haywood,8,10,2,5,6,7,3,6,1,0,0,0,2,3.4,3.75,1.85,3.25,3.75,1.95,3.3,3.5,2,3.1,3.2,2,3.4,3.75,1.9,3.3,3.7,1.91,3.25,3.4,1.91,3.25,3.75,2,3.25,3.4,1.91,3.3,3.8,32,2.11,1.96,3.49,3.32,4,3.61,24,2.14,1.99,1.85,1.76,16,0,1.49,1.44,2.9,2.58
E2,22/08/09,Southampton,Brentford,1,1,D,0,0,D,D Phillips,16,13,8,5,13,9,8,2,2,2,0,0,2,3.4,3.75,1.85,3.3,3.75,1.91,3.3,3.6,1.8,3.2,3.7,2,3.4,3.75,1.9,3.3,3.7,1.95,3.25,3.3,2,3.25,3.4,1.9,3.3,3.75,2.1,3.3,3.25,31,2.13,1.98,3.44,3.3,3.75,3.53,23,2.12,1.98,1.83,1.76,16,0,1.46,1.42,2.88,2.6
E2,22/08/09,Yeovil,Leyton Orient,3,3,D,2,2,D,S Bratt,5,5,3,4,10,8,7,5,1,2,0,0,2.38,3.3,2.9,2.2,3.2,2.9,2.3,3.25,2.8,2.2,3.1,2.8,2.38,3.4,2.88,2.38,3.25,2.7,2.38,3.1,2.62,2.25,3.25,2.88,2.3,3.2,2.8,2.25,3.2,3,32,2.52,2.33,3.35,3.23,3.12,2.87,24,2.29,2.08,1.74,1.68,16,0,1.75,1.67,2.24,2.06
E2,28/08/09,Millwall,Brighton,1,1,D,1,0,H,A Penn,3,10,3,3,9,12,4,8,1,3,0,0,1.8,3.5,4.5,1.8,3.3,4,1.7,3.5,4.5,1.6,3.4,4.6,1.73,3.2,4.33,1.7,3.3,4.8,1.75,3.5,4.8,1.73,3.4,4.33,1.7,3.4,4.5,1.67,3.5,5,31,1.83,1.73,3.81,3.49,5.04,4.57,25,2.08,1.97,1.92,1.79,18,0,1.29,1.26,3.7,3.43
E2,29/08/09,Brentford,Oldham,1,1,D,1,0,H,G Hegley,18,7,7,2,13,15,11,4,0,0,0,0,2,3.4,3.75,1.9,3.3,3.55,2,3.2,3.5,2,3.2,3.1,1.91,3.25,3.4,1.91,3.4,3.5,1.83,3.2,3.75,1.91,3.25,3.75,1.9,3.3,3.75,2,3.3,3.5,31,2.11,1.98,3.51,3.3,3.75,3.53,24,2.05,1.94,1.88,1.8,17,0,1.49,1.43,2.75,2.59
E2,29/08/09,Colchester,Leeds,1,2,A,0,0,D,D Phillips,7,8,2,5,16,14,5,4,5,2,0,0,3.1,3.4,2.25,2.9,3.2,2.2,3,3.2,2.2,2.8,3.1,2.2,2.88,3.3,2.1,2.88,3.4,2.2,2.8,3.2,2.2,2.88,3.25,2.25,3,3.25,2.2,3,3.3,2.2,31,3.25,2.97,3.48,3.27,2.34,2.24,25,1.97,1.85,1.98,1.9,17,0,2.35,2.15,1.67,1.61
E2,29/08/09,Exeter,Milton Keynes Dons,1,2,A,0,2,A,A Hall,9,7,5,5,7,12,2,4,2,1,0,0,3.1,3.3,2.3,2.7,3.15,2.35,2.75,3.25,2.35,2.6,3.1,2.3,2.62,3.3,2.25,2.75,3.3,2.3,2.7,3.25,2.25,2.75,3.2,2.38,2.9,3.25,2.25,2.8,3.2,2.4,30,3.19,2.82,3.38,3.25,2.4,2.33,24,2.09,1.98,1.83,1.77,16,0,2.12,2.05,1.7,1.67
E2,29/08/09,Hartlepool,Norwich,0,2,A,0,1,A,S Mathieson,8,9,3,5,12,12,5,5,1,0,0,0,2.88,3.4,2.38,2.8,3.2,2.25,2.8,3.3,2.3,2.6,3.1,2.3,2.5,3.3,2.38,2.7,3.4,2.3,2.75,3.25,2.2,2.75,3.2,2.38,2.9,3.25,2.25,2.8,3.25,2.38,30,2.96,2.79,3.45,3.27,2.49,2.34,24,1.93,1.82,2.02,1.92,17,0,2.09,1.99,1.78,1.72
E2,29/08/09,Huddersfield,Yeovil,2,1,H,1,1,D,S Hooper,13,8,5,4,13,10,8,6,1,2,0,0,1.57,4,6,1.55,3.65,5.25,1.57,3.6,5.5,1.6,3.4,4.6,1.53,3.5,5.5,1.57,3.6,5.5,1.53,3.5,5.5,1.57,3.5,5.5,1.57,3.6,5.5,1.57,3.75,5.5,31,1.61,1.57,4.16,3.67,6.5,5.6,25,1.93,1.84,2.03,1.91,17,0,1.2,1.18,4.5,4.28
E2,29/08/09,Leyton Orient,Carlisle,2,2,D,0,1,A,G Horwood,9,22,6,16,9,16,2,12,1,2,0,0,2,3.4,3.6,2.1,3.2,3.1,2.1,3.2,3.25,2,3.2,3.1,2,3.2,3.2,2,3.3,3.4,1.95,3.2,3.4,2,3.25,3.4,2,3.25,3.4,2.1,3.25,3.3,31,2.15,2.08,3.52,3.28,3.68,3.31,24,2,1.9,1.95,1.84,15,0,1.54,1.49,2.51,2.41
