Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5
T1,15/09/02,Diyarbakirspor,Samsunspor,1,1,D,1,0,H,2.2,3.25,2.75,2.17,3.25,2.92,2.2,3.1,2.8,2.25,3.2,2.75,,,,2.15,3.25,2.75,1.8,1.8,,
T1,15/09/02,Gaziantepspor,Altay,2,1,H,1,1,D,1.615,3.25,5,1.65,3.4,4.4,1.6,3.4,4.6,1.615,3.6,4.333,,,,1.6,3.4,4.5,1.8,1.8,,
T1,15/09/02,Goztep,Besiktas,2,2,D,1,2,A,4.5,3.25,1.667,5.4,3.55,1.51,4.6,3.4,1.6,4.5,3.75,1.571,,,,5.2,3.6,1.5,1.5,2.2,,
T1,15/09/02,Istanbulspor,Bursaspor,1,1,D,1,1,D,1.909,3.25,3.4,1.95,3.2,3.3,1.9,3.1,3.5,1.909,3.4,3.25,,,,2.1,3.2,2.85,1.65,1.95,,
T1,21/09/02,Adanaspor,Gaziantepspor,0,2,A,0,1,A,2.25,3.25,2.625,2.25,3.2,2.65,2.3,3.1,2.6,,,,,,,2.3,3.2,2.6,1.7,1.9,,
T1,21/09/02,Bursaspor,Diyarbakirspor,4,1,H,1,1,D,1.615,3.4,4.5,1.6,3.35,4.75,1.6,3.4,4.6,,,,,,,1.7,3.4,4,1.65,1.95,,
T1,21/09/02,Elazigspor,Malatyaspor,2,1,H,0,0,D,2.1,3.2,3,2.1,3.15,2.92,2.2,3.1,2.8,,,,,,,2.25,3.2,2.62,1.65,1.95
T1,21/09/02,Samsunspor,Goztep,0,0,D,0,0,D,1.667,3.4,4.5,1.65,3.3,4.4,1.65,3.3,4.4,,,,,,,1.7,3.4,4,1.6,2.05
T1,22/09/02,Altay,Denizlispor,3,1,H,0,1,A,2.25,3,2.75,2.17,3.15,2.85,2.2,3.1,2.8,,,,,,,2.1,3.2,2.9,1.45,2.35
T1,22/09/02,Besiktas,Trabzonspor,0,0,D,0,0,D,1.333,4,8,1.35,4.1,7.5,1.4,3.9,6,,,,,,,1.4,3.75,6.5,1.55,2.15
T1,22/09/02,Genclerbirligi,Ankaragucu,0,1,A,0,0,D,,,,2.15,3.15,3.5,2.2,3.1,2.8,,,,,,,2.25,3.2,2.62,1.45,2.35
T1,22/09/02,Kocaelispor,Istanbulspor,0,1,A,0,0,D,2.2,3.2,2.75,2.12,3.15,2.92,2.1,3.2,2.9,,,,,,,2.2,3.2,2.75,1.65,1.95
T1,27/09/02,Galatasaray,Istanbulspor,2,0,H,2,0,H,1.22,5,9,1.22,5,12,1.25,4.5,9,1.2,5,11,1.2,5.25,10,1.2,5,10,1.55,2.15
T1,28/09/02,Ankaragucu,Besiktas,0,1,A,0,1,A,2.75,3.2,2.25,2.75,3.25,2.27,2.8,3.1,2.2,3,3.4,2,3.2,3.2,2,2.75,3.1,2.25,1.6,2.15
T1,28/09/02,Denizlispor,Adanaspor,2,0,H,1,0,H,1.8,3.25,3.75,1.75,3.4,4,1.75,3.3,3.8,1.73,3.5,3.75,1.8,3.3,3.75,1.8,3.2,3.75,1.7,1.9
T1,28/09/02,Diyarbakirspor,Kocaelispor,1,1,D,0,1,A,1.8,3.1,4,1.8,3.4,3.75,1.9,3.2,3.4,1.91,3.4,3.25,1.7,3.5,4,1.9,3.3,3.3,1.8,1.8
T1,28/09/02,Trabzonspor,Samsunspor,0,1,A,0,0,D,1.833,3.2,3.75,1.75,3.4,4,1.8,3.2,3.7,1.83,3.4,3.5,1.7,3.5,4,1.8,3.2,3.8,1.9,1.7
T1,29/09/02,Fenerbahce,Elazigspor,4,2,H,2,1,H,1.25,5,8,1.22,8,12,1.2,5,10,1.25,4.5,10,1.154,5.25,12,1.14,5.5,13,1.7,1.95
T1,29/09/02,Gaziantepspor,Genclerbirligi,2,0,H,1,0,H,2,3.2,3.2,2.07,3.25,3.1,1.9,3.2,3.4,2,3.4,3,2,3.2,3.2,2.3,3.1,2.65,1.6,2.05
T1,29/09/02,Goztep,Bursaspor,1,1,D,1,0,H,2.1,3.2,3,2.12,3.25,3,2.1,3.1,3,2.25,3.2,2.75,2.05,3.1,3.2,2.2,3.2,2.75,1.85,1.75
T1,29/09/02,Malatyaspor,Altay,6,0,H,5,0,H,1.909,3.25,3.75,1.75,3.4,4,1.75,3.3,3.8,2,3.4,3,1.7,3.5,4,1.8,3.3,3.6,1.9,1.7
T1,05/10/02,Adanaspor,Malatyaspor,1,1,D,0,0,D,1.909,3.2,3.5,1.9,3.2,3.35,1.9,3.2,3.4,2,3.4,3,2.15,3.1,3,2.1,3.1,3,1.65,1.95
T1,05/10/02,Bursaspor,Trabzonspor,1,2,A,0,1,A,2,3.2,3.2,2,3.2,3.1,2,3.2,3.1,2,3.4,3,2,3.2,3.25,2,3.2,3.1,1.55,2.15
T1,05/10/02,Elazigspor,Galatasaray,0,0,D,0,0,D,5.5,3.6,1.5,5.3,3.55,1.5,4.8,3.5,1.55,5,3.75,1.53,5.5,3.6,1.5,5,3.4,1.55,,
T1,05/10/02,Istanbulspor,Diyarbakirspor,1,0,H,0,0,D,1.615,3.5,4.5,1.67,3.45,4.5,1.7,3.3,4,1.53,3.75,5,1.6,3.4,5,1.7,3.4,3.75,1.65,1.95
T1,06/10/02,Altay,Fenerbahce,1,3,A,1,2,A,4.333,3.4,1.667,4.65,3.25,1.63,4,3.3,1.7,3.6,3.4,1.8,4.2,3.4,1.7,4.6,3.4,1.6,,
T1,06/10/02,Besiktas,Gaziantepspor,0,0,D,0,0,D,1.5,3.6,5.5,1.55,3.45,4.95,1.55,3.5,4.8,1.57,3.75,4.5,1.5,3.75,5,1.6,3.4,4.6,,
T1,06/10/02,Genclerbirligi,Denizlispor,0,0,D,0,0,D,1.667,3.4,4.333,1.67,3.25,4.35,1.7,3.2,4.2,1.67,3.6,4,1.7,3.3,4.333,1.7,3.3,4.1,,
T1,06/10/02,Kocaelispor,Goztep,1,3,A,0,0,D,2.1,3.2,3,1.93,3.15,3.35,2,3.2,3.1,2.1,3.25,2.88,2,3.2,3.25,1.9,3.2,3.4,1.55,2.15
T1,06/10/02,Samsunspor,Ankaragucu,1,0,H,0,0,D,2.25,3.2,2.7,2.2,3.15,2.75,2.3,3.1,2.6,2.25,3.2,2.75,2.25,3.3,2.625,2.2,3.2,2.75,1.6,2
T1,18/10/02,Fenerbahce,Adanaspor,1,1,D,1,1,D,1.2,5,11,1.22,5.1,11,1.25,4.5,9,1.2,5,11,1.2,5,11,1.25,4.5,9,,
T1,19/10/02,Galatasaray,Diyarbakirspor,1,0,H,1,0,H,1.143,6,12,1.15,6,12,1.15,6,12,1.1,7,13,1.154,6,10,1.14,5.5,13,,
T1,19/10/02,Gaziantepspor,Samsunspor,4,2,H,2,1,H,1.667,3.3,4.5,1.75,3.3,4.1,1.7,3.2,4.2,1.62,3.6,4.33,1.7,3.2,4.5,1.65,3.4,4.2,1.9,1.7
T1,19/10/02,Goztep,Istanbulspor,1,1,D,0,1,A,2.1,3.3,2.875,2.17,3.25,2.85,2.1,3.1,3,2.25,3.2,2.75,2.1,3.25,2.9,2.15,3.2,2.8,,
T1,19/10/02,Malatyaspor,Genclerbirligi,5,4,H,3,2,H,2.2,3.25,2.75,2.2,3.15,2.85,2.1,3.1,3,2,3.4,3,2.2,3.3,2.75,2.05,3.2,3,1.5,2.3
T1,20/10/02,Ankaragucu,Bursaspor,4,0,H,0,0,D,1.833,3.2,3.75,1.78,3.3,4.1,1.8,3.1,3.8,1.91,3.4,3.25,1.8,3.25,3.8,1.8,3.4,3.5,1.85,1.8
T1,20/10/02,Denizlispor,Besiktas,1,2,A,0,0,D,3.2,3.2,2,3.36,3.15,2.02,3.2,3.1,2,3.25,3.4,1.91,3.4,3.15,1.95,3.2,3.1,2,,
T1,20/10/02,Elazigspor,Altay,2,0,H,0,0,D,1.909,3.25,3.4,1.85,3.3,3.6,1.8,3.2,3.7,2,3.4,3,1.8,3.25,3.45,1.9,3.3,3.3,1.8,1.8
T1,20/10/02,Trabzonspor,Kocaelispor,2,0,H,0,0,D,1.444,3.75,6,1.48,3.7,6.2,1.5,3.7,5,1.44,3.75,6,1.45,3.75,6,1.55,3.5,5,1.9,1.7
T1,25/10/02,Besiktas,Malatyaspor,3,0,H,2,0,H,1.3,4.333,8,1.35,4.55,8.5,1.3,4.2,8,1.3,4.33,8,1.3,4.333,8,1.4,3.8,6.5,1.55,2.15
T1,26/10/02,Altay,Galatasaray,1,2,A,1,1,D,5,3.6,1.533,5.6,3.5,1.58,4.6,3.6,1.55,5,3.75,1.53,5,3.8,1.5,5.4,3.5,1.5,1.55,2.15
T1,26/10/02,Istanbulspor,Trabzonspor,1,2,A,1,2,A,2.25,3.25,2.7,2.29,3.25,2.85,2.1,3.1,3,2.2,3.2,2.8,2.3,3.25,2.6,2.4,3.2,2.45,1.8,1.8
T1,26/10/02,Kocaelispor,Ankaragucu,3,0,H,1,0,H,3.2,3.2,2,2.91,3.2,2.21,3,3.3,2,2.8,3.2,2.2,2.8,3.2,2.2,2.7,3.1,2.25,1.65,1.95
T1,26/10/02,Samsunspor,Denizlispor,0,0,D,0,0,D,1.833,3.25,3.75,1.9,3.3,3.75,1.9,3.1,3.5,1.8,3.4,3.6,1.8,3.3,3.8,1.9,3.3,3.3,1.65,1.95
T1,27/10/02,Adanaspor,Elazigspor,0,0,D,0,0,D,1.8,3.25,3.8,1.85,3.3,4,1.85,3.1,3.6,1.73,3.5,3.75,1.8,3.25,3.8,1.9,3.3,3.3,1.55,2.15
T1,27/10/02,Bursaspor,Gaziantepspor,1,1,D,1,1,D,2.625,3.25,2.3,2.7,3.2,2.41,2.6,3.1,2.3,2.4,3.2,2.5,2.625,3.25,2.3,2.5,3.1,2.4,1.65,1.95
T1,27/10/02,Diyarbakirspor,Goztep,1,0,H,0,0,D,2.25,3.2,2.75,2.1,3.2,3.1,2,3.2,3,2.4,3.2,2.5,2.2,3.2,2.8,2.15,3.1,2.85,1.55,2.15
T1,27/10/02,Genclerbirligi,Fenerbahce,1,1,D,1,1,D,2.75,3.25,2.2,3.1,3.2,2.15,2.7,3,2.3,3.25,3.4,1.91,2.9,3.3,2.1,3,3.3,2,1.65,1.95
T1,01/11/02,Trabzonspor,Diyarbakirspor,3,0,H,1,0,H,1.444,3.6,6.5,1.46,3.75,6.5,1.6,3.4,4.6,1.36,4,7,1.4,3.8,7,1.5,3.5,5.5,,
T1,02/11/02,Altay,Adanaspor,0,4,A,0,1,A,2.1,3.2,3,2.15,3.15,2.85,2.1,3.2,2.9,2.1,3.25,2.88,2.15,3.1,3,2,3.3,3,,
T1,02/11/02,Ankaragucu,Istanbulspor,1,0,H,1,0,H,1.8,3.25,3.8,1.81,3.2,3.75,1.8,3.2,3.7,1.83,3.4,3.5,1.8,3.1,4,1.85,3.3,3.4,,
T1,02/11/02,Elazigspor,Genclerbirligi,0,3,A,0,1,A,2.375,3.1,2.625,2.4,3.1,2.55,2.3,3.1,2.6,2.38,3.2,2.6,2.4,3.2,2.5,2.3,3.2,2.6,,
T1,02/11/02,Galatasaray,Goztep,3,1,H,1,0,H,1.143,6,12,1.15,5.75,11,1.2,5,10,1.17,5.5,13,1.154,6,11,1.15,5.25,13,,
T1,02/11/02,Gaziantepspor,Kocaelispor,2,1,H,2,1,H,1.333,4,8,1.36,3.8,7.75,1.45,3.8,5.4,1.5,3.75,5.5,1.4,4,6,1.45,3.6,6,,
T1,02/11/02,Malatyaspor,Samsunspor,2,1,H,2,0,H,1.909,3.2,3.5,1.86,3.2,3.55,1.85,3.2,3.5,1.8,3.4,3.6,1.833,3.2,3.8,1.9,3.3,3.3,,
T1,06/11/02,Denizlispor,Bursaspor,2,2,D,1,0,H,1.8,3.25,3.8,1.87,3.27,3.7,1.85,3.1,3.6,1.8,3.5,3.6,1.9,3.2,3.5,1.75,3.25,3.9,1.65,1.95
T1,06/11/02,Fenerbahce,Galatasaray,6,0,H,2,0,H,2.25,3.2,2.75,2.23,3.2,2.91,2.3,3.2,2.5,2.38,3.2,2.6,2,3.1,3.3,2,3.2,3.2,,
T1,08/11/02,Besiktas,Elazigspor,3,1,H,1,1,D,1.25,4.5,9,1.24,4.9,10.5,1.25,4.5,9,1.25,4.5,10,1.222,5,10,1.22,4.75,9.5,1.53,2.36
T1,09/11/02,Adanaspor,Galatasaray,0,0,D,0,0,D,5,3.5,1.53,4.75,3.35,1.6,4.6,3.4,1.6,5,3.75,1.53,4.5,3.5,1.615,4,3.4,1.7,1.55,2.15
T1,09/11/02,Diyarbakirspor,Ankaragucu,3,0,H,3,0,H,2.5,3.2,2.4,2.5,3.25,2.51,2.3,3.1,2.6,2.5,3.2,2.4,,,,2.4,3.3,2.4,1.7,1.9
T1,09/11/02,Goztep,Trabzonspor,1,2,A,1,2,A,2.6,3.4,2.2,3,3.16,2.28,2.4,3.2,2.4,2.75,3.2,2.25,2.625,3.2,2.3,2.6,3.2,2.3,1.75,1.91
T1,09/11/02,Istanbulspor,Gaziantepspor,1,3,A,0,1,A,2.6,3.4,2.2,2.68,3.15,2.45,2.4,3.2,2.4,2.5,3.2,2.4,2.625,3.2,2.3,2.6,3.2,2.3,1.73,2.07
T1,10/11/02,Bursaspor,Malatyaspor,1,1,D,0,0,D,2.1,3.2,3,2.01,3.3,3.4,1.9,3.2,3.4,2,3.4,3,2,3.1,3.3,1.9,3.2,3.4,1.6,2.16
T1,10/11/02,Genclerbirligi,Altay,1,0,H,0,0,D,1.44,3.75,6,1.47,3.7,5.8,1.45,3.8,5.4,1.5,3.75,5.5,1.5,3.4,6,1.5,3.5,5.5,1.56,2.3
T1,10/11/02,Kocaelispor,Denizlispor,2,1,H,1,0,H,2.4,3.2,2.5,2.25,3.25,3,2.1,3.1,3,2.25,3.2,2.75,2.2,3,3,2.2,3.1,2.8,1.65,2.06
T1,10/11/02,Samsunspor,Fenerbahce,1,3,A,1,0,H,3,3.25,2,3.5,3.4,1.92,3.1,3.2,2,3.25,3.4,1.91,3.75,3.3,1.8,3.6,3.3,1.8,1.6,2.05
T1,16/11/02,Adanaspor,Genclerbirligi,2,7,A,0,3,A,2.4,3.1,2.6,2.45,3.15,2.6,2.4,3.2,2.4,2.38,3.2,2.6,2.4,3.1,2.6,2.4,3.25,2.45,1.75,1.85
T1,16/11/02,Ankaragucu,Goztep,1,0,H,0,0,D,1.615,3.5,4.5,1.55,3.5,5.6,1.6,3.4,4.6,1.57,3.75,4.5,1.667,3.1,5,1.5,3.5,5.5,1.6,2.05
T1,16/11/02,Galatasaray,Trabzonspor,2,1,H,1,1,D,1.444,3.75,6,1.45,3.8,6.5,1.45,3.8,5.4,1.53,3.75,5,1.533,3.6,5,1.45,3.6,5.8,1.6,2.05
T1,16/11/02,Gaziantepspor,Diyarbakirspor,2,0,H,0,0,D,1.333,4,8,1.35,4.25,7.5,1.35,4,7,1.36,4,7,1.364,4,7,1.4,3.6,7,1.55,2.15
T1,17/11/02,Altay,Besiktas,0,1,A,0,0,D,5,3.6,1.533,5.6,3.5,1.55,5,3.7,1.5,4.5,3.75,1.57,5,3.3,1.6,5,3.5,1.55,1.5,2.25
T1,17/11/02,Denizlispor,Istanbulspor,2,1,H,0,0,D,1.909,3.25,3.4,1.9,3.3,3.6,1.9,3.2,3.4,1.91,3.4,3.25,2.1,3,3.2,1.95,3.2,3.25,1.7,1.9
T1,17/11/02,Elazigspor,Samsunspor,3,1,H,1,1,D,2.1,3.2,3,2.1,3.2,3.15,2.2,3.1,2.8,2.25,3.2,2.75,2.25,3.2,2.75,2.2,3.2,2.7,1.65,1.95
T1,17/11/02,Fenerbahce,Bursaspor,7,1,H,3,0,H,1.25,5,8,1.3,4.7,7.5,1.45,3.8,5.4,1.4,3.75,6.5,1.3,4,9,1.3,4.2,8,1.55,2.15
T1,17/11/02,Malatyaspor,Kocaelispor,2,1,H,1,1,D,1.571,3.5,5,1.55,3.5,5.6,1.6,3.4,4.6,1.67,3.6,4,1.6,3.6,4.5,1.65,3.4,4.3,1.6,2.05
T1,23/11/02,Besiktas,Adanaspor,3,0,H,2,0,H,1.3,4.333,8,1.31,4.25,7.3,1.3,4.2,8,1.25,5,9,1.3,4.5,7.5,1.25,4.2,10,1.5,2.25
T1,23/11/02,Diyarbakirspor,Denizlispor,0,0,D,0,0,D,2.1,3.2,3,2,3.25,3.1,2,3.2,3.1,2.1,3.25,2.88,2.25,3.2,2.75,2.1,3.2,2.9,1.75,1.85
T1,23/11/02,Istanbulspor,Malatyaspor,0,0,D,0,0,D,2.1,3.2,3,2.15,3.25,2.8,2.1,3.1,3,2.2,3.2,2.8,2.15,3.25,2.8,2.25,3.1,2.7,1.85,1.75
T1,23/11/02,Kocaelispor,Fenerbahce,1,2,A,0,1,A,4.5,3.5,1.615,4.4,3.3,1.65,4.6,3.4,1.6,4.5,3.75,1.57,4,3.5,1.7,5.5,3.5,1.5,1.6,2.05
T1,23/11/02,Trabzonspor,Ankaragucu,3,0,H,2,0,H,1.667,3.4,4.333,1.6,3.3,4.9,1.7,3.3,4,1.67,3.6,4,1.6,3.5,4.5,1.65,3.4,4.2,1.75,1.85
T1,24/11/02,Bursaspor,Elazigspor,1,1,D,0,0,D,1.727,3.25,4,1.78,3.25,4,1.75,3.3,3.8,1.73,3.5,3.75,1.8,3.3,3.8,1.7,3.3,4.1,1.65,1.95
T1,24/11/02,Genclerbirligi,Galatasaray,1,0,H,1,0,H,3.2,3.2,2,3.25,3.1,2,3.1,3.2,2,3,3.4,2,3,3.25,2.05,3.3,3.25,1.9,1.7,1.9
T1,24/11/02,Goztep,Gaziantepspor,2,1,H,0,0,D,3.5,3.5,1.833,3.25,3.25,1.95,2.9,3.2,2.1,3,3.4,2,3.8,3.25,1.8,3.3,3.25,1.9,1.75,1.85
T1,24/11/02,Samsunspor,Altay,2,4,A,1,0,H,1.615,3.5,4.333,1.66,3.2,4.5,1.6,3.4,4.6,1.57,3.75,4.5,1.6,3.4,5,1.55,3.5,4.8,1.85,1.75
T1,29/11/02,Fenerbahce,Istanbulspor,2,0,H,0,0,D,1.286,4.5,8,1.27,5,9,1.25,4.5,9,1.2,5.5,9,1.182,5,11,1.22,4.5,10.5,1.6,2.2
T1,30/11/02,Altay,Bursaspor,2,1,H,1,1,D,2.2,3.25,2.75,2.17,3.1,3,2.1,3.2,2.9,2.1,3.25,2.88,2.1,3,3.2,2.25,3.25,2.6,1.7,1.9
T1,30/11/02,Ankaragucu,Galatasaray,1,2,A,1,1,D,3.75,3.25,1.8,3.6,3.3,1.87,3.4,3.2,1.9,3.5,3.4,1.83,3.4,3.25,1.9,3.4,3.3,1.85,1.75,1.85,,
T1,30/11/02,Elazigspor,Kocaelispor,0,1,A,0,0,D,1.8,3.25,3.75,1.75,3.3,4.2,1.8,3.2,3.7,1.67,3.6,4,1.7,3.3,4.333,1.8,3.3,3.6,1.7,1.9,,
T1,30/11/02,Gaziantepspor,Trabzonspor,0,0,D,0,0,D,2.1,3.2,3,1.9,3.25,3.6,2,3.2,3.1,1.8,3.4,3.6,2,3.2,3.2,2,3.2,3.1,1.75,1.85,,
T1,01/12/02,Adanaspor,Samsunspor,1,1,D,1,0,H,1.909,3.4,3.25,2,3.2,3.3,2,3.2,3.1,2,3.4,3,2.1,3,3.2,2,3.3,3,1.75,1.85,,
T1,01/12/02,Besiktas,Genclerbirligi,1,1,D,0,0,D,1.333,4,8,1.55,3.56,5.5,1.55,3.5,4.8,1.5,3.75,5.5,1.571,3.5,5,1.5,3.5,5.5,1.6,2.05,,
