Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,GBAHH,GBAHA,GBAH
T1,23/08/03,A. Sebatspor,Istanbulspor,1,3,A,0,0,D,2.625,3.2,2.3,2.8,3.3,2.1,2.7,3.2,2.2,2.8,3.4,2.1,2.8,3.1,2.3,2.85,3.2,2.1,1.83,1.83,1.9,1.85,0.25
T1,23/08/03,Adanaspor,Trabzonspor,0,1,A,0,0,D,2.625,3.2,2.3,2.9,3.3,2.1,3,3.1,2.1,2.75,3.25,2.2,2.8,3.2,2.25,2.7,3.2,2.2,1.6,2.1,1.9,1.85,0.25
T1,23/08/03,Bursaspor,Galatasaray,2,2,D,1,0,H,4.5,3.5,1.615,4.7,3.6,1.55,4.6,3.4,1.6,5,3.75,1.533,4.75,3.5,1.61,4,3.4,1.72,1.65,2,1.65,2.1,1
T1,23/08/03,Fenerbahce,Elazigspor,7,1,H,3,1,H,1.286,4.5,8,1.25,4.5,9,1.25,4.5,9,1.286,4.5,8,1.25,5,9,1.25,5,8,1.6,2.1,2,1.75,-1.75
T1,23/08/03,Rizespor,Malatyaspor,2,1,H,0,1,A,2.375,3.1,2.625,2.37,3.15,2.52,2.3,3.1,2.6,2.375,3.25,2.5,2.37,3.2,2.62,2.4,3.2,2.45,1.71,1.95,2.05,1.7,-0.25
T1,24/08/03,Besiktas,Ankaragucu,3,0,H,1,0,H,1.25,4.5,10,1.21,5,9.1,1.25,4.5,9,1.2,5,11,1.22,5,10,1.22,5,9.5,1.5,2.3,2.15,1.65,-2
T1,24/08/03,Genclerbirligi,Gaziantepspor,1,0,H,1,0,H,1.909,3.25,3.4,1.93,3.25,3.25,1.85,3.1,3.6,1.909,3.4,3.25,2,3.25,3.25,2.05,3.3,2.9,1.6,2.1,1.9,1.85,-0.5
T1,24/08/03,Konyaspor,Diyarbakirspor,3,1,H,1,1,D,2.1,3.2,3,2.05,3.15,3.25,1.9,3.2,3.4,2.1,3.4,2.8,2.2,3.1,3,2.25,3.25,2.6,1.65,2,1.85,1.9,-0.25
T1,24/08/03,Samsunspor,Denizlispor,2,1,H,1,0,H,2,3.2,3.2,1.93,3.25,3.25,2.2,3.1,2.8,1.909,3.4,3.25,2,3.25,3.25,1.95,3.3,3.1,1.65,2,,,
T1,29/08/03,Denizlispor,Besiktas,2,3,A,0,2,A,5.5,3.4,1.533,5.5,3.5,1.5,4.4,3.3,1.65,5,3.75,1.533,5.5,3.4,1.57,5,3.5,1.57,1.6,2.1,1.85,1.8,1
T1,30/08/03,Diyarbakirspor,Fenerbahce,1,2,A,0,0,D,3.5,3.4,1.833,3.7,3.3,1.8,3.5,3.2,1.85,3.6,3.4,1.8,3.75,3.3,1.83,3.6,3.4,1.8,1.6,2.1,1.82,1.95,0.75
T1,30/08/03,Elazigspor,Adanaspor,3,4,A,1,2,A,1.909,3.25,3.4,1.95,3.1,3.4,2,3.1,3.2,1.909,3.4,3.25,1.9,3.2,3.6,1.8,3.3,3.6,,,1.95,1.82,-0.5
T1,30/08/03,Gaziantepspor,Konyaspor,3,1,H,1,1,D,1.5,3.6,5.5,1.5,3.5,5.5,1.45,3.8,5.4,1.533,3.75,5,1.5,3.5,6,1.5,3.5,5.4,1.6,2.1,1.88,1.9,-1
T1,30/08/03,Malatyaspor,Samsunspor,5,0,H,3,0,H,1.615,3.5,4.5,1.7,3.25,4.25,1.7,3.2,4.2,1.727,3.4,4,1.66,3.3,4.75,1.7,3.35,4,1.65,2,1.92,1.85,-0.75
T1,31/08/03,Ankaragucu,Bursaspor,2,0,H,1,0,H,1.667,3.4,4.333,1.8,3.2,3.8,1.7,3.2,4.2,1.727,3.4,4,1.8,3.25,4,1.8,3.3,3.6,1.6,2.1,1.8,1.98,-0.5
T1,31/08/03,Galatasaray,Genclerbirligi,2,1,H,2,0,H,1.364,4,7,1.35,4,7,1.35,4,7,1.3,4.5,7.5,1.36,4.2,7,1.36,4,7,1.55,2.2,1.82,1.95,-1.25
T1,31/08/03,Istanbulspor,Rizespor,3,0,H,1,0,H,1.571,3.5,5,1.66,3.4,4.3,1.8,3.1,3.8,1.571,3.75,4.5,1.7,3.25,4.5,1.65,3.5,4.1,1.6,2.1,1.8,1.98,-0.75
T1,31/08/03,Trabzonspor,A. Sebatspor,2,1,H,1,0,H,1.333,4.333,7,1.3,4.25,7.5,1.35,4,7,1.444,3.75,6,1.3,4.33,8.5,1.28,4.25,8,,,1.88,1.9,-1.5
T1,12/09/03,Besiktas,Malatyaspor,3,1,H,1,1,D,1.25,4.5,10,1.25,4.5,9,1.25,4.5,9,1.286,4.333,9,1.28,4.33,9.5,1.25,4.5,10,1.5,2.3,2,1.7,-2
T1,13/09/03,Adanaspor,Diyarbakirspor,2,1,H,0,0,D,1.9,3.2,3.5,1.95,3.25,3.25,1.9,3.3,3.3,2,3.2,3.2,2,3.2,3.3,1.9,3.4,3.15,1.71,1.95,1.9,1.8,-0.5
T1,13/09/03,Konyaspor,Galatasaray,1,0,H,0,0,D,5,3.6,1.53,5.25,3.6,1.5,4.6,3.4,1.6,5,3.75,1.533,5.5,3.5,1.53,6,3.4,1.5,1.55,2.2,1.83,1.9,1
T1,13/09/03,Rizespor,Trabzonspor,1,0,H,0,0,D,2.7,3.2,2.25,2.6,3.2,2.3,2.5,3.2,2.3,2.5,3.25,2.4,2.7,3.2,2.3,2.65,3.1,2.3,1.75,1.9,2,1.7,0
T1,13/09/03,Samsunspor,Istanbulspor,3,3,D,1,2,A,2.5,3.25,2.37,2.6,3.2,2.3,2.3,3.2,2.5,2.5,3.25,2.4,2.62,3.2,2.37,2.55,3.2,2.3,1.65,2,1.83,1.85,0
T1,14/09/03,A. Sebatspor,Elazigspor,3,1,H,1,1,D,2.3,3.2,2.62,2.25,3.1,2.75,2.1,3.2,2.9,2.2,3.25,2.75,,,,2.45,3.3,2.35,1.65,2,1.9,1.81,-0.25
T1,14/09/03,Ankaragucu,Denizlispor,1,1,D,1,0,H,1.72,3.4,4,1.7,3.4,3.9,1.7,3.3,4,1.667,3.6,4,1.66,3.4,4.5,1.8,3.3,3.6,1.65,2,1.9,1.79,-0.75
T1,14/09/03,Bursaspor,Genclerbirligi,0,0,D,0,0,D,2.5,3.1,2.5,2.35,3.25,2.5,2.3,3.2,2.5,2.4,3.25,2.5,2.3,3.2,2.7,2.4,3.3,2.4,1.6,2.1,1.75,1.95,0
T1,14/09/03,Fenerbahce,Gaziantepspor,3,1,H,0,0,D,1.44,3.75,6,1.4,3.75,6.5,1.35,4,7,1.4,3.75,7,1.4,3.75,7.5,1.36,4,7,1.55,2.2,1.9,1.77,-1.5
T1,19/09/03,Trabzonspor,Samsunspor,2,1,H,0,0,D,1.53,3.4,5.5,1.45,3.75,5.8,1.45,3.8,5.4,1.5,3.6,5.5,1.53,3.6,5.5,1.5,3.5,5.4,1.6,2.1,2.1,1.65,-1.5
T1,20/09/03,Gaziantepspor,Adanaspor,1,0,H,1,0,H,1.61,3.5,4.5,1.6,3.5,4.75,1.55,3.5,4.8,1.615,3.6,4.5,1.57,3.4,5.5,1.55,3.4,5,1.65,2,2.05,1.7,-1
T1,20/09/03,Genclerbirligi,Konyaspor,4,0,H,3,0,H,1.57,3.5,5,1.55,3.5,5.25,1.55,3.5,4.8,1.667,3.6,4,1.57,3.6,5,1.5,3.4,5.6,1.55,2.2,2.1,1.65,-1.25
T1,20/09/03,Istanbulspor,Besiktas,1,1,D,0,1,A,3.75,3.2,1.83,3.5,3.3,1.85,3.8,3.1,1.8,3.25,3.4,1.909,4,3.25,1.8,4,3.4,1.72,1.6,2.1,1.65,2.1,1
T1,20/09/03,Malatyaspor,Ankaragucu,1,0,H,0,0,D,1.8,3.25,3.75,1.8,3.3,3.7,1.75,3.3,3.8,1.727,3.4,4,1.85,3.25,3.75,1.75,3.3,3.8,1.6,2.1,2.05,1.7,-0.75
T1,21/09/03,Denizlispor,Bursaspor,4,0,H,2,0,H,1.9,3.25,3.4,2.2,3.3,2.75,2.3,2.9,2.8,2,3.4,3,1.9,3.25,3.5,2.3,3.3,2.5,1.65,2,1.65,2.1,0
T1,21/09/03,Diyarbakirspor,A. Sebatspor,1,0,H,1,0,H,1.72,3.4,4,1.7,3.4,4.25,1.65,3.3,4.4,1.667,3.4,4.333,1.75,3.4,4,1.6,3.4,4.6,1.6,2.1,1.95,1.75,-0.75
T1,21/09/03,Elazigspor,Rizespor,1,1,D,0,1,A,2.1,3.2,3,2.2,3.15,2.8,2.1,3.1,3,2.1,3.4,2.8,2.25,3.1,2.87,2.2,3.25,2.65,1.6,2.1,1.9,1.8,-0.25
T1,21/09/03,Galatasaray,Fenerbahce,2,2,D,1,1,D,1.9,3.2,3.5,1.85,3.3,3.5,2,3.1,3.2,1.833,3.25,3.75,1.9,3.25,3.5,2,3.2,3.2,1.65,2,2.2,1.6,-0.75
T1,26/09/03,Adanaspor,Galatasaray,0,2,A,0,2,A,4.5,3.75,1.57,4.5,3.45,1.6,4.4,3.3,1.65,4.5,3.6,1.615,6,3.4,1.53,4.5,3.5,1.61,1.61,2,1.87,1.83,1
T1,27/09/03,Ankaragucu,Istanbulspor,2,1,H,0,1,A,2.37,3.25,2.5,2.4,3.1,2.55,2.2,3.1,2.8,2.4,3.25,2.5,2.5,3.2,2.5,2.4,3.1,2.5,1.66,1.95,1.98,1.8,-0.25
T1,27/09/03,Bursaspor,Konyaspor,2,1,H,0,0,D,2,3.2,3.2,1.9,3.25,3.3,1.8,3.3,3.6,2.1,3.2,3,2,3.2,3.3,1.8,3.3,3.6,1.61,2,1.78,2,-0.5
T1,27/09/03,Fenerbahce,Genclerbirligi,1,0,H,0,0,D,1.44,3.75,6,1.35,4,6.9,1.45,3.8,5.4,1.3,4.5,7.5,1.44,3.75,6.5,1.36,4,7,1.56,2.1,1.95,1.82,-1.25
T1,27/09/03,Samsunspor,Elazigspor,2,0,H,1,0,H,1.83,3.3,3.6,1.75,3.4,3.7,1.7,3.3,4,1.833,3.4,3.5,1.83,3.3,3.75,1.7,3.3,4.2,1.66,1.95,1.9,1.87,-0.75
T1,28/09/03,A. Sebatspor,Gaziantepspor,1,2,A,1,1,D,2.62,3.1,2.37,2.55,3.25,2.3,2.4,3.2,2.4,2.4,3.25,2.5,2.7,3.25,2.3,2.5,3.3,2.3,1.66,1.95,1.83,1.95,0.25
T1,28/09/03,Besiktas,Trabzonspor,5,0,H,2,0,H,1.44,3.75,6,1.4,3.8,6.25,1.45,3.8,5.4,1.4,3.75,7,1.5,3.6,6,1.36,4,7,1.66,1.95,1.92,1.85,-1.25
T1,28/09/03,Denizlispor,Malatyaspor,1,0,H,0,0,D,2.25,3.2,2.75,2.15,3.25,2.75,2,3.1,3.2,2.2,3.25,2.75,2.25,3.25,2.75,2.2,3.3,2.62,1.61,2,1.9,1.88,-0.25
T1,28/09/03,Rizespor,Diyarbakirspor,2,1,H,0,0,D,1.66,3.4,4.33,1.6,3.5,4.45,1.7,3.3,4,1.571,3.75,4.5,1.72,3.4,4.2,1.66,3.4,4.2,1.61,2,1.8,2,-0.75
T1,03/10/03,Konyaspor,Fenerbahce,2,4,A,1,2,A,4.33,3.4,1.66,4.6,3.4,1.6,4.8,3.5,1.55,4,3.6,1.667,5.5,3.6,1.53,5,3.5,1.57,1.55,2.2,1.9,1.8,1
T1,04/10/03,Galatasaray,A. Sebatspor,4,3,H,1,0,H,1.14,6,12,1.15,5.75,11,1.12,6.5,13,1.083,7.5,15,1.11,7,13,1.12,6.5,12,1.45,2.45,1.8,1.9,-2.25
T1,04/10/03,Genclerbirligi,Adanaspor,6,0,H,0,0,D,1.57,3.5,5,1.45,3.7,5.75,1.5,3.7,5,1.533,3.75,5,1.44,3.75,6.5,1.5,3.5,5.5,1.55,2.2,1.8,1.9,-1
T1,04/10/03,Istanbulspor,Denizlispor,0,3,A,0,2,A,1.66,3.4,4.33,1.65,3.4,4.25,1.75,3.2,4,1.615,3.6,4.5,1.7,3.4,4.33,1.8,3.3,3.6,1.6,2.1,1.85,1.85,-0.75
T1,04/10/03,Malatyaspor,Bursaspor,2,1,H,1,1,D,1.61,3.5,4.5,1.65,3.4,4.25,1.6,3.4,4.6,1.571,3.75,4.5,1.61,3.5,4.75,1.66,3.3,4.33,1.6,2.1,1.85,1.85,-0.75
T1,05/10/03,Diyarbakirspor,Samsunspor,2,2,D,0,1,A,1.9,3.25,3.4,1.91,3.25,3.3,1.9,3.3,3.3,1.8,3.4,3.6,1.91,3.25,3.5,1.9,3.25,3.3,1.6,2.1,1.9,1.8,-0.5
T1,05/10/03,Elazigspor,Besiktas,1,5,A,1,2,A,6,3.75,1.44,6,3.8,1.41,5.4,3.8,1.45,6,3.75,1.444,6.5,3.75,1.44,6.5,3.6,1.44,1.5,2.3,1.9,1.8,1.25
T1,05/10/03,Gaziantepspor,Rizespor,2,0,H,1,0,H,1.72,3.4,4,1.75,3.3,3.85,1.75,3.3,3.9,1.667,3.6,4,1.66,3.4,4.5,1.72,3.25,4,1.65,2,1.95,1.75,-0.75
T1,05/10/03,Trabzonspor,Ankaragucu,3,0,H,1,0,H,1.66,3.4,4.33,1.65,3.4,4.25,1.7,3.3,4,1.571,3.5,5,1.61,3.5,4.75,1.72,3.25,4,1.65,2,1.9,1.8,-0.75
T1,17/10/03,Rizespor,Galatasaray,0,1,A,0,1,A,4,3.4,1.72,4.28,3.55,1.55,4.2,3.2,1.7,4.5,3.75,1.571,4.5,3.5,1.66,4.33,3.4,1.66,1.65,2,1.77,1.95,1
T1,18/10/03,Adanaspor,Konyaspor,1,1,D,0,1,A,2,3.2,3.2,1.95,3.3,3,1.9,3.2,3.4,1.909,3.4,3.25,2,3.2,3.3,2,3.4,2.9,1.6,2.1,1.88,1.83,-0.5
T1,18/10/03,Ankaragucu,Elazigspor,1,0,H,1,0,H,1.53,3.4,5.5,1.45,3.6,5.5,1.45,3.8,5.4,1.533,3.75,5,1.44,3.75,6.5,1.44,3.8,5.5,1.6,2.1,1.77,1.95,-1
T1,18/10/03,Besiktas,Diyarbakirspor,1,0,H,1,0,H,1.12,6.5,13,1.1,5.8,15,1.15,6,12,1.1,7.5,12,1.12,6.5,15,1.12,6,15,1.45,2.45,,,
T1,19/10/03,A. Sebatspor,Genclerbirligi,0,3,A,0,1,A,3.2,3.2,2,3.35,3.25,1.85,3.4,3.2,1.9,3.25,3.4,1.909,4,3.2,1.8,3.6,3.3,1.8,1.5,2.3,1.91,1.8,0.5
T1,19/10/03,Bursaspor,Fenerbahce,2,2,D,0,1,A,4.33,3.4,1.66,4.5,3.35,1.6,4.4,3.3,1.65,4.5,3.75,1.571,5,3.4,1.61,4.5,3.5,1.61,1.6,2.1,1.84,1.87,0.75
T1,19/10/03,Denizlispor,Trabzonspor,0,1,A,0,0,D,2.25,3.2,2.75,2,3.3,2.9,2.1,3.2,2.9,2.25,3.4,2.6,2.37,3.25,2.6,1.95,3.3,3.1,1.65,2,,,
T1,19/10/03,Malatyaspor,Istanbulspor,2,1,H,0,0,D,1.8,3.4,3.7,1.8,3.3,3.45,1.85,3.2,3.5,1.667,3.6,4,1.75,3.4,4,1.9,3.25,3.3,1.65,2,1.75,1.97,-0.5
T1,19/10/03,Samsunspor,Gaziantepspor,1,2,A,1,0,H,2.4,3.2,2.5,2.3,3.2,2.5,2.3,3.1,2.6,2.25,3.4,2.6,2.4,3.2,2.6,2.25,3.25,2.6,1.65,2,1.77,1.95,0
T1,24/10/03,Fenerbahce,Adanaspor,3,0,H,1,0,H,1.16,5.5,11,1.15,5.3,11,1.15,6,12,1.143,6,13,1.12,6.5,15,1.14,6,12,1.4,2.6,,,
T1,25/10/03,Diyarbakirspor,Ankaragucu,1,1,D,1,0,H,2.2,3.25,2.75,2.1,3.2,2.8,2.1,3.2,2.9,2.1,3.4,2.8,2.1,3.2,3.1,2,3.3,3,1.65,2,1.8,1.9,-0.25
T1,25/10/03,Elazigspor,Denizlispor,2,4,A,0,3,A,2.75,3.2,2.25,2.6,3.2,2.2,2.9,3.2,2.1,2.75,3.25,2.2,2.7,3.2,2.3,2.5,3.3,2.3,1.65,2,1.8,1.9,0.25
T1,25/10/03,Galatasaray,Samsunspor,1,0,H,0,0,D,1.16,5.5,11,1.17,5,11,1.17,5.5,11,1.167,5.5,12,1.16,6,12,1.16,5.5,12,1.45,2.45,,,
T1,25/10/03,Trabzonspor,Malatyaspor,0,0,D,0,0,D,1.72,3.4,4,1.75,3.3,3.65,1.85,3.2,3.5,1.8,3.4,3.6,1.66,3.4,4.5,1.83,3.3,3.5,1.65,2,2.1,1.65,-1
T1,26/10/03,Gaziantepspor,Besiktas,0,3,A,0,2,A,3.5,3.4,1.83,3.65,3.3,1.75,3.5,3.1,1.9,3.5,3.5,1.8,4,3.4,1.75,4.5,3.5,1.61,1.65,2,1.6,2.2,1
T1,26/10/03,Genclerbirligi,Rizespor,1,0,H,1,0,H,1.57,3.5,5,1.5,3.5,5.1,1.5,3.7,5,1.571,3.75,4.5,1.57,3.4,5.5,1.5,3.75,5,1.6,2.1,2.05,1.7,-1.25
T1,26/10/03,Istanbulspor,Bursaspor,3,0,H,2,0,H,1.61,3.5,4.5,1.75,3.3,3.65,1.75,3.3,3.8,1.667,3.6,4,1.72,3.4,4.2,1.72,3.25,4,1.65,2,1.75,1.95,-0.5
T1,26/10/03,Konyaspor,A. Sebatspor,0,0,D,0,0,D,1.57,3.5,5,1.57,3.5,4.4,1.6,3.4,4.6,1.571,3.75,4.5,1.57,3.4,5.5,1.57,3.6,4.5,1.6,2.1,2.05,1.7,-1
T1,31/10/03,Besiktas,Galatasaray,0,0,D,0,0,D,2,3.2,3.2,1.9,3.3,3.35,2.1,3.1,3,1.8,3.4,3.6,2,3.2,3.3,1.9,3.25,3.4,1.65,2,1.78,2,-0.5
T1,01/11/03,Ankaragucu,Gaziantepspor,1,4,A,1,2,A,2.1,3.2,3,2,3.3,3,2.1,3.1,3,2.1,3.4,2.8,2.2,3.2,2.88,2.25,3.1,2.7,1.65,2,1.8,1.9,-0.25
T1,01/11/03,Denizlispor,Diyarbakirspor,1,2,A,1,1,D,1.53,3.6,5,1.5,3.65,5.35,1.55,3.5,4.8,1.53,3.75,5,1.57,3.4,5.5,1.6,3.4,4.6,1.6,2.1,1.85,1.85,-1
T1,01/11/03,Istanbulspor,Trabzonspor,0,2,A,0,0,D,2.3,3.2,2.62,2.4,3.1,2.55,2.4,3,2.6,2.4,3.25,2.5,2.5,3.2,2.5,2.3,3.2,2.55,1.65,2,1.8,1.9,0
T1,01/11/03,Samsunspor,Genclerbirligi,2,1,H,0,1,A,2.75,3.2,2.25,2.85,3.25,2.1,3,3.3,2,2.75,3.25,2.2,2.75,3.25,2.25,2.65,3.25,2.2,1.55,2.2,1.93,1.78,0.25
T1,02/11/03,A. Sebatspor,Fenerbahce,1,1,D,1,1,D,8,4,1.33,7.5,4.5,1.3,7,4,1.35,7,4.33,1.33,8.5,4.33,1.3,7,4.33,1.33,1.5,2.3,1.85,1.85,1.5
T1,02/11/03,Bursaspor,Adanaspor,6,0,H,3,0,H,1.83,3.25,3.6,1.68,3.3,4.33,1.65,3.3,4.4,1.73,3.4,4,1.7,3.4,4.33,1.75,3.3,3.8,1.6,2.1,1.9,1.8,-0.75
T1,02/11/03,Malatyaspor,Elazigspor,3,0,H,0,0,D,1.36,4,7,1.33,4.25,7,1.35,4,7,1.33,4.33,7,1.36,4,7.5,1.4,3.6,7,1.55,2.2,1.9,1.8,-1.5
T1,02/11/03,Rizespor,Konyaspor,1,1,D,1,1,D,1.8,3.25,3.75,1.68,3.4,4.2,1.7,3.2,4.2,1.73,3.4,4,1.73,3.4,4.2,1.65,3.5,4.1,1.6,2.1,1.9,1.8,-0.75
T1,07/11/03,Trabzonspor,Bursaspor,2,0,H,0,0,D,1.36,4,7,1.45,3.75,5.55,1.4,3.9,6,1.5,3.6,5.5,1.44,3.75,6.5,1.5,3.5,5.5,1.55,2.2,1.86,1.88,-1
T1,08/11/03,Adanaspor,A. Sebatspor,1,2,A,0,1,A,1.83,3.5,3.5,1.8,3.25,3.6,1.85,3.3,3.4,1.909,3.4,3.25,1.9,3.4,3.3,2,3.3,3,1.65,2,1.78,1.96,-0.5
T1,08/11/03,Konyaspor,Samsunspor,0,0,D,0,0,D,1.9,3.5,3.2,1.95,3.2,3.2,2,3.2,3.1,2,3.4,3,1.9,3.4,3.4,2,3.3,3,1.6,2.1,1.92,1.83,-0.5
T1,09/11/03,Diyarbakirspor,Malatyaspor,2,0,H,2,0,H,2.37,3.4,2.5,2.4,3,2.55,2.3,3,2.7,2.4,3.4,2.4,2.4,3.2,2.6,2.4,3.1,2.5,1.55,2.2,1.83,1.92,0
T1,09/11/03,Elazigspor,Istanbulspor,1,1,D,1,1,D,2.75,3.2,2.25,2.75,3.1,2.2,3,3.3,2,2.8,3.4,2.1,2.8,3.3,2.2,2.8,3.3,2.1,1.65,2,1.83,1.92,0.25
T1,09/11/03,Galatasaray,Ankaragucu,2,1,H,1,1,D,1.2,5.5,11,1.17,5.25,10,1.25,4.5,9,1.2,5.5,9,1.22,5,10,1.14,6,12,1.56,2.1,,,
T1,09/11/03,Gaziantepspor,Denizlispor,1,2,A,1,0,H,1.8,3.25,3.75,1.8,3.2,3.7,1.85,3.2,3.5,1.667,3.6,4,1.72,3.4,4.2,1.72,3.5,3.75,1.71,1.95,1.78,1.96,-0.5
T1,09/11/03,Genclerbirligi,Besiktas,1,2,A,0,2,A,3.75,3.25,1.8,3.4,3.25,1.85,3.4,3.2,1.9,3.5,3.5,1.8,3.75,3.4,1.8,3.6,3.4,1.8,1.6,2.1,1.92,1.83,0.5
T1,22/11/03,Ankaragucu,Genclerbirligi,2,3,A,1,2,A,2.5,3.25,2.37,2.45,3.05,2.45,2.4,3.2,2.4,2.4,3.25,2.5,2.7,3.2,2.3,3.2,3.1,2,1.55,2.2,1.85,1.85,0
T1,22/11/03,Besiktas,Konyaspor,1,1,D,1,1,D,1.14,6,12,1.15,6,11,1.2,5,10,1.1,7,13,1.18,5.5,12,1.22,5,9.5,1.45,2.45,,,
T1,22/11/03,Denizlispor,Galatasaray,2,1,H,1,1,D,4.33,3.4,1.66,3.85,3.4,1.7,4,3.2,1.75,4.33,3.4,1.67,4,3.25,1.8,3.6,3.4,1.8,1.65,2,1.75,1.95,0.75
T1,22/11/03,Malatyaspor,Gaziantepspor,0,0,D,0,0,D,1.8,3.25,3.75,1.77,3.2,3.75,1.75,3.2,4,1.83,3.4,3.5,1.85,3.25,3.75,1.85,3.2,3.5,1.65,2,1.75,1.95,-0.5
T1,23/11/03,Bursaspor,A. Sebatspor,1,1,D,1,0,H,1.66,3.4,4.33,1.6,3.5,4.4,1.65,3.3,4.4,1.62,3.6,4.5,1.67,3.4,4.5,1.6,3.2,5,1.6,2.1,1.85,1.85,-0.75
