Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA
E0,22/08/06,Tottenham,Sheffield United,2,0,H,2,0,H,P Walton,18,6,13,3,5,9,6,4,0,1,0,0,1.5,3.75,7,1.4,4,7.4,1.45,3.75,8,1.55,3.4,5.8,1.4,3.75,7,1.44,4,7.25,1.44,3.75,6,1.5,3.6,6.5,1.45,3.8,7.5,46,1.51,1.44,4.1,3.82,8.6,7.22,34,2.05,1.95,1.93,1.79,22,-1,1.85,1.82,2.1,2.02
E0,22/08/06,Watford,West Ham,1,1,D,0,0,D,M Atkinson,11,8,4,4,12,12,5,1,0,0,0,0,2.87,3.2,2.4,2.55,3.1,2.6,2.7,3.25,2.5,2.5,3.2,2.5,2.6,3.2,2.37,2.6,3.2,2.6,2.5,3.1,2.5,2.6,3.2,2.5,2.75,3.25,2.4,45,2.88,2.66,3.3,3.21,2.7,2.46,34,2.1,1.99,1.85,1.75,22,0,2.05,1.97,1.93,1.8
E0,23/08/06,Aston Villa,Reading,2,1,H,1,1,D,L Mason,11,5,6,3,9,6,2,7,2,1,0,1,1.9,3.25,4,1.75,3.3,4.4,1.9,3.3,4,1.9,3.2,3.6,1.72,3.2,4.33,1.83,3.3,4.33,1.83,3.2,3.75,1.8,3.2,4.33,1.84,3.25,4,44,2,1.89,3.35,3.25,4.33,3.88,32,2.18,2.04,1.85,1.73,18,-0.5,2.05,2.02,1.88,1.85
E0,23/08/06,Blackburn,Everton,1,1,D,0,0,D,U Rennie,10,10,5,4,22,20,5,3,4,3,0,0,2.3,3.1,3.1,2.15,3.1,3.2,2.2,3.2,3.2,2.2,3.1,3,2.1,3.2,3,2.2,3.2,3.2,2.1,3.2,3,2.1,3.2,3.2,2.25,3.25,3,44,2.35,2.22,3.3,3.2,3.3,3.03,32,2.3,2.11,1.75,1.66,19,-0.25,2.07,2.04,1.86,1.84
E0,23/08/06,Charlton,Man United,0,3,A,0,0,D,C Foy,8,21,2,11,14,11,4,11,1,1,0,0,7.5,3.6,1.5,6.25,3.4,1.55,7,3.6,1.52,4.8,3.6,1.6,5,3.5,1.57,7,3.5,1.53,5.5,3.3,1.57,6,3.4,1.57,6.5,3.6,1.53,44,7.5,6.37,3.9,3.57,1.91,1.56,32,1.95,1.88,1.98,1.87,19,1,1.9,1.83,2.08,2
E0,23/08/06,Fulham,Bolton,1,1,D,0,0,D,A Wiley,11,4,4,1,9,16,1,6,0,2,0,0,2.4,3.2,2.87,2.25,3.1,3,2.4,3.15,2.9,2.4,3.1,2.7,2.25,3.2,2.75,2.4,3.25,2.8,2.3,3.1,2.75,2.25,3.25,2.88,2.5,3.25,2.65,44,2.55,2.4,3.3,3.2,3,2.74,32,2.2,2.07,1.8,1.68,19,0,1.8,1.75,2.15,2.04
E0,23/08/06,Man City,Portsmouth,0,0,D,0,0,D,D Gallagher,6,3,3,1,15,13,8,0,2,1,0,0,2.2,3.1,3.1,1.95,3.1,3.75,2.15,3.2,3.3,2.2,3.1,3,2.25,3.2,2.75,2.1,3.2,3.4,2,3.1,3.3,2,3.25,3.4,2.1,3.25,3.3,43,2.25,2.14,3.3,3.21,3.55,3.18,32,2.15,2.01,1.84,1.73,19,-0.25,1.88,1.84,2.06,2.03
E0,23/08/06,Middlesbrough,Chelsea,2,1,H,0,1,A,H Webb,9,8,2,5,15,7,3,3,2,2,0,0,8.5,3.75,1.44,7,3.75,1.45,8,3.75,1.45,6.3,3.5,1.5,6,3.75,1.44,8.5,4,1.4,6,3.75,1.44,7,3.75,1.44,7.5,3.8,1.45,43,9,7.56,4.05,3.77,1.8,1.46,31,2.05,1.92,1.9,1.82,19,1.25,1.9,1.86,2.06,2.01
E0,26/08/06,Charlton,Bolton,2,0,H,0,0,D,M Dean,9,7,5,2,11,17,6,5,1,4,1,1,2.5,3.1,2.8,2.3,3.1,2.9,2.45,3.2,2.75,2.4,3.1,2.7,2.37,3.2,2.6,2.4,3.2,2.7,2.37,3.1,2.62,2.38,3.2,2.75,2.4,3.25,2.75,46,2.7,2.46,3.35,3.19,2.9,2.7,36,2.32,2.13,1.75,1.65,22,0,2.02,1.85,2.02,1.92
E0,26/08/06,Fulham,Sheffield United,1,0,H,1,0,H,G Poll,10,9,5,1,17,17,9,5,3,3,0,0,1.9,3.25,4,1.9,3.15,3.9,1.9,3.3,4,2,3.2,3.3,1.8,3.3,3.75,1.91,3.25,3.75,1.9,3.1,3.6,1.91,3.25,3.75,1.85,3.4,4,46,2.02,1.89,3.45,3.28,4.5,3.9,36,2.32,2.11,1.75,1.66,23,-0.5,2.02,1.95,1.95,1.9
E0,26/08/06,Liverpool,West Ham,2,1,H,2,1,H,A Wiley,19,8,8,3,15,6,6,1,1,0,0,0,1.44,4,7.5,1.35,4.25,8,1.4,4.25,7.5,1.45,3.7,6.5,1.44,3.75,6,1.4,4,7.5,1.4,3.6,7.5,1.4,4,7.5,1.45,3.8,7.5,47,1.46,1.41,4.75,4.1,10,7.65,39,2.02,1.91,1.91,1.83,24,-1.25,2.1,2.03,1.88,1.84
E0,26/08/06,Man City,Arsenal,1,0,H,1,0,H,U Rennie,10,17,3,6,16,8,2,8,1,1,0,0,5.5,3.6,1.61,4.9,3.4,1.65,4.9,3.5,1.7,4.2,3.3,1.75,4.5,3.3,1.66,4.75,3.5,1.67,4.5,3.1,1.72,5,3.5,1.62,5,3.4,1.7,46,5.8,5.14,3.7,3.49,1.8,1.67,38,2.02,1.94,1.9,1.8,23,0.75,2.03,1.95,2,1.9
E0,26/08/06,Tottenham,Everton,0,2,A,0,0,D,M Halsey,15,6,6,2,9,12,7,2,1,1,0,1,1.72,3.4,5,1.7,3.3,4.8,1.75,3.4,4.7,1.7,3.3,4.5,1.66,3.3,4.5,1.67,3.4,4.75,1.66,3.3,4.5,1.73,3.4,4.33,1.65,3.5,5,46,1.8,1.7,3.55,3.39,5.5,4.79,37,2.19,2.04,1.82,1.73,23,-0.75,1.98,1.92,2,1.95
E0,26/08/06,Watford,Man United,1,2,A,1,1,D,P Dowd,8,19,7,10,20,14,4,7,1,1,0,0,7.5,4.33,1.4,7.2,4,1.4,7.5,4.25,1.4,6.5,3.7,1.45,7,3.75,1.4,8,4.2,1.36,7.5,3.6,1.4,7.5,4,1.4,8,4.35,1.35,46,10,8.01,4.6,4.16,2.05,1.4,37,1.83,1.74,2.16,2.01,24,1.25,2.03,1.97,1.98,1.9
E0,26/08/06,Wigan,Reading,1,0,H,1,0,H,M Riley,15,5,5,3,12,14,4,10,2,2,0,0,1.9,3.25,4,1.9,3.15,3.9,2,3.3,3.6,2,3.2,3.3,1.83,3.2,3.75,1.95,3.2,3.6,2,3.1,3.3,2,3.25,3.4,1.9,3.25,4,46,2.18,1.98,3.4,3.25,4,3.58,36,2.2,2.04,1.83,1.73,25,-0.5,2.12,2.06,1.83,1.79
E0,27/08/06,Aston Villa,Newcastle,2,0,H,2,0,H,H Webb,9,8,7,5,14,12,2,3,2,2,0,0,2.37,3.1,3,2.3,3.1,2.9,2.35,3.25,2.9,2.3,3.1,2.8,2.2,3.2,2.8,2.3,3.1,2.9,2.2,3.1,2.87,2.25,3.25,2.88,2.25,3.3,3,44,2.45,2.33,3.3,3.21,3.1,2.87,34,2.26,2.07,1.75,1.7,24,0,1.8,1.71,2.15,2.05
E0,27/08/06,Blackburn,Chelsea,0,2,A,0,0,D,M Clattenburg,12,14,3,8,10,15,7,3,3,1,0,0,6.5,3.6,1.53,6.5,3.6,1.5,7,3.75,1.5,6.3,3.5,1.5,5,3.5,1.57,6,3.75,1.5,5.5,3.5,1.53,7,3.5,1.5,6.5,3.75,1.5,47,7.02,6.62,4,3.65,1.77,1.52,36,2.17,1.99,1.83,1.76,24,1,1.99,1.89,2,1.93
E0,28/08/06,Middlesbrough,Portsmouth,0,4,A,0,1,A,C Foy,19,10,8,7,15,9,8,6,2,1,0,0,2,3.2,3.75,2,3.15,3.5,2.1,3.3,3.3,2.2,3.1,3,2.1,3.2,3,2,3.2,3.5,2.1,3.2,3,2.2,3.2,3,2,3.25,3.5,45,2.2,2.05,3.45,3.24,3.75,3.39,40,2.2,2.06,1.75,1.69,25,-0.25,1.86,1.8,2.1,2.06
E0,09/09/06,Arsenal,Middlesbrough,1,1,D,0,1,A,R Styles,20,1,12,1,5,17,15,0,1,6,0,1,1.33,4.33,10,1.3,4.5,9,1.3,4.75,11,1.35,4.2,7.5,1.36,3.75,8,1.3,4.5,9,1.3,4.33,8,1.29,4.5,10,1.28,5,9.5,44,1.4,1.31,5,4.48,12.15,9.84,31,1.77,1.7,2.2,2.01,18,-1.5,2,1.94,1.94,1.9
E0,09/09/06,Bolton,Watford,1,0,H,0,0,D,M Clattenburg,7,15,2,6,13,15,6,6,3,1,0,0,1.66,3.4,5.5,1.6,3.4,5.4,1.65,3.3,6,1.7,3.4,4.3,1.61,3.25,5,1.62,3.5,5.2,1.57,3.3,5.5,1.57,3.4,6,1.55,3.5,6,44,1.72,1.64,3.65,3.44,6,5.24,31,2.22,2.03,1.8,1.72,18,-0.75,1.88,1.84,2.1,2.04
E0,09/09/06,Chelsea,Charlton,2,1,H,1,0,H,A Wiley,19,3,6,2,12,7,6,3,2,1,0,0,1.2,5.5,17,1.15,6.5,13,1.15,6.5,17,1.2,5.2,11,1.2,5,11,1.15,6,15,1.16,5.5,12,1.17,6,13,1.17,7,11,44,1.22,1.17,7,6.02,19.8,14.77,31,1.74,1.66,2.15,2.07,17,-1.75,2,1.94,2,1.93
E0,09/09/06,Everton,Liverpool,3,0,H,2,0,H,G Poll,8,21,6,5,22,13,2,11,1,3,0,0,3.75,3.2,2,3.9,3.15,1.9,3.6,3.2,2.05,3.4,3.1,2,3.2,3,2.1,3.6,3.25,1.95,3.3,3.1,2,3.4,3,2.1,3.5,3.25,2,45,4.07,3.64,3.34,3.19,2.2,2.01,35,2.3,2.15,1.74,1.63,22,0.5,1.86,1.79,2.17,2.08
E0,09/09/06,Man United,Tottenham,1,0,H,1,0,H,M Riley,10,9,5,4,12,17,5,4,2,2,0,0,1.5,3.75,7,1.45,3.8,6.7,1.5,3.75,7,1.5,3.8,5.5,1.44,3.6,6.5,1.44,3.75,7,1.5,3.4,6,1.5,3.5,7,1.45,3.75,7.5,45,1.55,1.48,4,3.73,8.65,6.82,35,2.05,1.91,1.94,1.82,21,-1,2,1.92,1.98,1.92
E0,09/09/06,Newcastle,Fulham,1,2,A,0,0,D,C Foy,15,8,7,5,16,12,4,7,1,1,0,0,1.72,3.4,5,1.65,3.45,4.8,1.7,3.4,5,1.75,3.3,4.2,1.61,3.25,5,1.67,3.4,4.75,1.61,3.3,5,1.8,3.2,4.33,1.65,3.5,5,44,1.8,1.7,3.55,3.4,5.5,4.75,32,2.1,1.97,1.84,1.77,18,-0.75,2.05,2.03,1.88,1.85
E0,09/09/06,Portsmouth,Wigan,1,0,H,0,0,D,P Walton,9,11,7,5,14,5,6,9,0,1,0,0,1.83,3.25,4.5,1.8,3.2,4.4,1.8,3.3,4.5,1.8,3.2,4,1.8,3.2,4,1.85,3.25,4,1.66,3.3,4.5,1.67,3.25,5,1.85,3.25,4.35,44,1.9,1.82,3.45,3.28,5,4.22,31,2.18,2.03,1.82,1.72,18,-0.5,1.94,1.88,2.05,2
E0,09/09/06,Sheffield United,Blackburn,0,0,D,0,0,D,M Dean,14,12,9,1,12,11,7,6,2,2,0,0,2.62,3.2,2.62,2.5,3.15,2.6,2.6,3.2,2.6,2.5,3.1,2.6,2.6,3.2,2.37,2.6,3.2,2.5,2.62,3.1,2.37,2.5,3.2,2.6,2.5,3.25,2.65,44,2.75,2.6,3.3,3.17,2.8,2.56,31,2.2,2.1,1.72,1.65,19,0,2.05,1.92,1.95,1.87
E0,10/09/06,West Ham,Aston Villa,1,1,D,0,1,A,S Bennett,7,10,1,6,15,9,3,5,2,2,0,0,2.1,3.2,3.5,2.1,3.2,3.25,2.1,3.2,3.4,2.1,3.1,3.2,2,3.2,3.2,2.1,3.2,3.2,2.05,3.2,3.1,2.1,3.2,3.2,2.1,3.4,3.1,44,2.2,2.09,3.4,3.23,3.75,3.29,34,2.2,2.02,1.8,1.71,22,-0.25,1.81,1.79,2.18,2.1
E0,11/09/06,Reading,Man City,1,0,H,1,0,H,H Webb,12,15,7,8,6,16,6,4,0,4,0,1,2.3,3.1,3.1,2.25,3.15,2.95,2.35,3.2,2.9,2.3,3.1,2.8,2.2,3.25,2.75,2.3,3.2,2.85,2.3,3.1,2.75,2.38,3.2,2.75,2.4,3.2,2.8,44,2.5,2.34,3.3,3.21,3.1,2.85,30,2.2,2.05,1.75,1.68,19,0,1.8,1.71,2.3,2.09
E0,16/09/06,Bolton,Middlesbrough,0,0,D,0,0,D,S Bennett,13,14,3,7,7,19,9,4,0,1,0,0,2,3.2,3.75,2.05,3.15,3.35,2,3.25,3.65,2.1,3.1,3.2,1.83,3.2,3.75,2,3.2,3.5,1.9,3.2,3.5,2,3.25,3.4,1.85,3.4,4,46,2.1,2,3.4,3.24,4,3.53,34,2.25,2.12,1.75,1.63,21,-0.5,2.05,2.01,1.88,1.83
E0,16/09/06,Charlton,Portsmouth,0,1,A,0,0,D,P Dowd,18,12,5,5,6,10,9,4,0,2,0,0,2.3,3.25,3,2.45,3.15,2.65,2.4,3.2,2.85,2.5,3.1,2.6,2.6,3.1,2.4,2.4,3.2,2.7,2.5,3.1,2.5,2.38,3.2,2.75,2.5,3.25,2.65,46,2.5,2.43,3.3,3.2,3,2.75,35,2.2,2.06,1.8,1.66,21,0,1.84,1.78,2.09,2
E0,16/09/06,Everton,Wigan,2,2,D,0,0,D,A Wiley,14,10,9,7,14,23,4,2,1,5,0,0,1.72,3.4,5,1.6,3.5,5.25,1.7,3.4,5,1.6,3.6,4.8,1.67,3.3,4.5,1.65,3.4,5,1.66,3.3,4.5,1.62,3.5,5,1.6,3.5,5.5,46,1.77,1.67,3.65,3.44,5.5,4.9,34,2.15,2.07,1.75,1.66,19,-0.75,1.94,1.91,1.99,1.95
E0,16/09/06,Sheffield United,Reading,1,2,A,0,2,A,A Marriner,14,8,7,2,12,6,8,7,2,1,0,0,2.5,3.1,2.8,2.35,3.15,2.8,2.35,3.2,2.95,2.3,3.1,2.8,2.25,3.2,2.75,2.38,3.2,2.75,2.25,3.2,2.75,2.25,3.25,2.88,2.25,3.25,3,46,2.55,2.37,3.32,3.2,3.05,2.81,34,2.25,2.15,1.7,1.61,21,0,1.88,1.75,2.1,2.02
E0,16/09/06,Watford,Aston Villa,0,0,D,0,0,D,M Dean,12,9,5,4,12,10,7,1,1,0,0,0,2.75,3.2,2.5,2.75,3.15,2.4,2.8,3.2,2.45,2.7,3.1,2.4,2.8,3.2,2.2,2.7,3.2,2.38,2.8,3.1,2.25,2.75,3.2,2.38,3,3.25,2.25,46,3,2.76,3.3,3.16,2.6,2.41,35,2.15,2.04,1.75,1.68,21,0,2.21,2.06,1.82,1.73
E0,17/09/06,Blackburn,Man City,4,2,H,2,2,D,M Atkinson,11,15,5,8,11,11,4,3,2,3,0,0,2,3.2,3.75,2,3.15,3.55,2.05,3.2,3.6,2.1,3.1,3.2,1.91,3.2,3.5,2,3.2,3.5,2.1,3.1,3.1,2,3.25,3.4,2,3.25,3.5,47,2.15,2.05,3.35,3.22,3.75,3.41,34,2.25,2.14,1.7,1.61,21,0,1.6,1.51,2.52,2.39
E0,17/09/06,Chelsea,Liverpool,1,0,H,1,0,H,M Riley,4,9,3,6,13,17,1,3,3,2,1,0,1.83,3.25,4.5,1.7,3.2,5,1.8,3.3,4.5,1.75,3.3,4.2,1.67,3.3,4.5,1.73,3.2,4.8,1.72,3.1,4.5,1.8,3.2,4.33,1.73,3.4,4.5,47,1.85,1.77,3.4,3.24,5.5,4.61,35,2.3,2.17,1.7,1.6,19,-0.5,1.83,1.8,2.12,2.07
E0,17/09/06,Man United,Arsenal,0,1,A,0,0,D,G Poll,17,14,9,7,11,11,10,5,2,2,0,0,1.9,3.25,4,1.8,3.2,4.25,1.85,3.25,4.15,1.9,3.2,3.6,1.73,3.2,4.33,1.91,3.25,3.75,1.83,3,4,1.83,3.25,4,1.85,3.2,4.35,47,2.07,1.9,3.4,3.24,4.62,3.99,35,2.2,2.09,1.75,1.65,20,-0.5,2.06,1.98,1.88,1.86
E0,17/09/06,Tottenham,Fulham,0,0,D,0,0,D,M Clattenburg,18,8,8,3,11,20,12,2,2,2,0,0,1.61,3.4,6,1.55,3.55,5.8,1.6,3.45,6,1.65,3.5,4.5,1.67,3.3,4.5,1.57,3.5,5.5,1.61,3.3,5,1.57,3.5,5.5,1.6,3.5,5.5,47,1.65,1.6,3.7,3.46,7.5,5.64,34,2.15,2.02,1.8,1.72,19,-0.75,1.84,1.8,2.12,2.07
E0,17/09/06,West Ham,Newcastle,0,2,A,0,0,D,R Styles,10,16,7,9,11,11,5,6,3,3,0,0,2.1,3.2,3.5,2.1,3.15,3.25,2.05,3.25,3.5,2,3.2,3.3,1.83,3.2,3.75,2,3.25,3.4,1.9,3.2,3.5,2.1,3.2,3.2,2,3.25,3.6,47,2.2,2.08,3.35,3.23,3.6,3.33,35,2.11,1.97,1.84,1.75,21,0,1.56,1.51,2.7,2.4
E0,20/09/06,Liverpool,Newcastle,2,0,H,1,0,H,M Halsey,22,11,11,6,12,13,8,6,1,1,0,0,1.53,3.6,6.5,1.5,3.6,6.4,1.5,3.6,7,1.5,3.8,5.5,1.44,3.6,6.5,1.53,3.6,6,1.5,3.4,6,1.53,3.6,6,1.5,3.75,7,42,1.55,1.51,3.85,3.63,8,6.51,31,2.21,2,1.8,1.73,20,-1,1.98,1.94,1.95,1.88
E0,23/09/06,Arsenal,Sheffield United,3,0,H,0,0,D,A Wiley,14,5,11,4,11,8,7,2,2,1,0,0,1.2,5.5,17,1.16,6,14,1.2,6,13,1.2,5.2,11,1.2,5,11,1.18,6,11,1.2,5,11,1.2,5.5,12,1.2,6,12,39,1.25,1.19,6.6,5.67,20.7,14.19,29,1.75,1.65,2.25,2.09,15,-1.75,1.86,1.82,2.12,2.06
E0,23/09/06,Aston Villa,Charlton,2,0,H,1,0,H,M Riley,12,8,5,3,10,14,4,4,0,1,0,0,1.8,3.4,4.33,1.65,3.4,4.9,1.75,3.4,4.75,1.7,3.4,4.3,1.57,3.5,5,1.73,3.4,4.33,1.61,3.3,5,1.62,3.5,5,1.6,3.5,5.5,39,1.8,1.72,3.5,3.38,5.5,4.74,29,2.15,2.02,1.78,1.7,15,-0.75,2.05,2.02,1.91,1.85
E0,23/09/06,Fulham,Chelsea,0,2,A,0,0,D,M Halsey,7,13,4,5,19,9,5,7,2,1,0,0,7.5,4.33,1.4,8,4.25,1.35,8,4.1,1.4,6.5,4,1.4,6.5,3.6,1.44,7,4.2,1.4,7,4,1.36,7,3.75,1.44,8,4,1.4,39,8.75,7.64,4.5,4.1,1.45,1.4,28,2.06,1.95,1.88,1.78,16,1,2.22,2.1,1.8,1.77
E0,23/09/06,Liverpool,Tottenham,3,0,H,0,0,D,H Webb,14,5,6,1,12,9,6,0,1,0,0,0,1.61,3.75,5.25,1.55,3.45,6,1.6,3.65,5.5,1.65,3.5,4.5,1.57,3.5,5,1.57,3.5,5.5,1.57,3.3,5.5,1.67,3.25,5,1.6,3.5,5.5,33,1.66,1.62,3.98,3.56,6.85,5.42,27,2.25,2.11,1.71,1.63,15,-0.75,1.87,1.84,2.11,2.04
E0,23/09/06,Man City,West Ham,2,0,H,0,0,D,C Foy,17,4,8,0,12,15,4,6,0,0,0,0,2.25,3.2,3.1,2.15,3.15,3.15,2.25,3.2,3.15,2.2,3.1,3,2.25,3.2,2.75,2.2,3.2,3,2.15,3.2,2.87,2.2,3.2,3,2.25,3.25,3,39,2.38,2.23,3.3,3.22,3.3,3.06,29,2.2,2.05,1.78,1.67,17,0,1.69,1.61,2.37,2.18
E0,23/09/06,Middlesbrough,Blackburn,0,1,A,0,1,A,G Poll,13,13,7,7,14,17,6,7,1,3,0,0,2.1,3.1,3.5,2,3.15,3.55,2.1,3.2,3.5,2.1,3.1,3.2,2.1,3,3.2,2.05,3.25,3.3,2.1,3.1,3.1,2.1,3.2,3.2,2.1,3.25,3.4,38,2.25,2.1,3.32,3.2,3.5,3.35,29,2.2,2.05,1.75,1.67,17,0,1.6,1.56,2.35,2.27
E0,23/09/06,Reading,Man United,1,1,D,0,0,D,P Walton,3,18,1,8,6,10,2,6,0,0,0,0,7,3.75,1.5,6.4,3.6,1.5,7,3.7,1.5,5.5,3.8,1.5,5.5,3.5,1.53,7,3.75,1.44,6,3.75,1.44,6,3.6,1.53,6.5,3.6,1.53,40,7,6.6,4,3.71,1.55,1.5,30,1.91,1.82,2.05,1.89,17,1,1.93,1.85,2.04,1.98
E0,23/09/06,Wigan,Watford,1,1,D,1,0,H,R Styles,8,10,4,4,15,15,4,3,2,2,0,0,1.83,3.3,4.33,1.8,3.25,4.25,1.8,3.3,4.5,1.75,3.3,4.2,1.72,3.2,4.33,1.85,3.25,4,1.7,3.2,4.5,1.91,3.25,3.75,1.75,3.4,4.5,39,1.91,1.81,3.45,3.3,4.75,4.26,30,2.2,2.05,1.75,1.67,16,-0.5,1.95,1.93,1.98,1.95
E0,24/09/06,Newcastle,Everton,1,1,D,1,1,D,S Bennett,21,12,13,5,12,18,9,6,2,4,1,1,2.2,3.2,3.25,2.2,3.2,3,2.2,3.2,3.2,2.2,3.1,3,2.1,3.2,3,2.1,3.2,3.2,2.15,3.1,3,2.2,3.2,3,2.2,3.25,3.1,39,2.3,2.2,3.3,3.21,3.4,3.14,30,2.25,2.03,1.75,1.68,17,0,1.65,1.6,2.3,2.19
E0,25/09/06,Portsmouth,Bolton,0,1,A,0,1,A,U Rennie,13,4,5,3,8,13,11,2,2,2,0,0,1.9,3.25,4,1.85,3.3,3.9,1.9,3.3,4,1.9,3.2,3.6,1.83,3.2,3.75,1.91,3.25,3.75,1.8,3.1,4,1.91,3.25,3.75,1.85,3.4,4,38,2.1,1.95,3.4,3.25,4,3.76,29,2.35,2.15,1.67,1.61,16,-0.5,2.11,2.08,1.83,1.81
