Player,Club,POS,GP,GS,A,GWA,HmA,RdA,A/90min
Ramiro Corrales,MET,M,22,15,2,0,1,1,0.12
John Maessner,DC,M-D,24,17,2,1,0,2,0.12
Bobby Convey,DC,M,22,18,2,0,2,0,0.11
Ricardo Iribarren,DAL,D,22,21,2,0,2,0,0.11
Ansil Elcock,CLB,D,19,18,2,0,2,0,0.11
Eddie Pope,DC,D,21,21,2,1,1,1,0.1
Harut Karapetyan,SJ,F,24,22,2,0,2,0,0.1
John Doyle,SJ,D,20,20,2,1,1,1,0.1
Tyrone Marshall,MIA,D,23,21,2,1,1,1,0.1
Raul Diaz Arce,DC,F,23,21,2,0,2,0,0.1
Jason Bent,COL,M,21,21,2,1,1,1,0.09
Ted Eck,DAL,M-F,29,22,2,1,1,1,0.09
Mike Burns,NE,M,26,20,2,1,2,0,0.09
Ted Chronopoulos,NE,D,25,25,2,0,0,2,0.08
Jimmy Conrad,SJ,D,26,25,2,0,2,0,0.08
Richie Williams,DC,M,29,27,2,1,2,0,0.07
Leonel Alvarez,NE,M,28,28,2,1,1,1,0.07
Steve Jolley,LA,D,28,27,2,0,1,1,0.07
Greg Vanney,LA,D,27,27,2,2,1,1,0.07
Joe Franchino,LA,M,30,29,2,0,1,1,0.07
Chris Martinez,COL,D,30,30,2,0,2,0,0.07
Eric Dade,DAL,D,31,30,2,0,1,1,0.07
Rob Smith,CLB,M,1,1,1,0,0,1,2.31
Paul Keegan,NE,F,11,0,1,0,1,0,1.08
Micah Cooks,DC,M-D,5,2,1,0,1,0,0.55
Shaker Asad,NE,M,8,2,1,0,0,1,0.37
Giovanni Savarese,SJ,F,4,4,1,0,1,0,0.3
Vicente Figueroa,KC,D,8,3,1,0,1,0,0.28
Roland Aguilera,CLB,M,16,3,1,0,1,0,0.2
John Wolyniec,CHI,F,15,1,1,0,1,0,0.2
Jeff Bilyk,MIA,M,9,7,1,0,0,1,0.15
Travis Mulraine,SJ,M,15,7,1,0,0,1,0.14
Judah Cooks,DC,M,15,7,1,0,1,0,0.14
Francisco Gomez,KC,M,14,7,1,0,0,1,0.13
Ross Paule,COL,M,16,6,1,0,0,1,0.11
Ronald Cerritos,SJ,F,9,9,1,0,1,0,0.11
Kalin Bankov,TB,M,18,9,1,0,1,0,0.1
Miles Joseph,CLB,M,23,10,1,0,1,0,0.1
Antonio Otero,DC,M,13,10,1,0,0,1,0.09
Justin Evans,CHI,M,15,11,1,1,1,0,0.09
Peter Vagenas,LA,M,16,12,1,1,1,0,0.09
Eric Denton,DC,D,16,12,1,0,0,1,0.08
Chris Brown,KC,M-F,22,10,1,0,0,1,0.08
Jorge Dely Valdes,COL,F,20,13,1,1,1,0,0.07
Miklos Molnar,KC,F,17,16,1,0,1,0,0.07
Steve Shak,MET,D,23,14,1,0,0,1,0.06
John DeBrito,CLB,D,20,17,1,0,1,0,0.06
Danny Califf,LA,D,18,16,1,0,0,1,0.06
Mauricio Solis,SJ,M,18,17,1,0,1,0,0.06
Dan Calichman,NE,D,20,20,1,1,0,1,0.05
Billy Walsh,MET,M,24,19,1,1,0,1,0.05
Ivan McKinley,MIA,D-M,23,22,1,0,0,1,0.05
Mike Lapper,CLB,D,24,20,1,1,1,0,0.05
Lance Key,COL,D,21,21,1,1,1,0,0.05
Leo Cullen,MIA,M,22,22,1,0,1,0,0.05
Carlos Llamosa,DC,D,23,20,1,0,0,1,0.05
Ryan Tinsley,SJ,D,25,23,1,1,0,1,0.04
Richard Farrer,DAL,D,28,20,1,0,1,0,0.04
Scott Vermillion,COL,D,28,25,1,0,0,1,0.04
Carlos Bocanegra,CHI,D,27,27,1,0,1,0,0.04
Mauricio Wright,NE,D,26,26,1,0,0,1,0.04
Carey Talley,DC,D,29,28,1,0,0,1,0.04
C.J. Brown,CHI,D,27,27,1,1,0,1,0.04
Pablo Mastroeni,MIA,M,29,29,1,0,1,0,0.03
Mike Petke,MET,D,30,29,1,0,1,0,0.03
Steve Trittschuh,TB,D,32,32,1,1,0,1,0.03
Joseph Addo,TB,D,32,32,1,0,1,0,0.03
Alijohn Utush,COL,D,0,0,0,0,0,0,0.0
Tim Weaver,SJ,D,0,0,0,0,0,0,0.0
Christoff Lindenmayer,CLB,M-F,0,0,0,0,0,0,0.0
Mario Longo,CLB,M,0,0,0,0,0,0,0.0
O'Neil Peart,MET,F,0,0,0,0,0,0,0.0
Clint Peay,DC,D,0,0,0,0,0,0,0.0
Michael Green,KC,D,0,0,0,0,0,0,0.0
Ernest Inneh,TB,F,0,0,0,0,0,0,0.0
Gerard Lagos,TB,F,0,0,0,0,0,0,0.0
Steve Bernal,DAL,D,0,0,0,0,0,0,0.0
Ubusuku Abukusumo,TB,D,0,0,0,0,0,0,0.0
Alan Woods,COL,D,1,0,0,0,0,0,0.0
Keith Beach,MIA,M,1,0,0,0,0,0,0.0
Ryan Edwards,SJ,F,1,0,0,0,0,0,0.0
Sheldon Thomas,LA,F,1,0,0,0,0,0,0.0
Sergio Salas,DC,F,1,0,0,0,0,0,0.0
Angel Rivillo,DAL,M-F,1,0,0,0,0,0,0.0
Seth Trembly,COL,M-D,4,0,0,0,0,0,0.0
Brian Haynes,DAL,M,1,0,0,0,0,0,0.0
Nino Da Silva,MET,F,3,0,0,0,0,0,0.0
Mike Slivinski,DC,M,2,0,0,0,0,0,0.0
Fabio Zuniga,NE,F,1,1,0,0,0,0,0.0
Julian Gomez,MET,M,3,0,0,0,0,0,0.0
Kirk Wilson,DAL,M,1,1,0,0,0,0,0.0
Amos Magee,TB,F,7,0,0,0,0,0,0.0
Yuri Lavrinenko,CHI,M,3,1,0,0,0,0,0.0
Chris Houser,TB,D,3,0,0,0,0,0,0.0
Craig Waibel,COL,D,2,0,0,0,0,0,0.0
Ihor Dotsenko,KC,F,2,2,0,0,0,0,0.0
Maurizio Rocha,MIA,M,2,1,0,0,0,0,0.0
Tenywa Bonseu,CHI,D,2,1,0,0,0,0,0.0
John Wilson,KC,D,3,1,0,0,0,0,0.0
Kyle Beckerman,RSL,M,2,1,0,0,0,0,0.0
Danny DeVall,COL,M,2,1,0,0,0,0,0.0
Gabe Eastman,SJ,D,2,1,0,0,0,0,0.0
Dominic Schell,CLB,M-D,7,1,0,0,0,0,0.0
Manuel Bucuane,TB,F,6,1,0,0,0,0,0.0
Jeremy Aldrich,MIA,D,4,1,0,0,0,0,0.0
Eduardo Hurtado,NE,F,3,1,0,0,0,0,0.0
Wade Barrett,SJ,D,3,2,0,0,0,0,0.0
Matt Chulis,CLB,D,6,2,0,0,0,0,0.0
Tahj Jakins,COL,D,3,2,0,0,0,0,0.0
Chris Jahr,CHI,D,2,2,0,0,0,0,0.0
Marvin Quijano,LA,F,5,1,0,0,0,0,0.0
Jeff DiMaria,COL,F,4,2,0,0,0,0,0.0
Dahir Mohammed,MET,D,3,1,0,0,0,0,0.0
Ray Goodlett,DC,D,4,3,0,0,0,0,0.0
Adam Frye,LA,D,6,3,0,0,0,0,0.0
Jorge Salcedo,LA,M,5,3,0,0,0,0,0.0
Alex Bunbury,KC,F,5,3,0,0,0,0,0.0
Esmundo Rodriguez,DAL,M,8,2,0,0,0,0,0.0
Steve Armas,CLB,M,4,4,0,0,0,0,0.0
Sam George,CHI,M,16,3,0,0,0,0,0.0
Mike Burke,DAL,F,9,4,0,0,0,0,0.0
Miroslaw Rzepa,CLB,M-D,5,4,0,0,0,0,0.0
Ivan Polic,LA,M,12,4,0,0,0,0,0.0
Mohammad Khakpour,MET,D,5,5,0,0,0,0,0.0
Uche Okafor,KC,D,14,2,0,0,0,0,0.0
David Hayes,DC,F,10,4,0,0,0,0,0.0
Carlos Parra,NE,M,14,4,0,0,0,0,0.0
Jose Luis Morales,NE,F,8,6,0,0,0,0,0.0
Seth George,LA,F,14,5,0,0,0,0,0.0
Wes Hart,COL,D-M,7,4,0,0,0,0,0.0
Scott Bower,SJ,M,12,5,0,0,0,0,0.0
Orlando Perez,MET,D,15,4,0,0,0,0,0.0
Keyeno Thomas,COL,M-D,12,5,0,0,0,0,0.0
Pete Marino,DC,F,15,5,0,0,0,0,0.0
Brian Kelly,LA,M,18,6,0,0,0,0,0.0
Tim Sahaydak,MIA,D,9,7,0,0,0,0,0.0
Mark Semioli,MET,D,16,7,0,0,0,0,0.0
Adam Eyre,NE,D,10,8,0,0,0,0,0.0
Brandon Pollard,DAL,D,15,9,0,0,0,0,0.0
Sebastien Vorbe,LA,M,19,10,0,0,0,0,0.0
Tom Soehn,CHI,D,19,11,0,0,0,0,0.0
Francis Okaroh,MIA,D,13,13,0,0,0,0,0.0
Danny Pena,LA,D,14,14,0,0,0,0,0.0
Wojtek Krakowiak,SJ,M,24,11,0,0,0,0,0.0
Andrew Lewis,CHI,M,19,17,0,0,0,0,0.0
Mario Gori,CLB,D,25,19,0,0,0,0,0.0
Chris Albright,DC,D,25,21,0,0,0,0,0.0
Brian Dunseth,NE,D,22,22,0,0,0,0,0.0
Todd Yeagley,CLB,M,25,24,0,0,0,0,0.0
Robin Fraser,LA,D,25,24,0,0,0,0,0.0
Rusty Pierce,NE,D,29,29,0,0,0,0,0.0
Brandon Prideaux,KC,D,31,31,0,0,0,0,0.0
Nick Garcia,KC,D,32,32,0,0,0,0,0.0
Stats Unavailable,nan,nan,nan,nan,nan,nan,nan,nan,nan
