Player,Club,POS,GP,GS,MINS,GA,GAA,PKG/A,W,L,T,ShO,W%
Josh Saunders,ORL,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Eric Kronberg,MTL,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Mark Pais,TOR,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Cody Mizell,COL,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Brad Stuver,NYC,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Lalo Fernandez,RSL,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Patrick McLain,MIN,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Ryan Meara,RBNY,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Andre Rawls,NYC,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Matt Turner,NE,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Eduardo Cortes,DAL,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Evan Louro,RBNY,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Eric Klenofsky,DC,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Stefan Cleveland,CHI,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Logan Ketterer,CLB,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Alex Kapp,MIN,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Kendall McIntosh,POR,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Matt Bersano,SJ,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
John Berner,COL,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Calle Brown,SEA,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Jacob Lissek,DAL,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Adrian Zendejas,SKC,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Mason Stajduhar,ORL,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Connor Sparrow,RSL,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Tyler Miller,LAFC,GK,1,1,90,3,3.0,0/0,1,0,0,0,100.0
Spencer Richey,VAN,GK,1,1,90,2,2.0,0/0,0,1,0,0,0.0
Earl Edwards Jr.,ORL,GK,1,1,90,6,6.0,0/0,0,1,0,0,0.0
Paolo Tornaghi,VAN,GK,1,0,65,3,3.0,0/0,0,1,0,0,0.0
Alexander Tambakis,ATL,GK,1,0,28,2,2.0,0/0,0,1,0,0,0.0
Eirik Johansen,NYC,GK,2,2,180,4,2.0,0/0,1,1,0,0,50.0
Richard Sanchez,CHI,GK,2,2,180,4,2.0,0/0,1,1,0,0,50.0
Kyle Reynish,ATL,GK,2,2,150,3,1.5,0/0,1,0,0,0,50.0
John Alvbage,MIN,GK,3,2,222,10,5.0,1/1,0,2,1,0,0.0
Maxime Crepeau,MTL,GK,3,3,270,8,2.67,1/2,0,3,0,0,0.0
Travis Worra,DC,GK,5,5,450,14,2.8,0/0,0,5,0,0,0.0
Chris Seitz,HOU,GK,5,5,450,8,1.6,2/3,3,2,0,0,60.0
Stats Unavailable,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
