Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,WHH,WHD,WHA
I2,17/11/00,Empoli,Siena,2,0,H,1,0,H,1.9,2.7,4.2,1.85,2.5,4.2,1.95,2.45,4.6
I2,19/11/00,Ancona,Genoa,1,0,H,1,0,H,2.2,2.6,3.5,1.9,2.5,3.8,2.2,2.45,3.6
I2,19/11/00,Cittadella,Treviso,2,2,D,1,1,D,2.05,2.5,4.1,1.85,2.5,4.2,2,2.55,4.1
I2,19/11/00,Cosenza,Salernitana,1,0,H,0,0,D,2,2.6,4,1.75,2.5,4.7,2,2.55,4.1
I2,19/11/00,Pistoiese,Pescara,1,0,H,0,0,D,2.15,2.55,3.7,2.2,2.3,3.5,2.15,2.5,3.65
I2,19/11/00,Ravenna,Ternana,2,2,D,1,1,D,2.65,2.55,2.75,2.6,2.3,2.8,2.45,2.5,3
I2,19/11/00,Sampdoria,Chievo,1,1,D,1,0,H,1.75,2.8,4.9,1.6,2.7,5.2,1.65,2.7,6.2
I2,19/11/00,Torino,Crotone,1,0,H,1,0,H,1.75,2.75,5,1.6,2.7,5.2,1.75,2.6,5.5
I2,19/11/00,Venezia,Cagliari,2,2,D,1,2,A,2.1,2.6,3.75,1.8,2.5,4.4,2.1,2.4,4.1
I2,20/11/00,Monza,Piacenza,1,1,D,0,0,D,2.75,2.55,2.65,2.6,2.5,2.6,2.95,2.4,2.6
I2,23/11/00,Genoa,Torino,2,1,H,1,1,D,,,,,,,,,
I2,26/11/00,Cagliari,Cittadella,3,0,H,3,0,H,1.55,3.1,6.6,1.5,2.7,6.8,1.5,2.95,7.5
I2,26/11/00,Chievo,Pescara,0,2,A,0,1,A,1.7,2.8,5.5,1.65,2.6,5.2,1.7,2.7,5.6
I2,26/11/00,Crotone,Empoli,3,1,H,1,1,D,2.15,2.6,3.65,2.1,2.5,3.3,2.1,2.6,3.6
I2,26/11/00,Piacenza,Ancona,1,1,D,1,0,H,1.67,2.9,5.8,1.55,2.7,6,1.6,2.8,6.5
I2,26/11/00,Siena,Monza,3,1,H,1,0,H,1.75,2.7,5.3,1.7,2.5,5,1.75,2.6,5.5
I2,26/11/00,Ternana,Venezia,3,1,H,1,0,H,2.4,2.6,3.2,2.4,2.3,3,2.45,2.45,3.1
I2,26/11/00,Treviso,Cosenza,1,1,D,0,0,D,2.5,2.5,3.2,2.4,2.3,3,2.4,2.5,3.1
I2,27/11/00,Ravenna,Sampdoria,0,0,D,0,0,D,3.2,2.6,2.35,3,2.4,2.3,3.15,2.65,2.25
I2,01/12/00,Pescara,Salernitana,2,2,D,1,0,H,2.25,2.6,3.3,2.1,2.4,3.4,2.15,2.5,3.65
I2,03/12/00,Ancona,Ternana,3,1,H,1,1,D,2.1,2.55,3.8,1.9,2.5,3.8,2.05,2.5,4
I2,03/12/00,Cittadella,Crotone,2,0,H,1,0,H,2.1,2.5,4,2.2,2.5,3.1,2.05,2.5,4
I2,03/12/00,Empoli,Cagliari,0,3,A,0,2,A,2.4,2.6,3.1,2.3,2.4,3,2.5,2.5,2.95
I2,03/12/00,Monza,Treviso,1,1,D,0,0,D,2.15,2.5,3.8,1.9,2.5,3.8,2.05,2.5,4
I2,03/12/00,Pistoiese,Genoa,3,3,D,2,1,H,2.2,2.5,3.7,2.2,2.5,3.1,2.15,2.5,3.65
I2,03/12/00,Sampdoria,Siena,1,1,D,0,0,D,1.5,3.2,6.5,1.45,3,6,1.5,3,7.25
I2,03/12/00,Torino,Ravenna,2,1,H,1,0,H,1.5,3,6.5,1.45,2.8,7,1.5,3,7.25
I2,03/12/00,Venezia,Piacenza,1,0,H,0,0,D,2,2.5,4.5,1.85,2.4,4.5,2,2.5,4.2
I2,04/12/00,Cosenza,Chievo,1,2,A,1,0,H,1.7,2.8,5.5,1.7,2.6,4.7,1.75,2.65,5.25
I2,08/12/00,Cagliari,Torino,0,1,A,0,1,A,1.75,2.8,5,1.75,2.6,4.5,1.65,2.7,6.2
I2,10/12/00,Chievo,Monza,5,1,H,3,1,H,1.61,2.9,5.9,1.5,2.9,5.8,1.55,3,6.3
I2,10/12/00,Crotone,Siena,2,2,D,1,1,D,2,2.65,4,1.9,2.5,3.8,1.85,2.6,4.7
I2,10/12/00,Piacenza,Genoa,2,1,H,1,0,H,1.85,2.75,4.4,1.8,2.5,4.5,1.75,2.65,5.2
I2,10/12/00,Pistoiese,Venezia,1,2,A,1,0,H,3.15,2.45,2.5,2.7,2.4,2.6,3.1,2.5,2.4
I2,10/12/00,Ravenna,Cittadella,0,0,D,0,0,D,2.3,2.6,3.2,2.2,2.4,3.3,2.2,2.5,3.5
I2,10/12/00,Salernitana,Empoli,0,0,D,0,0,D,1.85,2.7,4.6,1.7,2.7,4.5,1.7,2.7,5.5
I2,10/12/00,Ternana,Pescara,3,0,H,2,0,H,1.66,2.8,5.7,1.7,2.6,4.7,1.7,2.6,6
I2,10/12/00,Treviso,Ancona,0,0,D,0,0,D,2.25,2.55,3.35,2.3,2.4,3,2.2,2.45,3.65
I2,11/12/00,Sampdoria,Cosenza,1,0,H,1,0,H,1.85,2.65,4.7,1.8,2.4,4.7,1.75,2.6,5.5
I2,13/12/00,Salernitana,Pistoiese,1,0,H,1,0,H,1.75,2.9,4.8,1.75,2.7,4.2,,,
I2,15/12/00,Piacenza,Chievo,1,0,H,0,0,D,2,2.7,3.8,2,2.5,3.6,1.95,2.55,4.2
I2,17/12/00,Ancona,Cagliari,1,1,D,0,1,A,2.35,2.7,3,2.3,2.4,3,2.35,2.45,3.3
I2,17/12/00,Cosenza,Ternana,0,0,D,0,0,D,1.7,2.9,5.2,1.7,2.6,4.7,1.85,2.6,4.7
I2,17/12/00,Genoa,Cittadella,3,1,H,2,0,H,1.77,2.8,4.8,1.6,2.7,5.2,1.65,2.8,5.7
I2,17/12/00,Monza,Ravenna,0,1,A,0,0,D,1.9,2.7,4.5,1.85,2.3,4.7,1.9,2.6,4.4
I2,17/12/00,Pescara,Treviso,0,3,A,0,2,A,1.85,2.75,4.6,1.7,2.6,4.7,1.85,2.5,5
I2,17/12/00,Salernitana,Crotone,0,1,A,0,1,A,1.9,2.8,4.1,1.7,2.6,4.7,1.7,2.8,5.2
I2,17/12/00,Siena,Pistoiese,1,0,H,1,0,H,1.8,2.9,4.4,1.8,2.5,4.3,1.8,2.6,5
I2,17/12/00,Torino,Empoli,1,0,H,1,0,H,1.75,2.9,4.8,1.6,2.7,5.2,1.6,2.8,6.3
I2,18/12/00,Venezia,Sampdoria,2,2,D,1,0,H,2,2.7,3.8,2.1,2.3,3.5,2.2,2.4,3.75
I2,23/12/00,Cagliari,Siena,0,0,D,0,0,D,1.55,3,6,1.5,2.9,5.7,1.55,3.1,5.8
I2,23/12/00,Chievo,Venezia,2,1,H,1,0,H,2.4,2.55,3,2.4,2.5,2.8,2.4,2.35,3.35
I2,23/12/00,Cittadella,Salernitana,1,1,D,0,1,A,2.2,2.6,3.3,2.2,2.4,3.2,2.25,2.4,3.6
I2,23/12/00,Crotone,Genoa,0,0,D,0,0,D,2.1,2.55,3.6,2,2.3,4,2.15,2.4,3.85
I2,23/12/00,Empoli,Monza,4,2,H,1,0,H,1.5,3.2,6,1.5,2.9,5.7,1.5,3.1,6.7
I2,23/12/00,Pistoiese,Cosenza,1,1,D,0,0,D,2.55,2.45,2.9,2.4,2.4,2.9,2.4,2.5,3.1
I2,23/12/00,Ravenna,Ancona,1,0,H,0,0,D,2.3,2.6,3.05,2.4,2.4,2.9,2.25,2.45,3.5
I2,23/12/00,Sampdoria,Piacenza,0,1,A,0,1,A,1.9,2.7,4,1.9,2.4,4.2,1.9,2.6,4.35
I2,23/12/00,Torino,Pescara,1,0,H,0,0,D,1.47,3.2,6.5,1.5,2.9,5.7,1.45,3.25,7
I2,23/12/00,Treviso,Ternana,1,1,D,0,0,D,2.35,2.5,3.15,2.4,2.3,3,2.3,2.35,3.6
I2,12/01/01,Ternana,Cagliari,1,0,H,0,0,D,2.25,2.4,3.5,2.3,2.4,3,2.2,2.6,3.35
I2,14/01/01,Cosenza,Torino,0,2,A,0,1,A,2.25,2.5,3.4,2.3,2.4,3,2.35,2.45,3.3
I2,14/01/01,Genoa,Treviso,0,0,D,0,0,D,1.8,2.7,4.5,1.65,2.6,5,1.65,2.85,5.5
I2,14/01/01,Monza,Sampdoria,0,4,A,0,2,A,3.2,2.5,2.3,3,2.6,2.2,3.3,2.5,2.3
I2,14/01/01,Pescara,Crotone,1,2,A,1,1,D,2.05,2.8,3.5,2,2.5,3.5,2,2.65,3.8
I2,14/01/01,Piacenza,Pistoiese,1,0,H,0,0,D,1.45,3.2,6.8,1.4,3.2,6.2,1.45,3.25,7
I2,14/01/01,Salernitana,Chievo,1,1,D,1,0,H,2.25,2.6,3.1,2.1,2.5,3.2,2,2.55,4
I2,14/01/01,Siena,Cittadella,1,1,D,1,0,H,1.8,2.6,4.8,1.65,2.6,5,1.75,2.65,5.3
I2,14/01/01,Venezia,Ravenna,0,0,D,0,0,D,1.5,2.9,7.3,1.4,3,7,1.55,2.7,8
I2,15/01/01,Ancona,Empoli,1,0,H,0,0,D,1.95,2.6,4.1,1.9,2.5,3.8,1.9,2.6,4.4
I2,19/01/01,Torino,Salernitana,2,0,H,2,0,H,1.63,2.9,5.6,1.65,2.5,5.8,1.55,3,6.2
I2,21/01/01,Cagliari,Genoa,3,0,H,2,0,H,1.71,2.8,5,1.8,2.5,4.5,1.75,2.7,5
I2,21/01/01,Chievo,Siena,2,1,H,1,0,H,1.67,2.8,5.5,1.6,2.7,5.3,1.6,2.8,6.5
I2,21/01/01,Cittadella,Ancona,2,0,H,0,0,D,2.25,2.4,3.4,2.2,2.4,3.2,2.3,2.45,3.35
I2,21/01/01,Empoli,Venezia,2,3,A,1,2,A,2.35,2.9,2.6,2.4,2.4,2.9,2.7,2.45,2.75
I2,21/01/01,Pistoiese,Monza,3,1,H,1,0,H,1.7,2.8,5,1.65,2.6,5.3,1.65,2.75,5.8
I2,21/01/01,Ravenna,Cosenza,0,1,A,0,0,D,2.35,2.4,3.2,2.2,2.4,3.2,2.1,2.55,3.7
I2,21/01/01,Sampdoria,Pescara,1,1,D,1,1,D,1.43,3.3,6.4,1.4,3,7,1.35,3.5,9
I2,21/01/01,Treviso,Piacenza,0,3,A,0,2,A,2.65,2.4,2.75,2.6,2.4,2.7,2.85,2.4,2.65
I2,22/01/01,Crotone,Ternana,0,2,A,0,1,A,2.25,2.4,3.5,2.1,2.4,3.5,2.15,2.4,3.9
I2,26/01/01,Genoa,Chievo,0,1,A,0,1,A,2.2,2.65,3.3,2,2.5,3.6,2.2,2.5,3.5
I2,28/01/01,Ancona,Torino,1,2,A,0,2,A,2.5,2.6,2.85,2.4,2.4,2.9,2.75,2.4,2.75
I2,28/01/01,Crotone,Cagliari,2,1,H,2,0,H,2.55,2.65,2.8,2.5,2.4,2.8,2.7,2.5,2.7
I2,28/01/01,Pescara,Cosenza,0,0,D,0,0,D,2.45,2.6,2.95,2.2,2.4,3.1,2.25,2.4,3.5
I2,28/01/01,Piacenza,Cittadella,3,0,H,2,0,H,1.43,3.3,7.5,1.4,3,7,1.45,3.1,7.5
I2,28/01/01,Salernitana,Ravenna,1,0,H,1,0,H,1.73,2.85,4.8,1.7,2.6,4.5,1.7,2.75,5.25
I2,28/01/01,Ternana,Sampdoria,1,1,D,1,1,D,2.2,2.6,3.4,2.2,2.4,3.1,2.2,2.5,3.5
I2,28/01/01,Treviso,Siena,1,0,H,0,0,D,2.15,2.6,3.5,1.9,2.3,4.5,2.1,2.5,3.75
I2,28/01/01,Venezia,Monza,4,1,H,0,0,D,1.35,3.6,9,1.25,4,9,1.3,4,8
I2,29/01/01,Pistoiese,Empoli,1,2,A,0,0,D,2.15,2.6,3.5,2.1,2.5,3.3,2.1,2.5,3.75
I2,02/02/01,Cosenza,Piacenza,2,1,H,1,0,H,2.4,2.6,3,2.6,2.5,2.6,2.55,2.55,2.8
I2,04/02/01,Cagliari,Treviso,3,2,H,2,0,H,1.6,2.95,6,1.55,2.8,5.4,1.55,3,6
I2,04/02/01,Chievo,Ternana,2,1,H,1,1,D,1.85,2.7,4.5,1.85,2.6,3.9,1.9,2.6,4.3
I2,04/02/01,Cittadella,Venezia,2,1,H,1,1,D,2.9,2.6,2.5,2.8,2.5,2.4,2.9,2.7,2.35
I2,04/02/01,Empoli,Pescara,2,1,H,1,0,H,1.7,2.85,5.1,1.8,2.5,4.4,1.8,2.7,4.5
I2,04/02/01,Monza,Ancona,1,1,D,0,1,A,2.75,2.6,2.6,2.7,2.6,2.4,2.5,2.7,2.7
I2,04/02/01,Ravenna,Crotone,1,2,A,0,0,D,2.45,2.55,3,2.3,2.6,2.8,2.4,2.6,2.95
I2,04/02/01,Siena,Genoa,1,0,H,1,0,H,1.93,2.65,4.2,2.1,2.3,3.7,1.95,2.6,4.1
I2,04/02/01,Torino,Pistoiese,2,0,H,1,0,H,1.4,3.2,7.5,1.3,3.5,8,1.3,3.9,8.5
I2,05/02/01,Sampdoria,Salernitana,2,0,H,0,0,D,1.6,2.9,6,1.55,2.8,5.4,1.6,3,5.5
I2,09/02/01,Pescara,Cagliari,0,0,D,0,0,D,3.05,2.6,2.3,2.7,2.5,2.5,3,2.5,2.45
I2,11/02/01,Ancona,Siena,2,1,H,0,0,D,1.85,2.6,4.5,1.8,2.5,4.4,1.9,2.5,4.65
I2,11/02/01,Crotone,Cosenza,1,2,A,1,1,D,2.15,2.55,3.45,2.2,2.3,3.5,2.25,2.4,3.55
I2,11/02/01,Genoa,Empoli,1,2,A,0,1,A,1.9,2.7,4.2,1.7,2.6,4.5,1.8,2.6,5
I2,11/02/01,Piacenza,Ravenna,1,0,H,1,0,H,1.35,3.55,8,1.35,3.2,8,1.4,3.3,8
I2,11/02/01,Pistoiese,Sampdoria,3,1,H,1,0,H,3.05,2.5,2.4,2.7,2.5,2.5,2.85,2.5,2.55
I2,11/02/01,Salernitana,Monza,2,0,H,1,0,H,1.4,3.4,7,1.3,3.5,8,1.4,3.2,8.6
I2,11/02/01,Ternana,Cittadella,4,1,H,2,1,H,1.5,3.05,6.5,1.45,3,6,1.5,3,7
