Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,BSH,BSD,BSA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA
F1,15/08/09,Toulouse,St Etienne,3,1,H,1,1,D,14,6,7,3,26,20,4,2,1,1,0,0,1.91,3.3,4.2,1.9,3.1,4,1.9,3.1,4.2,1.9,3.15,4.1,1.91,3.1,3.6,1.9,3.1,4,1.83,3,4,1.95,3,4.75,2,3.1,3.6,1.95,3.1,4,29,2.01,1.93,3.34,3.12,4.75,4.1,28,2.5,2.3,1.61,1.55,18,-0.5,2.01,1.97,1.96,1.89
F1,16/08/09,Boulogne,Grenoble,2,1,H,2,0,H,13,9,6,2,23,15,6,7,2,2,0,0,2.38,3,3.25,2.45,2.95,2.8,2.4,2.9,3,2.3,3,3.2,2.38,2.75,3,2.4,2.9,2.95,2.3,2.9,2.9,2.25,3,3.5,2.2,3,3.25,2.4,2.88,3,30,2.45,2.37,3.1,2.94,3.5,3.12,28,2.55,2.42,1.57,1.51,17,0,1.7,1.64,2.33,2.16
F1,16/08/09,Marseille,Lille,1,0,H,1,0,H,17,10,4,5,19,24,6,2,3,2,0,1,1.73,3.5,5,1.65,3.5,4.75,1.67,3.4,5,1.6,3.5,5.9,1.62,3.1,5.5,1.65,3.4,5,1.62,3.3,5,1.67,3.6,5.5,1.7,3.4,4.5,1.7,3.4,4.75,30,1.78,1.69,3.6,3.4,5.85,5.05,28,2.18,2.06,1.76,1.69,18,0,1.26,1.24,3.75,3.65
F1,16/08/09,Nice,Rennes,1,1,D,1,1,D,14,10,4,5,21,23,5,2,1,0,0,1,2.5,2.9,3.1,2.35,2.95,2.95,2.5,3,2.8,2.3,3,3.2,2.25,2.9,3,2.4,2.9,2.95,2.38,2.88,2.8,2.3,3,3.4,2.3,3,3,2.5,2.88,2.88,32,2.67,2.46,3,2.92,3.4,3,30,2.5,2.38,1.57,1.52,18,0,1.83,1.73,2.1,2.02
F1,22/08/09,Auxerre,Lyon,0,3,A,0,2,A,14,11,5,4,10,14,7,7,1,1,0,0,4,3.2,2,3.7,3.3,1.9,3.6,3.2,2,4.1,3.2,1.9,4,3.2,1.8,3.6,3.1,2,3.6,3.1,1.91,4.2,3,2.05,3.4,3.2,2,3.75,3.1,2,32,4.15,3.85,3.39,3.17,2.1,1.99,26,2.58,2.34,1.6,1.55,15,0,2.95,2.68,1.47,1.4
F1,22/08/09,Le Mans,Nancy,2,1,H,1,0,H,21,7,9,2,19,19,6,3,2,3,0,0,2.35,3,3.3,2.25,3,3.1,2.3,3,3.1,2.25,3.1,3.15,2.2,3,3,2.2,3,3.2,2.25,3,2.88,2.5,3,3,2.2,3,3.1,2.25,3,3.2,33,2.4,2.3,3.17,3,3.53,3.24,28,2.53,2.36,1.65,1.55,16,0,1.66,1.62,2.3,2.18
F1,22/08/09,Monaco,Lorient,2,0,H,2,0,H,10,13,6,1,23,7,4,12,2,2,0,0,2.1,3,4,1.9,3.1,3.95,2,3.1,3.75,1.9,3.3,3.9,1.91,3,3.75,2,3.1,3.6,1.95,3,3.6,2.05,3,4.2,2,3.1,3.6,2.15,3.1,3.3,33,2.15,2.04,3.25,3.09,4.15,3.81,28,2.46,2.27,1.63,1.58,15,0,1.48,1.42,2.9,2.61
F1,22/08/09,Montpellier,Sochaux,2,0,H,0,0,D,15,9,3,4,31,24,5,1,2,4,0,0,2.3,3,3.4,2.25,3,3.1,2.3,3,3.1,2.4,3,3.05,2.2,2.8,3.2,2.3,2.9,3.1,2.2,3,3,2.3,3,3.4,2.25,3,3.1,2.4,2.88,3.1,31,2.4,2.31,3.15,2.99,3.5,3.21,26,2.55,2.38,1.62,1.54,14,0,1.69,1.62,2.31,2.18
F1,22/08/09,Rennes,Marseille,1,1,D,1,0,H,14,15,5,5,21,14,2,5,1,2,0,0,3,3,2.5,3,3.1,2.25,3,3,2.35,3.05,3,2.4,2.8,2.88,2.38,2.9,3,2.35,2.7,3,2.4,2.88,3,2.6,3,3,2.3,2.88,3,2.4,33,3.3,3.02,3.15,3,2.55,2.42,28,2.46,2.23,1.7,1.6,16,0,2.26,2.1,1.75,1.69
F1,22/08/09,St Etienne,Boulogne,0,1,A,0,1,A,29,3,6,2,14,17,7,1,0,2,0,1,1.75,3.3,5.25,1.65,3.2,5.5,1.75,3.25,4.75,1.75,3.4,4.8,1.73,3.1,4.5,1.65,3.25,5.25,1.67,3.2,4.8,1.75,3.1,6,1.7,3.25,5,1.75,3.25,4.75,31,1.83,1.75,3.39,3.25,5.58,5.06,26,2.35,2.18,1.68,1.62,15,0,1.29,1.26,3.8,3.5
F1,22/08/09,Valenciennes,Paris SG,2,3,A,0,1,A,20,14,6,10,16,16,3,2,1,2,0,0,3.6,3,2.2,3.45,2.95,2.1,3.3,3,2.2,3.25,3,2.25,3.2,3,2.1,3.2,3,2.2,3.1,2.88,2.2,3.75,3,2.15,3.3,2.9,2.2,3.3,3,2.2,33,3.75,3.42,3.16,3.02,2.29,2.21,28,2.56,2.39,1.6,1.53,16,0,2.45,2.32,1.6,1.53
F1,23/08/09,Bordeaux,Nice,4,0,H,1,0,H,12,17,6,5,19,24,0,1,1,3,0,0,1.5,3.75,7.5,1.45,3.65,7.25,1.5,3.6,7,1.5,3.7,7,1.44,3.5,7,1.4,4,7,1.4,3.75,7,1.4,4.33,8.5,1.44,3.75,7,1.44,3.75,7.5,31,1.53,1.45,4.26,3.88,8.7,7.59,27,2.13,2,1.84,1.74,16,-1,1.79,1.75,2.16,2.1
F1,23/08/09,Grenoble,Lens,1,2,A,1,1,D,15,8,8,2,16,16,6,2,2,3,0,0,2.45,2.9,3.2,2.45,2.85,2.95,2.45,2.85,3,2.4,3,3.05,2.25,2.88,3,2.4,2.9,2.95,2.38,2.88,2.8,2.5,2.88,3.2,2.3,3,2.9,2.5,2.88,2.88,31,2.61,2.46,3.02,2.92,3.23,3.02,27,2.64,2.48,1.58,1.5,15,0,1.8,1.72,2.14,2.04
F1,23/08/09,Lille,Toulouse,1,1,D,1,0,H,14,9,5,1,16,21,10,2,0,3,0,0,2,3.1,4.2,2,3,3.7,2,3.1,3.75,2,3.15,3.9,2,2.88,3.6,2,3,3.75,1.95,3,3.6,2.15,3,3.75,1.9,3.1,4,2.1,3.1,3.5,32,2.15,2.02,3.22,3.07,4.37,3.9,28,2.62,2.36,1.6,1.55,15,0,1.5,1.42,2.75,2.62
F1,29/08/09,Boulogne,Auxerre,0,0,D,0,0,D,7,10,0,1,11,11,2,5,0,0,0,0,2.5,2.9,3.1,2.5,3,2.7,2.4,3,3,2.3,3.1,3.1,2.25,2.88,3,2.4,2.9,2.95,2.3,2.9,2.9,2.5,3,3,2.3,2.9,3,2.38,2.88,3.1,33,2.62,2.42,3.1,2.96,3.39,3.05,27,2.6,2.45,1.55,1.5,19,0,1.72,1.65,2.27,2.15
F1,29/08/09,Lens,Rennes,2,2,D,1,1,D,10,20,6,4,12,11,5,5,1,3,1,1,2.6,2.9,3,2.55,2.95,2.7,2.6,2.9,2.8,2.4,3.1,2.95,2.5,2.9,2.6,2.5,2.9,2.8,2.5,2.9,2.62,2.75,3,2.75,2.5,2.9,2.8,2.6,2.88,2.75,32,2.81,2.56,3.01,2.94,3.1,2.88,27,2.5,2.38,1.58,1.53,18,0,1.87,1.8,2.1,1.98
F1,29/08/09,Lorient,Le Mans,1,0,H,0,0,D,11,13,2,3,14,17,5,7,3,2,0,0,2.1,3.1,3.8,1.9,3,4.1,2.1,3,3.6,2.2,3.1,3.3,2,3,3.4,2,3,3.75,2.05,3,3.3,2.2,3,3.6,2.1,2.9,3.4,2.2,3,3.3,34,2.24,2.11,3.17,3.03,4.1,3.66,29,2.41,2.26,1.65,1.59,19,0,1.55,1.48,2.65,2.47
F1,29/08/09,Lyon,Nancy,3,1,H,1,0,H,13,13,4,6,24,15,6,6,0,3,0,0,1.36,4.5,10,1.35,4.25,8,1.4,4,8,1.33,4.6,9,1.4,3.75,7,1.3,4.5,9,1.33,4,8,1.4,4.33,8.5,1.4,3.6,8,1.4,4,8,33,1.42,1.38,4.74,4.26,10.89,8.61,28,2.11,2.02,1.87,1.74,19,-1.25,2,1.95,1.97,1.92
F1,29/08/09,Nice,Montpellier,0,3,A,0,1,A,20,14,4,6,16,14,8,2,0,1,1,0,2,3.1,4.2,1.8,3.15,4.35,1.95,3.1,4,2,3.1,3.9,1.91,3,3.75,1.85,3.1,4.2,1.91,3,3.75,2,3,4.33,1.9,2.9,4,1.91,3.2,4,32,2.06,1.94,3.25,3.13,4.56,4.13,27,2.5,2.3,1.62,1.56,18,0,1.41,1.37,3.1,2.86
F1,29/08/09,Sochaux,Monaco,1,0,H,1,0,H,11,16,3,5,26,25,4,6,1,3,0,0,2.2,3,3.6,2.2,3,3.2,2.15,3,3.4,2.3,3,3.2,2.2,3,3,2.2,3,3.2,2.1,3,3.2,2.2,3,3.6,2,2.9,3.75,2.1,3.1,3.4,32,2.32,2.16,3.19,3.03,3.9,3.51,27,2.41,2.29,1.64,1.57,17,0,1.56,1.5,2.65,2.42
F1,29/08/09,St Etienne,Grenoble,1,0,H,1,0,H,16,13,4,2,17,12,6,0,1,2,0,0,1.73,3.3,5.5,1.75,3.15,4.75,1.7,3.2,5.25,1.75,3.4,4.8,1.67,3.1,5,1.7,3.25,4.8,1.67,3.2,4.8,1.7,3.2,6,1.7,3.3,4.5,1.73,3.3,4.75,32,1.81,1.72,3.55,3.28,6.1,5.25,27,2.6,2.41,1.58,1.52,17,0,1.29,1.24,4,3.69
F1,30/08/09,Marseille,Bordeaux,0,0,D,0,0,D,16,7,3,5,19,21,4,3,2,5,0,0,2.15,3.2,3.5,2.15,3.1,3.2,2.15,3,3.4,2.1,3.15,3.5,2.1,3,3.2,2.2,3,3.2,2.1,3,3.2,2.1,3.25,3.6,2,3,3.5,2.2,3.1,3.2,33,2.24,2.15,3.32,3.11,3.85,3.47,28,2.16,2.03,1.77,1.73,17,0,1.56,1.5,2.6,2.4
F1,30/08/09,Paris SG,Lille,3,0,H,1,0,H,10,17,7,6,15,15,3,8,0,1,0,0,1.83,3.3,4.75,1.85,3.1,4.25,1.8,3.2,4.5,1.8,3.25,4.5,1.8,3,4.33,1.8,3.2,4.33,1.73,3.2,4.33,1.7,3.4,5.5,1.75,3.25,4.33,1.8,3.25,4.5,34,1.91,1.82,3.4,3.22,5.5,4.64,29,2.43,2.26,1.64,1.58,19,0,1.32,1.29,3.75,3.28
F1,30/08/09,Toulouse,Valenciennes,0,1,A,0,0,D,21,9,8,2,13,17,9,3,1,0,0,0,1.57,3.75,6.5,1.55,3.35,6.45,1.57,3.5,6,1.55,3.5,6.5,1.5,3.5,6,1.53,3.6,6,1.53,3.5,5.5,1.53,3.75,7,1.57,3.6,5.5,1.57,3.5,6,33,1.65,1.57,4,3.6,7,6.26,28,2.52,2.31,1.65,1.57,19,0,1.22,1.16,5.3,4.64
F1,12/09/09,Bordeaux,Grenoble,1,0,H,1,0,H,12,7,3,4,14,30,3,6,0,2,0,0,1.29,5,12,1.25,5,10,1.25,5,11,1.27,4.9,11,1.25,4.5,10,1.22,5,12,1.25,4.5,10,1.25,5.5,12,1.25,4.5,11,1.25,5,11,37,1.3,1.27,5.6,5.02,15,11.64,31,2.18,1.85,2.01,1.9,19,0,1.05,1.04,10,8.93
F1,12/09/09,Le Mans,Marseille,1,2,A,0,1,A,7,13,1,3,23,15,3,3,3,1,0,0,4.2,3.25,1.91,4,3.35,1.8,4,3.2,1.9,3.6,3.3,2,3.75,3,1.91,4,3.1,1.9,3.75,3.2,1.83,4,3.2,2,4,3.1,1.9,4,3.1,1.95,36,4.45,4.11,3.49,3.24,2,1.91,30,2.25,2.11,1.72,1.67,18,0,3.15,2.88,1.4,1.36
F1,12/09/09,Lille,Sochaux,1,0,H,0,0,D,17,6,3,2,15,15,5,4,0,2,0,0,1.75,3.4,5,1.8,3.2,4.3,1.8,3.2,4.5,1.8,3.25,4.5,1.8,3,4.33,1.75,3.25,4.5,1.73,3.2,4.33,1.75,3.2,5.5,1.8,3.2,4.33,1.8,3.2,4.5,36,1.84,1.79,3.56,3.27,5.5,4.72,30,2.38,2.16,1.71,1.64,18,0,1.32,1.29,3.75,3.32
F1,12/09/09,Lyon,Lorient,1,0,H,0,0,D,15,15,4,3,13,20,4,5,2,2,0,0,1.36,4.5,9,1.3,4.75,8.5,1.36,4,9.5,1.33,4.6,9,1.3,4,9,1.33,4.33,9,1.33,4,8,1.33,4.75,10,1.36,4,8.5,1.33,4.33,9,36,1.38,1.34,5,4.45,11.13,9.43,30,2.08,1.93,1.91,1.82,18,0,1.09,1.07,8,7.02
F1,12/09/09,Montpellier,Lens,1,0,H,1,0,H,14,6,4,1,21,21,1,3,3,4,0,0,2.3,3,3.4,2.35,2.9,3.05,2.25,3,3.2,2.2,3.1,3.3,2.2,2.8,3.2,2.2,3,3.2,2.15,3,3.1,2.25,3,3.5,2.2,3,3.25,2.2,3,3.3,36,2.4,2.24,3.21,3.01,3.7,3.34,30,2.5,2.24,1.65,1.59,19,0,1.62,1.56,2.5,2.29
F1,12/09/09,Nancy,Toulouse,0,0,D,0,0,D,8,15,1,4,16,15,1,7,3,3,1,0,2.4,3,3.2,2.25,3,3.1,2.3,3,3.1,2.3,3,3.2,2.25,2.88,3,2.2,3,3.2,2.25,3,2.88,2.25,3,3.5,2.3,2.9,3.1,2.3,3,3.1,36,2.47,2.33,3.2,3,3.5,3.19,30,2.61,2.37,1.6,1.54,19,0,1.68,1.62,2.32,2.21
F1,12/09/09,Valenciennes,Boulogne,1,1,D,0,0,D,21,10,3,3,16,15,10,1,0,1,0,0,2,3.2,4,1.95,3.2,3.6,2,3.1,3.75,1.9,3.15,4.1,1.91,3,3.75,1.95,3.1,3.75,1.95,3.1,3.5,1.9,3.2,4.5,1.9,3.1,4,1.95,3.1,4,35,2.1,1.98,3.29,3.14,4.5,3.97,29,2.5,2.22,1.65,1.6,18,0,1.44,1.4,3,2.73
F1,13/09/09,Auxerre,Nice,2,0,H,1,0,H,6,11,3,3,17,13,2,5,2,2,0,0,2.2,3.1,3.5,2.2,3,3.2,2.15,3,3.4,2.2,3,3.4,2.1,2.9,3.25,2.2,3,3.2,2.1,3,3.2,2.25,3,3.5,2.1,3,3.4,2.2,3,3.3,35,2.3,2.18,3.3,3.02,3.9,3.47,29,2.68,2.41,1.58,1.52,17,0,1.6,1.52,2.55,2.39
F1,13/09/09,Monaco,Paris SG,2,0,H,0,0,D,13,16,4,6,15,12,7,6,1,2,0,1,2.9,3,2.6,2.8,3.1,2.4,2.8,2.9,2.6,2.9,3,2.5,2.6,2.9,2.5,2.7,2.9,2.6,2.62,2.9,2.5,2.7,3,2.8,2.8,2.9,2.5,2.88,2.88,2.5,35,3.14,2.82,3.15,2.97,2.8,2.58,29,2.56,2.32,1.63,1.55,16,0,2.1,1.97,1.87,1.8
F1,13/09/09,Rennes,St Etienne,1,0,H,0,0,D,21,8,7,2,13,15,3,3,2,2,0,0,1.75,3.4,5,1.65,3.35,5,1.7,3.3,5,1.65,3.4,5.5,1.67,3.1,5,1.65,3.25,5.25,1.67,3.3,4.5,1.8,3,6,1.7,3.2,5,1.7,3.3,5,35,1.8,1.73,3.65,3.32,6,5.06,29,2.3,2.14,1.72,1.64,17,0,1.29,1.24,4.33,3.66
F1,19/09/09,Boulogne,Bordeaux,0,2,A,0,1,A,4,17,1,5,16,14,6,4,2,2,0,0,5.5,3.5,1.67,5.5,3.4,1.6,5.25,3.4,1.65,5,3.4,1.7,5,3.1,1.67,5,3.4,1.65,5,3.3,1.62,5.25,3.5,1.7,5.5,3.25,1.62,5,3.4,1.67,31,6.25,5.46,3.86,3.45,1.7,1.65,28,2.23,2.12,1.71,1.66,18,0,4.6,3.91,1.25,1.21
F1,19/09/09,Grenoble,Rennes,0,4,A,0,3,A,11,16,1,10,11,23,6,5,2,2,0,0,3.6,3,2.2,3.3,3,2.15,3.6,3,2.1,3.3,3.1,2.2,3.2,3,2.1,3.4,3,2.1,3.2,3,2.1,3.5,3,2.25,3.4,3,2.1,3.6,3,2.1,32,3.88,3.51,3.18,3.05,2.22,2.15,29,2.72,2.48,1.55,1.5,18,0,2.55,2.44,1.58,1.5
F1,19/09/09,Lorient,Nancy,3,1,H,1,0,H,18,10,6,2,17,18,5,4,1,2,0,0,2.2,3,3.6,2.15,3,3.3,2.2,3,3.3,2.1,3.15,3.5,2.1,2.9,3.25,2.1,3,3.4,2.1,3,3.2,2.1,3,4,2.1,3,3.4,2.1,3,3.6,32,2.25,2.14,3.15,3.04,3.94,3.54,29,2.51,2.34,1.57,1.54,18,0,1.55,1.49,2.64,2.46
F1,19/09/09,Marseille,Montpellier,4,2,H,3,0,H,6,13,4,4,15,24,3,3,0,3,0,0,1.4,4.2,8.5,1.4,3.8,8,1.4,4,8,1.45,4,7,1.4,3.5,8,1.36,4,8.5,1.36,3.75,8,1.44,3.8,9,1.4,3.8,8,1.4,4,8,31,1.43,1.41,4.58,4.06,10.07,8.3,28,2.05,1.98,1.88,1.78,18,-0.75,2.04,1.99,1.89,1.87
F1,19/09/09,Nice,Monaco,1,3,A,1,2,A,17,11,3,4,20,20,4,1,2,2,0,0,2.63,2.8,3.1,2.35,3,2.9,2.5,3,2.8,2.4,2.95,3.1,2.25,2.88,3,2.35,2.9,3,2.4,2.9,2.75,2.7,3,2.8,2.38,2.9,3,2.5,2.88,2.88,32,2.65,2.48,3.25,2.97,3.5,2.96,29,2.55,2.34,1.6,1.55,20,0,1.83,1.76,2.1,2.01
F1,19/09/09,Sochaux,Valenciennes,2,5,A,2,1,H,18,14,7,7,9,22,6,4,1,2,1,0,1.85,3.2,4.75,1.9,3.1,4,1.9,3.1,4.2,1.9,3.2,4,1.83,3,4,1.9,3.1,4,1.8,3.1,4,1.95,3,4.75,1.8,3.1,4.33,1.83,3.2,4.33,32,1.95,1.89,3.27,3.15,4.85,4.34,29,2.53,2.35,1.61,1.54,17,-0.5,1.95,1.9,2.01,1.96
F1,19/09/09,St Etienne,Auxerre,1,1,D,1,0,H,16,13,4,4,15,12,7,4,2,2,0,0,2,3.1,4.2,1.95,3.2,3.6,1.95,3.1,4,1.9,3.2,4,1.91,3,3.75,2,3.1,3.6,1.91,3.1,3.6,2,3,4.33,2,3,3.75,2.1,3.1,3.4,32,2.1,2.01,3.26,3.1,4.5,3.9,29,2.5,2.34,1.6,1.55,18,-0.5,2.1,2.06,1.86,1.81
F1,20/09/09,Lens,Lille,1,1,D,0,0,D,13,10,2,2,19,19,5,5,4,0,0,1,2.6,3,2.88,2.55,3,2.65,2.6,3,2.7,2.5,3,2.9,2.5,2.8,2.75,2.4,3.1,2.75,2.5,2.9,2.62,2.7,3,2.8,2.6,2.9,2.6,2.6,2.88,2.75,31,2.76,2.57,3.1,2.97,3.4,2.84,27,2.55,2.35,1.6,1.54,17,0,1.91,1.83,2.04,1.93
F1,20/09/09,Paris SG,Lyon,1,1,D,1,0,H,14,11,7,5,13,13,6,4,1,2,0,0,2.88,3.1,2.55,2.7,3.05,2.5,2.8,3,2.5,2.65,3,2.65,2.75,2.9,2.4,2.8,2.9,2.5,2.62,2.9,2.5,3,3.2,2.38,2.6,3,2.6,2.88,3,2.4,32,3,2.8,3.25,3.03,2.7,2.56,28,2.39,2.25,1.64,1.59,17,0,2.05,1.95,1.9,1.83
