Player,Club,POS,GP,GS,MINS,SHTS,SV,GA,GAA,PKG/A,W,L,T,ShO,W%,Sv%
Joe Cannon,VAN,GK,10,10,900,42,31,14,1.4,0/0,3,4,3,1,30.0,73.8
Jaime Penedo,LA,GK,9,9,810,31,24,7,0.78,0/0,4,1,4,4,44.4,77.4
Joe Willis,HOU,GK,9,9,810,47,28,20,2.22,1/1,1,7,1,1,11.1,59.6
Chris Seitz,HOU,GK,8,8,720,36,24,11,1.38,0/0,4,2,2,2,50.0,66.7
Paolo Tornaghi,CHI,GK,6,6,540,24,12,13,2.17,0/0,2,3,1,0,33.3,50.0
Jeff Attinella,POR,GK,5,4,399,24,14,9,2.25,3/3,1,2,1,1,20.0,58.3
Brian Rowe,VAN,GK,4,4,360,19,14,4,1.0,0/0,2,2,0,2,50.0,73.7
Marcus Hahnemann,SEA,GK,4,4,360,10,6,4,1.0,0/0,2,2,0,1,50.0,60.0
Andrew Weber,SEA,GK,3,2,225,8,5,3,1.5,0/0,1,1,1,0,33.3,62.5
Josh Saunders,RSL,GK,3,3,231,18,13,4,1.33,0/0,1,1,1,0,33.3,72.2
Matt Pickens,COL,GK,2,2,97,4,2,2,1.0,0/0,0,1,0,0,0.0,50.0
Patrick McLain,CHV,GK,2,1,124,10,4,6,6.0,1/1,0,1,0,0,0.0,40.0
Tim Melia,SKC,GK,2,2,180,15,8,7,3.5,1/1,0,2,0,0,0.0,53.3
Milos Kocic,POR,GK,2,2,180,10,7,2,1.0,0/0,1,0,1,1,50.0,70.0
Stefan Frei,SEA,GK,1,1,90,3,2,1,1.0,1/1,0,1,0,0,0.0,66.7
Steward Ceus,COL,GK,1,1,90,6,5,1,1.0,0/0,0,1,0,0,0.0,83.3
David Bingham,LA,GK,1,1,90,8,7,1,1.0,0/0,1,0,0,0,100.0,87.5
Evan Bush,MTL,GK,1,1,90,7,6,1,1.0,0/0,0,1,0,0,0.0,85.7
Ryan Meara,RBNY,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0
Santiago Castaño,NY,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0
Luis Soffner,NE,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0
Kyle Zobeck,DAL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0
Daniel Withrow,CLB,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0
Maxime Crepeau,MTL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0
Alec Kann,ATL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0
Jesse Gonzalez,DAL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0
Evan Newton,SJ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0
Jake Gleeson,POR,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0
Richard Sanchez,CHI,GK,0,0,0,0,0,0,0,0/0,0,0,0,0,0.0,0.0
Jon Kempin,CLB,GK,0,0,0,0,0,0,0,0/0,0,0,0,0,0.0,0.0
Tyler Deric,HOU,GK,0,0,0,0,0,0,0,0/0,0,0,0,0,0.0,0.0
Erich Marscheider,HOU,GK,0,0,0,0,0,0,0,0/0,0,0,0,0,0.0,0.0
Quillan Roberts,TOR,GK,0,0,0,0,0,0,0,0/0,0,0,0,0,0.0,0.0
Lalo Fernandez,RSL,GK,0,0,0,0,0,0,0,0/0,0,0,0,0,0.0,0.0
Josh Ford,SEA,GK,0,0,0,0,0,0,0,0/0,0,0,0,0,0.0,0.0
Simon Thomas,CAN,GK,0,0,0,0,0,0,0,0/0,0,0,0,0,0.0,0.0
Andrew Dykstra,COL,GK,0,0,0,0,0,0,0,0/0,0,0,0,0,0.0,0.0
Brian Perk,LA,GK,0,0,0,0,0,0,0,0/0,0,0,0,0,0.0,0.0
Eric Kronberg,KC,GK,0,0,0,0,0,0,0,0/0,0,0,0,0,0.0,0.0
Chris Konopka,PHI,GK,0,0,0,0,0,0,0,0/0,0,0,0,0,0.0,0.0
Kevin Hartman,NY,GK,0,0,0,0,0,0,0,0/0,0,0,0,0,0.0,0.0
Oka Nikolov,PHI,GK,0,0,0,0,0,0,0,0/0,0,0,0,0,0.0,0.0
Stats Unavailable,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
