Player,Club,POS,GP,GS,MINS,GA,GAA,PKG/A,W,L,T,ShO,W%
Simon Thomas,CAN,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Ryan Meara,RBNY,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Santiago Castaño,NY,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Luis Soffner,NE,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Kyle Zobeck,DAL,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Daniel Withrow,CLB,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Maxime Crepeau,MTL,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Alec Kann,ATL,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Jesse Gonzalez,DAL,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Evan Newton,SJ,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Evan Bush,MTL,GK,1,1,90,1,1.0,0/0,0,1,0,0,0.0
Stefan Frei,SEA,GK,1,1,90,1,1.0,1/1,0,1,0,0,0.0
David Bingham,LA,GK,1,1,90,1,1.0,0/0,1,0,0,0,100.0
Steward Ceus,COL,GK,1,1,90,1,1.0,0/0,0,1,0,0,0.0
Tim Melia,SKC,GK,2,2,180,7,3.5,1/1,0,2,0,0,0.0
Matt Pickens,COL,GK,2,2,97,2,1.0,0/0,0,1,0,0,0.0
Patrick McLain,CHV,GK,2,1,124,6,6.0,1/1,0,1,0,0,0.0
Andrew Weber,SEA,GK,3,2,225,3,1.5,0/0,1,1,1,0,33.3
Josh Saunders,RSL,GK,3,3,231,4,1.33,0/0,1,1,1,0,33.3
Paolo Tornaghi,CHI,GK,6,6,540,13,2.17,0/0,2,3,1,0,33.3
Stats Unavailable,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
