Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,WHH,WHD,WHA
B1,24/09/00,Harelbeke,Club Brugge,0,6,A,0,2,A,4.5,3.8,1.55,4.7,3.4,1.5,4.75,3.5,1.57,4.25,3.6,1.6
B1,29/09/00,Mouscron,Charleroi,3,0,H,2,0,H,1.65,3.7,4.2,1.75,3.1,3.6,1.85,3.3,3.5,1.9,3.4,3.15
B1,30/09/00,Germinal,Aalst,2,0,H,0,0,D,1.35,3.8,7,1.4,3.6,5.5,,,,1.35,3.9,7
B1,30/09/00,Louvieroise,St Truiden,1,0,H,1,0,H,2.1,3.2,3,2.1,3,2.8,,,,2.2,3.3,2.65
B1,30/09/00,Lierse,Harelbeke,4,1,H,2,0,H,1.31,4.2,7,1.3,4,7,,,,1.35,4.1,6.5
B1,30/09/00,Lokeren,Beveren,1,1,D,1,1,D,1.6,3.66,4.4,1.45,3.5,5,,,,1.55,3.75,4.4
B1,30/09/00,Standard,Westerlo,5,3,H,4,1,H,1.6,3.6,4.2,1.6,3.3,4,,,,1.55,3.75,4.4
B1,01/10/00,Gent,Antwerp,4,2,H,2,2,D,1.35,4,6,1.3,4,7,1.4,3.75,6.5,1.35,4.1,6.5
B1,01/10/00,Club Brugge,Mechelen,5,2,H,2,1,H,1.13,6,12,1.1,7,14,1.15,5.5,11,1.15,6,10
B1,01/10/00,Genk,Anderlecht,1,1,D,1,1,D,3.3,3.5,1.85,3.2,3.1,1.85,3.4,3.25,1.91,3,3.4,2
B1,13/10/00,Lierse,Genk,1,1,D,0,0,D,1.7,3.9,3.6,1.6,3.3,4,1.73,3.5,3.75,1.7,3.55,3.7
B1,14/10/00,Anderlecht,Gent,2,1,H,2,1,H,1.3,4.5,6.2,1.3,4,7,1.4,3.6,7,1.35,4,6.7
B1,14/10/00,Antwerp,Mouscron,1,0,H,0,0,D,3.4,3.2,1.9,3.3,3.1,1.8,3,3.25,2,3.15,3.5,1.85
B1,14/10/00,Beveren,Standard,0,3,A,0,2,A,3.3,3.4,1.85,3.4,3.2,1.75,3.2,3.4,1.91,3.25,3.45,1.85
B1,14/10/00,Charleroi,Lokeren,1,0,H,0,0,D,1.67,3.4,4.2,1.7,3.2,3.6,1.67,3.5,4,1.65,3.55,4
B1,14/10/00,St Truiden,Germinal,3,2,H,2,0,H,2.5,3.3,2.35,2.35,3,2.35,2.5,3.3,2.3,2.5,3.25,2.3
B1,15/10/00,Aalst,Club Brugge,0,2,A,0,0,D,7,4,1.35,5.5,3.6,1.4,6.5,3.75,1.4,6,3.9,1.4
B1,15/10/00,Harelbeke,Mechelen,1,0,H,1,0,H,1.9,3.1,3.6,1.75,3.1,3.6,1.8,3.4,3.5,1.9,3.45,3.1
B1,15/10/00,Westerlo,Louvieroise,2,1,H,1,1,D,1.37,3.8,7,1.35,3.8,6.2,1.4,3.75,6.5,1.35,4,6.7
B1,20/10/00,Standard,Charleroi,4,0,H,2,0,H,1.5,3.6,5.5,1.6,3.3,4,1.53,3.6,5,1.5,3.7,5
B1,21/10/00,Gent,Lierse,2,3,A,2,1,H,2,3.15,3.25,1.7,3.2,3.6,1.9,3.3,3.3,1.8,3.5,3.35
B1,21/10/00,Germinal,Westerlo,3,1,H,1,0,H,2.2,3,2.9,2,3,2.9,2.1,3.5,2.7,2.15,3.3,2.7
B1,21/10/00,Genk,Harelbeke,4,0,H,2,0,H,1.47,3.5,5.5,1.45,3.5,5,1.45,3.75,5.6,1.4,4.1,5.5
B1,21/10/00,Louvieroise,Beveren,2,3,A,0,2,A,2.15,3.1,2.9,2,3,2.9,2.2,3.25,2.7,2.15,3.3,2.7
B1,21/10/00,Lokeren,Antwerp,0,1,A,0,0,D,1.51,3.5,5,1.5,3.4,4.7,1.57,3.5,4.75,1.6,3.55,4.3
B1,21/10/00,Mouscron,Anderlecht,1,2,A,0,0,D,3.15,3,2.1,2.8,3,2.1,2.75,3.4,2.1,3.1,3.45,1.9
B1,22/10/00,Club Brugge,St Truiden,5,0,H,2,0,H,1.12,6,12,1.1,7,14,1.14,5.5,13,1.15,6,10
B1,22/10/00,Mechelen,Aalst,4,1,H,1,1,D,1.91,3.3,3.25,1.9,3,3.1,1.9,3.3,3.25,1.65,3.55,4
B1,27/10/00,Lierse,Mouscron,1,4,A,0,3,A,1.85,3.25,3.75,1.75,3.2,3.4,1.75,3.4,3.8,1.75,3.5,3.6
B1,28/10/00,Anderlecht,Lokeren,8,0,H,3,0,H,1.2,5.3,9,1.2,4.7,9,1.2,5.5,9,1.2,5.5,8
B1,28/10/00,Beveren,Germinal,2,1,H,1,1,D,2.4,3.1,2.55,2.3,3,2.4,2.25,3.4,2.6,2.3,3.4,2.45
B1,28/10/00,Charleroi,Louvieroise,2,1,H,2,0,H,1.4,4,6.1,1.35,3.8,6.2,1.36,4,7,1.4,4,5.8
B1,28/10/00,Genk,Gent,1,1,D,0,0,D,1.95,3.2,3.3,1.9,3,3.1,1.8,3.4,3.6,1.8,3.5,3.35
B1,28/10/00,St Truiden,Mechelen,1,0,H,0,0,D,1.85,3.15,3.9,1.9,3,3.1,1.83,3.5,3.4,1.85,3.5,3.2
B1,29/10/00,Antwerp,Standard,1,2,A,1,0,H,3.5,3.3,1.9,3.2,3.1,1.85,3.25,3.5,1.85,,,
B1,29/10/00,Harelbeke,Aalst,2,4,A,1,1,D,1.8,3.1,4.15,1.6,3.3,4,1.62,3.6,4.33,1.65,3.55,4
B1,29/10/00,Westerlo,Club Brugge,0,2,A,0,0,D,3.75,3.15,1.85,3.3,3.1,1.8,4,3.6,1.67,3.85,3.65,1.65
B1,01/11/00,Antwerp,Genk,1,0,H,0,0,D,,,,2.6,3,2.2,2.5,3.3,2.3,2.45,3.35,2.3
B1,11/11/00,Gent,Harelbeke,2,1,H,1,0,H,1.47,3.6,5.8,1.35,3.8,6.2,1.4,3.6,7,1.35,4.2,6.2
B1,11/11/00,Germinal,Charleroi,0,2,A,0,0,D,2,3,3.4,1.9,3,3.1,1.83,3.4,3.4,1.85,3.4,3.3
B1,11/11/00,Mechelen,Westerlo,0,1,A,0,0,D,2.8,3.2,2.2,,,,2.75,3.4,2.1,2.8,3.4,2.05
B1,11/11/00,Lokeren,Lierse,2,0,H,1,0,H,2.45,3,2.6,2.35,3,2.35,2.4,3.4,2.4,2.5,3.5,2.2
B1,12/11/00,Aalst,St Truiden,4,1,H,1,1,D,2.05,3.2,3,2.2,3,2.6,2,3.4,2.9,2,3.45,2.85
B1,12/11/00,Club Brugge,Beveren,6,0,H,2,0,H,1.17,5.8,10,1.15,5.5,11,1.17,5.5,10,1.15,6,10
B1,12/11/00,Louvieroise,Antwerp,2,2,D,1,2,A,2.2,3.2,2.7,2.1,3,2.8,2.2,3.4,2.63,2.3,3.4,2.45
B1,12/11/00,Mouscron,Genk,2,0,H,0,0,D,1.85,3,3.9,1.7,3.2,3.6,1.8,3.3,3.6,1.7,3.5,3.75
B1,12/11/00,Standard,Anderlecht,1,1,D,0,0,D,2.5,3.6,2.2,2.35,3,2.35,2.4,3.3,2.4,2.4,3.25,2.5
B1,17/11/00,Charleroi,Club Brugge,0,4,A,0,1,A,3.2,3.4,1.9,2.8,3,2.1,3.25,3.3,1.91,3.4,3.5,1.8
B1,18/11/00,Gent,Mouscron,1,0,H,0,0,D,2.15,3.2,2.8,2.2,3,2.6,2.1,3.3,2.8,1.9,3.5,3.1
B1,18/11/00,Anderlecht,Louvieroise,2,0,H,1,0,H,1.15,6.8,10,1.1,7,14,1.14,6,11,1.15,6,10
B1,18/11/00,Beveren,Mechelen,1,1,D,1,0,H,1.66,3.4,4.4,1.55,3.3,4.5,1.6,3.5,4.5,1.7,3.4,3.9
B1,18/11/00,Genk,Lokeren,0,0,D,0,0,D,1.75,3.2,4.2,1.75,3.2,3.4,1.73,3.3,4,1.65,3.5,4
B1,18/11/00,Lierse,Standard,1,1,D,0,0,D,2.65,3.2,2.3,2.3,3,2.4,2.6,3.2,2.3,2.6,3.2,2.25
B1,18/11/00,Westerlo,Aalst,1,1,D,1,1,D,1.45,3.6,6,1.45,3.5,5,1.5,3.5,5.5,1.4,4,5.7
B1,19/11/00,Antwerp,Germinal,1,2,A,0,0,D,2.3,3.4,2.5,2.35,3,2.35,2.3,3.2,2.6,2.3,3,2.7
B1,19/11/00,Harelbeke,St Truiden,0,4,A,0,1,A,1.95,3.1,3.45,1.9,3,3.1,1.91,3.4,3.2,1.9,3.5,3.05
B1,24/11/00,Standard,Genk,2,1,H,0,0,D,1.4,4,5.8,,,,1.44,3.75,5.75,1.45,3.8,5.3
B1,25/11/00,Germinal,Anderlecht,0,1,A,0,0,D,3.9,3.4,1.7,3.3,3,1.85,3.5,3.4,1.8,3.35,3.5,1.8
B1,25/11/00,Mechelen,Charleroi,4,3,H,2,0,H,3,3.2,2.1,2.8,3,2.1,2.75,3.4,2.1,2.65,3.5,2.1
B1,25/11/00,Louvieroise,Lierse,0,2,A,0,1,A,3,3.2,2.1,2.9,2.9,2.1,2.75,3.4,2.1,2.65,3.4,2.15
B1,25/11/00,Lokeren,Gent,1,1,D,0,1,A,2.25,3.3,2.7,2.1,3,2.8,2.2,3.4,2.6,2.3,3.3,2.5
B1,25/11/00,Mouscron,Harelbeke,4,3,H,2,2,D,1.33,4.1,6.8,1.3,4,7,1.36,3.8,7,1.35,4.1,6.5
B1,25/11/00,St Truiden,Westerlo,1,2,A,1,1,D,2.4,3.2,2.6,2.35,3,2.35,2.38,3.4,2.38,2.4,3.4,2.35
B1,26/11/00,Aalst,Beveren,1,1,D,0,0,D,2.05,3.45,2.9,2,3,2.9,2,3.3,3,1.85,3.5,3.2
B1,26/11/00,Club Brugge,Antwerp,2,0,H,0,0,D,1.15,6,12,1.15,5.5,11,1.15,5.5,11,1.2,5,9.5
B1,01/12/00,Anderlecht,Club Brugge,2,0,H,1,0,H,2.2,3.2,2.8,2.2,2.9,2.7,2.25,3.2,2.75,2.25,3.2,2.75
B1,02/12/00,Gent,Standard,2,1,H,0,1,A,2.4,3.1,2.6,2.35,3,2.35,2.38,3.2,2.5,2.35,3.3,2.45
B1,02/12/00,Antwerp,Mechelen,3,1,H,0,0,D,1.75,3.3,4.1,1.7,3.2,3.6,1.7,3.4,4,1.75,3.5,3.55
B1,02/12/00,Charleroi,Aalst,0,0,D,0,0,D,1.5,3.6,5.6,1.4,3.6,5.5,1.5,3.5,5.5,1.5,3.8,4.8
B1,02/12/00,Genk,Louvieroise,1,0,H,1,0,H,1.4,4,6.5,1.35,3.8,6.2,1.4,4,6,1.4,4.1,5.5
B1,02/12/00,Lierse,Germinal,1,1,D,1,0,H,1.75,3.3,4,1.7,3.2,3.6,1.73,3.3,4,1.7,3.5,3.75
B1,02/12/00,Mouscron,Lokeren,2,1,H,0,1,A,1.6,3.2,5.2,1.5,3.4,4.7,1.6,3.5,4.5,1.55,3.75,4.4
B1,03/12/00,Beveren,St Truiden,0,0,D,0,0,D,1.85,3.2,3.8,1.9,3,3.1,1.83,3.4,3.4,1.85,3.4,3.3
B1,03/12/00,Harelbeke,Westerlo,0,4,A,0,1,A,2.65,3.4,2.2,2.8,3,2.1,2.7,3.25,2.2,2.95,3.35,2
B1,08/12/00,Standard,Mouscron,3,3,D,0,1,A,1.7,3.6,4,1.75,3.1,3.6,1.62,3.4,4.5,1.6,3.5,4.4
B1,09/12/00,Germinal,Genk,5,1,H,1,1,D,1.9,3.1,3.6,1.85,3,3.3,1.83,3.5,3.3,1.85,3.5,3.2
B1,09/12/00,Mechelen,Anderlecht,0,2,A,0,1,A,6,3.8,1.45,4.7,3.4,1.5,5.25,3.6,1.5,4.75,3.8,1.5
B1,09/12/00,Louvieroise,Gent,1,1,D,0,0,D,3.2,3.5,1.9,3.5,3,1.8,3.25,3.3,1.91,3.1,3.45,1.9
B1,09/12/00,St Truiden,Charleroi,1,3,A,1,2,A,2.5,3.2,2.45,2.35,3,2.35,2.38,3.2,2.5,2.35,3.35,2.4
B1,09/12/00,Westerlo,Beveren,1,2,A,0,2,A,1.6,3.6,4.6,1.5,3.4,4.7,1.53,3.6,5,1.5,3.8,4.8
B1,10/12/00,Aalst,Antwerp,0,4,A,0,2,A,2,3.1,3.4,2,3,2.9,1.91,3.25,3.3,2,3.4,2.9
B1,10/12/00,Club Brugge,Lierse,1,0,H,1,0,H,1.25,4.8,9,1.25,4.3,8,1.25,4.75,8,1.3,4.4,7
B1,10/12/00,Harelbeke,Lokeren,1,6,A,1,2,A,2.7,3.2,2.3,2.8,3,2.1,2.63,3.25,2.25,2.55,3.3,2.25
B1,15/12/00,Charleroi,Westerlo,2,2,D,0,1,A,1.9,3.2,3.6,1.8,3,3.5,1.8,3.5,3.4,1.8,3.5,3.35
B1,16/12/00,Gent,Germinal,3,1,H,2,1,H,1.65,3.3,4.6,1.65,3.2,3.9,1.62,3.5,4.33,1.6,3.6,4.25
B1,16/12/00,Anderlecht,Aalst,3,0,H,2,0,H,1.15,6,11,1.1,7,14,1.14,6,11,1.1,6.8,12
B1,16/12/00,Antwerp,St Truiden,2,0,H,0,0,D,1.85,3.2,3.6,1.8,3,3.5,1.75,3.4,3.75,1.7,3.5,3.8
B1,16/12/00,Beveren,Harelbeke,2,1,H,0,0,D,1.45,3.7,6,1.45,3.5,5,1.44,3.6,6,1.5,3.8,4.8
B1,16/12/00,Lierse,Mechelen,1,1,D,1,1,D,1.4,3.8,6.8,1.3,4,7,1.44,3.6,6,1.45,3.6,5.8
B1,16/12/00,Lokeren,Standard,2,1,H,0,1,A,2.7,3.3,2.2,2.6,3,2.2,2.6,3.4,2.2,2.65,3.35,2.15
B1,16/12/00,Mouscron,Louvieroise,0,0,D,0,0,D,1.3,4.5,7.5,1.25,4.3,8,1.29,4.33,8,1.25,4.7,8
B1,17/12/00,Genk,Club Brugge,0,1,A,0,1,A,4.2,3.8,1.6,3.9,3.2,1.65,4.2,3.6,1.62,4,3.4,1.72
B1,20/12/00,Anderlecht,St Truiden,3,2,H,0,2,A,1.12,6.5,12,1.15,5.5,11,1.17,5.25,11,1.1,6.8,12
B1,20/12/00,Antwerp,Westerlo,1,3,A,1,1,D,2.3,3.3,2.6,2.35,3,2.35,2.25,3.2,2.63,2.2,3.4,2.55
B1,20/12/00,Charleroi,Beveren,5,0,H,3,0,H,1.65,3.6,4,1.6,3.3,4,1.62,3.5,4.33,1.65,3.55,4
B1,20/12/00,Germinal,Mouscron,4,1,H,2,0,H,2.25,3.5,2.5,2.3,3.1,2.3,2.3,3.2,2.6,,,
B1,20/12/00,Genk,Mechelen,3,1,H,1,0,H,1.55,3.6,4.7,1.5,3.4,4.7,1.57,3.5,4.75,1.65,3.6,3.9
B1,20/12/00,Lierse,Aalst,2,0,H,2,0,H,1.45,3.5,7,1.45,3.5,5,1.44,3.75,5.75,1.45,3.75,5.5
B1,20/12/00,Lokeren,Louvieroise,3,1,H,0,0,D,1.35,4,8,1.4,3.6,5.5,1.4,3.75,6.5,1.4,3.9,6
B1,20/12/00,Standard,Harelbeke,3,0,H,1,0,H,1.15,6,12,1.2,4.7,9,1.2,5,10,1.15,6,10
B1,19/01/01,Club Brugge,Mouscron,2,2,D,1,1,D,1.25,4.5,8.5,1.25,4.3,8,1.25,4.6,8.5,1.3,4.5,7
B1,20/01/01,Beveren,Antwerp,2,1,H,2,1,H,2.05,2.9,3.2,2,2.9,3,2,3.4,2.9,2,3.5,2.9
B1,20/01/01,Germinal,Lokeren,2,0,H,0,0,D,1.9,3.1,3.5,1.85,3,3.3,1.83,3.4,3.4,1.8,3.5,3.4
B1,20/01/01,Mechelen,Gent,3,3,D,0,3,A,3.2,2.8,2.1,2.8,3,2.1,3.2,3.1,2,2.75,3.4,2.1
B1,20/01/01,Louvieroise,Standard,0,4,A,0,2,A,4.2,3.3,1.65,3.6,3.2,1.7,3.8,3.4,1.73,3.8,3.5,1.7
B1,20/01/01,Lierse,St Truiden,2,1,H,0,0,D,1.47,3.4,6,1.35,3.8,6.2,1.44,3.75,5.75,1.45,3.75,5.5
B1,21/01/01,Aalst,Genk,4,2,H,1,2,A,2.3,3.2,2.6,2.35,3,2.35,2.38,3.2,2.5,2.35,3.3,2.45
B1,21/01/01,Harelbeke,Charleroi,1,0,H,0,0,D,3.4,2.8,2.1,3.1,3,1.9,2.88,3.5,2,2.6,3.5,2.15
B1,27/01/01,Gent,Aalst,1,0,H,1,0,H,1.35,4,7,1.35,3.8,6.2,1.36,4,6.75,1.35,4,7
B1,27/01/01,Antwerp,Charleroi,1,1,D,1,0,H,2.18,3.35,2.65,2.2,3,2.6,2.2,3.4,2.6,2.25,3.4,2.5
B1,27/01/01,Beveren,Anderlecht,1,3,A,0,2,A,4.8,3.6,1.55,4.2,3.2,1.6,4.5,3.6,1.57,4.6,3.65,1.55
B1,27/01/01,Genk,St Truiden,3,0,H,0,0,D,1.55,3.6,4.75,1.55,3.3,4.5,1.57,3.5,4.75,1.55,3.6,4.7
B1,27/01/01,Lierse,Westerlo,1,2,A,1,0,H,2,3.1,3.25,2,2.9,3,1.91,3.4,3.2,1.9,3.5,3.1
B1,27/01/01,Lokeren,Club Brugge,2,2,D,2,1,H,4.2,3.5,1.65,3.9,3.2,1.65,4,3.2,1.75,3.6,3.1,1.83
B1,28/01/01,Louvieroise,Harelbeke,0,2,A,0,1,A,2.05,3.3,2.95,2,3,2.9,2.1,3.3,2.8,2.1,3.4,2.75
B1,28/01/01,Mouscron,Mechelen,4,2,H,0,1,A,1.35,4,7,1.3,4,7,1.4,3.8,6.25,1.4,4,6
B1,28/01/01,Standard,Germinal,1,1,D,1,0,H,1.45,3.6,6,1.45,3.5,5,1.5,3.5,5.5,1.45,3.8,5.5
B1,02/02/01,Charleroi,Anderlecht,0,4,A,0,1,A,3.55,3.25,1.85,3.5,3,1.8,3.5,3.4,1.8,3.4,3.5,1.8
B1,03/02/01,Beveren,Lierse,2,1,H,0,1,A,2.2,3.2,2.75,2.35,3,2.35,2.2,3.25,2.7,2.2,3.4,2.6
B1,03/02/01,Germinal,Louvieroise,3,1,H,1,0,H,1.3,4.3,7.5,1.25,4.3,8,1.33,4,7.5,1.35,4.4,6
