Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,GBAHH,GBAHA,GBAH
SC0,01/11/03,Dunfermline,Dundee United,2,0,H,0,0,D,D McDonald,19,3,8,1,10,11,8,4,0,2,0,0,2,3.25,3.25,2,3.3,3.25,2,3.2,3.1,2,3.4,3,2,3.25,3.25,2,3.25,3.25,2,3.4,3,1.71,2,2,1.8,-0.5
SC0,01/11/03,Hearts,Livingston,3,1,H,0,0,D,S Dougal,11,12,7,8,9,14,5,6,2,3,0,1,1.72,3.25,4.33,1.75,3.3,4.2,1.8,3.2,3.7,1.8,3.25,3.75,1.73,3.25,4.33,1.73,3.25,4.33,1.72,3.4,4,1.65,2.05,1.75,2.05,-0.5
SC0,01/11/03,Kilmarnock,Celtic,0,5,A,0,1,A,H Dallas,4,11,2,6,17,8,8,7,3,1,0,0,10,5.5,1.2,10,5.5,1.2,9,4.5,1.25,12,5.5,1.17,10,5,1.22,10,5,1.22,9.5,5,1.22,1.6,2.15,,,
SC0,01/11/03,Rangers,Partick,3,1,H,2,0,H,J Rowbotham,11,9,6,2,14,13,2,3,2,5,0,0,1.1,7,15,1.1,7,17,1.12,6.5,13,1.1,6.5,17,1.1,7,17,1.1,7,15,1.1,6.5,17,,,,,
SC0,08/11/03,Celtic,Dunfermline,5,0,H,1,0,H,M McCurry,17,3,11,1,8,10,4,1,0,2,0,0,1.08,7.5,17,1.09,7.55,20.5,1.12,6.5,13,1.071,7,21,1.1,7,17,1.1,7,17,1.08,7,17,,,,,
SC0,08/11/03,Dundee,Motherwell,0,1,A,0,0,D,I Brines,10,12,3,8,10,11,7,5,0,1,0,0,1.9,3.25,3.5,2,3.2,3.35,2,3.2,3.1,1.833,3.5,3.4,2,3.25,3.25,2,3.25,3.25,2.1,3.2,3,1.71,1.95,2,1.78,-0.5
SC0,08/11/03,Hibernian,Dundee United,2,2,D,1,1,D,C Richmond,9,7,6,4,7,14,4,7,1,1,0,0,1.83,3.25,3.75,1.85,3.25,3.8,1.9,3.2,3.4,1.8,3.5,3.5,1.83,3.25,3.75,1.83,3.25,3.75,2,3.3,3.1,1.75,1.95,1.85,1.92,-0.5
SC0,08/11/03,Livingston,Partick,2,0,H,2,0,H,A Freeland,15,9,12,4,14,11,3,4,1,3,0,0,1.61,3.4,5,1.6,3.4,5.25,1.65,3.3,4.4,1.571,3.5,5,1.62,3.4,5,1.61,3.4,5,1.57,3.5,5,1.65,2.05,1.9,1.87,-0.75
SC0,09/11/03,Aberdeen,Hearts,0,1,A,0,1,A,C Thomson,5,7,2,5,13,20,6,3,4,3,2,0,2.8,3.25,2.2,3,3.2,2.15,3.1,3.2,2,2.75,3.5,2.1,3,3.1,2.2,3,3.1,2.2,3.2,3.2,2,1.71,2,1.85,1.93,0.25
SC0,09/11/03,Kilmarnock,Rangers,2,3,A,1,1,D,J Underhill,5,22,4,9,17,10,3,16,1,1,0,0,10,5,1.22,10,5,1.25,8.5,4.3,1.27,10,5,1.222,10,5,1.22,10,5,1.22,9.5,5,1.22,1.5,2.35,,,
SC0,22/11/03,Dundee United,Celtic,1,5,A,0,1,A,K Clark,7,13,5,8,17,15,6,6,1,2,0,0,10,5.5,1.2,12,6,1.16,11,5.5,1.17,12,6,1.14,13,5.5,1.17,13,5.5,1.17,12,5.5,1.16,1.5,2.35,,,
SC0,22/11/03,Dunfermline,Dundee,2,0,H,0,0,D,S Conroy,10,6,5,3,10,18,1,7,0,2,0,0,2.2,3.25,2.8,2.25,3.25,2.8,2.1,3.1,3,2.2,3.25,2.75,2.2,3.2,2.88,2.2,3.2,2.88,2.25,3.2,2.75,1.75,1.95,1.9,1.9,-0.25
SC0,22/11/03,Motherwell,Livingston,1,1,D,1,1,D,J Underhill,9,8,5,1,7,19,3,2,1,4,0,0,1.9,3.25,3.5,2.1,3.3,3,2.1,3.1,3,2,3.4,3,2.1,3.25,3,2.1,3.25,3,2.1,3.3,2.87,1.79,1.9,1.85,1.95,-0.25
SC0,22/11/03,Partick,Kilmarnock,2,4,A,1,1,D,D McDonald,11,13,7,8,17,17,6,8,2,2,0,0,2.8,3.25,2.2,3,3.3,2.1,3.1,3.2,2,2.75,3.2,2.25,2.88,3.2,2.2,2.88,3.2,2.2,3.25,3.4,1.9,1.85,1.85,1.9,1.9,0.25
SC0,22/11/03,Rangers,Aberdeen,3,0,H,0,0,D,W Young,18,3,12,2,3,17,13,3,0,3,0,1,1.1,7,15,1.1,7,17,1.1,7,15,1.1,6.5,17,1.11,6.5,17,1.11,6.5,17,1.1,6.5,17,1.4,2.65,,,
SC0,23/11/03,Hearts,Hibernian,2,0,H,1,0,H,H Dallas,8,7,1,1,14,13,6,6,1,2,0,0,1.83,3.25,3.75,2,3.15,3.4,2,3.1,3.2,2,3.2,3.2,1.83,3.25,3.75,1.83,3.25,3.75,2,3.1,3.3,1.71,2,1.95,1.85,-0.5
SC0,25/11/03,Motherwell,Dunfermline,2,2,D,0,2,A,A Freeland,15,9,8,4,9,12,8,3,2,2,0,0,1.9,3.25,3.5,2.12,3.25,3,2.2,3,2.9,2.1,3.2,3,2.1,3.25,3,2.1,3.25,3,2.2,3.2,2.8,1.85,1.85,1.85,1.95,-0.25
SC0,29/11/03,Celtic,Partick,3,1,H,2,1,H,C Thomson,18,4,10,3,13,20,8,3,1,4,0,0,1.05,8.5,23,1.05,8,25,1.03,10,20,1.05,7.5,26,1.06,8,19,1.06,8,19,1.05,8,21,,,,,
SC0,29/11/03,Dunfermline,Aberdeen,2,2,D,0,1,A,I Brines,15,8,8,2,12,14,8,0,1,4,0,0,1.72,3.5,4,1.7,3.4,4.4,1.7,3.3,4,1.73,3.5,3.75,1.67,3.4,4.5,1.67,3.4,4.5,1.66,3.4,4.33,1.85,1.85,2,1.8,-0.75
SC0,29/11/03,Kilmarnock,Motherwell,2,0,H,1,0,H,M McCurry,12,5,5,5,14,8,1,11,2,1,0,0,2.4,3.2,2.6,2.4,3.25,2.6,2.3,3.1,2.6,2.4,3.25,2.5,2.38,3.2,2.62,2.4,3.2,2.6,2.37,3.3,2.5,1.71,1.95,1.8,2,0
SC0,29/11/03,Livingston,Dundee,1,1,D,0,0,D,J Rowbotham,5,14,2,7,8,13,3,3,1,1,0,0,,,,1.55,3.55,5,,,,1.62,4,4,,,,,,,1.57,3.5,5,,,,,
SC0,30/11/03,Dundee United,Hearts,2,1,H,2,0,H,A Freeland,11,6,7,4,13,19,2,9,3,3,0,0,3,3.25,2.1,3.15,3.25,2.05,3.1,3.2,2,3,3.2,2.1,2.88,3.2,2.2,2.88,3.2,2.2,3.4,3.25,1.9,1.75,1.9,2,1.8,0.25
SC0,30/11/03,Hibernian,Rangers,0,1,A,0,0,D,S Dougal,15,14,4,9,15,10,6,8,3,3,0,0,9,5,1.25,9,5,1.25,8,4.2,1.3,8,5,1.25,8.5,5,1.25,9,5,1.25,8,5,1.25,1.6,2.1,,,
SC0,06/12/03,Dundee,Kilmarnock,1,2,A,1,2,A,C Murray,15,6,5,4,11,16,17,3,1,1,0,0,,,,2.6,3.3,2.33,2.6,3.1,2.3,2.5,3.25,2.4,2.62,3.2,2.37,2.62,3.2,2.37,2.6,3.3,2.3,1.85,1.85,1.75,2.05,0.25
SC0,06/12/03,Dunfermline,Hearts,2,1,H,1,1,D,C Richmond,9,14,6,7,22,19,6,11,2,2,0,0,2.5,3.2,2.5,2.5,3.25,2.45,2.3,3.2,2.5,2.4,3.25,2.5,2.6,3.2,2.4,2.6,3.2,2.4,2.5,3.25,2.4,1.85,1.85,1.9,1.9,0
SC0,06/12/03,Livingston,Celtic,0,2,A,0,0,D,H Dallas,7,17,2,9,12,16,3,12,1,2,0,0,11,6,1.16,10,5.75,1.2,10,5,1.2,12,6,1.143,11,6,1.16,11,6,1.16,9,5.5,1.2,,,,,
SC0,06/12/03,Rangers,Dundee United,2,1,H,2,0,H,J Underhill,19,8,7,2,13,20,8,4,1,5,0,0,1.1,7,15,1.11,7,15,1.1,7,15,1.125,6,15,1.11,6.5,17,1.11,6.5,17,1.11,7,12,,,,,
