Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA
SC3,27/09/03,Albion Rvs,Peterhead,2,0,H,0,0,D,2.75,3.5,2.1,2.75,3.5,2.1,,,,2.375,3.5,2.375,,,,2.75,3.5,2.1,2.75,3.5,2.1
SC3,27/09/03,East Stirling,Queens Park,1,2,A,0,1,A,3,3.4,2,2.9,3.5,2,,,,3.5,3.5,1.8,,,,3.2,3.5,1.9,3.3,3.75,1.8
SC3,27/09/03,Elgin,Cowdenbeath,0,4,A,0,1,A,2.2,3.5,2.6,2.2,3.5,2.6,,,,2,3.4,3,,,,2.2,3.5,2.6,2.5,3.6,2.25
SC3,27/09/03,Gretna,Stirling,0,1,A,0,0,D,2.5,3.4,2.3,2.4,3.5,2.35,,,,2.5,3.5,2.25,,,,2.37,3.5,2.37,2.6,3.4,2.25
SC3,27/09/03,Montrose,Stranraer,2,4,A,0,2,A,2.75,3.5,2.1,2.6,3.5,2.2,,,,2.625,3.5,2.2,,,,2.6,3.5,2.2,3.2,3.5,1.9
SC3,04/10/03,Albion Rvs,East Stirling,5,0,H,1,0,H,1.4,3.75,7,1.4,3.85,6.25,,,,1.286,5,7,,,,1.36,4,6.5,1.36,4,7
SC3,04/10/03,Cowdenbeath,Stranraer,0,1,A,0,1,A,2.6,3.5,2.2,2.6,3.45,2.2,,,,2.625,3.5,2.2,,,,2.5,3.5,2.25,2.62,3.5,2.2
SC3,04/10/03,Gretna,Montrose,1,1,D,1,1,D,1.8,3.5,3.5,1.8,3.5,3.5,,,,1.727,3.5,3.75,,,,1.8,3.5,3.5,1.8,3.6,3.4
SC3,04/10/03,Queens Park,Peterhead,0,2,A,0,2,A,2.5,3.5,2.25,2.5,3.5,2.25,,,,2.5,3.5,2.25,,,,2.5,3.5,2.25,2.6,3.4,2.25
SC3,04/10/03,Stirling,Elgin,3,0,H,2,0,H,1.44,3.75,6,1.5,3.75,5,,,,1.4,4.333,5.5,,,,1.5,3.75,5,1.44,3.75,6
SC3,11/10/03,Stirling,Montrose,3,0,H,2,0,H,1.36,4,7,1.4,4.3,5.5,,,,1.36,4.33,6.5,,,,1.36,4.2,6.5,1.4,3.75,7
SC3,18/10/03,East Stirling,Gretna,0,1,A,0,0,D,4.33,3.6,1.61,3.9,3.7,1.67,,,,4.5,3.5,1.615,,,,4,3.6,1.66,4.33,3.6,1.61
SC3,18/10/03,Elgin,Albion Rvs,1,5,A,1,2,A,3.2,3.5,1.9,2.9,3.5,2,,,,2.5,3.5,2.25,,,,2.6,3.5,2.2,3.1,3.6,1.9
SC3,18/10/03,Montrose,Stirling,2,3,A,0,2,A,4.33,3.6,1.61,3.7,3.6,1.73,,,,4,3.6,1.667,,,,3.75,3.6,1.72,4.5,3.75,1.57
SC3,18/10/03,Peterhead,Cowdenbeath,0,1,A,0,0,D,1.61,3.6,4.33,1.62,3.7,4.2,,,,1.615,3.5,4.5,,,,1.61,3.75,4.2,1.72,3.6,3.75
SC3,18/10/03,Stranraer,Queens Park,1,0,H,0,0,D,1.66,3.6,4,1.67,3.7,3.9,,,,1.727,3.5,3.75,,,,1.66,3.6,4,1.66,3.6,4
SC3,25/10/03,Albion Rvs,Cowdenbeath,1,2,A,0,0,D,1.83,3.5,3.4,1.8,3.6,3.4,,,,1.727,3.75,3.5,,,,1.8,3.6,3.4,1.8,3.6,3.4
SC3,25/10/03,Elgin,Queens Park,2,2,D,1,0,H,2.37,3.5,2.37,2.45,3.5,2.3,,,,2.5,3.5,2.25,,,,2.5,3.5,2.3,2.5,3.6,2.25
SC3,25/10/03,Gretna,Peterhead,3,2,H,0,1,A,2.37,3.5,2.37,2.4,3.5,2.35,,,,2.375,3.5,2.375,,,,2.37,3.5,2.37,2.5,3.4,2.3
SC3,25/10/03,Montrose,East Stirling,5,1,H,1,1,D,1.61,3.6,4.33,1.63,3.6,4.3,,,,1.571,3.75,4.5,,,,1.66,3.5,4.33,1.8,3.5,3.5
SC3,25/10/03,Stirling,Stranraer,1,0,H,1,0,H,1.9,3.5,3.2,1.9,3.5,3.2,,,,1.727,3.5,3.75,,,,1.9,3.5,3.2,1.9,3.6,3.1
SC3,01/11/03,Cowdenbeath,Stirling,2,0,H,0,0,D,3.2,3.5,1.9,3.3,3.5,1.85,,,,3.5,3.75,1.73,,,,3.5,3.5,1.8,3.4,3.6,1.8
SC3,01/11/03,East Stirling,Elgin,3,1,H,1,0,H,3,3.4,2,3.05,3.5,1.95,,,,3.2,3.5,1.91,,,,3.2,3.5,1.91,3.1,3.6,1.9
SC3,01/11/03,Peterhead,Montrose,0,0,D,0,0,D,1.57,3.75,4.5,1.6,3.7,4.33,,,,1.67,3.6,4,,,,1.62,3.6,4.33,1.5,3.8,5
SC3,01/11/03,Queens Park,Gretna,0,1,A,0,0,D,2.5,3.4,2.3,2.4,3.6,2.3,,,,2.5,3.5,2.25,,,,2.38,3.5,2.38,2.62,3.5,2.2
SC3,01/11/03,Stranraer,Albion Rvs,5,0,H,1,0,H,1.9,3.5,3.2,1.9,3.5,3.2,,,,1.8,3.5,3.5,,,,1.91,3.5,3.2,2,3.6,2.87
SC3,08/11/03,East Stirling,Stranraer,1,4,A,1,1,D,6,3.75,1.44,5,3.85,1.5,,,,5.5,3.6,1.5,,,,5.2,3.75,1.5,5.5,4,1.44
SC3,08/11/03,Gretna,Elgin,2,2,D,2,1,H,1.44,3.75,6,1.5,3.85,5,,,,1.533,3.75,5,,,,1.5,3.6,5.5,1.5,3.8,5
SC3,08/11/03,Montrose,Albion Rvs,1,0,H,0,0,D,2.5,3.5,2.25,2.55,3.5,2.25,,,,2.75,3.5,2.1,,,,2.6,3.4,2.25,3.1,3.6,1.9
SC3,08/11/03,Peterhead,Stirling,2,2,D,0,2,A,2.5,3.5,2.25,2.55,3.5,2.25,,,,3,3.4,2,,,,2.6,3.4,2.25,2.75,3.5,2.1
SC3,08/11/03,Queens Park,Cowdenbeath,0,0,D,0,0,D,2.5,3.5,2.25,2.55,3.5,2.25,,,,2.625,3.5,2.2,,,,2.5,3.4,2.3,2.8,3.4,2.1
SC3,14/11/03,Albion Rvs,Gretna,1,3,A,0,1,A,2.37,3.5,2.37,2.4,3.4,2.4,,,,2.38,3.5,2.38,,,,2.38,3.5,2.38,2.38,3.5,2.38
SC3,14/11/03,Cowdenbeath,East Stirling,2,1,H,0,0,D,1.33,4.5,6.5,1.35,4.35,6.3,,,,1.36,4.33,6.5,,,,1.3,4.33,8,1.3,4.33,8
SC3,15/11/03,Elgin,Montrose,2,3,A,1,1,D,2.5,3.4,2.3,2.5,3.4,2.3,,,,2.38,3.5,2.38,,,,2.5,3.4,2.3,2.5,3.4,2.3
SC3,15/11/03,Stirling,Queens Park,1,0,H,0,0,D,1.44,3.75,6,1.45,3.9,5.5,,,,1.44,4,5.5,,,,1.44,4,5.5,1.44,4,5.5
SC3,15/11/03,Stranraer,Peterhead,0,2,A,0,1,A,1.83,3.5,3.4,1.8,3.5,3.5,,,,1.62,4,4,,,,1.8,3.4,3.6,1.8,3.4,3.6
SC3,29/11/03,East Stirling,Peterhead,1,3,A,0,2,A,5,3.8,1.5,4.45,3.7,1.58,,,,4.5,3.75,1.57,,,,4.5,3.75,1.57,5,3.6,1.53
SC3,29/11/03,Elgin,Stranraer,1,3,A,1,2,A,4.33,3.6,1.61,3.9,3.5,1.7,,,,4,3.6,1.67,,,,3.8,3.6,1.7,4.5,3.75,1.57
SC3,02/12/03,Albion Rvs,Stirling,0,3,A,0,3,A,3.2,3.5,1.9,3.45,3.45,1.82,,,,3.75,3.5,1.73,,,,3.5,3.5,1.8,3.4,3.5,1.83
SC3,02/12/03,Gretna,Cowdenbeath,1,0,H,1,0,H,2,3.4,3,,,,,,,2.1,3.5,2.75,,,,2.2,3.4,2.62,2.25,3.4,2.6
SC3,02/12/03,Montrose,Queens Park,0,0,D,0,0,D,2,3.6,2.87,1.93,3.4,3.15,,,,1.91,3.5,3.2,,,,1.91,3.5,3.2,2.1,3.5,2.75
SC3,06/12/03,Cowdenbeath,Elgin,3,2,H,2,1,H,1.53,3.75,4.75,1.53,3.7,5.25,,,,1.571,3.75,4.5,,,,1.53,3.6,5,1.5,3.6,5.5
SC3,06/12/03,Peterhead,Albion Rvs,2,1,H,2,0,H,1.61,3.6,4.33,1.62,3.65,4.5,,,,1.667,3.6,4,,,,1.6,3.6,4.5,1.61,3.6,4.33
SC3,06/12/03,Queens Park,East Stirling,3,0,H,2,0,H,1.57,3.75,4.5,1.53,3.75,5,,,,1.444,4,5.5,,,,1.5,3.75,5.25,1.5,3.8,5
SC3,06/12/03,Stirling,Gretna,0,1,A,0,1,A,1.72,3.6,3.75,1.7,3.6,4,,,,1.727,3.5,3.75,,,,1.66,3.6,4,1.72,3.6,3.75
SC3,06/12/03,Stranraer,Montrose,2,0,H,1,0,H,1.61,3.6,4.33,1.7,3.6,4,,,,1.667,3.6,4,,,,1.66,3.6,4,1.61,3.75,4.2
SC3,13/12/03,East Stirling,Albion Rvs,3,4,A,2,2,D,3.75,3.6,1.727,3.3,3.5,1.85,,,,3.5,3.5,1.8,,,,3.4,3.5,1.83,3.8,3.75,1.66
SC3,13/12/03,Elgin,Stirling,0,2,A,0,1,A,6,3.75,1.444,5.5,3.75,1.47,,,,5,3.75,1.533,,,,5,3.8,1.5,5.5,4,1.44
SC3,13/12/03,Montrose,Gretna,2,0,H,2,0,H,3.2,3.5,1.909,3.2,3.5,1.9,,,,3,3.4,2,,,,3.2,3.4,1.9,3.4,3.6,1.8
SC3,13/12/03,Peterhead,Queens Park,4,1,H,2,0,H,1.571,3.75,4.5,1.57,3.7,4.5,,,,1.667,3.6,4,,,,1.61,3.6,4.33,1.57,3.75,4.5
SC3,13/12/03,Stranraer,Cowdenbeath,2,0,H,1,0,H,1.667,3.6,4,1.65,3.6,4.1,,,,1.8,3.5,3.5,,,,1.66,3.6,4,1.83,3.6,3.3
SC3,27/12/03,Cowdenbeath,Peterhead,2,0,H,1,0,H,2.5,3.4,2.3,2.5,3.45,2.3,2.3,3.1,2.3,2.375,3.5,2.375,,,,2.5,3.5,2.25,2.5,3.4,2.3
SC3,27/12/03,Gretna,East Stirling,2,1,H,0,0,D,1.25,5,8,1.22,5,9,1.25,4.5,7,1.222,5,10,,,,1.22,5,8.5,1.2,5.5,9
SC3,03/01/04,Cowdenbeath,Montrose,3,3,D,2,2,D,1.909,3.5,3.2,2,3.4,3,2,3.3,2.7,2,3.4,3,,,,1.9,3.5,3.1,2.1,3.5,2.75
SC3,03/01/04,Peterhead,Elgin,5,1,H,1,1,D,1.333,4.5,6.5,1.35,4.25,6.5,1.35,4,5.5,1.364,4.333,6.5,,,,1.33,4.33,6.5,1.36,4,7
SC3,03/01/04,Queens Park,Albion Rvs,1,1,D,0,0,D,2.3,3.4,2.5,2.3,3.4,2.5,2.2,3.3,2.4,2.25,3.5,2.5,,,,2.25,3.5,2.5,2.37,3.5,2.37
SC3,03/01/04,Stranraer,Gretna,1,2,A,0,1,A,2.1,3.5,2.75,2.1,3.4,2.8,2,3.3,2.7,2.1,3.5,2.75,,,,2.1,3.4,2.75,2.1,3.4,2.8
SC3,10/01/04,East Stirling,Stirling,2,4,A,1,0,H,7,5,1.28,7.3,4.5,1.3,6.5,4.2,1.3,8,4.5,1.29,,,,7.5,4.6,1.29,7.5,4.5,1.3
SC3,10/01/04,Queens Park,Stranraer,0,4,A,0,3,A,4,3.6,1.66,3.7,3.5,1.75,3.4,3.3,1.75,3.4,3.5,1.83,,,,3.75,3.6,1.73,4,3.6,1.66
SC3,17/01/04,Elgin,East Stirling,3,0,H,2,0,H,1.61,3.6,4.33,1.7,3.5,4,1.7,3.4,3.5,1.67,3.6,4,,,,1.67,3.5,4,1.8,3.5,3.5
SC3,17/01/04,Gretna,Queens Park,0,1,A,0,0,D,1.53,4,4.5,1.5,3.8,5,1.5,3.6,4.4,1.44,4,5.5,,,,1.5,3.75,5,1.5,3.8,5
SC3,17/01/04,Montrose,Peterhead,2,1,H,1,0,H,2.75,3.5,2.1,2.65,3.4,2.2,2.5,3.1,2.2,2.5,3.5,2.25,,,,2.6,3.4,2.2,2.62,3.5,2.2
SC3,17/01/04,Stirling,Cowdenbeath,1,1,D,0,0,D,1.57,3.75,4.5,1.6,3.75,4.25,1.6,3.4,3.9,1.57,3.75,4.5,,,,1.53,3.75,4.6,1.61,3.75,4.2
SC3,24/01/04,Cowdenbeath,Gretna,1,2,A,1,1,D,2.37,3.5,2.37,2.45,3.4,2.35,2.3,3.1,2.3,2.25,3.5,2.5,,,,2.38,3.4,2.38,2.5,3.4,2.3
SC3,24/01/04,Peterhead,East Stirling,6,0,H,4,0,H,1.2,5.5,9,1.18,5.6,9.65,1.2,4.7,6.5,1.22,5.5,8,,,,1.2,5.5,8.5,1.16,6,10
SC3,24/01/04,Queens Park,Montrose,1,1,D,0,0,D,2.37,3.5,2.37,2.45,3.45,2.35,2.3,3.1,2.3,2.25,3.5,2.5,,,,2.3,3.5,2.4,2.5,3.4,2.3
SC3,24/01/04,Stirling,Albion Rvs,3,0,H,1,0,H,1.4,4.33,5.5,1.43,4.1,5.45,1.45,3.7,4.6,1.44,4,5.5,,,,1.4,4.2,5.5,1.44,4,5.5
SC3,24/01/04,Stranraer,Elgin,6,0,H,1,0,H,1.33,4.5,6.5,1.35,4.5,6,1.35,4,5.5,1.29,5,7,,,,1.36,4,6.5,1.3,5,6.5
SC3,31/01/04,Montrose,Stranraer,1,4,A,1,3,A,3.75,3.6,1.727,3.45,3.55,1.8,3,3.3,1.85,3.2,3.5,1.909,,,,3.3,3.6,1.8,3.3,3.6,1.83
SC3,07/02/04,Albion Rvs,Montrose,3,0,H,1,0,H,2.375,3.5,2.375,2.38,3.5,2.38,2.3,3.1,2.3,2.5,3.5,2.25,,,,2.37,3.4,2.37,2.37,3.5,2.37
SC3,07/02/04,Cowdenbeath,Queens Park,5,1,H,2,1,H,1.8,3.5,3.5,1.83,3.5,3.4,1.9,3.2,2.9,1.8,3.5,3.5,,,,1.85,3.5,3.2,1.9,3.6,3.1
SC3,07/02/04,Elgin,Gretna,1,1,D,0,1,A,6,3.75,1.444,6,3.75,1.45,4.2,3.7,1.5,5,3.75,1.533,,,,5,3.6,1.53,6,3.75,1.44
SC3,07/02/04,Stirling,Peterhead,0,2,A,0,1,A,1.727,3.6,3.75,1.72,3.6,3.75,1.8,3.3,3.2,1.727,3.5,3.75,,,,1.66,3.5,4,1.8,3.6,3.4
SC3,07/02/04,Stranraer,East Stirling,7,1,H,2,0,H,1.143,6,12,1.14,6,12,1.15,4.7,9,1.125,6,15,,,,1.14,6,11,1.12,6.5,12
SC3,14/02/04,East Stirling,Cowdenbeath,0,1,A,0,0,D,7,3.75,1.4,6,4,1.4,5.5,4,1.35,5.5,4.333,1.4,,,,6,4.33,1.36,6.5,5,1.3
SC3,14/02/04,Gretna,Albion Rvs,3,0,H,3,0,H,1.533,3.75,4.75,1.55,3.75,4.65,1.55,3.4,4.3,1.5,4,5,,,,1.57,3.6,4.5,1.57,4,4.2
SC3,14/02/04,Montrose,Elgin,4,3,H,3,1,H,1.571,3.75,4.5,1.6,3.6,4.4,1.55,3.4,4.3,1.5,4,5,,,,1.57,3.6,4.5,1.57,4,4.2
SC3,14/02/04,Peterhead,Stranraer,2,0,H,2,0,H,2.375,3.5,2.375,2.4,3.4,2.4,2.3,3.1,2.3,2.25,3.5,2.5,,,,2.4,3.5,2.3,2.37,3.5,2.37
SC3,14/02/04,Queens Park,Stirling,1,4,A,1,2,A,4.333,3.6,1.615,4,3.5,1.7,3.8,3.3,1.65,3.75,3.5,1.727,,,,4,3.5,1.66,3.8,3.75,1.66
SC3,17/02/04,Albion Rvs,Stranraer,1,4,A,0,2,A,3.75,3.6,1.72,3.75,3.65,1.7,3.3,3.4,1.75,3.75,3.5,1.73,,,,,,,3.75,3.6,1.73
SC3,21/02/04,East Stirling,Gretna,2,4,A,1,2,A,9,5.5,1.2,8.5,5.4,1.21,6,4.4,1.3,7,5,1.286,,,,9,5,1.22,8,5.5,1.22,,,,,,,,,,,,,,,,,,,,
SC3,21/02/04,Elgin,Albion Rvs,1,2,A,0,1,A,2.75,3.5,2.1,2.8,3.5,2.05,2.4,3.3,2.2,3,3.4,2,,,,2.75,3.5,2.1,2.87,3.6,2,,,,,,,,,,,,,,,,,,,,
SC3,21/02/04,Montrose,Stirling,1,4,A,1,3,A,4,3.6,1.667,3.8,3.6,1.7,3.5,3.4,1.7,3.5,3.5,1.8,,,,4,3.6,1.66,3.75,3.6,1.72,,,,,,,,,,,,,,,,,,,,
SC3,21/02/04,Peterhead,Cowdenbeath,0,0,D,0,0,D,1.727,3.6,3.75,1.7,3.6,3.8,1.75,3.4,3.3,1.727,3.5,3.75,,,,1.66,3.6,4,1.72,3.6,3.75,,,,,,,,,,,,,,,,,,,,
SC3,21/02/04,Stranraer,Queens Park,3,1,H,0,0,D,1.333,4.5,6.5,1.36,4.5,5.8,1.4,3.9,4.8,1.4,4.333,5.5,,,,1.33,4.33,7,1.4,4.33,5.5,,,,,,,,,,,,,,,,,,,,
SC3,28/02/04,Gretna,Montrose,1,2,A,1,0,H,1.444,4,5.5,1.44,4,5.5,1.55,3.5,4.2,1.533,3.75,5,,,,1.4,4,6,1.53,4,4.5,,,,,,,,,,,,,,,,,,,,
SC3,28/02/04,Queens Park,Peterhead,1,0,H,1,0,H,3.5,3.5,1.8,3.5,3.5,1.8,2.8,3.4,1.9,3.4,3.5,1.833,,,,3.5,3.6,1.75,4.2,3.75,1.61,,,,,,,,,,,,,,,,,,,,
SC3,02/03/04,East Stirling,Queens Park,2,4,A,1,2,A,5,3.75,1.53,4.5,3.8,1.57,3.6,3.6,1.6,4.5,3.75,1.57,,,,,,,5,3.8,1.5,,,,,,,,,,,,,,,,,,,,
SC3,02/03/04,Gretna,Stirling,1,0,H,1,0,H,2.6,3.5,2.2,2.55,3.5,2.25,2.7,3.1,2.1,2.38,3.5,2.38,2.7,3.5,2.1,2.7,3.5,2.1,2.37,3.5,2.37,,,,,,,,,,,,,,,,,,,,
SC3,06/03/04,Cowdenbeath,Albion Rvs,1,1,D,0,1,A,1.8,3.5,3.5,1.8,3.5,3.45,1.8,3.2,3.3,1.727,3.5,3.75,1.8,3.5,3.4,1.8,3.5,3.4,1.8,3.6,3.4,,,,,,,,,,,,,,,,,,,,
SC3,06/03/04,East Stirling,Montrose,1,4,A,1,3,A,7,3.75,1.4,5.8,4.1,1.4,4.8,3.9,1.4,5.5,4.333,1.4,,,,,,,6.5,4.2,1.36,,,,,,,,,,,,,,,,,,,,
SC3,06/03/04,Peterhead,Gretna,2,1,H,0,1,A,2.375,3.5,2.375,2.25,3.5,2.5,2.2,3.1,2.5,2.2,3.5,2.625,2.25,3.5,2.5,2.25,3.5,2.5,2.4,3.4,2.4,,,,,,,,,,,,,,,,,,,,
SC3,06/03/04,Queens Park,Elgin,4,0,H,1,0,H,1.615,3.6,4.333,1.63,3.7,4.1,1.6,3.4,3.9,1.533,3.75,5,1.62,3.75,4,1.61,3.75,4,1.61,3.75,4.2,,,,,,,,,,,,,,,,,,,,
SC3,06/03/04,Stranraer,Stirling,1,1,D,0,0,D,2.25,3.5,2.5,2.3,3.5,2.45,2.1,3.1,2.7,2.25,3.4,2.625,2.25,3.5,2.5,2.25,3.5,2.5,2.25,3.5,2.5,,,,,,,,,,,,,,,,,,,,
SC3,09/03/04,Albion Rvs,East Stirling,5,1,H,4,0,H,1.25,5,8,1.23,5.6,7,1.3,4,7,1.222,5,10,,,,,,,1.22,5,9.5,,,,,,,,,,,,,,,,,,,,
SC3,09/03/04,Cowdenbeath,Stranraer,1,2,A,1,0,H,3,3.4,2,2.85,3.45,2.05,2.9,3.2,1.9,3,3.4,2,2.8,3.5,2.05,2.8,3.5,2.05,3.1,3.6,1.9,,,,,,,,,,,,,,,,,,,,
SC3,10/03/04,Stirling,Elgin,6,1,H,3,0,H,1.2,5,11,1.18,5.5,10,1.2,4.7,9,1.167,5.5,12,1.18,5.25,10,1.18,5.25,10,1.2,6,8,,,,,,,,,,,,,
SC3,13/03/04,Albion Rvs,Queens Park,3,1,H,2,1,H,2.2,3.5,2.6,2.2,3.5,2.6,2.2,3.1,2.5,2.2,3.5,2.625,2.2,3.5,2.6,2.2,3.5,2.6,2.3,3.4,2.5,,,,,,,,,,,,,
SC3,13/03/04,Elgin,Peterhead,1,0,H,0,0,D,5.5,3.6,1.5,4.7,3.8,1.53,3.8,3.7,1.55,5.5,4,1.444,,,,4.75,3.75,1.53,5,3.8,1.5,,,,,,,,,,,,,
SC3,13/03/04,Gretna,Stranraer,0,0,D,0,0,D,2.375,3.5,2.375,2.37,3.5,2.37,2.3,3.1,2.3,2.25,3.4,2.625,2.38,3.5,2.38,2.4,3.4,2.4,2.37,3.5,2.37,,,,,,,,,,,,,
SC3,13/03/04,Montrose,Cowdenbeath,1,1,D,1,1,D,2.375,3.5,2.375,2.37,3.5,2.37,2.3,3.1,2.3,2.2,3.5,2.625,2.38,3.5,2.38,2.4,3.4,2.4,2.37,3.5,2.37,,,,,,,,,,,,,
SC3,13/03/04,Stirling,East Stirling,6,0,H,2,0,H,1.083,7.5,15,1.1,6.5,15,1.1,5.5,11,1.083,7,17,,,,1.1,6.5,15,1.1,6.5,17,,,,,,,,,,,,,
