Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,GBAHH,GBAHA,GBAH,LBAHH,LBAHA,LBAH,B365AHH,B365AHA,B365AH
SC0,15/08/04,Dundee United,Dundee,1,2,A,0,1,A,H Dallas,17,7,12,2,12,9,12,2,0,2,0,0,2.2,3.25,3.2,2,3.25,3.3,2.25,3,3,2.2,2.9,3,2.1,3,3.2,2.2,3.2,2.88,2.2,3.1,2.87,1.95,1.75,1.85,1.95,-0.25,1.74,2.1,-0.25,1.85,2.05,-0.25
SC0,15/08/04,Inverness C,Dunfermline,2,0,H,1,0,H,T Brown,8,5,6,1,6,11,4,4,0,1,0,0,2.7,3.25,2.37,2.8,3.2,2.25,2.75,3,2.4,2.7,3,2.3,2.75,3.2,2.25,2.7,3.2,2.3,2.75,3.2,2.25,1.95,1.75,2,1.8,0,2,1.84,0,2.025,1.875,0
SC0,21/08/04,Dundee,Motherwell,1,2,A,0,1,A,C Murray,9,14,7,9,15,12,6,8,1,0,0,0,2.1,3.25,3,2,3.25,3.25,2.1,3.2,3.1,2.1,3,3.1,1.91,3.4,3.25,2.1,3.25,3,2.1,3.2,3,1.85,1.85,1.85,1.95,-0.25,1.88,1.96,-0.25,1.9,2,-0.25
SC0,21/08/04,Dunfermline,Aberdeen,0,1,A,0,1,A,I Fyfe,10,3,3,2,13,22,6,3,1,4,0,0,2.1,3.25,3,2.1,3.3,3,2.1,3.25,3,2.1,3,3.1,2,3.2,3.2,2,3.25,3.25,2.1,3.2,3,1.85,1.85,1.85,1.95,-0.25,2.02,1.82,-0.5,1.8,2.1,-0.25
SC0,21/08/04,Hearts,Kilmarnock,3,0,H,1,0,H,S Dougal,9,6,5,0,16,23,6,5,1,1,0,0,1.61,3.4,5,1.6,3.5,5,1.65,3.4,4.75,1.7,3.2,4.2,1.62,3.5,4.5,1.67,3.4,4.5,1.7,3.2,4.5,1.71,2,2,1.8,-1,2,1.84,-1,2.075,1.825,-1
SC0,21/08/04,Livingston,Dundee United,1,1,D,0,0,D,W Young,18,11,11,5,15,12,4,5,0,0,0,0,2.3,3.2,2.7,2.25,3.25,2.75,2.35,3.2,2.7,2.3,3,2.7,2.2,3.25,2.75,2.25,3.25,2.75,2.37,3.1,2.62,1.71,2,2.05,1.75,-0.25,2.02,1.82,-0.25,2.075,1.825,-0.25
SC0,21/08/04,Rangers,Hibernian,4,1,H,2,1,H,K Clark,17,10,12,8,16,22,4,5,3,4,0,0,1.16,5.5,13,1.2,5.5,10,1.19,5.5,11,1.2,5,10,1.17,5.5,12,1.17,6,11,1.14,6,12,1.55,2.25,,,,1.8,2.04,-1.75,1.825,2.075,-1.75
SC0,22/08/04,Inverness C,Celtic,1,3,A,1,1,D,D McDonald,1,15,0,9,13,9,4,9,3,0,1,0,11,6,1.22,,,,11,5.5,1.19,10,5,1.2,12,5.5,1.17,11,6,1.17,11,5,1.2,1.55,2.25,,,,,,,2.05,1.85,1.5
SC0,28/08/04,Aberdeen,Livingston,2,0,H,0,0,D,M McCurry,13,0,9,0,15,16,7,3,1,5,0,0,1.8,3.25,4,1.9,3.3,3.5,1.9,3.25,3.65,2,3.1,3.2,1.8,3.4,3.6,1.85,3.2,3.75,1.8,3.3,3.75,1.9,1.79,1.9,1.72,-0.5,,,,1.775,2.125,-0.25
SC0,28/08/04,Dundee United,Inverness C,2,1,H,0,0,D,J Rowbotham,11,7,8,4,11,15,13,3,2,0,0,0,1.8,3.25,4,1.75,3.4,4,1.83,3.25,3.85,1.8,3.1,3.8,1.67,3.4,4.33,1.83,3.25,3.75,1.83,3.3,3.6,1.85,1.85,1.83,1.76,-0.5,,,,1.85,2.05,-0.5
SC0,28/08/04,Hibernian,Dundee,4,4,D,2,1,H,C Richmond,11,10,9,5,16,5,5,7,0,2,0,0,2,3.25,3.25,2.1,3.2,3.1,2.05,3.25,3.25,2,3.1,3.2,2,3.4,3,2,3.25,3.25,1.95,3.3,3.2,1.75,1.95,1.85,1.95,-0.25,,,,1.9,2,-0.25
SC0,28/08/04,Motherwell,Hearts,2,0,H,0,0,D,A Freeland,8,8,4,5,14,18,7,2,1,4,0,0,2.75,3.25,2.25,2.75,3.1,2.35,2.8,3.2,2.3,2.7,3,2.3,2.75,3.2,2.25,2.8,3.2,2.25,2.75,3.2,2.25,1.79,1.9,2.05,1.77,0,,,,2.1,1.8,0
SC0,29/08/04,Celtic,Rangers,1,0,H,0,0,D,H Dallas,10,8,4,1,13,17,6,4,1,2,0,0,2,3.2,3.75,1.85,3.25,3.75,2,3.25,3.25,2,3.1,3.2,1.8,3.25,3.75,2,3.1,3.4,2,3.2,3.2,1.75,1.95,2,1.63,-0.5,,,,2,1.9,-0.5
SC0,29/08/04,Kilmarnock,Dunfermline,1,0,H,1,0,H,S Conroy,9,8,2,6,15,10,6,6,3,1,0,0,2,3.25,3.25,2.2,3.1,3,2.1,3.25,3.1,2,3.1,3.2,2.1,3.2,3,2.1,3.25,3,2,3.3,3.1,1.85,1.85,1.9,1.9,-0.25,,,,1.95,1.95,-0.25
SC0,11/09/04,Celtic,Dundee,3,0,H,2,0,H,J Underhill,21,3,15,2,15,14,8,1,0,0,0,0,1.125,7,12,1.15,6.5,11,1.14,6.5,13,1.15,6,12,1.125,6.5,12,1.14,6,13,1.1,7,13,,,1.14,4.33,-0.5,1.86,1.98,-2,1.85,2.05,0
SC0,11/09/04,Dundee United,Aberdeen,1,1,D,0,1,A,S Dougal,9,7,6,3,14,14,6,3,1,3,0,0,2.25,3.25,2.75,2.25,3.3,2.75,2.45,3.1,2.65,2.4,2.9,2.7,2.2,3.25,2.75,2.3,3.2,2.75,2.5,3.1,2.5,1.9,1.79,2.08,1.75,-0.25,2.08,1.76,-0.25,2.05,1.85,-0.25
SC0,11/09/04,Dunfermline,Motherwell,1,1,D,1,0,H,C MacKay,12,12,5,6,8,12,3,8,0,0,0,0,2.3,3.2,2.7,2.35,3.15,2.7,2.25,3.2,2.8,2.1,3.1,3,2.2,3.25,2.75,2.25,3.2,2.8,2.2,3.2,2.8,1.85,1.85,2,1.8,-0.25,1.98,1.86,-0.25,2,1.9,-0.25
SC0,11/09/04,Inverness C,Hibernian,1,2,A,1,1,D,C Thomson,6,7,5,5,15,13,4,10,4,0,0,0,2.5,3.2,2.5,2.35,3.25,2.65,2.5,3.2,2.5,2.4,2.9,2.7,2.4,3.25,2.5,2.4,3.2,2.6,2.5,3.25,2.4,1.79,1.9,1.85,1.95,0,1.88,1.96,0,1.875,2.025,0
SC0,11/09/04,Livingston,Kilmarnock,0,2,A,0,0,D,K Clark,14,11,7,7,18,19,5,1,2,2,0,0,2.25,3.25,2.75,2.25,3.2,2.8,2.3,3.2,2.75,2.4,2.9,2.7,2.25,3.2,2.75,2.25,3.2,2.8,2.25,3.2,2.75,1.9,1.79,1.75,2.08,0,1.78,2.06,0,2.1,1.8,-0.25
SC0,12/09/04,Hearts,Rangers,0,0,D,0,0,D,D McDonald,10,7,5,3,22,21,4,7,3,3,0,0,5.5,3.6,1.615,4.5,3.5,1.65,5,3.4,1.62,4.8,3.5,1.55,5,3.5,1.571,5.5,3.4,1.57,5,3.5,1.57,1.79,1.9,2,1.8,0.75,1.98,1.86,0.75,2,1.9,0.75
SC0,18/09/04,Dundee,Livingston,0,0,D,0,0,D,H Dallas,6,3,2,2,15,14,3,5,1,2,1,1,2.1,3.25,3.2,2,3.2,3.35,2.05,3.2,3.2,2,3.1,3.2,2,3.2,3.2,2,3.25,3.25,2.2,3.1,2.87,1.95,1.75,1.8,2,-0.25,1.82,2.02,-0.25,1.9,2,-0.25
SC0,18/09/04,Kilmarnock,Aberdeen,0,1,A,0,0,D,C Richmond,6,5,1,4,9,12,5,4,0,1,0,0,2.25,3.4,2.75,2.2,3.2,2.9,2.3,3.1,2.8,2.3,3,2.7,2.2,3.2,2.8,2.3,3.2,2.75,2.4,3.1,2.6,1.85,1.85,1.8,2,0,1.72,2.12,0,1.8,2.1,0
SC0,18/09/04,Motherwell,Dundee United,4,2,H,0,1,A,I Brines,13,6,6,4,15,11,1,3,0,1,0,0,2,3.4,3.25,2,3.2,3.35,2.15,3.25,2.95,2.2,3,2.9,2.1,3.2,3,2.2,3.2,2.88,2.15,3.2,2.9,1.85,1.85,1.9,1.9,-0.25,1.94,1.9,-0.25,1.85,2.05,-0.25
SC0,19/09/04,Dunfermline,Hearts,1,0,H,0,0,D,M Ritchie,13,6,8,4,11,24,9,2,0,1,0,0,3,3.2,2.2,2.9,3.2,2.2,2.8,3.2,2.25,2.9,3,2.2,2.75,3.2,2.25,2.8,3.2,2.25,2.8,3.2,2.2,1.85,1.85,1.9,1.9,0.25,1.9,1.94,0.25,2.025,1.875,0.25
SC0,19/09/04,Hibernian,Celtic,2,2,D,2,2,D,M McCurry,7,15,1,11,14,14,3,7,2,2,0,0,8,5,1.33,9,5,1.25,9,5,1.25,9,4.5,1.25,12,5.5,1.17,8.5,4.5,1.29,10,4.5,1.25,1.65,2.05,1.8,2,1.5,1.84,2,1.5,2.05,1.85,1.25
SC0,19/09/04,Rangers,Inverness C,1,0,H,1,0,H,C Murray,14,9,7,0,11,16,8,7,1,3,0,1,1.12,7,13,1.2,5.25,11,1.11,7,14,1.15,6,12,1.14,6,12,1.14,6,13,1.1,6.5,17,,,1.85,1.95,-2,1.86,1.98,-2,1.85,2.05,0
SC0,25/09/04,Aberdeen,Hibernian,0,1,A,0,0,D,D McDonald,9,8,5,5,11,8,8,0,0,1,0,0,1.9,3.25,3.5,2,3.2,3.35,1.91,3.2,3.65,2,3.1,3.2,1.83,3.2,3.75,1.91,3.2,3.6,1.9,3.2,3.5,1.85,1.85,1.91,1.71,-0.5,2,1.84,-0.5,2.025,1.875,-0.5
SC0,25/09/04,Celtic,Dunfermline,3,0,H,2,0,H,A Freeland,19,10,12,5,15,10,15,7,1,2,0,0,1.12,7,12,1.12,7,13,1.13,6.5,14,1.15,6,12,1.12,6.5,13,1.12,6.5,13,1.11,6.5,15,,,1.13,4.44,-0.5,1.82,2.02,-2,1.825,2.075,0
SC0,25/09/04,Hearts,Inverness C,1,0,H,1,0,H,K Clark,9,4,3,0,19,15,3,2,2,1,0,0,1.5,3.75,5.5,1.4,3.9,7,1.5,3.6,6,1.45,3.8,5.4,1.36,4,7,1.53,3.6,5.5,1.5,3.4,6,1.75,1.95,1.85,1.95,-1,1.88,1.96,-1,1.9,2,-1
SC0,25/09/04,Kilmarnock,Dundee United,5,2,H,4,1,H,K Toner,10,10,5,5,19,14,3,11,0,2,0,0,2,3.25,3.25,2.2,3.2,2.9,2.1,3.2,3.1,2,3.1,3.2,1.91,3.25,3.4,2,3.25,3.25,2,3.2,3.2,1.85,1.85,1.85,1.95,-0.25,1.92,1.92,-0.25,1.9,2,-0.25
SC0,25/09/04,Livingston,Motherwell,2,3,A,2,1,H,C Thomson,6,16,6,9,12,17,5,10,2,1,0,0,2.4,3.2,2.6,2.4,3.2,2.6,2.4,3.2,2.6,2.3,2.9,2.8,2.5,3.25,2.4,2.4,3.2,2.6,2.5,3.1,2.5,1.85,1.85,1.77,2.05,0,1.76,2.08,0,1.775,2.125,0
SC0,26/09/04,Dundee,Rangers,0,2,A,0,0,D,S Dougal,10,13,5,10,11,15,1,8,1,1,0,0,6.5,3.75,1.44,7,3.9,1.4,6.5,3.8,1.44,5.4,3.8,1.45,6.5,3.6,1.44,6.5,3.75,1.44,5.5,3.6,1.5,1.75,1.95,2.4,1.44,0.5,1.9,1.94,1,1.925,1.975,1
SC0,02/10/04,Aberdeen,Dundee,1,1,D,1,1,D,M McCurry,9,4,1,4,7,8,9,2,0,2,0,1,1.8,3.3,4,1.8,3.25,4,1.8,3.25,4,1.9,3.1,3.5,1.8,3.2,4,1.85,3.2,3.75,1.8,3.3,3.75,2,1.71,1.8,1.79,-0.5,2.14,1.7,-0.5,2.1,1.8,-0.5
SC0,02/10/04,Dunfermline,Hibernian,1,1,D,0,1,A,C Murray,13,15,8,9,11,7,4,6,1,1,0,0,2.5,3.25,2.5,2.5,3.2,2.5,2.5,3.2,2.5,2.3,2.8,2.9,2.38,3.2,2.6,2.4,3.2,2.6,2.4,3.1,2.6,1.85,1.85,1.8,2.02,-0.75,1.7,2.14,0,2.05,1.85,-0.25
SC0,03/10/04,Dundee United,Celtic,0,3,A,0,3,A,H Dallas,8,14,4,9,18,13,5,3,1,1,0,0,10,5,1.28,9,5,1.25,9,5,1.25,9,4.5,1.25,10,5,1.22,8.5,4.5,1.29,10,4.5,1.25,,,1.85,1.95,0,2.02,1.82,1.5,1.95,1.95,1.5
SC0,03/10/04,Hearts,Livingston,0,0,D,0,0,D,C Richmond,13,11,6,4,19,25,12,3,3,3,0,0,1.53,3.5,6,1.55,3.5,5.5,1.55,3.5,5.5,1.65,3.3,4.4,1.57,3.5,5,1.62,3.4,5,1.57,3.5,5,,,1.8,2.02,-0.75,2.1,1.74,-1,1.95,1.95,-0.75
SC0,03/10/04,Inverness C,Motherwell,1,1,D,0,1,A,J Underh,9,7,4,4,12,19,3,3,1,2,0,0,3,3.4,2.1,2.9,3.2,2.2,3.1,3.3,2.05,2.9,3,2.2,3.25,3.4,1.91,2.8,3.2,2.25,2.8,3.2,2.2,1.85,1.85,2,1.81,0.25,1.92,1.92,0.25,2,1.9,0.25
SC0,03/10/04,Rangers,Kilmarnock,2,0,H,1,0,H,I Brines,16,6,6,3,16,23,9,6,0,3,0,0,1.2,5.5,11,1.18,5.75,11,1.2,5.35,11,1.22,4.8,9.5,1.2,5,11,1.2,5.5,10,1.2,5,11,,,1.2,3.6,-0.5,1.88,1.96,-1.75,2,1.9,-1.75,,,,,
SC0,16/10/04,Celtic,Hearts,3,0,H,1,0,H,K Clark,13,4,8,4,11,23,4,5,0,3,0,0,1.16,6,13,1.2,5.65,10,1.2,5.5,10.5,1.2,5,10,1.17,5.5,12,1.17,6,11,1.16,5.5,12,,,,,,1.9,1.94,-1.75,1.95,1.95,-1.75,,,,,
SC0,16/10/04,Dundee,Kilmarnock,3,1,H,1,1,D,C Richmond,13,4,10,2,12,9,5,7,0,1,0,0,2.3,3.25,2.75,2.4,3.05,2.7,2.5,3.2,2.5,2.5,3,2.5,2.4,3.25,2.5,2.4,3.2,2.6,2.5,3.25,2.4,1.83,1.83,2.5,1.4,-0.5,1.82,2.02,0,1.825,2.075,0,,,,,
SC0,16/10/04,Hibernian,Dundee United,2,0,H,1,0,H,M Ritchie,10,9,4,2,10,10,5,5,1,1,0,0,1.8,3.3,4,2,3.15,3.4,1.91,3.25,3.6,1.9,3.1,3.5,1.73,3.4,4,1.83,3.25,3.75,1.9,3.25,3.4,1.83,1.83,1.91,1.71,-0.5,1.92,1.92,-0.5,1.95,1.95,-0.5,,,,,
SC0,16/10/04,Inverness C,Aberdeen,1,3,A,1,1,D,I Brines,6,8,3,3,12,14,4,5,3,1,0,0,4.5,3.5,1.66,4.5,3.5,1.65,4.75,3.3,1.67,3.8,3.1,1.8,3.75,3.25,1.8,4,3.25,1.8,3.75,3.3,1.8,1.83,1.83,1.95,1.67,0.5,1.94,1.9,0.5,2.025,1.875,0.5,,,,,
SC0,16/10/04,Livingston,Dunfermline,2,0,H,2,0,H,D McDonald,10,14,7,6,8,12,4,5,0,1,0,0,2.1,3.4,3,2.25,3.1,2.9,2.25,3.25,2.8,2.3,2.8,2.9,2.2,3.25,2.75,2.2,3.2,2.88,2.2,3.25,2.75,1.95,1.71,2.25,1.5,-0.5,1.9,1.94,-0.25,1.95,1.95,-0.25,,,,,
SC0,17/10/04,Motherwell,Rangers,0,2,A,0,1,A,J Rowbotham,12,19,9,10,12,16,3,5,0,3,0,0,6.5,3.75,1.53,6,3.6,1.5,5.75,3.4,1.55,5,3.7,1.5,5.5,3.5,1.53,6.5,3.75,1.44,6,3.25,1.53,,,2.14,1.55,0.5,1.94,1.9,1,1.95,1.95,1,,,,,
SC0,23/10/04,Aberdeen,Motherwell,2,1,H,0,1,A,C Richmond,15,5,6,2,14,14,4,7,1,1,0,0,2.1,3.4,3,1.95,3.2,3.5,2,3.1,3.45,2,3.1,3.2,2,3.2,3.2,1.91,3.2,3.6,2.1,3.1,3.1,1.95,1.75,2,1.63,-0.5,1.84,2,-0.25,1.85,2.05,-0.25,,,,,
SC0,23/10/04,Dundee,Dunfermline,1,2,A,0,1,A,S Dougal,11,10,5,5,2,10,10,2,0,1,0,0,1.9,3.4,3.5,1.9,3.2,3.65,1.95,3.2,3.5,2,3.1,3.2,1.91,3.4,3.25,1.91,3.25,3.5,1.9,3.2,3.5,1.95,1.75,1.95,1.67,-0.5,2,1.84,-0.5,2.025,1.875,-0.5,,,,,
SC0,23/10/04,Kilmarnock,Inverness C,2,2,D,2,1,H,C MacKay,16,8,11,3,16,15,7,2,0,0,0,1,1.57,3.6,5,1.55,3.5,5.5,1.6,3.5,5,1.6,3.4,4.6,1.62,3.5,4.5,1.62,3.4,5,1.61,3.5,4.5,1.85,1.85,1.6,2.06,-0.5,1.76,2.08,-0.75,1.8,2.1,-0.75,,,,,
SC0,24/10/04,Hearts,Hibernian,2,1,H,1,0,H,M McCurry,9,11,5,5,15,13,1,5,2,3,0,0,2.1,3.2,3.2,2.1,3.15,3.15,2.15,3.1,3.1,2.2,3,2.9,2.25,3.2,2.75,2.1,3.25,3,2,3,3.4,1.95,1.75,2.15,1.55,-0.5,1.84,2,-0.25,1.9,2,-0.25,,,,,
SC0,24/10/04,Livingston,Celtic,2,4,A,1,4,A,A Freeland,3,9,2,6,23,15,4,1,4,4,0,0,10,5.5,1.25,10,6,1.18,12,5,1.2,10,5,1.2,11,5,1.2,9,5.5,1.22,12,5.5,1.16,,,3.53,1.2,0.5,1.86,1.98,1.75,1.875,2.025,1.75,,,,,
SC0,24/10/04,Rangers,Dundee United,1,1,D,0,0,D,S Conroy,19,3,8,3,10,14,12,1,1,3,0,0,1.14,6.5,13,1.18,6,10,1.15,6,13,1.15,6,12,1.14,6,12,1.14,6,13,1.11,6.5,15,,,1.15,4.11,-0.5,1.9,1.94,-2,1.9,2,0,,,,,
SC0,27/10/04,Celtic,Aberdeen,2,3,A,1,2,A,W Young,14,8,3,3,10,20,15,3,0,2,0,0,1.14,6.5,13,1.18,6,10,1.15,6,13,1.15,6,12,1.17,5.5,12,1.14,6,13,1.14,6,12,1.5,2.3,1.15,4.11,-0.5,2,1.84,-2,2.025,1.875,0,,,,,
SC0,27/10/04,Dundee United,Hearts,1,1,D,0,1,A,I Brines,7,5,1,1,17,24,6,2,2,3,0,0,2.6,3.2,2.4,2.5,3.2,2.5,2.65,3.2,2.38,2.9,3,2.2,2.6,3.2,2.38,2.6,3.2,2.4,2.75,3.2,2.25,1.75,1.9,1.45,2.38,0.5,1.96,1.88,0,2.05,1.85,0,,,,,
SC0,27/10/04,Dunfermline,Rangers,1,2,A,1,0,H,J Underhill,7,13,6,5,16,16,5,6,2,0,0,0,7.5,4,1.36,9,5,1.25,8,4,1.36,6,3.9,1.4,8,4.5,1.29,8,4.2,1.33,8,4,1.33,1.75,1.9,1.56,2.05,1.5,1.9,1.94,1.25,1.75,2.15,1.5,,,,,
SC0,27/10/04,Hibernian,Livingston,2,1,H,2,0,H,H Dallas,10,4,3,0,17,16,2,6,1,5,0,0,1.72,3.5,4,1.7,3.3,4.5,1.75,3.3,4.25,1.75,3.2,4,1.73,3.2,4.33,1.73,3.25,4.33,1.72,3.25,4.2,1.71,1.95,1.75,1.86,-0.5,1.96,1.88,-0.75,2.05,1.85,-0.75,,,,,
SC0,27/10/04,Inverness C,Dundee,2,1,H,1,0,H,M Ritchie,7,6,2,3,11,11,3,4,1,1,0,0,2.4,3.2,2.6,2.8,3.2,2.25,2.65,3.2,2.38,2.7,2.9,2.4,2.75,3.2,2.25,2.6,3.2,2.4,2.62,3.2,2.3,1.75,1.9,1.45,2.38,0.5,2,1.84,0,2,1.9,0,,,,,
SC0,27/10/04,Motherwell,Kilmarnock,0,1,A,0,0,D,C Murray,9,4,0,1,10,17,6,5,3,2,0,0,2,3.25,3.25,2.05,3.2,3.2,2,3.25,3.3,1.9,3.1,3.5,2,3.2,3.2,2,3.25,3.25,1.9,3.25,3.4,1.75,1.9,2,1.64,-0.5,1.78,2.06,-0.25,1.75,2.15,-0.25,,,,,
SC0,30/10/04,Dundee United,Dunfermline,1,2,A,1,1,D,K Clark,11,12,6,5,14,12,8,5,1,1,0,0,2.1,3.4,3,2.15,3.2,3,2.15,3.3,2.9,2.2,3,2.9,2.1,3.2,3,2.2,3.25,2.8,2.2,3.2,2.8,,,2.15,1.54,-0.5,1.92,1.92,-0.25,1.9,1.95,-0.25,,,,,
SC0,30/10/04,Hearts,Dundee,3,0,H,1,0,H,C Thomson,16,7,8,4,15,8,6,8,2,3,0,1,1.66,3.5,4.5,1.6,3.5,5,1.64,3.4,4.8,1.65,3.3,4.4,1.67,3.25,4.5,1.62,3.4,5,1.61,3.3,5,,,1.64,1.99,-0.5,1.84,2,-0.75,1.825,2.025,-0.75,,,,,
SC0,30/10/04,Inverness C,Livingston,2,0,H,1,0,H,M McCurry,9,7,4,5,11,9,4,1,2,2,0,0,2.4,3.25,2.62,2.65,3.25,2.35,2.4,3.25,2.6,2.4,3,2.6,2.5,3.25,2.4,2.4,3.2,2.6,2.4,3.25,2.5,,,2.4,1.44,-0.5,1.86,1.98,0,1.875,1.975,0,,,,,
SC0,30/10/04,Kilmarnock,Hibernian,3,1,H,3,0,H,S Dougal,8,11,4,3,17,14,5,8,2,2,0,0,2.3,3.25,2.75,2.4,3.2,2.6,2.35,3.25,2.65,2.3,3,2.7,2.2,3.25,2.75,2.3,3.2,2.75,2.37,3.1,2.62,,,2.35,1.46,-0.5,1.82,2.02,0,1.775,2.075,0,,,,,
SC0,30/10/04,Motherwell,Celtic,2,3,A,0,1,A,D McDonald,7,8,3,6,16,15,3,2,1,2,0,0,11,5.5,1.2,13,6,1.15,11,5.35,1.2,9,4.5,1.25,10,4.5,1.25,9,5,1.25,10,4.5,1.25,,,,,,1.94,1.9,1.5,1.95,1.9,1.5,,,,,
SC0,31/10/04,Rangers,Aberdeen,5,0,H,1,0,H,H Dallas,23,8,10,3,10,13,10,1,2,3,0,0,1.28,5,10,1.3,4.5,8.25,1.28,4.7,8.35,1.33,4,7.5,1.22,5,10,1.29,4.5,8.5,1.28,4.5,8,,,,,,1.92,1.92,-1.5,1.95,1.9,-1.5,,,,,
SC0,06/11/04,Celtic,Kilmarnock,2,1,H,1,0,H,S Conroy,13,4,9,2,10,14,16,4,0,0,0,0,1.16,6,13,1.13,6.4,14,1.16,6,12,1.2,5,10,1.17,5.5,12,1.17,6,11,1.16,6,10,,,,,,1.8,2.04,-1.75,1.775,2.075,-1.75,,,,,
SC0,06/11/04,Dundee,Dundee United,1,0,H,0,0,D,A Freeland,11,13,6,5,7,13,6,10,2,3,0,2,2.3,3.25,2.75,2.25,3.2,2.8,2.25,3.2,2.8,2.3,2.9,2.8,2.38,3,2.75,2.3,3.2,2.75,2.3,3,2.8,1.75,1.95,2.25,1.49,-0.5,2.02,1.82,-0.25,2.1,1.75,-0.25,,,,,
