Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,,,,,,,,,,,,
E0,11/09/99,Sunderland,Leicester,2,0,H,1,0,H,,,,,,,,,,,,
E0,11/09/99,West Ham,Watford,1,0,H,0,0,D,,,,,,,,,,,,
E0,11/09/99,Wimbledon,Derby,2,2,D,0,1,A,,,,,,,,,,,,
E0,12/09/99,Bradford,Tottenham,1,1,D,0,0,D,,,,,,,,,,,,
E0,18/09/99,Aston Villa,Bradford,1,0,H,0,0,D,,,,,,,,,,,,
E0,18/09/99,Derby,Sunderland,0,5,A,0,2,A,,,,,,,,,,,,
E0,18/09/99,Leicester,Liverpool,2,2,D,1,2,A,,,,,,,,,,,,
E0,18/09/99,Man United,Wimbledon,1,1,D,0,1,A,,,,,,,,,,,,
E0,18/09/99,Southampton,Arsenal,0,1,A,0,0,D,,,,,,,,,,,,
E0,18/09/99,Watford,Chelsea,1,0,H,0,0,D,,,,,,,,,,,,
E0,19/09/99,Everton,West Ham,1,0,H,0,0,D,,,,,,,,,,,,
E0,19/09/99,Leeds,Middlesbrough,2,0,H,1,0,H,,,,,,,,,,,,
E0,19/09/99,Newcastle,Sheffield Weds,8,0,H,4,0,H,,,,,,,,,,,,
E0,19/09/99,Tottenham,Coventry,3,2,H,1,0,H,,,,,,,,,,,,
E0,25/09/99,Arsenal,Watford,1,0,H,0,0,D,,,,,,,,,,,,
E0,25/09/99,Coventry,West Ham,1,0,H,1,0,H,,,,,,,,,,,,
E0,25/09/99,Derby,Bradford,0,1,A,0,0,D,,,,,,,,,,,,
E0,25/09/99,Leeds,Newcastle,3,2,H,2,1,H,,,,,,,,,,,,
E0,25/09/99,Leicester,Aston Villa,3,1,H,1,0,H,,,,,,,,,,,,
E0,25/09/99,Man United,Southampton,3,3,D,2,1,H,,,,,,,,,,,,
E0,25/09/99,Middlesbrough,Chelsea,0,1,A,0,0,D,,,,,,,,,,,,
E0,25/09/99,Sunderland,Sheffield Weds,1,0,H,0,0,D,,,,,,,,,,,,
E0,26/09/99,Wimbledon,Tottenham,1,1,D,0,0,D,,,,,,,,,,,,
E0,27/09/99,Liverpool,Everton,0,1,A,0,1,A,,,,,,,,,,,,
E0,02/10/99,Aston Villa,Liverpool,0,0,D,0,0,D,,,,,,,,,,,,
E0,02/10/99,Bradford,Sunderland,0,4,A,0,1,A,,,,,,,,,,,,
E0,02/10/99,Everton,Coventry,1,1,D,1,1,D,,,,,,,,,,,,
E0,02/10/99,Sheffield Weds,Wimbledon,5,1,H,2,1,H,,,,,,,,,,,,
E0,03/10/99,Chelsea,Man United,5,0,H,2,0,H,,,,,,,,,,,,
E0,03/10/99,Newcastle,Middlesbrough,2,1,H,2,0,H,,,,,,,,,,,,
E0,03/10/99,Tottenham,Leicester,2,3,A,2,1,H,,,,,,,,,,,,
E0,03/10/99,Watford,Leeds,1,2,A,1,1,D,,,,,,,,,,,,
E0,03/10/99,West Ham,Arsenal,2,1,H,1,0,H,,,,,,,,,,,,
E0,04/10/99,Southampton,Derby,3,3,D,2,1,H,,,,,,,,,,,,
E0,16/10/99,Arsenal,Everton,4,1,H,1,1,D,,,,,,,,,,,,
E0,16/10/99,Coventry,Newcastle,4,1,H,3,0,H,,,,,,,,,,,,
E0,16/10/99,Derby,Tottenham,0,1,A,0,1,A,,,,,,,,,,,,
E0,16/10/99,Leeds,Sheffield Weds,2,0,H,0,0,D,,,,,,,,,,,,
E0,16/10/99,Leicester,Southampton,2,1,H,2,0,H,,,,,,,,,,,,
E0,16/10/99,Liverpool,Chelsea,1,0,H,0,0,D,,,,,,,,,,,,
E0,16/10/99,Man United,Watford,4,1,H,3,0,H,,,,,,,,,,,,
E0,16/10/99,Wimbledon,Bradford,3,2,H,2,1,H,,,,,,,,,,,,
E0,17/10/99,Middlesbrough,West Ham,2,0,H,0,0,D,,,,,,,,,,,,
E0,18/10/99,Sunderland,Aston Villa,2,1,H,0,0,D,,,,,,,,,,,,
E0,23/10/99,Aston Villa,Wimbledon,1,1,D,1,1,D,,,,,,,,,,,,
E0,23/10/99,Bradford,Leicester,3,1,H,2,1,H,,,,,,,,,,,,
E0,23/10/99,Chelsea,Arsenal,2,3,A,1,0,H,,,,,,,,,,,,
E0,23/10/99,Sheffield Weds,Coventry,0,0,D,0,0,D,,,,,,,,,,,,
E0,23/10/99,Southampton,Liverpool,1,1,D,1,0,H,,,,,,,,,,,,
E0,23/10/99,Tottenham,Man United,3,1,H,2,1,H,,,,,,,,,,,,
E0,24/10/99,Everton,Leeds,4,4,D,3,2,H,,,,,,,,,,,,
E0,24/10/99,Watford,Middlesbrough,1,3,A,0,2,A,,,,,,,,,,,,
E0,24/10/99,West Ham,Sunderland,1,1,D,0,1,A,,,,,,,,,,,,
E0,25/10/99,Newcastle,Derby,2,0,H,1,0,H,,,,,,,,,,,,
E0,27/10/99,Liverpool,West Ham,1,0,H,1,0,H,,,,,,,,,,,,
E0,30/10/99,Arsenal,Newcastle,0,0,D,0,0,D,,,,,,,,,,,,
E0,30/10/99,Derby,Chelsea,3,1,H,1,1,D,,,,,,,,,,,,
E0,30/10/99,Leeds,West Ham,1,0,H,0,0,D,,,,,,,,,,,,
E0,30/10/99,Leicester,Sheffield Weds,3,0,H,2,0,H,,,,,,,,,,,,
E0,30/10/99,Man United,Aston Villa,3,0,H,2,0,H,,,,,,,,,,,,
E0,30/10/99,Middlesbrough,Everton,2,1,H,1,1,D,,,,,,,,,,,,
E0,30/10/99,Wimbledon,Southampton,1,1,D,0,0,D,,,,,,,,,,,,
E0,31/10/99,Coventry,Watford,4,0,H,2,0,H,,,,,,,,,,,,
E0,31/10/99,Sunderland,Tottenham,2,1,H,2,0,H,,,,,,,,,,,,
E0,01/11/99,Liverpool,Bradford,3,1,H,2,1,H,,,,,,,,,,,,
E0,06/11/99,Aston Villa,Southampton,0,1,A,0,0,D,,,,,,,,,,,,
E0,06/11/99,Bradford,Coventry,1,1,D,1,1,D,,,,,,,,,,,,
E0,06/11/99,Liverpool,Derby,2,0,H,0,0,D,,,,,,,,,,,,
E0,06/11/99,Man United,Leicester,2,0,H,1,0,H,,,,,,,,,,,,
E0,06/11/99,Middlesbrough,Sunderland,1,1,D,0,0,D,,,,,,,,,,,,
E0,06/11/99,Sheffield Weds,Watford,2,2,D,0,1,A,,,,,,,,,,,,
E0,07/11/99,Chelsea,West Ham,0,0,D,0,0,D,,,,,,,,,,,,
E0,07/11/99,Newcastle,Everton,1,1,D,0,0,D,,,,,,,,,,,,
E0,07/11/99,Tottenham,Arsenal,2,1,H,2,1,H,,,,,,,,,,,,
E0,07/11/99,Wimbledon,Leeds,2,0,H,1,0,H,,,,,,,,,,,,
E0,20/11/99,Arsenal,Middlesbrough,5,1,H,2,0,H,,,,,,,,,,,,
E0,20/11/99,Derby,Man United,1,2,A,0,0,D,,,,,,,,,,,,
E0,20/11/99,Everton,Chelsea,1,1,D,1,0,H,,,,,,,,,,,,
E0,20/11/99,Leeds,Bradford,2,1,H,0,0,D,,,,,,,,,,,,
E0,20/11/99,Leicester,Wimbledon,2,1,H,1,1,D,,,,,,,,,,,,
E0,20/11/99,Southampton,Tottenham,0,1,A,0,0,D,,,,,,,,,,,,
E0,20/11/99,Sunderland,Liverpool,0,2,A,0,0,D,,,,,,,,,,,,
E0,20/11/99,Watford,Newcastle,1,1,D,0,0,D,,,,,,,,,,,,
E0,21/11/99,West Ham,Sheffield Weds,4,3,H,1,1,D,,,,,,,,,,,,
E0,22/11/99,Coventry,Aston Villa,2,1,H,1,1,D,,,,,,,,,,,,
E0,27/11/99,Coventry,Leicester,0,1,A,0,0,D,,,,,,,,,,,,
E0,27/11/99,Everton,Aston Villa,0,0,D,0,0,D,,,,,,,,,,,,
E0,27/11/99,Middlesbrough,Wimbledon,0,0,D,0,0,D,,,,,,,,,,,,
E0,27/11/99,Watford,Sunderland,2,3,A,1,2,A,,,,,,,,,,,,
E0,27/11/99,West Ham,Liverpool,1,0,H,1,0,H,,,,,,,,,,,,
E0,28/11/99,Arsenal,Derby,2,1,H,1,1,D,,,,,,,,,,,,
E0,28/11/99,Chelsea,Bradford,1,0,H,1,0,H,,,,,,,,,,,,
E0,28/11/99,Leeds,Southampton,1,0,H,0,0,D,,,,,,,,,,,,
E0,28/11/99,Newcastle,Tottenham,2,1,H,1,1,D,,,,,,,,,,,,
E0,04/12/99,Aston Villa,Newcastle,0,1,A,0,0,D,,,,,,,,,,,,
E0,04/12/99,Bradford,Middlesbrough,1,1,D,0,1,A,,,,,,,,,,,,
E0,04/12/99,Leicester,Arsenal,0,3,A,0,1,A,,,,,,,,,,,,
E0,04/12/99,Man United,Everton,5,1,H,3,1,H,,,,,,,,,,,,
E0,04/12/99,Southampton,Coventry,0,0,D,0,0,D,,,,,,,,,,,,
E0,04/12/99,Sunderland,Chelsea,4,1,H,4,0,H,,,,,,,,,,,,
E0,04/12/99,Wimbledon,Watford,5,0,H,2,0,H,,,,,,,,,,,,
E0,05/12/99,Derby,Leeds,0,1,A,0,0,D,,,,,,,,,,,,
E0,05/12/99,Liverpool,Sheffield Weds,4,1,H,2,1,H,,,,,,,,,,,,
E0,06/12/99,Tottenham,West Ham,0,0,D,0,0,D,,,,,,,,,,,,
E0,18/12/99,Arsenal,Wimbledon,1,1,D,0,1,A,,,,,,,,,,,,
E0,18/12/99,Aston Villa,Sheffield Weds,2,1,H,0,1,A,,,,,,,,,,,,
E0,18/12/99,Bradford,Newcastle,2,0,H,0,0,D,,,,,,,,,,,,
E0,18/12/99,Leicester,Derby,0,1,A,0,0,D,,,,,,,,,,,,
E0,18/12/99,Liverpool,Coventry,2,0,H,1,0,H,,,,,,,,,,,,
E0,18/12/99,Middlesbrough,Tottenham,2,1,H,1,1,D,,,,,,,,,,,,
E0,18/12/99,Sunderland,Southampton,2,0,H,1,0,H,,,,,,,,,,,,
E0,18/12/99,Watford,Everton,1,3,A,0,2,A,,,,,,,,,,,,
E0,18/12/99,West Ham,Man United,2,4,A,1,3,A,,,,,,,,,,,,
E0,19/12/99,Chelsea,Leeds,0,2,A,0,0,D,,,,,,,,,,,,
E0,26/12/99,Coventry,Arsenal,3,2,H,2,0,H,,,,,,,,,,,,
E0,26/12/99,Derby,Aston Villa,0,2,A,0,0,D,,,,,,,,,,,,
E0,26/12/99,Everton,Sunderland,5,0,H,3,0,H,,,,,,,,,,,,
E0,26/12/99,Leeds,Leicester,2,1,H,2,1,H,,,,,,,,,,,,
E0,26/12/99,Man United,Bradford,4,0,H,0,0,D,,,,,,,,,,,,
E0,26/12/99,Newcastle,Liverpool,2,2,D,1,1,D,,,,,,,,,,,,
E0,26/12/99,Sheffield Weds,Middlesbrough,1,0,H,1,0,H,,,,,,,,,,,,
E0,26/12/99,Southampton,Chelsea,1,2,A,0,2,A,,,,,,,,,,,,
E0,26/12/99,Tottenham,Watford,4,0,H,2,0,H,,,,,,,,,,,,
E0,26/12/99,Wimbledon,West Ham,2,2,D,1,1,D,,,,,,,,,,,,
E0,28/12/99,Arsenal,Leeds,2,0,H,1,0,H,,,,,,,,,,,,
E0,28/12/99,Bradford,Everton,0,0,D,0,0,D,,,,,,,,,,,,
E0,28/12/99,Leicester,Newcastle,1,2,A,0,1,A,,,,,,,,,,,,
E0,28/12/99,Liverpool,Wimbledon,3,1,H,0,0,D,,,,,,,,,,,,
E0,28/12/99,Sunderland,Man United,2,2,D,2,1,H,,,,,,,,,,,,
E0,28/12/99,Watford,Southampton,3,2,H,2,0,H,,,,,,,,,,,,
E0,28/12/99,West Ham,Derby,1,1,D,1,1,D,,,,,,,,,,,,
E0,29/12/99,Aston Villa,Tottenham,1,1,D,0,1,A,,,,,,,,,,,,
E0,29/12/99,Chelsea,Sheffield Weds,3,0,H,2,0,H,,,,,,,,,,,,
E0,03/01/00,Derby,Watford,2,0,H,1,0,H,,,,,,,,,,,,
E0,03/01/00,Everton,Leicester,2,2,D,1,2,A,,,,,,,,,,,,
E0,03/01/00,Leeds,Aston Villa,1,2,A,0,1,A,,,,,,,,,,,,
E0,03/01/00,Newcastle,West Ham,2,2,D,1,0,H,,,,,,,,,,,,
E0,03/01/00,Sheffield Weds,Arsenal,1,1,D,0,1,A,,,,,,,,,,,,
E0,03/01/00,Southampton,Bradford,1,0,H,0,0,D,,,,,,,,,,,,
E0,03/01/00,Tottenham,Liverpool,1,0,H,1,0,H,,,,,,,,,,,,
E0,03/01/00,Wimbledon,Sunderland,1,0,H,1,0,H,,,,,,,,,,,,
E0,04/01/00,Coventry,Chelsea,2,2,D,0,0,D,,,,,,,,,,,,
E0,08/01/00,Bradford,Chelsea,1,1,D,1,0,H,,,,,,,,,,,,
E0,12/01/00,Chelsea,Tottenham,1,0,H,0,0,D,,,,,,,,,,,,
E0,15/01/00,Arsenal,Sunderland,4,1,H,3,0,H,,,,,,,,,,,,
E0,15/01/00,Chelsea,Leicester,1,1,D,0,1,A,,,,,,,,,,,,
E0,15/01/00,Coventry,Wimbledon,2,0,H,0,0,D,,,,,,,,,,,,
E0,15/01/00,Everton,Tottenham,2,2,D,1,2,A,,,,,,,,,,,,
E0,15/01/00,Middlesbrough,Derby,1,4,A,0,1,A,,,,,,,,,,,,
E0,15/01/00,Sheffield Weds,Bradford,2,0,H,0,0,D,,,,,,,,,,,,
E0,15/01/00,Watford,Liverpool,2,3,A,1,2,A,,,,,,,,,,,,
E0,15/01/00,West Ham,Aston Villa,1,1,D,0,1,A,,,,,,,,,,,,
E0,16/01/00,Newcastle,Southampton,5,0,H,4,0,H,,,,,,,,,,,,
E0,22/01/00,Aston Villa,Chelsea,0,0,D,0,0,D,,,,,,,,,,,,
E0,22/01/00,Bradford,Watford,3,2,H,2,1,H,,,,,,,,,,,,
E0,22/01/00,Derby,Coventry,0,0,D,0,0,D,,,,,,,,,,,,
E0,22/01/00,Leicester,West Ham,1,3,A,1,2,A,,,,,,,,,,,,
E0,22/01/00,Liverpool,Middlesbrough,0,0,D,0,0,D,,,,,,,,,,,,
E0,22/01/00,Southampton,Everton,2,0,H,0,0,D,,,,,,,,,,,,
E0,22/01/00,Tottenham,Sheffield Weds,0,1,A,0,1,A,,,,,,,,,,,,
E0,22/01/00,Wimbledon,Newcastle,2,0,H,0,0,D,,,,,,,,,,,,
E0,23/01/00,Sunderland,Leeds,1,2,A,0,1,A,,,,,,,,,,,,
E0,24/01/00,Man United,Arsenal,1,1,D,0,1,A,,,,,,,,,,,,
E0,29/01/00,Man United,Middlesbrough,1,0,H,0,0,D,,,,,,,,,,,,
E0,02/02/00,Sheffield Weds,Man United,0,1,A,0,0,D,,,,,,,,,,,,
E0,05/02/00,Aston Villa,Watford,4,0,H,0,0,D,,,,,,,,,,,,
E0,05/02/00,Bradford,Arsenal,2,1,H,1,1,D,,,,,,,,,,,,
E0,05/02/00,Derby,Sheffield Weds,3,3,D,0,1,A,,,,,,,,,,,,
E0,05/02/00,Leicester,Middlesbrough,2,1,H,2,0,H,,,,,,,,,,,,
E0,05/02/00,Liverpool,Leeds,3,1,H,1,0,H,,,,,,,,,,,,
E0,05/02/00,Man United,Coventry,3,2,H,1,0,H,,,,,,,,,,,,
E0,05/02/00,Southampton,West Ham,2,1,H,0,0,D,,,,,,,,,,,,
E0,05/02/00,Sunderland,Newcastle,2,2,D,1,2,A,,,,,,,,,,,,
E0,05/02/00,Tottenham,Chelsea,0,1,A,0,0,D,,,,,,,,,,,,
E0,06/02/00,Wimbledon,Everton,0,3,A,0,0,D,,,,,,,,,,,,
E0,12/02/00,Chelsea,Wimbledon,3,1,H,0,0,D,,,,,,,,,,,,
E0,12/02/00,Coventry,Sunderland,3,2,H,3,0,H,,,,,,,,,,,,
E0,12/02/00,Everton,Derby,2,1,H,2,0,H,,,,,,,,,,,,
E0,12/02/00,Leeds,Tottenham,1,0,H,1,0,H,,,,,,,,,,,,
E0,12/02/00,Newcastle,Man United,3,0,H,1,0,H,,,,,,,,,,,,
E0,12/02/00,Sheffield Weds,Southampton,0,1,A,0,1,A,,,,,,,,,,,,
E0,12/02/00,Watford,Leicester,1,1,D,0,1,A,,,,,,,,,,,,
E0,12/02/00,West Ham,Bradford,5,4,H,2,2,D,,,,,,,,,,,,
E0,13/02/00,Arsenal,Liverpool,0,1,A,0,1,A,,,,,,,,,,,,
E0,14/02/00,Middlesbrough,Aston Villa,0,4,A,0,1,A,,,,,,,,,,,,
E0,19/02/00,Middlesbrough,Coventry,2,0,H,2,0,H,,,,,,,,,,,,
E0,20/02/00,Leeds,Man United,0,1,A,0,0,D,,,,,,,,,,,,
E0,26/02/00,Arsenal,Southampton,3,1,H,2,0,H,,,,,,,,,,,,
E0,26/02/00,Bradford,Aston Villa,1,1,D,0,1,A,,,,,,,,,,,,
E0,26/02/00,Chelsea,Watford,2,1,H,1,1,D,,,,,,,,,,,,
E0,26/02/00,Coventry,Tottenham,0,1,A,0,0,D,,,,,,,,,,,,
E0,26/02/00,Middlesbrough,Leeds,0,0,D,0,0,D,,,,,,,,,,,,
E0,26/02/00,Sheffield Weds,Newcastle,0,2,A,0,1,A,,,,,,,,,,,,
E0,26/02/00,Sunderland,Derby,1,1,D,0,0,D,,,,,,,,,,,,
E0,26/02/00,West Ham,Everton,0,4,A,0,1,A,,,,,,,,,,,,
E0,26/02/00,Wimbledon,Man United,2,2,D,1,1,D,,,,,,,,,,,,
E0,04/03/00,Derby,Wimbledon,4,0,H,0,0,D,,,,,,,,,,,,
E0,04/03/00,Everton,Sheffield Weds,1,1,D,1,0,H,,,,,,,,,,,,
E0,04/03/00,Man United,Liverpool,1,1,D,1,1,D,,,,,,,,,,,,
E0,04/03/00,Newcastle,Chelsea,0,1,A,0,1,A,,,,,,,,,,,,
E0,04/03/00,Southampton,Middlesbrough,1,1,D,1,1,D,,,,,,,,,,,,
E0,04/03/00,Tottenham,Bradford,1,1,D,1,1,D,,,,,,,,,,,,
E0,04/03/00,Watford,West Ham,1,2,A,0,2,A,,,,,,,,,,,,
E0,05/03/00,Aston Villa,Arsenal,1,1,D,0,0,D,,,,,,,,,,,,
E0,05/03/00,Leeds,Coventry,3,0,H,2,0,H,,,,,,,,,,,,
E0,05/03/00,Leicester,Sunderland,5,2,H,2,0,H,,,,,,,,,,,,
E0,08/03/00,West Ham,Southampton,2,0,H,1,0,H,,,,,,,,,,,,
E0,11/03/00,Aston Villa,Coventry,1,0,H,1,0,H,,,,,,,,,,,,
E0,11/03/00,Chelsea,Everton,1,1,D,1,0,H,,,,,,,,,,,,
E0,11/03/00,Liverpool,Sunderland,1,1,D,1,0,H,,,,,,,,,,,,
E0,11/03/00,Man United,Derby,3,1,H,1,0,H,,,,,,,,,,,,
E0,11/03/00,Newcastle,Watford,1,0,H,0,0,D,,,,,,,,,,,,
E0,11/03/00,Sheffield Weds,West Ham,3,1,H,0,1,A,,,,,,,,,,,,
E0,11/03/00,Tottenham,Southampton,7,2,H,4,2,H,,,,,,,,,,,,
E0,11/03/00,Wimbledon,Leicester,2,1,H,1,0,H,,,,,,,,,,,,
E0,12/03/00,Bradford,Leeds,1,2,A,0,1,A,,,,,,,,,,,,
E0,12/03/00,Middlesbrough,Arsenal,2,1,H,0,0,D,,,,,,,,,,,,
E0,15/03/00,Coventry,Everton,1,0,H,0,0,D,,,,,,,,,,,,
E0,15/03/00,Liverpool,Aston Villa,0,0,D,0,0,D,,,,,,,,,,,,
E0,18/03/00,Coventry,Bradford,4,0,H,2,0,H,,,,,,,,,,,,
E0,18/03/00,Derby,Liverpool,0,2,A,0,1,A,,,,,,,,,,,,
E0,18/03/00,Leicester,Man United,0,2,A,0,1,A,,,,,,,,,,,,
E0,18/03/00,Southampton,Aston Villa,2,0,H,1,0,H,,,,,,,,,,,,
E0,18/03/00,Sunderland,Middlesbrough,1,1,D,0,0,D,,,,,,,,,,,,
E0,18/03/00,Watford,Sheffield Weds,1,0,H,0,0,D,,,,,,,,,,,,
E0,18/03/00,West Ham,Chelsea,0,0,D,0,0,D,,,,,,,,,,,,
E0,19/03/00,Arsenal,Tottenham,2,1,H,2,1,H,,,,,,,,,,,,
E0,19/03/00,Everton,Newcastle,0,2,A,0,0,D,,,,,,,,,,,,
E0,19/03/00,Leeds,Wimbledon,4,1,H,3,1,H,,,,,,,,,,,,
E0,25/03/00,Aston Villa,Derby,2,0,H,1,0,H,,,,,,,,,,,,
E0,25/03/00,Bradford,Man United,0,4,A,0,2,A,,,,,,,,,,,,
E0,25/03/00,Chelsea,Southampton,1,1,D,0,0,D,,,,,,,,,,,,
E0,25/03/00,Liverpool,Newcastle,2,1,H,0,0,D,,,,,,,,,,,,
E0,25/03/00,Middlesbrough,Sheffield Weds,1,0,H,1,0,H,,,,,,,,,,,,
E0,25/03/00,Sunderland,Everton,2,1,H,1,1,D,,,,,,,,,,,,
E0,25/03/00,Watford,Tottenham,1,1,D,0,0,D,,,,,,,,,,,,
E0,26/03/00,Arsenal,Coventry,3,0,H,0,0,D,,,,,,,,,,,,
E0,26/03/00,Leicester,Leeds,2,1,H,1,1,D,,,,,,,,,,,,
E0,26/03/00,West Ham,Wimbledon,2,1,H,1,0,H,,,,,,,,,,,,
E0,01/04/00,Coventry,Liverpool,0,3,A,0,2,A,,,,,,,,,,,,
E0,01/04/00,Everton,Watford,4,2,H,3,1,H,,,,,,,,,,,,
E0,01/04/00,Leeds,Chelsea,0,1,A,0,0,D,,,,,,,,,,,,
E0,01/04/00,Man United,West Ham,7,1,H,3,1,H,,,,,,,,,,,,
E0,01/04/00,Newcastle,Bradford,2,0,H,1,0,H,,,,,,,,,,,,
E0,01/04/00,Southampton,Sunderland,1,2,A,0,1,A,,,,,,,,,,,,
E0,01/04/00,Wimbledon,Arsenal,1,3,A,1,2,A,,,,,,,,,,,,
E0,02/04/00,Derby,Leicester,3,0,H,3,0,H,,,,,,,,,,,,
E0,03/04/00,Tottenham,Middlesbrough,2,3,A,1,1,D,,,,,,,,,,,,
E0,05/04/00,Sheffield Weds,Aston Villa,0,1,A,0,0,D,,,,,,,,,,,,
E0,08/04/00,Bradford,Southampton,1,2,A,0,0,D,,,,,,,,,,,,
E0,08/04/00,Leicester,Everton,1,1,D,1,1,D,,,,,,,,,,,,
