D1,28/09/02,Bielefeld,Schalke 04,2,1,H,1,1,D,2.75,3.2,2.25,2.9,3.25,2.2,2.9,3,2.2,2.8,3.2,2.2,2.88,3.2,2.2,2.88,3.2,2.25,2.9,3.1,2.2,1.75,1.85
D1,28/09/02,Cottbus,Wolfsburg,0,1,A,0,0,D,2.3,3.2,2.625,2.3,3.25,2.75,2.3,3,2.7,2.38,3.2,2.6,2.25,3.25,2.75,2.3,3.25,2.75,2.3,3.1,2.75,1.8,1.8
D1,28/09/02,Dortmund,M'gladbach,1,0,H,0,0,D,1.4,3.75,7,1.51,3.75,7,1.5,3.7,5,1.5,3.4,6,1.5,3.5,6,1.5,3.5,6.5,1.44,3.5,7,1.7,1.9
D1,28/09/02,Hamburg,Stuttgart,3,2,H,2,2,D,2,3.2,3.2,2.03,3.3,3.5,2,3.1,3.2,2,3.2,3.2,2,3.2,3.3,2,3.2,3.4,2,3.1,3.3,1.7,1.9
D1,28/09/02,Hansa Rostock,Hannover,1,2,A,1,2,A,1.727,3.2,4.333,1.81,3.3,4.4,1.85,3.1,3.6,1.73,3.4,4,1.67,3.4,4.33,1.75,3.3,4.33,1.72,3.25,4.2,1.7,1.9
D1,28/09/02,Leverkusen,Bayern Munich,2,1,H,1,0,H,3,3.2,2.1,3.3,3.2,2.25,3.1,3.2,2,3,3,2.2,3,3.25,2.1,3.1,3.25,2.1,3.2,3,2.1,1.65,1.95
D1,28/09/02,Munich 1860,Hertha,1,0,H,1,0,H,2.375,3.1,2.625,2.4,3.3,2.63,2.4,3,2.6,2.38,3.2,2.6,2.38,3.2,2.63,2.4,3.25,2.63,2.3,3.25,2.62,1.75,1.85
D1,29/09/02,Bochum,Werder Bremen,1,4,A,1,2,A,2.375,3.1,2.625,2.5,3.25,2.82,2.2,3,2.9,2.38,3.2,2.6,2.25,3.25,2.75,2.3,3.25,2.75,2.3,3.1,2.75,1.75,2.01
D1,29/09/02,Nurnberg,Kaiserslautern,1,0,H,0,0,D,2.2,3.25,2.75,2.33,3.27,3.01,2.3,3,2.7,2.2,3.2,2.8,2.25,3.25,2.75,2.25,3.25,2.8,2.2,3.2,2.8,1.7,1.92
D1,05/10/02,Bayern Munich,Bochum,4,1,H,2,0,H,1.286,4.5,8,1.29,4.75,9.5,1.25,4.5,9,1.25,4.5,10,1.29,4.5,8.5,1.286,4.5,9.5,1.25,4.5,10,1.47,2.4
D1,05/10/02,Hannover,Dortmund,0,3,A,0,1,A,3.2,3.2,2,3.21,3.3,2.07,3.2,3.1,2,3,3.2,2.1,3.2,3.1,2.1,3.6,3.2,1.909,3.3,3.1,2,1.7,1.95
D1,05/10/02,Hertha,Nurnberg,2,1,H,0,1,A,1.571,3.5,5,1.56,3.6,5.65,1.5,3.7,5,1.57,3.5,5,1.53,3.5,5.5,1.533,3.5,6,1.53,3.4,5.5,1.7,1.95
D1,05/10/02,Kaiserslautern,Cottbus,4,0,H,1,0,H,1.667,3.25,4.5,1.65,3.4,5,1.5,3.7,5,1.73,3.4,4,1.67,3.4,4.5,1.571,3.4,5.5,1.66,3.3,4.5,1.7,1.95
D1,05/10/02,M'gladbach,Bielefeld,3,0,H,2,0,H,1.8,3.25,3.75,1.76,3.3,4.4,1.7,3.2,4.2,1.73,3.2,4.33,1.73,3.25,4.33,1.7,3.3,4.5,1.72,3.25,4.2,1.7,1.95
D1,05/10/02,Schalke 04,Hamburg,3,0,H,3,0,H,1.571,3.5,5,1.56,3.6,5.65,1.6,3.4,4.6,1.53,3.5,5.5,1.57,3.5,5,1.571,3.5,5.5,1.57,3.3,5.5,1.65,2
D1,05/10/02,Wolfsburg,Leverkusen,2,0,H,1,0,H,2.375,3.1,2.625,2.52,3.25,2.7,2.3,3,2.7,2.38,3.2,2.6,2.5,3.2,2.5,2.5,3.25,2.5,2.6,3.1,2.4,1.65,2
D1,06/10/02,Stuttgart,Munich 1860,4,1,H,0,1,A,2,3.2,3.2,1.97,3.3,3.65,2,3.1,3.2,1.91,3.2,3.5,2,3.2,3.3,2,3.2,3.4,2,3.1,3.3,1.7,1.9
D1,06/10/02,Werder Bremen,Hansa Rostock,0,0,D,0,0,D,1.615,3.25,5,1.68,3.4,5,1.65,3.3,4.4,1.57,3.5,5,1.67,3.4,4.5,1.571,3.4,5.5,1.57,3.5,5,1.65,1.95
D1,19/10/02,Cottbus,Hertha,0,2,A,0,2,A,3,3.2,2.1,3.25,3.15,2.1,3,3.1,2.1,3.2,3.2,2,3.2,3.25,2.05,3.2,3.25,2.05,3,3,2.2,1.7,1.95
D1,19/10/02,Dortmund,Bielefeld,0,0,D,0,0,D,1.3,4.333,8,1.31,4.6,8.5,1.25,4.5,9,1.29,4.33,9,1.3,4.33,8.5,1.3,4.5,9,1.3,4.2,8.5,1.55,2.2
D1,19/10/02,Hamburg,M'gladbach,1,0,H,0,0,D,2,3.2,3.2,1.96,3.2,3.75,2.1,3,3.1,1.91,3.2,3.5,1.91,3.25,3.6,1.909,3.25,3.6,1.9,3.2,3.5,1.65,1.97
D1,19/10/02,Hannover,Werder Bremen,4,4,D,2,1,H,2.75,3.2,2.25,2.92,3.26,2.25,2.6,3,2.4,2.8,3.2,2.2,2.75,3.25,2.25,2.8,3.25,2.25,3,3,2.2,1.65,2.02
D1,19/10/02,Hansa Rostock,Bayern Munich,0,1,A,0,0,D,3.75,3.3,1.8,4.55,3.41,1.77,3.8,3.1,1.8,3.75,3.25,1.8,4,3.25,1.8,4,3.3,1.8,3.75,3.2,1.83,1.7,1.95
D1,19/10/02,Leverkusen,Kaiserslautern,1,0,H,1,0,H,1.615,3.25,5,1.62,3.56,5.2,1.6,3.4,4.6,1.57,3.5,5,1.57,3.4,5.5,1.571,3.5,5.5,1.57,3.3,5.5,1.62,2.22
D1,19/10/02,Munich 1860,Schalke 04,3,0,H,0,0,D,2.5,3.1,2.5,2.61,3.1,2.55,2.4,3,2.6,2.38,3.2,2.6,2.5,3.1,2.6,2.5,3.1,2.6,2.37,3.1,2.62,1.68,2
D1,20/10/02,Bochum,Wolfsburg,4,2,H,1,2,A,2.3,3.2,2.625,2.45,3.15,2.77,2.2,3,2.9,2.38,3.2,2.6,2.38,3.2,2.62,2.375,3.2,2.7,2.3,3.25,2.62,1.75,1.94
D1,20/10/02,Nurnberg,Stuttgart,1,2,A,1,0,H,2.25,3.2,2.75,2.37,3.15,2.8,2.3,3,2.7,2.38,3.2,2.6,2.25,3.2,2.8,2.3,3.2,2.8,2.3,3.1,2.75,1.75,1.95
D1,26/10/02,Bayern Munich,Hannover,3,3,D,1,2,A,1.167,5.5,11,1.23,5.5,11,1.25,4.5,9,1.2,5,11,1.2,5.5,10,1.2,5.5,10,1.2,5,11,1.47,2.53
D1,26/10/02,Bielefeld,Hamburg,2,1,H,1,0,H,2.1,3.2,3,2.15,3.3,3.3,2.1,3,3.1,2.1,3.2,3,2,3.2,3.3,2,3.2,3.3,2.1,3.2,3,1.7,1.9
D1,26/10/02,Hertha,Leverkusen,1,1,D,1,0,H,2,3.2,3.2,2.02,3.25,3.32,2,3.1,3.2,1.91,3.25,3.4,2,3.25,3.25,2,3.25,3.25,2.1,3.1,3.1,1.7,2
D1,26/10/02,M'gladbach,Munich 1860,0,1,A,0,0,D,2.1,3.2,3,2.12,3.25,3.2,2.1,3,3.1,2.1,3.2,3,2.1,3.2,3.1,2.1,3.2,3.1,2.1,3.1,3.1,1.7,2.1
D1,26/10/02,Schalke 04,Nurnberg,1,1,D,0,1,A,1.4,3.75,7,1.44,3.9,7.45,1.35,4,7,1.4,3.75,7,1.4,3.75,7.5,1.4,3.75,7.5,1.4,3.6,7.5,1.6,2.1
D1,26/10/02,Stuttgart,Cottbus,0,0,D,0,0,D,1.444,3.6,6.5,1.44,3.8,7.5,1.4,3.9,6,1.44,3.5,7,1.4,3.75,7.5,1.4,3.75,7.5,1.4,3.75,7,1.6,2.1
D1,26/10/02,Werder Bremen,Dortmund,1,4,A,1,1,D,2.25,3.2,2.75,2.4,3.25,3,2.4,3,2.6,2.4,3.25,2.5,2.38,3.1,2.7,2.375,3.1,2.7,2.3,3.1,2.75,1.7,2
D1,27/10/02,Wolfsburg,Hansa Rostock,1,0,H,1,0,H,1.8,3.3,3.75,1.83,3.3,4.2,1.8,3.1,3.8,1.83,3.2,3.75,1.8,3.25,4,1.8,3.25,4,1.72,3.25,4.2,1.7,1.97
D1,02/11/02,Cottbus,Schalke 04,0,1,A,0,0,D,3.2,3.2,2,3.35,3.3,2.01,3.1,3,2.1,3.2,3.2,2,3.25,3.25,2,3.4,3.25,2,3.2,3.2,2,1.8,1.8
D1,02/11/02,Dortmund,Hamburg,1,1,D,0,0,D,1.444,3.6,6.5,1.45,3.7,7,1.45,3.8,5.4,1.44,3.6,6.5,1.44,3.6,7,1.444,3.75,7,1.44,3.6,6.5,1.65,1.95
D1,02/11/02,Hannover,Wolfsburg,3,1,H,2,0,H,2.3,3.2,2.625,2.3,3.3,2.75,2.2,3,2.9,2.38,3.2,2.6,2.2,3.25,2.8,2.3,3.2,2.8,2.4,3.1,2.6,1.65,1.95
D1,02/11/02,Hansa Rostock,Kaiserslautern,2,2,D,1,1,D,2,3.2,3.2,2.01,3.3,3.35,2,3.1,3.2,1.91,3.2,3.5,2.1,3.25,3,2.1,3.2,3.2,2.1,3.1,3.1,1.9,1.7
D1,02/11/02,Leverkusen,Stuttgart,0,1,A,0,1,A,1.667,3.4,4.333,1.76,3.3,4.4,1.7,3.2,4.2,1.73,3.2,4.33,1.67,3.4,4.5,1.7,3.4,4.5,1.66,3.3,4.5,1.65,1.95
D1,02/11/02,Munich 1860,Bielefeld,3,1,H,3,1,H,1.667,3.3,4.5,1.66,3.45,4.85,1.65,3.3,4.4,1.57,3.5,5,1.67,3.4,4.5,1.667,3.4,4.75,1.61,3.3,5,1.65,1.95
D1,02/11/02,Nurnberg,M'gladbach,2,1,H,2,0,H,2,3.2,3.2,2.1,3.3,3.1,2.2,3,2.9,2,3.2,3.2,2.1,3.25,3,2.1,3.2,3.2,2,3.2,3.2,1.75,1.85,,
D1,03/11/02,Bochum,Hertha,3,0,H,0,0,D,2.5,3.1,2.5,2.65,3.15,2.45,2.5,3,2.5,2.5,3.25,2.4,2.5,3.2,2.5,2.5,3.25,2.5,2.37,3.1,2.62,1.7,1.9,,
D1,03/11/02,Werder Bremen,Bayern Munich,2,0,H,1,0,H,2.625,3.2,2.3,2.85,3.25,2.25,2.7,3,2.3,2.88,3,2.25,2.8,3.25,2.2,2.8,3.2,2.3,2.8,3.1,2.25,1.65,1.95,,
D1,09/11/02,Bayern Munich,Dortmund,2,1,H,0,1,A,1.83,3.2,3.75,1.95,3.36,4.06,1.8,3.1,3.8,1.8,3.25,3.75,1.83,3.25,3.75,1.85,3.3,3.8,1.83,3.2,3.75,1.85,1.93,,
D1,09/11/02,Bielefeld,Nurnberg,0,1,A,0,0,D,1.83,3.2,3.75,1.91,3.45,3.81,2,3.1,3.2,1.91,3.2,3.5,1.83,3.25,3.75,1.85,3.3,3.8,1.9,3.2,3.5,1.75,2.01,,
D1,09/11/02,Hamburg,Munich 1860,1,0,H,1,0,H,2.2,3.25,2.75,2.31,3.35,3.2,2,3.1,3.2,2.2,3.2,2.8,2.2,3.25,2.9,2.2,3.25,2.9,2.1,3.2,3,1.74,2.07,,
D1,09/11/02,Kaiserslautern,Hannover,0,1,A,0,1,A,1.83,3.2,3.75,1.86,3.5,4.05,1.85,3.1,3.6,1.8,3.2,4,1.83,3.25,3.75,1.85,3.3,3.8,1.8,3.25,3.8,1.72,2.17,,
D1,09/11/02,Schalke 04,Leverkusen,0,1,A,0,0,D,1.9,3.2,3.5,2,3.4,4,2.1,3,3.1,1.91,3.2,3.5,1.91,3.25,3.5,1.909,3.25,3.6,1.9,3.2,3.5,1.77,1.9,,
D1,09/11/02,Stuttgart,Bochum,3,2,H,0,0,D,1.8,3.3,3.75,1.8,3.6,4.2,1.75,3.2,4,1.8,3.2,4,1.8,3.25,4,1.8,3.3,4,1.72,3.25,4.2,1.75,1.95,,
D1,09/11/02,Wolfsburg,Werder Bremen,3,1,H,1,0,H,2.37,3.1,2.62,2.47,3.38,2.87,2.3,3,2.7,2.38,3.2,2.62,2.25,3.25,2.75,2.3,3.25,2.75,2.2,3.1,2.87,1.72,2.01,,
D1,10/11/02,Hertha,Hansa Rostock,3,1,H,2,1,H,1.61,3.25,5,1.71,3.55,5.2,1.65,3.3,4.4,1.57,3.5,5,1.62,3.4,5,1.615,3.5,5,1.61,3.3,5,2.02,1.9,,
D1,10/11/02,M'gladbach,Cottbus,3,0,H,3,0,H,1.61,3.25,5,1.66,3.54,5.25,1.6,3.4,4.6,1.62,3.25,5,1.62,3.4,5,1.615,3.4,5,1.61,3.3,5,1.77,1.95,,
D1,13/11/02,Kaiserslautern,Bochum,0,2,A,0,2,A,2,3.2,3.2,2.08,3.5,3.46,1.9,3.1,3.5,2.1,3.2,3,2.1,3.25,3,2.1,3.25,3.1,2,3.2,3.2,1.81,1.97,,
D1,16/11/02,Bayern Munich,Wolfsburg,1,0,H,1,0,H,1.4,3.6,7.5,1.4,4.05,8,1.35,4,7,1.4,3.75,7,1.36,4,7.5,1.364,4,7.5,1.4,3.6,7.5,1.5,2.25,1.57,2.25
D1,16/11/02,Cottbus,Bielefeld,2,1,H,1,0,H,2.4,3.25,2.5,2.42,3.25,2.6,2.3,3,2.7,2.4,3.25,2.5,2.4,3.2,2.62,2.4,3.25,2.625,2.5,3.1,2.5,1.85,1.75,1.8,1.9
D1,16/11/02,Dortmund,Munich 1860,1,0,H,1,0,H,1.571,3.5,5,1.66,3.45,5.3,1.55,3.5,4.8,1.53,3.5,5.5,1.62,3.4,5,1.615,3.3,5.5,1.61,3.3,5,1.65,1.95,1.72,2
D1,16/11/02,Hannover,Hertha,0,1,A,0,1,A,2.4,3.25,2.5,2.5,3.25,2.52,2.5,3,2.5,2.4,3.25,2.5,2.5,3.2,2.5,2.5,3.25,2.5,2.4,3.1,2.6,1.65,1.95,1.72,2
D1,16/11/02,Hansa Rostock,Stuttgart,1,1,D,1,0,H,2.5,3.25,2.4,2.5,3.25,2.5,2.3,3,2.7,2.5,3.25,2.4,2.5,3.2,2.5,2.5,3.25,2.5,2.5,3.1,2.5,1.75,1.85,1.8,1.9
D1,16/11/02,Leverkusen,M'gladbach,2,2,D,1,1,D,1.571,3.5,5,1.55,3.7,5.3,1.55,3.5,4.8,1.53,3.5,5.5,1.53,3.6,5.5,1.533,3.6,5.5,1.57,3.5,5,1.7,1.9,1.66,2.1
