Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,BSH,BSD,BSA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA
SP1,10/09/11,Valencia,Ath Madrid,1,0,H,0,0,D,12,12,6,2,15,18,3,7,1,2,0,0,1.91,3.6,3.75,1.95,3.6,3.9,1.9,3.3,4,1.95,3.3,3.6,1.91,3.4,4,1.85,3.4,3.75,1.91,3.4,4,2,3.5,3.75,1.91,3.6,4.2,1.83,3.4,4.2,42,2,1.9,3.79,3.48,4.2,3.96,42,1.83,1.78,2.14,2,23,-0.5,2,1.91,2,1.93
SP1,10/09/11,Villarreal,Sevilla,2,2,D,1,1,D,11,10,5,5,15,14,2,1,2,4,1,0,2.1,3.4,3.4,2.2,3.4,3.3,2.1,3.4,3.25,2,3.3,3.3,2.1,3.4,3.4,2,3.4,3.25,2.15,3.25,3.4,2.15,3.4,3.4,2.15,3.4,3.5,2.15,3.3,3.2,42,2.21,2.12,3.57,3.36,3.7,3.38,41,1.99,1.88,2,1.9,21,-0.25,1.9,1.86,2.05,2
SP1,11/09/11,Betis,Mallorca,1,0,H,0,0,D,24,9,7,2,9,17,7,5,2,4,0,0,1.91,3.4,4,1.85,3.4,4.25,1.95,3.3,3.8,1.95,3.3,3.5,1.91,3.4,4,1.85,3.4,3.75,1.91,3.4,4,2,3.5,3.75,1.91,3.4,4.4,1.91,3.4,3.75,42,2,1.9,3.6,3.39,4.52,4.08,37,2.14,2.05,1.8,1.73,23,-0.5,2,1.91,2.02,1.94
SP1,11/09/11,Espanol,Ath Bilbao,2,1,H,1,0,H,10,17,6,7,17,21,2,3,2,1,0,0,2.4,3.3,2.9,2.4,3.4,2.95,2.4,3.25,2.8,2.2,3.3,2.9,2.4,3.25,2.9,2.35,3.2,2.75,2.4,3.25,2.95,2.4,3.4,2.8,2.5,3.3,3,2.5,3.2,2.7,42,2.55,2.42,3.41,3.26,3.1,2.88,40,2.14,2.03,1.83,1.76,18,0,1.81,1.76,2.16,2.09
SP1,11/09/11,Osasuna,Sp Gijon,2,1,H,2,0,H,21,10,7,2,22,16,6,8,2,3,0,0,1.91,3.4,4,1.8,3.4,4.5,1.95,3.4,3.75,1.9,3.3,3.7,1.91,3.4,4,1.85,3.4,3.75,1.91,3.25,4.4,1.95,3.3,4.2,1.91,3.4,4.5,1.91,3.4,3.75,42,1.95,1.9,3.6,3.39,4.68,4.1,37,2.43,2.25,1.65,1.61,23,-0.5,1.96,1.9,2.02,1.95
SP1,11/09/11,Santander,Levante,0,0,D,0,0,D,8,11,1,2,14,20,3,4,2,2,1,0,2.1,3.3,3.5,1.95,3.35,3.8,2.1,3.25,3.4,1.9,3.3,3.7,2.1,3.4,3.4,2,3.3,3.4,2.15,3.25,3.4,2.1,3.3,3.6,2.15,3.3,3.6,2.1,3.3,3.3,42,2.3,2.12,3.4,3.3,3.8,3.44,37,2.25,2.14,1.73,1.67,21,-0.25,1.93,1.89,2.03,1.97
SP1,11/09/11,Vallecano,Zaragoza,0,0,D,0,0,D,20,7,5,1,19,14,3,1,4,4,0,0,2.2,3.2,3.4,2.15,3.3,3.3,2.2,3.25,3.2,2.1,3.3,3.1,2.25,3.3,3.2,2.1,3.3,3.1,2.25,3.25,3.2,2.1,3.4,3.4,2.2,3.4,3.5,2.2,3.25,3.1,42,2.25,2.18,3.44,3.29,3.59,3.29,37,2.21,2.11,1.78,1.69,21,-0.25,1.91,1.86,2.05,2
SP1,12/09/11,Malaga,Granada,4,0,H,2,0,H,20,12,9,4,12,11,4,3,1,2,0,0,1.4,4.33,8.5,1.42,4.33,7.5,1.44,4.2,7,1.45,3.9,6.5,1.44,4.33,7,1.4,4.2,7,1.44,4.2,7.5,1.44,4.2,8,1.44,4.6,8,1.44,4,7,42,1.45,1.42,4.75,4.28,9,7.7,37,1.75,1.7,2.2,2.1,20,-1.25,2.05,2,1.92,1.87
SP1,17/09/11,Barcelona,Osasuna,8,0,H,5,0,H,18,7,14,1,8,15,8,3,1,5,0,0,1.08,10,26,1.09,9,23,1.1,8.5,21,1.1,7.3,15,1.1,10,21,1.07,8.5,21,1.1,9,21,1.08,10,29,1.1,12,29,1.07,9,26,43,1.1,1.08,12.41,9.87,35,26.04,28,1.31,1.28,3.8,3.48,19,-2.75,2.14,2.09,1.84,1.79
SP1,17/09/11,Granada,Villarreal,1,0,H,0,0,D,8,14,2,4,17,11,0,7,7,2,0,0,3.3,3.3,2.2,3.4,3.3,2.1,3.1,3.3,2.2,3.1,3.3,2.1,3.5,3.3,2.1,3.1,3.3,2.1,3.3,3.3,2.2,3.25,3.3,2.25,3.4,3.5,2.25,3.4,3.25,2.1,44,3.51,3.29,3.49,3.33,2.3,2.17,42,2.02,1.93,1.91,1.84,24,0.25,2.01,1.96,1.95,1.9
SP1,17/09/11,Mallorca,Malaga,0,1,A,0,1,A,6,8,1,4,21,12,4,8,2,1,0,0,3.1,3.4,2.25,3.1,3.3,2.25,2.9,3.3,2.3,2.75,3.2,2.35,2.88,3.4,2.38,2.8,3.2,2.3,3.2,3.2,2.3,3.1,3.4,2.25,3.2,3.5,2.25,3,3.3,2.25,44,3.34,3.09,3.57,3.32,2.38,2.26,42,1.98,1.9,1.95,1.87,23,0.25,1.99,1.93,1.98,1.93
SP1,17/09/11,Sevilla,Sociedad,1,0,H,0,0,D,15,11,5,1,20,9,8,1,3,2,0,0,1.53,4,6,1.57,4.1,5.75,1.55,3.75,6,1.5,3.9,5.5,1.57,3.8,6,1.5,3.75,6,1.57,3.8,6,1.57,4.2,5.5,1.57,4.33,6.5,1.57,3.75,5.5,44,1.58,1.54,4.4,3.97,7,6.03,38,1.72,1.65,2.29,2.18,25,-1,2,1.94,1.96,1.91
SP1,17/09/11,Sp Gijon,Valencia,0,1,A,0,1,A,15,11,4,5,13,19,6,6,1,5,0,0,3.3,3.3,2.2,3.5,3.35,2.05,3.4,3.3,2.1,3.3,3.3,2,3.5,3.3,2.1,3.2,3.3,2.05,3.3,3.3,2.2,3.5,3.2,2.2,3.6,3.4,2.15,3.4,3.25,2.1,44,3.7,3.41,3.45,3.3,2.23,2.13,42,2.11,2.01,1.84,1.77,24,0.25,2.05,1.99,1.92,1.87
SP1,18/09/11,Ath Bilbao,Betis,2,3,A,1,3,A,18,18,9,6,14,19,10,1,3,4,1,1,2,3.4,3.75,2,3.4,3.9,1.95,3.4,3.75,1.9,3.3,3.7,2,3.3,3.75,2,3.25,3.4,2.1,3.2,3.6,1.91,3.6,4,2.1,3.4,3.75,1.95,3.4,3.6,44,2.15,2.03,3.51,3.33,4,3.64,43,2.05,1.97,1.88,1.8,20,-0.5,2.14,2.07,1.87,1.78
SP1,18/09/11,Ath Madrid,Santander,4,0,H,2,0,H,17,4,7,0,17,17,5,4,3,2,0,0,1.44,4.2,7.5,1.45,4.2,7,1.5,4,6.5,1.55,3.7,5.4,1.5,4,7,1.44,3.75,7,1.44,4,8,1.44,4.33,7.5,1.44,4.4,7.5,1.5,4,6,44,1.5,1.46,4.6,4.15,8,7.24,41,1.86,1.76,2.2,2.02,20,-1,1.82,1.76,2.2,2.12
SP1,18/09/11,Getafe,Vallecano,0,1,A,0,1,A,7,9,2,4,20,14,5,8,3,5,0,0,1.95,3.5,3.8,1.95,3.4,4.1,1.95,3.4,3.75,1.9,3.3,3.7,1.91,3.4,4,1.9,3.4,3.6,1.95,3.3,4,1.95,3.4,4,1.95,3.5,4,1.91,3.4,3.8,44,2.04,1.94,3.52,3.39,4.3,3.9,38,2.16,2.05,1.82,1.73,27,-0.5,2.04,1.97,1.96,1.88
SP1,18/09/11,Levante,Real Madrid,1,0,H,0,0,D,11,14,4,3,20,16,3,6,7,3,0,1,13,6.5,1.2,13,6.25,1.2,11,6.5,1.2,11,5.3,1.22,11,6.5,1.22,12,6.25,1.17,11,6.5,1.22,13,7,1.2,13,6.5,1.22,12,6.5,1.18,43,16,12.14,7.23,6.43,1.25,1.21,28,1.45,1.4,3.1,2.78,21,1.75,2.22,2.02,1.91,1.86
SP1,18/09/11,Zaragoza,Espanol,2,1,H,1,0,H,12,14,5,4,23,12,3,4,2,4,0,1,2.1,3.2,3.6,2.1,3.25,3.5,2.1,3.25,3.4,2.1,3.3,3.1,2.2,3.25,3.3,2.1,3.2,3.2,2.2,3.3,3.3,2.25,3.1,3.5,2.25,3.3,3.6,2.2,3.25,3.2,44,2.28,2.17,3.36,3.22,3.8,3.38,37,2.3,2.15,1.75,1.66,24,-0.25,1.96,1.91,2.02,1.95
SP1,20/09/11,Osasuna,Sevilla,0,0,D,0,0,D,15,11,8,5,18,15,5,3,3,2,0,0,2.63,3.3,2.63,2.6,3.3,2.6,2.6,3.25,2.6,2.55,3.2,2.55,2.6,3.3,2.62,2.5,3.2,2.6,2.7,3.1,2.7,2.63,3.3,2.7,2.75,3.4,2.62,2.5,3.25,2.62,43,3.1,2.81,3.5,3.29,2.7,2.48,41,2.1,2.01,1.83,1.78,18,0.25,1.83,1.79,2.12,2.08
SP1,20/09/11,Sociedad,Granada,1,0,H,0,0,D,14,15,4,4,16,16,5,4,5,2,0,0,2,3.4,3.75,1.88,3.3,4.25,1.9,3.3,4,1.8,3.4,4,1.83,3.5,4.33,1.8,3.4,4,1.91,3.3,4.2,1.95,3.4,4,2,3.4,4,1.83,3.5,4,45,2.06,1.95,3.5,3.37,4.33,3.96,43,2.05,1.94,1.9,1.83,25,-0.5,2.07,2.01,1.9,1.84
SP1,20/09/11,Villarreal,Mallorca,2,0,H,1,0,H,13,9,9,3,9,14,3,2,0,3,0,0,1.62,3.75,5.5,1.62,3.9,5.5,1.6,3.75,5.5,1.65,3.5,4.6,1.67,3.75,5,1.6,3.6,5,1.67,3.6,5.5,1.62,3.9,5.5,1.67,3.8,6,1.62,3.75,5,45,1.78,1.7,3.9,3.59,6,5.12,43,2,1.88,2,1.89,21,-0.75,2.04,1.97,2.13,1.89
SP1,21/09/11,Ath Madrid,Sp Gijon,4,0,H,1,0,H,19,3,11,1,18,18,11,2,2,4,0,0,1.4,4.5,7.5,1.42,4.25,7.5,1.4,4.33,7.5,1.45,3.9,6.5,1.44,4,8,1.4,4.2,7,1.44,4,8,1.44,4.33,7.5,1.44,4.75,8.5,1.44,4.2,6.5,45,1.45,1.42,4.76,4.34,8.62,7.62,38,1.8,1.71,2.19,2.08,22,-1.25,2.03,1.98,1.93,1.88
SP1,21/09/11,Malaga,Ath Bilbao,1,0,H,0,0,D,13,8,4,3,16,20,6,6,1,2,0,0,1.62,3.75,5.5,1.7,3.5,5.75,1.67,3.6,5,1.65,3.5,4.6,1.7,3.6,5,1.65,3.5,4.75,1.62,3.75,5.5,1.67,3.75,5,1.67,4,5.5,1.62,3.75,5,45,1.7,1.65,4,3.72,6,5.27,39,1.82,1.73,2.16,2.06,20,-0.75,1.9,1.85,2.08,2.01
SP1,21/09/11,Santander,Real Madrid,0,0,D,0,0,D,5,16,2,2,20,19,2,10,6,3,0,0,13,6.5,1.2,12,6,1.22,11,6,1.22,11,5.3,1.22,11,6.5,1.22,11,6,1.18,13,6,1.22,15,6.5,1.2,13,7,1.22,10,6,1.22,44,15.9,12.52,7.26,6.38,1.23,1.21,32,1.45,1.39,3,2.79,21,1.75,2.12,2.07,1.88,1.81
SP1,21/09/11,Valencia,Barcelona,2,2,D,2,1,H,9,10,1,7,14,5,4,3,4,1,1,0,7.5,4.5,1.4,7.5,4.75,1.42,7,4.5,1.4,6,4.1,1.45,7,4.33,1.44,6.5,4.33,1.4,7,4.8,1.4,7,4.5,1.44,8,4.75,1.44,6.5,4.33,1.44,44,8.25,7.25,4.95,4.53,1.46,1.42,32,1.56,1.48,2.7,2.51,23,1.25,1.93,1.9,2.02,1.97
SP1,21/09/11,Vallecano,Levante,1,2,A,0,2,A,14,9,7,5,15,12,7,5,2,1,1,0,2.1,3.25,3.5,2.1,3.25,3.5,2.1,3.2,3.5,2.1,3.2,3.2,2.2,3.3,3.3,2.1,3.2,3.2,2.1,3.2,3.6,2.15,3.2,3.5,2.1,3.2,3.6,2.1,3.3,3.3,45,2.2,2.13,3.34,3.24,3.81,3.49,39,2.38,2.2,1.7,1.64,22,-0.25,1.88,1.84,2.12,2.03
SP1,22/09/11,Betis,Zaragoza,4,3,H,2,1,H,9,21,6,8,8,16,2,10,0,2,1,0,1.67,3.6,5.25,1.7,3.6,5.5,1.72,3.5,4.75,1.75,3.4,4.3,1.73,3.5,5,1.7,3.5,4.33,1.67,3.5,5.5,1.73,3.6,5,1.7,3.75,5.5,1.7,3.5,4.75,43,1.75,1.7,3.75,3.55,5.56,5.06,40,2.06,1.98,1.86,1.79,21,-0.75,1.97,1.92,1.98,1.94
SP1,22/09/11,Espanol,Getafe,1,0,H,0,0,D,16,9,6,0,25,16,10,0,5,1,0,0,2.1,3.25,3.5,2.05,3.3,3.8,2.1,3.25,3.4,2,3.3,3.3,2.2,3.3,3.3,2.1,3.2,3.2,2.1,3.2,3.6,2.1,3.3,3.6,2.15,3.4,3.75,2.05,3.3,3.4,43,2.2,2.1,3.45,3.27,3.8,3.5,39,2.21,2.04,1.81,1.74,21,-0.25,1.88,1.84,2.11,2.03
SP1,24/09/11,Ath Bilbao,Villarreal,1,1,D,1,0,H,10,15,6,3,22,17,8,4,3,1,1,0,2.2,3.25,3.3,2.15,3.3,3.3,2.2,3.2,3.2,2.3,3.3,2.75,2.25,3.3,3.1,2.2,3.2,3,2.2,3.3,3.2,2.2,3.4,3.25,2.15,3.5,3.5,2.3,3.3,2.88,45,2.3,2.19,3.52,3.3,3.59,3.25,40,2.02,1.93,1.95,1.85,24,-0.25,1.93,1.85,2.08,2.01
SP1,24/09/11,Barcelona,Ath Madrid,5,0,H,3,0,H,18,6,8,2,17,18,8,1,1,1,0,0,1.2,6.5,13,1.2,7,10.5,1.2,7,10,1.22,5.3,11,1.2,7,13,1.17,6.25,12,1.22,6.5,11,1.18,7,15,1.2,7.5,15,1.2,6,12,44,1.22,1.19,8.04,6.84,15,12.47,30,1.33,1.29,3.6,3.35,26,-2,2,1.95,1.97,1.91
SP1,24/09/11,Real Madrid,Vallecano,6,2,H,2,1,H,18,16,11,6,7,18,7,6,0,4,1,0,1.1,9,21,1.09,9.25,23,1.1,9,19,1.12,7,14,1.1,9,23,1.06,8.5,23,1.1,8.5,26,1.1,9,26,1.1,12,29,1.08,9,21,44,1.12,1.09,12.71,9.25,32,23.64,30,1.3,1.26,3.75,3.57,19,-2.5,1.83,1.79,2.14,2.09
SP1,24/09/11,Sevilla,Valencia,1,0,H,1,0,H,12,14,6,6,15,13,4,8,2,3,2,1,2.3,3.25,3.1,2.2,3.3,3.2,2.25,3.3,3,2.1,3.3,3.1,2.25,3.3,3.1,2.25,3.2,2.9,2.3,3.2,3.2,2.2,3.4,3.2,2.3,3.5,3.2,2.38,3.3,2.8,45,2.38,2.25,3.64,3.34,3.35,3.11,42,1.88,1.81,2.06,1.97,25,-0.25,2.02,1.93,1.98,1.92
SP1,25/09/11,Granada,Osasuna,1,1,D,0,1,A,10,20,2,6,20,12,4,6,3,3,0,0,2.25,3.25,3.2,2.25,3.25,3.4,2.25,3.2,3.1,2.3,3.2,2.8,2.3,3.3,3.1,2.25,3.2,2.9,2.3,3.2,3.2,2.25,3.25,3.25,2.3,3.3,3.4,2.2,3.25,3.1,44,2.32,2.25,3.4,3.24,3.45,3.19,36,2.35,2.19,1.7,1.65,24,-0.25,1.98,1.93,1.97,1.93
SP1,25/09/11,Levante,Espanol,3,1,H,1,0,H,12,18,5,6,11,14,7,8,1,4,0,2,2.2,3.25,3.3,2.05,3.2,3.7,2.1,3.2,3.5,2,3.2,3.4,2.1,3.25,3.5,2.1,3.2,3.2,2.1,3.2,3.6,2.2,3.25,3.4,2.15,3.3,3.75,2.05,3.25,3.5,44,2.2,2.11,3.48,3.28,3.8,3.47,36,2.25,2.14,1.75,1.68,24,-0.25,1.86,1.8,2.13,2.07
SP1,25/09/11,Mallorca,Sociedad,2,1,H,1,1,D,16,16,4,5,14,8,6,1,2,0,0,0,2.1,3.3,3.5,2.15,3.3,3.3,2.2,3.2,3.2,2.15,3.2,3.1,2.2,3.3,3.3,2.2,3.2,3,2.2,3.2,3.3,2.25,3.3,3.3,2.2,3.3,3.6,2.3,3.2,3,45,2.3,2.19,3.4,3.24,3.67,3.31,38,2.34,2.14,1.8,1.68,25,-0.25,1.89,1.86,2.08,2.01
SP1,25/09/11,Sp Gijon,Santander,0,0,D,0,0,D,16,8,1,3,15,15,3,5,2,4,0,0,2.05,3.3,3.6,2.05,3.25,3.6,2.1,3.2,3.5,2.15,3.2,3.1,2.1,3.2,3,2.05,3.2,3.3,2.1,3.2,3.6,2.05,3.25,3.75,2.1,3.4,4,2.15,3.25,3.25,44,2.15,2.08,3.39,3.28,4.01,3.57,37,2.27,2.15,1.74,1.68,22,-0.25,1.82,1.78,2.16,2.09
SP1,25/09/11,Zaragoza,Malaga,0,0,D,0,0,D,8,9,4,4,19,10,3,7,1,1,0,0,3.2,3.4,2.2,3.2,3.4,2.15,3.2,3.2,2.2,3.1,3.3,2.1,3.2,3.4,2.2,3.2,3.2,2.1,3.3,3.2,2.2,3.2,3.4,2.25,3.4,3.6,2.2,3.3,3.3,2.1,44,3.46,3.23,3.62,3.36,2.25,2.18,40,1.91,1.79,2.09,1.98,24,0.25,2.01,1.96,1.95,1.9
SP1,26/09/11,Getafe,Betis,1,0,H,1,0,H,12,9,5,3,13,22,2,4,5,3,0,0,2.5,3.25,2.8,2.4,3.5,2.9,2.4,3.2,2.9,2.4,3.2,2.7,2.5,3.3,2.75,2.5,3.2,2.6,2.5,3.2,2.8,2.5,3.25,2.9,2.62,3.3,2.88,2.5,3.3,2.62,41,2.67,2.49,3.5,3.25,2.9,2.78,38,2.08,1.98,1.85,1.8,21,0,1.9,1.83,2.06,1.99
SP1,01/10/11,Malaga,Getafe,3,2,H,0,0,D,19,6,8,2,11,22,5,1,2,6,0,1,1.57,4,5.5,1.55,3.8,6.25,1.5,4,6,1.55,3.7,5.4,1.53,4,6,1.5,4,6.5,1.53,3.8,6.5,1.57,4,6,1.57,4,6.5,1.53,4,6,44,1.6,1.54,4.2,3.93,7,6.08,41,1.93,1.83,2.02,1.94,25,-1,2.07,2.01,1.88,1.85
SP1,01/10/11,Osasuna,Mallorca,2,2,D,1,1,D,10,14,6,6,11,16,7,1,2,4,0,1,1.83,3.5,4.33,1.78,3.4,4.6,1.85,3.4,4.25,1.9,3.3,3.7,1.83,3.4,4.5,1.83,3.4,4.33,1.8,3.4,4.75,1.83,3.5,4.33,1.83,3.5,5,1.83,3.4,4.5,44,1.9,1.82,3.57,3.43,5,4.42,38,2.25,2.15,1.75,1.67,25,-0.5,1.88,1.82,2.12,2.04
SP1,01/10/11,Santander,Vallecano,1,1,D,0,1,A,7,9,4,5,11,17,3,4,1,4,0,0,2.2,3.3,3.25,2.15,3.2,3.4,2.1,3.25,3.4,2,3.2,3.4,2.2,3.25,3.3,2.15,3.3,3.3,2.15,3.25,3.4,2.1,3.3,3.5,2.25,3.4,3.4,2.2,3.25,3.3,44,2.3,2.19,3.42,3.27,3.6,3.31,38,2.18,2.08,1.8,1.72,25,-0.25,1.99,1.94,2,1.92
SP1,01/10/11,Valencia,Granada,1,0,H,1,0,H,23,14,11,5,14,1,10,4,2,0,0,0,1.33,4.5,11,1.3,5,10,1.3,5,9,1.27,5,9,1.33,5,9,1.3,5,10,1.33,4.75,9.5,1.33,4.75,10,1.33,5.4,11,1.33,5,9,43,1.35,1.32,5.4,4.88,12,9.87,36,1.72,1.65,2.33,2.19,22,-1.5,2.09,2.03,1.88,1.83
SP1,01/10/11,Villarreal,Zaragoza,2,2,D,1,2,A,25,16,12,9,3,23,13,4,1,3,0,1,1.62,3.8,5.5,1.57,3.9,6.5,1.55,3.75,6,1.6,3.6,5,1.57,3.8,6,1.57,3.75,6,1.57,3.75,6,1.57,4,6,1.62,4,6,1.6,3.8,5.5,43,1.63,1.59,4.12,3.77,6.5,5.8,41,1.89,1.81,2.05,1.96,22,-1,2.25,2.11,1.85,1.77
SP1,02/10/11,Ath Madrid,Sevilla,0,0,D,0,0,D,15,8,4,5,20,17,7,5,5,6,0,0,1.91,3.6,3.75,2,3.5,3.8,2,3.4,3.5,2,3.3,3.3,2,3.4,3.75,2,3.4,3.6,1.95,3.75,3.6,2,3.5,3.75,1.95,3.75,4,2,3.4,3.75,43,2.01,1.96,3.75,3.47,4.2,3.75,37,1.78,1.72,2.17,2.07,25,-0.5,2,1.95,1.98,1.9
SP1,02/10/11,Betis,Levante,0,1,A,0,1,A,20,8,4,3,13,11,11,2,2,4,0,0,1.73,3.6,4.75,1.75,3.6,4.5,1.75,3.5,4.5,1.85,3.4,3.8,1.8,3.5,4.5,1.75,3.5,4.75,1.8,3.5,4.5,1.83,3.6,4.33,1.75,3.75,5,1.83,3.5,4.33,43,1.85,1.77,3.76,3.54,5.07,4.57,42,2.03,1.95,1.89,1.83,24,-0.75,2.05,2.01,1.89,1.85
