E0,31/08/2002,Tottenham,Southampton,2,1,H,1,1,D,M Dean,18,15,8,8,16,13,12,6,3,1,0,1,1.667,3.4,4.5,1.63,3.45,5,1.65,3.3,4.4,1.571,3.5,5,1.62,3.4,5,1.615,3.4,5.5,1.57,3.3,5.5,1.85,1.85
E0,31/08/2002,West Brom,Fulham,1,0,H,0,0,D,R Styles,8,6,5,1,17,16,5,7,4,3,0,0,2.625,3.2,2.375,2.85,3.2,2.32,2.7,3,2.3,2.75,3.2,2.25,2.8,3.25,2.2,2.875,3.2,2.3,2.87,3.1,2.2,1.85,1.75
E0,31/08/2002,West Ham,Charlton,0,2,A,0,2,A,J Winter,9,5,4,3,11,15,8,6,3,1,0,0,1.727,3.5,4,1.73,3.4,4.2,1.7,3.2,4.2,1.667,3.4,4.333,1.73,3.25,4.33,1.8,3.25,4.333,1.72,3.2,4.33,1.85,1.85
E0,01/09/2002,Bolton,Aston Villa,1,0,H,0,0,D,S Dunn,13,12,6,5,9,11,4,5,2,3,0,0,2.5,3,2.625,2.53,3.15,2.7,2.4,3,2.6,2.6,3.2,2.375,2.63,3.2,2.38,2.5,3.2,2.625,2.5,3.1,2.5,1.9,1.9
E0,01/09/2002,Chelsea,Arsenal,1,1,D,1,0,H,A D'Urso,8,8,2,5,20,16,6,2,5,2,0,1,3,3,2.25,2.88,3.25,2.4,2.7,3,2.3,2.75,3.2,2.25,2.8,3.25,2.2,2.9,3.2,2.25,2.87,3,2.25,1.75,1.91
E0,02/09/2002,Liverpool,Newcastle,2,2,D,0,0,D,G Poll,22,11,11,6,7,25,12,3,1,2,0,0,1.615,3.4,5,1.67,3.56,4.86,1.65,3.3,4.4,1.571,3.5,5,1.62,3.4,5,1.667,3.4,5,1.66,3.3,4.5,1.75,1.91
E0,03/09/2002,Man United,Middlesboro,1,0,H,1,0,H,M Riley,7,5,1,3,13,12,4,6,1,2,0,0,1.333,4,9,1.33,4.68,9,1.35,4,7,1.286,4.5,8,1.29,4.5,8.5,1.333,4.5,8.5,,,,1.72,1.95
E0,10/09/2002,Arsenal,Man City,2,1,H,2,1,H,C Wilkes,13,5,5,4,16,14,7,6,1,2,0,1,1.333,4.333,7.5,1.43,4.2,8,1.3,4.2,8,1.3,4.333,8,1.33,4,8.5,1.333,4.5,8,1.3,4.33,8,1.65,2.22
E0,10/09/2002,Middlesboro,Sunderland,3,0,H,2,0,H,A Wiley,9,8,7,6,16,12,6,8,3,3,0,0,2.1,3,3.25,2.11,3.05,3.45,2,3,3.3,2,3,3.4,1.91,3,3.75,2.1,3.1,3.4,2,3,3.4,2.05,1.68
E0,11/09/2002,Aston Villa,Charlton,2,0,H,0,0,D,G Poll,12,8,5,2,16,16,6,2,0,1,0,0,1.8,3.25,4,1.96,3.25,4.12,1.9,3.1,3.5,1.909,3.2,3.5,1.83,3.25,3.75,1.85,3.25,4,1.8,3.25,3.8,1.93,1.83
E0,11/09/2002,Blackburn,Chelsea,2,3,A,2,1,H,M Riley,11,14,6,9,15,16,9,4,2,3,0,0,2.5,3.2,2.5,2.61,3,2.7,2.5,3,2.5,2.5,3.2,2.5,2.5,3.2,2.5,2.5,3.1,2.7,2.37,3.1,2.62,1.9,1.73
E0,11/09/2002,Fulham,Tottenham,3,2,H,0,2,A,M Halsey,13,7,8,4,8,11,9,6,0,1,0,0,2.375,3.2,2.625,2.55,3.2,2.6,2.5,3,2.5,2.375,3.2,2.6,2.5,3.2,2.5,2.4,3.1,2.8,2.4,3.1,2.6,2,1.72
E0,11/09/2002,Liverpool,Birmingham,2,2,D,1,0,H,N Barry,12,6,10,3,6,10,1,2,0,1,0,0,1.25,4.5,11,1.27,4.6,12,1.25,4.5,9,1.333,3.75,9,1.25,4.5,10,1.286,4.6,10,1.28,4.5,8,1.7,1.97
E0,11/09/2002,Man United,Bolton,0,1,A,0,0,D,G Barber,23,10,14,8,10,11,9,6,1,2,0,0,1.2,5.5,10,1.24,5.5,12.5,1.25,4.5,9,1.222,5,10,1.2,5.5,11,1.2,5.5,12,1.22,5,9.5,1.56,2.25
E0,11/09/2002,Newcastle,Leeds,0,2,A,0,1,A,D Gallagher,22,14,11,6,15,12,10,7,3,2,0,0,2.1,3.25,3,2.13,3.2,3.19,1.9,3.1,3.5,2.2,3.2,2.8,2,3.25,3.25,2.2,3.2,3.1,2,3.2,3.2,1.77,1.95
E0,11/09/2002,Southampton,Everton,1,0,H,0,0,D,S Bennett,11,18,7,10,13,19,4,13,3,3,0,0,2,3.25,3.25,1.9,3.3,3.5,2,3.1,3.2,2,3.2,3.2,2.1,3.25,3,2.1,3.25,3.25,2,3.2,3.2,1.94,1.72
E0,11/09/2002,West Ham,West Brom,0,1,A,0,1,A,A D'Urso,5,6,3,5,11,15,8,4,1,0,0,0,1.571,3.4,5.5,1.6,3.45,5.5,1.6,3.4,4.6,1.615,3.5,4.5,1.53,3.4,6,1.571,3.4,6,1.61,3.3,5,1.77,1.9,
E0,14/09/2002,Bolton,Liverpool,2,3,A,0,1,A,R Styles,7,12,5,8,10,9,7,4,2,2,0,0,4.333,3.25,1.727,4.75,3.3,1.77,3.8,3.1,1.8,5,3.25,1.615,4.5,3.4,1.67,4.333,3.4,1.75,4.33,3.2,1.72,1.75,1.9,
E0,14/09/2002,Charlton,Arsenal,0,3,A,0,1,A,S Dunn,9,10,3,8,8,13,1,6,0,3,0,0,5,3.4,1.615,4.75,3.4,1.73,4.2,3.2,1.7,4.5,3.25,1.667,5,3.4,1.62,5,3.4,1.667,4.5,3.3,1.66,1.73,1.9,
E0,14/09/2002,Chelsea,Newcastle,3,0,H,2,0,H,B Knight,7,5,5,0,9,9,2,4,1,4,0,0,1.909,3.25,3.5,2.05,3.25,3.25,1.8,3.1,3.8,2,3.2,3.2,2,3.25,3.25,2,3.25,3.5,2,3.2,3.2,1.7,1.9,
E0,14/09/2002,Everton,Middlesboro,2,1,H,1,1,D,M Messias,13,10,8,5,18,12,10,4,2,1,0,0,2.3,3.2,2.7,2.25,3.25,2.85,2.3,3,2.7,2.25,3.2,2.75,2.2,3.25,2.8,2.3,3.2,2.875,2.37,3.1,2.62,1.95,1.75,
E0,14/09/2002,Leeds,Man United,1,0,H,0,0,D,J Winter,8,6,2,5,15,12,4,7,2,1,0,0,2.75,3,2.375,2.9,3.25,2.41,2.7,3,2.3,2.6,3.2,2.375,2.88,3.2,2.2,2.875,3.2,2.3,2.87,3,2.25,1.75,1.85,
E0,14/09/2002,Sunderland,Fulham,0,3,A,0,1,A,C Foy,8,5,5,4,12,13,11,6,2,2,0,0,2.1,3.25,3,2.21,3.25,2.95,2.2,3,2.9,2.25,3.2,2.75,2.2,3.25,2.8,2.2,3.25,3,2.2,3.2,2.8,1.92,1.75,
E0,14/09/2002,West Brom,Southampton,1,0,H,0,0,D,D Gallagher,11,10,7,5,14,14,0,7,2,1,0,1,2.25,3.25,2.75,2.25,3.2,2.9,2.2,3,2.9,2.2,3.25,2.75,2.2,3.25,2.8,2.25,3.25,2.9,2.2,3.2,2.8,1.9,1.7,
E0,15/09/2002,Man City,Blackburn,2,2,D,0,1,A,M Dean,15,12,7,8,13,13,15,5,3,3,1,0,1.909,3.25,3.5,2.05,3.2,3.3,2.1,3,3.1,2,3.2,3.2,2,3.25,3.25,2.05,3.2,3.4,2,3.2,3.2,1.67,2,
E0,15/09/2002,Tottenham,West Ham,3,2,H,0,0,D,U Rennie,12,11,3,1,16,16,5,6,2,2,0,1,1.667,3.4,4.5,1.8,3.25,4.35,1.8,3.1,3.8,1.727,3.2,4.333,1.67,3.4,4.5,1.727,3.4,4.5,1.72,3.2,4.33,1.82,1.9,
E0,16/09/2002,Birmingham,Aston Villa,3,0,H,1,0,H,D Elleray,12,8,5,1,18,13,9,6,3,2,0,0,2.5,3,2.625,2.55,3.17,2.81,2.5,3,2.5,2.375,3,2.75,2.38,3.2,2.63,2.4,3.2,2.7,2.5,3.1,2.5,2.01,1.72,
E0,21/09/2002,Arsenal,Bolton,2,1,H,1,0,H,D Pugh,14,8,9,3,12,11,8,1,1,3,0,1,1.2,5.5,10,1.28,5.2,11,1.25,4.5,9,1.2,5,11,1.2,5.5,10,1.222,5.5,11,1.22,5,9.5,1.62,2.05,
E0,21/09/2002,Liverpool,West Brom,2,0,H,0,0,D,D Elleray,23,5,14,2,8,11,9,2,2,2,0,1,1.25,4.5,11,1.32,4.75,9.5,1.3,4.2,8,1.286,4.333,9,1.29,4.5,8.5,1.3,4.5,10,1.33,4,8,1.77,1.95,
E0,21/09/2002,Man United,Tottenham,1,0,H,0,0,D,R Styles,16,10,9,5,11,8,10,5,1,1,0,0,1.444,3.75,6.5,1.45,3.9,6.5,1.4,3.9,6,1.5,3.4,6,1.44,3.6,7,1.5,3.6,6.5,1.44,3.6,6.5,1.63,2.1,
E0,21/09/2002,Middlesboro,Birmingham,1,0,H,1,0,H,A D'Urso,9,12,4,3,22,13,6,3,3,4,0,0,1.667,3.4,4.5,1.72,3.3,4.55,1.75,3.2,4,1.667,3.25,4.5,1.73,3.25,4.33,1.727,3.4,4.5,1.66,3.3,4.5,1.9,1.7,
E0,21/09/2002,Newcastle,Sunderland,2,0,H,2,0,H,M Riley,11,8,6,4,8,15,8,3,2,4,0,0,1.727,3.2,4.5,1.7,3.32,4.6,1.8,3.1,3.8,1.667,3.25,4.5,1.73,3.25,4.33,1.727,3.4,4.5,1.66,3.3,4.5,1.82,1.85,
E0,21/09/2002,Southampton,Charlton,0,0,D,0,0,D,P Dowd,13,6,5,5,24,14,5,3,2,1,0,0,2,3.25,3.25,2.1,3.25,3.45,2.1,3,3.1,1.909,3.25,3.4,2,3.25,3.25,2.1,3.25,3.25,2,3.2,3.2,1.95,1.7,
E0,21/09/2002,West Ham,Man City,0,0,D,0,0,D,G Barber,9,8,5,6,12,6,8,4,2,0,0,0,2.1,3.25,3,2.05,3.35,3.2,2,3.1,3.2,2,3.4,3,2.1,3.25,3,2.05,3.2,3.25,2.1,3.25,2.9,1.72,1.9,
E0,22/09/2002,Aston Villa,Everton,3,2,H,1,0,H,J Winter,12,14,8,7,13,15,5,5,0,1,0,0,1.833,3.25,3.75,1.85,3.2,4,1.85,3.1,3.6,1.8,3.2,4,1.91,3.25,3.5,1.909,3.2,3.8,1.9,3.1,3.6,2.02,1.75,
E0,22/09/2002,Blackburn,Leeds,1,0,H,1,0,H,G Poll,11,7,7,5,24,14,7,2,1,2,0,0,2.75,3.25,2.25,2.75,3.2,2.3,2.9,3,2.2,2.6,3.2,2.375,2.63,3.2,2.38,2.8,3.2,2.3,2.6,3.1,2.4,1.82,1.85,
E0,23/09/2002,Fulham,Chelsea,0,0,D,0,0,D,P Durkin,8,11,3,4,16,15,5,3,1,0,0,0,2.625,3,2.5,2.65,3.15,2.47,2.7,3,2.3,2.75,3.2,2.25,2.75,3.25,2.25,2.75,3.25,2.375,2.5,3.1,2.5,1.7,1.92,
E0,28/09/2002,Birmingham,Newcastle,0,2,A,0,1,A,S Bennett,11,13,5,6,18,9,5,10,3,0,0,0,2.625,3.2,2.375,2.55,3.05,2.45,2.7,3,2.3,2.5,3.25,2.4,2.5,3.2,2.5,2.6,3.2,2.5,2.75,3.2,2.25,1.75,1.85,
E0,28/09/2002,Bolton,Southampton,1,1,D,0,0,D,U Rennie,19,10,10,6,5,16,9,7,1,0,0,0,2,3.25,3.25,2.05,3.29,3.45,2,3.1,3.2,2.2,3.2,2.8,2,3.25,3.25,2,3.25,3.5,2,3.2,3.2,1.95,1.65,
E0,28/09/2002,Charlton,Man United,1,3,A,1,0,H,D Gallagher,7,13,3,7,12,8,3,6,2,3,0,0,4.5,3.4,1.667,4.9,3.45,1.68,4.2,3.2,1.7,4.33,3.2,1.73,4.5,3.4,1.67,5,3.4,1.67,4.5,3.3,1.66,1.65,1.95,
E0,28/09/2002,Chelsea,West Ham,2,3,A,1,1,D,M Dean,12,16,9,11,17,7,5,7,1,4,0,0,1.571,3.4,5.5,1.58,3.5,6,1.6,3.4,4.6,1.5,3.4,6,1.53,3.4,6,1.571,3.4,6,1.57,3.3,5.5,1.7,1.9,
E0,28/09/2002,Everton,Fulham,2,0,H,2,0,H,S Dunn,15,12,9,6,13,18,8,4,1,3,0,0,2.25,3.25,2.75,2.41,3.15,2.82,2.4,3,2.6,2.25,3.2,2.75,2.38,3.2,2.63,2.3,3.2,2.8,2.5,3.1,2.5,1.9,1.7,
E0,28/09/2002,Leeds,Arsenal,1,4,A,0,2,A,A Wiley,9,7,3,6,14,15,4,4,4,2,0,0,3,3.25,2.1,3.15,3.22,2.31,2.9,3,2.2,2.8,3.2,2.2,3,3.25,2.1,3,3.25,2.2,3.2,3.2,2,1.75,1.92,
E0,28/09/2002,Man City,Liverpool,0,3,A,0,1,A,P Durkin,14,9,6,6,7,9,12,3,0,0,0,0,2.8,3.25,2.2,3.05,3.25,2.23,2.9,3,2.2,3,3.4,2,2.8,3.25,2.2,3,3.25,2.2,3,3.2,2.1,1.75,1.85,
E0,28/09/2002,Sunderland,Aston Villa,1,0,H,0,0,D,N Barry,8,12,6,5,20,10,5,12,3,3,0,0,2.375,3,2.75,2.38,3.15,2.8,2.3,3,2.7,2.38,3.2,2.6,2.38,3.2,2.63,2.38,3.1,2.88,2.4,3.1,2.6,2.18,1.6,
E0,28/09/2002,Tottenham,Middlesboro,0,3,A,0,1,A,G Poll,12,18,4,12,9,11,4,11,1,1,0,0,1.833,3.25,3.75,1.93,3.3,3.9,1.9,3.1,3.5,1.73,3.4,4,1.8,3.2,4,1.909,3.25,3.75,1.83,3.2,3.75,1.8,1.8,
E0,30/09/2002,West Brom,Blackburn,0,2,A,0,0,D,M Halsey,9,10,8,5,14,15,7,2,1,1,0,0,2.6,3.2,2.4,2.47,3.27,2.6,2.5,3,2.5,2.6,3.2,2.38,2.5,3.2,2.5,2.6,3.2,2.5,2.6,3.1,2.4,1.9,1.87,
E0,05/10/2002,Middlesboro,Bolton,2,0,H,1,0,H,C Wilkes,13,11,2,4,9,10,5,5,0,3,0,0,1.533,3.5,5.5,1.67,3.42,4.81,1.6,3.4,4.6,1.57,3.5,5,1.53,3.4,6,1.571,3.5,5.75,1.57,3.3,5.5,1.95,1.65,
E0,05/10/2002,Newcastle,West Brom,2,1,H,1,1,D,C Foy,14,5,8,3,11,9,11,6,1,2,0,0,1.4,3.75,7.5,1.48,3.85,7.25,1.45,3.8,5.4,1.4,3.75,7,1.44,3.5,7,1.364,4,9,1.36,3.75,8,1.8,1.8
E0,05/10/2002,Southampton,Man City,2,0,H,2,0,H,M Messias,19,11,13,4,15,9,8,5,2,2,1,0,2.3,3.2,2.7,2.36,3.2,2.82,2.3,3,2.7,2.2,3.25,2.75,2.25,3.25,2.75,2.375,3.2,2.75,2.37,3.1,2.62,1.9,1.7
E0,05/10/2002,West Ham,Birmingham,1,2,A,1,2,A,P Dowd,13,10,6,4,20,11,8,2,2,1,0,0,1.727,3.25,4.333,1.73,3.35,4.5,1.65,3.3,4.4,1.67,3.4,4.33,1.73,3.25,4.33,1.667,3.4,4.75,1.72,3.25,4.2,1.75,1.85
E0,06/10/2002,Arsenal,Sunderland,3,1,H,3,0,H,D Elleray,9,4,5,2,9,7,15,0,0,0,0,0,1.167,5.5,13,1.23,5.35,13.5,1.2,5,10,1.17,5.5,12,1.17,5.5,13,1.182,6,12,1.14,6,12,1.55,2.15
E0,06/10/2002,Aston Villa,Leeds,0,0,D,0,0,D,M Halsey,16,6,5,3,11,10,14,6,1,1,0,0,2.6,3.2,2.4,2.58,3.15,2.63,2.5,3,2.5,2.75,3,2.38,2.75,3.25,2.25,2.7,3.2,2.4,2.6,3.1,2.4,1.9,1.7
E0,06/10/2002,Blackburn,Tottenham,1,2,A,0,1,A,A D'Urso,12,9,7,6,17,11,6,3,1,0,0,0,2.1,3.25,3,2.2,3.2,3,2.1,3,3.1,2,3.2,3.2,2.1,3.25,3,2.05,3.25,3.2,2.1,3.2,3,1.75,1.85
E0,06/10/2002,Fulham,Charlton,1,0,H,1,0,H,J Winter,9,14,5,7,9,13,4,8,1,2,0,0,1.667,3.4,4.5,1.76,3.3,4.4,1.8,3.1,3.8,1.73,3.2,4.33,1.67,3.4,4.5,1.7,3.4,4.75,1.72,3.2,4.33,1.85,1.75
E0,06/10/2002,Liverpool,Chelsea,1,0,H,0,0,D,G Barber,12,8,8,0,10,13,3,1,0,2,0,0,1.727,3.25,4.333,1.75,3.3,4.4,1.75,3.2,4,1.73,3.2,4.33,1.83,3.25,3.75,1.727,3.25,4.5,1.83,3.2,3.75,1.7,1.9
E0,07/10/2002,Man United,Everton,3,0,H,0,0,D,M Riley,17,8,12,4,14,12,7,1,0,2,0,1,1.3,4.5,8,1.29,4.75,9.5,1.25,4.5,9,1.29,4.33,9,1.25,4.5,10,1.286,4.5,10,1.28,4.5,8,1.57,2.15
E0,19/10/2002,Blackburn,Newcastle,5,2,H,2,1,H,A Wiley,21,5,11,5,16,9,7,5,0,2,0,1,2.3,3.2,2.7,2.5,3.15,2.75,2.2,3,2.9,2.4,3.25,2.5,2.38,3.2,2.62,2.4,3.2,2.7,2.3,3.1,2.75,1.9,1.87
E0,19/10/2002,Everton,Arsenal,2,1,H,1,1,D,U Rennie,10,9,6,3,18,13,8,5,3,1,0,0,5.5,3.5,1.533,5.25,3.5,1.64,4.4,3.3,1.65,5,3.5,1.57,5.5,3.25,1.62,5.5,3.4,1.615,5.5,3.3,1.57,1.8,1.9
E0,19/10/2002,Fulham,Man United,1,1,D,1,0,H,M Dean,12,8,6,5,9,13,6,1,1,3,0,0,4.333,3.25,1.727,4,3.35,1.83,3.8,3.1,1.8,4,3.2,1.8,4,3.2,1.83,4,3.4,1.8,3.8,3.25,1.8,1.72,2.01
E0,19/10/2002,Leeds,Liverpool,0,1,A,0,0,D,S Dunn,12,13,5,6,13,13,9,9,1,2,0,0,2.75,3,2.375,2.91,3.17,2.42,2.6,3.1,2.3,2.6,3.2,2.38,2.62,3,2.5,2.75,3.2,2.375,2.87,3.1,2.2,1.75,1.98
