"Year","Position","Country","ELO Rating","FIFA  Rating","Continent","Host Country","Host Continent","Country Name"
2002,"G3","CMR",,672,"Africa","KOR/JPN","Asia","Cameroon"
2002,"G3","ARG",,784,"South America","KOR/JPN","Asia","Argentina"
2002,"G3","CRO",,655,"Europe","KOR/JPN","Asia","Croatia"
2002,"G3","RUS",,644,"Europe/Asia","KOR/JPN","Asia","Russia"
2002,"G4","FRA",,802,"Europe","KOR/JPN","Asia","France"
2002,"G4","SVN",,649,"Europe","KOR/JPN","Asia","Slovenia"
2002,"G4","CHI",,566,"South America","KOR/JPN","Asia","Chile"
2002,"G4","POL",,615,"Europe","KOR/JPN","Asia","Poland"
2002,"G4","KSA",,627,"Asia","KOR/JPN","Asia","Saudi Arabia"
2002,"G4","NGA",,644,"Africa","KOR/JPN","Asia","Nigeria"
2002,"G4","ECU",,624,"South America","KOR/JPN","Asia","Ecuador"
2002,"G4","TUN",,635,"Africa","KOR/JPN","Asia","Tunisia"
1998,1,"FRA",,56,"Europe","FRA","Europe","France"
1998,2,"BRA",,71,"South America","FRA","Europe","Brazil"
1998,3,"CRO",,55,"Europe","FRA","Europe","Croatia"
1998,4,"NED",,54,"Europe","FRA","Europe","Netherlands"
1998,"QF","DEN",,52,"Europe","FRA","Europe","Denmark"
1998,"QF","ARG",,60,"South America","FRA","Europe","Argentina"
1998,"QF","ITA",,56,"Europe","FRA","Europe","Italy"
1998,"QF","GER",,64,"Europe","FRA","Europe","Germany"
1998,"Round of 16","CHI",,58,"South America","FRA","Europe","Chile"
1998,"Round of 16","NGA",,36,"Africa","FRA","Europe","Nigeria"
1998,"Round of 16","YUG",,59,"Europe","FRA","Europe","Yugoslavia"
1998,"Round of 16","ENG",,60,"Europe","FRA","Europe","England"
1998,"Round of 16","NOR",,59,"Europe","FRA","Europe","Norway"
1998,"Round of 16","PAR",,52,"South America","FRA","Europe","Paraguay"
1998,"Round of 16","MEX",,61,"North America","FRA","Europe","Mexico"
1998,"Round of 16","ROU",,54,"Europe","FRA","Europe","Uruguay (pre-2002)"
1998,"G3","MAR",,57,"Africa","FRA","Europe","Morocco"
1998,"G3","AUT",,51,"Europe","FRA","Europe","Austria"
1998,"G3","RSA",,54,"Africa","FRA","Europe","South Africa"
1998,"G3","ESP",,56,"Europe","FRA","Europe","Spain"
1998,"G3","BEL",,50,"Europe","FRA","Europe","Belgium"
1998,"G3","IRN",,47,"Asia","FRA","Europe","Iran"
1998,"G3","COL",,58,"South America","FRA","Europe","Colombia"
1998,"G3","JAM",,52,"North America","FRA","Europe","Jamaica"
1998,"G4","SCO",,48,"Europe","FRA","Europe","Scotland"
1998,"G4","CMR",,45,"Africa","FRA","Europe","Cameroon"
1998,"G4","KSA",,50,"Europe","FRA","Europe","Saudi Arabia"
1998,"G4","BUL",,50,"Europe","FRA","Europe","Bulgaria"
1998,"G4","KOR",,55,"Asia","FRA","Europe","Korea Republic"
1998,"G4","USA",,58,"North America","FRA","Europe","USA"
1998,"G4","TUN",,55,"Africa","FRA","Europe","Tunisia"
1998,"G4","JPN",,57,"Asia","FRA","Europe","Japan"
1994,1,"BRA",,58,"South America","USA","North America","Brazil"
1994,2,"ITA",,49,"Europe","USA","North America","Italy"
1994,3,"SWE",,56,"Europe","USA","North America","Sweden"
1994,4,"BUL",,44,"Europe","USA","North America","Bulgaria"
1994,"QF","URU",,53,"South America","USA","North America","Uruguay"
1994,"QF","NED",,53,"Europe","USA","North America","Netherlands"
1994,"QF","GER",,58,"Europe","USA","North America","Germany"
1994,"QF","ESP",,54,"Europe","USA","North America","Spain"
1994,"Round of 16","ARG",,55,"South America","USA","North America","Argentina"
1994,"Round of 16","KSA",,39,"Asia","USA","North America","Saudi Arabia"
1994,"Round of 16","USA",,46,"North America","USA","North America","USA"
1994,"Round of 16","IRL",,51,"Europe","USA","North America","Republic of Ireland"
1994,"Round of 16","BEL",,40,"Europe","USA","North America","Belgium"
1994,"Round of 16","MEX",,50,"North America","USA","North America","Mexico"
1994,"Round of 16","NGA",,54,"Africa","USA","North America","Nigeria"
1994,"Round of 16","SUI",,54,"Europe","USA","North America","Switzerland"
1994,"G3","RUS",,48,"Europe/Asia","USA","North America","Russia"
1994,"G3","KOR",,37,"Asia","USA","North America","Korea Republic"
1994,"G4","COL",,49,"South America","USA","North America","Colombia"
1994,"G4","CMR",,45,"Africa","USA","North America","Cameroon"
1994,"G4","BOL",,35,"Europe","USA","North America","Bolivia"
1994,"G4","GRE",,41,"Europe","USA","North America","Greece"
1994,"G4","NOR",,56,"Europe","USA","North America","Norway"
1994,"G4","MAR",,43,"Africa","USA","North America","Morocco"
