Player,Club,POS,GP,GS,MINS,SHTS,SV,GA,GAA,PKG/A,W,L,T,ShO,W%,Sv%
Zac MacMath,COL,GK,3,3,270,12,6,5,1.67,0/0,1,2,0,1,33.3,50.0
Josh Ford,ORL,GK,2,1,96,6,5,1,1.0,1/1,0,1,0,0,0.0,83.3
Travis Worra,DC,GK,1,0,32,1,1,0,0.0,0/0,1,0,0,0,100.0,100.0
Alec Kann,ATL,GK,1,1,90,8,6,2,2.0,1/1,0,1,0,0,0.0,75.0
Ryan Meara,RBNY,GK,1,1,90,7,6,1,1.0,0/0,0,1,0,0,0.0,85.7
Andrew Weber,POR,GK,1,1,90,7,4,3,3.0,0/0,0,1,0,0,0.0,57.1
Kyle Reynish,NYR,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0
Kristian Nicht,MTL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0
Jake Gleeson,POR,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0
Brian Perk,LA,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0
Paolo Tornaghi,VAN,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0
Earl Edwards Jr.,ORL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0
Michael Lisch,HOU,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0
Santiago Castaño,NYR,GK,0,0,0,0,0,0,0,0/0,0,0,0,0,0.0,0.0
Brad Stuver,NYC,GK,0,0,0,0,0,0,0,0/0,0,0,0,0,0.0,0.0
Maxime Crepeau,MTL,GK,0,0,0,0,0,0,0,0/0,0,0,0,0,0.0,0.0
Eirik Johansen,NYC,GK,0,0,0,0,0,0,0,0/0,0,0,0,0,0.0,0.0
Bryan Meredith,SEA,GK,0,0,0,0,0,0,0,0/0,0,0,0,0,0.0,0.0
Matt Lampson,MIN,GK,0,0,0,0,0,0,0,0/0,0,0,0,0,0.0,0.0
Quillan Roberts,TOR,GK,0,0,0,0,0,0,0,0/0,0,0,0,0,0.0,0.0
Lalo Fernandez,RSL,GK,0,0,0,0,0,0,0,0/0,0,0,0,0,0.0,0.0
Akira Fitzgerald,NYC,GK,0,0,0,0,0,0,0,0/0,0,0,0,0,0.0,0.0
Charlie Lyon,LAFC,GK,0,0,0,0,0,0,0,0/0,0,0,0,0,0.0,0.0
Alex Bono,TOR,GK,0,0,0,0,0,0,0,0/0,0,0,0,0,0.0,0.0
Marco Carducci,VAN,GK,0,0,0,0,0,0,0,0/0,0,0,0,0,0.0,0.0
John Berner,COL,GK,0,0,0,0,0,0,0,0/0,0,0,0,0,0.0,0.0
Trevor Spangenberg,NE,GK,0,0,0,0,0,0,0,0/0,0,0,0,0,0.0,0.0
Andrew Wolverton,LA,GK,0,0,0,0,0,0,0,0/0,0,0,0,0,0.0,0.0
Tomas Gomez,SJ,GK,0,0,0,0,0,0,0,0/0,0,0,0,0,0.0,0.0
Stats Unavailable,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
