Player,Club,POS,GP,GS,MINS,GA,GAA,PKG/A,W,L,T,ShO,W%
Andrew Wolverton,LA,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Tomas Gomez,SJ,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Charlie Lyon,LAFC,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Kristian Nicht,MTL,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Kyle Reynish,NYR,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Jake Gleeson,POR,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Brian Perk,LA,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Paolo Tornaghi,VAN,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Andrew Weber,POR,GK,1,1,90,3,3.0,0/0,0,1,0,0,0.0
Travis Worra,DC,GK,1,0,32,0,0.0,0/0,1,0,0,0,100.0
Alec Kann,ATL,GK,1,1,90,2,2.0,1/1,0,1,0,0,0.0
Ryan Meara,RBNY,GK,1,1,90,1,1.0,0/0,0,1,0,0,0.0
Josh Ford,ORL,GK,2,1,96,1,1.0,1/1,0,1,0,0,0.0
Joe Willis,HOU,GK,3,3,270,5,1.67,0/0,1,1,1,0,33.3
Jon Kempin,CLB,GK,3,3,270,5,1.67,0/0,1,1,1,0,33.3
Eric Kronberg,MTL,GK,3,3,270,5,1.67,0/0,0,1,2,0,0.0
Troy Perkins,SEA,GK,4,3,316,3,1.0,0/0,1,3,0,0,25.0
Andrew Dykstra,COL,GK,9,9,778,16,1.78,0/1,3,4,1,0,33.3
Stats Unavailable,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
