Div,Date,HT,AT,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,,,,,,,
G1,18/01/03,Egaleo,Proodeftiki,1,0,H,0,0,D,2.1,3.1,3,2.1,2.7,3.1,2.2,3.1,2.875,,,,1.9,1.7,,,,,,,
G1,18/01/03,PAOK,Giannina,1,0,H,1,0,H,1.2,5,9.75,1.2,4.5,10,1.2,5,10,,,,1.65,2.1,,,,,,,
G1,19/01/03,Akratitos,Panathinaikos,1,3,A,1,3,A,7,4.5,1.3,7.5,3.8,1.3,9,4.6,1.25,,,,1.7,1.9,,,,,,,
G1,19/01/03,Iraklis,Aris,4,0,H,3,0,H,2.25,3,2.8,2.3,2.9,2.5,2.25,3,2.875,2.3,2.9,2.8,1.85,1.75,,,,,,,
G1,19/01/03,OFI,Kalithea,2,1,H,1,0,H,1.7,3.15,4.35,1.65,2.9,4.4,1.7,3.25,4.333,,,,1.8,1.8,,,,,,,
G1,19/01/03,Olympiakos,Xanthi,1,1,D,0,0,D,1.3,4.5,7,1.25,4,9,1.182,5.5,10,1.3,4.5,7,1.6,2.05,,,,,,,
G1,19/01/03,Panahaiki,Ionikos,0,0,D,0,0,D,2.25,3,2.8,2.3,3,2.4,2.25,3,2.875,,,,1.85,1.75,,,,,,,
G1,19/01/03,Panionios,AEK,1,1,D,0,1,A,3.2,3.1,2,3.1,3,1.9,3.25,3.25,1.95,3,3.3,2,1.85,1.75,,,,,,,
G1,25/01/03,OFI,Iraklis,3,1,H,1,1,D,2.2,3.05,3,2,2.9,3,2.2,3,3,2.1,3,3.05,1.85,1.75,,,,,,,
G1,25/01/03,Xanthi,Akratitos,1,2,A,1,2,A,1.35,4,8,1.4,3.5,5.6,1.3,4.2,8.5,,,,1.7,1.9,,,,,,,
G1,26/01/03,AEK,Egaleo,3,2,H,2,2,D,1.15,6,13,1.25,4,9,1.14,6,12,,,,,,,,,,,,
G1,26/01/03,Aris,Panahaiki,1,1,D,1,0,H,1.12,6.5,14,1.2,4.7,9,1.11,6.5,15,,,,,,,,,,,,
G1,26/01/03,Ionikos,Panionios,1,2,A,1,2,A,2.5,3.1,2.55,2.6,2.8,2.3,2.5,3.1,2.5,,,,1.95,1.67,,,,,,,
G1,26/01/03,Kalithea,Olympiakos,1,4,A,0,1,A,8,4,1.35,5.6,3.5,1.4,8,4,1.33,,,,1.7,1.9,,,,,,,
G1,26/01/03,Panathinaikos,PAOK,1,0,H,0,0,D,1.55,3.5,5.4,1.55,3.2,4.6,1.6,3.4,5,1.6,3.2,5,1.75,1.85,,,,,,,
G1,26/01/03,Giannina,Proodeftiki,2,1,H,1,1,D,2,3.1,3.4,2.1,2.8,3,2,3.1,3.3,,,,1.95,1.67,,,,,,,
G1,01/02/03,Akratitos,Kalithea,3,3,D,0,1,A,2.2,3.1,2.8,2.2,2.9,2.7,2.2,3.1,2.88,,,,1.9,1.7,,,,,,,
G1,01/02/03,Olympiakos,OFI,1,0,H,0,0,D,1.3,4.3,7.5,1.25,4.3,8,1.2,5,10,1.3,4.3,7.5,1.4,2.5,,,,,,,
G1,01/02/03,PAOK,Xanthi,1,0,H,1,0,H,1.55,3.5,4.9,1.55,3.2,4.6,1.4,3.75,7,1.55,3.5,4.8,1.65,1.95,,,,,,,
G1,02/02/03,Egaleo,Ionikos,0,0,D,0,0,D,1.65,3.25,4.5,1.65,3.1,4,1.75,3.25,4,,,,1.85,1.75,,,,,,,
G1,02/02/03,Iraklis,Panahaiki,1,1,D,0,0,D,1.2,4.95,10,1.2,4.7,9,1.2,5,10,,,,1.6,2.05,,,,,,,
G1,02/02/03,Panionios,Aris,1,0,H,1,0,H,2,3.2,3.1,2,3,2.9,2,3.2,3.2,2,3.2,3.1,1.85,1.75,,,,,,,
G1,02/02/03,Proodeftiki,Panathinaikos,0,2,A,0,0,D,5.3,3.55,1.5,5,3.2,1.5,6.5,3.6,1.44,,,,1.8,1.8,,,,,,,
G1,02/02/03,Giannina,AEK,0,2,A,0,0,D,4.15,3.25,1.7,3.6,3.1,1.75,4,3.3,1.75,,,,1.8,1.8,,,,,,,
G1,08/02/03,Ionikos,Giannina,2,0,H,1,0,H,1.85,3.2,3.65,2,2.9,3,2,3.2,3.2,,,,1.85,1.75,,,,,,,
G1,08/02/03,Xanthi,Proodeftiki,1,0,H,0,0,D,1.65,3.35,4.5,1.85,2.9,3.4,1.75,3.25,4,,,,1.9,1.7,,,,,,,
G1,09/02/03,Aris,Egaleo,2,1,H,1,0,H,1.6,3.45,4.65,1.7,3,3.9,1.6,3.4,4.8,,,,1.85,1.75,,,,,,,
G1,09/02/03,Kalithea,PAOK,1,2,A,1,2,A,3.75,3.25,1.8,3,2.9,2,4,3.3,1.75,,,,1.75,1.85,,,,,,,
G1,09/02/03,OFI,Akratitos,2,0,H,0,0,D,,,,1.4,3.5,5.6,1.533,3.6,5,,,,,,,,,,,,
G1,09/02/03,Olympiakos,Iraklis,2,1,H,1,0,H,1.2,5,10,1.3,3.8,7.5,1.286,4.333,8.5,1.3,4.3,7.5,1.6,2.05,,,,,,,
G1,09/02/03,Panahaiki,Panionios,0,2,A,0,1,A,3.15,3.15,2.02,3,2.9,2,3.4,3.25,1.909,,,,1.9,1.7,,,,,,,
G1,09/02/03,Panathinaikos,AEK,2,1,H,1,1,D,1.92,3.1,3.5,2,2.9,3,2.1,3,3.2,2.1,2.9,3.2,1.85,1.75,,,,,,,
G1,15/02/03,Egaleo,Panahaiki,4,0,H,2,0,H,1.55,3.4,5.3,1.5,3.1,5.2,1.533,3.4,5.5,,,,1.75,1.85,,,,,,,
G1,15/02/03,Giannina,Aris,0,1,A,0,0,D,2.4,3,2.65,2.7,2.9,2.2,2.5,3.1,2.5,,,,1.9,1.7,,,,,,,
G1,16/02/03,AEK,Xanthi,3,2,H,0,0,D,1.25,4.75,8.5,1.35,3.6,6.5,1.3,4.333,8,1.4,3.75,6.5,1.65,1.95,,,,,,,
G1,16/02/03,Akratitos,Olympiakos,2,5,A,1,1,D,8.5,4.75,1.25,8,3.6,1.3,8,4.5,1.286,,,,1.6,2,,,,,,,
G1,16/02/03,Iraklis,Panionios,3,1,H,1,1,D,1.95,3,3.6,2.3,2.9,2.5,2.1,3.1,3.1,2.15,3,3,1.85,1.75,,,,,,,
G1,16/02/03,Panathinaikos,Ionikos,1,0,H,0,0,D,1.1,7,13,1.1,6.5,13,1.111,6.5,15,,,,,,,,,,,,
G1,16/02/03,PAOK,OFI,2,0,H,1,0,H,1.33,4,8,1.45,3.2,5.5,1.333,4,8,1.4,3.75,6.5,1.7,1.9,,,,,,,
G1,16/02/03,Proodeftiki,Kalithea,1,1,D,0,0,D,1.85,3.15,3.7,1.9,2.9,3.2,1.85,3.25,3.6,,,,1.85,1.75,,,,,,,
G1,22/02/03,OFI,Proodeftiki,2,0,H,1,0,H,1.6,3.4,4.9,1.6,3,4.6,1.615,3.4,4.5,,,,1.8,1.8,,,,,,,
G1,22/02/03,Panionios,Egaleo,1,0,H,0,0,D,1.65,3.35,4.6,,,,,,,,,,1.7,1.9,,,,,,,
G1,23/02/03,Akratitos,Iraklis,0,2,A,0,2,A,2.7,3.25,2.25,2.7,2.9,2.2,2.625,3.1,2.3,,,,1.9,1.7,,,,,,,
G1,23/02/03,Aris,Panathinaikos,1,3,A,0,2,A,3.5,3.2,1.9,2.7,2.9,2.2,3.5,3.1,1.909,3.4,2.9,2,1.85,1.75,,,,,,,
G1,23/02/03,Kalithea,AEK,1,3,A,1,3,A,6,3.75,1.45,4.2,3,1.65,4.5,3.4,1.615,,,,1.75,1.85,,,,,,,
G1,23/02/03,Olympiakos,PAOK,4,3,H,2,1,H,1.5,3.65,5.5,1.6,3,4.6,1.533,3.3,5.5,1.5,3.45,5.5,1.55,2.15,,,,,,,
G1,23/02/03,Panahaiki,Giannina,0,2,A,0,2,A,2.25,3.25,2.7,2.2,2.9,2.7,2.25,3.1,2.75,,,,1.9,1.7,,,,,,,
G1,23/02/03,Xanthi,Ionikos,0,0,D,0,0,D,1.55,3.5,5.2,1.65,3,4.2,1.571,3.4,5,,,,1.85,1.75,,,,,,,
G1,01/03/03,Iraklis,Egaleo,2,1,H,2,1,H,1.45,3.65,6.65,1.45,3.3,5.5,1.444,3.6,6.5,,,,1.7,1.9,,,,,,,
G1,01/03/03,Xanthi,Aris,0,2,A,0,0,D,2.35,3.2,2.65,2.3,2.9,2.5,2.4,3.1,2.625,2.4,2.9,2.65,1.9,1.7,,,,,,,
G1,01/03/03,Giannina,Panionios,1,2,A,0,1,A,2.55,3.15,2.45,2.4,2.9,2.4,2.5,3.1,2.5,,,,1.9,1.7,,,,,,,
G1,02/03/03,AEK,OFI,3,1,H,0,0,D,1.3,4.45,8.1,1.25,4,9,1.222,5,9,1.25,4.25,9,1.65,1.95,,,,,,,
G1,02/03/03,Ionikos,Kalithea,1,1,D,1,1,D,2,3.25,3.25,1.9,3,3.1,2,3.2,3.2,,,,1.95,1.65,,,,,,,
