Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,BSH,BSD,BSA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA
G1,14/09/11,Panetolikos,Asteras Tripolis,1,0,H,0,0,D,2.1,3.1,3.4,2.15,2.95,3.6,2.1,3,3.6,2.1,3.1,3.3,2,3,3.4,2,3,3.75,2.2,2.9,3.8,2.1,3,3.6,2.15,2.88,3.75,2,3,3.6,26,2.2,2.08,3.2,2.99,3.9,3.57,17,2.67,2.54,1.5,1.46,6,-0.25,1.88,1.86,2.05,2.03
G1,17/09/11,Atromitos,Panathinaikos,1,1,D,0,0,D,4.5,3.1,1.91,4.4,3.2,1.85,4.25,3.2,1.85,4.4,3.5,1.7,4.33,3.25,1.73,4,3.25,1.85,4,3.1,1.95,4,3.2,1.91,4.33,3.12,1.91,4.2,3.2,1.8,38,4.54,4.13,3.4,3.16,1.98,1.88,22,2.62,2.38,1.55,1.51,19,0.5,1.94,1.89,2.02,1.94
G1,17/09/11,Kerkyra,Panetolikos,2,3,A,1,0,H,2.4,3,3.2,2.25,2.85,3.5,2.25,2.9,3.3,2.2,3,3.2,2.2,2.9,3.1,2.25,2.9,3.2,2.38,2.8,3.2,2.4,3,3.1,2.38,2.88,3.2,2.3,2.88,3.1,37,2.47,2.31,3.1,2.93,3.5,3.17,21,2.75,2.59,1.53,1.44,17,-0.25,2.07,2.02,1.87,1.83
G1,18/09/11,AEK,Ergotelis,1,0,H,1,0,H,1.62,3.75,5.5,1.6,3.4,6.25,1.55,3.5,6.5,1.4,3.9,7.5,1.44,3.75,6,1.45,3.75,7,1.57,3.5,6,1.5,3.6,7,1.57,3.5,6.5,1.44,3.8,6.5,36,1.65,1.57,3.8,3.52,7.02,5.92,20,2.25,2.18,1.7,1.61,16,-1,2.35,2.26,1.7,1.66
G1,18/09/11,Giannina,Asteras Tripolis,3,1,H,1,1,D,2,3.1,4.2,1.83,3.1,4.75,1.83,3.1,4.5,1.9,3.2,3.8,1.8,3.1,4,1.85,3.1,4.2,2,2.9,4,2,3,3.9,2,3,4,1.91,3.1,3.8,38,2.05,1.92,3.3,3.06,4.75,4.07,22,2.75,2.47,1.55,1.48,19,-0.5,2.05,1.99,1.9,1.85
G1,18/09/11,Olympiakos,Xanthi,2,1,H,0,1,A,1.17,6.5,17,1.11,7.25,26,1.15,6.5,15,1.1,7.3,15,1.12,6,15,1.15,6,15,1.18,6,13,1.15,6.5,15,1.17,6.5,15,1.12,7,12,37,1.2,1.15,7.25,6.53,26,15.22,22,1.75,1.65,2.2,2.11,16,-2,2.2,2.16,1.81,1.73
G1,18/09/11,Panionios,PAOK,1,2,A,1,1,D,3.2,3,2.4,3.2,2.95,2.35,3.2,2.9,2.3,3.15,3.05,2.2,3,2.9,2.25,3.1,2.9,2.3,3.2,2.8,2.38,3.25,2.9,2.3,3.12,3,2.3,2.88,2.88,2.4,38,3.37,3.09,3.2,2.95,2.45,2.33,22,2.75,2.54,1.53,1.46,17,0.25,1.88,1.83,2.08,2.03
G1,21/09/11,Xanthi,AEK,3,4,A,1,2,A,2.8,3.1,2.6,2.7,2.95,2.7,2.6,3,2.7,2.65,3.05,2.5,2.88,3,2.25,2.6,3,2.6,2.8,2.88,2.6,2.88,3.1,2.5,2.75,3,2.6,2.6,3,2.75,35,3,2.75,3.25,3,2.75,2.56,20,2.62,2.39,1.57,1.52,11,0,2.05,1.97,1.94,1.83
G1,24/09/11,Ergotelis,Olympiakos,2,3,A,0,2,A,7.5,3.6,1.53,6.35,3.7,1.55,7,4,1.44,7,3.7,1.45,7,3.75,1.4,7,3.7,1.45,6,3.6,1.62,7.5,3.9,1.44,7.5,3.8,1.57,5.5,3.6,1.53,40,7.5,6.51,4,3.65,1.62,1.51,35,2.2,2.02,1.85,1.75,19,1,1.84,1.78,2.15,2.08
G1,24/09/11,Kerkyra,Panionios,0,3,A,0,1,A,2.6,3.1,2.8,2.55,2.95,2.9,2.5,2.9,2.9,2.5,2.9,2.9,2.38,2.9,2.8,2.3,3,3,2.8,2.9,2.8,2.5,3,2.88,2.75,3,2.88,2.38,3,2.8,40,2.8,2.53,3.1,2.95,3,2.81,24,2.66,2.41,1.57,1.51,16,0,1.9,1.84,2.07,1.98
G1,25/09/11,Asteras Tripolis,Atromitos,0,0,D,0,0,D,2.88,3,2.6,2.9,2.95,2.55,2.9,2.9,2.5,2.6,3,2.6,2.8,3,2.3,2.8,3,2.45,2.75,3,2.75,3,3,2.4,3,3,2.75,2.6,2.88,2.6,38,3.05,2.84,3.2,2.95,2.75,2.51,24,2.82,2.53,1.5,1.47,15,0,2.14,2.03,1.91,1.8
G1,25/09/11,Panetolikos,Giannina,2,2,D,2,2,D,2.1,3.1,3.75,2.2,3.1,3.3,2.15,3,3.4,2,3.15,3.45,2.1,3,3.2,2.2,3.1,3.1,2.2,3.1,3.5,2.15,3,3.5,2.25,3.12,3.75,2.1,2.88,3.4,38,2.25,2.12,3.2,3.06,3.82,3.42,24,2.42,2.28,1.65,1.57,18,-0.25,1.88,1.84,2.07,2.01
G1,25/09/11,PAOK,AEK,3,0,H,3,0,H,1.91,3.3,4.2,1.95,3.2,3.9,1.9,3.2,4,1.9,3.2,3.8,1.91,3.25,3.4,1.8,3.25,4.2,2.05,3.1,4,1.87,3.2,4.2,2,3.25,4.2,1.91,3.1,3.75,37,2.05,1.93,3.3,3.19,4.45,3.89,24,2.45,2.27,1.6,1.57,20,-0.5,2.04,1.97,1.93,1.86
G1,25/09/11,Xanthi,OFI,3,1,H,1,0,H,1.91,3.25,4.33,1.95,3.1,4.1,2,3.1,3.75,2,3.15,3.45,2,3.2,3.2,1.9,3.2,3.8,1.95,3.1,4.4,1.91,3.2,4,2,3.25,4.4,1.83,3.1,4,38,2,1.93,3.3,3.13,4.8,3.97,24,2.66,2.45,1.55,1.5,20,-0.5,2.01,1.94,1.99,1.9
G1,01/10/11,Atromitos,Panetolikos,2,1,H,1,0,H,1.73,3.3,5.5,1.72,3.25,5.25,1.75,3.2,4.75,1.75,3.3,4.4,1.8,3.1,4,1.7,3.4,5.2,1.75,3.3,5.25,1.75,3.2,5,1.73,3.25,5.4,1.67,3.3,5,40,1.8,1.72,3.6,3.24,6.35,4.99,23,2.75,2.47,1.55,1.49,20,-0.5,1.77,1.73,2.2,2.13
G1,01/10/11,OFI,Ergotelis,1,0,H,1,0,H,2.75,3.1,2.63,2.7,2.95,2.7,2.5,3,2.8,2.5,3,2.7,2.5,2.9,2.6,2.6,3.1,2.75,2.7,3,2.7,2.38,3,3,2.6,2.88,2.88,2.5,2.88,2.8,40,2.79,2.59,3.2,2.98,3,2.72,22,2.62,2.37,1.57,1.53,15,0,1.98,1.91,1.99,1.91
G1,02/10/11,Aris,Xanthi,0,0,D,0,0,D,1.95,3.2,4.2,1.88,3.1,4.4,1.8,3.25,4.5,1.8,3.3,4.1,1.8,3.25,3.75,1.9,3.25,4.2,1.85,3.2,4.7,1.8,3.25,4.5,1.91,3,4.4,1.83,3.1,4.2,38,2.04,1.9,3.4,3.13,4.7,4.1,22,2.69,2.41,1.6,1.51,18,-0.5,2.05,1.99,1.89,1.85
G1,02/10/11,Giannina,Kerkyra,2,1,H,1,1,D,1.62,3.4,6.5,1.65,3.3,5.75,1.65,3.3,5.5,1.7,3.5,4.4,1.73,3.2,4.33,1.65,3.5,5.5,1.67,3.4,6,1.75,3.2,5,1.7,3.3,5.5,1.62,3.4,5,38,1.75,1.67,3.6,3.34,6.5,5.2,22,2.62,2.35,1.6,1.53,19,-0.5,1.7,1.67,2.31,2.23
G1,02/10/11,Olympiakos,PAOK,2,1,H,2,1,H,1.73,3.3,5.5,1.7,3.4,5,1.7,3.3,5,1.7,3.4,4.5,1.73,3.2,4.33,1.65,3.5,5.5,1.8,3.4,4.75,1.8,3.25,4.5,1.75,3.3,5,1.73,3.25,4.5,38,1.8,1.73,3.5,3.34,5.5,4.74,22,2.3,2.16,1.71,1.63,18,-0.75,2.08,2.03,1.87,1.83
G1,02/10/11,Panionios,AEK,0,1,A,0,0,D,3,3.2,2.4,2.8,3.1,2.5,2.75,3.1,2.5,2.8,3,2.4,2.7,3,2.38,2.9,3.2,2.4,3.1,3.1,2.4,2.88,3.1,2.4,3,3.1,2.38,2.7,2.9,2.5,38,3.2,2.87,3.2,3.05,2.5,2.42,23,2.42,2.18,1.7,1.62,15,0.25,1.84,1.79,2.11,2.06
G1,15/10/11,AEK,Olympiakos,1,1,D,1,1,D,3.5,3.25,2.1,3.7,3.25,2,3.2,3.1,2.2,3.25,3.15,2.1,3,3,2.2,3.4,3.2,2.15,3,3.2,2.3,3.1,3.2,2.25,3.3,3.1,2.2,2.88,3.1,2.3,40,3.7,3.3,3.4,3.14,2.3,2.14,22,2.2,2.05,1.73,1.69,20,0.25,2.03,1.98,1.91,1.86
G1,15/10/11,Kerkyra,Atromitos,2,2,D,1,1,D,2.9,3.1,2.5,3.1,3,2.35,2.8,3,2.5,2.8,3.2,2.3,2.8,2.88,2.38,2.9,3.1,2.5,3,3,2.55,2.88,3.1,2.4,2.88,3,2.5,2.88,2.88,2.4,40,3.1,2.87,3.2,3.01,2.55,2.44,22,2.42,2.3,1.61,1.55,20,0.25,1.81,1.76,2.16,2.1
G1,16/10/11,Ergotelis,Aris,1,1,D,0,1,A,2.6,3,2.88,2.6,2.95,2.8,2.6,2.9,2.8,2.5,3.1,2.7,2.5,2.9,2.6,2.6,3.1,2.75,2.7,3.1,2.7,2.5,3,2.88,2.6,3,2.75,2.5,2.88,2.75,40,2.7,2.53,3.2,2.98,3,2.77,23,2.88,2.53,1.55,1.47,18,0,1.89,1.83,2.06,1.99
G1,16/10/11,Giannina,Panionios,0,0,D,0,0,D,2.4,3.2,3,2.45,2.95,3,2.4,3,2.9,2.4,3.1,2.8,2.38,2.88,2.8,2.3,3.2,3.1,2.5,3.2,2.85,2.5,3.1,2.75,2.4,3.1,3,2.3,3,2.9,40,2.5,2.37,3.3,3.05,3.1,2.93,27,2.34,2.17,1.67,1.64,18,0,1.77,1.72,2.24,2.13
G1,16/10/11,PAOK,OFI,0,0,D,0,0,D,1.44,4,8,1.45,3.8,7.75,1.45,3.75,7.5,1.5,3.8,5.7,1.44,3.4,7,1.4,4.3,8,1.45,4,8,1.5,3.6,7,1.44,4,7,1.44,3.8,6.5,40,1.5,1.45,4.3,3.81,8,7.12,23,2.21,2.1,1.74,1.67,20,-1,1.94,1.85,2.05,2
G1,16/10/11,Xanthi,Panathinaikos,2,3,A,0,2,A,4.2,3.3,1.91,4.25,3.2,1.88,4.2,3.25,1.85,3.9,3.3,1.85,4,3.1,1.8,4,3.3,1.95,4,3.2,2,4.33,3.25,1.87,4,3.12,1.91,3.8,3.1,1.91,40,4.33,4.03,3.4,3.2,2.05,1.88,33,2.25,2.14,1.73,1.67,16,0.75,1.74,1.69,2.28,2.19
G1,22/10/11,Asteras Tripolis,Xanthi,1,1,D,1,1,D,3,3,2.5,2.9,2.95,2.55,2.5,3,2.8,2.5,3,2.7,2.4,2.88,2.75,2.9,2.9,2.6,2.75,3.1,2.65,2.5,3,2.88,2.88,3,2.75,2.6,2.88,2.62,40,3.2,2.74,3.1,2.93,2.9,2.61,20,2.63,2.46,1.53,1.49,18,0,2.15,2.03,1.88,1.8
G1,22/10/11,Atromitos,Giannina,1,0,H,1,0,H,1.8,3.25,5,1.88,3.1,4.4,1.8,3.2,4.5,1.8,3.2,4.3,1.8,3.1,4,1.727,3.4,5,1.75,3.4,5,1.8,3.25,4.75,1.85,3.3,5,1.75,3.1,4.5,40,1.9,1.82,3.4,3.17,5,4.42,22,2.44,2.28,1.65,1.56,21,-0.5,1.9,1.86,2.05,1.98
G1,22/10/11,Panathinaikos,Ergotelis,4,0,H,3,0,H,1.36,4.5,9,1.34,4.5,9,1.3,4.5,10,1.3,4.8,8.5,1.25,4.5,10,1.285,5,11,1.28,5,12,1.27,5,12,1.33,5,12,1.25,5,9,40,1.36,1.31,5,4.44,12,9.88,33,2.03,1.92,1.95,1.84,20,-1.5,2.17,2.11,1.84,1.76
G1,23/10/11,Aris,PAOK,1,1,D,1,0,H,2.55,3,2.9,2.7,3,2.9,2.6,3,2.7,2.6,3,2.6,2.38,2.8,2.88,2.4,3,3.1,2.75,3.1,2.65,2.5,3,2.9,2.62,3.1,2.88,2.6,2.88,2.6,40,2.75,2.53,3.1,2.93,3.1,2.83,22,2.75,2.52,1.53,1.47,18,0,1.92,1.79,2.13,2.04
G1,23/10/11,OFI,AEK,3,1,H,1,0,H,3.75,3.1,2.1,3.6,3.1,2.1,3.4,3.1,2.1,3.3,3.1,2.1,3.4,3,2,3.5,3.2,2.1,4,3.1,2.05,3.5,3.2,2.1,3.8,3.1,2.2,3.3,3,2.1,40,4,3.48,3.2,3.06,2.25,2.09,22,2.42,2.22,1.65,1.6,20,0.25,2.08,1.99,1.92,1.86
G1,23/10/11,Panionios,Olympiakos,0,3,A,0,2,A,6.25,3.6,1.6,6,3.7,1.55,6.5,3.75,1.5,7,3.7,1.45,6,3.4,1.5,7.5,4,1.45,8,4,1.45,7,4,1.47,7.5,3.8,1.57,5.5,3.4,1.57,38,8,6.26,4,3.56,1.6,1.54,34,2.17,2.04,1.81,1.74,20,1,1.82,1.77,2.13,2.08
G1,29/10/11,Atromitos,Panionios,2,1,H,0,0,D,1.91,3.2,4.33,2.05,3,3.8,2,3.1,3.75,1.9,3.3,3.7,2,3,3.4,1.9,3.2,4.3,1.91,3.2,4.5,2.1,3.1,3.6,2,3.2,4.33,2,3,3.6,41,2.1,1.95,3.4,3.12,4.5,3.87,22,2.59,2.38,1.56,1.53,20,-0.25,1.74,1.67,2.31,2.23
G1,29/10/11,Olympiakos,OFI,2,2,D,1,0,H,1.17,7,15,1.18,6,15.5,1.2,5.5,13,1.2,5.5,12,1.17,5.5,13,1.15,6.5,21,1.18,6.5,15,1.17,6.5,15,1.18,6.5,21,1.17,6,11,41,1.22,1.18,7,5.92,21,15.03,24,1.75,1.65,2.29,2.13,20,-2,2.25,2.19,1.74,1.7
G1,29/10/11,Panetolikos,Xanthi,2,0,H,1,0,H,2.5,3,3,2.3,2.95,3.25,2.3,3,3.1,2.3,3,3,2.2,3,3,2.5,3.1,2.9,2.4,3,3.2,2.25,3.1,3.25,2.5,3,3.12,2.2,3,3.1,41,2.7,2.4,3.1,2.98,3.25,2.98,21,2.7,2.4,1.55,1.52,20,-0.25,2.23,2.16,1.79,1.72
G1,30/10/11,AEK,Aris,3,0,H,2,0,H,1.8,3.25,5,1.78,3.3,4.6,1.8,3.2,4.5,1.75,3.3,4.4,1.73,3.2,4.5,1.95,3.25,4,1.85,3.2,4.8,1.87,3.1,4.5,1.91,3.12,4.75,1.83,3.1,4.2,41,1.95,1.81,3.45,3.18,5,4.44,22,2.39,2.24,1.65,1.59,21,-0.5,1.89,1.83,2.1,2.02
G1,30/10/11,Ergotelis,Asteras Tripolis,2,0,H,2,0,H,1.91,3.2,4.33,1.95,3.1,4.1,2,3.1,3.75,2,3.2,3.4,2,3,3.4,2.05,3.1,3.8,2,3.1,4.2,1.95,3.2,4,2.05,3.2,4.33,2,3,3.6,41,2.05,1.98,3.2,3.08,4.33,3.82,21,2.7,2.4,1.57,1.52,20,-0.25,1.74,1.7,2.26,2.18
G1,30/10/11,PAOK,Panathinaikos,1,3,A,0,1,A,2.8,3.1,2.6,2.8,3.1,2.7,2.8,3,2.5,2.5,3.05,2.7,2.8,2.88,2.38,2.7,3,2.7,2.7,3.1,2.7,2.88,3.2,2.4,2.88,3.1,2.62,2.62,2.88,2.6,41,3,2.76,3.2,3,2.8,2.54,21,2.5,2.27,1.6,1.57,18,0,2.12,2.03,1.85,1.8
G1,05/11/11,Aris,Olympiakos,2,3,A,0,2,A,4.75,3.25,1.83,4.75,3.3,1.75,4.2,3.1,1.9,3.9,3.3,1.85,3.5,3.2,1.91,4.2,3.25,1.9,5,3.4,1.75,4.2,3.2,1.91,5,3.3,1.85,4,3,1.91,45,5.21,4.32,3.4,3.22,1.91,1.83,22,2.38,2.24,1.65,1.59,23,0.5,2.06,1.98,1.94,1.86
G1,05/11/11,Panionios,OFI,1,3,A,0,2,A,2.1,3.2,3.6,1.95,3.1,4.1,1.95,3.1,4,2.1,3,3.4,2.1,3,3.2,2.1,3.2,3.5,2.25,2.9,3.75,2.05,3.2,3.6,2.2,3.12,3.75,2.1,2.88,3.5,45,2.25,2.09,3.2,3.07,4.1,3.54,23,2.73,2.46,1.55,1.5,21,-0.25,1.9,1.85,2.05,2
G1,06/11/11,Asteras Tripolis,PAOK,1,0,H,1,0,H,4.2,3.2,1.95,4.4,3.1,1.88,4.2,3.1,1.9,3.9,3.3,1.85,3.5,3.2,1.91,4.2,3.1,1.95,4.7,3.2,1.85,4,3.2,1.95,4.6,3.2,1.95,4,3,1.91,44,4.7,4.03,3.3,3.12,2,1.92,21,2.75,2.41,1.57,1.52,23,0.5,1.94,1.88,2.01,1.96
G1,06/11/11,Ergotelis,Panetolikos,0,0,D,0,0,D,2.15,3.1,3.6,2.15,3,3.5,2.15,3,3.5,2,3.15,3.45,2.1,3,3.2,2.15,3.2,3.4,2.2,3,3.6,2.1,3.1,3.6,2.2,3.2,3.75,2.1,2.88,3.5,44,2.2,2.1,3.2,3.05,4.13,3.5,22,2.73,2.44,1.55,1.5,22,-0.25,1.83,1.79,2.12,2.07
G1,06/11/11,Panathinaikos,AEK,3,2,H,2,0,H,1.67,3.5,5.5,1.75,3.5,5.25,1.7,3.3,5,1.75,3.3,4.4,1.67,3.25,4.5,1.7,3.5,5,1.65,3.4,6.1,1.75,3.3,5,1.73,3.5,6,1.67,3.3,5,44,1.78,1.68,3.68,3.4,6.1,5.02,21,2.38,2.19,1.7,1.61,22,-0.75,2,1.91,2.01,1.94
G1,06/11/11,Xanthi,Kerkyra,1,0,H,0,0,D,1.8,3.2,5,1.83,3.1,4.75,1.8,3.1,4.75,1.8,3.3,4.1,1.8,3.25,3.75,1.7,3.4,5.2,1.75,3.2,5.5,1.8,3.2,4.75,1.83,3.4,5,1.75,3.1,4.75,44,1.85,1.78,3.4,3.21,5.64,4.62,22,2.63,2.36,1.6,1.53,23,-0.5,1.83,1.79,2.14,2.06
G1,19/11/11,AEK,Asteras Tripolis,2,0,H,1,0,H,1.5,4,7,1.45,4,7.25,1.4,4,8,1.35,4.3,7.5,1.36,3.75,8,1.45,4,7.5,1.45,3.8,9,1.4,4.2,8.5,1.44,4,9,1.4,4,7,43,1.5,1.44,4.3,3.87,9,7.25,36,2,1.91,1.92,1.86,21,-1.25,2.25,2.19,1.74,1.7
G1,19/11/11,Kerkyra,Ergotelis,2,1,H,1,1,D,2.63,3.1,2.75,2.6,3,2.75,2.5,3.1,2.75,2.4,3.1,2.8,2.5,2.9,2.62,2.6,3.1,2.75,2.65,3.1,2.75,2.5,3.2,2.75,2.62,3.12,2.88,2.5,2.88,2.75,43,2.65,2.54,3.2,3.04,2.9,2.72,24,2.5,2.31,1.58,1.55,20,0,1.91,1.86,2.02,1.96
G1,19/11/11,Olympiakos,Panathinaikos,1,1,D,0,1,A,1.95,3.75,3.5,2,3.25,3.7,1.95,3.2,3.75,2.1,3.1,3.3,2,3,3.4,1.95,3.4,3.75,2.05,3.1,3.9,1.91,3.3,4,2,3.6,3.8,1.91,3.25,3.6,42,2.1,1.97,3.75,3.27,4,3.63,23,2.2,2.1,1.73,1.66,23,-0.5,2.05,1.99,1.9,1.85
G1,20/11/11,Atromitos,Levadeiakos,1,1,D,1,0,H,1.44,4.2,7.5,1.4,4.1,8.25,1.45,4,7,1.45,3.9,6.5,1.44,3.5,7,1.45,4,7.5,1.42,4,8.5,1.44,4,7.5,1.44,4.2,8.5,1.44,3.8,6.5,37,1.47,1.43,4.5,3.9,8.75,7.19,31,2.1,1.97,1.86,1.79,17,-1.25,2.2,2.12,1.81,1.74
G1,20/11/11,Doxa Dramas,Panionios,0,0,D,0,0,D,3.75,3.25,2.05,3.8,3,2.05,3.75,3.25,1.95,3.3,3.1,2.1,3.4,3,2,3.6,3.25,2.05,4,3,2.05,3.6,3.2,2.05,3.8,3.2,2.15,3.6,3,2,37,4,3.55,3.3,3.08,2.19,2.05,23,2.42,2.3,1.61,1.56,17,0.5,1.78,1.72,2.21,2.14
G1,20/11/11,Giannina,Xanthi,0,2,A,0,1,A,2.05,3.1,4,1.95,3.2,3.9,2.1,3.1,3.5,2,3.15,3.45,2,3,3.4,2.2,3.2,3.25,2.2,3.2,3.3,2.05,3.1,3.75,2.15,3.12,4,,,,42,2.2,2.08,3.3,3.09,4,3.52,25,2.73,2.47,1.57,1.49,23,-0.5,2.19,2.12,1.78,1.74
G1,20/11/11,OFI,Aris,0,1,A,0,1,A,2.3,3.1,3.3,2.2,3.1,3.3,2.25,3.1,3.1,2.2,3.1,3.1,2.2,3,3,2.5,3.2,2.8,2.3,3.1,3.3,2.3,3.2,3.1,2.38,3.2,3.3,,,,38,2.5,2.26,3.2,3.03,3.6,3.11,25,2.66,2.43,1.57,1.5,22,-0.25,1.98,1.94,1.95,1.91
G1,20/11/11,PAOK,Panetolikos,3,0,H,1,0,H,1.53,3.75,7,1.5,3.75,6.75,1.5,3.6,7,1.45,3.9,6.5,1.5,3.4,6,1.5,3.8,7,1.5,3.7,8,1.44,3.9,8,1.53,3.8,8,,,,42,1.55,1.49,3.9,3.65,8,6.89,35,2.23,2.07,1.8,1.71,23,-1,1.98,1.94,1.94,1.9
G1,23/11/11,AEK,Levadeiakos,2,1,H,1,0,H,1.33,4.5,10,1.33,4.5,9.5,1.33,4.5,8.5,1.3,4.8,8.5,1.29,4.5,8,1.3,5,9.5,1.33,4.75,8.5,1.33,4.5,9.5,1.33,4.6,9.5,1.3,4.5,8.5,41,1.35,1.31,5,4.57,11,8.98,30,1.89,1.78,2.07,1.99,20,-1.5,2.11,2.04,1.87,1.81
G1,26/11/11,Ergotelis,Giannina,2,1,H,1,0,H,1.83,3.3,4.5,1.95,3.1,4.1,1.85,3.2,4.25,1.85,3.2,4.1,1.83,3,4,1.95,3.25,4,1.85,3.3,4.5,1.91,3.2,4.2,2,3.25,4.4,2,3,3.6,38,2.03,1.93,3.3,3.12,4.5,4.02,21,2.56,2.42,1.56,1.51,19,-0.5,2.05,1.99,1.9,1.85
G1,26/11/11,Panetolikos,AEK,0,2,A,0,1,A,3.4,3.2,2.2,3.1,3,2.35,3.25,3.1,2.2,3.2,3,2.2,3.2,3,2.1,2.9,3.2,2.4,3.1,3.1,2.35,3.25,3.1,2.1,3.3,3.12,2.4,3.1,3,2.2,39,3.6,3.03,3.21,3.06,2.5,2.31,22,2.35,2.2,1.66,1.61,18,0.25,1.88,1.8,2.13,2.07
