Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Attendance,Referee,HS,AS,HST,AST,HHW,AHW,HC,AC,HF,AF,HO,AO,HY,AY,HR,AR,HBP,ABP,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA
D2,09/09/01,Aachen,Babelsberg,2,2,D,0,2,A,8000,Florian Meyer,18,8,8,5,0,0,11,2,9,9,4,3,3,4,1,1,55,65,,,,2,2.9,3,,,,2,3.1,3.3,2.1,3.1,2.95
D2,09/09/01,Bielefeld,Saarbrucken,3,1,H,2,0,H,10109,Stephan Kammerer,12,13,7,5,0,0,3,11,15,23,1,1,1,3,0,0,10,30,,,,1.7,3.1,3.8,,,,,,,1.75,3.25,3.85
D2,09/09/01,Bochum,Oberhausen,3,3,D,2,2,D,13094,Christian Schößling,11,12,8,6,0,0,4,4,14,14,0,0,2,3,0,0,20,30,,,,1.6,3.2,4.2,,,,1.5,3.4,6,1.5,3.45,5.5
D2,10/09/01,Karlsruhe,Ein Frankfurt,2,3,A,1,2,A,18000,Helmut Fleischer,14,9,9,6,0,0,10,0,17,24,0,0,4,1,0,0,40,10,,,,2.4,2.9,2.4,,,,,,,,,
D2,14/09/01,Ahlen,Bochum,2,5,A,2,1,H,8465,Matthias Anklam,12,15,5,9,0,1,6,5,10,8,2,1,1,2,0,1,10,45,,,,2,2.9,3,,,,,,,2.3,3.1,2.65
D2,14/09/01,Oberhausen,Mainz,1,3,A,0,2,A,3346,Stefan Trautmann,13,7,2,4,1,1,7,1,13,11,7,1,2,4,0,0,20,40,,,,2.1,2.9,2.9,,,,,,,2.15,3.15,2.8
D2,14/09/01,Saarbrucken,Duisburg,1,0,H,0,0,D,6000,Detlef Scheppe,12,12,4,6,0,1,6,2,14,18,4,4,2,3,0,0,20,30,,,,1.9,2.9,3.2,,,,,,,2,3.2,3.1
D2,15/09/01,Babelsberg,Unterhaching,1,4,A,0,2,A,4461,Thomas Frank,9,13,4,7,0,1,3,4,14,8,5,0,0,1,1,1,25,35,,,,2,2.9,3,,,,,,,1.9,3.3,3.25
D2,15/09/01,Reutlingen,Aachen,3,1,H,3,0,H,5000,Günter Perl,16,10,8,3,0,0,3,2,11,9,1,2,1,1,0,0,10,10,,,,1.8,3,3.5,,,,2,3,3.4,2,3.25,3
D2,16/09/01,Hannover,Karlsruhe,5,0,H,3,0,H,13643,Edgar Steinborn,16,7,13,2,0,0,9,7,9,10,2,1,1,2,0,0,10,20,,,,1.75,3.1,3.6,,,,1.8,3.25,3.75,1.7,3.35,4
D2,16/09/01,Mannheim,Union Berlin,1,1,D,0,0,D,7500,Hermann Albrecht,10,11,3,4,0,0,3,5,14,13,4,5,1,3,0,0,10,30,,,,1.8,3,3.5,,,,,,,1.85,3.3,3.4
D2,16/09/01,Schweinfurt,Greuther Furth,0,0,D,0,0,D,8319,Jürgen Jansen,10,14,5,5,0,2,7,6,12,8,3,2,2,2,0,0,20,20,,,,2.4,2.9,2.4,,,,2.3,3.1,2.75,2.3,3.15,2.6
D2,17/09/01,Ein Frankfurt,Bielefeld,0,2,A,0,0,D,10000,Felix Brych,8,9,3,5,0,0,4,5,23,13,4,2,1,1,0,0,10,10,,,,1.65,3.1,4,,,,,,,1.55,3.5,4.8
D2,21/09/01,Hannover,Oberhausen,2,0,H,1,0,H,13923,Mike Pickel,14,8,5,2,1,2,12,8,11,20,1,2,1,3,0,0,10,30,,,,1.55,3.3,4.5,,,,,,,1.5,3.5,5.4
D2,21/09/01,Karlsruhe,Bielefeld,0,1,A,0,0,D,9200,Peter Sippel,1,4,1,4,0,0,5,9,17,15,2,2,3,4,0,0,30,40,,,,2.2,2.9,2.7,,,,,,,2.35,3.1,2.55
D2,21/09/01,Unterhaching,Reutlingen,3,2,H,0,1,A,6500,Alfons Berg,12,8,8,3,1,0,7,9,13,15,1,0,0,2,0,1,0,45,,,,1.75,3.1,3.6,,,,,,,1.65,3.3,4.4
D2,22/09/01,Bochum,Babelsberg,4,1,H,2,0,H,10773,Babak Rafati,13,6,9,4,1,0,10,5,5,2,1,2,0,2,0,0,0,20,,,,1.55,3.3,4.5,,,,,,,1.5,3.45,5.5
D2,22/09/01,Mainz,Ahlen,5,1,H,3,1,H,6258,Uwe Kemmling,16,6,11,3,1,0,4,1,12,17,3,1,1,1,0,1,10,35,,,,1.9,2.9,3.2,,,,,,,1.85,3.25,3.45
D2,23/09/01,Aachen,Mannheim,1,0,H,1,0,H,10000,Hellmut Krug,13,4,5,2,0,0,8,1,23,25,3,1,3,4,0,3,30,115,,,,2.2,2.9,2.7,,,,,,,2.25,3.1,2.7
D2,23/09/01,Greuther Furth,Saarbrucken,3,1,H,0,1,A,5250,Volker Wezel,15,9,9,3,0,0,5,5,15,24,0,0,0,5,0,1,0,75,,,,1.7,3.1,3.8,,,,,,,1.6,3.3,4.8
D2,23/09/01,Union Berlin,Schweinfurt,3,0,H,2,0,H,8199,Peter Lange,10,4,4,3,0,0,5,6,7,17,0,3,2,3,0,0,20,30,,,,1.5,3.4,4.7,,,,,,,1.55,3.4,5
D2,24/09/01,Duisburg,Ein Frankfurt,1,1,D,0,1,A,5000,Michael Weiner,22,8,7,5,0,0,7,5,20,24,4,12,2,3,0,1,20,55,,,,2.7,2.9,2.2,,,,,,,2.85,3.1,2.15
D2,28/09/01,Bielefeld,Duisburg,2,2,D,1,2,A,11000,Lutz Wagner,12,8,6,5,0,1,4,8,20,13,3,1,0,2,0,0,0,20,,,,1.55,3.3,4.5,,,,,,,1.5,3.6,5.2
D2,28/09/01,Oberhausen,Karlsruhe,1,2,A,1,1,D,3000,Manuel Gräfe ,17,7,9,5,1,0,5,1,9,11,3,2,2,2,0,0,20,20,,,,2.1,2.9,2.9,,,,,,,2.15,3.15,2.8
D2,28/09/01,Reutlingen,Bochum,3,0,H,1,0,H,7000,Stefan Weber,16,13,6,7,0,1,7,3,14,9,3,2,1,3,0,1,10,55,,,,2.4,2.9,2.4,,,,,,,2.85,3.1,2.15
D2,29/09/01,Mannheim,Unterhaching,0,1,A,0,1,A,4600,Christian Schüssling ,8,5,3,2,0,0,1,3,10,6,3,0,1,0,0,0,10,0,,,,2,2.9,3,,,,,,,2.1,3.15,2.9
D2,29/09/01,Schweinfurt,Aachen,1,0,H,0,0,D,5000,Stephan Kammerer,10,8,5,2,0,1,1,5,12,18,1,0,1,2,0,0,10,20,,,,2,2.9,3,,,,,,,1.9,3.2,3.35
D2,30/09/01,Babelsberg,Mainz,0,1,A,0,0,D,3900,Hartmut Strampe,18,12,8,6,0,0,5,2,21,17,3,3,2,4,0,1,20,65,,,,2.3,2.9,2.5,,,,2.38,3,2.7,2.4,3.15,2.45
D2,30/09/01,Ein Frankfurt,Greuther Furth,1,4,A,0,1,A,13500,Markus Schmidt,13,8,6,5,1,0,8,3,17,15,2,1,3,2,1,0,55,20,,,,1.7,3.1,3.8,,,,1.62,3.5,4.5,1.6,3.35,4.7
D2,30/09/01,Saarbrucken,Union Berlin,2,3,A,0,1,A,4500,Ralf Späker ,11,9,4,5,0,2,10,4,14,10,3,1,1,3,1,0,35,30,,,,2.3,2.9,2.5,,,,2.5,3.1,2.5,2.45,3.1,2.45
D2,01/10/01,Ahlen,Hannover,2,5,A,1,2,A,6000,Torsten Koop,8,21,5,9,0,0,6,7,13,17,5,4,2,1,0,0,20,10,,,,2.2,2.9,2.7,,,,2.3,3,2.8,2.25,3.15,2.65
D2,12/10/01,Aachen,Saarbrucken,0,0,D,0,0,D,15200,Jörg Kessler,6,2,3,1,0,0,3,4,17,19,2,4,2,3,0,1,20,55,,,,1.9,3.1,3.5,,,,1.8,3.1,4,1.75,3.25,3.85
D2,12/10/01,Karlsruhe,Duisburg,2,0,H,1,0,H,11000,Günter Perl,7,5,2,4,0,0,5,3,18,11,1,1,1,5,0,1,10,75,,,,1.9,3.1,3.5,,,,1.8,3.25,3.75,1.8,3.25,3.65
D2,12/10/01,Unterhaching,Schweinfurt,1,0,H,0,0,D,5800,Matthias Anklam,14,7,3,3,1,0,11,3,17,19,0,3,4,4,0,0,40,40,,,,1.6,3.4,4.6,,,,1.62,3.5,4.5,1.55,3.5,4.8
D2,13/10/01,Oberhausen,Ahlen,2,3,A,1,1,D,2000,Thomas Frank,14,14,8,10,1,0,3,6,18,16,1,1,1,5,0,0,10,50,,,,2.4,3,2.6,,,,2.5,3.1,2.5,2.35,3.2,2.5
D2,13/10/01,Union Berlin,Ein Frankfurt,0,4,A,0,1,A,14000,Detlef Scheppe,8,10,5,4,0,0,10,0,13,11,2,1,0,1,0,0,0,10,,,,2.1,3,3.1,,,,2.1,3.1,3.1,1.95,3.25,3.15
D2,14/10/01,Greuther Furth,Bielefeld,0,1,A,0,1,A,8521,Knut Kircher,12,6,4,3,1,0,15,4,8,8,0,0,2,2,0,0,20,20,,,,2.1,3,3.1,,,,2,3.1,3.3,1.9,3.25,3.3
D2,14/10/01,Hannover,Babelsberg,6,1,H,3,0,H,28200,Markus Merk,18,7,11,4,2,2,5,1,9,8,3,3,0,2,0,0,0,20,,,,1.4,3.9,6,,,,1.5,3.6,5.5,1.45,3.65,5.75
D2,14/10/01,Mainz,Reutlingen,2,1,H,1,1,D,8088,Dirk Margenberg,7,1,3,1,0,0,4,1,15,13,1,6,3,1,0,0,30,10,,,,1.65,3.3,4.4,,,,1.62,3.25,5,1.55,3.5,4.8
D2,15/10/01,Bochum,Mannheim,1,1,D,1,1,D,10000,Peter Gagelmann,13,9,8,4,0,1,6,5,19,19,3,3,1,1,0,0,10,10,,,,1.65,3.3,4.4,,,,1.62,3.25,5,1.55,3.5,4.8
D2,19/10/01,Ahlen,Karlsruhe,4,1,H,1,0,H,6352,Mike Pickel,17,8,11,3,0,0,5,3,15,12,0,3,5,3,0,1,50,55,1.9,3.1,3.6,1.85,3.2,3.5,,,,,,,1.8,3.35,3.55
D2,19/10/01,Mannheim,Mainz,2,4,A,2,2,D,7000,Babak Rafati,9,12,6,6,0,1,7,5,13,11,7,6,1,1,0,0,10,10,2.3,3.1,2.65,2.2,2.9,3,,,,,,,2.35,3.15,2.55
D2,19/10/01,Schweinfurt,Bochum,3,3,D,2,0,H,8125,Kai Voss,13,15,4,8,0,0,3,8,20,22,0,0,2,2,0,0,20,20,2.5,3.05,2.5,2.5,3,2.5,,,,,,,2.55,3.15,2.35
D2,20/10/01,Babelsberg,Oberhausen,0,2,A,0,2,A,3500,Peter Lange,9,8,5,4,0,0,4,5,11,17,2,3,4,3,0,0,40,30,1.71,3.3,4.2,1.9,3.1,3.5,,,,,,,1.8,3.3,3.6
D2,20/10/01,Reutlingen,Hannover,2,2,D,2,2,D,6000,Thorsten Kinhöfer,15,17,8,11,0,1,3,3,21,12,2,2,0,1,0,0,0,10,2.7,3,2.35,3,2.9,2.2,,,,,,,2.75,3.15,2.2
D2,21/10/01,Duisburg,Greuther Furth,1,1,D,0,1,A,5211,Manuel Gräfe,16,5,9,1,1,1,10,3,18,14,2,1,3,2,0,0,30,20,2.5,3,2.55,2.4,2.9,2.7,,,,,,,2.6,3.15,2.3
D2,21/10/01,Ein Frankfurt,Aachen,2,2,D,0,1,A,16000,Ralf Späker,12,11,4,6,0,0,8,6,6,15,5,3,2,2,0,0,20,20,1.44,3.65,6.2,1.45,3.8,5.4,,,,,,,1.45,3.6,5.8
D2,21/10/01,Saarbrucken,Unterhaching,0,0,D,0,0,D,5500,André Stachowiak,15,9,5,6,0,1,5,9,9,9,6,3,2,1,0,0,20,10,2.7,3,2.35,2.4,2.9,2.7,,,,,,,2.65,3.25,2.2
D2,22/10/01,Bielefeld,Union Berlin,4,1,H,1,0,H,8500,Uwe Kemmling,17,4,7,2,1,0,5,4,17,25,4,2,2,3,0,0,20,30,1.95,3.2,3.4,1.7,3.2,4.2,,,,1.91,3.2,3.5,1.85,3.3,3.4
D2,26/10/01,Aachen,Bielefeld,3,2,H,2,1,H,16800,Michael Weiner,14,16,5,7,0,0,2,3,19,16,5,3,4,2,0,0,40,20,2.7,3.1,2.3,2.8,2.9,2.3,,,,2.7,3,2.38,2.85,3.25,2.1
D2,26/10/01,Mainz,Schweinfurt,4,1,H,2,1,H,9800,Markus Schmidt,15,3,7,2,0,0,11,0,7,16,1,2,1,2,0,0,10,20,1.45,3.7,6,1.45,3.8,5.4,,,,,,,1.45,3.7,5.6
D2,26/10/01,Union Berlin,Duisburg,0,1,A,0,1,A,7482,Stefan Weber,6,4,2,2,1,0,3,3,13,10,1,1,0,2,0,0,0,20,1.6,3.45,4.75,1.75,3.3,3.8,,,,,,,1.6,3.4,4.6
D2,27/10/01,Karlsruhe,Greuther Furth,4,2,H,2,0,H,10000,Christian Schößling,,,,,,,,,,,,,3,4,0,0,30,40,2.25,3,2.85,2.3,2.8,2.9,,,,,,,2.25,3.15,2.65
D2,27/10/01,Oberhausen,Reutlingen,0,1,A,0,0,D,3000,Frank Minskowski,,,,,,,,,,,,,1,0,1,0,35,0,2.25,3,2.85,2,3.1,3.2,,,,,,,1.95,3.25,3.15
D2,28/10/01,Ahlen,Babelsberg,1,1,D,1,1,D,6813,Felix Brych,16,14,8,6,0,1,10,1,13,18,2,2,5,3,0,0,50,30,1.57,3.5,5,1.55,3.5,4.8,,,,,,,1.5,3.5,5.4
D2,28/10/01,Bochum,Saarbrucken,3,2,H,0,1,A,9808,Stefan Trautmann,24,10,12,6,2,0,7,5,18,31,2,2,0,3,0,0,0,30,1.45,3.65,5.85,1.55,3.5,4.8,,,,,,,1.45,3.6,5.8
D2,28/10/01,Unterhaching,Ein Frankfurt,0,1,A,0,0,D,9000,Thorsten Kinhöfer,12,11,7,7,0,0,5,5,9,17,1,4,0,2,0,0,0,20,2.25,3,2.85,2.1,2.9,3.2,,,,,,,2.05,3.15,3
D2,29/10/01,Hannover,Mannheim,2,0,H,0,0,D,16800,Peter Sippel,13,12,9,5,0,0,6,4,17,15,3,6,0,2,0,0,0,20,1.46,3.6,6.2,1.6,3.4,4.6,,,,,,,1.5,3.5,5.4
D2,02/11/01,Duisburg,Aachen,5,0,H,1,0,H,11236,Knut Kircher,19,9,10,3,0,0,6,4,13,12,2,3,2,0,0,0,20,0,1.85,3.15,3.7,2,3.1,3.2,,,,1.91,3.1,3.6,2,3.2,3.1
D2,02/11/01,Saarbrucken,Mainz,0,1,A,0,0,D,8500,Günter Perl ,13,6,6,3,0,0,9,0,14,9,2,1,3,2,1,0,55,20,3.2,3.1,2.03,2.9,3,2.2,,,,3,3.2,2.1,2.9,3.2,2.1
D2,02/11/01,Schweinfurt,Hannover,1,4,A,0,3,A,9236,Lutz-Michael Fröhlich,9,12,4,6,0,0,2,6,12,10,1,0,1,1,0,1,10,35,2.9,3.1,2.18,3,2.9,2.2,,,,2.6,3.1,2.38,2.8,3,2.25
D2,03/11/01,Babelsberg,Karlsruhe,2,4,A,0,1,A,4000,Jürgen Jansen ,15,17,8,8,1,1,6,1,29,11,3,2,2,3,0,1,20,55,2.25,3.1,2.77,2.2,3,2.9,,,,2.2,3.2,2.8,2.45,3,2.55
D2,03/11/01,Bielefeld,Unterhaching,2,0,H,1,0,H,11242,Volker Wezel,16,14,10,8,0,0,4,5,14,16,3,0,2,2,0,0,20,20,1.9,3.15,3.5,1.85,3.1,3.6,,,,1.91,3.2,3.5,1.85,3.3,3.4
D2,04/11/01,Greuther Furth,Union Berlin,0,0,D,0,0,D,5500,Dirk Margenberg,12,6,4,2,0,0,9,0,16,21,0,0,1,0,0,0,10,0,1.9,3.15,3.5,1.8,3.1,3.8,,,,1.91,3.2,3.5,1.9,3.25,3.3
D2,04/11/01,Mannheim,Oberhausen,1,1,D,0,0,D,4500,Helmut Fleischer,18,11,9,4,1,0,3,3,18,17,4,1,3,2,0,0,30,20,1.75,3.25,4,1.7,3.2,4.2,,,,1.73,3.2,4.33,1.7,3.3,4.1
D2,04/11/01,Reutlingen,Ahlen,3,2,H,1,1,D,6000,Hermann Albrecht,12,12,7,5,1,2,6,5,14,17,1,2,2,1,1,0,45,10,2.3,3.1,2.75,2.1,3,3.1,,,,2.38,3.1,2.6,2.3,3.2,2.55
D2,05/11/01,Ein Frankfurt,Bochum,1,0,H,0,0,D,20000,Franz-Xaver Wack,7,7,4,2,0,1,13,2,14,27,2,3,0,1,0,0,0,10,1.85,3.25,3.55,1.9,3.1,3.5,,,,1.91,3.2,3.5,1.9,3.25,3.3
D2,16/11/01,Aachen,Greuther Furth,2,1,H,2,0,H,14000,Detlef Scheppe,16,12,7,4,0,0,5,6,19,15,2,5,0,2,0,0,0,20,2.3,3.05,2.75,2.2,3,2.9,,,,,,,2.25,3.15,2.65
D2,16/11/01,Hannover,Saarbrucken,0,0,D,0,0,D,20498,Matthias Anklam,11,4,4,1,0,0,9,6,8,16,2,1,0,1,0,0,0,10,1.25,4.6,8.8,1.45,3.8,5.4,,,,,,,1.3,4.2,7.7
D2,16/11/01,Karlsruhe,Union Berlin,1,1,D,0,0,D,11000,Babak Rafati,13,8,3,2,2,0,8,5,13,19,0,0,3,1,0,0,30,10,1.9,3.15,3.5,2,3,3.3,,,,,,,1.95,3.25,3.15
D2,17/11/01,Bochum,Bielefeld,0,0,D,0,0,D,13500,Florian Meyer,14,14,4,5,0,0,8,6,18,20,8,4,4,4,0,0,40,40,2.15,3.1,2.95,2.1,2.9,3.2,,,,2.1,3.2,3,2.1,3.2,2.85
