Div,Date,HT,AT,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA
G1,21/10/01,Aris,Xanthi,1,1,D,0,1,A,,,,,,
G1,21/10/01,Eth Asteras,AEK,2,0,H,0,0,D,5.7,3.4,1.45,5.3,3.7,1.4
G1,21/10/01,Iraklis,Egaleo,2,0,H,1,0,H,1.25,4.5,7.2,1.25,4.5,7
G1,21/10/01,OFI,Akratitos,1,0,H,0,0,D,1.4,3.6,6,1.45,3.6,4.8
G1,21/10/01,PAOK,Panionios,3,1,H,1,1,D,1.3,3.9,7.5,1.4,3.7,5.3
G1,03/11/01,Xanthi,Iraklis,4,1,H,3,0,H,2.2,3.1,2.75,2.1,3.1,2.7
G1,04/11/01,AEK,Panathinaikos,2,0,H,1,0,H,,,,,,
G1,04/11/01,Aris,Eth Asteras,4,2,H,2,1,H,1.4,3.75,6.25,1.4,3.8,5
G1,04/11/01,Egaleo,Olympiakos,3,4,A,2,1,H,9.2,5,1.2,6.5,5.6,1.2
G1,04/11/01,Ionikos,PAOK,1,1,D,1,1,D,2.7,3.05,2.25,2.3,3.1,2.3
G1,04/11/01,Panahaiki,OFI,1,2,A,1,0,H,,,,,,
G1,04/11/01,Panionios,Akratitos,2,2,D,0,1,A,1.5,3.65,5,1.6,3.3,4
G1,18/11/01,Akratitos,Panahaiki,3,1,H,2,0,H,1.85,3.1,3.45,1.8,3.1,3.4
G1,18/11/01,Ionikos,Panionios,1,1,D,1,1,D,1.85,3.1,3.45,1.9,3,3.1
G1,18/11/01,Iraklis,Eth Asteras,0,0,D,0,0,D,1.4,3.8,6,1.35,3.9,6
G1,18/11/01,OFI,AEK,0,1,A,0,0,D,3,3.1,2,2.8,3,2.1
G1,18/11/01,Olympiakos,Xanthi,1,1,D,0,1,A,1.1,6.5,11,1.1,6.5,13
G1,18/11/01,Panathinaikos,Aris,2,1,H,1,0,H,,,,,,
G1,18/11/01,PAOK,Egaleo,3,1,H,1,1,D,1.13,6,10,1.15,5.5,11
G1,24/11/01,Aris,OFI,1,0,H,1,0,H,1.57,3.35,4.4,1.6,3.3,4
G1,24/11/01,Eth Asteras,Olympiakos,2,4,A,1,2,A,6,4.25,1.32,6.5,4.2,1.3
G1,25/11/01,AEK,Akratitos,3,0,H,0,0,D,,,,,,
G1,25/11/01,Egaleo,Ionikos,2,2,D,1,1,D,,,,,,
G1,25/11/01,Iraklis,Panathinaikos,2,1,H,0,0,D,,,,,,
G1,25/11/01,Panionios,Panahaiki,2,0,H,2,0,H,,,,,,
G1,25/11/01,Xanthi,PAOK,1,0,H,0,0,D,,,,,,
G1,01/12/01,OFI,Iraklis,1,0,H,1,0,H,1.9,3.1,3.5,1.9,3,3.1
G1,01/12/01,Olympiakos,Panathinaikos,2,2,D,2,0,H,2.25,3,2.75,2.1,2.9,2.9
G1,02/12/01,Akratitos,Aris,0,1,A,0,1,A,2.55,3,2.45,2.35,3,2.35
G1,02/12/01,Egaleo,Panionios,0,1,A,0,0,D,1.85,3.3,3.4,2,3,2.9
G1,02/12/01,Ionikos,Xanthi,1,1,D,0,0,D,1.95,3.15,3.2,1.9,3,3.1
G1,02/12/01,Panahaiki,AEK,0,1,A,0,1,A,,,,,,
G1,02/12/01,PAOK,Eth Asteras,2,1,H,1,1,D,1.15,6,10,1.2,4.7,9
G1,08/12/01,Aris,Panahaiki,1,1,D,0,1,A,1.25,4.5,7.5,1.25,4.3,8
G1,08/12/01,OFI,Olympiakos,1,1,D,0,1,A,3.6,3.3,1.75,3.3,3,1.85
G1,09/12/01,Eth Asteras,Ionikos,1,0,H,0,0,D,1.8,3.2,3.5,1.8,3,3.5
G1,09/12/01,Iraklis,Akratitos,1,1,D,0,1,A,1.3,3.8,8,1.3,4,7
G1,09/12/01,Panathinaikos,PAOK,1,2,A,1,0,H,1.3,4.15,7,1.3,4,7
G1,09/12/01,Panionios,AEK,2,6,A,1,2,A,4.1,3.5,1.6,4,3.3,1.6
G1,09/12/01,Xanthi,Egaleo,4,2,H,3,1,H,1.3,4.2,6.8,1.3,4,7
G1,15/12/01,Akratitos,Olympiakos,2,3,A,2,2,D,6.5,4.5,1.28,9,4.7,1.2
G1,15/12/01,Panahaiki,Iraklis,1,1,D,0,1,A,2.4,3,2.5,2.3,2.9,2.5
G1,16/12/01,AEK,Aris,4,2,H,1,1,D,1.2,4.75,10,1.2,4.7,9
G1,16/12/01,Egaleo,Eth Asteras,1,0,H,1,0,H,2.05,3.1,3,1.9,3,3.1
G1,16/12/01,Ionikos,Panathinaikos,0,2,A,0,0,D,4.85,3.5,1.5,5,3.5,1.45
G1,16/12/01,PAOK,OFI,3,2,H,0,1,A,1.3,3.9,8.25,1.3,4,7
G1,16/12/01,Xanthi,Panionios,3,1,H,2,1,H,1.45,3.6,5.7,1.5,3.4,4.7
G1,12/01/02,Eth Asteras,Xanthi,0,0,D,0,0,D,2.05,3.1,3,2,3,2.9
G1,13/01/02,Akratitos,PAOK,1,2,A,1,2,A,3.6,3.2,1.8,3.2,3.1,1.85
G1,13/01/02,Iraklis,AEK,3,2,H,2,0,H,2.75,3.1,2.15,2.8,3,2.1
G1,13/01/02,OFI,Ionikos,4,0,H,1,0,H,1.32,3.75,8,1.35,3.8,6.2
G1,13/01/02,Olympiakos,Panahaiki,4,0,H,1,0,H,1.05,8.25,14,1.1,6.5,13
G1,13/01/02,Panathinaikos,Egaleo,2,1,H,0,0,D,1.05,8.25,14,1.1,6.5,13
G1,13/01/02,Panionios,Aris,1,0,H,0,0,D,2.25,3,2.7,2.3,2.9,2.5
G1,20/01/02,AEK,Olympiakos,2,3,A,2,1,H,2.35,3,2.62,2.4,2.9,2.4
G1,20/01/02,Aris,Iraklis,1,1,D,1,1,D,2.2,3,2.85,2.2,2.9,2.7
G1,20/01/02,Egaleo,OFI,0,0,D,0,0,D,2.2,3.1,2.75,2.35,3,2.35
G1,20/01/02,Eth Asteras,Panionios,0,2,A,0,1,A,1.95,3.1,3.3,1.9,3.1,3
G1,20/01/02,Ionikos,Akratitos,2,1,H,1,0,H,1.75,3.2,3.9,1.75,3.1,3.6
G1,20/01/02,Panahaiki,PAOK,3,3,D,0,2,A,,,,,,
G1,20/01/02,Xanthi,Panathinaikos,1,2,A,1,1,D,3.2,3.05,2,3,3.1,1.9
G1,26/01/02,Akratitos,Egaleo,0,1,A,0,1,A,1.75,3.2,3.75,1.9,3,3.1
G1,27/01/02,OFI,Xanthi,0,1,A,0,0,D,1.55,3.3,5.1,1.6,3.2,4.2
G1,27/01/02,Olympiakos,Aris,0,1,A,0,0,D,1.15,5.25,11,1.15,5.5,11
G1,27/01/02,Panahaiki,Ionikos,0,2,A,0,1,A,,,,,,
G1,27/01/02,Panathinaikos,Eth Asteras,1,0,H,0,0,D,1.05,7,18,1.05,8,16
G1,27/01/02,Panionios,Iraklis,0,1,A,0,0,D,2.15,2.9,2.9,2.2,2.9,2.7
G1,27/01/02,PAOK,AEK,3,2,H,2,2,D,2.15,2.9,2.9,2.1,2.9,2.9
G1,02/02/02,Aris,PAOK,2,3,A,1,2,A,2.45,2.85,2.55,2.3,2.9,2.5
G1,03/02/02,AEK,Ionikos,4,0,H,1,0,H,1.1,6,12.5,1.1,6.5,13
G1,03/02/02,Egaleo,Panahaiki,2,1,H,1,0,H,1.6,3.4,4.25,1.65,3.1,4
G1,03/02/02,Eth Asteras,OFI,2,3,A,2,1,H,2.15,3,2.8,2.1,2.9,2.9
G1,03/02/02,Iraklis,Olympiakos,1,1,D,0,0,D,3.1,3,2,3,2.9,2
G1,03/02/02,Panathinaikos,Panionios,2,1,H,1,0,H,1.15,5.5,10,1.15,5.5,11
G1,03/02/02,Xanthi,Akratitos,3,0,H,0,0,D,1.23,4.5,8.5,1.25,4.3,8
G1,09/02/02,OFI,Panathinaikos,0,1,A,0,0,D,4,3.5,1.66,3.3,3,1.85
G1,10/02/02,Egaleo,AEK,1,3,A,1,1,D,6,3.85,1.4,6.2,3.8,1.35
G1,10/02/02,Ionikos,Aris,1,0,H,1,0,H,2.4,3.1,2.5,2.3,2.9,2.5
G1,10/02/02,Panahaiki,Xanthi,1,3,A,0,2,A,,,,,,
G1,10/02/02,Panionios,Olympiakos,3,1,H,3,1,H,6.6,4,1.35,6.2,3.8,1.35
G1,10/02/02,PAOK,Iraklis,3,0,H,1,0,H,1.65,3.2,4.5,1.65,3.1,4
G1,16/02/02,Iraklis,Ionikos,3,0,H,2,0,H,1.25,4.75,7.25,1.2,4.7,9
G1,16/02/02,Panathinaikos,Akratitos,1,0,H,1,0,H,1.05,7.5,16,1.05,8,16
G1,17/02/02,Aris,Egaleo,1,0,H,1,0,H,1.25,4.5,8,1.35,3.8,6.2
G1,17/02/02,Eth Asteras,Panahaiki,1,1,D,1,0,H,1.55,3.4,4.8,1.55,3.3,4.5
G1,17/02/02,OFI,Panionios,0,0,D,0,0,D,1.6,3.4,4.35,1.55,3.3,4.5
G1,17/02/02,Olympiakos,PAOK,3,2,H,3,0,H,1.4,3.75,5.5,1.5,3.4,4.7
G1,17/02/02,Xanthi,AEK,1,1,D,1,0,H,2.85,3,2.15,2.8,3,2.1
G1,23/02/02,Panahaiki,Panathinaikos,0,0,D,0,0,D,,,,,,
G1,24/02/02,AEK,Eth Asteras,1,0,H,1,0,H,1.1,6.7,13,1.05,8,16
G1,24/02/02,Akratitos,OFI,1,2,A,1,2,A,2.45,3,2.5,2.5,2.9,2.3
G1,24/02/02,Egaleo,Iraklis,2,1,H,0,0,D,2.4,3,2.55,2.6,3,2.2
G1,24/02/02,Ionikos,Olympiakos,0,2,A,0,0,D,7.2,4.4,1.3,7,4,1.3
G1,24/02/02,Panionios,PAOK,1,1,D,1,1,D,3.3,3.2,1.9,3.4,3.1,1.8
G1,24/02/02,Xanthi,Aris,1,0,H,1,0,H,1.7,3.3,4,1.65,3.1,4
G1,27/02/02,Akratitos,Eth Asteras,1,0,H,1,0,H,,,,,,
G1,02/03/02,PAOK,Ionikos,2,0,H,1,0,H,1.15,5,10,1.1,6.5,13
G1,03/03/02,Akratitos,Panionios,1,4,A,1,3,A,2.35,3.2,2.45,2.3,2.9,2.5
G1,03/03/02,Eth Asteras,Aris,2,2,D,1,1,D,2.3,3.15,2.55,2.2,3,2.6
G1,03/03/02,Iraklis,Xanthi,1,1,D,1,1,D,1.8,3.25,3.65,1.7,3.1,3.8
G1,03/03/02,OFI,Panahaiki,2,2,D,1,1,D,1.3,4.1,7.5,1.25,4.3,8
G1,03/03/02,Olympiakos,Egaleo,3,0,H,1,0,H,1.07,6,15,1.05,8,16
G1,03/03/02,Panathinaikos,AEK,2,0,H,2,0,H,2,3.1,3.15,2.1,3,2.8
G1,09/03/02,Aris,Panathinaikos,0,0,D,0,0,D,,,,,,
G1,10/03/02,AEK,OFI,3,0,H,1,0,H,1.2,4.5,10,1.2,4.7,9
G1,10/03/02,Egaleo,PAOK,2,1,H,0,1,A,3.8,3.3,1.7,3.6,3.1,1.75
G1,10/03/02,Eth Asteras,Iraklis,1,2,A,1,2,A,2.4,2.9,2.55,2.35,3,2.35
G1,10/03/02,Panahaiki,Akratitos,1,1,D,0,0,D,,,,,,
G1,10/03/02,Panionios,Ionikos,2,2,D,1,1,D,1.45,3.5,5.55,1.45,3.5,5
G1,10/03/02,Xanthi,Olympiakos,1,2,A,1,2,A,3.3,3.25,1.85,3.3,3,1.85
G1,16/03/02,Panahaiki,Panionios,1,1,D,0,1,A,,,,,,
G1,16/03/02,Panathinaikos,Iraklis,2,1,H,0,1,A,1.23,4.75,8.75,1.25,4.3,8
G1,17/03/02,Akratitos,AEK,0,1,A,0,1,A,5.65,3.65,1.45,5,3.5,1.45
G1,17/03/02,Ionikos,Egaleo,1,1,D,0,1,A,1.75,3.25,3.8,1.7,3.1,3.8
G1,17/03/02,OFI,Aris,1,2,A,0,1,A,1.77,3.2,3.8,1.8,3,3.5
G1,17/03/02,Olympiakos,Eth Asteras,6,0,H,2,0,H,1.1,6.5,13.5,1.05,8.5,14
G1,17/03/02,PAOK,Xanthi,1,0,H,1,0,H,1.62,3.3,4.5,1.55,3.3,4.5
G1,23/03/02,AEK,Panahaiki,4,1,H,1,0,H,1.12,6,12.5,1.1,6.5,13
G1,23/03/02,Eth Asteras,PAOK,1,3,A,1,2,A,3.5,3.2,1.85,3.5,3,1.8
G1,24/03/02,Aris,Akratitos,0,1,A,0,0,D,1.35,4,6.6,1.35,3.9,6
G1,24/03/02,Iraklis,OFI,1,1,D,0,1,A,1.5,3.5,5.25,1.5,3.4,4.7
G1,24/03/02,Panathinaikos,Olympiakos,1,1,D,0,0,D,2.1,3,3,2.2,2.9,2.7
G1,24/03/02,Panionios,Egaleo,0,0,D,0,0,D,1.55,3.45,5,1.5,3.4,4.7
G1,24/03/02,Xanthi,Ionikos,1,0,H,1,0,H,1.3,4.2,7.5,1.3,4,7
G1,30/03/02,Egaleo,Xanthi,1,0,H,1,0,H,2.4,3,2.55,2.3,2.9,2.5
G1,31/03/02,AEK,Panionios,2,1,H,0,1,A,1.15,5.8,10.5,1.15,5.5,11
G1,31/03/02,Akratitos,Iraklis,3,0,H,3,0,H,2.45,3,2.5,2.3,3,2.4
G1,31/03/02,Ionikos,Eth Asteras,1,0,H,0,0,D,1.75,3.25,3.85,1.75,3.1,3.6
G1,31/03/02,Olympiakos,OFI,3,0,H,2,0,H,1.13,6,11,1.1,6.5,13
G1,31/03/02,Panahaiki,Aris,1,0,H,0,0,D,,,,,,
G1,31/03/02,PAOK,Panathinaikos,2,2,D,1,0,H,2.5,3,2.45,2.3,2.9,2.5
G1,07/04/02,Aris,AEK,0,3,A,0,2,A,4.25,3.35,1.62,4,3.3,1.6
G1,07/04/02,Eth Asteras,Egaleo,1,0,H,0,0,D,1.5,3.5,5,1.5,3.6,4.4
G1,07/04/02,Iraklis,Panahaiki,3,0,H,1,0,H,1.55,3.4,4.7,,,
G1,07/04/02,OFI,PAOK,4,1,H,2,1,H,2.33,3.1,2.5,2.3,3.1,2.3
G1,07/04/02,Olympiakos,Akratitos,2,2,D,1,1,D,1.05,7.3,15,1.05,8.5,14
G1,07/04/02,Panionios,Xanthi,2,0,H,1,0,H,2.15,3.1,2.75,2.1,3,2.8
G1,14/04/02,AEK,Iraklis,3,0,H,1,0,H,1.18,5,10,1.2,5,8
G1,14/04/02,Aris,Panionios,1,1,D,0,0,D,2,3.2,3,2.1,3,2.8
G1,14/04/02,Egaleo,Panathinaikos,1,4,A,0,1,A,7.5,3.7,1.35,5.6,3.5,1.4
G1,14/04/02,Ionikos,OFI,2,1,H,1,1,D,2,3.2,3,2,3.1,2.8
G1,14/04/02,Panahaiki,Olympiakos,1,3,A,1,0,H,,,,,,
G1,14/04/02,PAOK,Akratitos,6,3,H,3,1,H,1.2,4.9,9.2,,,
G1,14/04/02,Xanthi,Eth Asteras,1,0,H,1,0,H,1.3,4,8,,,
G1,20/04/02,Olympiakos,AEK,4,3,H,1,1,D,1.75,3.25,3.75,1.8,3.1,3.8
G1,20/04/02,Panathinaikos,Xanthi,3,1,H,1,1,D,,,,,,
G1,21/04/02,Akratitos,Ionikos,2,0,H,1,0,H,,,,,,
G1,21/04/02,Iraklis,Aris,2,1,H,1,0,H,1.6,3.5,4.5,,,
G1,21/04/02,OFI,Egaleo,2,1,H,2,0,H,,,,,,
G1,21/04/02,Panionios,Eth Asteras,4,0,H,1,0,H,1.4,3.8,6,,,
G1,21/04/02,PAOK,Panahaiki,3,2,H,2,0,H,,,,,,
G1,24/04/02,Panathinaikos,Ionikos,5,3,H,4,1,H,,,,,,
G1,08/05/02,AEK,PAOK,6,2,H,3,0,H,1.18,5.5,8,1.2,4.7,9
G1,08/05/02,Aris,Olympiakos,1,5,A,0,3,A,8.5,5.5,1.17,9,4.7,1.2
G1,08/05/02,Egaleo,Akratitos,2,1,H,1,0,H,1.75,3.25,3.65,1.8,3.1,3.4
G1,08/05/02,Eth Asteras,Panathinaikos,1,2,A,0,1,A,,,,,,
G1,08/05/02,Ionikos,Panahaiki,0,2,A,0,0,D,,,,,,
G1,08/05/02,Iraklis,Panionios,1,1,D,0,1,A,1.7,3.25,3.85,1.7,3.1,3.8
G1,08/05/02,Xanthi,OFI,2,1,H,1,0,H,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
