Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,BSH,BSD,BSA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,,,
G1,11/09/10,Atromitos,Iraklis,1,1,D,0,0,D,1.91,3.2,4.33,1.88,3.2,4.25,1.9,3.1,4,1.9,3.3,3.7,1.91,3.2,3.5,1.9,3.1,4.3,1.8,3.2,4.5,1.8,3.1,4.33,1.91,3.12,4.33,1.91,3.1,3.75,19,1.91,1.84,3.42,3.21,5,4.38,14,2.5,2.41,1.55,1.51,9,-0.5,1.88,1.84,2.12,2.03,,,
G1,11/09/10,Olympiakos,Kerkyra,2,0,H,1,0,H,1.17,6.5,19,1.16,6.25,17.5,1.2,5.5,12,1.17,5.5,14,1.17,5.5,12,1.12,7,19,1.17,6,15,1.14,6,17,1.18,5.5,19,1.2,5.5,10,21,1.2,1.17,7,6.13,19,14.33,20,1.88,1.78,2.1,2,9,-1.75,2.04,1.99,1.93,1.88,,,
G1,12/09/10,AEK,Panserraikos,2,0,H,1,0,H,1.33,5,9,1.25,5.25,11,1.33,4.2,9,1.3,4.8,8.5,1.29,4.33,8.5,1.22,5.5,12,1.33,4,11,1.25,4.75,11,1.3,4.75,11,1.33,4.2,8,19,1.35,1.3,5.5,4.67,12,9.65,20,1.89,1.82,2.02,1.94,10,-1.5,2.17,2.11,1.78,1.73,,,
G1,12/09/10,Larisa,Kavala,0,0,D,0,0,D,1.91,3.2,4.33,1.83,3.2,4.5,1.85,3.1,4.2,1.8,3.3,4.1,1.91,3,3.75,1.85,3.2,4.5,1.73,3.2,5,1.83,3.1,4.33,1.85,3,4.75,1.95,3,3.75,16,1.91,1.87,3.22,3.15,4.7,4.32,12,2.65,2.51,1.5,1.48,8,0,1.4,1.33,3.2,3.01,,,
G1,12/09/10,Olympiakos Volou,Ergotelis,0,1,A,0,0,D,2.2,3,3.6,2.1,3.1,3.5,2.1,3.1,3.3,2.1,3.2,3.2,2.25,3,2.88,2.1,3.1,3.5,2.1,3,3.5,2.1,2.88,3.5,2.2,3,3.4,2.15,3,3.2,20,2.25,2.16,3.15,3.06,3.8,3.38,10,2.53,2.38,1.6,1.52,9,-0.25,1.91,1.88,2.03,2,,,
G1,12/09/10,Xanthi,Panionios,1,1,D,0,1,A,2.1,3.1,3.75,2,3.1,3.9,2,3,3.75,2,3.2,3.4,2,3,3.4,1.9,3.1,4.3,2,3.1,3.75,1.91,3,4,2.05,3,3.8,2,3,3.6,20,2.12,2.01,3.17,3.07,4.3,3.82,15,2.65,2.53,1.5,1.47,9,-0.5,2.13,2.09,1.82,1.78,,,
G1,18/09/10,Ergotelis,Xanthi,1,0,H,0,0,D,2.1,3.1,3.4,2.1,3.1,3.6,2.1,3,3.5,2,3.2,3.4,2.1,3.2,3,2.15,3.1,3.4,2,3,3.9,2,3.1,3.5,2.1,3,3.75,2.1,3.1,3.2,23,2.22,2.1,3.27,3.07,3.75,3.46,14,2.71,2.52,1.55,1.47,9,0,1.52,1.48,2.55,2.48,,,
G1,18/09/10,Iraklis,Larisa,1,0,H,1,0,H,2.45,3.1,2.8,2.45,3,2.95,2.3,3,3,2.3,3.1,2.9,2.2,3.2,2.8,2.5,3.1,2.8,2.3,3,3.1,2.25,3,3.1,2.4,3,3,2.2,3.1,3,20,2.75,2.46,3.1,3.01,3.1,2.86,12,2.6,2.49,1.5,1.48,11,0,1.94,1.79,2.1,1.99,,,
G1,18/09/10,Kavala,Panathinaikos,2,2,D,2,1,H,5.5,3.6,1.57,6.75,3.75,1.5,6,3.5,1.55,5.6,3.6,1.55,5,3.25,1.62,6,4,1.55,6.5,3.75,1.5,5.5,3.5,1.57,6,3.6,1.57,5,3.6,1.57,22,6.75,5.89,3.99,3.58,1.6,1.56,14,2.25,2.17,1.67,1.62,8,1,1.81,1.78,2.14,2.12,,,
G1,19/09/10,AEK,Asteras Tripolis,2,2,D,0,1,A,1.36,4.33,9.5,1.3,4.6,10.5,1.33,4.2,9,1.3,4.8,8.5,1.33,4.33,7,1.33,4.3,10,1.36,4,9.5,1.33,4.33,8,1.36,4,10,1.33,4.2,8,22,1.42,1.34,4.6,4.24,11,8.91,13,2.15,2.07,1.78,1.68,10,-1.25,1.98,1.93,1.98,1.94,,,
G1,19/09/10,Kerkyra,Atromitos,3,1,H,1,0,H,2.7,3.1,2.7,2.7,3,2.65,2.5,3,2.75,2.4,3,2.9,2.2,3.2,2.8,2.6,3.1,2.7,2.35,3,3,2.38,3,2.88,2.62,2.88,2.88,2.25,3.1,2.9,22,2.83,2.6,3.1,2.99,2.9,2.68,14,2.65,2.53,1.5,1.47,15,0,2.06,1.94,2,1.86,,,
G1,19/09/10,Panionios,Aris,1,0,H,0,0,D,2.7,3.1,2.7,2.55,2.95,2.85,2.6,2.9,2.7,2.6,3,2.6,2.75,3.2,2.25,2.7,2.95,2.7,2.6,2.9,2.8,2.5,2.88,2.8,2.62,3,2.75,2.7,2.9,2.5,22,2.75,2.62,3.1,2.97,2.85,2.66,14,2.63,2.53,1.5,1.47,16,0,1.95,1.87,2.01,1.92,,,
G1,19/09/10,Panserraikos,Olympiakos,0,1,A,0,1,A,7,4.33,1.44,7.5,3.9,1.45,7,3.75,1.45,6.5,3.9,1.45,6.5,4,1.4,8,4,1.45,8,4,1.4,7,3.75,1.44,7,4,1.44,6.5,3.8,1.44,21,8,6.91,4.5,3.9,1.51,1.45,13,2.21,2.08,1.73,1.68,9,1,2.09,2.03,1.88,1.85,,,
G1,19/09/10,PAOK,Olympiakos Volou,1,1,D,1,1,D,1.36,4.33,9.5,1.35,4.25,9.75,1.33,4.2,9,1.35,4.5,7.3,1.33,4.33,7,1.35,4.3,9,1.33,4.2,10,1.36,4,8,1.36,4.2,10,1.33,4.2,8,19,1.42,1.36,4.33,4.19,9.75,8.64,11,2.26,2.15,1.75,1.63,9,-1.25,1.94,1.91,2.01,1.97,,,
G1,25/09/10,Atromitos,Panserraikos,2,1,H,2,0,H,1.67,3.5,5.5,1.75,3.25,5,1.67,3.3,5,1.7,3.4,4.5,1.62,3.25,5,1.65,3.4,5.5,1.67,3.4,5,1.73,3.25,4.5,1.67,3.4,5.25,1.67,3.4,4.5,24,1.72,1.67,3.72,3.38,6.15,5.15,15,2.47,2.34,1.62,1.54,10,-0.75,1.91,1.89,2.04,1.98,,,
G1,25/09/10,Olympiakos,Asteras Tripolis,3,0,H,1,0,H,1.2,6,15,1.16,6,19.5,1.2,5.5,12,1.2,5.5,12,1.2,5,11,1.2,6,17,1.2,5.5,13,1.2,5.5,11,1.22,6,15,1.2,5.5,10,23,1.24,1.2,6,5.68,19.5,12.78,21,1.81,1.76,2.11,2,10,-1.75,2.08,2.04,1.89,1.83,,,
G1,25/09/10,Panathinaikos,Panionios,2,1,H,1,0,H,1.29,5,11,1.25,5,12.5,1.25,5,10,1.25,5,10,1.25,4.5,10,1.25,5.25,11,1.25,5,11,1.22,5,11,1.3,5.25,11,1.25,5,9,23,1.3,1.26,5.35,5.04,12.5,10.18,21,2.01,1.89,1.92,1.86,10,-1.5,2.11,2.07,1.82,1.79,,,
G1,26/09/10,Aris,Ergotelis,1,0,H,0,0,D,1.55,3.6,5.75,1.53,3.5,7,1.55,3.5,6,1.5,3.8,5.7,1.53,3.4,5.5,1.5,3.6,7.5,1.57,3.4,6,1.53,3.5,6,1.53,3.6,6.5,1.53,3.6,5.5,23,1.62,1.54,3.75,3.55,7.5,6.18,14,2.5,2.33,1.6,1.54,10,-1,2.14,2.09,1.81,1.77,,,
G1,26/09/10,Iraklis,Kavala,0,1,A,0,1,A,2,3.2,3.5,1.95,3.1,4.1,2,3.1,3.6,1.9,3.2,3.8,2,3,3.4,2.15,3.1,3.4,2.1,3,3.5,1.91,3.2,3.75,2.1,3,3.6,2.1,3.1,3.2,23,2.2,2.06,3.25,3.12,4.1,3.5,15,2.65,2.46,1.55,1.49,10,-0.5,2.2,2.14,1.77,1.73,,,
G1,26/09/10,Larisa,Kerkyra,1,1,D,1,1,D,1.57,3.5,5.75,1.67,3.3,5.5,1.6,3.4,5.5,1.65,3.4,4.7,1.57,3.5,5,1.6,3.5,5.75,1.6,3.3,6,1.53,3.75,5.5,1.62,3.6,5.5,1.61,3.4,5,21,1.67,1.6,3.75,3.45,6.25,5.51,14,2.5,2.36,1.57,1.53,9,-0.75,1.85,1.82,2.09,2.05,,,
G1,26/09/10,Olympiakos Volou,AEK,3,1,H,1,0,H,3.8,3.25,1.91,4.5,3.25,1.8,4,3.2,1.85,4.2,3.3,1.8,3.75,3.2,1.83,4,3.2,2,4,3.1,1.85,4,3.3,1.8,4,3.12,1.95,3.4,3.1,2,22,4.5,3.88,3.35,3.17,2.06,1.92,15,2.21,2.16,1.65,1.63,10,0.5,1.89,1.84,2.06,2.01,,,
G1,26/09/10,Xanthi,PAOK,1,0,H,1,0,H,3.9,3.1,1.95,4.1,3.1,1.95,3.75,3,2,3.4,3.2,2,3.4,3,2,3.5,3.1,2.1,3.75,3,2.05,3.25,3.1,2.1,3.8,3,2.05,3.2,3.1,2.1,23,4.1,3.61,3.12,3.05,2.15,2.05,15,2.74,2.49,1.53,1.48,10,0,2.86,2.61,1.53,1.43,,,
G1,02/10/10,Asteras Tripolis,Atromitos,1,1,D,1,0,H,2.3,3,3.1,2.3,3,3.2,2.2,3,3.2,2.1,3.1,3.3,2.4,2.88,2.75,2.4,3,3,2.2,2.9,3.4,2.2,3,3.2,2.38,2.88,3.2,2.2,3,3.1,23,2.53,2.34,3.1,2.99,3.3,3.04,14,2.6,2.43,1.55,1.5,10,-0.25,2.15,2.1,1.81,1.79,,,
G1,02/10/10,Kavala,Panionios,2,1,H,1,0,H,2.3,3,3.1,2.4,3,3,2.3,3,3,2.3,3.1,2.9,2.25,3,2.88,2.3,3,3.2,2.4,2.9,3,2.2,3,3.2,2.38,3,3.1,2.15,3,3.2,23,2.6,2.33,3.05,3,3.2,3.05,14,2.65,2.49,1.53,1.48,16,0,1.77,1.69,2.25,2.15,,,
G1,02/10/10,Olympiakos,Olympiakos Volou,3,1,H,2,0,H,1.2,5.5,13,1.16,6,19.5,1.2,5.5,12,1.2,5.5,12,1.17,5.5,12,1.15,7,15,1.2,5.5,13,1.18,5.5,13,1.18,6,15,1.22,5.5,9,21,1.22,1.18,7,5.85,19.5,13.55,19,1.8,1.73,2.2,2.06,10,-1.75,1.92,1.89,2.02,1.98,,,
G1,03/10/10,AEK,Xanthi,1,0,H,1,0,H,1.4,4,7.5,1.4,4.1,8.25,1.4,4,7.5,1.4,3.8,7.5,1.44,3.6,6.5,1.4,4.3,7.5,1.4,4,8,1.4,4,7,1.4,4.33,7.5,1.4,4,7,23,1.49,1.41,4.4,4.04,8.25,7.39,20,2.12,2.03,1.8,1.75,10,-1.25,2.18,2.1,1.82,1.78,,,
G1,03/10/10,Ergotelis,Panathinaikos,1,4,A,0,3,A,5.25,3.5,1.62,6.75,3.6,1.53,6,3.5,1.55,5.7,3.8,1.5,5,3.5,1.57,5.5,3.6,1.67,6,3.5,1.57,5,3.5,1.62,5.5,3.4,1.67,5,3.4,1.61,23,6.75,5.59,3.68,3.47,1.7,1.61,14,2.35,2.2,1.7,1.61,10,0.75,2.06,2,1.92,1.88,,,
G1,03/10/10,Kerkyra,Iraklis,0,0,D,0,0,D,2.3,3,3.1,2.5,2.95,2.95,2.3,3,3,2.3,3.1,2.9,2.38,2.88,2.8,2.3,3,3.2,2.4,2.9,3,2.38,2.88,3,2.4,3,3,2.2,3,3.1,23,2.63,2.38,3.01,2.98,3.2,3,14,2.6,2.5,1.5,1.48,17,0,1.81,1.73,2.2,2.09,,,
G1,03/10/10,Panserraikos,Larisa,1,0,H,1,0,H,2.75,3,2.5,2.8,3,2.55,2.75,2.95,2.5,2.6,3,2.6,2.88,3,2.25,2.7,3.1,2.6,3,2.9,2.4,2.63,2.88,2.63,2.88,3,2.5,2.62,2.87,2.6,21,3.17,2.81,3.1,2.98,2.63,2.5,13,2.65,2.52,1.53,1.47,16,0,2.18,2.04,1.85,1.76,,,
G1,03/10/10,PAOK,Aris,0,1,A,0,0,D,1.8,3.2,4.33,1.85,3.1,4.6,1.85,3,4.33,1.85,3.25,4,1.8,3.2,4,1.85,3.2,4.75,1.75,3.3,4.75,1.8,3.2,4.33,1.85,3.12,4.6,1.91,3.2,3.6,23,1.91,1.84,3.48,3.16,4.89,4.32,14,2.65,2.53,1.5,1.46,11,-0.5,1.88,1.85,2.05,2,,,
G1,16/10/10,Panathinaikos,PAOK,1,0,H,1,0,H,1.67,3.3,5.25,1.6,3.5,5.85,1.65,3.25,5.5,1.55,3.7,5.4,1.62,3.25,5,1.7,3.4,5.5,1.57,3.5,6,1.62,3.25,5.5,1.73,3.4,5,1.67,3.4,4.5,23,1.8,1.7,3.5,3.33,5.5,5.04,14,2.25,2.17,1.67,1.62,10,-0.75,2.11,2.05,1.86,1.83,,,
G1,16/10/10,Panionios,Ergotelis,0,1,A,0,1,A,1.83,3.2,4.2,1.75,3.25,5,1.85,3.1,4.2,1.85,3.3,4,1.91,2.88,4,1.9,3.1,4.3,1.85,3,4.75,1.8,3.1,4.33,1.91,3.12,4.2,1.91,3.2,3.6,23,1.98,1.88,3.4,3.18,5,4.13,14,2.5,2.43,1.55,1.5,11,-0.5,1.98,1.93,1.96,1.92,,,
G1,16/10/10,Xanthi,Olympiakos,0,3,A,0,1,A,5.5,3.4,1.62,6.25,3.45,1.58,5.5,3.4,1.6,5.7,3.8,1.5,5.5,3.4,1.53,6,3.5,1.6,6,3.5,1.57,5.5,3.5,1.57,6.5,3.5,1.57,5,3.4,1.62,22,6.66,5.8,3.7,3.48,1.62,1.58,14,2.38,2.26,1.62,1.58,9,1,1.74,1.71,2.23,2.19,,,
G1,17/10/10,Aris,AEK,0,4,A,0,1,A,2.4,3,2.88,2.45,3,2.95,2.45,3,2.75,2.4,3,2.9,2.5,2.88,2.62,2.6,3,2.9,2.5,2.9,2.9,2.4,2.9,2.9,2.5,3,2.88,2.38,3,2.8,23,2.64,2.45,3.18,3,3.01,2.87,14,2.38,2.29,1.62,1.56,15,0,1.85,1.77,2.2,2.05,,,
G1,17/10/10,Atromitos,Olympiakos Volou,2,2,D,1,0,H,2,3.1,3.75,2,3.1,3.9,2,3.1,3.6,2,3.1,3.5,2.1,3,3.2,2,3,4,2.1,3.1,3.4,1.91,3.2,3.75,2.05,3.12,3.75,2.1,3,3.3,21,2.1,2.02,3.38,3.13,4,3.69,13,2.6,2.41,1.55,1.51,10,-0.25,1.77,1.74,2.21,2.17,,,
G1,17/10/10,Iraklis,Panserraikos,1,1,D,1,0,H,1.91,3.1,4,1.88,3.2,4.25,1.9,3.1,4,1.85,3.3,4,1.91,3,3.75,1.95,3.25,3.8,1.85,3.1,4.33,1.91,3.2,3.75,1.91,3.12,4,1.85,3.2,3.8,22,2.01,1.92,3.36,3.16,4.4,3.99,14,2.6,2.44,1.55,1.5,11,-0.5,2.01,1.97,1.92,1.88,,,
G1,17/10/10,Kerkyra,Kavala,1,1,D,1,0,H,2.4,3,2.88,2.4,2.95,3.1,2.55,2.9,2.75,2.4,3.1,2.8,2.5,2.88,2.62,2.6,2.95,2.8,2.5,2.9,2.9,2.4,2.9,2.88,2.5,3,2.88,2.38,3,2.8,23,2.65,2.48,3.16,2.98,3.1,2.85,14,2.6,2.46,1.51,1.49,15,0,1.86,1.8,2.1,2.01,,,
G1,17/10/10,Larisa,Asteras Tripolis,0,2,A,0,2,A,1.8,3.2,4.5,1.75,3.2,5,1.8,3.1,4.5,1.8,3.3,4.1,1.8,3.2,4,1.75,3.3,4.75,1.8,3.1,4.75,1.73,3.25,4.5,1.8,3.25,4.5,1.85,3.2,3.8,20,1.85,1.8,3.31,3.21,5,4.44,13,2.65,2.53,1.5,1.47,9,-0.5,1.86,1.83,2.06,2.01,,,
G1,23/10/10,Asteras Tripolis,Iraklis,0,0,D,0,0,D,2,3.2,3.5,1.95,3.1,4.1,1.9,3.1,4,2.1,3.1,3.3,2,3,3.4,2,3,4,2,3.1,3.75,1.83,3.25,4,2.05,3.1,3.8,2.1,3.1,3.2,24,2.13,2.03,3.32,3.12,4.1,3.66,15,2.55,2.37,1.57,1.52,12,-0.5,2.14,2.08,1.83,1.78,,,
G1,23/10/10,Atromitos,Xanthi,1,1,D,0,0,D,2,3.1,3.75,2.05,3.1,3.7,2,3.1,3.6,2,3.15,3.5,2,3,3.4,2.05,3.2,3.6,2.1,3,3.6,1.91,3.2,3.75,2,3.1,4,2,3.1,3.4,24,2.1,2.01,3.29,3.11,4.23,3.71,15,2.54,2.44,1.55,1.49,10,-0.25,1.78,1.74,2.17,2.14,,,
G1,23/10/10,Olympiakos Volou,Larisa,1,1,D,1,0,H,2.4,3,2.88,2.55,3,2.8,2.45,3,2.75,2.3,3,3,2.38,3,2.7,2.5,3,2.9,2.45,2.9,3,2.5,2.9,2.75,2.4,3,3,2.3,3,2.88,21,2.61,2.42,3.11,2.98,3.08,2.92,13,2.56,2.39,1.55,1.5,14,0,1.78,1.72,2.23,2.11,,,
G1,24/10/10,AEK,Panathinaikos,1,0,H,1,0,H,2.7,3.1,2.5,2.75,3.1,2.55,2.65,3,2.55,2.7,3,2.55,2.7,3,2.38,2.9,3,2.6,2.7,3,2.6,2.63,2.88,2.63,2.88,3,2.5,2.62,3,2.5,24,3.09,2.79,3.18,3.03,2.6,2.5,15,2.26,2.2,1.67,1.6,16,0,2.17,2.04,1.82,1.77,,,
G1,24/10/10,Kavala,Ergotelis,3,1,H,1,0,H,2,3.1,3.75,2.05,3,3.9,2,3.1,3.6,2.1,3.1,3.3,2,3.2,3.2,2.05,3,3.8,2.1,3,3.6,1.91,3.2,3.75,2.05,3.1,3.75,1.91,3.2,3.6,24,2.14,2.03,3.32,3.09,4.09,3.67,15,2.5,2.45,1.53,1.49,11,-0.25,1.82,1.79,2.14,2.09,,,
G1,24/10/10,Olympiakos,Aris,1,0,H,1,0,H,1.4,3.8,8.5,1.38,4.1,9,1.4,4,7.5,1.4,3.8,7.5,1.44,3.6,6.5,1.4,4.2,9,1.4,4,8.5,1.36,4,8,1.36,4.33,9,1.4,3.8,7.5,23,1.4,1.38,4.5,4.1,9,8.17,17,2,1.95,1.9,1.8,8,-1,1.66,1.63,2.35,2.26,,,
G1,24/10/10,Panserraikos,Kerkyra,0,2,A,0,1,A,2,3.1,3.75,1.95,3.1,4.1,2.1,3,3.4,2.2,3.1,3.1,2.1,3.2,3,2.1,3.1,3.5,2.1,3,3.6,2,3,3.75,2.1,3.1,3.6,2.2,3.1,3,24,2.2,2.11,3.24,3.08,4.1,3.45,15,2.56,2.42,1.55,1.5,11,-0.25,1.87,1.85,2.05,2.03,,,
G1,24/10/10,PAOK,Panionios,3,1,H,3,0,H,1.57,3.6,5.5,1.6,3.4,6.25,1.57,3.5,5.5,1.6,3.5,5.2,1.62,3.25,5,1.55,3.5,6.5,1.55,3.5,6.5,1.57,3.5,5.5,1.57,3.5,6.5,1.57,3.5,5.25,24,1.63,1.58,3.82,3.51,6.54,5.91,15,2.5,2.33,1.6,1.54,11,-0.75,1.85,1.82,2.09,2.05,,,
G1,30/10/10,Aris,Atromitos,2,0,H,2,0,H,1.6,3.6,6,1.55,3.5,6.75,1.55,3.5,6,1.55,3.5,5.7,1.5,3.5,6,1.6,3.5,5.75,1.55,3.6,6.5,1.53,3.5,6,1.57,3.75,7,1.57,3.5,5.5,25,1.62,1.57,3.81,3.5,7,6.09,14,2.38,2.27,1.62,1.57,13,-1,2.19,2.13,1.78,1.75,,,
G1,30/10/10,Larisa,Xanthi,3,0,H,2,0,H,1.83,3.3,4.6,1.72,3.25,5.25,1.8,3.1,4.5,1.8,3.3,4.1,1.8,3.2,4,1.75,3.3,4.75,1.8,3.1,5,1.67,3.25,5,1.85,3.25,5,1.95,3,3.75,23,1.85,1.78,3.46,3.22,5.28,4.66,13,2.6,2.47,1.57,1.48,11,-0.5,1.84,1.8,2.12,2.08,,,
G1,30/10/10,Panathinaikos,Olympiakos,2,1,H,0,1,A,2.45,3,3.1,2.55,3.2,2.9,2.45,3,2.8,2.6,3,2.6,2.38,3,2.7,2.35,3.1,3.2,2.5,3,2.9,2.6,2.88,2.7,2.6,3,3.12,2.5,2.9,2.8,25,2.6,2.43,3.15,3,3.25,2.95,14,2.3,2.23,1.65,1.58,15,0,1.8,1.7,2.25,2.13,,,
G1,31/10/10,Ergotelis,PAOK,1,2,A,1,1,D,3.6,3,2.2,3.9,3,2.05,3.5,3,2.1,3.4,3.2,2,3.2,3,2.1,3.4,3.1,2.25,3.6,3.1,2.1,3.1,3,2.25,3.6,3.12,2.25,3.1,2.9,2.25,25,3.9,3.43,3.2,3.04,2.25,2.15,14,2.6,2.47,1.53,1.49,12,0.25,2.04,2.01,1.89,1.86,,,
G1,31/10/10,Iraklis,Olympiakos Volou,0,0,D,0,0,D,2.1,3.2,3.6,2.05,3,3.9,2,3.1,3.6,1.9,3.2,3.8,2,3,3.4,2.2,3.1,3.25,2.05,3,4,2,3.1,3.5,2.2,3.12,3.75,2.1,3,3.3,24,2.26,2.11,3.2,3.07,3.9,3.5,13,2.56,2.44,1.55,1.49,12,-0.5,2.25,2.19,1.74,1.71,,,
G1,31/10/10,Kerkyra,Asteras Tripolis,1,2,A,1,0,H,2.15,3.1,3.6,2.2,2.95,3.5,2.1,3.1,3.4,2.2,3.1,3.1,2.1,3,3.2,2.3,3.1,3.1,2.2,3,3.5,1.91,3.2,3.75,2.25,3.12,3.6,2.1,3,3.3,25,2.36,2.18,3.2,3.03,3.75,3.37,12,2.65,2.49,1.57,1.49,9,-0.25,1.99,1.94,1.98,1.92,,,
G1,31/10/10,Panionios,AEK,1,0,H,0,0,D,3.75,3.2,2.05,4.1,3.2,1.91,3.8,3.2,1.9,4,3.25,1.85,3.4,3,2,3.75,3.3,1.95,3.75,3.2,2,3.5,3.1,2,4,3.25,2.1,3.5,3,2,25,4.14,3.76,3.31,3.16,2.08,1.98,14,2.26,2.17,1.7,1.63,12,0.5,1.86,1.83,2.09,2.04,,,
G1,31/10/10,Panserraikos,Kavala,1,0,H,1,0,H,2.55,3,2.9,2.5,3,2.85,2.5,3,2.75,2.5,3.1,2.65,2.25,3,2.88,2.5,3.1,2.8,2.6,3,2.88,2.25,3.1,3,2.6,3.1,3,2.4,2.9,2.88,25,2.6,2.48,3.1,2.99,3.18,2.86,14,2.52,2.4,1.57,1.51,12,-0.25,2.2,2.15,1.77,1.74,,,
