Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,BSH,BSD,BSA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA
SC3,25/08/12,East Stirling,Elgin,1,4,A,0,3,A,4,3.75,1.83,3.5,3.5,1.85,3.5,3.5,1.85,3.6,3.3,1.8,3.75,3.75,1.8,3.9,3.79,1.93,4,3.8,1.83,3.8,3.5,1.83,3.9,3.7,1.9,3.75,3.6,1.83,32,4.05,3.76,3.87,3.54,1.94,1.84,18,1.66,1.59,2.38,2.28,13,0.5,1.97,1.94,1.94,1.92
SC3,25/08/12,Montrose,Annan Athletic,0,0,D,0,0,D,2.5,3.6,2.6,2.5,3.4,2.4,2.5,3.4,2.4,2.4,3.2,2.4,2.5,3.6,2.4,2.55,3.71,2.68,2.4,3.4,2.4,2.5,3.4,2.5,2.55,3.6,2.62,2.4,3.4,2.62,32,2.55,2.46,3.71,3.33,2.73,2.58,18,1.59,1.52,2.55,2.4,13,0,1.9,1.86,2.04,2
SC3,25/08/12,Peterhead,Queens Park,1,0,H,0,0,D,2,3.6,3.5,1.85,3.5,3.5,1.85,3.5,3.5,2,3.3,3,1.91,3.6,3.5,1.93,3.82,3.99,1.8,3.5,3.5,1.95,3.5,3.5,2,3.6,3.6,1.95,3.5,3.4,32,2.05,1.93,3.84,3.45,3.8,3.5,18,1.63,1.57,2.35,2.3,10,-0.25,1.72,1.66,2.3,2.27
SC3,25/08/12,Stirling,Clyde,0,1,A,0,1,A,1.7,4,4.33,1.7,3.4,4.4,1.7,3.4,4.4,1.65,3.4,4.2,1.73,3.6,4.2,1.75,3.96,4.72,1.73,3.6,3.75,1.73,3.6,4.5,1.73,4,4.6,1.73,3.6,4.33,31,1.8,1.69,4,3.58,4.75,4.42,18,1.79,1.68,2.2,2.11,13,-0.75,1.99,1.92,1.96,1.93
SC3,26/08/12,Berwick,Rangers,1,1,D,0,1,A,15,8,1.14,11,7,1.14,11,7,1.14,11,5.5,1.17,13,7.5,1.14,,,,15,6.5,1.11,13,8,1.13,15,8.5,1.14,13,7,1.14,27,15,12.84,10,7.5,1.17,1.14,16,1.33,1.24,4.05,3.81,11,2.25,2.14,2.08,1.79,1.77
SC3,01/09/12,Berwick,East Stirling,3,0,H,2,0,H,1.4,4.75,7,1.4,4.2,6.25,1.4,4.2,6.25,1.45,3.8,5.4,1.44,4.33,6,1.44,5.04,7.13,1.44,4,5.5,1.44,4.33,6.5,1.44,4.75,7,1.4,4.2,7,29,1.5,1.44,4.75,4.21,7,6.12,15,1.5,1.47,2.7,2.58,15,-1.25,1.98,1.93,1.97,1.92
SC3,01/09/12,Clyde,Annan Athletic,2,1,H,1,0,H,2.38,3.4,2.88,2.25,3.25,2.8,2.25,3.25,2.8,2.3,3.2,2.5,2.3,3.5,2.75,2.42,3.47,2.99,2.15,3.5,2.7,2.3,3.2,2.88,2.38,3.5,2.9,2.15,3.5,2.88,29,2.38,2.29,3.5,3.28,3.01,2.82,16,1.93,1.74,2.1,2.01,15,0,1.77,1.74,2.18,2.14
SC3,01/09/12,Peterhead,Montrose,2,0,H,0,0,D,1.53,4.33,5.5,1.44,4.1,5.75,1.44,4.1,5.75,1.45,3.8,5.4,1.4,4.5,6.5,1.47,4.64,7.33,1.33,4.5,6.5,1.5,4,5.8,1.5,4.4,6.25,1.44,4.2,6,29,1.53,1.48,4.5,4.14,6.5,5.6,16,1.57,1.53,2.48,2.38,15,-1,1.82,1.77,2.15,2.1
SC3,01/09/12,Stirling,Queens Park,1,2,A,1,1,D,2.7,3.4,2.5,2.35,3.3,2.6,2.35,3.3,2.6,2.4,3.2,2.4,2.4,3.5,2.5,2.84,3.59,2.47,2.3,3.4,2.5,2.6,3.3,2.5,2.75,3.4,2.5,2.38,3.4,2.6,29,2.75,2.57,3.5,3.3,2.63,2.48,16,1.76,1.65,2.2,2.15,15,0,2.1,2.04,1.87,1.82
SC3,02/09/12,Rangers,Elgin,5,1,H,3,1,H,1.13,8,21,1.12,7,13.5,1.12,7,13.5,1.15,6,12,1.11,8,17,,,,1.11,7,13,1.11,7,15,1.13,8.5,21,1.1,8,15,24,1.15,1.12,8.5,7.68,21,14.88,14,1.29,1.25,3.75,3.64,11,-2,1.6,1.56,2.47,2.43
SC3,15/09/12,Annan Athletic,Rangers,0,0,D,0,0,D,13,7.5,1.17,11,6.75,1.15,11,6.75,1.15,11,5.5,1.17,13,7,1.14,,,,15,5.5,1.14,12,7,1.17,15,7,1.18,15,7,1.14,23,15,12.18,7.5,6.84,1.18,1.16,15,1.31,1.28,3.6,3.5,15,2.5,1.31,1.28,3.6,3.5
SC3,15/09/12,East Stirling,Stirling,3,1,H,0,0,D,4,3.8,1.8,3.75,3.9,1.7,3.75,3.9,1.7,3.7,3.4,1.75,3.75,3.75,1.8,4.34,4.01,1.8,4,3.6,1.67,4.33,3.5,1.8,4.3,3.9,1.8,4,3.6,1.8,32,4.33,4,3.99,3.56,1.85,1.79,18,1.6,1.54,2.55,2.38,18,2.5,1.6,1.54,2.55,2.38
SC3,15/09/12,Elgin,Peterhead,2,0,H,0,0,D,3.1,3.5,2.2,2.95,3.7,2,2.95,3.7,2,2.7,3.2,2.2,3,3.5,2.1,2.98,3.72,2.32,2.8,3.6,2.05,3,3.3,2.2,2.9,3.7,2.3,2.7,3.5,2.38,32,3.25,2.96,3.78,3.39,2.3,2.18,18,1.62,1.57,2.53,2.32,18,2.5,1.62,1.57,2.53,2.32
SC3,15/09/12,Montrose,Berwick,3,1,H,2,1,H,2.7,3.4,2.5,2.45,3.6,2.35,2.45,3.6,2.35,2.4,3.2,2.4,2.6,3.5,2.38,2.78,3.65,2.49,2.38,3.5,2.38,2.63,3.25,2.4,2.75,3.6,2.45,2.75,3.5,2.3,32,2.8,2.64,3.65,3.3,2.6,2.43,18,1.69,1.64,2.36,2.18,18,2.5,1.69,1.64,2.36,2.18
SC3,15/09/12,Queens Park,Clyde,1,0,H,1,0,H,1.67,3.75,5,1.65,3.7,4.25,1.65,3.7,4.25,1.65,3.4,4.2,1.67,3.75,4.5,1.67,3.99,5.37,1.7,3.6,3.8,1.67,3.6,4.8,1.67,3.9,5.25,1.73,3.75,4.2,32,1.83,1.68,3.99,3.63,5.37,4.54,18,1.83,1.74,2.1,2.02,18,2.5,1.83,1.74,2.1,2.02
SC3,22/09/12,Annan Athletic,Peterhead,2,1,H,1,0,H,2.8,3.5,2.38,2.7,3.5,2.2,2.7,3.5,2.2,2.4,3.2,2.4,2.5,3.5,2.25,2.85,3.57,2.51,3,3,2.5,2.75,3.4,2.38,2.8,3.5,2.45,2.88,3.5,2.2,32,3,2.74,3.6,3.31,2.5,2.35,17,1.8,1.72,2.1,2.03,13,0.25,1.78,1.76,2.16,2.12
SC3,22/09/12,Berwick,Stirling,4,1,H,2,0,H,2.1,3.6,3.2,2.1,3.5,2.85,2.1,3.5,2.85,2.2,3.2,2.7,2.1,3.5,2.75,2.17,3.68,3.36,2.3,3.1,3.2,2.2,3.4,3,2.2,3.6,3.2,2.05,3.6,3.1,32,2.3,2.14,3.6,3.39,3.3,3.02,17,1.69,1.65,2.25,2.15,13,-0.25,1.89,1.87,2.02,1.99
SC3,22/09/12,East Stirling,Clyde,3,0,H,2,0,H,3.75,3.6,1.91,3.7,3.5,1.8,3.7,3.5,1.8,3.3,3.3,1.9,3.75,3.5,1.73,4.1,3.74,1.93,4,3.2,2,3.6,3.5,1.9,3.9,3.6,1.92,3.75,3.6,1.83,32,4,3.64,3.75,3.49,2,1.88,17,1.77,1.71,2.2,2.05,14,0.5,1.98,1.94,1.94,1.86
SC3,22/09/12,Elgin,Queens Park,0,4,A,0,2,A,2.2,3.6,3,2.2,3.5,2.7,2.2,3.5,2.7,2.2,3.2,2.7,2.2,3.5,2.6,2.31,3.68,3.07,2.4,3.1,3.1,2.25,3.4,2.8,2.3,3.5,3,2.1,3.6,3,32,2.4,2.22,3.6,3.38,3.1,2.86,17,1.64,1.59,2.3,2.27,13,-0.25,1.99,1.96,1.92,1.89
SC3,23/09/12,Rangers,Montrose,4,1,H,1,1,D,1.1,9.5,13,1.08,9,14,1.08,9,14,1.1,7,15,1.07,8,15,,,,1.11,8.5,21,1.1,7.5,17,1.11,9.5,21,1.08,10,17,25,1.11,1.1,10,8.67,21,15.22,15,1.24,1.2,4.33,4.05,1,-2.25,1.78,1.78,1.99,1.99
SC3,06/10/12,Montrose,East Stirling,3,1,H,3,0,H,1.91,3.5,4,1.9,3.5,3.4,1.9,3.5,3.4,1.9,3.3,3.3,1.91,3.5,3.6,1.99,3.91,3.61,1.91,3.5,3.2,1.95,3.4,3.6,1.95,3.5,4,2.05,3.5,3.4,32,2.06,1.96,3.93,3.46,4,3.43,16,1.51,1.46,2.62,2.56,15,-0.5,2.06,2.01,1.92,1.85
SC3,06/10/12,Peterhead,Berwick,1,0,H,0,0,D,1.67,3.8,5,1.67,3.4,4.6,1.67,3.4,4.6,1.7,3.4,3.9,1.73,3.6,4.5,1.719,4.1,4.76,1.67,3.6,4,1.73,3.6,4.33,1.73,3.75,5,1.73,3.75,4.5,32,1.84,1.75,4.1,3.62,4.75,4.14,17,1.57,1.52,2.55,2.44,15,-0.75,2.08,2,1.92,1.86
SC3,06/10/12,Stirling,Rangers,1,0,H,1,0,H,11,7,1.17,10.5,7,1.15,10.5,7,1.15,12,6,1.15,13,7.5,1.14,,,,12,6.5,1.12,11,7.5,1.17,11.5,7.5,1.18,15,7.5,1.14,25,15,12.05,7.5,6.81,1.2,1.16,15,1.5,1.46,2.65,2.56,1,0.25,6.1,6.1,1.11,1.11
SC3,13/10/12,Elgin,Montrose,6,1,H,3,0,H,1.73,4,4.2,1.7,3.6,4.1,1.7,3.6,4.1,1.7,3.4,3.9,1.73,3.6,4.33,1.75,4.17,4.49,1.8,3.75,4.2,1.73,3.75,4,1.75,4,4.33,1.73,3.75,4.33,32,1.8,1.73,4.18,3.7,4.58,4.13,16,1.52,1.46,2.7,2.58,15,-0.5,1.8,1.75,2.18,2.12
SC3,13/10/12,Queens Park,Annan Athletic,2,2,D,1,1,D,1.6,4.2,5,1.53,3.75,5.25,1.53,3.75,5.25,1.55,3.5,4.8,1.57,4.33,5,1.63,4.18,5.5,1.62,4,5,1.57,3.75,5.25,1.6,4.1,5.5,1.57,4.2,5,32,1.64,1.59,4.33,3.87,5.6,4.9,17,1.71,1.64,2.2,2.17,15,-0.75,1.87,1.83,2.1,2.01
SC3,17/10/12,Clyde,Elgin,2,2,D,1,2,A,2.6,3.5,2.25,2.45,3.5,2.4,2.45,3.5,2.4,2.3,3.2,2.5,2.38,3.5,2.38,2.95,3.68,2.38,2.8,3.75,2.3,2.75,3.3,2.38,2.88,3.7,2.3,2.5,3.6,2.4,28,2.97,2.68,3.75,3.39,2.6,2.36,14,1.66,1.59,2.38,2.29,11,0,2.19,2.16,1.76,1.73
SC3,20/10/12,Berwick,Clyde,2,1,H,1,1,D,1.8,3.75,4,1.91,3.5,3.3,1.91,3.5,3.3,1.9,3.3,3.3,1.91,3.6,3.5,1.93,3.78,3.99,1.83,3.6,4,1.9,3.5,3.75,1.9,3.7,3.9,1.83,3.6,4,29,1.91,1.87,3.81,3.5,4.25,3.67,15,1.8,1.72,2.14,2.05,13,-0.5,1.9,1.87,2.03,1.99
SC3,20/10/12,East Stirling,Peterhead,2,1,H,1,1,D,4.33,4,1.7,4.4,3.6,1.65,4.4,3.6,1.65,4.2,3.4,1.65,4.5,4,1.67,4.63,4.04,1.75,4.5,3.75,1.67,4.5,3.6,1.67,4.6,4,1.73,4.33,3.75,1.75,29,4.63,4.28,4.04,3.69,1.75,1.69,15,1.63,1.56,2.4,2.32,13,0.75,1.96,1.93,1.97,1.93
SC3,20/10/12,Elgin,Annan Athletic,2,2,D,2,1,H,1.8,3.8,4,1.8,3.5,3.7,1.8,3.5,3.7,1.85,3.3,3.4,1.8,3.75,3.75,1.82,4.02,4.21,1.8,4,3.6,1.8,3.6,3.8,1.8,4,4.2,1.75,3.8,4.2,29,1.91,1.8,4.02,3.56,4.33,3.86,15,1.59,1.57,2.41,2.32,13,-0.5,1.82,1.79,2.12,2.08
SC3,20/10/12,Rangers,Queens Park,2,0,H,0,0,D,1.14,7,10,1.15,7,10.5,1.15,7,10.5,1.17,5.5,11,1.14,7,15,,,,1.14,7,15,1.14,7.5,11,1.15,7.5,17,1.14,7.5,17,22,1.2,1.15,7.5,6.78,17,12.14,13,1.57,1.52,2.62,2.41,1,-1.75,1.65,1.65,2.18,2.18
SC3,20/10/12,Stirling,Montrose,1,3,A,1,3,A,1.85,4,3.6,1.85,3.6,3.4,1.85,3.6,3.4,1.9,3.3,3.3,1.83,3.75,3.6,1.88,4.01,3.96,1.91,4,3.2,1.83,3.6,3.6,1.87,3.9,3.9,1.91,3.75,3.6,29,1.9,1.84,4,3.58,4.12,3.69,15,1.55,1.51,2.53,2.44,13,-0.5,1.84,1.81,2.08,2.05
SC3,27/10/12,Annan Athletic,East Stirling,5,2,H,2,0,H,1.57,4.1,5.5,1.6,3.8,4.5,1.6,3.8,4.5,1.6,3.5,4.5,1.62,3.75,5,1.685,4.18,4.93,1.53,4,4.5,1.57,3.75,5.5,1.6,4,5.75,1.53,4,5.4,30,1.69,1.62,4.18,3.74,5.9,4.85,17,1.57,1.52,2.55,2.41,14,-1,2.23,2.16,1.83,1.73
SC3,27/10/12,Montrose,Elgin,2,2,D,0,2,A,3,3.5,2.25,2.7,3.5,2.2,2.7,3.5,2.2,2.7,3.2,2.2,2.88,3.6,2.2,3.2,3.9,2.15,2.62,3.5,2.2,2.88,3.4,2.25,3.1,3.5,2.25,3.1,3.4,2.1,30,3.25,2.96,3.9,3.4,2.25,2.16,16,1.5,1.47,2.75,2.55,10,0.25,2.02,1.96,1.94,1.89
SC3,27/10/12,Peterhead,Stirling,2,2,D,2,1,H,1.44,4.5,6.5,1.45,4.2,5.5,1.45,4.2,5.5,1.45,3.8,5.4,1.5,4,6,1.478,4.57,7.17,1.44,4.33,5,1.44,4.33,6,1.45,4.5,7,1.44,4.33,6,30,1.53,1.46,4.57,4.04,7.17,6.02,16,1.58,1.53,2.5,2.37,13,-1.25,2.15,2.11,1.83,1.77
SC3,27/10/12,Queens Park,Berwick,1,1,D,1,1,D,1.75,3.8,4.33,1.65,3.7,4.25,1.65,3.7,4.25,1.7,3.4,3.9,1.73,3.6,4.33,1.806,3.99,4.33,1.62,3.75,4.2,1.73,3.6,4.33,1.8,3.8,4.33,1.73,3.8,4,30,1.81,1.74,3.99,3.59,4.55,4.13,17,1.57,1.53,2.5,2.36,13,-0.75,2.12,2.09,1.83,1.79
SC3,28/10/12,Clyde,Rangers,0,2,A,0,1,A,10,6,1.2,9.25,5.5,1.22,9.25,5.5,1.22,9.5,4.8,1.22,12,6.5,1.2,,,,12,5.5,1.17,12,5.25,1.2,13,6.25,1.22,11,6,1.2,22,12,10.3,6.5,5.57,1.25,1.22,12,1.6,1.57,2.5,2.29,1,0.25,5.1,5.1,1.15,1.15
SC3,10/11/12,Annan Athletic,Stirling,5,2,H,2,0,H,2.1,3.6,3.2,1.83,3.4,3.7,1.83,3.4,3.7,1.75,3.4,3.7,1.73,3.6,3.75,2.03,3.86,3.53,2.05,4,3.1,2,3.4,3.4,2,3.8,3.4,1.95,3.75,3.3,32,2.1,1.96,4,3.47,3.75,3.35,19,1.55,1.5,2.65,2.48,9,-0.75,2.35,2.31,1.68,1.63
SC3,10/11/12,Clyde,Montrose,1,2,A,0,0,D,2.25,3.5,3,2.2,3.5,2.7,2.2,3.5,2.7,2.2,3.2,2.7,2,3.6,2.88,2.29,3.65,3.08,2.3,3.6,2.9,2.25,3.5,2.8,2.25,3.6,3,2.25,3.5,2.88,32,2.3,2.22,3.75,3.39,3.08,2.84,19,1.66,1.6,2.3,2.24,14,-0.25,2.04,1.99,1.9,1.85
SC3,10/11/12,Elgin,Berwick,3,1,H,2,1,H,1.85,3.8,3.8,1.75,3.6,3.8,1.75,3.6,3.8,1.75,3.4,3.7,1.8,3.5,3.5,1.89,3.96,4,1.91,4,3.5,1.8,3.6,3.8,1.85,3.9,3.9,1.8,3.6,4,32,1.91,1.83,4,3.56,4.05,3.69,18,1.6,1.51,2.62,2.42,14,-0.75,2.2,2.14,1.78,1.73
SC3,10/11/12,Rangers,Peterhead,2,0,H,1,0,H,1.17,6.5,12,1.14,7,11,1.14,7,11,1.15,6,12,1.11,7.5,11,,,,1.2,6.5,13,1.17,7,12,1.18,7,13,1.17,7.5,12,24,1.2,1.16,7.5,6.62,15,11.57,16,1.36,1.33,3.35,3.15,1,-1.5,1.55,1.55,2.38,2.38
SC3,13/11/12,Queens Park,East Stirling,1,2,A,1,1,D,1.4,5,6.5,1.35,4.5,6.75,1.35,4.5,6.75,1.35,4,7,1.44,4.2,5,1.36,5.46,8.34,1.36,5,8,1.36,5,6.5,1.36,5.25,8,1.33,4.75,7.5,33,1.44,1.36,5.46,4.7,8.34,6.73,18,1.42,1.37,3.1,2.9,13,-1.25,1.81,1.75,2.19,2.13
SC3,17/11/12,Berwick,Annan Athletic,3,1,H,2,0,H,2.2,3.75,2.9,2.2,3.5,2.7,2.2,3.5,2.7,,,,2.2,3.5,2.62,2.22,3.71,3.17,2.25,3.75,2.7,2.2,3.5,3,2.2,3.7,3.1,2.1,3.6,3,31,2.41,2.26,3.73,3.42,3,2.77,18,1.62,1.58,2.38,2.28,14,-0.25,2.12,2.06,1.82,1.79
SC3,17/11/12,East Stirling,Rangers,2,6,A,1,2,A,13,6,1.14,13.5,7,1.12,13.5,7,1.12,,,,13,7,1.1,,,,15,8,1.12,15,7,1.14,15,8,1.15,13,8,1.12,23,17,13.57,8,6.87,1.2,1.14,14,1.3,1.26,3.85,3.59,1,1.5,2.74,2.74,1.43,1.43
SC3,17/11/12,Montrose,Queens Park,1,1,D,1,0,H,2.75,3.6,2.38,2.85,3.4,2.15,2.85,3.4,2.15,,,,2.88,3.6,2,2.85,3.69,2.42,3.1,3.75,2,2.8,3.6,2.2,2.9,3.6,2.3,2.8,3.5,2.25,27,3.1,2.81,3.7,3.45,2.5,2.25,17,1.62,1.57,2.5,2.31,14,0.25,1.81,1.75,2.19,2.12
SC3,17/11/12,Peterhead,Clyde,1,0,H,1,0,H,1.57,4.2,5.25,1.57,3.75,4.75,1.57,3.75,4.75,,,,1.57,3.75,4.5,1.58,4.16,6.13,1.57,4.5,4.5,1.53,3.8,5.5,1.55,4.33,6,1.53,4,5.4,31,1.62,1.57,4.33,3.86,6.13,5.07,18,1.88,1.77,2.1,1.97,15,-1,2.06,2,1.9,1.84
SC3,17/11/12,Stirling,Elgin,1,4,A,1,4,A,3.1,3.75,2.1,3.1,3.5,2,3.1,3.5,2,,,,2.88,3.6,2,3.45,3.85,2.06,2.88,3.8,2.1,3.2,3.5,2.05,3.3,3.7,2.1,3.4,3.75,1.91,30,3.61,3.21,3.96,3.58,2.1,1.99,17,1.55,1.49,2.75,2.49,14,0.25,2.26,2.17,1.75,1.71
SC3,23/11/12,Queens Park,Stirling,2,1,H,0,0,D,1.53,4.33,5.5,1.5,3.9,5.25,1.5,3.9,5.25,,,,1.5,3.8,5,1.61,4.36,5.6,1.62,4.2,5,1.53,4,5.25,1.5,4.5,6,1.53,4,5,35,1.57,1.52,4.5,4.06,6,5.42,18,1.57,1.53,2.5,2.38,20,-1,1.97,1.93,1.97,1.91
SC3,24/11/12,Annan Athletic,Clyde,1,3,A,0,2,A,1.62,4.1,5,1.55,3.6,5.25,1.55,3.6,5.25,1.55,3.5,4.8,1.67,3.75,3.8,1.67,4.36,4.88,1.73,3.8,4.5,1.62,3.75,5,1.67,4.1,5,1.57,3.8,5,33,1.73,1.6,4.34,3.74,5.3,4.79,18,1.63,1.56,2.5,2.33,17,-1,2.19,2.1,1.79,1.75
SC3,24/11/12,Montrose,Peterhead,2,0,H,2,0,H,2.63,3.5,2.5,2.65,3.5,2.25,2.65,3.5,2.25,2.7,3.2,2.2,2.5,3.5,2.25,2.75,3.62,2.53,2.62,3.5,2.5,2.6,3.3,2.5,2.7,3.6,2.5,2.62,3.6,2.25,33,2.84,2.62,3.7,3.34,2.53,2.39,18,1.63,1.58,2.5,2.29,12,0,2.06,2,1.9,1.85
SC3,25/11/12,East Stirling,Berwick,0,1,A,0,1,A,2.75,3.5,2.4,2.65,3.5,2.25,2.65,3.5,2.25,,,,2.5,3.6,2.25,3.08,3.84,2.22,3,3.5,2.25,2.75,3.3,2.3,2.9,3.7,2.3,2.8,3.6,2.15,32,3.08,2.75,3.84,3.4,2.4,2.28,16,1.57,1.53,2.58,2.39,16,0,2.28,2.15,1.76,1.72
SC3,01/12/12,Berwick,Montrose,1,4,A,1,2,A,2,3.75,3.4,2,3.5,3.1,2,3.5,3.1,2.1,3.2,2.9,2.1,3.5,2.75,2.13,3.73,3.36,2.1,3.5,2.75,2,3.5,3.3,2.05,3.7,3.4,2,3.6,3.3,33,2.15,2.04,3.75,3.46,3.4,3.15,20,1.63,1.54,2.5,2.29,16,-0.5,2.13,2.02,1.87,1.83
SC3,05/12/12,Peterhead,Elgin,1,1,D,1,0,H,2.3,3.6,2.88,2.15,3.5,2.8,2.15,3.5,2.8,2.3,3.2,2.5,2.2,3.5,2.6,2.36,3.85,2.84,2.4,3.5,2.75,2.25,3.4,2.88,2.25,3.6,2.7,2.4,3.4,2.62,30,2.5,2.33,3.82,3.41,2.88,2.68,17,1.64,1.59,2.4,2.29,14,-0.25,2.09,2.05,1.85,1.82
SC3,08/12/12,Annan Athletic,Queens Park,2,3,A,0,1,A,2.63,3.5,2.5,2.3,3.4,2.6,2.3,3.4,2.6,2.45,3.1,2.45,2.38,3.5,2.38,2.7,3.72,2.54,2.62,3.5,2.5,2.5,3.3,2.6,2.62,3.7,2.5,2.5,3.4,2.5,33,2.7,2.54,3.72,3.3,2.65,2.5,18,1.59,1.54,2.46,2.36,15,0,2.06,1.99,1.89,1.86
SC3,08/12/12,Berwick,Peterhead,1,1,D,0,1,A,2.2,3.5,3.1,2.1,3.5,2.85,2.1,3.5,2.85,2.2,3.2,2.7,2.2,3.5,2.6,2.43,3.56,2.92,2.25,3.6,2.9,2.1,3.4,3,2.38,3.5,3,2.15,3.5,3,33,2.43,2.22,3.6,3.34,3.1,2.89,18,1.68,1.63,2.3,2.19,11,-0.25,2.11,2.06,1.85,1.8
