Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,BSH,BSD,BSA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA
SC0,28/08/10,Inverness C,Hamilton,0,1,A,0,1,A,J McKendrick,2,8,1,4,13,14,6,5,2,1,0,0,1.91,3.4,4,1.85,3.35,3.65,1.9,3.4,3.6,1.9,3.2,3.6,1.91,3.4,4,1.8,3.6,3.75,1.91,3.4,4,1.91,3.4,3.75,1.85,3.4,4,1.91,3.3,4,35,1.91,1.84,3.71,3.41,4.5,4.07,26,2.16,2.05,1.77,1.7,18,0,1.5,1.38,3.2,2.85
SC0,28/08/10,Rangers,St Johnstone,2,1,H,1,1,D,C Murray,15,6,10,3,13,14,1,3,3,2,0,0,1.22,6,13,1.18,5.5,12.5,1.2,5.5,11,1.2,5.2,11,1.22,6,12,1.2,5.5,12,1.2,6,15,1.2,6,12,1.2,5.5,15,1.22,5.5,13,34,1.25,1.21,6.5,5.61,17,12.85,23,1.55,1.51,2.6,2.42,15,0,1.05,1.03,13,9.76
SC0,29/08/10,Hearts,Dundee United,1,1,D,1,0,H,C Thomson,14,7,7,5,14,13,8,9,1,2,0,0,2.2,3.4,3.2,2.25,3.25,2.8,2.25,3.25,2.85,2.1,3.2,3.1,2.25,3.3,3.1,2.1,3.25,3.2,2.2,3.3,3.3,2.2,3.2,3.25,2.2,3.25,3.12,2.1,3.3,3.3,35,2.3,2.19,3.4,3.25,3.63,3.15,22,2.2,2.1,1.7,1.66,19,0,1.65,1.56,2.5,2.28
SC0,29/08/10,Motherwell,Celtic,0,1,A,0,0,D,D McDonald,5,18,2,6,11,13,3,5,1,2,1,0,6,3.8,1.57,6,3.6,1.5,5,3.6,1.6,5,3.7,1.55,6,3.75,1.57,5.75,3.6,1.53,6,3.8,1.57,5.5,3.75,1.57,6,3.8,1.53,6,3.75,1.57,34,6.25,5.76,4.2,3.74,1.63,1.57,26,1.79,1.71,2.18,2.04,16,0,4.77,4.21,1.23,1.19
SC0,29/08/10,St Mirren,Hibernian,1,0,H,0,0,D,S O'Reilly,4,7,2,1,11,13,0,5,3,1,0,0,3.1,3.3,2.3,2.9,3.25,2.2,2.85,3.25,2.25,2.6,3.2,2.4,3.1,3.4,2.25,2.85,3.25,2.25,3,3.25,2.38,3,3.25,2.25,3.1,3.2,2.25,3,3.3,2.25,35,3.3,3,3.4,3.24,2.4,2.27,26,2.25,2.1,1.75,1.68,23,0,2.32,2.15,1.75,1.65
SC0,11/09/10,Celtic,Hearts,3,0,H,2,0,H,W Collum,12,6,8,3,10,12,3,4,0,1,0,0,1.33,5,9,1.35,4.5,7,1.35,4.25,8,1.35,4.2,7.5,1.33,5,9,1.35,4.2,8,1.33,4.8,9,1.4,4,8,1.33,5,10,1.36,4.2,8.5,27,1.4,1.36,5.09,4.41,10,8.53,19,1.62,1.59,2.38,2.22,12,0,1.13,1.09,7,6.31
SC0,11/09/10,Dundee United,Aberdeen,3,1,H,3,1,H,M Tumilty,7,4,4,4,8,14,9,10,0,4,0,0,2.1,3.3,3.5,2.1,3.25,3.1,2.1,3.25,3.2,2,3.2,3.3,2,3.5,3.6,2.1,3.25,3.2,2.1,3.25,3.6,2,3.4,3.4,2.1,3.4,3.6,2,3.4,3.4,28,2.13,2.07,3.45,3.28,3.9,3.41,19,2.2,2.11,1.69,1.65,13,0,1.57,1.5,2.63,2.45
SC0,11/09/10,Hamilton,Rangers,1,2,A,0,1,A,A Muir,6,7,3,6,17,18,4,6,2,2,0,0,8,4.5,1.4,6.25,4.25,1.4,7.5,4,1.4,6.5,4,1.4,9,4.5,1.36,7.5,4,1.4,8,4.5,1.4,8,4,1.4,10,4.6,1.36,8,4,1.4,28,10,7.92,4.75,4.26,1.42,1.39,23,1.78,1.69,2.2,2.1,14,0,7,5.88,1.16,1.11
SC0,11/09/10,Hibernian,Inverness C,1,1,D,1,0,H,C Allan,9,11,4,2,11,6,5,7,2,1,0,0,1.83,3.5,4.33,1.7,3.45,4.3,1.8,3.4,4,1.8,3.2,4,1.8,3.5,4.5,1.8,3.4,4,1.83,3.4,4.5,1.83,3.5,4,1.85,3.5,4.2,1.75,3.5,4.33,29,1.92,1.82,3.61,3.41,4.5,4.16,25,2.06,1.98,1.84,1.77,13,0,1.4,1.33,3.4,3.08
SC0,11/09/10,Kilmarnock,St Mirren,2,1,H,1,0,H,S McLean,22,6,8,2,8,11,5,4,1,2,0,1,2.1,3.3,3.5,2,3.25,3.3,2.05,3.25,3.25,2.2,3.2,2.9,2.1,3.3,3.5,2.1,3.25,3.2,2.15,3.2,3.5,2,3.4,3.4,2.2,3.25,3.5,2,3.4,3.4,29,2.25,2.11,3.4,3.24,3.61,3.34,21,2.41,2.27,1.6,1.56,14,0,1.57,1.5,2.63,2.44
SC0,11/09/10,St Johnstone,Motherwell,0,2,A,0,2,A,I Brines,6,6,1,2,13,10,7,1,0,0,0,0,2.38,3.25,3,2.3,3.25,2.7,2.3,3.25,2.8,2.4,3.2,2.6,2.4,3.3,2.9,2.35,3.25,2.7,2.4,3.3,2.9,2.38,3.5,2.63,2.38,3.25,3.1,2.3,3.4,2.75,29,2.45,2.35,3.5,3.25,3.18,2.88,26,2.12,2.01,1.82,1.75,18,0,1.76,1.7,2.25,2.09
SC0,18/09/10,Hibernian,Hamilton,1,1,D,1,1,D,E Norris,8,6,3,3,13,12,5,8,1,1,0,0,1.8,3.5,4.5,1.67,3.5,4.5,1.75,3.4,4.25,1.8,3.2,4,1.8,3.5,4.5,1.75,3.4,4.2,1.91,3.4,4,1.73,3.5,4.5,1.83,3.5,4.4,1.8,3.4,4.5,29,1.88,1.79,3.6,3.44,5,4.37,26,2.1,2,1.83,1.77,12,0,1.33,1.31,3.4,3.2
SC0,18/09/10,Inverness C,Hearts,1,3,A,1,1,D,I Brines,11,11,8,8,11,9,5,9,2,2,0,0,2.63,3.25,2.63,2.5,3.25,2.55,2.5,3.2,2.6,2.55,3.1,2.55,2.6,3.4,2.6,2.55,3.2,2.5,2.6,3.2,2.7,2.5,3.25,2.63,2.5,3.12,2.88,2.5,3.25,2.75,29,2.65,2.48,3.3,3.22,2.9,2.72,22,2.24,2.14,1.72,1.65,22,0,1.91,1.8,2.11,1.99
SC0,18/09/10,Motherwell,Aberdeen,1,1,D,1,0,H,S O'Reilly,9,5,4,2,14,9,2,2,1,0,0,0,2.2,3.3,3.25,2.15,3.25,3,2.15,3.25,3.1,2.3,3.1,2.8,2.2,3.4,3.2,2.2,3.2,3,2.15,3.3,3.4,2.1,3.4,3.2,2.2,3.25,3.4,2.1,3.25,3.4,28,2.28,2.17,3.45,3.26,3.65,3.22,22,2.23,2.12,1.72,1.66,13,0,1.67,1.55,2.5,2.33
SC0,18/09/10,Rangers,Dundee United,4,0,H,1,0,H,D McDonald,17,5,12,2,6,12,4,5,0,2,0,0,1.36,4.5,8.5,1.35,4.5,7,1.35,4.33,8,1.37,4.2,7.5,1.36,4.5,9,1.35,4.2,8,1.36,4.8,8,1.44,4.5,6,1.4,4.75,7.5,1.44,4.2,7,29,1.46,1.4,4.79,4.31,9,7.43,21,1.65,1.6,2.37,2.22,12,0,1.14,1.12,6.5,5.73
SC0,18/09/10,St Johnstone,St Mirren,2,1,H,2,1,H,J McKendrick,9,4,6,1,13,14,2,3,0,2,0,0,2,3.4,3.75,2.05,3.25,3.2,2,3.25,3.4,2.1,3.1,3.2,2.1,3.4,3.4,2.05,3.3,3.2,2.1,3.2,3.6,2.1,3.2,3.4,2,3.3,4,2,3.3,3.6,28,2.1,2.03,3.4,3.28,3.95,3.54,21,2.28,2.15,1.7,1.64,13,0,1.5,1.46,2.74,2.57
SC0,19/09/10,Kilmarnock,Celtic,1,2,A,1,1,D,C Thomson,2,6,1,3,10,10,2,10,3,2,0,0,7.5,4.5,1.4,6.25,4.25,1.4,7,4.25,1.4,6.5,4,1.4,8,4.33,1.4,7.5,4,1.4,8,4.5,1.4,7,4,1.44,8,4.6,1.4,7,4.33,1.44,29,8.85,7.53,4.74,4.25,1.44,1.41,21,1.75,1.68,2.2,2.08,12,0,6,5.5,1.15,1.12
SC0,25/09/10,Celtic,Hibernian,2,1,H,1,0,H,C Murray,12,4,6,1,11,7,9,0,1,1,0,0,1.3,5,10,1.3,4.75,7.75,1.3,4.5,9,1.27,4.8,9,1.3,5.5,9,1.29,4.6,9.5,1.3,5,11,1.29,5,9,1.3,5,10,1.3,4.75,9,28,1.33,1.29,5.5,4.9,11,9.59,22,1.57,1.55,2.4,2.32,12,0,1.1,1.07,9,7.35
SC0,25/09/10,Dundee United,St Johnstone,1,0,H,0,0,D,B Winter,7,5,3,1,11,9,7,5,3,7,0,0,1.91,3.4,4,1.72,3.4,4.25,1.85,3.3,4,1.85,3.2,3.8,1.91,3.4,4,1.85,3.25,4,2,3.2,4,1.73,3.5,4.5,1.95,3.4,3.8,1.83,3.4,4,29,2.05,1.89,3.5,3.34,4.5,3.97,28,2,1.9,1.95,1.84,13,0,1.4,1.37,3,2.9
SC0,25/09/10,Hamilton,Kilmarnock,2,2,D,2,0,H,C Allan,8,6,6,3,12,15,9,4,5,0,0,0,2.3,3.2,3.2,2.3,3.25,2.7,2.3,3.25,2.8,2.3,3.1,2.8,2.3,3.4,3,2.3,3.25,2.8,2.4,3.2,3,2.25,3.25,3,2.38,3.12,3.2,2.25,3.2,3,29,2.42,2.32,3.4,3.22,3.4,2.97,23,2.25,2.15,1.7,1.64,18,0,1.72,1.65,2.28,2.17
SC0,25/09/10,Hearts,Motherwell,0,2,A,0,0,D,M Tumilty,6,14,1,11,20,10,6,5,2,1,0,0,2.1,3.3,3.5,1.9,3.3,3.6,2,3.2,3.5,2,3.2,3.3,2,3.3,3.75,2.1,3.25,3.2,2.2,3.2,3.4,2,3.25,3.6,2.1,3.3,3.5,1.91,3.3,3.75,29,2.19,2.05,3.4,3.26,3.75,3.51,26,2.25,2.14,1.7,1.66,14,0,1.54,1.46,2.75,2.54
SC0,25/09/10,St Mirren,Inverness C,1,2,A,0,1,A,S Finnie,8,10,4,3,9,16,8,7,1,2,0,0,2.5,3.2,2.88,2.2,3.25,2.9,2.25,3.25,2.9,2.3,3.1,2.8,2.25,3.4,3.1,2.3,3.25,2.8,2.5,3.1,2.9,2.38,3.2,2.88,2.5,3.2,2.88,2.4,3.2,2.75,29,2.52,2.37,3.3,3.17,3.2,2.92,23,2.32,2.18,1.7,1.62,18,0,1.79,1.71,2.16,2.07
SC0,26/09/10,Aberdeen,Rangers,2,3,A,2,1,H,W Collum,6,13,4,8,20,9,4,4,2,1,1,0,5.5,3.8,1.62,5.25,3.8,1.53,5,3.6,1.62,4.8,3.6,1.6,6,3.75,1.57,5.25,3.6,1.57,5.5,3.75,1.62,5.5,3.75,1.57,6,4,1.57,5,3.5,1.67,29,6.45,5.57,4.16,3.69,1.67,1.59,27,1.92,1.8,2.06,1.95,14,0,4.4,4.02,1.25,1.21
SC0,02/10/10,Celtic,Hamilton,3,1,H,1,1,D,S O'Reilly,15,8,7,6,11,10,9,5,1,1,0,0,1.17,7,15,1.15,6,13,1.17,6,13,1.15,6,13,1.17,7,15,1.15,6.5,13,1.17,6.5,17,1.18,6,13,1.18,7,15,1.17,6.5,17,29,1.2,1.17,7,6.48,17.1,14.19,20,1.5,1.43,2.8,2.63,12,0,1.07,1.03,15,11.53
SC0,02/10/10,Hearts,Rangers,1,2,A,1,0,H,C Thompson,9,20,6,12,20,12,4,9,5,1,0,0,5,3.75,1.67,4.8,3.5,1.62,5,3.5,1.65,4.5,3.5,1.65,5.5,3.75,1.62,4.75,3.5,1.65,5.5,3.75,1.62,5,3.5,1.67,5.5,3.8,1.62,5.5,3.75,1.62,30,6,5.33,4.09,3.67,1.67,1.62,25,1.8,1.72,2.15,2.05,15,0,4.4,3.9,1.25,1.22
SC0,02/10/10,Inverness C,Aberdeen,2,0,H,1,0,H,C Murray,8,7,3,2,6,14,4,4,1,3,0,0,2.4,3.3,2.88,2.4,3.25,2.6,2.35,3.25,2.75,2.4,3.2,2.6,2.4,3.3,2.88,2.4,3.1,2.75,2.38,3.3,2.9,2.4,3.25,2.75,2.5,3.25,2.88,2.5,3.25,2.75,30,2.59,2.43,3.36,3.24,2.9,2.78,22,2.22,2.09,1.72,1.68,24,0,1.87,1.77,2.2,2.02
SC0,02/10/10,Kilmarnock,Dundee United,1,2,A,0,1,A,J McKendrick,20,13,9,11,7,16,7,3,1,3,1,0,2.75,3.3,2.5,2.55,3.25,2.45,2.65,3.25,2.45,2.6,3.1,2.5,2.8,3.3,2.5,2.5,3.2,2.55,2.9,3.3,2.38,2.75,3.25,2.4,2.88,3.2,2.5,2.75,3.25,2.5,30,2.96,2.73,3.3,3.21,2.6,2.48,20,2.25,2.15,1.7,1.63,24,0,2.11,2,1.85,1.78
SC0,02/10/10,Motherwell,St Mirren,3,1,H,1,0,H,I Brines,12,11,10,4,12,18,6,2,1,4,0,0,1.67,3.75,5,1.6,3.4,5.25,1.67,3.5,4.75,1.7,3.4,4.3,1.73,3.5,5,1.65,3.4,5,1.67,3.5,5.5,1.67,3.5,5,1.62,3.6,6,1.67,3.5,5.5,30,1.73,1.66,3.82,3.52,6,5.12,20,2.2,2.13,1.7,1.64,15,0,1.33,1.23,4.2,3.8
SC0,02/10/10,St Johnstone,Hibernian,2,0,H,0,0,D,D McDonald,13,8,5,2,5,9,6,2,0,2,0,0,2.4,3.4,2.8,2.4,3.25,2.6,2.4,3.25,2.75,2.4,3.2,2.6,2.4,3.3,2.88,2.3,3.2,2.8,2.38,3.3,2.9,2.38,3.2,2.88,2.4,3.3,2.88,2.38,3.25,2.9,30,2.5,2.39,3.4,3.24,3,2.83,24,2.18,2.07,1.76,1.7,20,0,1.77,1.71,2.2,2.08
SC0,16/10/10,Aberdeen,Hearts,0,1,A,0,0,D,M Tumilty,5,14,2,6,13,14,3,7,3,4,0,0,2.5,3.2,2.88,2.25,3.25,2.8,2.35,3.2,2.8,2.3,3.1,2.8,2.38,3.4,2.88,2.35,3.2,2.75,2.5,3.1,2.9,2.38,3.3,2.75,2.6,3.25,2.75,2.5,3.25,2.75,31,2.64,2.41,3.36,3.22,3.1,2.84,23,2.2,2.08,1.75,1.69,19,0,1.87,1.77,2.08,2.04
SC0,16/10/10,Hibernian,Kilmarnock,2,1,H,2,1,H,I Brines,5,8,3,3,12,14,4,7,1,1,0,0,2,3.4,3.7,1.88,3.35,3.55,1.95,3.3,3.5,2,3.2,3.3,2,3.4,3.75,1.9,3.25,3.75,2.05,3.2,3.75,2,3.3,3.5,2,3.5,3.75,2.05,3.3,3.6,30,2.05,1.98,3.57,3.34,4,3.64,25,2.25,2.13,1.73,1.67,13,-0.5,2.04,2,1.91,1.85
SC0,16/10/10,Inverness C,St Johnstone,1,1,D,0,1,A,A Muir,9,8,6,2,14,18,7,6,2,3,0,0,2.25,3.25,3.2,2.1,3.25,3.05,2.2,3.25,3,2.2,3.1,3,2.2,3.3,3.25,2.2,3.25,2.95,2.3,3.2,3.1,2.2,3.3,3,2.25,3.3,3.2,2.25,3.3,3.1,30,2.41,2.25,3.36,3.24,3.3,3.07,25,2.25,2.13,1.75,1.67,15,0,1.71,1.63,2.35,2.22
SC0,16/10/10,Rangers,Motherwell,4,1,H,0,1,A,S Finnie,17,11,8,4,4,8,5,3,2,1,0,0,1.36,4.5,9,1.3,4.75,7.75,1.33,4.5,8.25,1.37,4,7.5,1.3,5,10,1.3,4.75,8,1.36,4.5,9,1.33,4.5,9,1.36,4.75,9,1.33,4.75,9,31,1.4,1.34,5.14,4.61,10,8.5,22,1.65,1.62,2.25,2.2,11,-1.25,1.89,1.84,2.06,2.02
SC0,16/10/10,St Mirren,Hamilton,2,2,D,0,1,A,W Collum,3,5,3,4,16,16,6,8,5,3,0,0,2.4,3.3,2.88,2.3,3.1,2.8,2.3,3.2,2.8,2.3,3.1,2.8,2.3,3.3,3,2.3,3.2,2.8,2.5,3.1,2.9,2.38,3.2,2.88,2.6,3.25,2.75,2.4,3.2,2.9,31,2.5,2.38,3.42,3.21,3,2.88,25,2.25,2.09,1.75,1.69,19,0,1.83,1.75,2.12,2.06
SC0,17/10/10,Dundee United,Celtic,1,2,A,1,1,D,D McDonald,12,25,8,14,12,11,9,11,4,4,0,0,5,3.75,1.67,4.6,3.5,1.65,4.75,3.6,1.65,4.3,3.4,1.7,5,3.5,1.73,5,3.4,1.65,4.5,3.75,1.73,4.5,3.5,1.73,4.75,4,1.67,5,3.5,1.73,28,5.24,4.91,4.06,3.61,1.75,1.68,26,1.74,1.68,2.25,2.11,12,0.75,2.05,1.98,1.92,1.89
SC0,23/10/10,Aberdeen,Hibernian,4,2,H,2,0,H,C Thomson,6,14,4,8,10,11,4,8,0,2,0,0,2.38,3.2,3,2.25,3.25,2.8,2.3,3.2,2.8,2.3,3.1,2.8,2.38,3.3,2.9,2.3,3.2,2.8,2.5,3,3,2.38,3.25,2.8,2.4,3.25,3.1,2.38,3.25,2.8,31,2.46,2.35,3.3,3.22,3.12,2.91,27,2.23,2.12,1.75,1.67,16,0,1.75,1.68,2.22,2.12
SC0,23/10/10,Hamilton,St Johnstone,1,2,A,0,1,A,M Tumilty,4,4,3,2,12,10,4,4,3,3,0,0,2.5,3.25,2.8,2.3,3.25,2.7,2.4,3.2,2.7,2.3,3.1,2.8,2.38,3.4,2.88,2.3,3.2,2.8,2.6,3,2.9,2.38,3.25,2.8,2.6,3.25,2.88,2.38,3.25,2.8,31,2.6,2.42,3.37,3.23,2.95,2.8,27,2.2,2.11,1.76,1.68,20,0,1.85,1.77,2.11,2.04
SC0,23/10/10,Hearts,St Mirren,3,0,H,2,0,H,C Murray,9,5,5,3,13,14,8,2,0,2,0,0,1.57,3.75,6,1.62,3.5,4.75,1.6,3.6,5,1.65,3.5,4.5,1.67,3.5,5.5,1.6,3.6,5,1.67,3.5,5.5,1.62,3.5,5.5,1.62,4,6,1.57,3.5,6,31,1.67,1.6,4.1,3.66,6,5.49,27,2.22,2.11,1.75,1.68,12,-0.75,1.88,1.8,2.16,2.08
SC0,23/10/10,Kilmarnock,Inverness C,1,2,A,0,1,A,E Norris,11,8,6,5,14,6,6,9,3,2,0,0,2.3,3.3,3.1,2.3,3.25,2.7,2.3,3.2,2.8,2.3,3.1,2.8,2.38,3.4,2.88,2.3,3.2,2.8,2.4,3.2,3,2.38,3.25,2.8,2.38,3.4,3.1,2.38,3.25,2.8,31,2.4,2.34,3.46,3.25,3.12,2.89,28,2.16,2.07,1.79,1.71,18,0,1.73,1.69,2.25,2.13
SC0,23/10/10,Motherwell,Dundee United,2,1,H,1,0,H,S McLean,10,1,5,0,7,21,10,3,2,2,0,0,2.4,3.25,2.9,2.3,3.25,2.7,2.3,3.2,2.8,2.3,3.1,2.8,2.4,3.4,2.8,2.3,3.2,2.8,2.5,3,3,2.38,3.25,2.8,2.38,3.4,3.1,2.38,3.25,2.8,31,2.5,2.36,3.42,3.25,3.14,2.87,28,2.06,1.98,1.88,1.78,19,0,1.75,1.7,2.21,2.11
SC0,24/10/10,Celtic,Rangers,1,3,A,1,0,H,W Collum,15,7,7,4,16,15,11,1,3,2,0,0,2.3,3.2,3.1,2.2,3.25,2.9,2.2,3.2,3,2.2,3.1,3,2.25,3.4,3.1,2.2,3.2,3,2.38,3.1,3.5,2.38,3.2,2.88,2.25,3.25,3.5,2.2,3.3,3,31,2.38,2.24,3.35,3.24,3.54,3.12,29,2.07,1.96,1.86,1.8,18,0,1.67,1.6,2.41,2.25
SC0,30/10/10,Dundee United,Hibernian,1,0,H,0,0,D,S Finnie,8,2,5,0,12,14,3,6,1,1,0,0,2.05,3.3,3.6,2,3.25,3.3,2,3.25,3.4,2,3.2,3.3,2,3.5,3.6,2,3.25,3.4,2.05,3.3,3.6,2,3.25,3.4,2.05,3.6,3.6,2,3.3,3.5,29,2,1.95,3.75,3.4,4.06,3.68,27,1.92,1.81,2.08,1.95,13,-0.5,1.95,1.92,1.98,1.95
SC0,30/10/10,Motherwell,Hamilton,0,1,A,0,1,A,C Thomson,7,10,1,5,14,13,10,2,1,3,0,0,1.8,3.5,4.5,1.65,3.5,4.6,1.67,3.6,4.5,1.65,3.5,4.5,1.73,3.5,5,1.67,3.4,4.75,1.73,3.6,4.75,1.67,3.5,4.5,1.8,3.6,4.75,1.67,3.5,5,29,1.85,1.75,3.75,3.49,5,4.59,28,1.93,1.84,2,1.92,13,-0.75,2.12,2.09,1.84,1.8
