SC1,18/09/04,Hamilton,Clyde,0,1,A,0,1,A,2.5,3.5,2.25,2.7,3.5,2.15,2.5,3.35,2.3,2.5,3.3,2.2,2.25,3.5,2.5,2.6,3.4,2.25,2.6,3.4,2.25,1.43,2.3,0.5,,,,,,,,,,,
SC1,18/09/04,Partick,Queen of Sth,1,2,A,1,0,H,1.57,3.75,4.5,1.65,3.65,4.15,1.55,3.75,4.7,1.55,3.7,4.2,1.67,3.6,4,1.62,3.5,4.5,1.53,4,4.5,1.55,2.09,-0.5,,,,,,,,,,,
SC1,18/09/04,Raith Rvs,St Mirren,0,3,A,0,1,A,3.4,3.5,1.83,3.6,3.65,1.75,3.15,3.75,1.85,3,3.3,1.9,3,3.4,2,3.4,3.5,1.83,3.2,3.75,1.83,1.71,1.85,-0.5,,,,,,,,,,,
SC1,18/09/04,St Johnstone,Falkirk,1,2,A,0,2,A,2.5,3.5,2.25,2.3,3.5,2.5,2.4,3.45,2.4,2.3,3.4,2.3,2.2,3.5,2.62,2.38,3.5,2.38,2.5,3.4,2.3,2.4,1.42,-0.5,,,,,,,,,,,
SC1,25/09/04,Falkirk,Clyde,1,1,D,1,0,H,1.83,3.5,3.4,1.9,3.45,3.25,1.9,3.4,3.3,1.9,3.3,3,1.91,3.5,3.2,1.91,3.4,3.25,1.95,3.6,3,1.9,1.67,-0.5,,,,,,,,,,,
SC1,25/09/04,Hamilton,Ross County,1,2,A,1,1,D,2.37,3.5,2.37,2.3,3.45,2.5,2.25,3.5,2.55,2.2,3.3,2.5,2.25,3.5,2.5,2.38,3.5,2.38,2.25,3.6,2.5,2.25,1.48,-0.5,,,,,,,,,,,
SC1,25/09/04,Raith Rvs,Queen of Sth,1,2,A,1,1,D,2.6,3.5,2.2,2.6,3.5,2.2,2.7,3.5,2.15,2.8,3.3,2,2.88,3.6,2,2.8,3.4,2.1,2.8,3.6,2.05,1.52,2.15,0.5,,,,,,,,,,,
SC1,25/09/04,St Johnstone,Partick,2,1,H,0,0,D,2.3,3.4,2.5,2.25,3.5,2.55,2.25,3.4,2.6,2.2,3.3,2.5,2.2,3.5,2.62,2.25,3.4,2.6,2.3,3.4,2.5,2.25,1.47,-0.5,,,,,,,,,,,
SC1,25/09/04,St Mirren,Airdrie Utd,1,1,D,1,0,H,1.5,3.6,5.5,1.55,3.75,4.75,1.5,3.8,5.2,1.7,3.4,3.6,1.57,3.75,4.5,1.5,3.6,5.5,1.57,3.75,4.5,1.5,2.2,-0.5,,,,,,,,,,,
SC1,02/10/04,Airdrie Utd,Hamilton,0,2,A,0,0,D,2.2,3.4,2.62,2.1,3.45,2.8,2.15,3.45,2.7,2.1,3.3,2.6,2.1,3.5,2.75,2.1,3.4,2.8,2.2,3.5,2.62,2.15,1.51,-0.5,,,,,,,,,,,
SC1,02/10/04,Clyde,St Johnstone,1,0,H,1,0,H,2.25,3.5,2.5,1.85,3.5,3.4,2.2,3.5,2.6,2.2,3.3,2.5,1.91,3.5,3.2,2.2,3.4,2.62,2.25,3.6,2.5,2.2,1.49,-0.5,,,,,,,,,,,
SC1,02/10/04,Partick,Raith Rvs,2,0,H,2,0,H,1.44,3.75,6,1.6,3.75,4.3,1.45,4,5.5,1.45,3.8,4.5,1.44,4,5.5,1.44,3.75,6,1.4,4.33,5.5,1.45,2.32,-0.5,,,,,,,,,,,
SC1,02/10/04,Queen of Sth,St Mirren,2,1,H,2,0,H,2.37,3.5,2.37,2.6,3.5,2.2,2.55,3.5,2.25,2.35,3.2,2.35,2.5,3.5,2.25,2.6,3.5,2.2,2.62,3.5,2.2,1.48,2.25,0.5,,,,,,,,,,,
SC1,02/10/04,Ross County,Falkirk,0,1,A,0,1,A,2.5,3.5,2.25,2.5,3.45,2.3,2.55,3.5,2.25,2.6,3.3,2.1,2.5,3.5,2.25,2.6,3.5,2.2,2.7,3.5,2.15,1.48,2.25,0.5,,,,,,,,,,,
SC1,16/10/04,Airdrie Utd,Partick,4,2,H,2,1,H,2.62,3.4,2.2,2.6,3.25,2.35,2.65,3.4,2.2,2.5,3.3,2.2,2.62,3.5,2.2,2.62,3.5,2.2,2.62,3.5,2.2,1.49,2.2,0.5,,,,,,,,,,,
SC1,16/10/04,Clyde,Raith Rvs,2,0,H,2,0,H,1.33,4.5,6.5,1.4,4,6.25,1.33,4.5,6.5,1.35,3.9,6,1.25,5,8,1.33,4.33,7,1.33,4.5,6.5,1.33,2.66,-0.5,,,,,,,,,,,
SC1,16/10/04,Hamilton,Falkirk,0,1,A,0,0,D,3.2,3.5,1.9,3.2,3.3,2,3.2,3.45,1.92,3,3.3,1.9,3.4,3.5,1.83,3.25,3.4,1.91,3.1,3.6,1.9,1.66,1.92,0.5,,,,,,,,,,,
SC1,16/10/04,Queen of Sth,St Johnstone,0,1,A,0,0,D,2.25,3.5,2.5,2.2,3.2,2.8,2.32,3.5,2.45,2.35,3.2,2.35,2.25,3.5,2.5,2.25,3.4,2.6,2.37,3.5,2.37,2.32,1.44,-0.5,,,,,,,,,,,
SC1,16/10/04,St Mirren,Ross County,3,2,H,1,1,D,1.9,3.4,3.25,2.1,3,3.2,2.05,3.3,3,2,3.3,2.8,2,3.4,3,1.91,3.5,3.2,2.05,3.6,2.8,2.05,1.57,-0.5,,,,,,,,,,,
SC1,23/10/04,Falkirk,St Mirren,0,0,D,0,0,D,1.8,3.5,3.5,1.75,3.5,3.8,1.81,3.5,3.5,1.8,3.3,3.3,1.73,3.5,3.75,1.8,3.4,3.6,1.8,3.5,3.5,1.81,1.75,-0.5,,,,,,,,,,,
SC1,23/10/04,Partick,Clyde,0,0,D,0,0,D,2.25,3.5,2.5,2.3,3.45,2.5,2.35,3.35,2.5,2.35,3.2,2.35,2.5,3.25,2.38,2.38,3.5,2.38,2.37,3.5,2.37,2.35,1.43,-0.5,,,,,,,,,,,
SC1,23/10/04,Raith Rvs,Hamilton,2,2,D,1,1,D,2.75,3.5,2.1,2.55,3.5,2.25,2.85,3.5,2.05,2.8,3.3,2.1,2.75,3.5,2.1,2.8,3.4,2.1,2.8,3.6,2.05,1.57,2.05,0.5,,,,,,,,,,,
SC1,23/10/04,Ross County,Queen of Sth,1,0,H,0,0,D,2.1,3.5,2.75,2.2,3.5,2.6,2.2,3.5,2.6,2.2,3.3,2.6,2.25,3.5,2.5,2.2,3.5,2.6,2.3,3.4,2.5,2.2,1.49,-0.5,,,,,,,,,,,
SC1,23/10/04,St Johnstone,Airdrie Utd,1,1,D,0,0,D,1.72,3.6,3.75,1.65,3.5,4.3,1.7,3.5,4,1.7,3.4,3.6,1.67,3.6,4,1.67,3.6,4,1.7,3.6,3.8,1.7,1.87,-0.5,,,,,,,,,,,
SC1,30/10/04,Airdrie Utd,Falkirk,1,3,A,0,2,A,3.5,3.5,1.8,4,3.5,1.7,3.6,3.45,1.8,3.4,3.3,1.8,3.4,3.5,1.83,3.5,3.5,1.8,3.5,3.5,1.8,1.76,1.8,0.5,,,,,,,,,,,
SC1,30/10/04,Clyde,Queen of Sth,2,0,H,2,0,H,1.72,3.6,3.75,1.85,3.5,3.35,1.75,3.5,3.75,1.7,3.4,3.8,1.67,3.4,4.33,1.73,3.5,3.8,1.72,3.6,3.75,1.75,1.81,-0.5,,,,,,,,,,,
SC1,30/10/04,Hamilton,St Mirren,2,2,D,1,1,D,2.62,3.4,2.2,2.7,3.35,2.2,2.75,3.4,2.15,2.7,3.3,2.1,2.62,3.5,2.2,2.75,3.5,2.1,2.87,3.5,2.05,1.52,2.15,0.5,,,,,,,,,,,
SC1,30/10/04,Partick,Ross County,4,0,H,2,0,H,1.9,3.5,3.2,2.2,3.45,2.65,2.1,3.4,2.85,2,3.3,2.9,2.2,3.5,2.62,2,3.4,3,2.1,3.6,2.7,2.1,1.55,-0.5,,,,,,,,,,,
SC1,30/10/04,Raith Rvs,St Johnstone,1,0,H,1,0,H,4,3.6,1.66,4.65,3.8,1.55,4,3.65,1.67,3.8,3.4,1.7,3.5,3.5,1.8,4,3.6,1.67,4,3.6,1.66,1.91,1.67,0.5,,,,,,,,,,,
SC1,06/11/04,Queen of Sth,Airdrie Utd,1,0,H,0,0,D,1.83,3.4,3.5,1.85,3.4,3.5,2,3.5,2.95,2.1,3.3,2.7,1.91,3.5,3.2,2,3.4,3,2.15,3.6,2.62,2,1.6,-0.5,,,,,,,,,,,
SC1,06/11/04,St Johnstone,Hamilton,3,0,H,1,0,H,1.72,3.6,3.75,1.7,3.5,4,1.75,3.5,3.75,1.8,3.4,3.3,1.73,3.5,3.75,1.73,3.6,3.75,1.8,3.6,3.4,1.75,1.81,-0.5,,,,,,,,,,,
SC1,06/11/04,St Mirren,Clyde,0,0,D,0,0,D,2.3,3.4,2.5,2.3,3.4,2.55,2.3,3.45,2.5,2.3,3.2,2.4,2.25,3.4,2.62,2.25,3.4,2.6,2.3,3.4,2.5,2.3,1.45,-0.5,,,,,,,,,,,
SC1,13/11/04,Airdrie Utd,Clyde,3,1,H,2,0,H,3,3.4,2,3.2,3.4,1.95,3.05,3.4,2,3,3.4,1.9,3,3.4,2,3,3.4,2,3,3.6,1.95,1.61,2,0.5,,,,,,,,,,,,
SC1,13/11/04,Hamilton,Queen of Sth,1,0,H,0,0,D,2.5,3.4,2.3,2.6,3.4,2.25,2.6,3.4,2.25,2.6,3.3,2.2,2.5,3.5,2.25,2.6,3.4,2.25,2.62,3.5,2.2,1.47,2.25,0.5,,,,,,,,,,,,
SC1,13/11/04,Partick,St Mirren,0,3,A,0,0,D,2.1,3.5,2.75,2.3,3.2,2.7,2.25,3.4,2.6,2.2,3.3,2.6,2.25,3.4,2.62,2.25,3.3,2.62,2.25,3.6,2.5,2.25,1.47,-0.5,,,,,,,,,,,,
SC1,13/11/04,Raith Rvs,Falkirk,0,2,A,0,1,A,6,3.75,1.44,5.6,3.6,1.5,6,3.8,1.44,4.8,3.9,1.45,5,3.5,1.57,6,3.75,1.44,5.5,4,1.44,2.33,1.44,0.5,,,,,,,,,,,,
SC1,13/11/04,St Johnstone,Ross County,1,1,D,1,0,H,1.9,3.5,3.2,1.8,3.6,3.4,1.83,3.5,3.45,1.9,3.4,3,1.91,3.5,3.2,1.91,3.5,3.2,2.05,3.6,2.8,1.83,1.74,-0.5,,,,,,,,,,,,
SC1,20/11/04,Clyde,Hamilton,2,1,H,1,1,D,1.61,3.6,4.33,1.5,3.9,5,1.55,3.8,4.7,1.55,3.6,4.4,1.57,3.75,4.5,1.53,3.6,5,1.53,4,4.5,1.55,2.1,-0.5,,,,,,,,,,,,
SC1,20/11/04,Falkirk,St Johnstone,3,1,H,1,1,D,1.72,3.6,3.75,1.75,3.3,4,1.73,3.6,3.75,1.75,3.3,3.6,1.62,4,4,1.67,3.6,4,1.72,3.75,3.6,1.73,1.84,-0.5,,,,,,,,,,,,
SC1,20/11/04,Queen of Sth,Partick,1,0,H,0,0,D,2.3,3.4,2.5,2.3,3.2,2.65,2.3,3.4,2.55,2.3,3.3,2.4,2,3.6,2.88,2.3,3.4,2.5,2.4,3.4,2.4,2.3,1.46,-0.5,,,,,,,,,,,,
SC1,20/11/04,Ross County,Airdrie Utd,1,2,A,1,1,D,1.9,3.5,3.25,2,3.25,3.2,2.1,3.6,2.7,2.1,3.3,2.8,2,3.4,3,2.1,3.5,2.75,2.15,3.6,2.62,2.1,1.54,-0.5,,,,,,,,,,,,
SC1,20/11/04,St Mirren,Raith Rvs,1,0,H,0,0,D,1.33,4.5,6.5,1.4,3.8,7,1.37,4.2,6.5,1.4,4,5.4,1.36,4,7,1.36,4.33,6,1.36,4.5,6,1.37,2.55,-0.5,,,,,,,,,,,,
SC1,23/11/04,Falkirk,Partick,3,0,H,0,0,D,1.5,3.6,5.5,1.5,3.7,5.35,1.55,3.75,4.75,1.6,3.5,4.2,1.44,4,5.5,1.53,4,4.5,1.5,4,4.8,1.55,2.1,-0.5,,,,,,,,,,,,
SC1,23/11/04,Ross County,Raith,1,1,D,1,0,H,1.5,3.6,5.5,1.55,3.45,5.35,1.5,3.6,5.5,1.55,3.6,4.4,1.53,3.75,5,1.5,3.8,5,1.53,4,4.5,1.5,2.18,-0.5,,,,,,,,,,,,
SC1,27/11/04,Falkirk,Ross County,2,2,D,0,1,A,1.4,3.75,7,1.5,3.6,6,1.5,3.8,5.2,1.5,3.8,4.4,1.5,3.6,5.5,1.5,3.75,5.25,1.5,4,4.8,1.5,2.2,-0.5,,,,,,,,,,,,
SC1,27/11/04,Hamilton,Airdrie Utd,1,3,A,1,2,A,2.25,3.5,2.5,2.25,3.2,2.8,2.4,3.25,2.5,2.35,3.3,2.35,2.25,3.5,2.5,2.38,3.5,2.38,2.5,3.3,2.37,2.4,1.41,-0.5,,,,,,,,,,,,
SC1,27/11/04,Raith Rvs,Partick,0,0,D,0,0,D,3,3.4,2,3.1,3.2,2.1,3.1,3.35,2,3,3.4,1.9,3.2,3.5,1.91,3,3.4,2,3,3.6,1.95,1.61,2,0.5,,,,,,,,,,,,
SC1,27/11/04,St Johnstone,Clyde,3,0,H,0,0,D,2.37,3.5,2.37,2.35,3.25,2.65,2.45,3.25,2.45,2.4,3.3,2.3,2.5,3.5,2.25,2.5,3.5,2.3,2.5,3.4,2.3,2.45,1.4,-0.5,,,,,,,,,,,,
SC1,27/11/04,St Mirren,Queen of Sth,2,2,D,0,0,D,1.72,3.6,3.75,1.8,3.35,3.85,1.75,3.5,3.75,1.8,3.3,3.4,1.73,3.5,3.75,1.73,3.75,3.6,1.72,3.75,3.6,1.75,1.81,-0.5,,,,,,,,,,,
SC1,04/12/04,Airdrie Utd,St Mirren,3,2,H,1,1,D,2.5,3.4,2.3,2.5,3.2,2.5,2.4,3.45,2.4,2.4,3.1,2.4,2.25,3.5,2.5,2.5,3.4,2.3,2.37,3.5,2.37,2.4,1.42,-0.5,,,,,,,,,,,
SC1,04/12/04,Clyde,Falkirk,0,2,A,0,2,A,2.5,3.5,2.25,2.6,3.5,2.25,2.65,3.45,2.2,2.6,3.2,2.2,2.38,3.5,2.38,2.6,3.4,2.25,2.75,3.5,2.1,1.5,2.2,0.5,,,,,,,,,,,
SC1,04/12/04,Partick,St Johnstone,0,4,A,0,2,A,2.37,3.5,2.37,2.5,3.4,2.4,2.5,3.4,2.35,2.6,3.2,2.2,2.25,3.5,2.5,2.38,3.5,2.38,2.6,3.4,2.25,1.44,2.35,0.5,,,,,,,,,,,
SC1,04/12/04,Queen of Sth,Raith Rvs,2,0,H,1,0,H,1.53,4,4.5,1.55,3.7,5.1,1.55,3.7,4.8,1.55,3.7,4.2,1.5,3.6,5.5,1.5,3.8,5,1.57,3.75,4.5,1.55,2.09,-0.5,,,,,,,,,,,
SC1,04/12/04,Ross County,Hamilton,1,1,D,0,0,D,1.9,3.5,3.2,1.95,3.35,3.3,1.95,3.5,3.1,2,3.3,2.9,1.91,3.5,3.2,2,3.4,3,1.9,3.5,3.2,1.95,1.64,-0.5,,,,,,,,,,,
SC1,11/12/04,Airdrie Utd,St Johnstone,0,0,D,0,0,D,2.3,3.4,2.5,2.45,3.2,2.55,2.35,3.25,2.55,2.3,3.3,2.4,2.2,3.5,2.62,2.3,3.4,2.5,2.3,3.4,2.5,2.35,1.43,-0.5,,,,,,,,,,,
SC1,11/12/04,Clyde,Partick,1,1,D,1,1,D,1.72,3.6,3.75,1.65,3.45,4.75,1.7,3.5,4,1.7,3.5,3.6,1.62,4,4,1.67,3.6,4,1.7,3.6,3.8,1.7,1.87,-0.5,,,,,,,,,,,
SC1,11/12/04,Hamilton,Raith Rvs,1,0,H,0,0,D,1.8,3.5,3.5,1.95,3.3,3.35,1.9,3.4,3.3,1.85,3.4,3.2,1.83,3.5,3.4,1.8,3.5,3.5,1.9,3.6,3.1,1.9,1.67,-0.5,,,,,,,,,,,
SC1,11/12/04,Queen of Sth,Ross County,1,0,H,1,0,H,2,3.4,3,2.2,3.2,2.9,2.15,3.3,2.8,2.1,3.3,2.7,1.91,3.5,3.2,2,3.4,3,2.2,3.5,2.62,2.15,1.51,-0.5,,,,,,,,,,,
SC1,11/12/04,St Mirren,Falkirk,0,1,A,0,0,D,2.62,3.4,2.2,2.7,3.25,2.3,2.7,3.35,2.2,2.7,3.3,2.1,2.62,3.5,2.2,2.6,3.5,2.2,2.87,3.5,2.05,1.5,2.2,0.5,,,,,,,,,,,
SC1,18/12/04,Falkirk,Queen of Sth,4,2,H,3,2,H,1.5,3.6,5.5,1.45,4.1,5.25,1.53,3.6,5.2,1.5,3.8,4.4,1.44,4,5.5,1.5,3.6,5.5,1.53,3.6,5,1.53,2.13,-0.5,,,,,,,,,,,
SC1,18/12/04,Partick,Hamilton,0,1,A,0,1,A,2,3.4,3,2,3.4,3.1,2.1,3.4,2.85,2.1,3.3,2.7,2.1,3.5,2.75,2.1,3.4,2.8,2.1,3.4,2.8,2.1,1.55,-0.5,,,,,,,,,,,
SC1,18/12/04,Raith Rvs,Airdrie Utd,0,2,A,0,0,D,3.2,3.5,1.9,3,3.45,2,3.25,3.45,1.9,3.2,3.4,1.85,3.4,3.5,1.83,3.2,3.5,1.91,3.5,3.5,1.8,1.67,1.9,0.5,,,,,,,,,,,
SC1,18/12/04,Ross County,Clyde,0,1,A,0,0,D,2.5,3.5,2.25,2.65,3.45,2.2,2.6,3.4,2.25,2.6,3.3,2.2,2.5,3.5,2.25,2.6,3.4,2.25,2.6,3.4,2.25,1.47,2.25,0.5,,,,,,,,,,,
SC1,18/12/04,St Johnstone,St Mirren,1,0,H,1,0,H,2,3.6,2.87,2.15,3.3,2.85,2.2,3.4,2.65,2.2,3.2,2.7,2.1,3.5,2.75,2.2,3.4,2.62,2.25,3.4,2.6,2.2,1.49,-0.5,,,,,,,,,,,
SC1,26/12/04,Falkirk,Airdrie Utd,1,0,H,1,0,H,1.44,3.75,6,1.42,4,6,1.5,3.65,5.5,1.5,3.7,4.6,1.44,4,5.5,1.44,3.75,6,1.5,3.8,5,1.5,2.19,-0.5,,,,,,,,,,,,
SC1,26/12/04,St Johnstone,Raith Rvs,2,0,H,2,0,H,1.36,4.5,6,1.35,4.5,6.5,1.37,4.2,6.5,1.35,4.2,5.8,1.4,4.33,5.5,1.36,4.2,6.5,1.36,4.2,6.5,1.37,2.55,-0.5,,,,,,,,,,,,
SC1,26/12/04,St Mirren,Hamilton,0,1,A,0,0,D,1.72,3.6,3.75,1.7,3.5,4,1.75,3.4,3.85,1.8,3.2,3.5,1.8,3.5,3.5,1.73,3.5,3.8,1.8,3.5,3.5,1.75,1.81,-0.5,,,,,,,,,,,,
SC1,27/12/04,Ross County,Partick,2,1,H,1,0,H,2.2,3.4,2.62,2.15,3.4,2.75,2.2,3.3,2.7,2.2,3.2,2.6,2,3.4,3,2.1,3.5,2.75,2.2,3.5,2.62,2.2,1.49,-0.5,,,,,,,,,,,,
