"player_num" "position" "player_name" "club" "age" "height" "weight" "birthplace" "status"
"31" 5 "M" "Kyle Beckerman" "Real Salt Lake" 32 "5' 11\"" 165 "USA" "Active"
"32" 29 "F" "Adam Bedell" "Columbus Crew SC" 23 "6' 6\"" 204 "USA" "Active"
"33" 33 "D/M" "Steven Beitashour" "Vancouver Whitecaps FC" 27 "5' 10\"" 170 "USA" "Active"
"34" 8 "M" "Kyle Bekker" "Toronto FC" 24 "5' 9\"" 165 "Canada" "Active"
"35" 27 "M" "Louis Béland-Goyette" "Montreal Impact" 19 "5' 8\"" 140 "Canada" "Active"
"36" 2 "D" "Tony Beltran" "Real Salt Lake" 27 "5' 8\"" 150 "USA" "Active"
"37" 12 "GK" "Joe Bendik" "Toronto FC" 25 "6' 2\"" 217 "USA" "Active"
"38" 5 "D" "Víctor Bernárdez" "San Jose Earthquakes" 32 "6' 2\"" 190 "Honduras" "Active"
"39" 12 "GK" "John Berner" "Colorado Rapids" 23 "6' 3\"" 205 "USA" "Active"
"40" 8 "M" "Patrice Bernier" "Montreal Impact" 35 "5' 9\"" 170 "Canada" "Active"
"41" 4 "D" "Austin Berry" "Philadelphia Union" 26 "6' 2\"" 188 "USA" "Active"
"42" 5 "D" "Matt Besler" "Sporting Kansas City" 27 "6'" 170 "USA" "Active"
"43" NA "M" "Nick Besler" "" 21 "6' 1\"" 165 "USA" "Active"
"44" 16 "F" "Claudio Bieler" "Sporting Kansas City" 30 "5' 11\"" 171 "Argentina" "Active"
"45" 15 "D" "Steve Birnbaum" "D.C. United" 23 "6' 2\"" 180 "USA" "Active"
"46" 1 "GK" "Andre Blake" "Philadelphia Union" 24 "6' 4\"" 175 "Jamaica" "Active"
"47" 28 "D" "Mark Bloom" "Toronto FC" 27 "5' 11\"" 162 "USA" "Active"
"48" NA "D" "Nat Borchers" "Portland Timbers" 33 "6' 2\"" 175 "USA" "Active"
"49" 32 "D" "Bobby Boswell" "D.C. United" 31 "6' 2\"" 185 "USA" "Active"
"50" 21 "M" "Rubén Bover" "New York Red Bulls" 22 "5' 7\"" 144 "Spain" "Active"
"51" NA "F" "Tristan Bowen" "New England Revolution" 23 "5' 11\"" 170 "USA" "Active"
"52" 4 "M" "Michael Bradley" "Toronto FC" 27 "6' 2\"" 179 "USA" "Active"
"53" NA "D" "Jeb Brovsky" "New York City FC" 26 "6' 1\"" 170 "USA" "Active"
"54" 26 "F" "Deshorn Brown" "Colorado Rapids" 24 "6' 2\"" 170 "Jamaica" "Active"
"55" 12 "F" "Will Bruin" "Houston Dynamo" 25 "6' 2\"" 194 "USA" "Active"
"56" 10 "F" "Teal Bunbury" "New England Revolution" 24 "6' 2\"" 175 "Canada" "Active"
"57" 4 "D" "Marc Burch" "Colorado Rapids" 30 "6' 1\"" 180 "USA" "Active"
"58" NA "D" "Bobby Burling" "Colorado Rapids" 30 "6' 5\"" 195 "USA" "Active"
"59" 30 "G" "Evan Bush" "Montreal Impact" 28 "6' 1\"" 186 "USA" "Active"
"60" 23 "M" "Michael Bustamante" "New York Red Bulls" 25 "5' 9\"" 160 "Colombia" "Active"
"61" NA "D" "Victor Cabrera" "Montreal Impact" 21 "6'" 165 "Argentina" "Active"
"62" 17 "M" "Tim Cahill" "New York Red Bulls" 35 "5' 10\"" 150 "Australia" "Active"
"63" 6 "M" "Scott Caldwell" "New England Revolution" 23 "5' 8\"" 150 "USA" "Active"
"64" 13 "D" "Steven Caldwell" "Toronto FC" 34 "6' 2\"" 195 "Scotland" "Active"
"65" NA "F" "Caleb Calvert" "Colorado Rapids" 18 "6' 2\"" 160 "USA" "Active"
"66" 6 "D" "Hassoun Camara" "Montreal Impact" 28 "6' 2\"" 190 "France" "Active"
"67" 44 "GK" "Marco Carducci" "Vancouver Whitecaps FC" 18 "6' 1\"" 185 "Canada" "Active"
"68" 7 "M" "Brian Carroll" "Philadelphia Union" 33 "5' 10\"" 155 "USA" "Active"
"69" NA "M" "Tony Cascio" "Orlando City SC" 24 "6'" 170 "USA" "Active"
"70" 24 "GK" "Santiago Castaño" "New York Red Bulls" 19 "6' 2\"" 184 "USA" "Active"
"71" 11 "F" "Fabián Castillo" "FC Dallas" 22 "5' 8\"" 150 "Colombia" "Active"
"72" 7 "M" "Cordell Cato" "San Jose Earthquakes" 22 "5' 9\"" 150 "Trinidad and Tobago" "Active"
"73" 17 "M" "Darwin Cerén" "Orlando City SC" 25 "5' 7\"" 165 "El Salvador" "Active"
"74" 21 "M" "Diego Chara" "Portland Timbers" 28 "5' 8\"" 150 "Colombia" "Active"
"75" 6 "M" "Ian Christianson" "New York Red Bulls" 23 "5' 11\"" 155 "United States" "Active"
"76" 13 "M" "Ricardo Clark" "Houston Dynamo" 31 "5' 10\"" 160 "USA" "Active"
"77" 1 "GK" "Steve Clark" "Columbus Crew SC" 28 "6' 2\"" 192 "USA" "Active"
"78" 34 "F" "Caleb Clarke" "Vancouver Whitecaps FC" 21 "6' 1\"" 165 "Canada" "Active"
"79" 20 "M" "Jorge Claros" "Sporting Kansas City" 29 "5' 9\"" 155 "Honduras" "Active"
"80" 16 "D" "A.J. Cochran" "Houston Dynamo" 21 "6' 3\"" 195 "USA" "Active"
"81" 16 "D" "Greg Cochrane" "Chicago Fire" 24 "5' 8\"" 140 "USA" "Active"
"82" 30 "M" "Razvan Cocis" "Chicago Fire" 31 "5' 11\"" 161 "Romania" "Active"
"83" NA "D" "Aurélien Collin" "Orlando City SC" 28 "6' 2\"" 169 "France" "Active"
"84" NA "D" "Gustavo Silva Conceicao" "Orlando City SC" 28 "6' 1\"" 198 "Brazil" "Active"
"85" 33 "F" "Kenny Cooper" "Seattle Sounders FC" 30 "6' 3\"" 210 "USA" "Active"
"86" NA "F" "Coy Craft" "FC Dallas" 17 "6' 2\"" 175 "USA" "Active"
"87" 3 "D" "Warren Creavalle" "Toronto FC" 24 "5' 11\"" 170 "USA" "Active"
"88" 40 "GK" "Maxime Crépeau" "Montreal Impact" 20 "5' 11\"" 199 "Canada" "Active"
"89" 4 "M" "Sam Cronin" "San Jose Earthquakes" 28 "5' 10\"" 165 "USA" "Active"
"90" 44 "D/M" "Danny Cruz" "Philadelphia Union" 25 "5' 8\"" 170 "USA" "Active"
"91" 9 "F" "Charlie Davies" "New England Revolution" 28 "5' 10\"" 175 "USA" "Active"
"92" 11 "M" "Brad Davis" "Houston Dynamo" 33 "5' 11\"" 170 "USA" "Active"
"93" NA "M" "Sean Davis" "New York Red Bulls" 21 "6'" 165 "" "Active"
"94" 22 "D" "Christian Dean" "Vancouver Whitecaps FC" 21 "6' 3\"" 198 "USA" "Active"
"95" 18 "F" "Jermain Defoe" "Toronto FC" 32 "5' 7\"" 143 "England" "Active"
"96" 20 "D" "A.J. DeLaGarza" "LA Galaxy" 27 "5' 9\"" 150 "USA" "Active"
"97" 14 "M" "Nick DeLeon" "D.C. United" 24 "5' 10\"" 170 "USA" "Active"
"98" NA "M" "Marco Delgado" "Toronto FC" 19 "5' 9\"" 146 "USA" "Active"
"99" 12 "M" "Edder Delgado" "Honduras" 28 "5' 9\"" NA "Honduras" "Active"
"100" 2 "F" "Clint Dempsey" "Seattle Sounders FC" 31 "6' 1\"" 170 "USA" "Active"
"101" 24 "GK" "Tyler Deric" "Houston Dynamo" 26 "6' 3\"" 185 "USA" "Active"
"102" 10 "M" "Mauro Díaz" "FC Dallas" 23 "5' 7\"" 137 "Argentina" "Active"
"103" 7 "F" "Bright Dike" "Toronto FC" 27 "6'" 213 "United States" "Active"
"104" 10 "M" "Yannick Djalo" "San Jose Earthquakes" 28 "5' 6\"" 140 "Guinea-Bissau" "Active"
"105" NA "F" "Guilherme do Prado" "Chicago Fire" 33 "6' 3\"" 180 "Brazil" "Active"
"106" 33 "M" "Marco Donadel" "Montreal Impact" 31 "5' 10\"" 160 "Italy" "Active"
"107" NA "D" "Patrick Doody" "Chicago Fire" 22 "6'" 180 "United States" "Active"
"108" 12 "M" "Andy Dorman" "New England Revolution" 32 "6' 1\"" 160 "England" "Active"
"109" 30 "F" "Conor Doyle" "D.C. United" 23 "6' 2\"" 172 "USA" "Active"
"110" NA "M" "Andrew Driver" "D.C. United" 27 "5' 9\"" 152 "England" "Active"
"111" 11 "M" "Dilly Duka" "Montreal Impact" 25 "5' 9\"" 160 "USA" "Active"
"112" 2 "D" "Todd Dunivant" "LA Galaxy" 34 "6' 1\"" 175 "USA" "Active"
"113" NA "M" "Matt Dunn" "New York City FC" 20 "5' 10\"" 163 "USA" "Active"
"114" 25 "D" "Chris Duvall" "New York Red Bulls" 23 "5' 10\"" 150 "USA" "Active"
"115" 14 "F" "Dom Dwyer" "Sporting Kansas City" 24 "5' 9\"" 180 "England" "Active"
"116" 50 "GK" "Andrew Dykstra" "D.C. United" 29 "6' 4\"" 195 "USA" "Active"
"117" NA "D" "Otis Earle" "" 22 "6'" 170 "England" "Active"
"118" 21 "M" "Maurice Edu" "Philadelphia Union" 28 "6'" 170 "USA" "Active"
"119" 4 "D" "Kevin Ellis" "Sporting Kansas City" 23 "5' 9\"" 160 "USA" "Active"
"120" 19 "F" "Charles Eloundou" "Colorado Rapids" 20 "5' 7\"" 155 "Cameroon" "Active"
"121" 9 "F" "Fabián Espíndola" "D.C. United" 29 "5' 9\"" 160 "Argentina" "Active"
"122" 27 "M" "Roger Espinoza" "Sporting Kansas City" 28 "5' 11\"" 170 "Honduras" "Active"
"123" 3 "M/F" "David Estrada" "D.C. United" 26 "5' 8\"" 160 "Mexico" "Active"
"124" NA "M" "Estrela" "Orlando City SC" 19 "5' 7\"" 150 "Angola" "Active"
"125" 3 "M" "Brad Evans" "Seattle Sounders FC" 29 "6' 1\"" 160 "USA" "Active"
"126" 33 "D" "Fábinho" "Philadelphia Union" 29 "5' 7\"" 149 "Brazil" "Active"
"127" 14 "F" "Diego Fagundez" "New England Revolution" 19 "5' 8\"" 140 "Uruguay" "Active"
"128" 2 "D" "Andrew Farrell" "New England Revolution" 22 "5' 11\"" 165 "USA" "Active"
"129" 10 "M" "Benny Feilhaber" "Sporting Kansas City" 29 "5' 9\"" 160 "Brazil" "Active"
"130" 22 "M" "Leo Fernandes" "Philadelphia Union" 23 "6' 1\"" 165 "" "Active"
"131" 1 "GK" "Lalo Fernandez" "Real Salt Lake" 22 "6' 3\"" 170 "Mexico" "Active"
"132" 10 "F" "Gastón Fernández" "Portland Timbers" 31 "5' 8\"" 160 "Argentina" "Active"
"133" NA "M" "Collin Fernandez" "Chicago Fire" 17 "5' 8\"" 140 "" "Active"
"134" NA "F" "Robbie Findley" "Toronto FC" 29 "5' 9\"" 165 "USA" "Active"
"135" 13 "M" "Ethan Finlay" "Columbus Crew SC" 24 "5' 9\"" 165 "USA" "Active"
"136" NA "GK" "Akira Fitzgerald" "New York City FC" 27 "5' 9\"" 174 "Japan" "Active"
"137" 26 "M" "George Fochive" "Portland Timbers" 22 "5' 9\"" 172 "USA" "Active"
"138" NA "GK" "Josh Ford" "Orlando City SC" 27 "6'" 175 "USA" "Active"
"139" 20 "D" "Shaun Francis" "San Jose Earthquakes" 28 "6'" 165 "Jamaica" "Active"
"140" 14 "D" "Waylon Francis" "Columbus Crew SC" 24 "5' 9\"" 160 "Costa Rica" "Active"
"141" 5 "D" "Sean Franklin" "D.C. United" 29 "5' 10\"" 160 "USA" "Active"
"142" 24 "G" "Stefan Frei" "Seattle Sounders FC" 28 "6' 3\"" 195 "Switzerland" "Active"
"143" 38 "M" "Kianz Froese" "Vancouver Whitecaps FC" 18 "5' 9\"" 170 "Cuba" "Active"
"144" 28 "D" "Raymon Gaddis" "Philadelphia Union" 24 "5' 9\"" 151 "USA" "Active"
"145" 50 "M" "Jérémy Gagnon-Laparé" "Montreal Impact" 19 "5' 11\"" 165 "Canada" "Active"
"146" 25 "M" "Romain Gall" "Columbus Crew SC" 19 "5' 9\"" 140 "France" "Active"
"147" 27 "M" "Boniek Garcia" "Houston Dynamo" 30 "5' 9\"" 150 "Honduras" "Active"
"148" 13 "F" "Olmes García" "Real Salt Lake" 22 "6'" 175 "Colombia" "Active"
"149" 26 "M" "Danny Garcia" "FC Dallas" 21 "5' 5\"" 140 "USA" "Active"
"150" 33 "D" "Dan Gargan" "LA Galaxy" 32 "5' 11\"" 175 "USA" "Active"
"151" 19 "M" "Luis Garrido" "Houston Dynamo" 24 "5' 7\"" 165 "Honduras" "Active"
"152" 6 "D" "Eric Gehrig" "Chicago Fire" 27 "6' 1\"" 160 "USA" "Active"
"153" 23 "M" "Kevan George" "Columbus Crew SC" 24 "6' 2\"" 170 "Trinidad and Tobago" "Active"
"154" 21 "M" "Luis Gil" "Real Salt Lake" 21 "5' 10\"" 155 "USA" "Active"
"155" 9 "F" "Gilberto" "Toronto FC" 25 "5' 10\"" 160 "Brazil" "Active"
"156" 14 "D" "Justen Glad" "Real Salt Lake" 17 "6'" 145 "USA" "Active"
"157" 11 "M" "Jackson Gonçalves" "Toronto FC" 26 "5' 9\"" 155 "Brazil" "Active"
"158" 23 "D" "José Gonçalves" "New England Revolution" 29 "6' 2\"" 180 "Portugal" "Active"
"159" 12 "D" "Leo González" "Seattle Sounders FC" 34 "6' 1\"" 174 "Costa Rica" "Active"
"160" 4 "D" "Omar Gonzalez" "LA Galaxy" 26 "6' 5\"" 205 "USA" "Active"
"161" 44 "GK" "Jesse Gonzalez" "FC Dallas" 19 "6' 4\"" 180 "USA" "Active"
"162" 44 "D" "Clarence Goodson" "San Jose Earthquakes" 32 "6' 4\"" 180 "USA" "Active"
"163" 9 "F" "Alan Gordon" "LA Galaxy" 33 "6' 3\"" 190 "USA" "Active"
"164" NA "M" "Ned Grabavoy" "New York City FC" 31 "5' 7\"" 160 "USA" "Active"
"165" NA "G" "Andy Gruenebaum" "San Jose Earthquakes" 32 "6' 1\"" 175 "USA" "Active"
"166" 17 "D" "Nick Hagglund" "Toronto FC" 22 "6' 1\"" 193 "USA" "Active"
"167" 94 "M" "Marlon Hairston" "Colorado Rapids" 2015 "6'" 157 "USA" "Active"
"168" NA "M" "Jeremy Hall" "New England Revolution" 26 "5' 10\"" 177 "USA" "Active"
"169" NA "GK" "Tally Hall" "Orlando City SC" 29 "6' 4\"" 215 "USA" "Active"
"170" NA "M/D" "Markus Halsti" "D.C. United" 30 "6' 1\"" 185 "Finland" "Active"
"171" 28 "GK" "Bill Hamid" "D.C. United" 24 "6' 3\"" 225 "USA" "Active"
"172" 22 "F" "Jordan Hamilton" "Toronto FC" 18 "6'" 194 "Canada" "Active"
"173" 2 "D" "Ty Harden" "San Jose Earthquakes" 30 "6' 1\"" 190 "USA" "Active"
"174" NA "D" "Michael Harrington" "Colorado Rapids" 28 "6'" 170 "USA" "Active"
"175" NA "M/F" "Atiba Harris" "FC Dallas" 30 "6' 3\"" 185 "Saint Kitts and Nevis" "Active"
"176" 2 "D" "Jordan Harvey" "Vancouver Whitecaps FC" 30 "5' 11\"" 170 "USA" "Active"
"177" 12 "M" "Harrison Heath" "Orlando City SC" 18 "5' 11\"" 160 "England" "Active"
"178" 24 "D" "Matt Hedges" "FC Dallas" 24 "6' 4\"" 185 "USA" "Active"
"179" NA "D" "Jason Hernandez" "New York City FC" 31 "5' 10\"" 170 "USA" "Active"
"180" 3 "D" "Moises Hernandez" "FC Dallas" 22 "6'" 155 "USA" "Active"
"181" 10 "F" "Federico Higuain" "Columbus Crew SC" 30 "5' 8\"" 165 "Argentina" "Active"
"182" NA "F" "Chandler Hoffman" "Houston Dynamo" 24 "6'" 160 "USA" "Active"
"183" 12 "M" "Ryan Hollingshead" "FC Dallas" 23 "6' 1\"" 180 "USA" "Active"
"184" 29 "F" "Antoine Hoppenot" "Philadelphia Union" 24 "5' 8\"" 155 "USA" "Active"
"185" 18 "D" "David Horst" "Houston Dynamo" 29 "6' 4\"" 210 "USA" "Active"
"186" 19 "F/M" "Erik Hurtado" "Vancouver Whitecaps FC" 24 "5' 10\"" 180 "USA" "Active"
"187" 6 "M" "Baggio Husidic" "LA Galaxy" 27 "6' 1\"" 172 "Bosnia and Herzegovina" "Active"
"188" NA "F" "Kennedy Igboananike" "Chicago Fire" 25 "5' 9\"" 154 "Nigeria" "Active"
"189" NA "D" "Samuel Inkoom" "Houston Dynamo" 25 "5' 10\"" NA "Ghana" "Active"
"190" 1 "GK" "Clint Irwin" "Colorado Rapids" 25 "6' 3\"" 195 "USA" "Active"
"191" 24 "M" "Stefan Ishizaki" "LA Galaxy" 32 "5' 11\"" 165 "Sweden" "Active"
"192" 24 "F" "Anthony Jackson-Hamel" "Montreal Impact" 21 "6' 1\"" 180 "USA" "Active"
"193" NA "M" "Andrew Jacobson" "New York City FC" 29 "6' 2\"" 185 "USA" "Active"
"194" 14 "F" "Adam Jahn" "San Jose Earthquakes" 24 "6' 3\"" 185 "USA" "Active"
"195" 23 "F" "Sebastian Jaime" "Real Salt Lake" 27 "5' 11\"" 160 "Argentina" "Active"
"196" 38 "F" "Bradford Jamieson" "LA Galaxy" 18 "6' 1\"" 165 "USA" "Active"
"197" 25 "M" "Jared Jeffrey" "D.C. United" 24 "5' 11\"" 165 "USA" "Active"
"198" 13 "M" "Jack Jewsbury" "Portland Timbers" 33 "6'" 185 "USA" "Active"
"199" 12 "M" "Hector Jimenez" "Columbus Crew SC" 26 "5' 9\"" 140 "USA" "Active"
"200" NA "D" "George John" "New York City FC" 27 "6' 3\"" 203 "USA" "Active"
"201" 7 "F" "Eddie Johnson" "D.C. United" 30 "6'" 180 "USA" "Active"
"202" 4 "M" "Will Johnson" "Portland Timbers" 27 "5' 10\"" 160 "Canada" "Active"
"203" 25 "GK" "Sean Johnson" "Chicago Fire" 25 "6' 3\"" 217 "USA" "Active"
"204" 14 "F" "Jason Johnson" "Houston Dynamo" 24 "6'" 180 "Jamaica" "Active"
"205" 13 "M" "Jermaine Jones" "New England Revolution" 33 "6'" 170 "Germany" "Active"
"206" NA "D/M" "Joevin Jones" "Chicago Fire" 23 "5' 8\"" 160 "Trinidad" "Active"
"207" NA "F" "Darwin Jones" "Seattle Sounders FC" 22 "5' 10\"" 175 "" "Active"
"208" 6 "M" "José Mari" "Colorado Rapids" 27 "5' 11\"" 150 "Spain" "Active"
"209" 40 "D" "Igor Julião" "Sporting Kansas City" 20 "5' 8\"" 145 "Brazil" "Active"
"210" 19 "M" "Juninho" "LA Galaxy" 26 "5' 7\"" 140 "Brazil" "Active"
"211" 10 "M" "Kaká" "Orlando City SC" 32 "6' 1\"" 181 "Brazil" "Active"
"212" NA "F" "Kei Kamara" "Columbus Crew SC" 30 "6' 3\"" 186 "Sierra Leone" "Active"
"213" 1 "GK" "Alec Kann" "Chicago Fire" 24 "6' 4\"" 190 "USA" "Active"
"214" 7 "F" "Robbie Keane" "LA Galaxy" 34 "5' 9\"" 160 "Ireland" "Active"
"215" 22 "D" "Stephen Keel" "FC Dallas" 31 "6'" 185 "USA" "Active"
"216" 33 "D" "Taylor Kemp" "D.C. United" 24 "5' 11\"" 153 "USA" "Active"
"217" 21 "GK" "Jon Kempin" "Sporting Kansas City" 21 "6' 1\"" 170 "USA" "Active"
"218" NA "GK" "Dan Kennedy" "FC Dallas" 32 "6' 1\"" 200 "USA" "Active"
"219" 23 "M/D" "Perry Kitchen" "D.C. United" 22 "6'" 160 "USA" "Active"
"220" 15 "D" "Chris Klute" "Colorado Rapids" 24 "6' 1\"" 172 "USA" "Active"
"221" 18 "D" "Zat Knight" "Colorado Rapids" 34 "6' 6\"" 225 "England" "Active"
"222" 18 "G" "Brad Knighton" "New England Revolution" 29 "6' 1\"" 180 "USA" "Active"
"223" 16 "M" "Daigo Kobayashi" "New England Revolution" 31 "5' 10\"" 150 "Japan" "Active"
"224" 28 "M" "Gershon Koffie" "Vancouver Whitecaps FC" 23 "6'" 175 "Ghana" "Active"
"225" 1 "GK" "Chris Konopka" "Toronto FC" 29 "6' 5\"" 228 "USA" "Active"
"226" 22 "D" "Chris Korb" "D.C. United" 27 "5' 9\"" 160 "USA" "Active"
"227" 15 "M" "JJ Koval" "San Jose Earthquakes" 22 "6' 1\"" 175 "USA" "Active"
"228" 11 "M" "Aaron Kovar" "Seattle Sounders FC" 21 "5' 10\"" 155 "USA" "Active"
"229" 23 "D" "Krzysztof Krol" "Montreal Impact" 27 "6' 1\"" 161 "Poland" "Active"
"230" NA "GK" "Eric Kronberg" "Montreal Impact" 31 "6' 5\"" 210 "USA" "Active"
"231" NA "GK" "Adam Kwarasey" "Portland Timbers" 27 "6' 3\"" 180 "Norway" "Active"
"232" 15 "M" "Matías Laba" "Vancouver Whitecaps FC" 23 "5' 9\"" 154 "Argentina" "Active"
"233" 16 "D" "Connor Lade" "New York Red Bulls" 25 "5' 7\"" 145 "USA" "Active"
"234" 13 "M" "Michael Lahoud" "Philadelphia Union" 28 "5' 8\"" 162 "Sierra Leone" "Active"
"235" 28 "GK" "Matt Lampson" "Columbus Crew SC" 25 "6' 3\"" 190 "USA" "Active"
"236" 20 "M" "Jeff Larentowicz" "Chicago Fire" 31 "6' 1\"" 175 "USA" "Active"
"237" NA "F" "Cyle Larin" "" 19 "6' 2\"" 190 "" "Active"
"238" 11 "F" "Sébastien Le Toux" "Philadelphia Union" 31 "6'" 155 "France" "Active"
"239" 55 "D" "Wandrille Lefèvre" "Montreal Impact" 25 "6' 1\"" 175 "France" "Active"
"240" 24 "F" "Steven Lenhart" "San Jose Earthquakes" 28 "6' 1\"" 190 "USA" "Active"
"241" 22 "D" "Leonardo" "LA Galaxy" 26 "6' 2\"" 185 "Brazil" "Active"
"242" 25 "M" "Andre Lewis" "Vancouver Whitecaps FC" 20 "5' 9\"" 145 "Jamaica" "Active"
"243" 30 "GK" "Michael Lisch" "Houston Dynamo" 24 "6' 4\"" 175 "" "Active"
"244" 25 "M" "Aaron Long" "Seattle Sounders FC" 22 "6' 1\"" 173 "USA" "Active"
"245" 12 "M" "Mikey Lopez" "Sporting Kansas City" 21 "5' 8\"" 160 "USA" "Active"
"246" 26 "D" "Adrián López" "Montreal Impact" 27 "6'" 192 "Spain" "Active"
"247" 10 "M" "Alexander López" "Houston Dynamo" 22 "5' 9\"" 155 "Honduras" "Active"
"248" 35 "M" "Daniel Lovitz" "Toronto FC" 23 "5' 10\"" 170 "USA" "Active"
"249" 31 "D" "Damion Lowe" "Seattle Sounders FC" 21 "6' 3\"" 175 "Jamaica" "Active"
"250" 17 "D" "Zach Loyd" "FC Dallas" 27 "5' 10\"" 168 "USA" "Active"
"251" 8 "F" "Péguy Luyindula" "New York Red Bulls" 35 "5' 10\"" 158 "Democratic Republic of the Congo" "Active"
"252" NA "GK" "Zac MacMath" "Colorado Rapids" 23 "6'" 176 "USA" "Active"
"253" 9 "F" "Mike Magee" "Chicago Fire" 30 "5' 10\"" 160 "USA" "Active"
"254" 10 "M" "Cristian Maidana" "Philadelphia Union" 27 "5' 11\"" 165 "Argentina" "Active"
"255" 16 "D" "Calum Mallace" "Montreal Impact" 25 "6' 1\"" 181 "Scotland" "Active"
"256" 23 "F" "Kekuta Manneh" "Vancouver Whitecaps FC" 20 "5' 9\"" 140 "Gambia" "Active"
"257" 20 "M" "Chris Mannella" "Toronto FC" 20 "5' 9\"" 173 "Canada" "Active"
"258" 29 "D" "Abdoulie Mansally" "Real Salt Lake" 25 "5' 10\"" 160 "Gambia" "Active"
"259" 21 "M" "Justin Mapp" "Montreal Impact" 30 "6' 1\"" 160 "USA" "Active"
"260" NA "M" "James Marcelin" "Sporting Kansas City" 28 "6' 2\"" 175 "Haiti" "Active"
"261" NA "GK" "Luis Marin" "Sporting Kansas City" 31 "6' 2\"" 196 "Chile" "Active"
"262" 16 "D" "Richie Marquez" "Philadelphia Union" 2015 "6' 2\"" 185 "USA" "Active"
"263" 14 "D" "Chad Marshall" "Seattle Sounders FC" 30 "6' 4\"" 190 "USA" "Active"
"264" NA "D" "Ramon Martin del Campo" "" 21 "6' 2\"" 195 "Mexico" "Active"
"265" 7 "M" "Felipe Martins" "Montreal Impact" 24 "5' 9\"" 150 "Brazil" "Active"
"266" 9 "F" "Obafemi Martins" "Seattle Sounders FC" 30 "5' 7\"" 154 "Nigeria" "Active"
"267" 11 "F" "Darren Mattocks" "Vancouver Whitecaps FC" 24 "5' 10\"" 155 "Jamaica" "Active"
"268" 92 "GK" "Raïs Mbolhi" "Philadelphia Union" 28 "6' 3\"" 176 "France" "Active"
"269" 11 "M" "Dax McCarty" "New York Red Bulls" 27 "5' 9\"" 150 "USA" "Active"
"270" 99 "F" "Jack McInerney" "Montreal Impact" 22 "5' 10\"" 151 "USA" "Active"
