Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,FC,FS,OFF,YC,RC
Darwin Ceren,HOU,M,28,23,2113,0,2,30,3,41,29,1,4,1
Shkelzen Gashi,COL,M-F,26,25,2123,9,4,92,40,41,21,6,4,0
Fatai Alashe,SJ,M,28,27,2335,3,1,19,9,41,23,2,8,0
José Gonçalves,NE,D,28,28,2519,0,0,3,0,41,22,1,3,0
Jared Jeffrey,DC,M,21,14,1314,2,0,24,5,40,3,1,5,0
Marco Donadel,MTL,M,21,18,1515,0,4,9,1,40,21,0,5,0
Brian Carroll,PHI,M,26,23,2094,1,0,14,3,40,9,1,6,0
Demar Phillips,RSL,D,29,23,2177,0,5,9,3,40,16,3,3,1
Tony Beltran,RSL,D,29,27,2468,0,3,7,2,40,33,1,9,0
Alex,HOU,M,30,29,2476,5,2,42,11,40,55,4,8,1
Kei Kamara,VAN,F,30,30,2659,12,2,106,37,40,45,31,5,0
Víctor Bernárdez,SJ,D,33,33,2835,1,1,13,2,40,24,2,5,0
Dominique Badji,COL,F,27,17,1571,6,4,47,19,39,14,16,5,0
RJ Allen,ORL,D,24,19,1751,1,6,4,1,39,19,2,7,0
Matt Polster,CHI,M,27,24,2107,2,2,20,4,39,27,1,5,0
Sean Franklin,VAN,D,29,29,2494,1,2,5,1,39,17,1,5,0
Gershon Koffie,NE,M,22,19,1545,0,4,18,5,38,41,0,8,1
Sebastian Hines,ORL,D,26,23,2105,3,0,27,9,38,12,4,7,0
Kevin Molino,MIN,M,30,26,2316,11,8,59,22,38,48,7,1,0
Kellyn Acosta,DAL,M,32,24,2328,2,5,35,9,38,29,1,4,0
Walker Zimmerman,LAFC,D,30,30,2700,4,0,28,11,38,20,1,4,0
Taylor Kemp,DC,D,31,30,2745,1,6,23,3,38,30,1,2,0
Servando Carrasco,LA,M,31,21,2001,0,2,12,3,37,7,0,5,0
Aurélien Collin,RBNY,D,25,22,2067,0,2,10,3,37,16,3,7,1
Steve Birnbaum,DC,D,26,26,2340,3,2,33,12,37,10,2,5,0
Federico Bravo,NYC,M,21,11,1096,0,1,7,0,36,19,0,8,1
Jimmy Medranda,SKC,D-M,28,22,1939,1,2,41,8,36,16,1,8,1
Ryan Hollingshead,DAL,M,29,22,2024,2,0,22,8,36,24,3,3,0
Tranquillo Barnetta,PHI,M,29,25,2311,5,4,60,28,36,62,7,8,0
Lee Nguyen,NE,M,33,33,2900,6,10,68,29,36,50,4,2,0
Kennedy Igboananike,CHI,F,25,20,1754,5,1,57,19,35,44,20,3,0
Tony Tchani,CHI,M,21,20,1791,1,3,27,8,35,27,0,8,1
Boniek Garcia,HOU,M,31,24,2249,0,9,25,4,35,58,3,4,0
Joao Meira,CHI,D-M,28,26,2284,0,1,6,2,35,27,0,6,0
Mike Grella,CLB,M,32,28,2410,7,6,40,21,35,16,6,7,0
Scott Caldwell,NE,M,32,31,2622,0,3,9,1,35,34,0,6,0
Johan Kappelhof,CHI,D,33,31,2789,0,0,3,1,35,7,3,3,0
Ignacio Piatti,MTL,M,32,31,2818,17,6,95,42,35,65,7,5,0
Wil Trapp,CLB,M,30,29,2543,0,1,10,0,34,25,0,5,0
Steven Beitashour,LAFC,D,29,29,2563,0,1,3,0,34,32,1,5,0
Jeff Larentowicz,ATL,M,23,17,1501,1,1,11,1,33,14,0,5,0
Warren Creavalle,PHI,M,27,21,1807,0,1,4,0,33,21,0,5,1
Brandon Vincent,CHI,D,26,24,2191,0,3,8,1,33,13,1,1,0
Thomas McNamara,NYC,M,30,28,2229,5,9,40,18,33,28,3,5,0
Benny Feilhaber,LAFC,M,30,28,2563,7,13,45,13,33,56,1,3,0
Tyrone Mears,MIN,D,32,32,2835,0,2,3,0,33,22,1,3,0
Mauro Diaz,DAL,M,27,24,2149,5,13,47,14,32,81,4,3,0
Javier Morales,RSL,M,29,23,2182,4,4,38,13,32,35,3,5,0
Saad Abdul-Salaam,NYC,D,30,26,2377,0,6,15,3,32,19,4,1,0
Sebastian Giovinco,TOR,F,28,28,2418,17,15,177,59,32,69,29,3,0
Richie Marquez,PHI,D,33,33,2970,2,0,11,4,32,10,2,4,0
Patrick Mullins,DC,F,21,14,1278,8,3,44,23,31,19,18,3,0
Juan Agudelo,NE,F,24,14,1349,7,5,52,18,31,24,13,5,0
Michael de Leeuw,CHI,F,18,17,1465,7,3,25,12,31,16,12,2,0
Lamar Neagle,SEA,M,31,21,1950,9,6,51,21,31,26,8,2,0
London Woodberry,NE,D,25,23,2068,1,0,6,3,31,9,2,7,0
Dillon Powers,ORL,M,29,24,2122,1,4,34,6,31,39,2,4,0
Kevin Doyle,COL,F,26,24,2178,6,2,73,15,31,50,15,5,0
Erik Hurtado,VAN,F-M,24,12,1230,2,2,34,8,30,24,10,2,0
Marky Delgado,TOR,M,28,23,1995,2,2,17,5,30,15,3,5,0
Soni Mustivar,SKC,M,25,24,2095,0,0,8,0,30,15,0,3,1
Luis Solignac,CHI,F,31,24,2177,5,2,49,22,30,23,23,1,1
Daniel Steres,LA,D,31,29,2656,1,1,9,2,30,14,0,5,0
Atiba Harris,DAL,D,28,22,1970,1,2,17,5,29,19,1,6,0
Lucas Melano,POR,F,31,27,2268,3,5,44,14,29,21,10,1,0
Simon Dawkins,SJ,M,29,28,2402,5,2,64,18,29,31,3,3,1
Joevin Jones,SEA,D,33,29,2547,2,3,16,5,29,11,1,6,0
Andrea Pirlo,NYC,M,32,32,2770,1,11,26,6,29,33,1,4,0
Jordan Morris,SEA,F,34,32,2856,12,4,71,36,29,24,18,0,0
Roland Alberg,PHI,M,28,13,1153,9,3,47,17,28,32,4,2,1
Fabian Castillo,DAL,M-F,22,20,1752,5,5,43,20,28,7,23,1,0
David Accam,PHI,M,24,21,1935,9,5,71,28,28,66,20,4,0
Ronald Matarrita,NYC,D,25,23,1988,1,5,25,9,28,13,2,4,0
Michael Bradley,TOR,M,24,24,2160,1,5,12,3,28,20,0,5,0
Dax McCarty,CHI,M,27,26,2268,3,5,24,8,28,37,1,3,0
Matt Hedges,DAL,D,26,26,2334,1,0,10,5,28,15,2,5,0
Khaly Thiam,CHI,M,20,15,1285,1,0,21,3,27,14,0,3,1
Antonio Nocerino,ORL,M,21,19,1509,0,0,11,2,27,18,0,3,1
Andrew Jacobson,NYC,M,26,18,1751,2,0,16,7,27,10,2,4,0
Giles Barnes,HOU,M,24,21,1807,6,3,51,19,27,33,7,1,0
Jermaine Taylor,POR,D,23,21,1841,0,3,9,2,27,4,2,4,0
Brek Shea,VAN,M-F,27,22,2003,3,2,27,9,27,25,2,9,0
Andrew Wenger,HOU,F,32,24,2062,6,3,44,19,27,15,6,3,0
Maynor Figueroa,DAL,D,28,28,2434,0,1,21,4,27,11,1,7,1
Fabinho,PHI,D,29,29,2517,0,6,10,2,27,23,2,6,0
Harrison Afful,CLB,D,30,30,2567,3,3,40,13,27,21,6,1,1
Jalil Anibaba,NE,D,30,28,2614,0,1,12,4,27,8,1,4,0
Cristian Roldan,SEA,M,33,28,2632,4,3,30,11,27,46,4,2,0
Blas Pérez,VAN,F,22,5,754,2,1,15,5,26,22,2,5,0
Sunday Stephen,RSL,M,15,15,1115,1,1,12,3,26,14,0,4,0
Didier Drogba,CIV,F,22,18,1650,10,6,90,35,26,39,11,5,1
David Mateos,ORL,D,21,20,1759,0,0,9,2,26,14,1,8,1
Kemar Lawrence,RBNY,D,21,21,1801,0,0,6,1,26,13,2,3,0
Victor Cabrera,MTL,D,23,21,1925,0,0,1,0,26,10,0,6,0
Jason Hernandez,NYC,D,31,26,2292,0,0,0,0,26,21,0,2,1
Jordan Harvey,LAFC,D,28,28,2520,2,0,10,2,26,24,0,2,0
Octavio Rivero,VAN,F,12,9,757,2,0,23,15,25,17,7,4,0
Rodrigo Ramos,CHI,D,21,16,1484,0,3,9,1,25,27,1,4,0
Shaun Francis,SJ,D,18,17,1524,0,0,6,2,25,8,2,4,0
Sheanon Williams,HOU,D,22,20,1807,0,1,5,1,25,19,1,3,0
Razvan Cocis,CHI,M,30,19,1901,5,2,28,10,25,26,2,4,0
Liam Ridgewell,POR,D,22,22,1980,1,0,12,4,25,30,2,6,0
Alberto Quintero,SJ,M,30,29,2230,3,4,28,9,25,81,2,4,1
Jonathan Osorio,TOR,M,30,26,2440,2,5,24,7,25,30,1,2,0
Marc Burch,MIN,D,28,27,2443,0,3,2,1,25,10,0,9,0
Axel Sjöberg,COL,D,31,31,2772,2,1,11,6,25,11,0,6,0
Alejandro Bedoya,PHI,M,10,10,844,1,0,10,4,24,7,2,3,0
Lucas Ontivero,MTL,M,21,12,980,2,2,29,9,24,38,5,4,0
Je-Vaughn Watson,NE,D,23,19,1705,1,1,11,4,24,20,1,3,1
Aaron Maund,VAN,D,20,20,1746,0,0,5,1,24,13,0,4,0
Ola Kamara,LA,F,25,20,1859,16,2,80,38,24,35,34,0,0
Christian Bolaños,VAN,M,27,23,2116,5,8,34,13,24,32,5,2,0
Eric Miller,COL,D,26,23,2118,0,1,7,2,24,11,4,3,1
Justen Glad,RSL,D,28,27,2424,2,1,4,3,24,15,0,4,0
Cyle Larin,ORL,F,32,29,2455,14,3,73,33,24,60,20,0,0
Laurent Ciman,LAFC,D,28,28,2484,0,0,18,3,24,16,0,3,0
Juan Manuel Martínez,RSL,M-F,32,29,2519,7,3,47,17,24,80,7,1,0
Bobby Boswell,DC,D,30,29,2632,2,1,14,10,24,10,1,3,0
Gaston Sauro,CLB,D,13,12,918,0,0,2,0,23,3,0,3,0
Olmes Garcia,RSL,F,24,9,964,1,1,18,8,23,20,7,2,0
Clint Dempsey,SEA,F,17,17,1429,8,2,65,22,23,27,6,1,1
Fraser Aird,CAN,D-M,18,16,1455,0,0,5,1,23,6,0,4,1
Kevin Alston,ORL,D,24,21,1989,0,0,4,1,23,16,0,3,0
Lloyd Sam,DC,M-F,29,26,2025,4,10,32,6,23,37,13,3,0
Raul Rodriguez,HOU,D,25,24,2128,1,0,13,3,23,7,0,3,0
Michael Barrios,DAL,M,32,30,2454,9,2,50,26,23,25,12,3,0
Patrice Bernier,MTL,M,20,13,1185,0,1,5,0,22,12,1,4,0
Ike Opara,SKC,D,25,16,1542,1,3,15,7,22,11,1,4,1
Will Bruin,SEA,F,31,18,1554,4,3,59,22,22,24,5,1,0
Robbie Rogers,LA,D,21,19,1655,1,2,6,4,22,26,0,2,0
Andoni Iraola,NYC,D,29,25,2180,0,1,3,0,22,17,0,3,0
Ashley Cole,LA,D,26,25,2227,1,0,8,2,22,31,3,3,2
Tim Parker,RBNY,D,29,28,2551,0,0,12,3,22,17,0,1,0
Diego Valeri,POR,M,30,30,2634,14,7,112,38,22,51,8,2,1
Marvell Wynne,SJ,D,32,31,2769,0,1,0,0,22,16,1,3,0
Julian Buescher,DC,M,20,3,584,1,4,8,4,21,12,1,3,0
Jermaine Jones,COL,M,9,8,725,3,2,21,9,21,26,4,4,0
Nelson Valdez,SEA,F,24,8,900,0,1,30,11,21,22,9,4,0
Bobby Burling,COL,D,16,16,1415,1,0,10,2,21,11,0,4,0
Baggio Husidic,LA,M,29,16,1556,2,2,12,4,21,20,1,2,0
Victor Ulloa,DAL,M,32,18,1639,2,0,11,4,21,13,1,2,0
Will Johnson,ORL,M,23,19,1660,2,5,32,10,21,23,1,4,0
Alvas Powell,POR,D,23,23,2015,0,1,6,1,21,29,0,4,0
A.J. DeLaGarza,HOU,D,24,23,2064,0,0,3,1,21,21,0,5,0
Nick DeLeon,DC,M,32,27,2509,1,0,34,10,21,16,2,5,0
Justin Meram,ORL,M,33,31,2605,5,13,76,27,21,53,13,3,0
Chris Wondolowski,SJ,F,30,30,2697,12,3,78,31,21,18,21,0,0
Frederic Brillant,DC,D,31,31,2790,1,0,11,4,21,12,0,4,0
Amadou Dia,MTL,D,11,10,907,0,0,1,0,20,5,2,1,0
Steven Gerrard,LA,M,21,18,1491,3,11,32,11,20,15,0,2,0
Nigel de Jong,LA,M,18,18,1561,0,0,16,5,20,28,1,3,1
Sebastian Lletget,LA,M,31,23,2057,1,8,29,8,20,45,3,1,0
David Horst,RSL,D,26,24,2211,3,0,21,11,20,17,1,4,0
Mikey Lopez,NYC,M,15,6,672,0,1,12,4,19,10,0,6,0
Carlos Rivas,RBNY,F,21,8,799,3,4,34,7,19,12,4,6,0
Alvaro Saborio,DC,F,19,8,890,6,3,37,12,19,10,14,0,0
Vytas,POR,D,11,10,916,1,0,5,1,19,15,1,2,0
Nicolas Mezquida,VAN,M,28,17,1395,4,1,50,19,19,35,3,1,0
Luke Boden,ORL,D,20,19,1613,0,3,5,0,19,10,1,2,0
Patrick Nyarko,DC,F-M,26,23,1828,4,8,23,7,19,64,12,2,0
Chris Duvall,MTL,D,25,20,1889,0,2,9,1,19,26,1,4,1
Arturo Alvarez,HOU,M,30,24,1923,5,9,39,9,19,12,2,2,0
Johan Venegas,MIN,M,20,7,683,1,1,15,8,18,17,3,2,0
Adrian Winter,ORL,M-F,13,12,975,3,2,17,7,18,10,0,1,0
Sean Davis,RBNY,M,21,11,1108,2,3,12,3,18,15,0,1,0
Waylon Francis,SEA,D,19,13,1233,0,3,5,1,18,9,3,2,0
Jordan Smith,VAN,D,17,15,1267,0,0,5,0,18,4,1,2,1
Fabian Herbers,PHI,M,32,13,1290,3,7,32,14,18,30,4,3,0
Jared Watts,COL,D-M,21,18,1647,0,0,8,1,18,11,0,5,0
Dominic Oduro,MTL,M,31,22,2028,6,6,34,17,18,43,19,2,0
Yura Movsisyan,RSL,F,29,25,2161,9,3,68,28,18,38,20,3,0
Ethan Finlay,MIN,F,34,27,2462,6,9,46,22,18,23,22,2,0
Chris Pontius,LA,F,33,32,2571,12,6,66,35,18,36,5,2,0
Alan Gordon,LA,F,22,7,710,3,1,15,6,17,13,7,2,0
Michael Salazar,MTL,F,17,8,711,2,0,9,5,17,14,1,1,0
Kofi Opare,DC,D,10,10,874,0,0,6,2,17,8,2,2,2
Donny Toia,ORL,D,17,15,1365,0,2,5,1,17,4,1,2,0
Connor Lade,RBNY,D,18,15,1380,1,1,15,4,17,25,1,4,0
Jack Jewsbury,POR,M,23,17,1503,1,2,8,2,17,15,0,4,0
Erik Friberg,SEA,M,25,18,1582,0,2,12,2,17,5,1,4,0
Kaká,ORL,M,24,23,1955,9,10,62,29,17,34,4,2,0
Diego Fagundez,NE,M,34,24,2237,6,6,64,22,17,27,3,4,0
Giovani dos Santos,LA,F,28,27,2350,14,12,63,31,17,24,12,3,0
Russell Teibert,VAN,M,11,8,696,0,0,1,0,16,3,0,1,0
Jose Aja,VAN,D,10,9,830,0,0,9,1,16,10,0,4,0
Hérculez Gómez,SEA,F,21,9,842,0,0,14,7,16,18,2,1,0
Jack McInerney,POR,F,24,8,904,5,0,37,18,16,10,9,1,0
Harry Shipp,SEA,M,27,20,1596,2,3,25,6,16,14,4,2,0
Darlington Nagbe,ATL,M,27,27,2416,1,5,39,8,16,57,0,1,0
Jordan Allen,RSL,M-F,23,11,1099,3,2,15,8,15,19,1,1,0
Wandrille Lefevre,MTL,D,13,12,1114,0,0,5,2,15,6,0,1,0
Jordan Stewart,SJ,D-M,15,14,1221,0,1,8,2,15,31,0,4,0
Mike Magee,LA,M,30,16,1467,6,4,33,18,15,21,3,1,0
Emmanuel Boateng,LA,M,26,17,1547,2,5,20,9,15,11,4,1,0
Jack Harrison,NYC,F,21,17,1574,4,7,22,8,15,19,3,0,0
Ronald Zubar,NY,D,21,19,1593,2,0,11,3,15,17,2,6,0
Ken Tribbett,PHI,D,22,19,1727,2,1,12,5,15,28,0,4,0
Sal Zizzo,ATL,D,28,20,1920,0,2,18,5,15,13,3,2,0
DaMarcus Beasley,HOU,D,24,24,1979,1,0,5,4,15,49,1,1,0
Pedro Morales,VAN,M,27,26,2073,9,6,51,25,15,29,1,4,2
Drew Moor,TOR,D,32,32,2880,3,0,21,6,15,29,0,3,0
Andrew Farrell,NE,D,33,32,2891,0,1,3,1,15,20,1,1,0
Tony Taylor,NYC,F-M,14,7,605,2,1,12,3,14,6,1,2,0
John Stertzer,RSL,M,18,9,777,0,1,5,3,14,8,0,0,0
Jay Chapman,TOR,M,18,9,780,0,2,12,5,14,9,0,1,0
Darren Mattocks,DC,F,19,12,940,1,3,20,10,14,18,3,0,0
Tyson Wahl,CLB,D,13,11,1014,0,0,2,0,14,7,0,2,1
Kyle Bekker,MTL,M,18,13,1139,1,0,10,4,14,2,0,3,0
Jefferson Mena,NYC,D,16,16,1306,1,0,6,2,14,6,0,1,0
Eric Alexander,HOU,M,22,15,1374,0,1,3,1,14,8,0,1,0
Chris Wingert,RSL,D,20,18,1514,0,0,5,0,14,10,0,5,0
Tesho Akindele,DAL,F,31,15,1514,6,4,35,17,14,16,7,2,0
Matt Besler,SKC,D,18,17,1546,1,1,3,1,14,7,0,4,0
Matías Pérez García,ORL,F,27,19,1635,0,3,24,6,14,62,1,3,0
Mohammed Saeid,CLB,M,25,24,2016,0,5,20,3,14,37,1,2,0
Jonathan Campbell,CHI,D,33,30,2823,1,1,9,2,14,21,0,1,0
Diego Rubio,SKC,F,15,3,330,1,0,13,2,13,13,5,2,0
Nick LaBrocca,CHI,M,12,5,514,0,1,8,3,13,12,0,3,0
Paulo Nagamura,SKC,M,9,6,526,0,1,5,2,13,6,0,2,0
Agus,HOU,D,8,8,672,0,0,8,3,13,4,0,0,0
Nick Hagglund,TOR,D,16,8,847,0,0,3,1,13,6,1,0,0
Hernan Bernardello,MTL,M,12,11,991,1,1,3,3,13,16,0,5,0
Steven Mendoza,NYC,F,24,10,1139,5,1,45,10,13,19,1,1,0
Ilsinho,PHI,M,25,14,1286,2,2,30,7,13,14,3,2,1
Lawrence Olum,POR,M-D,19,17,1469,2,1,10,4,13,4,0,3,0
Cristian Techera,VAN,M,29,19,1584,2,2,43,17,13,29,3,3,0
Graham Zusi,SKC,D-M,21,18,1651,2,4,29,10,13,18,5,1,0
Andreas Ivanschitz,SEA,M,28,25,1910,3,8,36,13,13,30,6,5,0
Ambroise Oyongo,MTL,D,27,26,2316,0,5,16,4,13,29,0,4,1
Joao Plata,RSL,F,30,28,2478,9,12,77,33,13,29,7,4,0
Chad Marshall,SEA,D,30,30,2634,4,0,21,9,13,19,0,2,0
Keegan Rosenberry,PHI,D,34,34,3060,2,2,21,7,13,17,0,0,0
Adam Jahn,CLB,F,22,4,554,6,0,23,8,12,5,5,0,0
Ned Grabavoy,POR,M,22,5,632,0,0,10,2,12,20,1,3,0
Aaron Kovar,LAFC,M,16,10,811,1,0,21,5,12,8,0,1,0
Masato Kudo,VAN,F,17,12,894,2,1,25,14,12,8,11,0,0
Damien Perquis,TOR,D,12,11,986,1,1,4,1,12,14,3,3,0
Rafael Ramos,CHI,D,12,12,1015,0,3,4,1,12,6,0,2,0
Shea Salinas,SJ,M,33,8,1223,1,5,19,9,12,8,5,0,0
Frank Lampard,NYC,M,19,15,1280,12,3,33,21,12,21,2,3,0
Josh Yaro,PHI,D,17,15,1327,0,0,0,0,12,4,0,3,2
Mekeil Williams,COL,D,21,17,1468,0,4,2,0,12,9,1,5,0
Zarek Valentin,POR,D,20,18,1607,1,1,4,3,12,7,0,2,0
Sébastien Le Toux,COL,F,32,21,1861,3,7,20,8,12,28,3,3,0
Brad Evans,SKC,D-M,23,21,1866,1,1,9,1,12,13,0,1,2
Daniel Lovitz,MTL,D,12,5,406,0,0,6,0,11,8,0,1,0
Gonzalo Verón,NY,M-F,23,6,631,3,0,18,8,11,15,6,2,1
Molham Babouli,TOR,F,16,6,647,0,1,10,1,11,6,3,1,0
Calum Mallace,LAFC,M,18,10,862,0,0,6,0,11,8,1,3,1
Kofi Sarkodie,SJ,D,13,12,1043,0,0,2,1,11,10,1,0,0
Mauro Manotas,HOU,F,22,10,1054,6,1,41,18,11,17,9,0,0
Rob Vincent,DC,M-F,20,12,1137,2,0,17,8,11,2,0,4,0
Marlon Hairston,COL,M,21,14,1272,3,6,16,9,11,15,10,2,0
Michael Parkhurst,ATL,D,34,34,3036,0,2,0,0,11,18,0,2,1
Oniel Fisher,DC,D,6,2,232,0,1,1,0,10,5,0,1,1
Alphonso Davies,VAN,M,8,2,299,0,0,7,2,10,10,1,0,0
Tommy Thompson,SJ,M,17,9,825,0,0,12,5,10,14,1,2,0
Marco Pappa,COL,M,20,10,895,2,4,29,13,10,14,1,2,0
Ben Zemanski,POR,M,16,11,1010,0,1,12,1,10,12,0,2,0
Khiry Shelton,SKC,F,22,13,1159,4,9,17,6,10,15,1,0,0
John Goossens,CHI,M,24,15,1288,3,4,32,11,10,17,9,0,0
Michael Harrington,CHI,D,19,16,1291,0,1,2,1,10,7,2,0,1
Brad Davis,SKC,M,24,14,1300,2,1,34,11,10,27,5,0,0
Tommy Redding,RBNY,D,18,16,1346,0,0,0,0,10,3,0,2,0
Jámison Olave,RSL,D,17,16,1482,2,0,14,7,10,15,0,2,1
Gyasi Zardes,CLB,F,19,17,1604,6,5,24,15,10,32,2,1,0
Federico Higuain,CLB,M,20,18,1607,4,3,45,14,10,23,5,0,0
Nat Borchers,POR,D,21,21,1812,1,1,5,1,10,9,0,1,0
Leo Fernandes,PHI,M,12,2,256,0,1,12,3,9,7,0,1,0
Erick Torres,HOU,F,11,4,401,0,1,17,3,9,9,1,1,0
Marcel de Jong,VAN,D-M,7,5,467,0,0,2,1,9,2,0,1,0
Abdoulie Mansally,HOU,D,9,5,565,0,0,5,1,9,8,0,1,1
Damien Perrinelle,NY,D,10,7,726,0,0,1,0,9,6,0,2,0
Matteo Mancosu,MTL,F,15,7,772,3,4,33,11,9,14,9,1,0
Benoit Cheyrou,TOR,M,14,9,800,0,2,13,2,9,3,0,2,1
Andres Imperiale,SJ,D,11,10,869,0,0,4,1,9,5,1,2,0
Jordan Hamilton,TOR,F,14,11,911,3,1,20,12,9,12,14,0,0
Fabian Espindola,DC,F,15,10,926,4,1,38,15,9,18,5,2,0
Kekuta Manneh,VAN,M-F,17,13,1139,5,2,36,20,9,10,6,1,0
Tsubasa Endoh,TOR,F,21,15,1387,2,0,24,9,9,20,2,0,0
Cordell Cato,SJ,F,21,15,1391,0,2,9,3,9,18,1,0,0
Alhaji Kamara,DC,F,8,2,173,1,0,7,2,8,1,3,0,0
Leonardo,HOU,D,4,4,360,0,0,0,0,8,1,0,0,0
Charlie Davies,NE,F,17,3,371,1,1,12,9,8,2,7,0,0
Armando Cooper,TOR,M,6,4,390,0,2,11,3,8,19,0,0,0
Pa-Modou Kah,VAN,D,5,4,395,0,0,3,1,8,1,0,3,0
Gideon Baah,NY,D,9,6,467,2,0,8,3,8,2,0,0,0
Dairon Asprilla,POR,M-F,9,6,488,1,0,14,3,8,5,6,1,1
Álvaro Fernández,SEA,M,10,8,530,1,1,5,2,8,11,4,0,0
Mauro Rosales,DAL,M,23,4,544,2,3,6,3,8,12,2,2,0
Chris Klute,POR,D,8,8,709,0,0,0,0,8,0,1,1,0
Kevin Ellis,SKC,D,14,10,953,1,1,7,3,8,7,0,1,0
Nicolai Naess,CLB,D,13,13,1156,0,2,6,3,8,11,0,0,0
Nicolás Lodeiro,SEA,M,13,13,1170,4,8,33,11,8,44,5,5,0
Jacob Peterson,SKC,F,21,18,1500,6,1,37,13,8,13,3,0,0
Cristian Maidana,HOU,M,30,21,1695,3,4,22,6,8,9,2,1,0
Justin Morrow,TOR,D,31,31,2653,5,4,15,7,8,16,5,5,0
Tony Rocha,ORL,M,8,2,298,0,0,4,0,7,3,1,1,0
Oalex Anderson,SEA,F,15,2,334,0,0,9,4,7,14,0,0,0
Jack Barmby,POR,M-D,19,2,381,1,0,11,5,7,8,0,1,0
Raymon Gaddis,PHI,D,7,5,514,0,1,2,1,7,6,0,4,0
Maxim Tissot,MTL,D,7,5,517,1,0,2,1,7,4,0,0,0
Seth Sinovic,SKC,D,9,6,532,0,0,5,1,7,5,0,2,0
Dilly Duka,CLB,M,15,5,604,1,1,14,7,7,3,2,0,0
Gilberto,CHI,F,9,8,641,0,2,23,4,7,10,4,0,0
Chris Rolfe,DC,F,9,9,643,0,1,17,3,7,11,3,2,0
Ethan White,NYC,D,13,7,676,0,0,0,0,7,4,0,2,1
David Edgar,VAN,D,8,8,720,0,0,4,1,7,1,0,2,0
Mix Diskerud,NYC,M,12,9,812,1,2,20,7,7,14,0,1,0
Zach Scott,SEA,D,14,9,886,0,0,4,1,7,13,0,2,0
Josh Williams,CLB,D,15,11,918,0,1,2,0,7,3,0,0,1
Corey Ashe,CLB,M,18,14,1214,0,4,4,0,7,18,0,1,0
Eriq Zavaleta,TOR,D,15,14,1277,0,1,4,1,7,4,1,2,0
Robbie Keane,LA,F,17,16,1426,10,2,40,21,7,17,20,1,0
Pedro Ribeiro,ORL,M-F,3,1,152,0,0,4,2,6,3,1,1,0
Ashtone Morgan,TOR,D,7,0,157,0,0,2,0,6,0,1,2,0
Cristian Martinez,CLB,M,5,2,197,1,0,4,2,6,5,0,1,0
Diego Martinez,NYC,D,4,2,263,0,1,3,1,6,2,0,1,0
Omar Holness,RSL,M,9,3,277,0,0,5,0,6,5,0,1,0
Henok Goitom,SJ,F,8,3,416,0,1,14,2,6,6,2,1,0
Leonel Miranda,HOU,M,12,3,484,1,1,8,2,6,8,0,0,0
