Player,Club,POS,GP,GS,MINS,SHTS,SV,GA,GAA,PKG/A,W,L,T,ShO,W%,Sv%
Zack Steffen,CLB,GK,0,0,0,0,0,0,0,0/0,0,0,0,0,0.0,0.0
Charlie Horton,DC,GK,0,0,0,0,0,0,0,0/0,0,0,0,0,0.0,0.0
Ryan Herman,DAL,GK,0,0,0,0,0,0,0,0/0,0,0,0,0,0.0,0.0
Marco Carducci,VAN,GK,0,0,0,0,0,0,0,0/0,0,0,0,0,0.0,0.0
John Berner,COL,GK,0,0,0,0,0,0,0,0/0,0,0,0,0,0.0,0.0
Earl Edwards Jr.,ORL,GK,0,0,0,0,0,0,0,0/0,0,0,0,0,0.0,0.0
Maxime Crepeau,MTL,GK,0,0,0,0,0,0,0,0/0,0,0,0,0,0.0,0.0
Chris Froschauer,COL,GK,0,0,0,0,0,0,0,0/0,0,0,0,0,0.0,0.0
Matt Pacifici,CLB,GK,0,0,0,0,0,0,0,0/0,0,0,0,0,0.0,0.0
Andre Rawls,NYC,GK,0,0,0,0,0,0,0,0/0,0,0,0,0,0.0,0.0
Matt Turner,NE,GK,0,0,0,0,0,0,0,0/0,0,0,0,0,0.0,0.0
Charlie Lyon,LAFC,GK,0,0,0,0,0,0,0,0/0,0,0,0,0,0.0,0.0
Calle Brown,SEA,GK,0,0,0,0,0,0,0,0/0,0,0,0,0,0.0,0.0
Wade Hamilton,POR,GK,0,0,0,0,0,0,0,0/0,0,0,0,0,0.0,0.0
Mason Stajduhar,ORL,GK,0,0,0,0,0,0,0,0/0,0,0,0,0,0.0,0.0
Stats Unavailable,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
