Player,Club,POS,GP,GS,MINS,GA,GAA,PKG/A,W,L,T,ShO,W%
Matt Jones,PHI,GK,1,1,90,2,2.0,0/0,1,0,0,0,100.0
Tyler Miller,LAFC,GK,1,1,90,2,2.0,0/0,0,1,0,0,0.0
Andrew Dykstra,COL,GK,1,1,90,4,4.0,1/1,0,1,0,0,0.0
Eirik Johansen,NYC,GK,1,1,90,1,1.0,0/0,1,0,0,0,100.0
Clement Diop,MTL,GK,2,2,180,3,1.5,1/1,0,1,1,0,0.0
Eric Kronberg,MTL,GK,2,1,128,3,3.0,1/1,0,0,1,0,0.0
Brad Stuver,NYC,GK,2,2,180,7,3.5,0/1,0,2,0,0,0.0
Dan Kennedy,LA,GK,3,2,115,3,1.5,0/0,0,0,1,0,0.0
Jeff Attinella,POR,GK,4,4,360,6,1.5,1/1,1,3,0,0,25.0
Adam Kwarasey,POR,GK,7,7,590,13,1.86,1/1,1,3,2,0,14.3
Stats Unavailable,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
