Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA
N1,26/08/06,Heerenveen,Willem II,5,0,H,4,0,H,1.57,3.6,5,1.55,3.65,5.25,1.55,3.6,5.25,1.6,3.4,4.6,1.53,3.5,5.5,1.53,3.6,6,1.5,3.8,5,1.4,4,6.5,1.55,3.5,5,39,1.62,1.54,4,3.62,6.5,5.49,24,1.65,1.61,2.2,2.14,15,-1,2.1,2.01,1.85,1.82
N1,26/08/06,Utrecht,Sparta,2,2,D,2,1,H,1.66,3.4,4.5,1.7,3.4,4.3,1.65,3.4,4.75,1.6,3.4,4.6,1.61,3.5,4.5,1.7,3.4,4.5,1.57,3.75,4.5,1.67,3.5,4.5,1.55,3.5,5,41,1.67,1.62,3.9,3.53,5.8,4.82,24,1.75,1.68,2.2,2.04,16,-0.75,1.89,1.82,2.05,2.03
N1,26/08/06,Vitesse,AZ Alkmaar,1,3,A,0,1,A,3.5,3.25,1.9,3.7,3.3,1.85,3.6,3.25,1.9,3.5,3.1,1.9,3.6,3.4,1.8,3.75,3.6,1.8,3.5,3.5,1.8,3.6,3.5,1.8,3.6,3.5,1.8,41,4.33,3.78,3.65,3.37,1.95,1.83,25,1.65,1.57,2.4,2.2,17,0.5,2.05,1.99,1.93,1.87
N1,26/08/06,Waalwijk,Excelsior,1,1,D,1,0,H,1.8,3.3,3.8,1.7,3.5,4.25,1.75,3.4,4,1.8,3.1,3.8,1.72,3.4,4,1.73,3.6,4,1.61,3.5,4.5,1.73,3.4,4,1.6,3.5,4.6,38,1.8,1.72,3.7,3.42,5.2,4.3,24,1.7,1.67,2.15,2.06,14,-0.75,2.01,1.95,1.95,1.9
N1,27/08/06,Feyenoord,Heracles,0,0,D,0,0,D,1.33,4.33,7.5,1.35,4.25,7.5,1.3,4.6,8,1.3,4.2,8,1.28,4,10,1.33,4.5,8,1.28,4.5,8,1.3,4.33,8.5,1.25,4.5,10,39,1.33,1.29,5.25,4.6,10,8.58,25,1.6,1.56,2.4,2.23,15,-1.5,2.03,1.97,1.95,1.86
N1,27/08/06,NAC Breda,Ajax,1,2,A,0,0,D,5,3.75,1.53,5.15,3.65,1.55,5.5,3.6,1.53,4.8,3.5,1.55,5,3.5,1.57,5.5,3.75,1.53,5.5,4,1.44,6,3.5,1.5,8.5,3.75,1.35,39,7.5,5.95,4,3.76,1.55,1.49,26,1.65,1.58,2.35,2.19,16,1.25,2.03,2.01,1.91,1.84
N1,27/08/06,Nijmegen,Groningen,1,1,D,1,1,D,2.5,3.2,2.5,2.4,3.2,2.65,2.4,3.2,2.6,2.45,3.1,2.45,2.5,3.25,2.4,2.5,3.2,2.6,2.25,3.3,2.62,2.5,3.25,2.5,2.35,3.4,2.5,39,2.6,2.41,3.4,3.25,2.85,2.61,24,1.75,1.7,2.15,2.02,17,0,1.85,1.77,2.12,2
N1,27/08/06,Twente,PSV Eindhoven,1,0,H,0,0,D,5,3.4,1.61,4.7,3.6,1.62,4.75,3.4,1.65,4.4,3.3,1.65,4.5,3.5,1.61,5.2,3.5,1.62,4.5,3.5,1.61,5,3.4,1.62,5.2,3.6,1.53,39,5.8,4.91,3.8,3.53,1.68,1.61,24,1.75,1.66,2.2,2.06,15,0.75,2.23,2.15,1.75,1.72
N1,08/09/06,Den Haag,NAC Breda,0,2,A,0,1,A,2.1,3.25,3,2.2,3.2,2.9,2.05,3.3,3.2,2.1,3.1,3,2.1,3.2,3,2,3.4,3.25,2.1,3.4,2.8,1.91,3.4,3.4,,,,38,2.2,2.06,3.45,3.27,3.4,3.16,23,1.7,1.65,2.2,2.07,11,0,1.6,1.52,2.6,2.4
N1,08/09/06,Twente,Roda JC,2,2,D,1,2,A,2.1,3.25,3,2.2,3.2,2.9,2.1,3.2,3.2,2.1,3.1,3,2,3.2,3.2,2.2,3.2,3,2.1,3.4,2.8,2.1,3.4,2.88,2.1,3.25,3,39,2.25,2.11,3.4,3.26,3.75,3.08,25,1.98,1.83,1.95,1.88,13,0,1.6,1.54,2.6,2.32
N1,09/09/06,Excelsior,Heerenveen,3,1,H,1,1,D,3.75,3.25,1.83,3.35,3.2,2,3.75,3.3,1.9,3.2,3.1,2,3.4,3.25,1.9,3.6,3.2,1.91,3.3,3.3,1.9,3.4,3.4,1.91,3.6,3.3,1.85,34,4.2,3.58,3.6,3.34,2,1.88,20,1.67,1.62,2.25,2.1,11,0.5,1.98,1.97,1.95,1.9
N1,09/09/06,Willem II,PSV Eindhoven,1,3,A,1,3,A,6.5,3.75,1.44,4.75,3.6,1.6,5,3.65,1.57,4.6,3.4,1.6,5.5,3.6,1.5,5.5,3.75,1.53,5.5,3.5,1.53,6,4,1.44,6,3.5,1.5,39,7,5.49,4,3.66,1.6,1.53,24,1.65,1.57,2.38,2.17,12,1,2.14,2.07,1.81,1.78
N1,10/09/06,Ajax,Vitesse,3,0,H,2,0,H,1.25,5,9,1.3,4.3,9,1.28,4.75,9,1.27,4.3,8.5,1.28,4.5,8,1.3,4.5,9,1.25,5,8,1.29,4.5,9,1.25,4.5,10,39,1.31,1.27,5.3,4.76,12,9.25,23,1.55,1.47,2.65,2.41,12,-1.75,2.1,2.09,1.84,1.78
N1,10/09/06,Groningen,Heracles,2,1,H,0,1,A,1.53,3.5,5.5,1.55,3.6,5.3,1.57,3.65,5,1.5,3.7,5,1.57,3.5,5,1.57,3.6,5.25,1.5,3.6,5.5,1.5,3.6,6,1.5,3.5,6,39,1.62,1.53,3.85,3.62,6.9,5.55,22,1.72,1.64,2.2,2.06,13,-1,1.98,1.92,1.95,1.89
N1,10/09/06,Nijmegen,AZ Alkmaar,0,2,A,0,1,A,4.5,3.4,1.66,4.6,3.45,1.65,4.6,3.5,1.66,4.2,3.2,1.7,4.5,3.5,1.61,4.2,3.5,1.73,3.8,3.5,1.72,4.5,3.5,1.67,4.35,3.4,1.65,38,5.25,4.46,3.8,3.47,1.75,1.67,24,1.6,1.55,2.4,2.21,12,0.75,2.08,2.06,1.87,1.81
N1,10/09/06,Sparta,Feyenoord,1,4,A,1,2,A,4.2,3.4,1.72,3.75,3.3,1.85,3.8,3.3,1.85,4.2,3.2,1.7,3.75,3.25,1.8,4,3.25,1.83,3.5,3.4,1.83,3.6,3.4,1.83,4.5,3.25,1.7,38,4.5,4.01,3.8,3.39,1.9,1.77,23,1.68,1.61,2.25,2.12,11,0.75,1.9,1.86,2.03,2.01
N1,10/09/06,Utrecht,Waalwijk,5,0,H,5,0,H,1.66,3.4,4.5,1.65,3.5,4.5,1.7,3.4,4.5,1.6,3.4,4.6,1.66,3.4,4.33,1.73,3.5,4.2,1.61,3.5,4.5,1.73,3.25,4.33,1.75,3.4,4,39,1.76,1.69,3.8,3.46,5,4.4,22,1.67,1.62,2.22,2.08,12,-0.75,1.99,1.96,1.94,1.9
N1,15/09/06,Waalwijk,Den Haag,1,0,H,0,0,D,1.9,3.25,3.5,1.9,3.25,3.6,1.85,3.3,3.7,1.9,3.1,3.5,1.8,3.25,3.75,1.95,3.25,3.6,1.95,3.3,3.25,1.83,3.4,3.6,1.85,3.4,3.5,37,1.93,1.87,3.63,3.35,3.9,3.62,22,1.75,1.66,2.25,2.07,13,0,1.5,1.42,2.78,2.62
N1,16/09/06,Excelsior,Willem II,3,2,H,3,1,H,2,3.25,3.25,2,3.2,3.35,2,3.3,3.2,2.1,3.1,3,2.2,3.25,2.75,2,3.25,3.4,2.15,3.4,2.75,2.1,3.4,2.75,2.2,3.25,2.75,36,2.3,2.11,3.5,3.3,3.3,3.02,23,1.7,1.63,2.25,2.05,13,0,1.63,1.6,2.18,2.12
N1,16/09/06,Heracles,Utrecht,3,0,H,2,0,H,2.5,3.2,2.5,2.5,3.2,2.5,2.5,3.2,2.5,2.45,3.1,2.45,2.4,3.25,2.5,2.5,3.2,2.6,2.6,3.3,2.3,2.38,3.4,2.5,2.4,3.2,2.5,39,2.55,2.43,3.5,3.25,2.75,2.55,24,1.72,1.64,2.15,2.05,13,0,1.94,1.84,2,1.93
N1,16/09/06,Vitesse,NAC Breda,0,1,A,0,0,D,1.9,3.25,3.5,1.85,3.3,3.75,1.85,3.3,3.7,1.75,3.2,4,1.73,3.4,4,1.83,3.4,3.8,1.75,3.4,3.8,1.73,3.4,4,1.75,3.4,3.75,38,1.91,1.79,3.6,3.36,4.35,3.93,23,1.65,1.58,2.3,2.16,13,-0.5,1.82,1.81,2.12,2.07
N1,17/09/06,AZ Alkmaar,Twente,2,2,D,0,1,A,1.28,4.5,8.5,1.3,4.5,8.25,1.35,4.25,7.25,1.35,4,7,1.29,4,10,1.33,4.33,8.5,1.33,4.2,7.5,1.4,4,6.5,1.28,4.5,8.5,36,1.4,1.34,4.9,4.26,9,7.6,22,1.55,1.45,2.65,2.44,12,-1.5,1.89,1.82,2.05,1.95
N1,17/09/06,Heerenveen,Nijmegen,3,0,H,1,0,H,1.66,3.4,4.5,1.6,3.5,5,1.65,3.5,4.5,1.65,3.3,4.4,1.5,3.6,5.5,1.62,3.5,5,1.66,3.5,4.2,1.57,3.5,5,1.65,3.4,4.35,35,1.71,1.64,3.9,3.5,5.3,4.7,23,1.6,1.53,2.5,2.25,12,-0.75,1.85,1.82,2.14,2.06
N1,17/09/06,PSV Eindhoven,Feyenoord,2,1,H,2,1,H,1.66,3.4,4.5,1.7,3.4,4.3,1.65,3.5,4.5,1.7,3.2,4.2,1.67,3.25,4.5,1.67,3.5,4.6,1.61,3.5,4.5,1.57,3.6,5,1.65,3.25,4.5,36,1.7,1.64,3.9,3.46,5.5,4.69,22,1.7,1.63,2.25,2.06,12,-0.75,1.93,1.91,2,1.97
N1,17/09/06,Roda JC,Ajax,2,0,H,1,0,H,3.75,3.25,1.83,3.75,3.3,1.85,3.7,3.3,1.85,3.7,3.2,1.8,4,3.4,1.73,3.75,3.4,1.85,4,3.5,1.7,3.75,3.4,1.8,4.35,3.3,1.7,36,4.5,3.94,3.8,3.36,1.87,1.79,23,1.65,1.55,2.4,2.21,12,0.5,2.18,2.13,1.79,1.76
N1,17/09/06,Sparta,Groningen,0,1,A,0,0,D,2.62,3.2,2.37,2.75,3.2,2.3,2.65,3.2,2.35,2.7,3,2.3,2.75,3.25,2.2,2.8,3.3,2.25,2.62,3.3,2.25,2.62,3.2,2.38,2.7,3.25,2.25,34,2.85,2.66,3.45,3.23,2.55,2.37,21,1.72,1.65,2.2,2.06,11,0,2.08,2,1.87,1.78
N1,22/09/06,NAC Breda,Willem II,0,0,D,0,0,D,1.83,3.25,3.75,1.85,3.3,3.75,1.85,3.3,3.7,1.8,3.1,3.8,1.8,3.4,3.6,1.91,3.25,3.75,1.8,3.3,3.75,1.8,3.4,3.75,1.8,3.4,3.75,38,1.91,1.82,3.61,3.34,4.2,3.85,26,1.8,1.66,2.25,2.07,13,-0.5,1.94,1.9,1.98,1.92
N1,23/09/06,Den Haag,PSV Eindhoven,0,2,A,0,0,D,7,4.33,1.33,6.75,4,1.4,6.5,4,1.4,6,3.9,1.4,7,3.75,1.4,7.5,4.5,1.33,7,3.75,1.4,6.5,3.75,1.44,8.5,4,1.33,37,8.5,7.02,4.55,4.12,1.45,1.38,26,1.63,1.56,2.4,2.21,12,1.5,2.03,1.87,1.95,1.87
N1,23/09/06,Twente,Sparta,2,0,H,1,0,H,1.57,3.6,5,1.6,3.45,5.1,1.65,3.5,4.5,1.6,3.4,4.6,1.5,3.6,5.5,1.67,3.6,4.5,1.6,3.6,4.5,1.57,3.6,5,1.55,3.5,5,37,1.67,1.59,4,3.54,5.5,4.99,25,1.65,1.62,2.2,2.1,12,-0.75,1.75,1.72,2.23,2.17
N1,23/09/06,Vitesse,Heracles,4,0,H,1,0,H,1.83,3.25,3.75,1.9,3.2,3.65,1.8,3.35,3.75,1.9,3.1,3.5,1.8,3.4,3.6,1.8,3.6,3.75,1.95,3.3,3.25,1.91,3.4,3.4,1.8,3.4,3.75,37,2,1.88,3.65,3.29,4.1,3.65,25,1.75,1.67,2.2,2.02,13,0,1.5,1.4,2.8,2.59
N1,24/09/06,Ajax,Nijmegen,2,0,H,0,0,D,1.2,5.5,10,1.2,5,13,1.25,5,9,1.22,4.8,9.5,1.2,5,11,1.25,5,10,1.28,4.5,8,1.25,5,9,1.2,5.5,9,36,1.25,1.22,6.12,5.24,12.15,9.94,26,1.55,1.47,2.65,2.4,11,-1.75,1.94,1.9,1.99,1.96
N1,24/09/06,Feyenoord,Excelsior,1,0,H,1,0,H,1.28,4.5,9,1.35,4.35,7,1.35,4,8.5,1.35,4,7,1.36,3.75,8,1.36,4,8.5,1.36,4,7,1.29,4.5,9,1.28,4.6,8,32,1.37,1.32,5,4.44,10,8.13,25,1.6,1.52,2.45,2.27,11,-1.5,1.94,1.89,1.98,1.86
N1,24/09/06,Groningen,Waalwijk,1,1,D,1,0,H,1.5,3.75,5.5,1.4,4,6.75,1.5,3.7,5.7,1.5,3.7,5,1.44,3.75,6,1.5,3.75,6,1.45,3.6,6.5,1.53,3.75,5.5,1.45,3.6,6.5,36,1.55,1.48,4.23,3.73,7.5,6.09,26,1.68,1.58,2.25,2.16,13,-1,1.83,1.81,2.11,2.01
N1,24/09/06,Roda JC,AZ Alkmaar,0,2,A,0,0,D,2.75,3.25,2.25,2.9,3.2,2.2,2.8,3.2,2.25,2.9,3,2.2,3.2,3.2,2,2.88,3.25,2.25,2.75,3.3,2.2,2.62,3.4,2.25,2.8,3.4,2.1,36,3.15,2.89,3.5,3.28,2.3,2.18,26,1.65,1.53,2.5,2.23,13,0,2.5,2.16,1.65,1.58
N1,24/09/06,Utrecht,Heerenveen,1,0,H,0,0,D,2.3,3.2,2.7,2.4,3.2,2.6,2.35,3.2,2.65,2.5,3,2.5,2.2,3.25,2.75,2.4,3.3,2.62,2.3,3.3,2.6,2.5,3.4,2.38,2.2,3.4,2.7,35,2.6,2.4,3.4,3.22,2.8,2.62,26,1.65,1.55,2.4,2.22,12,0,1.82,1.79,2.12,1.96
N1,29/09/06,Nijmegen,Heracles,2,0,H,1,0,H,1.9,3.25,3.5,2,3.2,3.35,2.1,3.25,3.15,2.1,3.1,3,2.2,3.25,2.75,2.1,3.2,3.2,2,3.4,3,1.91,3.4,3.4,2,3.4,3,41,2.1,1.96,3.4,3.28,3.85,3.37,27,1.96,1.79,2,1.92,16,0,1.55,1.45,3,2.53
N1,30/09/06,Excelsior,Sparta,3,1,H,1,0,H,2.05,3.25,3.1,2,3.2,3.35,2,3.25,3.4,2,3.1,3.2,1.8,3.25,3.75,1.91,3.3,3.6,1.83,3.4,3.5,1.91,3.4,3.4,2,3.25,3.25,39,2.17,2.02,3.35,3.26,3.55,3.28,26,1.75,1.69,2.1,1.99,14,0,1.55,1.49,2.6,2.38
N1,30/09/06,Twente,Waalwijk,4,3,H,1,2,A,1.65,3.25,5.25,1.7,3.4,4.33,1.7,3.4,4.6,1.7,3.2,4.2,1.67,3.25,4.5,1.7,3.4,4.6,1.7,3.5,4,1.67,3.5,4.5,1.65,3.4,4.5,40,1.75,1.7,3.7,3.4,5.25,4.44,26,1.77,1.66,2.15,2.03,13,-0.75,1.9,1.87,2.05,2.01
N1,30/09/06,Willem II,Roda JC,0,1,A,0,0,D,2.7,3.2,2.37,2.75,3.2,2.3,2.7,3.25,2.35,2.4,3.2,2.4,2.5,3.25,2.4,2.7,3.2,2.38,2.62,3.25,2.3,2.62,3.4,2.25,2.5,3.4,2.3,40,2.81,2.69,3.4,3.25,2.45,2.34,26,1.72,1.66,2.15,2.03,14,0,2.1,1.96,1.8,1.71
N1,01/10/06,AZ Alkmaar,Den Haag,2,2,D,1,2,A,1.16,6,11,1.15,6,13,1.17,6,12,1.2,5,10,1.14,6,12,1.18,6,11,1.12,6,15,1.17,6,11,1.17,6,10,40,1.2,1.16,8.1,6.09,16.2,12.56,26,1.55,1.44,2.75,2.47,11,-2,1.86,1.82,2.07,2.02
N1,01/10/06,Feyenoord,NAC Breda,3,2,H,2,2,D,1.3,4,10,1.3,4.3,9,1.35,4.3,7.5,1.35,4,7,1.36,3.75,8,1.33,4.33,8.5,1.36,4,7,1.29,4.5,9,1.3,4.2,8.5,40,1.36,1.33,4.8,4.3,11,8.3,26,1.65,1.59,2.45,2.13,14,-1.5,1.98,1.9,1.94,1.87
N1,01/10/06,Groningen,Vitesse,4,3,H,1,1,D,1.8,3.4,3.8,1.65,3.5,4.5,1.7,3.4,4.5,1.7,3.2,4.2,1.67,3.25,4.5,1.62,3.5,5,1.66,3.4,4.33,1.73,3.4,4,1.7,3.4,4.1,40,1.81,1.72,3.5,3.39,4.9,4.33,26,1.75,1.68,2.15,2,14,-0.75,2.13,2.11,1.82,1.78
N1,01/10/06,Heerenveen,PSV Eindhoven,0,0,D,0,0,D,4,3.25,1.8,3.5,3.2,1.95,3.5,3.25,1.95,3.2,3.1,2,3.5,3.5,1.8,3.75,3.25,1.9,3.3,3.3,1.9,3.2,3.4,2,3.8,3.3,1.8,40,4.1,3.62,3.45,3.29,2,1.9,26,1.67,1.62,2.25,2.09,15,0,3.15,2.63,1.55,1.41
N1,01/10/06,Utrecht,Ajax,2,3,A,0,2,A,4,3.25,1.8,3.5,3.2,1.95,3.5,3.3,1.95,3.2,3.1,2,4,3.4,1.73,3.6,3.25,1.95,3.25,3.4,1.9,3.75,3.4,1.8,3.8,3.4,1.75,40,4,3.65,3.45,3.3,2,1.88,26,1.75,1.65,2.2,2.05,15,0,3,2.61,1.55,1.42
N1,13/10/06,Den Haag,Twente,1,2,A,1,0,H,3,3.2,2.15,2.75,3.2,2.3,2.9,3.2,2.2,2.8,3.1,2.2,2.8,3.2,2.2,2.8,3.2,2.3,2.8,3.4,2.1,2.75,3.4,2.2,2.8,3.4,2.1,38,3.4,2.94,3.6,3.27,2.3,2.16,28,1.92,1.73,2.1,1.98,14,0,2.44,2.18,1.65,1.6
N1,14/10/06,Ajax,Groningen,3,2,H,0,0,D,1.36,3.6,8,1.45,3.75,6.5,1.4,3.75,7.5,1.45,3.8,5.4,1.44,3.6,6.5,1.44,3.75,7,1.4,3.75,7,1.44,3.75,7.5,1.35,4,7,37,1.45,1.41,4.32,3.83,8.5,7.04,27,1.65,1.52,2.45,2.28,14,-1.25,1.97,1.92,1.96,1.95
N1,14/10/06,NAC Breda,Nijmegen,0,2,A,0,2,A,2.1,3.2,3,2,3.2,3.35,2.1,3.2,3.1,2,3.1,3.2,2,3.2,3.2,2.1,3.2,3.2,2,3.4,3,2.2,3.4,2.75,1.9,3.4,3.25,37,2.2,2.08,3.4,3.26,3.35,3.09,27,1.75,1.72,2.1,1.96,14,0,1.57,1.53,2.4,2.27
N1,14/10/06,Sparta,AZ Alkmaar,0,2,A,0,0,D,7,4.33,1.33,6.35,3.75,1.45,7,4.25,1.35,6,3.9,1.4,7,3.75,1.4,7.25,4,1.4,7,4,1.36,6,4,1.44,6.5,3.9,1.4,36,8.15,6.92,4.5,4.12,1.45,1.38,28,1.7,1.52,2.5,2.31,13,1.5,1.85,1.76,2.12,2.02
N1,14/10/06,Vitesse,Willem II,1,0,H,1,0,H,1.65,3.4,4.5,1.7,3.4,4.3,1.6,3.6,4.6,1.65,3.3,4.4,1.61,3.5,4.5,1.75,3.4,4.33,1.7,3.4,4.2,1.57,3.6,5,1.75,3.4,4,37,1.75,1.66,3.9,3.48,5.5,4.58,27,1.65,1.6,2.3,2.13,13,-0.5,1.73,1.7,2.27,2.2
N1,15/10/06,Excelsior,Utrecht,0,1,A,0,1,A,2.4,3.2,2.62,2.2,3.25,2.85,2.6,3.2,2.4,2.45,3.1,2.45,2.2,3.25,2.75,2.4,3.3,2.6,2.2,3.4,2.62,2.38,3.4,2.5,2.3,3.4,2.5,35,2.8,2.47,3.4,3.25,2.75,2.52,27,1.67,1.63,2.22,2.08,13,0,2.03,1.88,2,1.88
N1,15/10/06,Heracles,Heerenveen,1,0,H,1,0,H,3.1,3.1,2.1,2.75,3.2,2.3,2.8,3.2,2.25,2.6,3.1,2.3,2.6,3.2,2.37,2.8,3.2,2.3,2.5,3.4,2.3,2.62,3.4,2.25,2.5,3.3,2.35,35,3.1,2.78,3.4,3.24,2.4,2.27,27,1.75,1.67,2.1,2.03,14,0,2.15,2.04,1.75,1.68
N1,15/10/06,PSV Eindhoven,Roda JC,4,1,H,0,1,A,1.4,4,7.5,1.4,4,6.75,1.4,3.75,7.5,1.4,3.9,6,1.33,4,8,1.36,4,8.25,1.4,3.75,7,1.4,4,7,1.35,4,7,36,1.42,1.36,4.7,4.17,9,7.54,28,1.7,1.55,2.38,2.24,13,-1.5,2.2,2.11,1.78,1.7
N1,15/10/06,Waalwijk,Feyenoord,2,2,D,2,2,D,4.5,3.2,1.72,3.85,3.4,1.8,3.6,3.4,1.83,3.8,3.1,1.8,4,3.4,1.72,4,3.25,1.85,3.5,3.4,1.83,3.75,3.4,1.83,3.75,3.4,1.8,36,4.5,3.9,3.6,3.33,1.91,1.81,27,1.65,1.6,2.3,2.14,13,0.5,2.08,2.05,1.86,1.82
N1,20/10/06,Willem II,Heracles,2,0,H,0,0,D,2,3.25,3.2,2.05,3.35,3.05,2.1,3.25,3,2.1,3.1,3,2.25,3.2,2.75,2.2,3.2,3,2.2,3.3,2.7,2.25,3.4,2.62,2.1,3.4,2.8,39,2.25,2.11,3.4,3.23,3.3,3.06,25,1.96,1.82,1.95,1.88,15,0,1.6,1.52,2.55,2.32
N1,21/10/06,Roda JC,Sparta,2,1,H,0,0,D,1.4,4,7,1.45,3.9,6.25,1.45,3.75,6.5,1.35,4,7,1.4,3.75,7,1.44,4,6.5,1.45,4,5.5,1.4,4,7,1.4,3.75,8,36,1.46,1.41,4.05,3.9,8,7.07,21,1.72,1.61,2.3,2.11,11,-1.25,1.98,1.95,1.94,1.91
N1,21/10/06,Twente,Excelsior,4,1,H,2,0,H,1.53,3.4,6,1.5,3.65,5.85,1.53,3.65,5.5,1.6,3.4,4.6,1.61,3.5,4.5,1.62,3.5,5,1.55,3.75,4.75,1.44,3.75,6.5,1.55,3.5,5,35,1.68,1.57,3.8,3.51,6.2,5.43,21,1.7,1.64,2.2,2.08,11,-0.75,1.74,1.72,2.2,2.15
N1,21/10/06,Waalwijk,NAC Breda,0,1,A,0,0,D,1.9,3.25,3.5,2.05,3.2,3.15,2,3.25,3.25,2,3.1,3.2,2,3.2,3.2,2,3.2,3.5,1.95,3.4,3.1,1.83,3.4,3.75,1.9,3.25,3.4,36,2.1,2,3.4,3.25,3.55,3.3,21,1.75,1.65,2.22,2.06,12,0,1.55,1.48,2.65,2.38
