Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA
N1,30/09/01,Den Bosch,Feyenoord,0,0,D,0,0,D,,,,4,3.3,1.6,4,3.5,1.7,4.33,3.4,1.67,3.5,3.4,1.8
N1,30/09/01,Groningen,Ajax,1,4,A,0,2,A,,,,3.2,3.1,1.85,3.75,3.3,1.8,3.6,3.4,1.8,3.5,3.4,1.8
N1,30/09/01,Roda JC,Heerenveen,0,2,A,0,1,A,,,,1.8,3,3.5,2.1,3.2,3,2.25,3.2,2.7,2.2,3.4,2.6
N1,30/09/01,Sparta,Twente,1,1,D,0,1,A,,,,2.7,3.1,2.1,2.4,3.4,2.4,2.4,3.4,2.4,2.35,3.25,2.5
N1,30/09/01,Utrecht,Waalwijk,2,1,H,1,0,H,,,,2,3,2.9,1.8,3.4,3.6,1.91,3.4,3.25,1.9,3.4,3.2
N1,07/10/01,Sparta,Den Bosch,1,1,D,0,1,A,,,,1.9,3,3.1,2,3.3,3.1,2,3.4,3,,,
N1,09/10/01,AZ Alkmaar,PSV Eindhoven,1,1,D,1,0,H,,,,3.1,3,1.9,,,,,,,2.8,3.3,2.1
N1,09/10/01,NAC Breda,Roda JC,2,1,H,2,1,H,,,,2.1,2.9,2.9,,,,,,,2.1,3.3,2.8
N1,09/10/01,Waalwijk,Graafschap,2,0,H,1,0,H,,,,1.65,3.2,3.9,,,,,,,1.7,3.5,3.8
N1,09/10/01,Twente,Willem II,0,0,D,0,0,D,,,,2,3,2.9,,,,,,,2.1,3.3,2.8
N1,10/10/01,Ajax,Nijmegen,5,0,H,4,0,H,,,,1.25,4.3,8,,,,,,,1.25,4.8,8
N1,10/10/01,Heerenveen,Utrecht,1,2,A,1,1,D,,,,1.6,3.3,4,,,,,,,1.75,3.4,3.75
N1,12/10/01,Roda JC,PSV Eindhoven,0,1,A,0,1,A,,,,2.8,3,2.1,,,,,,,3.25,3.4,1.9
N1,13/10/01,For Sittard,Sparta,3,4,A,2,1,H,,,,2,2.9,3,,,,1.91,3.4,3.25,2,3.3,3
N1,13/10/01,Heerenveen,AZ Alkmaar,2,1,H,1,1,D,,,,1.55,3.3,4.5,,,,1.67,3.4,4.33,1.7,3.5,3.8
N1,13/10/01,Waalwijk,Ajax,0,2,A,0,1,A,,,,2.8,3,2.1,,,,2.75,3.25,2.2,3,3.3,2
N1,14/10/01,Graafschap,Twente,4,2,H,1,1,D,,,,2.35,3,2.35,,,,2.2,3.25,2.75,2.1,3.3,2.8
N1,14/10/01,Feyenoord,Groningen,1,0,H,0,0,D,,,,1.25,4.3,8,,,,1.2,5,11,1.2,5,10
N1,14/10/01,NAC Breda,Den Bosch,0,0,D,0,0,D,,,,1.85,2.9,3.4,,,,1.62,3.6,4.33,1.75,3.5,3.6
N1,14/10/01,Nijmegen,Vitesse,1,0,H,0,0,D,,,,2.9,3,2,,,,2.8,3.4,2.1,2.8,3.3,2.1
N1,14/10/01,Utrecht,Willem II,3,1,H,2,1,H,,,,2.1,3,2.8,,,,1.91,3.4,3.25,1.9,3.4,3.2
N1,17/10/01,NAC Breda,Willem II,1,1,D,1,1,D,,,,,,,,,,,,,,,
N1,17/10/01,Vitesse,Groningen,1,0,H,0,0,D,1.33,4.3,7.55,1.3,4,7,,,,,,,1.35,3.75,8
N1,20/10/01,AZ Alkmaar,Feyenoord,1,3,A,1,3,A,3.05,3.15,2.1,3.3,3,1.85,,,,,,,3.1,3.3,1.95
N1,20/10/01,PSV Eindhoven,Graafschap,4,0,H,2,0,H,1.3,4.25,8,1.25,4.3,8,,,,,,,1.3,4,8.5
N1,20/10/01,Sparta,Roda JC,0,3,A,0,1,A,2.1,3.15,3.05,2.1,3,2.8,,,,,,,2.1,3.3,2.8
N1,20/10/01,Vitesse,NAC Breda,1,0,H,0,0,D,1.44,3.75,6.15,1.4,3.6,5.5,,,,,,,1.45,3.75,5.5
N1,20/10/01,Willem II,Waalwijk,3,1,H,1,1,D,1.85,3.2,3.7,1.9,3,3.1,,,,,,,1.8,3.3,3.6
N1,21/10/01,Den Bosch,Utrecht,1,1,D,0,0,D,2.2,3.15,2.85,2.3,2.9,2.5,,,,,,,2.35,3.25,2.5
N1,21/10/01,Groningen,Heerenveen,1,1,D,1,1,D,2.48,3.15,2.48,2.7,2.9,2.2,,,,,,,2.5,3.2,2.35
N1,21/10/01,Nijmegen,Twente,2,0,H,1,0,H,2.15,3.15,2.95,2.3,2.9,2.5,,,,,,,2.1,3.3,2.8
N1,24/10/01,Heerenveen,Ajax,5,1,H,1,0,H,,,,,,,,,,,,,,,
N1,26/10/01,Roda JC,Nijmegen,0,0,D,0,0,D,1.55,3.65,5,1.75,3.1,3.6,1.75,3.4,3.8,,,,1.85,3.4,3.3
N1,27/10/01,AZ Alkmaar,For Sittard,3,0,H,1,0,H,1.55,3.5,5.25,1.6,3.3,4,1.44,3.75,6,,,,1.45,3.75,5.5
N1,27/10/01,Heerenveen,Graafschap,1,0,H,1,0,H,1.55,3.6,4.9,1.5,3.4,4.7,1.53,3.4,5.5,,,,1.5,3.6,5.25
N1,27/10/01,PSV Eindhoven,Waalwijk,2,0,H,1,0,H,1.35,4.15,7,1.35,3.8,6.2,1.33,4,8,,,,1.35,4.2,6.5
N1,27/10/01,Twente,Vitesse,0,0,D,0,0,D,2.45,3.1,2.55,2.6,3,2.2,2.38,3.25,2.5,,,,2.4,3.25,2.45
N1,28/10/01,Ajax,Willem II,4,1,H,1,1,D,1.35,4.2,7,1.35,3.8,6.2,1.4,3.75,7,,,,1.4,4,6
N1,28/10/01,Feyenoord,Utrecht,4,0,H,1,0,H,1.38,4,6.75,1.4,3.6,5.5,1.44,3.6,6.5,,,,1.45,3.75,5.5
N1,28/10/01,Groningen,Den Bosch,2,0,H,0,0,D,2,3.2,3.25,2.1,2.9,2.9,1.91,3.25,3.4,,,,1.9,3.25,3.3
N1,30/10/01,Sparta,NAC Breda,2,3,A,1,2,A,2.2,3.25,2.75,2.2,3,2.6,2.2,3.2,2.8,,,,2.1,3.4,2.75
N1,02/11/01,Willem II,Vitesse,1,1,D,0,0,D,2.35,3.2,2.6,2.2,2.9,2.7,2.3,3.25,2.62,2.3,3.2,2.62,2.25,3.25,2.6
N1,03/11/01,For Sittard,Heerenveen,1,0,H,1,0,H,3.25,3.3,1.95,3.5,3,1.8,3.4,3.25,1.91,3.2,3.2,2,3.25,3.3,1.9
N1,03/11/01,Nijmegen,AZ Alkmaar,1,0,H,0,0,D,1.85,3.3,3.6,1.9,3,3.1,1.83,3.4,3.5,1.91,3.4,3.25,1.9,3.4,3.2
N1,03/11/01,Waalwijk,Den Bosch,3,3,D,2,1,H,1.7,3.4,4.2,1.6,3.3,4,1.67,3.4,4.33,1.62,3.5,4.5,1.7,3.4,4
N1,03/11/01,Sparta,PSV Eindhoven,2,1,H,1,1,D,4.4,3.5,1.65,4.7,3.4,1.5,4,3.4,1.73,4,3.4,1.73,3.8,3.5,1.7
N1,04/11/01,Graafschap,Ajax,1,1,D,0,0,D,4,3.5,1.7,3.6,3.1,1.75,4,3.5,1.7,4,3.4,1.73,3.8,3.5,1.7
N1,04/11/01,NAC Breda,Feyenoord,2,1,H,2,0,H,3.4,3.3,1.9,3.6,3.1,1.75,3.3,3.3,1.91,3.4,3.5,1.83,3.2,3.4,1.9
N1,04/11/01,Roda JC,Groningen,3,1,H,1,1,D,1.7,3.4,4.25,1.7,3.1,3.8,1.75,3.4,3.8,1.67,3.4,4.33,1.8,3.4,3.5
N1,04/11/01,Utrecht,Twente,1,1,D,0,1,A,1.7,3.4,4.2,1.8,3,3.5,1.62,3.5,4.5,1.67,3.4,4.33,1.6,3.5,4.5
N1,16/11/01,Heerenveen,Sparta,3,0,H,2,0,H,1.35,4.2,7,1.4,3.6,5.5,1.36,4,7,,,,1.35,4,7
N1,17/11/01,AZ Alkmaar,Waalwijk,0,1,A,0,0,D,1.85,3.3,3.6,1.9,2.9,3.2,1.8,3.4,3.6,1.8,3.4,3.6,1.8,3.4,3.5
N1,17/11/01,Den Bosch,Twente,1,3,A,0,1,A,2.2,3.1,2.9,2.3,2.9,2.5,2.2,3.25,2.75,2,3.2,3.2,2.1,3.2,2.9
N1,17/11/01,Feyenoord,Vitesse,3,2,H,2,1,H,1.6,3.6,4.6,1.7,3.1,3.8,1.6,3.4,4.8,1.62,3.5,4.5,1.65,3.4,4.25
N1,17/11/01,PSV Eindhoven,Nijmegen,3,1,H,1,1,D,1.32,4.3,7.6,1.3,4,7,1.4,3.75,7,1.36,4,7,1.4,3.75,6.5
N1,17/11/01,Willem II,Roda JC,1,1,D,0,0,D,1.8,3.3,3.8,1.75,3.1,3.6,1.73,3.4,4,1.73,3.4,4,1.7,3.35,4
N1,18/11/01,Ajax,NAC Breda,1,3,A,1,1,D,1.25,4.8,8.7,1.35,3.8,6.2,1.29,4.5,8,1.36,4,7,1.35,4,7
N1,18/11/01,Groningen,For Sittard,4,2,H,2,2,D,1.7,3.35,4.25,1.8,3,3.5,1.73,3.25,4.2,1.73,3.4,4,1.7,3.35,4
N1,18/11/01,Utrecht,Graafschap,6,0,H,3,0,H,1.57,3.6,4.85,1.65,3.2,3.9,1.57,3.5,5,1.62,3.5,4.5,1.55,3.55,4.75
N1,23/11/01,AZ Alkmaar,Den Bosch,3,2,H,2,2,D,1.7,3.3,4.25,1.7,3.1,3.8,1.67,3.3,4.5,,,,1.65,3.25,4.5
N1,24/11/01,Graafschap,Sparta,3,0,H,1,0,H,1.8,3.25,3.9,2,3,2.9,1.8,3.3,3.75,,,,1.7,3.4,4
N1,24/11/01,For Sittard,Waalwijk,1,4,A,0,3,A,2.45,3.2,2.5,2.6,3,2.2,2.5,3.25,2.4,,,,2.35,3.25,2.5
N1,24/11/01,NAC Breda,Groningen,5,0,H,2,0,H,1.55,3.6,5,1.6,3.2,4.2,1.57,3.5,5,,,,1.55,3.6,4.75
N1,24/11/01,Twente,Heerenveen,0,0,D,0,0,D,2.3,3.2,2.7,2.2,2.9,2.7,2.38,3.25,2.5,,,,2.35,3.25,2.5
N1,24/11/01,Vitesse,Roda JC,2,0,H,1,0,H,1.5,3.6,5.6,1.4,3.6,5.5,1.57,3.5,5,,,,1.55,3.4,5
N1,25/11/01,Ajax,PSV Eindhoven,1,3,A,0,2,A,2.05,3.2,3.1,2.2,3,2.9,2,3.2,3.2,,,,2,3.3,3.1
N1,25/11/01,Feyenoord,Willem II,3,1,H,1,0,H,1.4,4,6.5,1.35,3.8,6.2,1.44,3.6,6.5,,,,1.4,3.75,6.5
N1,25/11/01,Nijmegen,Utrecht,0,3,A,0,0,D,2,3.2,3.2,2.2,3,2.6,2,3.2,3.2,,,,1.95,3.25,3.2
N1,27/11/01,Den Bosch,Graafschap,3,1,H,1,1,D,2,3.2,3.2,1.9,2.9,3.2,2,3.3,3.1,,,,1.95,3.25,3.2
N1,27/11/01,Groningen,AZ Alkmaar,0,1,A,0,0,D,1.92,3.3,3.35,1.9,3,3.1,1.91,3.4,3.25,,,,1.9,3.4,3.2
N1,28/11/01,Ajax,Twente,3,2,H,0,2,A,1.34,4.15,7.1,1.35,4,7,1.4,3.75,7,1.33,4.33,7,1.35,4,7
N1,28/11/01,Nijmegen,NAC Breda,1,3,A,0,0,D,2.35,3.2,2.6,2.3,3,2.4,2.4,3.25,2.5,2.25,3.4,2.6,2.25,3.3,2.6
N1,28/11/01,Waalwijk,Feyenoord,2,3,A,0,2,A,3.05,3.25,2.05,3.3,3,1.85,3,3.4,2,3,3.4,2,2.9,3.2,2.1
N1,28/11/01,Roda JC,For Sittard,1,0,H,0,0,D,1.5,3.75,5.4,1.55,3.3,4.5,1.53,3.5,5.2,1.53,3.4,5.5,1.5,3.7,5
N1,28/11/01,Sparta,Willem II,3,2,H,1,2,A,2.5,3.2,2.45,2.35,3,2.35,2.5,3.25,2.4,2.38,3.25,2.5,2.35,3.3,2.45
N1,28/11/01,Utrecht,PSV Eindhoven,3,3,D,1,1,D,2.75,3.3,2.2,2.35,3,2.35,2.62,3.2,2.3,2.7,3.3,2.2,2.6,3.3,2.25
N1,30/11/01,Graafschap,Groningen,1,2,A,0,1,A,1.75,3.5,3.8,1.8,3,3.5,1.75,3.4,3.8,1.67,3.4,4.33,1.7,3.5,3.8
N1,01/12/01,Heerenveen,Feyenoord,1,0,H,0,0,D,2.42,3.3,2.47,2.4,2.9,2.4,2.4,3.25,2.5,2.5,3.2,2.4,2.3,3.25,2.62
N1,01/12/01,PSV Eindhoven,AZ Alkmaar,3,0,H,1,0,H,1.25,4.8,8.7,1.25,4.3,8,1.33,4.33,7,1.36,4,7,1.35,4.2,6.5
N1,01/12/01,Waalwijk,Roda JC,3,0,H,1,0,H,1.75,3.5,3.8,1.75,3.1,3.6,1.8,3.3,3.75,1.73,3.4,4,1.7,3.6,3.75
N1,01/12/01,Twente,For Sittard,1,1,D,1,0,H,1.5,3.7,5.5,1.45,3.5,5,1.53,3.5,5.25,1.5,3.8,5,1.5,3.7,5
N1,02/12/01,Sparta,Nijmegen,0,0,D,0,0,D,2.1,3.3,2.9,2,3,2.9,2.2,3.2,2.8,2.1,3.4,2.8,2.1,3.4,2.75
N1,02/12/01,Utrecht,Vitesse,3,1,H,1,1,D,2,3.3,3.2,2.2,2.9,2.7,2.1,3.2,3,2,3.4,3,1.9,3.3,3.3
N1,02/12/01,Willem II,NAC Breda,2,2,D,1,0,H,2,3.3,3.15,2.1,3,2.8,2.1,3.25,2.9,2.25,3.2,2.7,2.1,3.4,2.75
N1,04/12/01,Ajax,For Sittard,4,0,H,2,0,H,1.15,5.65,11.5,1.2,4.7,9,1.2,5.2,10,,,,1.2,5.25,9
N1,07/12/01,For Sittard,Den Bosch,1,3,A,0,1,A,2.1,3.3,2.9,2.1,2.9,2.9,2.2,3.2,2.8,,,,2.1,3.2,2.9
N1,07/12/01,Vitesse,Graafschap,2,1,H,0,0,D,1.4,3.9,6.5,1.3,4,7,1.4,3.75,7,1.4,4,6.5,1.35,3.8,7.5
N1,08/12/01,AZ Alkmaar,Roda JC,1,2,A,1,1,D,1.85,3.25,3.65,2,2.9,3,1.91,3.25,3.4,1.8,3.4,3.6,1.8,3.4,3.5
N1,08/12/01,NAC Breda,Waalwijk,0,1,A,0,0,D,1.7,3.4,4.15,1.8,3,3.5,1.73,3.25,4.2,1.8,3.4,3.6,1.75,3.5,3.6
N1,08/12/01,Willem II,Heerenveen,2,2,D,1,0,H,2.35,3.1,2.65,2.3,2.9,2.5,2.3,3.2,2.62,2.4,3.2,2.5,2.3,3.3,2.5
N1,09/12/01,Feyenoord,Nijmegen,5,0,H,2,0,H,1.25,4.8,9,1.2,4.7,9,1.25,4.6,9,1.25,4.5,10,1.25,4.5,9
N1,09/12/01,Groningen,Sparta,0,0,D,0,0,D,1.8,3.3,3.8,1.9,3,3.1,1.75,3.25,4,1.8,3.4,3.6,1.75,3.4,3.75
N1,09/12/01,PSV Eindhoven,Twente,1,0,H,0,0,D,1.33,4.25,7.25,1.3,4,7,1.33,4,8,1.29,4.5,8,1.25,4.5,9
N1,14/12/01,For Sittard,NAC Breda,2,3,A,1,2,A,3.35,3.2,1.95,2.9,3,2,3.2,3.2,2,2.8,3.4,2.1,2.75,3.4,2.1
N1,15/12/01,Graafschap,Willem II,1,1,D,0,0,D,2.27,3.2,2.75,2.3,2.9,2.5,2.25,3.2,2.7,2.2,3.4,2.62,2.1,3.4,2.75
N1,15/12/01,Den Bosch,Vitesse,4,1,H,1,1,D,2.85,3.2,2.18,2.4,2.9,2.4,2.7,3.1,2.3,2.7,3.25,2.25,2.6,3.25,2.25
N1,15/12/01,Roda JC,Ajax,1,1,D,1,0,H,3.25,3.25,2,3.2,3.1,2,3.2,3.2,2,3.25,3.4,1.91,3,3.3,2
N1,15/12/01,Twente,AZ Alkmaar,0,0,D,0,0,D,1.82,3.4,3.6,1.75,3.1,3.6,1.8,3.4,3.6,1.83,3.3,3.6,1.85,3.4,3.3
N1,16/12/01,Feyenoord,PSV Eindhoven,0,0,D,0,0,D,2.05,3.3,3.1,1.85,3.2,3.4,2,3.2,3.2,1.91,3.4,3.25,2,3.4,3
N1,16/12/01,Groningen,Utrecht,2,2,D,1,0,H,2.52,3.2,2.47,2.3,2.9,2.5,2.4,3.4,2.4,2.4,3.4,2.4,2.35,3.3,2.45
N1,16/12/01,Nijmegen,Heerenveen,1,0,H,0,0,D,2.85,3.3,2.12,2.9,2.9,2.1,2.7,3.25,2.25,2.6,3.25,2.3,2.5,3.3,2.3
N1,16/12/01,Waalwijk,Sparta,1,1,D,0,1,A,1.55,3.7,5,1.45,3.5,5,1.57,3.5,5,1.53,3.6,5,1.6,3.5,4.5
N1,19/12/01,Ajax,Vitesse,5,1,H,3,1,H,1.57,3.6,5,1.7,3.2,4.2,1.53,3.4,5.5,1.5,3.6,5.5,1.55,3.5,5
N1,19/12/01,For Sittard,Utrecht,3,3,D,0,1,A,3.15,3.3,2,2.8,3,2.1,3,3.3,2.05,2.9,3.4,2,3.1,3.25,2
N1,19/12/01,Heerenveen,Den Bosch,2,0,H,1,0,H,1.45,3.8,6.2,1.4,3.6,5.5,1.44,3.6,6.5,1.57,3.5,5,1.45,3.6,6
N1,19/12/01,Twente,Feyenoord,3,2,H,1,0,H,3.55,3.3,1.88,3.5,3.1,1.9,3.6,3.4,1.8,3.6,3.25,1.83,3.6,3.5,1.75
N1,22/12/01,NAC Breda,Heerenveen,2,1,H,2,0,H,2.2,3.15,2.85,2.1,2.9,2.9,2.2,3.2,2.8,2.2,3.25,2.75,2.1,3.3,2.8
N1,22/12/01,PSV Eindhoven,Groningen,8,0,H,5,0,H,1.2,5.25,10,1.15,5.5,11,1.25,4.6,9,1.25,4.5,10,1.2,5,9.5
N1,22/12/01,Vitesse,Waalwijk,1,1,D,1,1,D,1.63,3.45,4.6,1.65,3.3,4.4,1.67,3.3,4.5,1.8,3.4,3.6,1.7,3.4,4
N1,22/12/01,Willem II,Twente,3,3,D,1,1,D,1.9,3.3,3.4,1.8,3,3.5,1.91,3.4,3.25,1.91,3.2,3.5,1.8,3.2,3.75
N1,23/12/01,Nijmegen,Roda JC,1,0,H,1,0,H,2.25,3.15,2.75,2.1,3,2.8,2.1,3.2,3,2.1,3.5,2.75,2.1,3.3,2.8
N1,23/12/01,Utrecht,Ajax,3,1,H,0,1,A,2.55,3.15,2.43,2.4,3.1,2.4,2.7,3.2,2.25,2.7,3.25,2.25,2.6,3.3,2.25
N1,25/01/02,Sparta,Heerenveen,1,4,A,0,1,A,2.75,3.1,2.3,2.9,3,2.2,2.5,3.3,2.375,2.5,3.25,2.375,2.5,3.25,2.35
N1,26/01/02,AZ Alkmaar,Groningen,3,2,H,2,0,H,1.67,3.4,4.4,1.75,3.1,3.6,1.615,3.5,4.6,1.667,3.4,4.333,1.65,3.4,4.3
N1,26/01/02,Graafschap,For Sittard,5,0,H,2,0,H,1.63,3.5,4.5,1.7,3.1,3.8,1.667,3.4,4.333,1.667,3.4,4.333,1.65,3.4,4.3
N1,26/01/02,PSV Eindhoven,NAC Breda,3,1,H,2,0,H,1.4,3.9,6.5,1.45,3.8,5.4,1.4,3.75,7,1.4,3.75,7,1.4,3.8,6.5
