Country, #, Position, FIFA Display Name, Last Name, First Name, Shirt Name, Date of Birth, Club, Club Country, Height
Australia, 11, Defender, Scott CHIPPERFIELD, CHIPPERFIELD, Scott Kenneth, CHIPPERFIELD, 30 Dec 1975, Basel, SUI, 180
Australia, 12, Goalkeeper, Adam FEDERICI, FEDERICI, Adam Jay, FEDERICI, 31 Jan 1985, Reading, ENG, 188
Australia, 13, Midfielder, Vince GRELLA, GRELLA, Vincenzo, GRELLA, 05 Oct 1979, Blackburn Rovers, ENG, 183
Australia, 14, Forward, Brett HOLMAN, HOLMAN, Brett Trevor, HOLMAN, 27 Mar 1984, AZ Alkmaar, NED, 176
Australia, 15, Midfielder, Mile JEDINAK, JEDINAK, Michael John, JEDINAK, 03 Aug 1984, Antalyaspor, TUR, 188
Australia, 16, Midfielder, Carl VALERI, VALERI, Carl, VALERI, 14 Aug 1984, Sassuolo, ITA, 180
Australia, 17, Forward, Nikita RUKAVYTSYA, RUKAVYTSYA, Nikita, RUKAVYTSYA, 22 Jun 1987, Twente Enschede, NED, 183
Australia, 18, Goalkeeper, Brad JONES, JONES, Bradley Scott, JONES, 19 Mar 1982, Middlesbrough, ENG, 193
Australia, 19, Forward, Richard GARCIA, GARCIA, Richard, GARCIA, 04 Sep 1981, Hull City, ENG, 180
Australia, 20, Defender, Mark MILLIGAN, MILLIGAN, Mark Daniel, MILLIGAN, 04 Aug 1985, JEF United Ichihara, JPN, 178
Australia, 21, Defender, David CARNEY, CARNEY, David Raymond, CARNEY, 30 Nov 1983, Twente Enschede, NED, 181
Australia, 22, Midfielder, Dario VIDOSIC, VIDOSIC, Dario, VIDOSIC, 08 Apr 1987, MSV Duisburg, GER, 185
Australia, 23, Forward, Marco BRESCIANO, BRESCIANO, Mark, BRESCIANO, 11 Feb 1980, Palermo, ITA, 182
Brazil, 1, Goalkeeper, JULIO CESAR, SOARES DE ESPINDOLA, Julio Cesar, JULIO CESAR, 03 Sep 1979, Inter, ITA, 186
Brazil, 2, Defender, MAICON, SISENANDO, Maicon Douglas, MAICON, 26 Jul 1981, Inter, ITA, 186
Brazil, 3, Defender, LUCIO, DA SILVA FERREIRA, Lucimar, LÚCIO, 08 May 1978, Inter, ITA, 188
Brazil, 4, Defender, JUAN, SILVEIRA DOS SANTOS, Juan, JUAN, 01 Feb 1979, AS Roma, ITA, 182
Brazil, 5, Midfielder, FELIPE MELO, MELO DE CARVALHO, Felipe, FELIPE MELO, 26 Jun 1983, Juventus, ITA, 183
Brazil, 6, Defender, MICHEL BASTOS, FERNANDES BASTOS, Michel M., BASTOS, 02 Aug 1983, Lyon, FRA, 179
Brazil, 7, Midfielder, ELANO, BLUMER, Elano, ELANO, 14 Jun 1981, Galatasaray, TUR, 174
Brazil, 8, Midfielder, GILBERTO SILVA, DA SILVA, Gilberto Aparecido, G. SILVA, 07 Oct 1976, Panathinaikos, GRE, 184
Brazil, 9, Forward, LUIS FABIANO, CLEMENTE, Luis Fabiano, L. FABIANO, 08 Nov 1980, Sevilla FC, ESP, 186
Brazil, 10, Midfielder, KAKA, IZECSON DOS SANTOS LEITE, Ricardo, KAKÁ, 22 Apr 1982, Real Madrid, ESP, 186
Brazil, 11, Forward, ROBINHO, DE SOUZA, Robson, ROBINHO, 25 Jan 1984, Santos, BRA, 175
Brazil, 12, Goalkeeper, GOMES, DA SILVA GOMES, Heurelho, GOMES, 15 Feb 1981, Tottenham Hotspur, ENG, 191
Brazil, 13, Defender, DANI ALVES, ALVES DA SILVA, Daniel D., ALVES, 06 May 1983, Barcelona, ESP, 173
Brazil, 14, Defender, LUISAO, DA SILVA, Anderson Luis, LUISÃO, 13 Feb 1981, Benfica, POR, 193
Brazil, 15, Defender, THIAGO SILVA, DA SILVA, Thiago Emiliano, T. SILVA, 22 Sep 1984, AC Milan, ITA, 183
Brazil, 16, Defender, GILBERTO MELO, DA SILVA MELO, Gilberto, GILBERTO, 25 Apr 1976, Cruzeiro, BRA, 180
Brazil, 17, Midfielder, JOSUE, DE OLIVEIRA, Josué Anunciado, JOSUÉ, 19 Jul 1979, Wolfsburg, GER, 169
Brazil, 18, Midfielder, RAMIRES, SANTOS DO NASCIMENTO, Ramires, RAMIRES, 24 Mar 1987, Benfica, POR, 179
Brazil, 19, Midfielder, JULIO BAPTISTA, BAPTISTA, Julio Cesar J., BAPTISTA, 01 Oct 1981, AS Roma, ITA, 185
Brazil, 20, Midfielder, KLEBERSON, PEREIRA, José Kleberson, KLEBERSON, 19 Jun 1979, Flamengo, BRA, 175
Brazil, 21, Forward, NILMAR, HONORATO DA SILVA, Nilmar, NILMAR, 14 Jul 1984, Villarreal, ESP, 180
Brazil, 22, Goalkeeper, DONI, MARANGON, Donieber Alexander, DONI, 22 Oct 1979, AS Roma, ITA, 194
Brazil, 23, Forward, GRAFITE, LIBANIO BATISTA, Edinaldo, GRAFITE, 02 Apr 1979, Wolfsburg, GER, 189
Cameroon, 1, Goalkeeper, Idriss KAMENI, KAMENI, Idris Carlos, KAMENI, 18 Feb 1984, Espanyol, ESP, 185
Cameroon, 2, Defender, Benoit ASSOU-EKOTTO, ASSOU-EKOTTO, Benoit, ASSOU EKOTTO, 24 Mar 1984, Tottenham Hotspur, ENG, 178
Cameroon, 3, Defender, Nicolas NKOULOU, NKOULOU NDOUBENA, Nicolas Julio, NKOULOU, 27 Mar 1990, Monaco, FRA, 185
Cameroon, 4, Defender, Rigobert SONG, SONG BAHANAG, Rigobert, SONG, 01 Jul 1976, Trabzonspor, TUR, 185
Cameroon, 5, Defender, Sebastien BASSONG, BASSONG NGUEMA, Sebastien Aymer, BASSONG, 09 Jul 1986, Tottenham Hotspur, ENG, 187
Cameroon, 6, Midfielder, Alexandre SONG, SONG BILONG, Alexandre Dimitri, A. SONG, 09 Sep 1987, Arsenal, ENG, 183
Cameroon, 7, Midfielder, Landry NGUEMO, TSAFACK NGUEMO, Joel Landry, NGUEMO, 28 Nov 1985, Celtic, SCO, 172
Cameroon, 8, Defender, GEREMI, NJITAP FOTSO, Geremi Sorelle, NJITAP, 20 Dec 1978, Ankaragucu, TUR, 177
Cameroon, 9, Forward, Samuel ETOO, ETO'O FILS, Samuel, ETO'O, 10 Mar 1981, Inter, ITA, 178
Cameroon, 10, Forward, Achille EMANA, EMANA EDZIMBI, Achille, EMANA, 05 Jun 1982, Betis Sevilla, ESP, 180
Cameroon, 11, Midfielder, Jean MAKOUN, MAKOUN, Jean II, MAKOUN, 29 May 1983, Lyon, FRA, 170
Cameroon, 12, Defender, Gaetan BONG, BONG, Thomas Gaëtan, BONG, 25 Apr 1988, Valenciennes, FRA, 183
Cameroon, 13, Forward, Eric CHOUPO MOTING, CHOUPO MOTING, Eric Maxim, CHOUPO - MOTING, 23 Mar 1989, Nuremberg, GER, 190
Cameroon, 14, Defender, Aurelien CHEDJOU, CHEDJOU FONGANG, Aurelien Bayard, CHEDJOU, 20 Jun 1985, Lille, FRA, 185
Cameroon, 15, Forward, Pierre WEBO, WEBO KOUAMO, Pierre Achille, WEBO, 20 Jan 1982, Mallorca, ESP, 180
Cameroon, 16, Goalkeeper, Souleymanou HAMIDOU, HAMIDOU, Souleymanou, SOULEYMANOU, 22 Nov 1973, Kayserispor, TUR, 187
Cameroon, 17, Forward, Mohamadou IDRISSOU, IDRISSOU, Mohamadou, IDRISSOU, 08 Mar 1980, SC Freiburg, GER, 190
Cameroon, 18, Midfielder, Eyong ENOH, TARKANG ENOH, Eyong, EYONG, 23 Mar 1986, Ajax, NED, 180
Cameroon, 19, Defender, Stephane MBIA, MBIA ETOUNDI, Stephane, MBIA, 20 May 1986, Marseille, FRA, 190
Cameroon, 20, Midfielder, Georges MANDJECK, MANDJECK, Georges Constant, MANDJECK, 09 Dec 1988, Kaiserslautern, GER, 181
Cameroon, 21, Midfielder, Joel MATIP, MATIP JOB, Joel Andre, MATIP, 08 Aug 1991, Schalke 04, GER, 194
Cameroon, 22, Goalkeeper, Guy NDY, NDY ASSEMBE, Guy Roland, NDY ASSEMBE, 28 Feb 1986, Valenciennes, FRA, 185
Cameroon, 23, Forward, Vincent ABOUBAKAR, ABOUBAKAR, Vincent, ABOUBAKAR, 22 Jan 1992, Coton Sport, CMR, 176
Chile, 1, Goalkeeper, Claudio BRAVO, BRAVO MUNOZ, Claudio Andres, BRAVO, 13 Apr 1983, Real Sociedad, ESP, 183
Chile, 2, Defender, Ismael FUENTES, FUENTES CASTRO, Ismael Ignacio, FUENTES, 04 Aug 1981, Univ. Catolica, CHI, 181
Chile, 3, Defender, Waldo PONCE, PONCE CARRIZO, Waldo Alonso, PONCE, 04 Dec 1982, Univ. Catolica, CHI, 183
Chile, 4, Defender, Mauricio ISLA, ISLA ISLA, Mauricio Anibal, ISLA, 12 Jun 1988, Udinese, ITA, 177
Chile, 5, Defender, Pablo CONTRERAS, CONTRERAS FICA, Pablo Andres, CONTRERAS, 11 Sep 1978, PAOK, GRE, 178
Chile, 6, Midfielder, Carlos CARMONA, CARMONA TELLO, Carlos Emilio, CARMONA, 21 Feb 1987, Reggina, ITA, 179
Chile, 7, Forward, Alexis SANCHEZ, SANCHEZ SANCHEZ, Alexis Alejandro, SANCHEZ, 19 Dec 1988, Udinese, ITA, 168
Chile, 8, Midfielder, Arturo VIDAL, VIDAL PARDO, Arturo Erasmo, VIDAL, 22 May 1987, Bayer Leverkusen, GER, 178
Chile, 9, Forward, Humberto SUAZO, SUAZO PONTIVO, Humberto Andres, SUAZO, 10 May 1981, Zaragoza, ESP, 171
Chile, 10, Midfielder, Jorge VALDIVIA, VALDIVIA TORO, Jorge Luis, VALDIVIA, 19 Oct 1983, Al Ain, UAE, 173
Chile, 11, Forward, Mark GONZALEZ, GONZALEZ HOFFMANN, Mark Dennis M., GONZALEZ, 10 Jul 1984, CSKA Moscow, RUS, 175
Chile, 12, Goalkeeper, Miguel PINTO, PINTO JEREZ, Miguel Angel, PINTO, 04 Jul 1983, Univ. de Chile, CHI, 180
Chile, 13, Midfielder, Marco ESTRADA, ESTRADA QUINTEROS, Marco Andres, ESTRADA, 28 May 1983, Univ. de Chile, CHI, 174
Chile, 14, Midfielder, Matias FERNANDEZ, FERNANDEZ FERNANDEZ, Matias Ariel, FERNANDEZ, 15 May 1986, Sporting Lisbon, POR, 176
Chile, 15, Forward, Jean BEAUSEJOUR, BEAUSEJOUR COLIQUEO, Jean Andre, BEAUSEJOUR, 01 Jun 1984, America, MEX, 178
Chile, 16, Forward, Fabian ORELLANA, ORELLANA VALENZUELA, Fabian Ariel, ORELLANA, 27 Jan 1986, Xerez, ESP, 168
Chile, 17, Defender, Gary MEDEL, MEDEL SOTO, Gary Alexis, MEDEL, 03 Aug 1987, Boca Juniors, ARG, 171
Chile, 18, Defender, Gonzalo JARA, JARA REYES, Gonzalo Alejandro, JARA, 29 Aug 1985, West Bromwich Albion, ENG, 177
Chile, 19, Midfielder, Gonzalo FIERRO, FIERRO CANIULLAN, Gonzalo Antonio, FIERRO, 21 Mar 1983, Flamengo, BRA, 171
Chile, 20, Midfielder, Rodrigo MILLAR, MILLAR CARVAJAL, Rodrigo Javier, MILLAR, 03 Nov 1981, Colo Colo, CHI, 182
Chile, 21, Midfielder, Rodrigo TELLO, TELLO VALENZUELA, Rodrigo Alvaro, TELLO, 14 Oct 1979, Besiktas, TUR, 171
Chile, 22, Forward, Esteban PAREDES, PAREDES QUINTANILLA, Esteban Efrain, PAREDES, 01 Aug 1980, Colo Colo, CHI, 179
Chile, 23, Goalkeeper, Luis MARIN, MARIN BARAHONA, Luis Antonio, MARIN, 18 May 1983, Union Espanola, CHI, 186
Côte d'Ivoire, 1, Goalkeeper, Boubacar BARRY, BARRY, Boubacar, BARRY, 30 Dec 1979, Lokeren, BEL, 180
Côte d'Ivoire, 2, Defender, Brou ANGOUA, ANGOUA, Brou Benjamin, ANGOUA, 28 Nov 1986, Valenciennes, FRA, 178
Côte d'Ivoire, 3, Defender, Arthur BOKA, BOKA, Etienne Arthur, BOKA, 02 Apr 1983, VfB Stuttgart, GER, 166
Côte d'Ivoire, 4, Defender, Kolo TOURE, TOURE, Kolo Habib, TOURE KOLO, 19 Mar 1981, Manchester City, ENG, 183
Côte d'Ivoire, 5, Midfielder, Didier ZOKORA, ZOKORA, Alain Didier Deguy, ZOKORA, 14 Dec 1980, Sevilla FC, ESP, 183
Côte d'Ivoire, 6, Defender, Steve GOHOURI, GOHOURI, Lohore Steve Ulrich, GOHOURI, 08 Feb 1981, Wigan, ENG, 187
Côte d'Ivoire, 7, Forward, Seydou DOUMBIA, DOUMBIA, Seydou, DOUMBIA, 31 Dec 1987, Young Boys, SUI, 183
Côte d'Ivoire, 8, Forward, Salomon KALOU, KALOU, Salomon Armand Magloire, KALOU, 05 Aug 1985, Chelsea, ENG, 175
Côte d'Ivoire, 9, Midfielder, Ismael TIOTE, TIOTE CHEIK, Ismael, TIOTE, 21 Jun 1986, Twente Enschede, NED, 175
Côte d'Ivoire, 10, Forward, GERVINHO, YAO KOUASSI, Gervais, GERVINHO, 27 May 1987, Lille, FRA, 179
Côte d'Ivoire, 11, Forward, Didier DROGBA, DROGBA TEBILY, Didier Yves, DROGBA, 11 Mar 1978, Chelsea, ENG, 180
Côte d'Ivoire, 12, Midfielder, Jean Jacques GOSSO, GOSSO, Jean Jacques, GOSSO, 15 Mar 1983, Monaco, FRA, 177
Côte d'Ivoire, 13, Midfielder, ROMARIC, N'DRI, Koffi Christian Romaric, ROMARIC, 04 Jun 1983, Sevilla FC, ESP, 187
Côte d'Ivoire, 14, Midfielder, Emmanuel KONE, KONE KOUAMATIEN, Emmanuel, KONE, 31 Dec 1986, International, ROU, 177
Côte d'Ivoire, 15, Forward, Aruna DINDANE, DINDANE, Aruna, DINDANE, 26 Nov 1980, Portsmouth, ENG, 174
Côte d'Ivoire, 16, Goalkeeper, Aristide ZOGBO, ZOGBO, Aristide Benoit, ZOGBO, 30 Dec 1981, Maccabi Netanya, ISR, 183
Côte d'Ivoire, 17, Defender, Siaka TIENE, TIENE, Siaka, TIENE, 22 Feb 1982, Valenciennes, FRA, 176
Côte d'Ivoire, 18, Forward, Kader KEITA, KEITA, Abdul Kader, KEITA, 06 Aug 1981, Lyon, FRA, 184
Côte d'Ivoire, 19, Midfielder, Yaya TOURE, TOURE, Yaya Gnegneri, TOURE YAYA, 13 May 1983, Barcelona, ESP, 189
Côte d'Ivoire, 20, Defender, Guy DEMEL, DEMEL, Guy, DEMEL, 13 Jun 1981, Hamburger SV, GER, 191
Côte d'Ivoire, 21, Defender, Emmanuel EBOUE, EBOUE, Emmanuel, EBOUE, 04 Jun 1983, Arsenal, ENG, 178
Côte d'Ivoire, 22, Defender, Souleymane BAMBA, BAMBA, Souleman, BAMBA, 13 Jan 1985, Hibernian, SCO, 190
Côte d'Ivoire, 23, Goalkeeper, Daniel YEBOAH, YEBOAH, Daniel Techi, YEBOAH, 13 Nov 1984, ASEC Mimosas, CIV, 187
Denmark, 1, Goalkeeper, Thomas SORENSEN, SORENSEN, Thomas Løvendahl, SØRENSEN, 12 Jun 1976, Stoke City, ENG, 185
Denmark, 2, Midfielder, Christian POULSEN, POULSEN, Christian Bjørnshøj, C. POULSEN, 28 Feb 1980, Juventus, ITA, 182
Denmark, 3, Defender, Simon KJAER, KJAER, Simon Thorup, KJÆR, 26 Mar 1989, Palermo, ITA, 191
Denmark, 4, Defender, Daniel AGGER, AGGER, Daniel Munthe, AGGER, 12 Dec 1984, Liverpool, ENG, 188
Denmark, 5, Midfielder, William KVIST, KVIST JØRGENSEN, William, KVIST, 24 Feb 1985, Copenhagen, DEN, 185
Denmark, 6, Defender, Lars JACOBSEN, JACOBSEN, Lars Christian, L. JACOBSEN, 20 Sep 1979, Blackburn Rovers, ENG, 184
Denmark, 7, Midfielder, Daniel JENSEN, JENSEN, Daniel Monberg, JENSEN, 25 Jun 1979, Werder Bremen, GER, 180
Denmark, 8, Forward, Jesper GRONKJAER, GRONKJAER, Jesper, GRØNKJÆR, 12 Aug 1977, Copenhagen, DEN, 187
Denmark, 9, Forward, Jon Dahl TOMASSON, TOMASSON, Jon Dahl, TOMASSON, 29 Aug 1976, Feyenoord, NED, 182
Denmark, 10, Midfielder, Martin JORGENSEN, JORGENSEN, Lars Martin, JØRGENSEN, 06 Oct 1976, AGF Aarhus, DEN, 180
Denmark, 11, Forward, Nicklas BENDTNER, BENDTNER, Nicklas, BENDTNER, 16 Jan 1988, Arsenal, ENG, 194
Denmark, 12, Midfielder, Thomas KAHLENBERG, KAHLENBERG, Thomas, KAHLENBERG, 20 Mar 1983, Wolfsburg, GER, 185
Denmark, 13, Defender, Per KROLDRUP, KROLDRUP, Per Billeskov, KRØLDRUP, 31 Jul 1979, Fiorentina, ITA, 194
Denmark, 14, Midfielder, Jakob POULSEN, POULSEN, Jakob Bendix Uhd, J. POULSEN, 07 Jul 1983, AGF Aarhus, DEN, 185
Denmark, 15, Defender, Simon POULSEN, BUSK POULSEN, Simon, S.B. POULSEN, 07 Apr 1984, AZ Alkmaar, NED, 187
Denmark, 16, Goalkeeper, Stephan ANDERSEN, ANDERSEN, Stephan Maigaard, ANDERSEN, 26 Nov 1981, Brondby, DEN, 188
Denmark, 17, Forward, Mikkel BECKMANN, BECKMANN, Mikkel, BECKMANN, 24 Oct 1983, Randers, DEN, 178
Denmark, 18, Forward, Soren LARSEN, LARSEN, Soren, LARSEN, 06 Sep 1981, MSV Duisburg, GER, 194
Denmark, 19, Forward, Dennis ROMMEDAHL, ROMMEDAHL, Dennis, ROMMEDAHL, 22 Jul 1978, Ajax, NED, 178
Denmark, 20, Midfielder, Thomas ENEVOLDSEN, ENEVOLDSEN, Thomas, ENEVOLDSEN, 27 Jul 1987, Groningen, NED, 182
Denmark, 21, Midfielder, Christian ERIKSEN, ERIKSEN, Christian Dannemann, ERIKSEN, 14 Feb 1992, Ajax, NED, 181
Denmark, 22, Goalkeeper, Jesper CHRISTIANSEN, RINGSBORG CHRISTIANSEN, Jesper, CHRISTIANSEN, 24 Apr 1978, Copenhagen, DEN, 192
Denmark, 23, Defender, Patrick MTILIGA, MTILIGA, Patrick Jan, MTILIGA, 28 Jan 1981, Malaga, ESP, 170
England, 1, Goalkeeper, David JAMES, JAMES, David Benjamin, JAMES, 01 Aug 1970, Portsmouth, ENG, 196
England, 2, Defender, Glen JOHNSON, JOHNSON, Glen, JOHNSON, 23 Aug 1984, Liverpool, ENG, 178
England, 3, Defender, Ashley COLE, COLE, Ashley, A COLE, 20 Dec 1980, Chelsea, ENG, 173
England, 4, Midfielder, Steven GERRARD, GERRARD, Steven George, GERRARD, 30 May 1980, Liverpool, ENG, 185
England, 5, Defender, Rio FERDINAND, FERDINAND, Rio Gavin, FERDINAND, 07 Nov 1978, Manchester Utd., ENG, 188
England, 6, Defender, John TERRY, TERRY, John George, TERRY, 07 Dec 1980, Chelsea, ENG, 188
England, 7, Midfielder, Aaron LENNON, LENNON, Aaron, LENNON, 16 Apr 1987, Tottenham Hotspur, ENG, 165
England, 8, Midfielder, Frank LAMPARD, LAMPARD, Frank James, LAMPARD, 20 Jun 1978, Chelsea, ENG, 183
England, 9, Forward, Peter CROUCH, CROUCH, Peter James, CROUCH, 30 Jan 1981, Tottenham Hotspur, ENG, 201
England, 10, Forward, Wayne ROONEY, ROONEY, Wayne Mark, ROONEY, 24 Oct 1985, Manchester Utd., ENG, 178
England, 11, Midfielder, Joe COLE, COLE, Joseph John, J COLE, 08 Nov 1981, Chelsea, ENG, 175
England, 12, Goalkeeper, Robert GREEN, GREEN, Robert Paul, GREEN, 18 Jan 1980, West Ham Utd., ENG, 187
England, 13, Defender, Stephen WARNOCK, WARNOCK, Stephen, WARNOCK, 12 Dec 1981, Aston Villa, ENG, 175
England, 14, Midfielder, Gareth BARRY, BARRY, Gareth, BARRY, 23 Feb 1981, Manchester City, ENG, 180
England, 15, Defender, Matt UPSON, UPSON, Matthew, UPSON, 18 Apr 1979, West Ham Utd., ENG, 185
