Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,BSH,BSD,BSA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,,,
P1,21/08/10,Setubal,Sp Braga,0,0,D,0,0,D,5.25,3.4,1.7,4.5,3.25,1.75,4.5,3.25,1.75,4.2,3.1,1.8,3.75,3.25,1.8,4.5,3.25,1.75,4.5,3.4,1.73,4.75,3.25,1.8,4.75,3.4,1.73,4.2,3.25,1.8,27,5.54,4.73,3.64,3.32,1.8,1.73,20,2.33,2.22,1.65,1.59,10,0.75,1.96,1.9,2,1.95,,,
P1,22/08/10,Leiria,Pacos Ferreira,0,0,D,0,0,D,2.2,3.1,3.4,2.3,2.95,3.1,2.25,3,3.1,2.2,2.9,3.2,2.2,3.2,2.8,2.2,3,3.2,2.25,3.1,3,2.3,3,3.25,2.25,3,3.2,2.2,3,3.2,27,2.38,2.26,3.23,3.01,3.4,3.17,16,2.65,2.45,1.55,1.5,17,0,1.69,1.61,2.38,2.23,,,
P1,22/08/10,Portimonense,Naval,0,1,A,0,1,A,2.4,3.2,2.9,2.45,2.95,2.85,2.4,3,2.85,2.4,2.9,2.9,2.38,3.1,2.6,2.35,3.05,2.85,2.4,3,2.9,2.5,2.9,3,2.38,3,3,2.38,3,2.88,29,2.51,2.39,3.2,2.98,3.25,2.98,18,2.7,2.49,1.53,1.48,19,0,1.78,1.69,2.25,2.09,,,
P1,22/08/10,Porto,Beira Mar,3,0,H,2,0,H,1.18,6.5,13,1.16,5.75,15.5,1.18,5.75,12,1.17,5.4,13,1.12,6.5,12,1.18,6,11,1.17,6,13,1.18,6.2,15,1.18,6,13,1.2,5.5,12,28,1.21,1.18,6.5,5.87,15.58,13.33,23,1.8,1.72,2.24,2.04,10,-1.75,1.9,1.87,2.04,1.99,,,
P1,22/08/10,Sp Lisbon,Maritimo,1,0,H,0,0,D,1.55,3.7,6.5,1.48,3.7,6.5,1.5,3.75,6,1.5,3.5,6.3,1.5,3.6,5.5,1.45,4,6.25,1.5,3.6,6.5,1.47,3.8,7.5,1.57,3.6,6,1.53,3.75,5.5,29,1.64,1.53,4,3.68,7.5,6.03,20,2.38,2.2,1.67,1.6,11,0,1.2,1.15,5.33,4.68,,,
P1,23/08/10,Guimaraes,Rio Ave,0,0,D,0,0,D,1.67,3.4,5.75,1.65,3.4,5,1.67,3.25,5,1.65,3.3,4.9,1.67,3.25,4.5,1.7,3.3,4.75,1.67,3.25,5.5,1.75,3.3,5,1.67,3.3,5.25,1.67,3.3,5,29,1.75,1.69,3.66,3.32,5.75,5.08,20,2.43,2.24,1.65,1.58,11,0,1.29,1.23,4.04,3.68,,,
P1,28/08/10,Benfica,Setubal,3,0,H,2,0,H,1.22,5.5,15,1.2,5.5,12,1.2,5.25,13,1.25,4.6,10.5,1.2,5,11,1.2,5.5,12,1.22,5,11,1.2,5.75,12,1.22,5.5,12,1.22,5.5,11,24,1.25,1.22,6,5.39,15,12.49,17,1.7,1.6,2.33,2.2,10,-1.75,1.94,1.9,2.03,1.97,,,
P1,28/08/10,Nacional,Guimaraes,1,3,A,0,0,D,2.2,3.1,3.5,2.15,2.95,3.4,2.15,3,3.3,2.2,2.9,3.2,1.91,3.2,3.5,2.15,3,3.3,2.15,3.1,3.2,2,3.1,3.75,2.1,3,3.5,,,,25,2.25,2.14,3.2,3.08,3.8,3.41,17,2.5,2.36,1.57,1.53,11,0,1.6,1.53,2.63,2.38,,,
P1,29/08/10,Beira Mar,Academica,2,1,H,1,0,H,2.88,3,2.63,2.65,2.95,2.6,2.55,3,2.65,2.5,2.9,2.8,2.5,3.1,2.5,2.5,3,2.7,2.55,3,2.7,2.75,2.88,2.63,2.75,2.88,2.62,2.6,3,2.6,25,2.96,2.67,3.1,2.98,2.8,2.65,17,2.5,2.39,1.55,1.52,18,0,2.05,1.93,1.91,1.85,,,
P1,29/08/10,Olhanense,Leiria,1,0,H,1,0,H,2.4,3.1,3.1,2.35,2.9,3,2.35,3,2.9,2.4,2.9,2.9,2.2,3.2,2.8,2.3,3,3,2.35,3,3,2.6,2.88,2.8,2.4,3,3,2.37,3,2.87,23,2.6,2.37,3.2,3,3.24,2.99,16,2.5,2.41,1.55,1.51,14,0,1.8,1.68,2.28,2.12,,,
P1,29/08/10,Pacos Ferreira,Portimonense,2,2,D,0,1,A,1.83,3.4,4.5,1.8,3.1,4.5,1.85,3.25,4,1.8,3,4.4,1.73,3.25,4.2,1.8,3.25,4.2,1.83,3.3,4,1.91,3,4.33,1.85,3.12,4.33,1.83,3.25,4,24,1.95,1.85,3.44,3.21,4.58,4.22,15,2.35,2.27,1.6,1.55,10,-0.5,1.95,1.9,2,1.97,,,
P1,29/08/10,Rio Ave,Porto,0,2,A,0,1,A,8.5,4.33,1.4,7.25,4,1.4,7,4.1,1.4,7.5,3.7,1.4,7,3.75,1.4,7,3.75,1.44,7,4,1.4,8.5,4.5,1.33,7,4.33,1.4,7.5,4,1.4,25,9.5,7.97,4.6,4.18,1.44,1.39,22,2.15,2,1.83,1.75,10,1.25,1.95,1.92,1.99,1.95,,,
P1,29/08/10,Sp Braga,Maritimo,1,0,H,1,0,H,1.57,3.8,6,1.45,3.8,6.75,1.57,3.5,5.5,1.45,3.6,7,1.57,3.25,5.5,1.5,3.6,6.25,1.53,3.6,6,1.57,3.5,6,1.53,3.8,6,1.5,3.75,6,25,1.58,1.53,4.1,3.64,7,6.21,23,2.11,2.01,1.8,1.74,8,-0.75,1.78,1.74,2.2,2.14,,,
P1,30/08/10,Naval,Sp Lisbon,1,3,A,0,1,A,5,3.4,1.75,4.6,3.2,1.75,4.25,3.25,1.8,4.2,3,1.85,3.5,3.2,1.91,4.5,3.25,1.75,4.2,3.3,1.8,4.5,3.25,1.8,4.4,3.25,1.83,4.2,3.25,1.8,24,5.24,4.54,3.56,3.25,1.91,1.79,16,2.54,2.29,1.6,1.55,9,0.5,2.14,2.08,1.83,1.8,,,
P1,10/09/10,Guimaraes,Benfica,2,1,H,1,1,D,5.5,3.5,1.67,4.75,3.7,1.62,4.75,3.3,1.7,4.7,3.2,1.72,4.33,3.2,1.73,5,3.25,1.7,5,3.4,1.67,5.5,3.4,1.67,4.75,3.6,1.67,4.5,3.4,1.7,25,5.65,5.03,3.94,3.54,1.73,1.67,22,2.05,1.94,1.89,1.82,11,0.75,2.04,2.01,1.9,1.87,,,
P1,11/09/10,Porto,Sp Braga,3,2,H,1,1,D,1.57,3.8,6,1.57,3.6,5.5,1.6,3.5,5.25,1.6,3.4,5.2,1.62,3.25,5,1.65,3.4,5,1.62,3.6,5,1.44,4.2,6.75,1.57,3.8,5.5,1.62,3.5,5.5,23,1.65,1.6,4.2,3.58,6.75,5.63,19,2.2,2.06,1.8,1.72,10,-0.75,1.85,1.81,2.13,2.06,,,
P1,11/09/10,Sp Lisbon,Olhanense,0,0,D,0,0,D,1.3,5,11,1.3,4.4,9.75,1.3,4.5,9,1.25,4.6,10.5,1.29,4.5,8,1.29,4.8,8.5,1.29,4.5,10,1.22,5.25,13,1.29,4.75,10,1.33,4.5,8,22,1.33,1.3,5.25,4.64,13,9.74,20,1.96,1.88,1.95,1.87,11,-1.5,2.1,2.03,1.86,1.81,,,
P1,12/09/10,Academica,Naval,3,0,H,1,0,H,2,3.2,4,1.95,3.1,3.8,2,3,3.75,2,3,3.6,2.1,3.2,3,1.91,3.15,3.8,1.91,3.1,4,2.05,3.1,3.75,1.95,3.1,4,2,3.1,3.6,23,2.07,1.99,3.32,3.15,4.21,3.77,15,2.6,2.43,1.55,1.51,12,-0.5,2.08,2.02,1.88,1.83,,,
P1,12/09/10,Leiria,Nacional,2,1,H,0,0,D,2.8,3,2.7,2.5,2.95,2.75,2.6,3,2.6,2.6,3,2.6,2.5,3.1,2.5,2.5,2.95,2.75,2.88,3.1,2.38,2.88,2.9,2.6,2.75,2.88,2.62,2.6,3,2.6,21,2.9,2.67,3.1,3,2.77,2.64,13,2.58,2.39,1.57,1.51,14,0,2,1.89,1.97,1.9,,,
P1,12/09/10,Maritimo,Pacos Ferreira,1,1,D,0,1,A,2.05,3.25,3.75,1.95,3.1,3.8,2,3.1,3.6,1.9,3.1,3.8,1.91,3.2,3.5,2.05,3.1,3.4,2.1,3.2,3.3,2.05,3.1,3.8,1.95,3.12,3.75,2,3.2,3.4,23,2.08,2.01,3.36,3.17,3.97,3.63,15,2.52,2.37,1.57,1.53,9,0,1.45,1.43,2.7,2.61,,,
P1,12/09/10,Portimonense,Rio Ave,3,1,H,2,0,H,2.63,3,2.8,2.4,2.95,2.9,2.5,3,2.75,2.4,2.9,2.9,2.25,3,2.88,2.5,3,2.7,2.4,3,2.88,2.6,2.9,2.88,2.6,2.88,2.75,2.5,3,2.7,23,2.78,2.54,3.07,2.99,2.94,2.78,15,2.64,2.5,1.5,1.48,17,0,1.93,1.84,2.05,1.97,,,
P1,13/09/10,Setubal,Beira Mar,0,0,D,0,0,D,2.2,3.1,3.5,2.15,2.95,3.4,2.2,3,3.25,2.1,3,3.3,2.1,3,3.2,2.1,3.1,3.3,2.2,3,3.3,2.38,2.9,3.2,2.2,3,3.25,2.2,3,3.2,22,2.38,2.22,3.26,3.03,3.5,3.28,15,2.58,2.43,1.57,1.5,11,-0.25,2,1.93,1.96,1.92,,,
P1,17/09/10,Olhanense,Portimonense,2,0,H,1,0,H,2.1,3.1,3.75,2.05,3,3.6,2.1,3.1,3.3,2,3,3.6,2,3.2,3.2,2,3.1,3.6,2.1,3,3.5,2.1,3.1,3.6,2.05,3.1,3.6,2.1,3.1,3.25,26,2.1,2.01,3.36,3.18,4.23,3.72,16,2.5,2.36,1.57,1.53,12,-0.5,2.03,2.01,1.9,1.85,,,
P1,18/09/10,Beira Mar,Maritimo,1,1,D,0,1,A,2.5,3,2.75,2.45,2.95,2.85,2.4,3,2.85,2.6,2.9,2.7,2.5,3.1,2.5,2.4,3.05,2.8,2.4,3,2.88,2.38,3,3.1,2.5,2.88,2.88,2.4,3,2.8,23,2.74,2.49,3.1,2.99,3.1,2.81,17,2.44,2.3,1.62,1.55,15,0,1.9,1.83,2.02,1.98,,,
P1,18/09/10,Guimaraes,Leiria,1,0,H,0,0,D,1.65,3.4,5,1.6,3.4,5.5,1.65,3.4,5,1.65,3.3,4.9,1.67,3.3,4.5,1.65,3.4,5,1.67,3.4,5,1.67,3.5,5.25,1.67,3.5,5,1.67,3.4,4.75,19,1.75,1.67,3.71,3.45,5.7,5,14,2.3,2.2,1.62,1.6,10,-0.75,1.97,1.94,1.96,1.92,,,
P1,19/09/10,Benfica,Sp Lisbon,2,0,H,1,0,H,1.8,3.25,4.33,1.75,3.3,4.4,1.8,3.25,4.25,1.9,3.1,3.8,1.8,3.2,4,1.8,3.25,4.2,1.83,3.2,4.33,1.85,3.3,4.33,1.83,3.3,4.2,1.83,3.25,4.2,23,1.89,1.81,3.6,3.3,4.63,4.27,22,2.17,2.03,1.8,1.74,11,-0.5,1.89,1.83,2.07,2.01,,,
P1,19/09/10,Naval,Setubal,0,0,D,0,0,D,2.2,3,3.25,2.1,2.95,3.5,2.15,3,3.3,2.1,3,3.3,2.1,3.2,3,2.05,3.15,3.4,2.25,3,3.2,2.05,3.2,3.6,2.05,3,3.75,2.2,3.1,3.1,23,2.2,2.13,3.24,3.07,4.02,3.4,17,2.63,2.44,1.57,1.5,11,-0.25,1.87,1.83,2.1,2.03,,,
P1,19/09/10,Pacos Ferreira,Sp Braga,2,2,D,0,1,A,4.33,3.25,1.8,4.4,3.3,1.75,4,3.2,1.85,4,3.1,1.85,3.75,3.2,1.83,4,3.2,1.85,3.75,3.25,1.91,3.8,3.3,1.95,4.4,3.12,1.85,3.75,3.2,1.91,23,4.85,4.17,3.54,3.24,1.95,1.85,17,2.38,2.21,1.65,1.6,11,0.5,2.06,1.99,1.88,1.85,,,
P1,19/09/10,Rio Ave,Academica,2,2,D,1,0,H,2.4,3,2.9,2.35,2.95,2.95,2.4,3,2.85,2.5,2.9,2.8,2.3,3.25,2.62,2.38,3,2.88,2.6,3.1,2.6,2.38,3.1,3,2.5,3,2.75,2.4,3.1,2.75,23,2.7,2.46,3.12,3.01,3,2.84,17,2.58,2.42,1.53,1.51,15,0,1.92,1.83,2.1,1.99,,,
P1,20/09/10,Nacional,Porto,0,2,A,0,1,A,6,3.7,1.53,6,3.7,1.5,5.5,3.6,1.55,5.6,3.5,1.55,5.5,3.5,1.53,7,3.75,1.44,6,3.6,1.53,6.2,3.4,1.62,5.5,3.8,1.57,5.5,3.6,1.57,23,7.08,6.1,4.13,3.68,1.62,1.53,21,2.04,1.96,1.87,1.8,11,1,1.98,1.92,1.95,1.92,,,
P1,24/09/10,Sp Braga,Naval,3,1,H,1,0,H,1.44,4.2,7.5,1.37,4.1,8,1.42,4,7,1.45,3.6,7,1.44,3.6,6.5,1.4,4.2,7,1.44,3.75,7.5,1.44,4,7,1.4,4,8,1.4,4,7,27,1.49,1.41,4.45,4.05,9.25,7.76,23,2.2,2.01,1.84,1.76,11,-1,1.8,1.74,2.23,2.16,,,
P1,25/09/10,Academica,Guimaraes,3,1,H,0,0,D,2.5,3,3,2.6,2.95,2.65,2.6,3,2.6,2.5,3,2.7,2.3,3.1,2.75,2.5,2.95,2.75,2.5,3.1,2.7,2.4,3.1,2.88,2.5,2.88,2.88,2.5,3,2.7,25,2.7,2.51,3.09,2.97,3.07,2.81,17,2.54,2.37,1.56,1.52,15,0,1.83,1.77,2.14,2.04,,,
P1,25/09/10,Maritimo,Benfica,0,1,A,0,0,D,5,3.5,1.73,5.5,3.6,1.55,5,3.3,1.67,4.5,3.1,1.75,5,3.25,1.62,5,3.3,1.67,5.5,3.25,1.67,5.5,3.4,1.65,4.75,3.4,1.73,5,3.3,1.67,24,5.5,4.85,3.77,3.39,1.78,1.7,22,2.06,1.98,1.85,1.78,11,0.75,1.92,1.86,2.06,2,,,
P1,25/09/10,Porto,Olhanense,2,0,H,2,0,H,1.17,6.5,17,1.15,6,16,1.17,6,12,1.15,5.7,14,1.17,5.5,12,1.15,7,11,1.2,6,11,1.17,6.5,14,1.17,6,17,1.17,6.5,11,23,1.19,1.16,7,6.32,17,13.32,16,1.67,1.63,2.23,2.15,11,-1.75,1.82,1.78,2.14,2.08,,,
P1,26/09/10,Leiria,Rio Ave,1,0,H,0,0,D,2.1,3.2,3.6,2.1,3,3.4,2.05,3.1,3.4,2.1,3,3.3,1.91,3.1,3.6,2.05,3.1,3.4,2,3.1,3.75,2.05,3,3.75,2.05,3,3.75,2.05,3.1,3.4,20,2.19,2.09,3.24,3.07,3.9,3.5,13,2.64,2.44,1.53,1.5,10,-0.25,1.87,1.83,2.08,2.03,,,
P1,26/09/10,Portimonense,Beira Mar,1,0,H,0,0,D,2.4,3,3.2,2.3,2.95,3.1,2.3,3,3,2.3,3,2.9,2.2,3,3,2.3,3,3,2.25,3,3.2,2.2,3.1,3.25,2.3,3,3.1,2.3,3,3,24,2.47,2.33,3.11,2.99,3.29,3.06,14,2.6,2.4,1.55,1.51,11,0,1.75,1.66,2.25,2.17,,,
P1,26/09/10,Sp Lisbon,Nacional,1,1,D,0,0,D,1.53,3.8,6.5,1.45,3.75,6.5,1.5,3.6,6.5,1.4,3.7,7.5,1.5,3.4,6,1.44,3.75,7,1.44,3.75,7,1.44,3.8,7.5,1.5,3.6,7,1.44,3.8,6.5,24,1.58,1.5,4.06,3.72,7.75,6.5,21,2.02,1.94,1.9,1.81,12,-1,2.06,2,1.9,1.84,,,
P1,27/09/10,Setubal,Pacos Ferreira,1,0,H,1,0,H,2.5,3.1,2.9,2.35,3,2.9,2.3,3,3,2.4,2.9,2.9,2.25,3.1,2.8,2.38,2.9,3,2.4,3,2.88,2.63,2.88,2.8,2.5,3,2.88,2.4,3,2.8,25,2.64,2.43,3.18,2.98,3.15,2.91,17,2.65,2.46,1.53,1.49,15,0,1.84,1.75,2.11,2.06,,,
P1,01/10/10,Leiria,Academica,2,1,H,0,1,A,2.6,3,2.88,2.5,2.95,2.75,2.5,3,2.75,2.4,2.9,2.9,2.25,3.2,2.75,2.4,3,2.85,2.5,3,2.75,2.5,2.9,3,2.5,3,2.75,2.5,3,2.75,23,2.73,2.53,3.2,3,3.01,2.85,14,2.56,2.41,1.57,1.51,17,0,1.88,1.82,2.06,2,,,
P1,02/10/10,Olhanense,Setubal,3,1,H,2,0,H,1.95,3.2,4.2,1.9,3.15,3.9,1.95,3.1,3.75,2.1,3,3.3,2,3.2,3.2,2,3,3.75,1.91,3.2,3.8,2,3,4.1,1.85,3.1,4.2,2,3.1,3.6,25,2.02,1.95,3.28,3.11,4.4,3.94,17,2.75,2.49,1.55,1.48,11,-0.5,2.02,1.96,1.95,1.9,,,
P1,03/10/10,Benfica,Sp Braga,1,0,H,0,0,D,1.75,3.4,5,1.6,3.5,5.25,1.7,3.4,4.5,1.75,3.2,4.3,1.67,3.3,4.5,1.67,3.4,4.75,1.67,3.4,5,1.75,3.25,5,1.67,3.5,5,1.73,3.3,4.5,25,1.76,1.71,3.71,3.4,5.25,4.75,20,2.2,2.06,1.76,1.71,11,-0.75,2.03,2,1.9,1.86,,,
P1,03/10/10,Nacional,Portimonense,3,1,H,1,1,D,1.75,3.3,5.25,1.7,3.25,5,1.7,3.3,4.75,1.7,3.2,4.7,1.8,3.3,3.75,1.7,3.3,4.75,1.73,3.2,5,1.7,3.3,5.5,1.73,3.4,4.75,1.73,3.3,4.5,25,1.8,1.72,3.63,3.34,5.5,4.78,17,2.38,2.27,1.62,1.57,12,-0.75,2.07,2,1.9,1.86,,,
P1,03/10/10,Naval,Pacos Ferreira,1,2,A,1,0,H,2.6,3,2.88,2.4,2.95,2.9,2.45,3,2.8,2.4,2.9,2.9,2.25,3.2,2.75,2.4,2.95,2.88,2.6,3,2.62,2.5,2.9,3,2.5,2.88,2.88,2.5,3,2.75,24,2.66,2.49,3.2,2.97,3.01,2.84,17,2.57,2.4,1.57,1.52,16,0,1.86,1.81,2.08,2.02,,,
P1,03/10/10,Rio Ave,Maritimo,0,0,D,0,0,D,2.6,3,2.88,2.55,3,2.65,2.5,3,2.75,2.4,2.9,2.9,2.3,3.1,2.75,2.4,3,2.85,2.5,3,2.75,2.63,2.88,2.88,2.6,2.88,2.75,2.5,3,2.75,25,2.75,2.56,3.1,2.97,2.94,2.77,17,2.63,2.47,1.55,1.49,17,0,1.94,1.86,2.02,1.95,,,
P1,04/10/10,Beira Mar,Sp Lisbon,1,1,D,1,1,D,4.33,3.25,1.91,4.75,3.3,1.7,4.25,3.25,1.8,4.2,3.1,1.8,3.75,3.3,1.8,4.75,3.3,1.7,4,3.25,1.85,5,3.25,1.75,4.2,3.25,1.85,4.33,3.2,1.8,25,5,4.32,3.46,3.25,1.94,1.83,18,2.3,2.18,1.67,1.61,12,0.5,2,1.95,1.94,1.9,,,
P1,04/10/10,Guimaraes,Porto,1,1,D,0,1,A,6,3.6,1.62,5,3.6,1.6,5,3.4,1.65,5.2,3.4,1.6,5,3.25,1.62,5,3.4,1.65,5,3.5,1.65,5.5,3.5,1.57,5.5,3.5,1.62,5,3.5,1.62,25,6,5.35,3.87,3.46,1.72,1.63,21,2.2,2.06,1.75,1.7,12,0.75,2.06,2.01,1.9,1.85,,,
P1,22/10/10,Academica,Nacional,2,1,H,2,0,H,2.25,3.1,3.4,2.1,3,3.3,2.25,3,3.1,2.3,3,2.9,2.1,3,3.2,2.2,3,3.2,2.15,3.1,3.3,2.38,2.88,3.1,2.25,3.25,3.5,2.25,3.1,3,28,2.38,2.25,3.31,3.08,3.52,3.2,17,2.35,2.27,1.6,1.57,12,-0.25,1.99,1.95,1.96,1.92,,,
P1,23/10/10,Pacos Ferreira,Beira Mar,1,1,D,1,0,H,2,3.2,3.9,1.83,3.1,4.33,1.95,3.1,3.75,1.85,3.1,4,1.8,3.2,4,1.95,3.1,3.75,1.83,3.2,4.2,1.85,3.1,4.75,2,3.25,4.33,2,3.2,3.4,25,2.02,1.94,3.29,3.14,4.75,3.93,18,2.53,2.39,1.57,1.52,11,-0.5,2.03,2,1.9,1.86,,,
P1,23/10/10,Setubal,Guimaraes,2,1,H,2,0,H,3.1,3.1,2.38,2.85,3,2.4,3,3,2.3,2.8,3,2.4,2.62,3.1,2.38,3,3,2.3,2.9,3,2.4,3.25,3,2.3,3.25,3.1,2.5,2.88,3,2.38,25,3.32,2.99,3.1,3.01,2.5,2.38,17,2.5,2.38,1.57,1.52,13,0,2.27,2.16,1.71,1.67,,,
P1,23/10/10,Sp Braga,Olhanense,3,1,H,0,1,A,1.62,3.75,5.5,1.55,3.6,5.75,1.6,3.5,5.25,1.55,3.4,5.8,1.5,3.4,6,1.62,3.5,5,1.62,3.4,5.5,1.5,3.75,7,1.62,3.8,6.5,1.62,3.5,5,26,1.65,1.59,3.86,3.59,7,5.54,18,2.26,2.18,1.73,1.63,11,-0.75,1.83,1.8,2.15,2.09,,,
P1,24/10/10,Maritimo,Naval,1,0,H,0,0,D,1.85,3.4,4.33,1.75,3.25,4.6,1.85,3.2,4,1.85,3,4.2,1.91,3.2,3.5,1.9,3.1,4,1.91,3.25,3.75,1.83,3.25,4.5,1.91,3.4,4.6,1.91,3.2,3.75,26,1.91,1.86,3.43,3.24,4.67,4.17,18,2.5,2.36,1.6,1.54,11,-0.5,1.91,1.86,2.05,1.99,,,
P1,24/10/10,Portimonense,Benfica,0,1,A,0,0,D,7.5,4.5,1.4,7.5,3.8,1.42,7.5,4,1.4,7.5,3.7,1.4,6.5,3.6,1.44,8.5,4,1.33,8,3.6,1.44,8,4.2,1.4,9,4.4,1.44,6.5,4,1.44,26,9.7,7.62,4.5,4.08,1.46,1.41,21,2.14,2.03,1.81,1.74,10,1.25,1.9,1.87,2.04,2.01,,,
P1,24/10/10,Sp Lisbon,Rio Ave,1,0,H,0,0,D,1.4,4.33,8,1.35,4.1,8.75,1.35,4.25,8,1.35,4,8,1.36,4,7,1.35,4.2,8,1.36,4,9,1.33,4.75,8.5,1.4,4.5,10,1.36,4.2,8,26,1.41,1.36,4.75,4.26,10,8.41,21,2.17,2.07,1.8,1.71,10,-1.25,2,1.96,1.94,1.92,,,
P1,25/10/10,Porto,Leiria,5,1,H,3,0,H,1.2,6.25,13,1.18,5.5,14,1.2,5.5,12,1.2,5,12,1.17,5.5,12,1.17,6,13,1.18,6,13,1.17,6.75,14,1.22,6.5,15,1.2,5.5,12,21,1.22,1.2,6.75,5.77,14,12.19,18,1.75,1.68,2.25,2.11,10,-1.75,1.95,1.9,2,1.97,,,
