Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA
P1,19/08/01,Leiria,Santa Clara,2,2,D,2,1,H,,,,1.5,3.4,4.7,,,,1.5,3.4,6,1.45,3.75,5.5
P1,19/08/01,Setubal,Varzim,2,0,H,0,0,D,,,,1.7,3.1,3.8,,,,1.91,3.2,3.5,1.85,3.25,3.4
P1,20/08/01,Farense,Guimaraes,0,1,A,0,1,A,,,,1.75,3.1,3.6,,,,1.91,3,3.75,1.8,3.25,3.8
P1,25/08/01,Benfica,Setubal,3,2,H,2,1,H,,,,1.2,4.7,9,,,,1.25,5,8,1.25,4.5,8.5
P1,25/08/01,Santa Clara,Gil Vicente,0,0,D,0,0,D,,,,2.3,2.9,2.5,,,,2.38,2.88,2.8,2.3,3.3,2.5
P1,25/08/01,Sp Lisbon,Alverca,0,1,A,0,0,D,,,,1.25,4.3,8,,,,1.29,4.5,8,1.3,4.2,7.5
P1,26/08/01,Boavista,Belenenses,2,0,H,0,0,D,,,,1.45,3.5,5,,,,1.44,3.6,6.5,1.45,3.75,5.5
P1,26/08/01,Pacos Ferreira,Leiria,1,2,A,0,1,A,,,,1.6,3.2,4.2,,,,2.1,3,3.2,2,3.4,2.9
P1,26/08/01,Sp Braga,Farense,4,0,H,2,0,H,,,,1.55,3.3,4.5,,,,1.62,3.5,4.5,1.6,3.6,4.2
P1,26/08/01,Varzim,Beira Mar,1,1,D,1,1,D,,,,2.2,2.9,2.7,,,,2.4,2.88,2.75,2.35,3.3,2.45
P1,27/08/01,Maritimo,Porto,1,3,A,1,2,A,,,,3.8,3.1,1.7,,,,3.5,3.2,1.91,3,3.25,2
P1,27/08/01,Salgueiros,Guimaraes,1,3,A,0,1,A,,,,2,2.9,3,,,,1.83,3.2,3.75,1.8,3.4,3.45
P1,02/09/01,Santa Clara,Alverca,2,1,H,0,1,A,,,,2.1,2.9,2.9,2.2,3.1,2.88,2.25,3,2.88,2.35,3,2.65
P1,07/09/01,Alverca,Boavista,1,2,A,0,1,A,,,,,,,2.9,3.1,2.2,3,3,2.2,,,
P1,08/09/01,Belenenses,Maritimo,0,1,A,0,0,D,,,,1.5,3.4,4.7,1.73,3.25,4.2,1.8,3.1,4,1.65,3.25,4.5
P1,08/09/01,Leiria,Sp Lisbon,1,1,D,0,0,D,,,,2.9,2.9,2.1,2.7,3.2,2.25,2.62,3.1,2.38,2.65,3.1,2.3
P1,09/09/01,Beira Mar,Benfica,3,3,D,1,2,A,,,,3.2,2.9,1.9,3.1,3.1,2.1,3.1,3.1,2.1,2.95,3.1,2.1
P1,09/09/01,Porto,Varzim,3,0,H,0,0,D,,,,1.15,5.5,11,1.17,5.5,11,1.17,5.5,12,1.15,6,10
P1,09/09/01,Gil Vicente,Pacos Ferreira,1,1,D,1,0,H,,,,1.7,3.1,3.8,1.8,3.25,3.8,2,3.1,3.3,1.8,3.2,3.7
P1,09/09/01,Farense,Santa Clara,1,0,H,0,0,D,,,,1.85,2.9,3.4,1.91,3.1,3.6,1.73,3.2,4.33,1.85,3.2,3.5
P1,09/09/01,Setubal,Salgueiros,3,0,H,1,0,H,,,,1.7,3.1,3.8,1.85,3.3,3.5,1.91,3.2,3.5,1.75,3.25,3.85
P1,10/09/01,Guimaraes,Sp Braga,2,1,H,1,1,D,,,,2.2,2.9,2.7,2.2,3.2,2.8,2.38,3.1,2.62,2.2,3.15,2.75
P1,14/09/01,Varzim,Belenenses,1,5,A,0,3,A,,,,2.3,2.9,2.5,2.38,3.1,2.62,,,,2.45,3.1,2.45
P1,15/09/01,Boavista,Leiria,1,0,H,0,0,D,,,,1.35,3.8,6.2,1.4,3.75,7,1.44,3.6,6.5,1.4,4,5.75
P1,15/09/01,Benfica,Porto,0,0,D,0,0,D,,,,2.1,2.9,2.9,2.3,3.1,2.7,2.3,3.1,2.75,2.2,3.1,2.87
P1,16/09/01,Maritimo,Alverca,5,0,H,1,0,H,,,,1.7,3.1,3.8,1.8,3.25,3.8,1.83,3.25,3.7,1.7,3.5,3.75
P1,16/09/01,Pacos Ferreira,Farense,1,1,D,0,1,A,,,,1.75,3.1,3.6,1.8,3.25,3.8,1.8,3.25,3.75,1.75,3.5,3.55
P1,16/09/01,Salgueiros,Sp Braga,1,0,H,0,0,D,,,,2.4,2.9,2.4,2.5,3.1,2.5,2.5,2.9,2.6,2.4,3.1,2.5
P1,16/09/01,Santa Clara,Guimaraes,2,0,H,1,0,H,,,,2.2,2.9,2.7,2.3,3.1,2.75,2.25,3.2,2.75,2.25,3.2,2.6
P1,16/09/01,Sp Lisbon,Gil Vicente,3,1,H,1,0,H,,,,1.7,3.1,3.8,1.8,3.25,3.8,1.83,3.25,3.7,1.7,3.5,3.75
P1,16/09/01,Setubal,Beira Mar,4,1,H,2,0,H,,,,1.9,2.9,3.2,2,3.2,3.2,2.2,3,3,2.1,3.25,2.8
P1,21/09/01,Sp Braga,Santa Clara,6,0,H,1,0,H,,,,1.6,3.2,4.2,1.7,3.3,4.33,,,,1.6,3.5,4.3
P1,22/09/01,Porto,Setubal,3,0,H,0,0,D,,,,1.3,4,7,1.33,4,8,,,,1.3,4,8.5
P1,22/09/01,Gil Vicente,Boavista,0,3,A,0,3,A,,,,2.7,2.9,2.2,3,3.2,2.1,,,,2.75,3.2,2.15
P1,23/09/01,Alverca,Varzim,4,2,H,2,1,H,,,,1.6,3.2,4.2,1.62,3.4,4.75,,,,1.55,3.6,4.6
P1,23/09/01,Beira Mar,Salgueiros,1,1,D,1,1,D,,,,1.55,3.3,4.5,1.7,3.3,4.33,,,,1.7,3.5,3.75
P1,23/09/01,Belenenses,Benfica,1,1,D,0,0,D,,,,2.9,2.9,2.1,2.75,3.2,2.25,,,,2.55,3.2,2.3
P1,23/09/01,Farense,Sp Lisbon,1,3,A,1,1,D,,,,2.9,2.9,2.1,2.88,3.1,2.2,,,,2.7,3.2,2.2
P1,23/09/01,Leiria,Maritimo,2,0,H,1,0,H,,,,1.9,2.9,3.2,1.91,3.25,3.4,,,,1.8,3.4,3.4
P1,23/09/01,Guimaraes,Pacos Ferreira,1,1,D,0,1,A,,,,1.8,3,3.5,1.8,3.25,3.8,,,,1.8,3.4,3.4
P1,28/09/01,Setubal,Belenenses,0,1,A,0,1,A,,,,2,2.9,3,2,3.2,3.2,,,,2,3.2,3.05
P1,29/09/01,Beira Mar,Porto,2,0,H,1,0,H,,,,3.8,3.1,1.7,3.75,3.3,1.8,,,,3.45,3.4,1.8
P1,29/09/01,Pacos Ferreira,Sp Braga,0,0,D,0,0,D,,,,2.1,2.9,2.9,2.1,3.2,3,,,,2.1,3.2,2.85
P1,30/09/01,Boavista,Farense,1,1,D,0,0,D,,,,1.2,4.7,9,1.25,4.6,9,1.25,4.5,10,1.25,4.5,8.5
P1,30/09/01,Benfica,Alverca,3,2,H,2,1,H,,,,1.3,4,7,1.3,4.33,8,1.3,4.33,8,1.35,4.1,6.5
P1,30/09/01,Salgueiros,Santa Clara,2,1,H,1,0,H,,,,1.8,2.9,3.6,2.1,3.2,3,1.73,3.2,4.33,1.9,3.4,3.15
P1,30/09/01,Varzim,Leiria,2,0,H,0,0,D,,,,2.7,2.9,2.2,2.62,3.2,2.3,2.62,2.88,2.5,2.55,3.2,2.3
P1,01/10/01,Maritimo,Gil Vicente,2,1,H,2,0,H,,,,1.7,3.1,3.8,1.8,3.3,3.75,1.8,3.25,3.75,,,
P1,01/10/01,Sp Lisbon,Guimaraes,5,0,H,2,0,H,,,,,,,,,,,,,,,
P1,07/10/01,Santa Clara,Boavista,0,2,A,0,1,A,,,,3.4,2.9,1.85,,,,,,,2.9,3.15,2.1
P1,12/10/01,Guimaraes,Boavista,2,0,H,2,0,H,,,,3,2.9,2,,,,,,,3.15,3.1,2
P1,13/10/01,Porto,Salgueiros,3,0,H,2,0,H,,,,1.25,4.3,8,,,,1.25,4.5,10,1.25,4.5,8.5
P1,13/10/01,Santa Clara,Pacos Ferreira,1,1,D,0,0,D,,,,2.1,2.9,2.9,,,,2.1,3.2,3,2.1,3.1,2.95
P1,13/10/01,Sp Braga,Sp Lisbon,2,1,H,0,0,D,,,,2.7,2.9,2.2,,,,2.8,3,2.3,2.65,3.15,2.25
P1,13/10/01,Leiria,Benfica,1,1,D,1,0,H,,,,2.7,2.9,2.2,,,,2.88,3.1,2.2,2.65,3.1,2.3
P1,14/10/01,Alverca,Setubal,1,1,D,0,1,A,,,,1.9,2.9,3.2,,,,1.91,3.1,3.6,1.8,3.2,3.75
P1,14/10/01,Gil Vicente,Varzim,1,0,H,1,0,H,,,,1.55,3.3,4.5,,,,1.73,3.2,4.33,1.65,3.25,4.5
P1,14/10/01,Farense,Maritimo,2,1,H,1,0,H,,,,2.2,2.9,2.7,,,,2.1,3.2,3,2.2,3.05,2.8
P1,15/10/01,Belenenses,Beira Mar,1,5,A,0,2,A,,,,1.65,3.1,4,,,,1.8,3.25,3.75,1.75,3.25,3.85
P1,19/10/01,Maritimo,Guimaraes,2,0,H,0,0,D,1.83,3.3,3.7,1.9,2.9,3.2,,,,,,,1.75,3.25,3.85
P1,20/10/01,Boavista,Sp Braga,3,0,H,1,0,H,1.32,4.25,7.5,1.35,3.8,6.2,,,,,,,1.45,3.5,6.1
P1,20/10/01,Porto,Belenenses,1,2,A,0,1,A,1.3,4.4,8,1.3,4,7,,,,,,,1.3,4.1,8
P1,20/10/01,Benfica,Gil Vicente,2,0,H,0,0,D,1.27,4.6,8,1.3,4,7,,,,,,,1.25,5,8
P1,21/10/01,Beira Mar,Alverca,6,2,H,0,1,A,1.8,3.3,3.8,1.7,3.1,3.8,,,,,,,1.7,3.35,4
P1,21/10/01,Salgueiros,Pacos Ferreira,3,2,H,2,0,H,2.02,3.1,3.25,2.2,2.9,2.7,,,,,,,1.9,3,3.6
P1,21/10/01,Varzim,Farense,2,0,H,1,0,H,2.2,3.1,2.9,2.2,2.9,2.7,,,,,,,2.25,3.15,2.65
P1,21/10/01,Setubal,Leiria,1,1,D,1,1,D,1.9,3.25,3.4,1.85,2.9,3.4,,,,,,,1.9,3.2,3.35
P1,22/10/01,Sp Lisbon,Santa Clara,0,0,D,0,0,D,1.2,4.85,10,1.25,4.3,8,,,,1.22,5,9,1.2,5,9.5
P1,26/10/01,Farense,Benfica,0,2,A,0,1,A,3.3,3.1,2.05,3.4,2.9,1.85,3.2,3.2,2,3.6,2.88,2,3.5,2.85,2
P1,27/10/01,Pacos Ferreira,Sp Lisbon,0,6,A,0,4,A,3.1,3.1,2.1,3,2.9,2,2.88,3.1,2.2,3.1,3.1,2.1,2.75,3.05,2.25
P1,27/10/01,Sp Braga,Maritimo,1,0,H,1,0,H,1.84,3.2,3.8,1.7,3.1,3.8,1.83,3.3,3.6,1.8,3.25,3.75,1.7,3.35,4
P1,27/10/01,Guimaraes,Varzim,4,0,H,2,0,H,1.55,3.5,5.2,1.4,3.6,5.5,1.5,3.5,5.8,1.53,3.4,5.5,1.5,3.5,5.5
P1,28/10/01,Alverca,Porto,0,1,A,0,0,D,3.5,3.15,1.92,3.6,3.1,1.75,3.4,3.25,1.91,3.5,3.2,1.91,3,3.15,2.05
P1,28/10/01,Gil Vicente,Setubal,2,1,H,2,0,H,1.92,3.15,3.5,1.9,2.9,3.2,1.9,3.25,3.4,2,3,3.4,1.85,3.2,3.5
P1,28/10/01,Leiria,Beira Mar,4,1,H,1,1,D,2.1,3.1,3.1,2.1,2.9,2.9,2,3.2,3.2,2,3,3.4,1.95,3.1,3.3
P1,29/10/01,Belenenses,Salgueiros,1,0,H,0,0,D,1.75,3.25,4.1,1.55,3.3,4.5,1.7,3.4,4.2,1.62,3.5,4.5,1.7,3.35,4
P1,02/11/01,Varzim,Sp Braga,0,0,D,0,0,D,2.4,3.1,2.6,2.4,2.9,2.4,2.4,3.2,2.5,2.38,3.1,2.62,2.4,3.2,2.45
P1,03/11/01,Benfica,Guimaraes,0,0,D,0,0,D,1.4,3.8,6.75,1.3,4,7,1.4,3.75,7,1.36,4,7,1.35,4,7
P1,03/11/01,Setubal,Farense,2,0,H,1,0,H,1.9,3.15,3.6,1.8,3,3.5,1.83,3.4,3.5,1.83,3.2,3.75,1.85,3.4,3.3
P1,04/11/01,Beira Mar,Gil Vicente,2,2,D,1,1,D,1.77,3.3,3.9,1.75,3.1,3.6,1.73,3.4,4,1.73,3.4,4,1.7,3.4,4
P1,04/11/01,Belenenses,Alverca,1,1,D,0,1,A,1.7,3.3,4.2,1.55,3.3,4.5,1.67,3.25,4.5,1.62,3.5,4.5,1.65,3.4,4.25
P1,04/11/01,Porto,Leiria,2,1,H,0,1,A,1.25,4.75,8.75,1.2,4.7,9,1.3,4.33,8,1.33,4.33,7,1.3,4.3,7.5
P1,04/11/01,Maritimo,Santa Clara,1,0,H,0,0,D,1.55,3.55,5.1,1.4,3.6,5.5,1.5,3.6,5.5,1.5,3.4,6,1.45,3.6,6
P1,05/11/01,Salgueiros,Sp Lisbon,1,5,A,1,1,D,3.2,3.25,2,3.2,2.9,1.9,3.1,3.3,2,3.2,3.2,2,2.75,3.15,2.2
P1,06/11/01,Boavista,Pacos Ferreira,5,0,H,1,0,H,1.22,4.75,10,1.2,4.7,9,1.22,4.75,10,1.22,5,9,1.22,4.8,9
P1,23/11/01,Guimaraes,Setubal,0,0,D,0,0,D,1.7,3.3,4.35,1.8,2.9,3.6,1.67,3.3,4.5,,,,1.65,3.5,4.1
P1,24/11/01,Alverca,Salgueiros,1,2,A,1,0,H,1.85,3.2,3.7,1.75,3.1,3.6,1.83,3.3,3.6,,,,1.75,3.4,3.7
P1,24/11/01,Sp Braga,Benfica,0,1,A,0,0,D,2.7,2.9,2.45,2.4,3,2.5,2.62,2.9,2.5,,,,2.5,3,2.5
P1,25/11/01,Gil Vicente,Porto,2,5,A,0,3,A,3.5,3.1,1.95,3.5,3,1.8,3.2,3.2,2,,,,3.1,3.2,2
P1,25/11/01,Pacos Ferreira,Maritimo,2,1,H,0,0,D,2.6,3,2.5,2.4,2.9,2.4,2.5,3.25,2.4,,,,2.25,3.2,2.65
P1,25/11/01,Santa Clara,Varzim,1,0,H,1,0,H,1.8,3.2,4,1.7,3.1,3.8,1.8,3.3,3.75,,,,1.75,3.4,3.7
P1,25/11/01,Farense,Beira Mar,1,0,H,1,0,H,2.3,3,2.85,2.2,2.9,2.7,2.2,3.2,2.8,,,,2.2,3.2,2.7
P1,25/11/01,Leiria,Belenenses,3,0,H,1,0,H,2.1,3.15,3.1,2.4,2.9,2.4,2.1,3.2,3,,,,2,3.2,3.1
P1,26/11/01,Sp Lisbon,Boavista,2,0,H,1,0,H,2.08,3.15,3.1,2,3.1,3.2,2.1,3.2,3,,,,2,3,3.4
P1,30/11/01,Porto,Farense,2,0,H,2,0,H,1.23,4.85,9.7,1.15,5.5,11,1.25,4.6,9,1.25,4.5,10,1.25,4.4,9
P1,01/12/01,Maritimo,Sp Lisbon,0,2,A,0,0,D,2.57,3.1,2.42,3.1,3,2.1,2.6,3.1,2.38,2.6,3.1,2.38,2.6,3.15,2.3
P1,01/12/01,Salgueiros,Boavista,1,1,D,0,1,A,3.65,3.2,1.87,4,3.1,1.65,3.6,3.25,1.85,3.75,3.25,1.8,3.4,3.15,1.9
P1,02/12/01,Alverca,Leiria,1,1,D,0,0,D,2.25,3.1,2.85,2.3,2.9,2.5,2.2,3.2,2.8,2.2,3.2,2.8,2.2,3.15,2.75
P1,02/12/01,Beira Mar,Guimaraes,0,0,D,0,0,D,2,3.1,3.35,2,2.9,3,1.95,3.2,3.3,1.91,3.2,3.5,1.9,3.2,3.35
P1,02/12/01,Belenenses,Gil Vicente,1,0,H,0,0,D,1.7,3.3,4.3,1.65,3.1,4,1.73,3.4,4,1.8,3.25,3.75,1.75,3.2,3.9
P1,02/12/01,Benfica,Santa Clara,2,1,H,2,1,H,1.25,4.75,8.9,1.25,4.3,8,1.25,4.6,9,1.2,5,11,1.25,4.4,9
P1,02/12/01,Varzim,Pacos Ferreira,0,3,A,0,2,A,2,3.2,3.3,2.2,2.9,2.7,1.91,3.25,3.4,2,3.1,3.3,1.9,3.2,3.35
P1,03/12/01,Setubal,Sp Braga,0,0,D,0,0,D,2,3.1,3.35,2,3,3.3,2.05,3.2,3.1,1.91,3.2,3.5,1.9,3.2,3.35
P1,07/12/01,Farense,Belenenses,2,2,D,0,0,D,2.35,3,2.75,2.3,3,2.7,2.38,3.1,2.62,,,,2.3,3.15,2.6
P1,08/12/01,Pacos Ferreira,Benfica,2,1,H,2,1,H,3.7,3.2,1.85,3.2,2.9,2.1,3.6,3.3,1.83,3.5,3.2,1.91,3.1,3.2,2
P1,08/12/01,Sp Braga,Beira Mar,3,2,H,1,1,D,1.8,3.2,3.95,1.75,3.1,3.6,1.83,3.2,3.75,1.8,3.1,4,1.7,3.35,4
P1,08/12/01,Guimaraes,Porto,2,0,H,2,0,H,3.2,3.1,2.05,3.3,3,2,3,3.2,2.1,3,3.2,2.1,2.9,3.2,2.1
P1,09/12/01,Boavista,Maritimo,0,1,A,0,1,A,1.37,4.1,6.75,1.3,4.2,8,1.44,3.6,6.5,1.4,3.75,7,1.4,4,5.8
P1,09/12/01,Santa Clara,Setubal,1,0,H,1,0,H,2.05,3.1,3.2,2,2.9,3,2,3.2,3.2,2.1,3.1,3.1,1.9,3.3,3.25
P1,09/12/01,Sp Lisbon,Varzim,4,0,H,4,0,H,1.15,6,11.5,1.15,5.5,11,1.17,5.5,11,1.2,5.5,9,1.2,5.5,8.5
P1,09/12/01,Leiria,Salgueiros,7,0,H,3,0,H,1.7,3.3,4.4,1.65,3.2,3.9,1.67,3.3,4.5,1.67,3.25,4.5,1.6,3.35,4.7
P1,15/12/01,Alverca,Farense,1,0,H,1,0,H,1.9,3.2,3.55,2.1,2.9,2.9,1.83,3.2,3.75,2,3.1,3.3,1.85,3.3,3.4
P1,15/12/01,Beira Mar,Santa Clara,0,1,A,0,0,D,1.7,3.3,4.35,1.7,3.1,3.8,1.7,3.25,4.33,1.67,3.25,4.5,1.7,3.35,4
P1,15/12/01,Belenenses,Guimaraes,2,1,H,2,0,H,2.05,3.1,3.2,2.1,2.9,2.9,2,3.2,3.2,2,3.2,3.2,2,3.3,3
P1,15/12/01,Porto,Sp Braga,0,0,D,0,0,D,1.25,4.5,10,1.25,4.5,9,1.3,4.33,8,1.36,4,7,1.35,4,7
P1,15/12/01,Benfica,Sp Lisbon,2,2,D,1,0,H,2.25,3.15,2.8,2.3,2.9,2.8,2.2,3.1,2.9,2.2,3,3,2.2,3.1,2.87
P1,15/12/01,Salgueiros,Maritimo,2,1,H,0,1,A,2.3,3.1,2.75,2.3,2.9,2.5,2.2,3.2,2.8,2.38,3.1,2.6,2.2,3.2,2.7
P1,15/12/01,Leiria,Gil Vicente,2,1,H,1,0,H,1.7,3.4,4.2,1.65,3.1,4,1.6,3.3,5,1.67,3.25,4.5,1.6,3.5,4.4
P1,15/12/01,Varzim,Boavista,0,2,A,0,1,A,4.05,3.3,1.75,3.6,3.1,1.75,4.2,3.3,1.7,4.33,3.2,1.73,4.2,3.25,1.7
P1,15/12/01,Setubal,Pacos Ferreira,1,3,A,0,1,A,1.95,3.2,3.4,2.1,2.9,2.9,2,3.1,3.3,1.91,3.2,3.5,2,3.25,3
P1,23/12/01,Boavista,Benfica,1,0,H,1,0,H,2.05,3.1,3.25,2,2.9,3.4,2.1,3.1,3.1,2.1,2.9,3.25,2,3,3.4
P1,22/12/01,Maritimo,Varzim,1,1,D,0,1,A,1.31,4.25,8,1.35,3.8,6.2,1.33,4.2,7.5,1.36,4,7,1.3,4.25,7.5
P1,22/12/01,Pacos Ferreira,Beira Mar,0,0,D,0,0,D,1.8,3.25,3.85,1.75,3.1,3.6,1.8,3.3,3.75,1.8,3.25,3.75,1.75,3.5,3.6
P1,22/12/01,Salgueiros,Gil Vicente,3,0,H,0,0,D,1.95,3.2,3.35,2.1,2.9,2.9,1.95,3.25,3.25,1.91,3.2,3.5,1.9,3.3,3.3
P1,22/12/01,Santa Clara,Porto,2,1,H,1,0,H,3.65,3.25,1.85,4,3.3,1.7,3.4,3.25,1.91,3.75,3.2,1.83,3.75,3.5,1.75
P1,22/12/01,Sp Braga,Belenenses,2,3,A,2,0,H,2,3.15,3.3,1.75,3.2,4,1.95,3.2,3.3,2,3.2,3.2,1.9,3.2,3.4
P1,22/12/01,Farense,Leiria,0,1,A,0,0,D,2.4,3,2.7,2.3,3,2.7,2.3,3.2,2.62,2.3,3.2,2.62,2.3,3.2,2.6
P1,22/12/01,Sp Lisbon,Setubal,1,0,H,0,0,D,1.22,5,9.75,1.2,5,10,1.22,4.75,10,1.25,4.5,10,1.2,5,10
P1,22/12/01,Guimaraes,Alverca,2,0,H,1,0,H,1.5,3.65,5.5,1.4,3.9,6,1.5,3.6,5.5,1.53,3.4,5.5,1.55,3.7,4.5
P1,04/01/02,Alverca,Sp Braga,0,3,A,0,1,A,2.32,3.05,2.8,,,,2.25,3.2,2.75,,,,,,
P1,05/01/02,Beira Mar,Sp Lisbon,1,2,A,0,1,A,3.55,3.1,1.95,3.6,3.1,1.85,3.2,3.2,2,3.2,3.2,2,3.1,3.25,2
P1,05/01/02,Benfica,Maritimo,1,1,D,1,1,D,1.35,4.15,7.4,1.35,4,7,1.4,3.75,7,1.33,4.33,7,1.4,3.75,6.5
P1,05/01/02,Leiria,Guimaraes,2,1,H,1,0,H,1.9,3.15,3.7,1.9,2.9,3.2,1.83,3.2,3.75,1.83,3.2,3.75,1.7,3.4,4
P1,06/01/02,Belenenses,Santa Clara,1,1,D,0,1,A,1.75,3.3,4.15,1.55,3.3,4.5,1.75,3.25,4,1.73,3.2,4.33,1.75,3.3,3.9
P1,06/01/02,Porto,Pacos Ferreira,1,0,H,1,0,H,1.3,4.4,8.3,1.25,4.5,9,1.29,4.5,8,1.3,4.33,8,1.35,4,7
P1,06/01/02,Gil Vicente,Farense,3,1,H,0,1,A,1.8,3.25,3.95,1.75,3.1,3.6,1.8,3.25,3.8,1.8,3.25,3.75,1.75,3.3,3.9
P1,06/01/02,Varzim,Salgueiros,0,0,D,0,0,D,2.37,3.2,2.62,2.1,2.9,2.9,2.4,3.2,2.5,2.38,3.1,2.6,2.4,3.25,2.45
P1,07/01/02,Setubal,Boavista,1,1,D,0,0,D,3.65,3.2,1.9,3.2,3.1,2,3.5,3.2,1.91,3.5,3.2,1.91,3.45,3.3,1.85
P1,11/01/02,Gil Vicente,Guimaraes,2,1,H,2,1,H,2.28,3.05,2.85,2.4,2.9,2.7,2.25,3.2,2.75,,,,2,3.3,3
P1,12/01/02,Porto,Sp Lisbon,2,2,D,1,2,A,2,3.15,3.35,2,2.9,3.4,2.1,3.1,3.1,,,,2.1,3.1,3.1
P1,12/01/02,Benfica,Varzim,3,2,H,0,2,A,1.2,5.3,10.5,1.15,6,12,1.2,5.5,9,,,,1.2,5.5,8.5
P1,12/01/02,Farense,Salgueiros,2,1,H,0,1,A,2.25,3.05,2.9,1.9,2.9,3.2,2.25,3.2,2.75,,,,2.25,3.2,2.65
P1,13/01/02,Alverca,Santa Clara,3,1,H,0,1,A,2.25,3.05,2.9,2.2,2.9,2.7,2.25,3.2,2.75,,,,2.2,3.2,2.75
P1,13/01/02,Belenenses,Pacos Ferreira,1,2,A,0,2,A,1.8,3.25,3.95,2,2.9,3.4,1.67,3.25,4.6,,,,1.8,3.25,3.7
P1,13/01/02,Leiria,Sp Braga,3,1,H,2,0,H,1.75,3.25,4.2,1.8,3.1,3.8,1.7,3.25,4.33,,,,1.65,3.3,4.5
P1,13/01/02,Setubal,Maritimo,0,1,A,0,0,D,2.3,3.05,2.82,2.1,2.9,3.2,2.2,3.2,2.8,,,,2.1,3.2,2.9
P1,14/01/02,Beira Mar,Boavista,0,3,A,0,0,D,3.5,3.2,1.93,3.4,2.9,2,3.5,3.2,1.91,,,,3,3.2,2.05
P1,18/01/02,Guimaraes,Farense,3,1,H,1,1,D,1.55,3.4,5.6,1.5,3.4,4.7,1.53,3.5,5.25,1.57,3.5,5,1.5,3.5,5.4
P1,19/01/02,Salgueiros,Benfica,1,4,A,1,1,D,2.95,3.15,2.15,3.4,3.2,1.9,2.8,3.1,2.25,3,3,2.2,3.2,3.1,2
P1,20/01/02,Boavista,Porto,2,0,H,1,0,H,2.35,2.95,2.85,2.3,3,2.7,2.25,3.1,2.8,2.25,3,2.88,2.25,3.1,2.8
P1,20/01/02,Maritimo,Beira Mar,3,1,H,2,0,H,1.6,3.5,4.9,1.75,3.1,3.6,1.57,3.4,5,1.57,3.5,5,1.55,3.5,4.8
P1,20/01/02,Pacos Ferreira,Alverca,2,2,D,1,0,H,1.7,3.4,4.3,1.6,3.2,4.2,1.62,3.4,4.75,1.62,3.25,5,1.6,3.3,4.75
P1,20/01/02,Santa Clara,Leiria,1,1,D,0,0,D,2.4,3.1,2.65,2.4,2.9,2.4,2.3,3.2,2.62,2.38,3.1,2.6,2.35,3.15,2.55
P1,20/01/02,Sp Lisbon,Belenenses,2,0,H,1,0,H,1.37,4.1,7,1.25,4.5,9,1.44,3.6,6.5,1.4,3.75,7,1.45,3.5,6
P1,20/01/02,Varzim,Setubal,2,1,H,1,1,D,2.25,3.1,2.9,2.2,2.9,2.7,2.2,3.2,2.8,2.2,3.2,2.8,2.2,3.15,2.75
