full_name,age,birthday,league,season,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer
Adam David Lallana,32,579225600,Premier League,2018/2019,Midfielder,Liverpool,465,189,276,England,13,6,7,0,0,0,0,0,0,0,0,6,1,5,2,1,1,1,0,0,0,0,0,0,0,0.39,233,36,465,0,0.19,379,344,-1,18
Adam Masina,26,757468800,Premier League,2018/2019,Defender,Watford,1003,463,540,Italy,14,7,7,0,0,0,1,1,0,0,0,2,1,1,19,8,11,5,0,0.09,0.09,0,0,0,0,1.7,53,72,201,1003,0.45,397,155,144,20
Adam Smith,29,672883200,Premier League,2018/2019,Defender,AFC Bournemouth,2073,1051,1022,England,25,12,13,1,1,0,1,0,1,0,0,9,5,4,30,10,20,6,1,0.09,0.04,0.04,0.09,0,2073,1.3,69,83,296,2073,0.3,227,228,85,10
Adama Diakhaby,24,836524800,Premier League,2018/2019,Forward,Huddersfield Town,551,345,206,France,12,8,4,0,0,0,0,0,0,0,0,1,1,0,16,7,9,1,0,0,0,0,0,0,0,2.61,34,46,551,0,0.16,332,359,-1,26
Adama Traoré Diarra,24,822528000,Premier League,2018/2019,Midfielder,Wolverhampton Wanderers,890,315,575,Spain,29,12,17,1,0,1,1,1,0,0,0,6,4,2,11,2,9,1,0,0.2,0.1,0.1,0,0.16,890,1.11,81,31,890,890,0.1,160,152,-1,13
Ademola Lookman,23,877305600,Premier League,2018/2019,Forward,Everton,601,334,267,England,21,11,10,0,0,0,2,2,0,0,0,8,5,3,7,2,5,0,0,0.3,0.3,0,0,0,0,1.05,86,29,0,301,0,292,20,-1,17
Adrian Mariappa,34,528681600,Premier League,2018/2019,Defender,Watford,1921,841,1080,Jamaica,26,12,14,0,0,0,0,0,0,0,0,6,3,3,29,10,19,3,0,0,0,0,0,0,0,1.36,66,74,640,0,0.14,396,414,94,21
Adrián San Miguel del Castillo,33,536630400,Premier League,2018/2019,Goalkeeper,West Ham United,0,0,0,Spain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Adrien Sebastian Perruchet Silva,31,605923200,Premier League,2018/2019,Midfielder,Leicester City,88,8,80,Portugal,2,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1.02,88,44,0,0,0,-1,-1,-1,15
Ainsley Maitland-Niles,23,872812800,Premier League,2018/2019,Midfielder,Arsenal,985,462,523,England,16,7,9,1,0,1,1,0,1,0,0,4,3,1,16,5,11,3,1,0.18,0.09,0.09,0,0.17,985,1.46,62,62,328,985,0.27,174,167,-1,15
Alberto Moreno,28,710294400,Premier League,2018/2019,Defender,Liverpool,155,90,65,Spain,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,1.16,78,78,0,0,0,-1,-1,-1,17
Aleksandar Mitrović,26,779673600,Premier League,2018/2019,Forward,Fulham,3282,1616,1666,Serbia,37,18,19,11,8,3,3,2,1,1,0,5,3,2,74,31,43,7,0,0.38,0.08,0.3,0.45,0.16,298,2.03,44,89,469,1094,0.19,62,176,-1,1
Alex Iwobi,24,831081600,Premier League,2018/2019,Forward,Arsenal,1972,742,1230,Nigeria,35,18,17,3,1,2,6,3,3,0,0,8,7,1,31,8,23,0,0,0.41,0.27,0.14,0.12,0.15,657,1.41,64,56,0,329,0,128,31,-1,8
Alex McCarthy,31,628646400,Premier League,2018/2019,Goalkeeper,Southampton,2250,1170,1080,England,25,13,12,0,0,0,0,0,0,0,0,4,2,2,37,16,21,1,0,0,0,0,0,0,0,1.48,61,90,2250,0,0.04,372,365,114,21
Alex Oxlade-Chamberlain,27,745372800,Premier League,2018/2019,Midfielder,Liverpool,19,19,0,England,2,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,-1,-1,-1,21
Alex Pritchard,27,736387200,Premier League,2018/2019,Midfielder,Huddersfield Town,2092,992,1100,England,30,14,16,2,1,1,0,0,0,0,0,4,2,2,39,16,23,2,0,0.09,0,0.09,0.09,0.08,1046,1.68,54,70,1046,0,0.09,171,373,-1,5
Alex Smithies,30,636595200,Premier League,2018/2019,Goalkeeper,Cardiff City,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Alexander Sørloth,25,818121600,Premier League,2018/2019,Forward,Crystal Palace,173,121,52,Norway,12,8,4,0,0,0,0,0,0,0,0,4,3,1,1,0,1,0,0,0,0,0,0,0,0,0.52,173,14,0,0,0,-1,-1,-1,17
Alexandre Lacazette,29,675388800,Premier League,2018/2019,Forward,Arsenal,2503,1403,1100,France,35,19,16,13,9,4,8,4,4,0,0,7,7,0,28,10,18,2,0,0.76,0.29,0.47,0.58,0.33,193,1.01,89,72,1252,313,0.07,21,25,-1,2
Alexandre Nascimento Costa Silva,23,858470400,Premier League,2018/2019,Forward,West Ham United,17,0,17,Portugal,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,-1,-1,-1,16
Alexis Sanchez,31,598492800,Premier League,2018/2019,Forward,Manchester United,877,387,490,Chile,20,10,10,1,1,0,3,0,3,0,0,6,2,4,8,4,4,3,0,0.41,0.31,0.1,0.23,0,877,0.82,110,44,292,292,0.31,166,17,-1,10
Alfie Jones,23,876182400,Premier League,2018/2019,Defender,Southampton,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Alfie Mawson,26,758937600,Premier League,2018/2019,Defender,Fulham,1131,547,584,England,15,8,7,0,0,0,0,0,0,0,0,3,2,1,25,10,15,2,0,0,0,0,0,0,0,1.99,45,75,566,0,0.16,307,255,161,11
Alfie Whiteman,22,907286400,Premier League,2018/2019,Goalkeeper,Tottenham Hotspur,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Ali Koiki,20,966902400,Premier League,2018/2019,Defender,Burnley,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Alireza Jahanbakhsh,27,745027200,Premier League,2018/2019,Forward,Brighton & Hove Albion,1022,494,528,Iran,19,9,10,0,0,0,0,0,0,0,0,4,3,1,16,8,8,2,0,0,0,0,0,0,0,1.41,64,54,511,0,0.18,403,270,-1,16
Alisson Becker,28,717984000,Premier League,2018/2019,Goalkeeper,Liverpool,3420,1710,1710,Brazil,38,19,19,0,0,0,0,0,0,0,0,21,12,9,19,8,11,1,0,0,0,0,0,0,0,0.5,180,90,3420,0,0.03,417,387,3,16
Alvaro Morata,28,719798400,Premier League,2018/2019,Forward,Chelsea,943,530,413,Spain,16,8,8,5,3,2,0,0,0,0,0,9,4,5,11,6,5,3,0,0.48,0,0.48,0.51,0.44,189,1.05,86,59,314,0,0.29,20,338,-1,4
Ander Herrera,31,619056000,Premier League,2018/2019,Midfielder,Manchester United,1404,617,787,Spain,22,10,12,2,0,2,3,3,0,0,0,6,1,5,17,9,8,4,0,0.32,0.19,0.13,0,0.23,702,1.09,83,64,351,468,0.26,134,68,-1,7
André Filipe Tavares Gomes,27,743990400,Premier League,2018/2019,Midfielder,Everton,1986,972,1014,Portugal,27,13,14,1,1,0,1,1,0,0,0,10,6,4,27,13,14,7,0,0.09,0.05,0.05,0.09,0,1986,1.22,74,74,284,1986,0.32,220,213,-1,11
Andre Gray,29,677894400,Premier League,2018/2019,Forward,Watford,1358,809,549,England,29,15,14,7,5,2,2,2,0,0,0,5,3,2,23,16,7,2,0,0.6,0.13,0.46,0.56,0.33,194,1.52,59,47,679,679,0.13,25,109,-1,3
André Schürrle,30,657849600,Premier League,2018/2019,Midfielder,Fulham,1650,829,821,Germany,24,12,12,6,3,3,0,0,0,0,0,1,0,1,42,20,22,2,0,0.33,0,0.33,0.33,0.33,275,2.29,39,69,825,0,0.11,54,417,-1,2
André-Frank Zambo Anguissa,25,816480000,Premier League,2018/2019,Midfielder,Fulham,1518,587,931,Cameroon,22,10,12,0,0,0,0,0,0,0,0,3,2,1,30,10,20,3,1,0,0,0,0,0,0,1.78,51,69,506,0,0.18,288,285,-1,19
Andreas Christensen,24,829094400,Premier League,2018/2019,Defender,Chelsea,615,360,255,Denmark,8,4,4,0,0,0,0,0,0,0,0,3,3,0,7,2,5,1,0,0,0,0,0,0,0,1.02,88,77,615,0,0.15,338,346,35,21
Andreas Pereira,24,820454400,Premier League,2018/2019,Midfielder,Manchester United,595,521,74,Brazil,15,10,5,1,1,0,1,1,0,0,0,1,1,0,10,7,3,5,0,0.3,0.15,0.15,0.17,0,595,1.51,60,40,119,595,0.76,117,93,-1,16
Andrew Robertson,26,763344000,Premier League,2018/2019,Defender,Liverpool,3219,1599,1620,Scotland,36,18,18,0,0,0,11,9,2,0,0,21,12,9,17,7,10,4,0,0.31,0.31,0,0,0,0,0.48,189,89,805,293,0.11,418,19,2,20
Andrew Surman,34,524880000,Premier League,2018/2019,Midfielder,AFC Bournemouth,1438,526,912,England,18,7,11,0,0,0,0,0,0,0,0,5,3,2,35,7,28,2,0,0,0,0,0,0,0,2.19,41,80,719,0,0.13,359,379,-1,27
Andriy Yarmolenko,31,625104000,Premier League,2018/2019,Forward,West Ham United,459,269,190,Ukraine,9,5,4,2,0,2,0,0,0,0,0,1,1,0,4,1,3,2,0,0.39,0,0.39,0,0.95,230,0.78,115,51,230,0,0.39,36,361,-1,7
Andros Townsend,29,679622400,Premier League,2018/2019,Midfielder,Crystal Palace,3018,1571,1447,England,38,19,19,6,2,4,4,2,2,0,0,12,7,5,44,20,24,1,0,0.3,0.12,0.18,0.11,0.25,503,1.31,69,79,3018,755,0.03,102,127,-1,3
Andy Carroll,31,600048000,Premier League,2018/2019,Forward,West Ham United,454,180,274,England,12,6,6,0,0,0,0,0,0,0,0,2,1,1,6,2,4,2,0,0,0,0,0,0,0,1.19,76,38,227,0,0.4,270,326,-1,17
Angel Gomes,20,967680000,Premier League,2018/2019,Midfielder,Manchester United,25,25,0,England,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3.6,25,13,0,0,0,-1,-1,-1,19
Angelo Ogbonna,32,580348800,Premier League,2018/2019,Defender,West Ham United,1870,956,914,Italy,24,12,12,1,1,0,1,1,0,0,0,3,2,1,32,13,19,2,0,0.1,0.05,0.05,0.09,0,1870,1.54,58,78,935,1870,0.1,226,207,124,13
Angus Gunn,24,822268800,Premier League,2018/2019,Goalkeeper,Southampton,1080,540,540,England,12,6,6,0,0,0,0,0,0,0,0,3,1,2,17,9,8,0,0,0,0,0,0,0,0,1.42,64,90,0,0,0,376,339,104,25
Anthony Driscoll-Glennon,21,943574400,Premier League,2018/2019,Defender,Burnley,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Anthony Knockaert,29,690595200,Premier League,2018/2019,Midfielder,Brighton & Hove Albion,1832,982,850,France,30,16,14,2,1,1,6,5,1,0,0,3,3,0,36,17,19,5,1,0.39,0.29,0.1,0.09,0.11,916,1.77,51,61,305,305,0.29,159,27,-1,6
Anthony Martial,25,818121600,Premier League,2018/2019,Forward,Manchester United,1623,743,880,France,27,11,16,10,4,6,2,1,1,1,0,5,1,4,25,8,17,2,0,0.67,0.11,0.55,0.48,0.61,162,1.39,65,60,812,812,0.11,13,141,-1,4
Antonio Barreca,25,795484800,Premier League,2018/2019,Defender,Newcastle United,4,0,4,Italy,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,-1,-1,-1,16
Antonio Rüdiger,27,731116800,Premier League,2018/2019,Defender,Chelsea,2874,1350,1524,Germany,33,15,18,1,1,0,0,0,0,0,0,12,7,5,34,10,24,7,0,0.03,0,0.03,0.07,0,2874,1.06,85,87,411,0,0.22,259,374,38,13
Antonio Valencia,35,491961600,Premier League,2018/2019,Defender,Manchester United,466,196,270,Ecuador,6,3,3,0,0,0,0,0,0,0,0,2,0,2,5,4,1,2,0,0,0,0,0,0,0,0.97,93,78,233,0,0.39,300,256,29,23
Arijanet Muric,22,910396800,Premier League,2018/2019,Goalkeeper,Manchester City,0,0,0,Montenegro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Aron Einar Gunnarsson,31,609206400,Premier League,2018/2019,Midfielder,Cardiff City,2274,1240,1034,Iceland,28,14,14,1,1,0,1,1,0,0,0,8,4,4,37,20,17,5,0,0.08,0.04,0.04,0.07,0,2274,1.46,61,81,455,2274,0.2,232,234,-1,9
Arthur Masuaku,27,752630400,Premier League,2018/2019,Defender,West Ham United,1756,822,934,France,23,11,12,0,0,0,1,1,0,0,0,6,3,3,26,11,15,2,0,0.05,0.05,0,0,0,0,1.33,68,76,878,1756,0.1,368,203,89,25
Artur Boruc,40,319852800,Premier League,2018/2019,Goalkeeper,AFC Bournemouth,1080,540,540,Poland,12,6,6,0,0,0,0,0,0,0,0,4,2,2,17,4,13,2,0,0,0,0,0,0,0,1.42,64,90,540,0,0.17,361,394,100,20
Ashley Barnes,31,625708800,Premier League,2018/2019,Forward,Burnley,2400,1307,1093,England,37,19,18,12,6,6,2,1,1,2,0,8,5,3,34,16,18,8,0,0.53,0.08,0.45,0.41,0.49,200,1.28,71,65,300,1200,0.3,27,172,-1,1
Ashley Westwood,30,638928000,Premier League,2018/2019,Midfielder,Burnley,2822,1530,1292,England,34,18,16,2,0,2,7,2,5,0,0,7,5,2,44,22,22,5,0,0.29,0.22,0.06,0,0.14,1411,1.4,64,83,564,403,0.16,212,55,-1,8
Ashley Young,35,489715200,Premier League,2018/2019,Midfielder,Manchester United,2568,1207,1361,England,30,14,16,2,1,1,2,2,0,0,0,4,2,2,41,16,25,10,1,0.14,0.07,0.07,0.07,0.07,1284,1.44,63,86,257,1284,0.35,195,181,-1,9
Asmir Begović,33,551145600,Premier League,2018/2019,Goalkeeper,AFC Bournemouth,2160,1080,1080,Bosnia and Herzegovina,24,12,12,0,0,0,0,0,0,0,0,5,3,2,44,19,25,0,0,0,0,0,0,0,0,1.83,49,90,0,0,0,358,273,154,19
Aymeric Laporte,26,769996800,Premier League,2018/2019,Defender,Manchester City,3057,1526,1531,France,35,17,18,3,0,3,3,3,0,0,0,18,8,10,21,11,10,3,0,0.18,0.09,0.09,0,0.18,1019,0.62,146,87,1019,1019,0.09,176,158,14,9
Ayoze Perez,27,743904000,Premier League,2018/2019,Forward,Newcastle United,2929,1526,1403,Spain,37,19,18,12,9,3,2,1,1,0,0,11,5,6,34,21,13,2,0,0.43,0.06,0.37,0.53,0.19,244,1.04,86,79,1465,1465,0.06,44,197,-1,1
Bakary Sako,32,578016000,Premier League,2018/2019,Midfielder,Crystal Palace,25,8,17,Mali,4,3,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,-1,-1,-1,23
Bakayo Sako,0,0,Premier League,2018/2019,Midfielder,Arsenal,7,7,0,England,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,-1,-1,-1,17
Ben Chilwell,24,851126400,Premier League,2018/2019,Defender,Leicester City,3240,1620,1620,England,36,18,18,0,0,0,4,1,3,0,0,10,6,4,39,15,24,4,0,0.11,0.11,0,0,0,0,1.08,83,90,810,810,0.11,344,139,44,16
Ben Davies,27,735609600,Premier League,2018/2019,Defender,Tottenham Hotspur,1839,916,923,Wales,27,13,14,0,0,0,0,0,0,0,0,10,6,4,24,10,14,2,0,0,0,0,0,0,0,1.17,77,68,920,0,0.1,353,274,60,26
Ben Foster,37,418176000,Premier League,2018/2019,Goalkeeper,Watford,3420,1710,1710,England,38,19,19,0,0,0,0,0,0,0,0,7,4,3,57,28,29,1,0,0,0,0,0,0,0,1.5,60,90,3420,0,0.03,365,353,116,18
Ben Gibson,27,727056000,Premier League,2018/2019,Defender,Burnley,63,63,0,England,1,1,0,1,1,0,0,0,0,0,0,0,0,0,3,3,0,1,0,1.43,0,1.43,1.43,0,63,4.29,21,63,63,0,1.43,-1,-1,-1,9
Ben Hamer,33,564364800,Premier League,2018/2019,Goalkeeper,Huddersfield Town,553,283,270,England,7,4,3,0,0,0,0,0,0,0,0,1,1,0,20,9,11,0,0,0,0,0,0,0,0,3.25,28,79,0,0,0,327,348,175,14
Ben Mee,31,622339200,Premier League,2018/2019,Defender,Burnley,3420,1710,1710,England,38,19,19,0,0,0,2,1,1,0,0,8,5,3,57,27,30,9,0,0.05,0.05,0,0,0,0,1.5,60,90,380,1710,0.24,380,211,118,21
Ben White,23,876268800,Premier League,2018/2019,Defender,Brighton & Hove Albion,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Ben Wilmot,21,941673600,Premier League,2018/2019,Defender,Watford,26,0,26,England,2,0,2,0,0,0,0,0,0,0,0,1,0,1,2,0,2,0,0,0,0,0,0,0,0,6.92,13,13,0,0,0,-1,-1,-1,17
Benjamin Johnson,20,948672000,Premier League,2018/2019,Forward,West Ham United,63,0,63,England,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1.43,63,63,0,0,0,-1,-1,-1,26
Benjamin Mendy,26,774403200,Premier League,2018/2019,Defender,Manchester City,900,450,450,France,10,5,5,0,0,0,5,3,2,0,0,4,1,3,6,4,2,1,0,0.5,0.5,0,0,0,0,0.6,150,90,900,180,0.1,311,3,12,18
Beram Kayal,32,578534400,Premier League,2018/2019,Midfielder,Brighton & Hove Albion,934,494,440,Israel,18,9,9,1,0,1,1,1,0,0,0,5,3,2,15,8,7,4,0,0.19,0.1,0.1,0,0.2,934,1.45,62,52,234,934,0.39,163,146,-1,8
Bernard Anício Caldeira Duarte,28,715910400,Premier League,2018/2019,Midfielder,Everton,2128,960,1168,Brazil,34,16,18,1,0,1,3,1,2,0,0,14,9,5,19,5,14,5,0,0.17,0.13,0.04,0,0.08,2128,0.8,112,63,426,709,0.21,243,117,-1,12
Bernardo,25,800409600,Premier League,2018/2019,Defender,Brighton & Hove Albion,1750,990,760,Brazil,22,11,11,0,0,0,1,1,0,0,0,4,2,2,28,17,11,4,0,0.05,0.05,0,0,0,0,1.44,63,80,438,1750,0.21,400,200,107,20
Bernardo Silva,26,776476800,Premier League,2018/2019,Midfielder,Manchester City,2853,1470,1383,Portugal,36,18,18,7,2,5,7,4,3,0,0,18,8,10,22,11,11,3,0,0.44,0.22,0.22,0.12,0.33,408,0.69,130,79,951,408,0.09,85,58,-1,5
Bernd Leno,28,699667200,Premier League,2018/2019,Goalkeeper,Arsenal,2835,1395,1440,Germany,32,16,16,0,0,0,0,0,0,0,0,7,6,1,39,12,27,0,0,0,0,0,0,0,0,1.24,73,89,0,0,0,390,413,76,23
Bobby Reid,27,728611200,Premier League,2018/2019,Midfielder,Cardiff City,1422,725,697,England,27,11,16,5,4,1,2,1,1,1,0,6,2,4,27,19,8,0,0,0.44,0.13,0.32,0.5,0.13,284,1.71,53,53,0,711,0,55,115,-1,2
Brian Murphy,37,421113600,Premier League,2018/2019,Goalkeeper,Cardiff City,0,0,0,Republic of Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Bright Enobakhare,22,886896000,Premier League,2018/2019,Forward,Wolverhampton Wanderers,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Bruno Écuélé Manga,32,585014400,Premier League,2018/2019,Defender,Cardiff City,3375,1710,1665,Gabon,38,19,19,0,0,0,1,1,0,0,0,10,5,5,59,34,25,0,0,0.03,0.03,0,0,0,0,1.57,57,89,0,3375,0,337,242,126,24
Bruno Saltor Grau,40,339206400,Premier League,2018/2019,Defender,Brighton & Hove Albion,1136,534,602,Spain,14,6,8,0,0,0,1,1,0,0,0,4,2,2,17,8,9,2,0,0.08,0.08,0,0,0,0,1.35,67,81,568,1136,0.16,399,175,92,19
Caglar Söyüncü,24,832809600,Premier League,2018/2019,Defender,Leicester City,371,191,180,Turkey,6,4,2,0,0,0,0,0,0,0,0,2,2,0,3,1,2,1,0,0,0,0,0,0,0,0.73,124,62,371,0,0.24,267,330,16,20
Callum Hudson-Odoi,20,973555200,Premier League,2018/2019,Midfielder,Chelsea,391,267,124,England,10,6,4,0,0,0,1,1,0,0,0,3,3,0,5,2,3,0,0,0.23,0.23,0,0,0,0,1.15,78,39,0,391,0,277,54,-1,16
Callum Paterson,26,782006400,Premier League,2018/2019,Defender,Cardiff City,1996,1024,972,Scotland,27,14,13,4,3,1,1,0,1,0,0,7,5,2,37,18,19,4,0,0.23,0.05,0.18,0.26,0.09,499,1.67,54,74,499,1996,0.18,108,202,137,3
Callum Roberts,23,860976000,Premier League,2018/2019,Forward,Newcastle United,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Callum Slattery,21,918432000,Premier League,2018/2019,Midfielder,Southampton,110,6,104,England,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,-1,-1,-1,18
Callum Wilson,28,699148800,Premier League,2018/2019,Forward,AFC Bournemouth,2535,1324,1211,England,30,15,15,14,5,9,9,4,5,1,1,9,5,4,44,17,27,3,0,0.82,0.32,0.5,0.34,0.67,181,1.56,58,85,845,282,0.11,17,16,-1,1
Calum Chambers,25,790560000,Premier League,2018/2019,Defender,Fulham,2587,1458,1129,England,31,17,14,2,2,0,0,0,0,0,0,5,3,2,49,24,25,9,0,0.07,0,0.07,0.12,0,1294,1.7,53,83,287,0,0.31,198,399,143,5
Cameron John,21,935452800,Premier League,2018/2019,Defender,Wolverhampton Wanderers,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Carl Jenkinson,28,697507200,Premier League,2018/2019,Defender,Arsenal,166,166,0,England,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1.08,83,55,0,0,0,-1,-1,-1,18
Carlos Sánchez,34,508032000,Premier League,2018/2019,Midfielder,West Ham United,240,120,120,Colombia,7,4,3,0,0,0,0,0,0,0,0,2,2,0,2,0,2,0,0,0,0,0,0,0,0,0.75,120,34,0,0,0,-1,-1,-1,21
Cedric Soares,29,683596800,Premier League,2018/2019,Defender,Southampton,1494,651,843,Portugal,18,8,10,1,1,0,2,0,2,0,0,5,2,3,26,7,19,4,0,0.18,0.12,0.06,0.14,0,1494,1.57,57,83,374,747,0.24,204,124,127,15
Cenk Tosun,29,676252800,Premier League,2018/2019,Forward,Everton,1050,536,514,Turkey,25,13,12,3,2,1,3,1,2,0,0,7,4,3,16,9,7,3,0,0.51,0.26,0.26,0.34,0.18,350,1.37,66,42,350,350,0.26,74,37,-1,6
