team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
Liverpool FC,Liverpool,2018/2019,England,38,19,19,0,30,17,13,7,2,5,1,0,1,2.55,2.79,2.32,2,2,2,2,89,22,67,111,65,46,55,34,10,12,45,22,38,31,50,155,170,143,21,12,9,17,7,10,3,1,2,28,15,13,249,133,116,41,15,26,62,64,61,472,267,205,264,145,119,208,122,86,315,149,166,38,26,12,10,5,5,28,21,7,21,13,8,14,5,9,3,1,2,2.03,2.32,1.74,2.92,3.42,2.42,2.34,2.89,1.79,0.58,0.53,0.63,1.26,1.63,0.89,1,1.37,0.63,0.26,0.26,0.26,35,31,21,13,7,3,18,16,12,9,6,3,17,15,9,4,1,0,3,7,17,25,31,35,1,3,7,10,13,16,2,4,10,15,18,19,92,82,55,34,18,8,95,84,63,47,32,16,89,79,47,21,5,0,8,18,45,66,82,92,5,16,37,53,68,84,11,21,53,79,95,100,28,13,5,16,9,4,12,4,1,74,34,13,84,47,21,63,21,5,79,89,68,17,55,63,47,45,37,53,8,5,11,74,79,68,28,14,14,74,74,74,13,4,9,34,21,47,7,4,3,18,21,16,55,68,42,37,26,47,8,5,11,6.55,7.00,6.11,1.08,0.79,1.37,89,87,68,53,39,28,21,8,1.84,2.07,1.62,0.90,0.79,1.01,63,6,10,11,4,12,7,12,8,19,2,2,2,3,1,2,3,3,4,18,11,26,3,0,5,5
Chelsea FC,Chelsea,2018/2019,England,38,19,19,0,21,12,9,9,6,3,8,1,7,1.89,2.21,1.58,3,4,5,3,63,39,24,102,51,51,39,24,12,27,27,-3,54,44,71,87,143,63,16,10,6,16,8,8,10,3,7,21,13,8,215,120,95,49,20,29,64,64,63,446,242,204,236,137,99,210,105,105,339,154,185,27,16,11,17,6,11,10,10,0,15,9,6,20,10,10,3,0,3,1.71,1.95,1.47,2.68,2.68,2.68,1.66,2.05,1.26,1.03,0.63,1.42,1.16,1.16,1.16,0.71,0.84,0.58,0.45,0.32,0.58,34,32,21,10,4,1,17,16,9,6,3,0,17,16,12,4,1,1,4,6,17,28,34,37,2,3,10,13,16,19,2,3,7,15,18,18,89,84,55,26,11,3,89,84,47,32,16,0,89,84,63,21,5,5,11,16,45,74,89,97,11,16,53,68,84,100,11,16,37,79,95,95,23,13,5,12,5,3,11,8,2,61,34,13,63,26,16,58,42,11,55,63,47,31,42,53,32,42,42,42,26,16,37,55,68,42,28,15,13,74,79,68,18,7,11,47,37,58,7,4,3,18,21,16,39,47,32,53,53,53,8,0,16,5.66,6.32,5.00,1.29,1.05,1.53,84,74,61,42,34,24,18,8,1.66,1.81,1.51,1.09,0.98,1.19,66,3,7,5,6,7,8,6,6,15,3,6,3,3,5,9,3,4,3,24,32,16,21,5,37,3
West Ham United FC,West Ham United,2018/2019,England,38,19,19,0,15,9,6,7,4,3,16,6,10,1.37,1.63,1.11,10,9,11,10,52,55,-3,107,59,48,32,20,27,28,5,-8,66,54,86,62,63,61,7,4,3,18,10,8,14,6,8,17,9,8,188,108,80,61,28,33,49,49,48,365,204,161,194,107,87,171,97,74,331,165,166,22,12,10,24,13,11,-2,-1,-1,12,6,6,13,7,6,13,6,7,1.29,1.32,1.26,2.82,3.11,2.53,1.37,1.68,1.05,1.45,1.42,1.47,1.21,1.32,1.11,0.58,0.63,0.53,0.63,0.68,0.58,37,31,19,13,4,2,18,15,11,9,3,2,19,16,8,4,1,0,1,7,19,25,34,36,1,4,8,10,16,17,0,3,11,15,18,19,97,82,50,34,11,5,95,79,58,47,16,11,100,84,42,21,5,0,3,18,50,66,89,95,5,21,42,53,84,89,0,16,58,79,95,100,28,14,4,14,8,3,14,6,1,74,37,11,74,42,16,74,32,5,39,47,32,13,18,21,16,47,53,42,37,32,42,45,47,42,20,10,10,53,53,53,22,10,12,58,53,63,6,4,2,16,21,11,32,32,32,34,37,32,34,32,37,4.95,5.68,4.21,1.61,1.47,1.74,89,84,76,57,42,34,28,21,1.29,1.42,1.17,1.50,1.26,1.73,63,3,6,6,5,6,3,10,6,7,5,6,6,3,6,7,5,6,11,18,21,16,42,32,53,5
Watford FC,Watford,2018/2019,England,38,19,19,0,14,8,6,8,3,5,16,8,8,1.32,1.42,1.21,11,12,9,11,52,59,-7,111,54,57,26,26,28,31,-2,-5,66,66,66,58,61,55,7,4,3,23,12,11,10,4,6,15,7,8,177,91,86,85,44,41,47,46,47,347,169,178,188,102,86,159,67,92,433,221,212,18,7,11,26,14,12,-8,-7,-1,10,4,6,14,7,7,14,8,6,1.16,1,1.32,2.92,2.84,3,1.37,1.37,1.37,1.55,1.47,1.63,1.16,1.11,1.21,0.47,0.37,0.58,0.68,0.74,0.63,36,33,24,10,6,2,18,16,13,4,3,0,18,17,11,6,3,2,2,5,14,28,32,36,1,3,6,15,16,19,1,2,8,13,16,17,95,87,63,26,16,5,95,84,68,21,16,0,95,89,58,32,16,11,5,13,37,74,84,95,5,16,32,79,84,100,5,11,42,68,84,89,28,11,2,14,6,1,14,5,1,74,29,5,74,32,5,74,26,5,37,42,32,3,18,21,16,61,63,58,26,21,32,39,37,42,20,9,11,53,47,58,24,13,11,63,68,58,4,2,2,11,11,11,26,21,32,37,37,37,37,42,32,4.66,4.79,4.53,2.24,2.32,2.16,84,74,68,57,37,37,26,21,1.11,1.14,1.07,1.44,1.35,1.54,100,5,5,4,3,4,4,12,7,8,4,6,3,10,7,5,3,12,9,21,16,26,42,42,42,8
Newcastle United FC,Newcastle United,2018/2019,England,38,19,19,0,12,8,4,9,1,8,17,10,7,1.18,1.32,1.05,13,13,13,13,42,48,-6,90,49,41,24,18,25,23,-1,-5,81,71,95,71,68,74,11,5,6,18,9,9,13,6,7,16,6,10,181,112,69,61,27,34,40,44,36,366,213,153,178,98,80,188,115,73,423,203,220,23,10,13,20,12,8,3,-2,5,11,4,7,17,8,9,10,7,3,1.32,1.05,1.58,2.37,2.58,2.16,1.11,1.26,0.95,1.26,1.32,1.21,1.13,1.16,1.11,0.61,0.53,0.68,0.53,0.63,0.42,34,28,18,7,3,0,18,15,11,3,2,0,16,13,7,4,1,0,4,10,20,31,35,38,1,4,8,16,17,19,3,6,12,15,18,19,89,74,47,18,8,0,95,79,58,16,11,0,84,68,37,21,5,0,11,26,53,82,92,100,5,21,42,84,89,100,16,32,63,79,95,100,25,14,4,12,7,3,13,7,1,66,37,11,63,37,16,68,37,5,32,42,21,5,29,26,32,47,47,47,34,32,37,42,32,53,22,10,12,58,53,63,21,12,9,55,63,47,8,4,4,21,21,21,29,21,37,45,42,47,26,37,16,4.76,5.89,3.63,1.61,1.42,1.79,87,84,79,66,50,42,32,26,1.05,1.22,0.88,1.37,1.16,1.59,66,5,5,7,5,2,4,5,1,8,5,6,4,3,5,4,3,6,12,24,5,42,45,53,37,16
Cardiff City FC,Cardiff City,2018/2019,Wales,38,19,19,0,10,6,4,4,2,2,24,11,13,0.89,1.05,0.74,18,19,17,18,34,69,-35,103,59,44,21,13,38,31,-17,-18,101,81,132,49,45,55,10,5,5,15,9,6,17,7,10,9,4,5,168,95,73,68,33,35,35,36,34,342,189,153,162,85,77,180,104,76,374,195,179,11,8,3,30,18,12,-19,-10,-9,4,2,2,18,10,8,16,7,9,0.79,0.84,0.74,2.71,3.11,2.32,0.89,1.11,0.68,1.82,2,1.63,1.08,1.37,0.79,0.29,0.42,0.16,0.79,0.95,0.63,34,28,19,10,9,3,17,15,12,6,6,3,17,13,7,4,3,0,4,10,19,28,29,35,2,4,7,13,13,16,2,6,12,15,16,19,89,74,50,26,24,8,89,79,63,32,32,16,89,68,37,21,16,0,11,26,50,74,76,92,11,21,37,68,68,84,11,32,63,79,84,100,23,10,6,12,7,5,11,3,1,61,26,16,63,37,26,58,16,5,26,32,21,8,26,26,26,39,47,32,45,37,53,24,21,26,19,9,10,50,47,53,28,12,16,74,63,84,6,5,1,16,26,5,11,11,11,47,53,42,42,37,47,4.42,5.00,3.84,1.79,1.74,1.84,92,89,79,71,61,53,42,26,1.03,1.11,0.95,1.58,1.38,1.77,66,2,3,3,2,4,3,4,4,9,6,8,5,6,6,7,12,3,16,11,11,11,63,58,68,16
Fulham FC,Fulham,2018/2019,England,38,19,19,0,7,6,1,5,3,2,26,10,16,0.68,1.11,0.26,19,17,20,19,34,81,-47,115,58,57,22,12,36,45,-14,-33,101,78,143,42,48,38,5,3,2,19,10,9,15,6,9,12,7,5,161,102,59,72,36,36,49,49,49,376,223,153,181,101,80,195,122,73,423,199,224,15,9,6,41,20,21,-26,-11,-15,5,4,1,11,5,6,22,10,12,0.68,0.89,0.47,3.03,3.05,3,0.89,1.16,0.63,2.13,1.89,2.37,1.47,1.53,1.42,0.39,0.47,0.32,1.08,1.05,1.11,37,32,21,13,8,4,19,17,10,5,4,3,18,15,11,8,4,1,1,6,17,25,30,34,0,2,9,14,15,16,1,4,8,11,15,18,97,84,55,34,21,11,100,89,53,26,21,16,95,79,58,42,21,5,3,16,45,66,79,89,0,11,47,74,79,84,5,21,42,58,79,95,30,16,7,15,9,3,15,7,4,79,42,18,79,47,16,79,37,21,18,32,5,21,13,16,11,50,53,47,39,32,47,32,37,26,11,6,5,29,32,26,27,13,14,71,68,74,8,4,4,21,21,21,13,21,5,29,26,32,58,53,63,4.24,5.37,3.11,1.89,1.89,1.89,92,84,74,63,39,24,18,11,1.10,1.28,0.93,1.64,1.55,1.73,74,3,2,1,5,6,4,5,6,2,7,11,15,3,7,5,8,10,15,13,16,11,68,53,84,8
Brighton & Hove Albion FC,Brighton & Hove Albion,2018/2019,England,38,19,19,0,9,6,3,9,5,4,20,8,12,0.95,1.21,0.68,17,16,18,17,35,60,-25,95,47,48,19,16,28,32,-9,-16,98,90,107,57,61,54,7,5,2,20,10,10,13,5,8,13,8,5,156,90,66,68,34,34,42,44,40,320,175,145,143,71,72,177,104,73,463,221,242,17,10,7,26,12,14,-9,-2,-7,7,4,3,13,7,6,18,8,10,0.89,1,0.79,2.5,2.47,2.53,0.92,1,0.84,1.58,1.47,1.68,1.13,1.16,1.11,0.45,0.53,0.37,0.68,0.63,0.74,36,26,18,10,4,1,18,12,8,6,3,0,18,14,10,4,1,1,2,12,20,28,34,37,1,7,11,13,16,19,1,5,9,15,18,18,95,68,47,26,11,3,95,63,42,32,16,0,95,74,53,21,5,5,5,32,53,74,89,97,5,37,58,68,84,100,5,26,47,79,95,95,29,10,3,13,5,3,16,5,0,76,26,8,68,26,16,84,26,0,24,32,16,8,18,26,11,53,53,53,34,26,42,34,42,26,15,9,6,39,47,32,26,13,13,68,68,68,6,3,3,16,16,16,18,21,16,34,37,32,47,42,53,4.11,4.74,3.47,1.79,1.79,1.79,87,82,66,50,45,26,13,5,0.86,0.94,0.78,1.53,1.27,1.79,63,2,3,6,3,4,3,6,5,3,4,2,9,8,8,5,9,9,6,24,26,21,53,42,63,5
Huddersfield Town FC,Huddersfield Town,2018/2019,England,38,19,19,0,3,2,1,7,3,4,28,14,14,0.42,0.47,0.37,20,20,19,20,22,76,-54,98,41,57,10,12,31,45,-21,-33,155,170,143,45,55,38,5,3,2,16,8,8,19,9,10,8,5,3,162,85,77,63,33,30,47,49,46,324,169,155,154,77,77,170,92,78,420,214,206,11,4,7,38,18,20,-27,-14,-13,4,2,2,13,5,8,21,12,9,0.66,0.58,0.74,2.58,2.16,3,0.58,0.53,0.63,2,1.63,2.37,1.29,1.16,1.42,0.29,0.21,0.37,1,0.95,1.05,36,27,17,9,5,2,18,12,8,2,1,0,18,15,9,7,4,2,2,11,21,29,33,36,1,7,11,17,18,19,1,4,10,12,15,17,95,71,45,24,13,5,95,63,42,11,5,0,95,79,47,37,21,11,5,29,55,76,87,95,5,37,58,89,95,100,5,21,53,63,79,89,29,15,4,16,6,0,13,9,4,76,39,11,84,32,0,68,47,21,8,11,5,5,13,16,11,42,42,42,50,47,53,21,26,16,12,5,7,32,26,37,28,15,13,74,79,68,7,2,5,18,11,26,11,11,11,34,26,42,55,63,47,4.26,4.47,4.05,1.66,1.74,1.58,79,63,45,39,32,21,16,3,0.89,0.94,0.84,1.43,1.28,1.57,58,4,1,2,3,1,4,2,1,4,6,9,9,7,10,4,7,13,11,18,16,21,74,74,74,0
Wolverhampton Wanderers FC,Wolverhampton Wanderers,2018/2019,England,38,19,19,0,16,10,6,9,4,5,13,5,8,1.5,1.79,1.21,7,8,10,7,47,46,1,93,49,44,28,19,21,25,7,-6,73,61,90,74,81,68,9,7,2,19,8,11,11,5,6,17,9,8,195,109,86,74,33,41,47,46,47,397,219,178,188,105,83,209,114,95,409,198,211,17,10,7,22,9,13,-5,1,-6,8,4,4,17,10,7,13,5,8,1.08,1.16,1,2.45,2.58,2.32,1.24,1.47,1,1.21,1.11,1.32,1.03,1,1.05,0.45,0.53,0.37,0.58,0.47,0.68,37,31,14,7,2,1,18,16,7,4,2,1,19,15,7,3,0,0,1,7,24,31,36,37,1,3,12,15,17,18,0,4,12,16,19,19,97,82,37,18,5,3,95,84,37,21,11,5,100,79,37,16,0,0,3,18,63,82,95,97,5,16,63,79,89,95,0,21,63,84,100,100,24,12,3,11,7,1,13,5,2,63,32,8,58,37,5,68,26,11,42,53,32,14,24,37,11,50,42,58,29,26,32,45,47,42,21,12,9,55,63,47,26,13,13,68,68,68,5,2,3,13,11,16,21,21,21,45,53,37,34,26,42,5.13,5.74,4.53,1.95,1.74,2.16,82,82,66,55,42,37,37,18,1.30,1.41,1.20,1.26,1.23,1.30,58,2,7,3,1,4,5,6,8,11,4,8,8,1,4,2,5,7,7,24,21,26,34,26,42,8
