Player,Team,Goals,Shots on target,Passes,"Passing accuracy, %",Total shots (inc. Blocked),% Goals-to-shots (5+ shots),Shots without scoring,"Passing accuracy, %",Crosses,Tackles,Interceptions,Goals conceded,Saves made,"Saves to shots ratio, %",Offsides,Yellow cards
Yann M'Vila,France,,,,,,,,94%,,,,,,,,
Yohan Cabaye,France,,,,,,,,,,,,,,,,
Andre Schürrle,Germany,,,,,,,7,,,,,,,,,
Bastian Schweinsteiger,Germany,,,415,,,,,,,13,,,,,,
Holger Badstuber,Germany,,,,,,,,,,,,,,,,
Jerome Boateng,Germany,,,,,,,,,17,,,,,,,
Manuel Neuer,Germany,,,,,,,,,,,,6,10,63%,,
Marco Reus,Germany,,4,,,,,,,,,,,,,,
Mario Gomez,Germany,3,,,,,30%,,,,,,,,,3,
Mats Hummels,Germany,,,,80%,,,,,,18,19,,,,,
Mesut Özil,Germany,,5,319,72%,,,,,17,,,,,,,
Miroslav Klose,Germany,,,,,,,,,,,,,,,5,
Philipp Lahm,Germany,,,316,,,,,92%,,,,,,,,
Sami Khedira,Germany,,,310,,,,,,,,,,,,,
Thomas Müller,Germany,,,,,,,,,14,,,,,,,
Toni Kroos,Germany,,,,,,,,,,,,,,,,
Dimitris Salpingidis,Greece,2,,,,,,,,,,,,,,5,
Georgios Samaras,Greece,,,,,,,,,,,,,,,,
Georgios Tzavellas,Greece,,,,,,,,,,,,,,,,
Giorgios Karagounis,Greece,,,,,,,,,,,,,,,,2
Jose Holebas,Greece,,,,,,,,,,,,,,,,2
Konstantinos Chalkias,Greece,,,,,,,,,,,,3,,,,
Konstantinos Katsouranis,Greece,,,,,,,,,,,12,,,,,
Kyriakos Papadopoulos,Greece,,,,,,,,,,,,,,,,
Michalis Sifakis,Greece,,,,,,,,,,,,4,11,73%,,
Sokratis Papastathopoulos,Greece,,,,,,,,,,,,,,,,
Theofanis Gekas,Greece,,,,,,,,,,,,,,,3,
Vassilas Torosidis,Greece,,,,,,,,,,,12,,,,,
Alessandro Diamanti,Italy,,,,,,,8,,,,,,,,,
Andrea Pirlo,Italy,,,423,,,20%,,,,,13,,,,,
Antonio Cassano,Italy,,7,,,16,,,,14,,,,,,3,
Antonio Di Natale,Italy,,,,57%,,,,,,,,,,,6,
Christian Maggio,Italy,,,,,,,,,,,,,,,,2
Claudio Marchisio,Italy,,4,,,11,,11,,,14,,,,,,
Daniele De Rossi,Italy,,,345,,,,9,,,,22,,,,,
Gianluigi Buffon,Italy,,,,,,,,,,,,7,20,74%,,
Giorgio Chiellini,Italy,,,,,,,,,,,16,,,,,
Leonardo Bonucci,Italy,,,,,,,,,,,15,,,,,
Mario Balotelli,Italy,3,10,,,25,,,,,,,,,,,
Riccardo Montolivo,Italy,,,,,,,7,,,,13,,,,,
Thiago Motta,Italy,,,,,,,,,,,,,,,,2
Arjen Robben,Netherlands,,,,,11,,11,,,,,,,,,
Ibrahim Afellay,Netherlands,,,,,,,,96%,,,,,,,,
Jetro Willems,Netherlands,,,,,,,,,,,,,,,,2
Johnny Heitinga,Netherlands,,,,,,,,,,,,,,,,
Joris Mathijsen,Netherlands,,,,,,,,97%,,,,,,,,
Maarten Stekelenburg,Netherlands,,,,,,,,,,,,5,12,71%,,
Mark van Bommel,Netherlands,,,,,,,,95%,,,,,,,,
Nigel de Jong,Netherlands,,,,,,,,95%,,,,,,,,
Rafael van der Vaart,Netherlands,,,,,,,,94%,,,,,,,,
Robin van Persie,Netherlands,,5,,,15,,,,,,,,,,,
Ron Vlaar,Netherlands,,,,,,,,93%,,,,,,,,
Wesley Sneijder,Netherlands,,,,,,,8,,17,,,,,,,
Damien Perquis,Poland,,,,,,,,94%,,,,,,,,
Eugen Polanski,Poland,,,,,,,,,,16,,,,,,2
Jakub Blaszczykowski,Poland,,,,67%,,,,,,,,,,,,
Ludovic Obraniak,Poland,,,,,,,,,19,,,,,,,
Marcin Wasilewski,Poland,,,,,,,,,,,,,,,,
Przemyslaw Tyton,Poland,,,,,,,,,,,,,6,75%,,
Robert Lewandowski,Poland,,,,,,,,,,,,,,,,
Wojciech Szczesny,Poland,,,,,,,,,,,,,,,,
Bruno Alves,Portugal,,,,,,,,,,,,,,,,
Cristiano Ronaldo,Portugal,3,9,,,37,,,,,,,,,,,
Fábio Coentrão,Portugal,,,,,,,,,18,14,,,,,,2
Helder Postiga,Portugal,,,,,,,,,,,,,,,3,
Hugo Almeida,Portugal,,,,,,,,,,,,,,,5,
João Moutinho,Portugal,,,,,,,,,,,15,,,,,
João Pereira,Portugal,,,,,,,,,,17,,,,,,2
Miguel Veloso,Portugal,,,,,,,,,,,,,,,,2
Nani,Portugal,,,,,,,9,,19,,,,,,,
Nélson Oliveira,Portugal,,,,,,,,,,,,,,,,
Pepe,Portugal,,,,,,,,,,,16,,,,,
Raul Meireles,Portugal,,,,,,,,,,,11,,,,,
Rolando,Portugal,,,,,,,,,,,,,,,,
Rui Patricio,Portugal,,,,,,,,,,,,4,10,72%,,
Silvestre Varela,Portugal,,,,,,,,,,,,,,,,
Damien Duff,Republic of Ireland,,,,,,,,,16,,,,,,,
Glenn Whelan,Republic of Ireland,,,,,,,,,,,,,,,,
Jonathan Walters,Republic of Ireland,,,,,,,,,,,,,,,,
Keiren Westwood,Republic of Ireland,,,,,,,,,,,,2,,67%,,
Keith Andrews,Republic of Ireland,,,,,12,,12,,,,,,,,,
Richard Dunne,Republic of Ireland,,,,,,,,,,,,,,,,
Robbie Keane,Republic of Ireland,,,,,,,,,,,,,,,7,
Sean St Ledger,Republic of Ireland,,,,,,,,,,,,,,,,2
Shay Given,Republic of Ireland,,,,,,,,,,,,9,17,65%,,
Alan Dzagoev,Russia,3,,,,11,38%,,,,,,,,,,
Alexander Kerzhakov,Russia,,,,,14,,14,,,,,,,,,
Alexei Berezoutski,Russia,,,,,,,,,,,,,,,,
Andrey Arshavin,Russia,,,,,,,,,15,,,,,,,
Igor Denisov,Russia,,,303,,,,,92%,,,,,,,,
Konstantin Zyryanov,Russia,,,,,,,,95%,,,,,,,,
Roman Pavlyuchenko,Russia,,,,,,,,,,,,,,,,
Roman Shirokov,Russia,,,,,,20%,,,,,,,,,,
Sergei Ignashevitch,Russia,,,,,,,,,,,,,,,,
Vyacheslav Malafeev,Russia,,,,,,,,,,,,3,10,77%,,
Yuri Zhirkov,Russia,,,,,,,,,,,,,,,,
Álvaro Arbeloa,Spain,,,319,,,,,,,20,,,,,3,
Andrés Iniesta,Spain,,9,446,75%,20,,20,,,,,,,,,
David Silva,Spain,2,8,283,89%,11,22%,,,,,,,,,3,
Fernando Torres,Spain,3,5,,63%,11,38%,,,,,,,,,5,
Francesc Fábregas,Spain,2,,,,,33%,,,,,,,,,,
Gerard Piqué,Spain,,,312,,,,,,,19,,,,,,
Iker Casillas,Spain,,,,,,,,,,,,,15,94%,,
Jesús Navas,Spain,,,,,,,,,16,,,,,,,
Jordi Alba,Spain,,,410,,,,,,,,,,,,,
Pedro,Spain,,,,,,,,,,,,,,,,
Sergio Busquets,Spain,,,455,,,,,92%,,16,18,,,,,
Sergio Ramos,Spain,,,394,,,,7,92%,,16,,,,,,2
Xabi Alonso,Spain,2,,585,,,25%,,,,16,,,,,,
Xavi,Spain,,,592,,12,,12,93%,13,,,,,,,
Anders Svensson,Sweden,,,,,,,,,,,,,,,,2
Andreas Isaksson,Sweden,,,,,,,,,,,,5,8,62%,,
Christian Wilhelmsson,Sweden,,,,,,,,,,,,,,,,
Kim Källström,Sweden,,,,,,,,,,,,,,,,
Ola Toivonen,Sweden,,,,,,,,,,,,,,,3,
Olof Mellberg,Sweden,,,,,,,,,,,,,,,,
Samuel Holmén,Sweden,,,,,,,,,,,,,,,,
Sebastian Larsson,Sweden,,4,,80%,,20%,,,,,,,,,,
Zlatan Ibrahimovic,Sweden,2,7,,70%,11,20%,,,,,,,,,,
Anatoliy Tymoshchuk,Ukraine,,,,,,,,,,14,,,,,,2
Andriy Pyatov,Ukraine,,,,,,,,,,,,4,13,77%,,
Andriy Shevchenko,Ukraine,2,,,60%,,40%,,,,,,,,,,
Andriy Yarmolenko,Ukraine,,,,,,,,,,,,,,,,
Yevgen Selin,Ukraine,,,,,,,,,,,,,,,,
Yevhen Khacheridi,Ukraine,,,,,,,,93%,,,,,,,,
Yevhen Konoplyanka,Ukraine,,,,,13,,13,,,,,,,,,
