Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,PKG/A,SC%,SOG%
Javier Morales,RSL,M,26,24,2076,1,5,36,16,0/0,2.8,44.4
Dave van den Bergh,DAL,M,30,30,2446,3,11,35,14,0/0,8.6,40.0
Jack Jewsbury,KC,M,28,28,2451,0,5,35,13,0/0,0.0,37.1
Mehdi Ballouchy,COL,M,28,23,2148,2,7,34,11,1/1,5.9,32.4
Nick LaBrocca,COL,M,29,28,2434,2,0,34,17,0/0,5.9,50.0
Jeff Larentowicz,ATL,M,28,28,2438,1,2,34,17,0/0,2.9,50.0
Christian Gomez,DC,M,27,20,1612,6,4,33,18,2/2,18.2,54.5
Patrick Nyarko,CHI,F-M,30,22,1983,4,2,33,20,0/0,12.1,60.6
Stuart Holden,HOU,M,26,26,2340,6,4,33,15,2/2,18.2,45.5
Steven Lenhart,CLB,F,26,10,1065,3,2,32,13,0/0,9.4,40.6
Edson Buddle,LA,F,19,13,1255,5,0,32,16,0/0,15.6,50.0
Santino Quaranta,DC,M-F,22,19,1769,2,6,32,11,0/0,6.3,34.4
Dax McCarty,CHI,M,28,27,2340,3,6,32,13,0/0,9.4,40.6
Chris Wondolowski,SJ,F,21,11,1141,5,2,31,13,1/1,16.1,41.9
Clint Mathis,RSL,M,28,24,1926,2,7,31,11,0/0,6.5,35.5
Colin Clark,COL,M,16,16,1421,3,5,29,10,0/0,10.3,34.5
Pablo Vitti,TOR,F-M,26,18,1650,2,1,29,14,0/0,6.9,48.3
Shalrie Joseph,NE,M,27,24,2228,8,8,29,12,1/1,27.6,41.4
Rodney Wallace,NYC,F,28,25,2265,3,3,29,11,0/0,10.3,37.9
Andre Rocha,DAL,M,22,14,1270,2,1,28,8,0/0,7.1,28.6
Brian Ching,HOU,F,19,18,1549,8,3,28,15,0/0,28.6,53.6
Abdoulie Mansally,NE,D,25,19,1699,1,2,28,10,0/0,3.6,35.7
Sainey Nyassi,NE,M,28,22,1940,2,1,28,14,0/0,7.1,50.0
Sébastien Le Toux,SEA,F,28,15,1457,1,3,27,12,0/0,3.7,44.4
Freddie Ljungberg,SEA,M-F,22,21,1836,2,9,27,14,0/1,7.4,51.9
Eddie Lewis,LA,M,27,23,1903,2,4,27,14,0/0,7.4,51.9
Ricardo Clark,CLB,M,22,22,1972,1,1,27,10,0/0,3.7,37.0
Maykel Galindo,CHV,F,23,15,1476,4,2,25,16,1/1,16.0,64.0
Jacob Peterson,COL,F,23,12,1131,2,2,24,9,0/0,8.3,37.5
Mike Magee,LA,M,23,19,1507,2,6,24,8,0/0,8.3,33.3
Alejandro Moreno,CLB,F,22,17,1605,4,1,24,12,0/0,16.7,50.0
Paulo Nagamura,CHV,M,27,25,2263,4,2,24,11,0/0,16.7,45.8
Maicon Santos,CHV,F,10,8,670,1,1,23,10,0/0,4.3,43.5
Cornell Glen,SJ,F,12,6,481,4,1,22,14,1/1,18.2,63.6
Pat Noonan,CLB,F,22,11,1049,2,1,22,7,0/0,9.1,31.8
Jaime Moreno,DC,F,24,11,1240,9,3,22,14,6/6,40.9,63.6
Brian Mullan,HOU,D,25,23,1988,0,4,22,8,0/0,0.0,36.4
Osvaldo Alonso,SEA,M,27,26,2207,1,3,22,7,0/0,4.5,31.8
Nick Zimmerman,NY,M,11,7,757,0,0,21,10,0/0,0.0,47.6
John Wolyniec,NY,F,20,8,764,2,1,21,8,0/0,9.5,38.1
Pablo Campos,RSL,F,25,14,1011,4,5,21,16,1/1,19.0,76.2
Ben Olsen,DC,M,20,18,1371,1,1,20,9,0/0,5.0,45.0
Marc Burch,MIN,D,26,25,2174,1,2,20,9,0/0,5.0,45.0
Seth Stammler,NY,M-D,26,25,2238,0,0,20,6,0/0,0.0,30.0
Geoff Cameron,HOU,D,29,29,2610,2,6,20,8,0/0,10.0,40.0
Andy Williams,RSL,M,23,7,780,2,6,19,9,0/0,10.5,47.4
Dominic Oduro,MTL,M,19,8,835,1,4,19,8,0/0,5.3,42.1
David Beckham,LA,M,11,11,889,2,3,19,9,0/0,10.5,47.4
Jovan Kirovski,LA,M-F,22,13,1202,2,1,19,8,0/0,10.5,42.1
Shea Salinas,SJ,M,23,13,1306,0,5,19,5,0/0,0.0,26.3
Dane Richards,NY,M,27,20,1988,3,2,19,6,0/0,15.8,31.6
Jay Heaps,NE,D,25,25,2170,1,4,19,11,0/0,5.3,57.9
Brad Evans,SKC,D-M,27,25,2294,3,2,19,8,0/0,15.8,42.1
Cam Weaver,HOU,F,17,9,772,4,3,18,11,0/0,22.2,61.1
Darren Huckerby,SJ,M,14,13,1058,3,2,18,10,0/0,16.7,55.6
Steve Ralston,NE,M,20,17,1543,7,7,18,11,4/4,38.9,61.1
Chad Marshall,SEA,D,18,18,1580,4,0,18,12,0/0,22.2,66.7
Santiago Hirsig,KC,M,26,24,2110,1,1,18,6,0/0,5.6,33.3
Drew Moor,TOR,D,29,29,2610,3,0,18,6,0/0,16.7,33.3
Danny Dichio,TOR,F,19,6,760,3,2,17,8,0/0,17.6,47.1
Bobby Convey,SJ,M,26,25,2200,1,2,17,4,0/0,5.9,23.5
Jim Brennan,TOR,D,28,28,2478,2,1,17,5,0/0,11.8,29.4
Jason Garey,CLB,F,15,8,705,4,2,16,12,0/0,25.0,75.0
Justin Mapp,CHI,M,21,11,1013,1,3,16,4,0/0,6.3,25.0
Chris Klein,LA,M,28,10,1158,0,3,16,10,0/0,0.0,62.5
Tim Ward,CHI,D,19,19,1685,0,3,16,3,0/0,0.0,18.8
Bobby Boswell,HOU,D,29,29,2565,1,0,16,4,0/0,6.3,25.0
Ali Gerba,TOR,F,11,5,534,1,0,15,3,0/0,6.7,20.0
Edgaras Jankauskas,NE,F,10,8,667,2,1,15,5,0/0,13.3,33.3
Sinisa Ubiparipovic,NY,F-M,23,13,1206,0,1,15,8,0/0,0.0,53.3
Fred,DC,M,23,17,1422,2,4,15,4,0/0,13.3,26.7
Robbie Russell,RSL,D,19,18,1552,0,2,15,3,0/0,0.0,20.0
Ramiro Corrales,SJ,M,24,24,2066,0,3,15,5,0/0,0.0,33.3
John Thorrington,CHI,M,19,19,1574,0,1,14,3,0/0,0.0,21.4
Wells Thompson,NE,D,25,17,1652,1,2,14,5,0/0,7.1,35.7
Peter Lowry,CHI,M,9,8,659,3,0,13,8,0/0,23.1,61.5
Danleigh Borman,NY,D,24,14,1441,1,1,13,4,0/0,7.7,30.8
Sam Cronin,MIN,M,27,26,2363,1,4,13,2,0/0,7.7,15.4
Ugo Ihemelu,COL,D,28,27,2443,1,2,13,5,0/0,7.7,38.5
Clyde Simms,DC,M,28,28,2457,0,0,13,5,0/0,0.0,38.5
Omar Gonzalez,USA,D,30,30,2672,1,1,13,4,0/0,7.7,30.8
Alecko Eskandarian,CHV,F,10,5,462,3,0,12,6,0/0,25.0,50.0
Brek Shea,VAN,M-F,19,7,727,0,4,12,6,0/0,0.0,50.0
Jámison Olave,RSL,D,25,24,2039,3,0,12,8,0/0,25.0,66.7
Eric Brunner,CLB,D,25,23,2072,1,1,12,3,0/0,8.3,25.0
Kevin Alston,NE,D,26,26,2339,0,1,12,5,0/0,0.0,41.7
Nat Borchers,RSL,D,30,30,2679,1,0,12,6,0/0,8.3,50.0
O'Brian White,TOR,F,9,5,440,2,0,11,5,0/0,18.2,45.5
Quincy Amarikwa,SJ,F,24,1,602,1,2,11,3,0/0,9.1,27.3
Dema Kovalenko,LA,M,15,15,1237,0,2,11,2,0/0,0.0,18.2
Wilman Conde,CHI,D,19,18,1614,2,2,11,4,0/0,18.2,36.4
Jesse Marsch,CHV,M,23,21,1853,0,1,11,6,0/0,0.0,54.5
Kosuke Kimura,COL,D,26,21,1932,2,2,11,3,0/0,18.2,27.3
Jimmy Conrad,KC,D,24,24,2160,1,1,11,4,0/0,9.1,36.4
Pablo Mastroeni,COL,M,25,25,2162,1,3,11,2,0/0,9.1,18.2
Roger Espinoza,SKC,M,16,6,635,0,2,10,2,0/0,0.0,20.0
Jesus Padilla,CHV,M,11,10,712,1,0,10,2,0/0,10.0,20.0
Mike Banner,CHI,M,22,8,942,2,3,10,4,0/0,20.0,40.0
Alfredo Pacheco,NY,D,14,14,1180,0,0,10,2,0/0,0.0,20.0
Alberto Celades,NY,M,17,14,1203,1,4,10,3,0/0,10.0,30.0
Tyrone Marshall,SEA,D,26,25,2166,2,2,10,4,0/0,20.0,40.0
Gino Padula,CLB,D,27,27,2321,1,4,10,1,0/0,10.0,10.0
Bryan Namoff,DC,D,26,26,2326,2,4,10,5,0/0,20.0,50.0
Antonio Ribeiro,SJ,M,7,7,509,0,0,9,2,0/0,0.0,22.2
Adam Moffat,CLB,M,12,6,531,1,0,9,1,0/0,11.1,11.1
Bojan Stepanovic,CHV,M,16,7,756,1,2,9,4,0/0,11.1,44.4
Julien Baudet,COL,D,10,9,786,1,0,9,2,0/0,11.1,22.2
Michael Lahoud,CHV,M,16,9,872,1,1,9,3,0/0,11.1,33.3
Andre Hainault,HOU,D,20,19,1652,1,2,9,5,0/0,11.1,55.6
Michael Harrington,KC,D,27,17,1682,0,3,9,6,0/0,0.0,66.7
Carl Robinson,TOR,M,21,20,1757,0,2,9,3,0/0,0.0,33.3
Brian Carroll,CLB,M,26,26,2293,0,1,9,1,0/0,0.0,11.1
Chris Wingert,RSL,D,30,27,2432,0,3,9,2,0/0,0.0,22.2
Zoltan Hercegfalvi,KC,F,10,2,298,2,1,8,6,0/0,25.0,75.0
Thabiso Khumalo,DC,F,12,4,358,0,2,8,5,0/0,0.0,62.5
Luis Landin,HOU,F,7,5,360,1,0,8,5,0/0,12.5,62.5
Chukwudi Chijindu,CHV,M,11,4,420,1,1,8,3,0/0,12.5,37.5
Chris Birchall,LA,M,9,6,531,0,1,8,3,0/0,0.0,37.5
Kevin Harmse,CHV,M,12,8,805,0,0,8,4,0/0,0.0,50.0
Andrew Jacobson,DC,M,17,8,845,0,0,8,1,0/0,0.0,12.5
Ramon Sanchez,SJ,M,10,10,895,2,1,8,4,0/0,25.0,50.0
Frankie Hejduk,CLB,D,14,14,1258,1,3,8,5,0/0,12.5,62.5
Brandon McDonald,SJ,D,18,18,1579,1,1,8,4,0/0,12.5,50.0
Nana Attakora,TOR,D,20,19,1652,2,4,8,5,0/0,25.0,62.5
Todd Dunivant,LA,D,25,24,2131,1,2,8,5,0/0,12.5,62.5
Adrian Serioux,TOR,D,26,25,2235,2,1,8,5,0/0,25.0,62.5
Carey Talley,CHV,D,27,27,2401,0,1,8,2,0/0,0.0,25.0
Jordan Harvey,LAFC,D,30,29,2613,0,3,8,3,0/0,0.0,37.5
Abe Thompson,HOU,F,9,1,203,1,0,7,3,0/0,14.3,42.9
Roger Levesque,SEA,M,14,2,260,2,0,7,4,0/0,28.6,57.1
Ange N'Silu,DC,F,9,4,452,1,1,7,4,0/0,14.3,57.1
Bryan Jordan,LA,D,19,2,470,1,0,7,3,0/0,14.3,42.9
Sasha Victorine,CHV,M,10,4,470,0,1,7,3,0/0,0.0,42.9
Khano Smith,NY,M,8,6,530,0,0,7,0,0/0,0.0,0.0
Ned Grabavoy,RSL,M,20,8,765,0,2,7,2,0/0,0.0,28.6
Chris Tierney,NE,D-M,14,13,1044,0,2,7,4,0/0,0.0,57.1
Patrick Ianni,SEA,D-M,17,10,1102,1,2,7,2,0/0,14.3,28.6
Pat Phelan,NE,M-D,21,13,1136,0,0,7,2,0/0,0.0,28.6
Simon Elliott,SJ,M,15,12,1234,0,0,7,3,0/0,0.0,42.9
Shavar Thomas,CHV,D,17,17,1459,0,0,7,2,0/0,0.0,28.6
Lance Watson,KC,D,20,19,1649,0,1,7,5,0/0,0.0,71.4
Tony Beltran,RSL,D,23,21,1860,0,0,7,2,0/0,0.0,28.6
Jhon Kennedy Hurtado,SEA,D,27,26,2334,1,1,7,2,0/0,14.3,28.6
Emilio Rentería,CLB,F,5,2,177,0,0,6,1,0/0,0.0,16.7
Sanna Nyassi,SEA,M,14,2,305,0,0,6,1,0/0,0.0,16.7
Terry Cooke,COL,M,10,5,422,1,1,6,3,0/0,16.7,50.0
Baggio Husidic,LA,M,10,5,449,0,1,6,1,0/0,0.0,16.7
Heath Pearce,DAL,D,6,5,478,0,1,6,1,0/0,0.0,16.7
Michael Videira,NE,M,12,5,480,0,0,6,3,0/0,0.0,50.0
Graham Zusi,SKC,D-M,13,5,524,0,1,6,2,0/0,0.0,33.3
Gonzalo Segares,CHI,D,12,12,965,1,1,6,3,0/0,16.7,50.0
Luke Sassano,NY,D,17,12,1179,0,0,6,0,0/0,0.0,0.0
Brandon Prideaux,CHI,D,19,16,1414,0,1,6,1,0/0,0.0,16.7
Stefani Miglioranzi,LA,M,23,20,1719,0,0,6,2,0/0,0.0,33.3
Marvell Wynne,TOR,D,21,21,1890,0,5,6,2,0/0,0.0,33.3
Gregg Berhalter,LA,D,26,26,2298,0,0,6,0,0/0,0.0,0.0
Jonathan Bornstein,CHV,D,26,26,2340,0,1,6,2,0/0,0.0,33.3
Taylor Twellman,NE,F,2,0,109,2,0,5,4,0/0,40.0,80.0
Mauricio Castro,NE,M,6,3,223,0,1,5,2,0/0,0.0,40.0
Eric Avila,DAL,M,18,0,332,1,2,5,3,0/0,20.0,60.0
Kelly Gray,SJ,D-M,8,7,632,0,0,5,0,0/0,0.0,0.0
Blake Wagner,DAL,D-M,15,8,789,0,0,5,0,0/0,0.0,0.0
Sean Franklin,VAN,D,13,13,1125,0,1,5,2,0/0,0.0,40.0
Corey Ashe,HOU,M,27,13,1250,0,3,5,1,0/0,0.0,20.0
Marcelo Saragosa,CHV,M,17,15,1272,0,1,5,2,0/0,0.0,40.0
Emmanuel Osei,NE,D,23,23,1852,0,0,5,1,0/0,0.0,20.0
Aaron Hohlbein,KC,D,22,22,1867,2,0,5,3,0/0,40.0,60.0
Pablo Ricchetti,DAL,D-M,22,22,1965,1,0,5,1,0/0,20.0,20.0
Logan Pause,CHI,M,26,26,2287,0,3,5,1,0/0,0.0,20.0
Danny Cruz,HOU,M-F,6,0,107,0,0,4,2,0/0,0.0,50.0
Luis Miguel Escalada,RSL,F,5,1,126,1,0,4,2,0/0,25.0,50.0
Alvaro Sanchez,DAL,F-M,3,2,197,0,0,4,2,0/0,0.0,50.0
Jamie Smith,COL,M,4,3,216,0,1,4,1,0/0,0.0,25.0
Matthew Mbuta,NY,M,10,2,280,1,0,4,1,1/1,25.0,25.0
André Luiz,SJ,M,7,7,488,0,0,4,1,0/0,0.0,25.0
Anthony Wallace,DAL,D,7,6,498,0,0,4,1,0/0,0.0,25.0
Andy Iro,CLB,D,11,8,631,1,0,4,1,0/0,25.0,25.0
Bobby Burling,CHV,D,10,7,713,0,0,4,1,0/0,0.0,25.0
Jonathan Leathers,KC,D,11,10,871,0,0,4,1,0/0,0.0,25.0
Carlos Johnson,NY,D,13,12,899,0,1,4,1,0/0,0.0,25.0
Andrew Boyens,NY,D,14,14,1114,0,0,4,2,0/0,0.0,50.0
George John,DAL,D,16,15,1162,1,0,4,2,0/0,25.0,50.0
Julius James,DC,D,17,13,1214,1,0,4,2,0/0,25.0,50.0
Jed Zayner,CLB,D,20,16,1467,0,1,4,3,0/0,0.0,75.0
Dejan Jakovic,LAFC,D,23,23,2070,0,0,4,0,0/0,0.0,0.0
Chris Leitch,SJ,D,29,29,2537,0,7,4,3,0/0,0.0,75.0
Ernst Oebster,NY,M,3,2,157,0,0,3,2,0/0,0.0,66.7
Nico Colaluca,COL,M,6,1,159,0,0,3,1,0/0,0.0,33.3
Chance Myers,KC,D,6,0,165,0,1,3,1,0/0,0.0,33.3
Duncan Oughton,CLB,D,9,2,218,0,1,3,2,0/0,0.0,66.7
Greg Dalby,COL,M,11,2,242,0,0,3,2,0/0,0.0,66.7
Kevin Burns,CLB,M,8,4,359,0,0,3,1,0/0,0.0,33.3
Stephen King,SEA,M,10,3,433,0,0,3,0,0/0,0.0,0.0
Julian de Guzman,TOR,M,5,5,450,0,0,3,0,0/0,0.0,0.0
Daniel Hernandez,DAL,M,7,5,526,0,1,3,0,0/0,0.0,0.0
Aaron Pitchkolan,DAL,D,10,6,631,0,0,3,0,0/0,0.0,0.0
Craig Waibel,HOU,D,13,8,679,1,0,3,1,0/0,33.3,33.3
Peter Vagenas,SEA,M,14,9,740,0,2,3,0,0/0,0.0,0.0
Marco Velez,TOR,D,15,8,780,0,0,3,2,0/0,0.0,66.7
Yamith Cuesta,CHV,D,9,9,786,0,1,3,1,0/0,0.0,33.3
Richard Mulrooney,HOU,M,14,14,1260,1,1,3,3,0/0,33.3,100.0
Bakary Soumare,CHI,D,16,16,1364,0,1,3,2,0/0,0.0,66.7
Kevin Goldthwaite,NY,D,17,17,1449,0,0,3,0,0/0,0.0,0.0
C.J. Brown,CHI,D,18,17,1454,0,0,3,1,0/0,0.0,33.3
Mike Petke,NY,D,19,18,1493,0,0,3,1,0/0,0.0,33.3
Mariano Trujillo,CHV,D,21,18,1587,0,1,3,0,0/0,0.0,0.0
A.J. DeLaGarza,HOU,D,22,21,1754,1,1,3,2,0/0,33.3,66.7
Jeremy Hall,NY,D-M,24,22,2001,0,1,3,2,0/0,0.0,66.7
Matt Besler,SKC,D,28,26,2236,0,0,3,1,0/0,0.0,33.3
Danny O'Rourke,CLB,D,26,26,2338,0,1,3,1,0/0,0.0,33.3
Stephane Assengue,NE,F,2,0,37,0,0,2,0,0/0,0.0,0.0
Francis Doe,DC,F,2,0,40,0,0,2,0,0/0,0.0,0.0
Chris Albright,NE,D,1,1,90,0,0,2,1,0/0,0.0,50.0
Jean-Marc Alexandre,HAI,F,4,0,99,0,0,2,0,0/0,0.0,0.0
Lesly Fellinga,TOR,D,4,1,137,0,0,2,2,0/0,0.0,100.0
Michael Kraus,KC,M-F,11,0,147,1,0,2,2,0/0,50.0,100.0
Rachid El Khalifi,RSL,M-F,4,3,178,0,0,2,0,0/0,0.0,0.0
Juan Pietravallo,NY,M,3,2,186,0,0,2,0,0/0,0.0,0.0
Abdus Ibrahim,TOR,F,6,2,204,0,1,2,0,0/0,0.0,0.0
Adam Cristman,KC,F,5,3,213,0,0,2,2,0/0,0.0,100.0
Bruno Guarda,DAL,M,4,2,217,0,0,2,1,0/0,0.0,50.0
Marvin Chávez,DAL,M,7,3,233,0,0,2,0,0/0,0.0,0.0
Rohan Ricketts,TOR,M,12,3,316,0,0,2,1,0/0,0.0,50.0
Steve Purdy,DAL,D,5,4,338,0,0,2,0,0/0,0.0,0.0
Gerson Mayen,SLV,M,12,5,428,0,4,2,1,0/0,0.0,50.0
Amaechi Igwe,NE,D,11,5,628,0,0,2,1,0/0,0.0,50.0
Josh Tudela,LA,M,8,8,637,0,0,2,0,0/0,0.0,0.0
Kyle Davies,DAL,D,11,10,795,0,0,2,2,0/0,0.0,100.0
Eric Denton,SJ,D,11,9,803,0,1,2,1,0/0,0.0,50.0
Dasan Robinson,CHI,D,12,9,908,1,0,2,1,0/0,50.0,50.0
Ante Jazic,CHV,D,13,13,1090,0,1,2,0,0/0,0.0,0.0
Jair Benítez,DAL,D,13,13,1155,0,1,2,0,0/0,0.0,0.0
Cory Gibbs,COL,D,20,19,1575,0,0,2,1,0/0,0.0,50.0
James Riley,SEA,D,28,27,2334,0,4,2,2,0/0,0.0,100.0
Davide Somma,SJ,F,1,0,4,0,0,1,0,0/0,0.0,0.0
Peri Marosevic,DAL,F,4,0,47,0,0,1,0,0/0,0.0,0.0
Michael Holody,COL,D,4,0,80,1,0,1,1,0/0,100.0,100.0
Calen Carr,CHI,F,10,0,90,0,0,1,0,0/0,0.0,0.0
Facundo Diz,COL,F,8,0,97,0,0,1,1,0/0,0.0,100.0
Claudio Suarez,CHV,D,5,1,111,0,0,1,0,0/0,0.0,0.0
Stefan Dimitrov,CHI,F,7,1,124,0,0,1,0,0/0,0.0,0.0
Kyle Patterson,LA,M,3,2,127,0,1,1,0,0/0,0.0,0.0
Raphael Cox,RSL,M,6,2,208,1,0,1,1,0/0,100.0,100.0
Ade Akinbiyi,HOU,F,14,2,261,0,0,1,0,0/0,0.0,0.0
Jorge Villafaña,USA,D-M,7,3,331,0,0,1,1,0/0,0.0,100.0
Austin Washington,CHI,D,8,4,360,0,0,1,0,0/0,0.0,0.0
Daniel Woolard,CHI,D,8,4,409,0,0,1,0,0/0,0.0,0.0
Rauwshan McKenzie,KC,D,5,5,437,0,0,1,0,0/0,0.0,0.0
Nathan Sturgis,SEA,M,9,5,440,0,0,1,1,0/0,0.0,100.0
Zach Scott,SEA,D,9,6,492,0,0,1,0,0/0,0.0,0.0
Tony Sanneh,LA,D,13,5,627,0,0,1,0,0/0,0.0,0.0
Michael Zaher,SJ,D,10,8,757,0,2,1,1,0/0,0.0,100.0
Daniel Torres,DAL,D,15,8,886,0,0,1,0,0/0,0.0,0.0
Tyson Wahl,SEA,D,12,9,893,0,0,1,0,0/0,0.0,0.0
Wade Barrett,HOU,D,12,11,940,0,0,1,0,0/0,0.0,0.0
Mike Chabala,HOU,D,15,12,1044,0,3,1,0,0/0,0.0,0.0
Scott Palguta,COL,D,23,19,1749,0,0,1,0,0/0,0.0,0.0
Anthony Peters,DC,D,0,0,0,0,0,0,0,0/0,0.0,0.0
Lamar Neagle,SEA,M,0,0,0,0,0,0,0,0/0,0.0,0.0
Yohance Marshall,LA,D,0,0,0,0,0,0,0,0/0,0.0,0.0
Evan Brown,SEA,D,0,0,0,0,0,0,0,0/0,0.0,0.0
Stanley Nyazamba,CLB,M,0,0,0,0,0,0,0,0/0,0.0,0.0
David Myrie,CHI,D,0,0,0,0,0,0,0,0/0,0.0,0.0
Giorgi Chirgadze,NY,F,0,0,0,0,0,0,0,0/0,0.0,0.0
Cesar Zamora,CHV,M,0,0,0,0,0,0,0,0/0,0.0,0.0
Kevin Forrest,SEA,F,0,0,0,0,0,0,0,0/0,0.0,0.0
Felix Garcia,HOU,F,0,0,0,0,0,0,0,0/0,0.0,0.0
Nelson González,RSL,M,0,0,0,0,0,0,0,0/0,0.0,0.0
Fabio da Silva,SJ,D,0,0,0,0,0,0,0,0/0,0.0,0.0
David Habarugira,DC,D,0,0,0,0,0,0,0,0/0,0.0,0.0
Tiyiselani Shipalane,DC,M,0,0,0,0,0,0,0,0/0,0.0,0.0
John Michael Hayden,HOU,M,0,0,0,0,0,0,0,0/0,0.0,0.0
Taylor Graham,SEA,D,0,0,0,0,0,0,0,0/0,0.0,0.0
Nelson Pizarro,KC,M,0,0,0,0,0,0,0,0/0,0.0,0.0
Oscar Echeverry,NY,F,0,0,0,0,0,0,0,0/0,0.0,0.0
Jamil Roberts,SJ,D,0,0,0,0,0,0,0,0/0,0.0,0.0
Alex Nimo,RSL,F-M,0,0,0,0,0,0,0,0/0,0.0,0.0
Julian Valentin,LA,D,0,0,0,0,0,0,0,0/0,0.0,0.0
Ely Allen,DC,F-M,0,0,0,0,0,0,0,0/0,0.0,0.0
Rob Valentino,COL,D,0,0,0,0,0,0,0,0/0,0.0,0.0
Argenis Fernandez,NE,F,0,0,0,0,0,0,0,0/0,0.0,0.0
Ciaran O'Brien,COL,M,0,0,0,0,0,0,0,0/0,0.0,0.0
Ryan Miller,DC,D,0,0,0,0,0,0,0,0/0,0.0,0.0
Gabriel Badilla,NE,D,0,0,0,0,0,0,0,0/0,0.0,0.0
Ante Razov,CHV,F,0,0,0,0,0,0,0,0/0,0.0,0.0
Ivan Guerrero,COL,M,0,0,0,0,0,0,0,0/0,0.0,0.0
Tristan Bowen,LA,F,1,0,1,0,0,0,0,0/0,0.0,0.0
Gabe Gala,TOR,M,1,0,3,0,0,0,0,0/0,0.0,0.0
Ian Joy,RSL,D,1,0,7,0,0,0,0,0/0,0.0,0.0
Ross Schunk,COL,F,3,0,10,0,0,0,0,0/0,0.0,0.0
Gregory Richardson,COL,F,1,0,11,0,0,0,0,0/0,0.0,0.0
Leonard Griffin,LA,D,1,0,16,0,0,0,0,0/0,0.0,0.0
Cory Elenio,CLB,M,1,0,17,0,0,0,0,0/0,0.0,0.0
Tino Nunez,RSL,F,3,0,18,0,0,0,0,0/0,0.0,0.0
